entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,AverageNumberOfEmployees,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,HomepageOfReportingEntity,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TelephoneNumberOfReportingEntity,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,FinanceExpensesArisingFromGroupEnterprises,GrossProfitLoss,OtherFinanceIncome,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RestOfOtherFinanceExpenses,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,DeferredIncomeAssets,DepositsLongtermInvestmentsAndReceivables,Equity,FixturesFittingsToolsAndEquipment,Goodwill,IntangibleAssets,Inventories,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermLiabilitiesOtherThanProvisions,LongtermTaxPayables,ManufacturedGoodsAndGoodsForResale,NoncurrentAssets,OtherProvisions,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,Provisions,RawMaterialsAndConsumables,RetainedEarnings,ShorttermDebtToBanks,ShorttermDeferredIncome,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayablesToGroupEnterprises,ShorttermTaxReceivables,ShorttermTradePayables,ShorttermTradeReceivables,WorkInProgress,NameAndSurnameOfMemberOfExecutiveBoard,NameAndSurnameOfMemberOfSupervisoryBoard,TitleOfMemberOfSupervisoryBoard
25516729,2015-10-01,2016-09-30,ID_12,,http://regnskaber.virk.dk/92761552/ZG9rdW1lbnRsYWdlcjovLzAzLzViLzZhL2QwLzczL2U1YWMtNDRjYy1iNjU5LWU0MjJmOTVhYjgxMQ.pdf,http://regnskaber.virk.dk/92761552/ZG9rdW1lbnRsYWdlcjovLzAzLzkzLzI0LzhkLzM1LzFlZTMtNGY1My1hOTc2LTcwNzg5MzJkMTQyMQ.xml,true,"2730, Herlev",LyskÃ¦r 3 CD,Til kapitalejerne i Diebold Nixdorf A/S / To the shareholders of Diebold Nixdorf A/S,16.0,Regnskabsklasse B,2018-04-17,2018-04-17,2000-07-21,2018-04-17,www.dieboldnixdorf.com,25578198.0,25516729.0,25578198.0,mne34283,Ãrsrapport,Morten HÃ¸gh-Petersen,Dr. JÃ¼rgen Wunram,KPMG,Diebold Nixdorf A/S,Azets Insight  A/S,KÃ¸benhavn,2015-10-01,2016-09-30,"151, Ballerup",2017-12-31,2016-10-01,false,2018-04-17,KÃ¸benhavn,44778910.0,Bestyrelsesmedlem,RevisionspÃ¥tegning,urn:ofk:oid:25394842,indberetninger-20180424,2.5124211,25516729.0,AWMgaaz9x8uVRSOdgLaZ,2018-05-02T10:33:20.670Z,2018-05-02T10:33:05.739Z,regnskab,0.0,,2017-12-31,2016-10-01,X18-AK-35-HV,2018-05-02T10:33:05.915Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25516729,2015-10-01,2016-09-30,ID_13,,http://regnskaber.virk.dk/92761552/ZG9rdW1lbnRsYWdlcjovLzAzLzViLzZhL2QwLzczL2U1YWMtNDRjYy1iNjU5LWU0MjJmOTVhYjgxMQ.pdf,http://regnskaber.virk.dk/92761552/ZG9rdW1lbnRsYWdlcjovLzAzLzkzLzI0LzhkLzM1LzFlZTMtNGY1My1hOTc2LTcwNzg5MzJkMTQyMQ.xml,true,"2730, Herlev",LyskÃ¦r 3 CD,Til kapitalejerne i Diebold Nixdorf A/S / To the shareholders of Diebold Nixdorf A/S,,Regnskabsklasse B,2018-04-17,2018-04-17,2000-07-21,2018-04-17,www.dieboldnixdorf.com,25578198.0,25516729.0,25578198.0,mne34283,Ãrsrapport,Morten HÃ¸gh-Petersen,Dr. JÃ¼rgen Wunram,KPMG,Diebold Nixdorf A/S,Azets Insight  A/S,KÃ¸benhavn,2015-10-01,2016-09-30,"151, Ballerup",2017-12-31,2016-10-01,false,2018-04-17,KÃ¸benhavn,44778910.0,Bestyrelsesmedlem,RevisionspÃ¥tegning,urn:ofk:oid:25394842,indberetninger-20180424,2.5124211,25516729.0,AWMgaaz9x8uVRSOdgLaZ,2018-05-02T10:33:20.670Z,2018-05-02T10:33:05.739Z,regnskab,0.0,,2017-12-31,2016-10-01,X18-AK-35-HV,2018-05-02T10:33:05.915Z,341000.0,15690000.0,2000.0,18731000.0,1000.0,2092000.0,2690000.0,2700000.0,9000.0,598000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25516729,2015-10-01,2016-09-30,ID_15,,http://regnskaber.virk.dk/92761552/ZG9rdW1lbnRsYWdlcjovLzAzLzViLzZhL2QwLzczL2U1YWMtNDRjYy1iNjU5LWU0MjJmOTVhYjgxMQ.pdf,http://regnskaber.virk.dk/92761552/ZG9rdW1lbnRsYWdlcjovLzAzLzkzLzI0LzhkLzM1LzFlZTMtNGY1My1hOTc2LTcwNzg5MzJkMTQyMQ.xml,true,"2730, Herlev",LyskÃ¦r 3 CD,Til kapitalejerne i Diebold Nixdorf A/S / To the shareholders of Diebold Nixdorf A/S,,Regnskabsklasse B,2018-04-17,2018-04-17,2000-07-21,2018-04-17,www.dieboldnixdorf.com,25578198.0,25516729.0,25578198.0,mne34283,Ãrsrapport,Morten HÃ¸gh-Petersen,Dr. JÃ¼rgen Wunram,KPMG,Diebold Nixdorf A/S,Azets Insight  A/S,KÃ¸benhavn,2015-10-01,2016-09-30,"151, Ballerup",2017-12-31,2016-10-01,false,2018-04-17,KÃ¸benhavn,44778910.0,Bestyrelsesmedlem,RevisionspÃ¥tegning,urn:ofk:oid:25394842,indberetninger-20180424,2.5124211,25516729.0,AWMgaaz9x8uVRSOdgLaZ,2018-05-02T10:33:20.670Z,2018-05-02T10:33:05.739Z,regnskab,0.0,,2017-12-31,2016-10-01,X18-AK-35-HV,2018-05-02T10:33:05.915Z,,,,,,-2091000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25516729,2016-09-30,2016-09-30,ID_10,,http://regnskaber.virk.dk/92761552/ZG9rdW1lbnRsYWdlcjovLzAzLzViLzZhL2QwLzczL2U1YWMtNDRjYy1iNjU5LWU0MjJmOTVhYjgxMQ.pdf,http://regnskaber.virk.dk/92761552/ZG9rdW1lbnRsYWdlcjovLzAzLzkzLzI0LzhkLzM1LzFlZTMtNGY1My1hOTc2LTcwNzg5MzJkMTQyMQ.xml,true,"2730, Herlev",LyskÃ¦r 3 CD,Til kapitalejerne i Diebold Nixdorf A/S / To the shareholders of Diebold Nixdorf A/S,,Regnskabsklasse B,2018-04-17,2018-04-17,2000-07-21,2018-04-17,www.dieboldnixdorf.com,25578198.0,25516729.0,25578198.0,mne34283,Ãrsrapport,Morten HÃ¸gh-Petersen,Dr. JÃ¼rgen Wunram,KPMG,Diebold Nixdorf A/S,Azets Insight  A/S,KÃ¸benhavn,2015-10-01,2016-09-30,"151, Ballerup",2017-12-31,2016-10-01,false,2018-04-17,KÃ¸benhavn,44778910.0,Bestyrelsesmedlem,RevisionspÃ¥tegning,urn:ofk:oid:25394842,indberetninger-20180424,2.5124211,25516729.0,AWMgaaz9x8uVRSOdgLaZ,2018-05-02T10:33:20.670Z,2018-05-02T10:33:05.739Z,regnskab,0.0,,2017-12-31,2016-10-01,X18-AK-35-HV,2018-05-02T10:33:05.915Z,,,,,,,,,,,23638000.0,127000.0,600000.0,22960000.0,101000.0,166000.0,57000.0,6527000.0,621000.0,0.0,0.0,1131000.0,23638000.0,15392000.0,57000.0,418000.0,418000.0,22000.0,678000.0,1719000.0,5570000.0,0.0,621000.0,2091000.0,1719000.0,717000.0,3836000.0,0.0,3283000.0,14973000.0,1486000.0,21703000.0,9598000.0,0.0,41000.0,4635000.0,11798000.0,393000.0,,,
25516729,2016-10-01,2017-12-31,ID_0,,http://regnskaber.virk.dk/92761552/ZG9rdW1lbnRsYWdlcjovLzAzLzViLzZhL2QwLzczL2U1YWMtNDRjYy1iNjU5LWU0MjJmOTVhYjgxMQ.pdf,http://regnskaber.virk.dk/92761552/ZG9rdW1lbnRsYWdlcjovLzAzLzkzLzI0LzhkLzM1LzFlZTMtNGY1My1hOTc2LTcwNzg5MzJkMTQyMQ.xml,true,"2730, Herlev",LyskÃ¦r 3 CD,Til kapitalejerne i Diebold Nixdorf A/S / To the shareholders of Diebold Nixdorf A/S,,Regnskabsklasse B,2018-04-17,2018-04-17,2000-07-21,2018-04-17,www.dieboldnixdorf.com,25578198.0,25516729.0,25578198.0,mne34283,Ãrsrapport,Morten HÃ¸gh-Petersen,Dr. JÃ¼rgen Wunram,KPMG,Diebold Nixdorf A/S,Azets Insight  A/S,KÃ¸benhavn,2015-10-01,2016-09-30,"151, Ballerup",2017-12-31,2016-10-01,false,2018-04-17,KÃ¸benhavn,44778910.0,Bestyrelsesmedlem,RevisionspÃ¥tegning,urn:ofk:oid:25394842,indberetninger-20180424,2.5124211,25516729.0,AWMgaaz9x8uVRSOdgLaZ,2018-05-02T10:33:20.670Z,2018-05-02T10:33:05.739Z,regnskab,0.0,,2017-12-31,2016-10-01,X18-AK-35-HV,2018-05-02T10:33:05.915Z,463000.0,25723000.0,43000.0,28492000.0,0.0,1729000.0,2243000.0,2306000.0,19000.0,514000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25516729,2016-10-01,2017-12-31,ID_1,,http://regnskaber.virk.dk/92761552/ZG9rdW1lbnRsYWdlcjovLzAzLzViLzZhL2QwLzczL2U1YWMtNDRjYy1iNjU5LWU0MjJmOTVhYjgxMQ.pdf,http://regnskaber.virk.dk/92761552/ZG9rdW1lbnRsYWdlcjovLzAzLzkzLzI0LzhkLzM1LzFlZTMtNGY1My1hOTc2LTcwNzg5MzJkMTQyMQ.xml,true,"2730, Herlev",LyskÃ¦r 3 CD,Til kapitalejerne i Diebold Nixdorf A/S / To the shareholders of Diebold Nixdorf A/S,,Regnskabsklasse B,2018-04-17,2018-04-17,2000-07-21,2018-04-17,www.dieboldnixdorf.com,25578198.0,25516729.0,25578198.0,mne34283,Ãrsrapport,Morten HÃ¸gh-Petersen,Dr. JÃ¼rgen Wunram,KPMG,Diebold Nixdorf A/S,Azets Insight  A/S,KÃ¸benhavn,2015-10-01,2016-09-30,"151, Ballerup",2017-12-31,2016-10-01,false,2018-04-17,KÃ¸benhavn,44778910.0,Bestyrelsesmedlem,RevisionspÃ¥tegning,urn:ofk:oid:25394842,indberetninger-20180424,2.5124211,25516729.0,AWMgaaz9x8uVRSOdgLaZ,2018-05-02T10:33:20.670Z,2018-05-02T10:33:05.739Z,regnskab,0.0,,2017-12-31,2016-10-01,X18-AK-35-HV,2018-05-02T10:33:05.915Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25516729,2016-10-01,2017-12-31,ID_11,,http://regnskaber.virk.dk/92761552/ZG9rdW1lbnRsYWdlcjovLzAzLzViLzZhL2QwLzczL2U1YWMtNDRjYy1iNjU5LWU0MjJmOTVhYjgxMQ.pdf,http://regnskaber.virk.dk/92761552/ZG9rdW1lbnRsYWdlcjovLzAzLzkzLzI0LzhkLzM1LzFlZTMtNGY1My1hOTc2LTcwNzg5MzJkMTQyMQ.xml,true,"2730, Herlev",LyskÃ¦r 3 CD,Til kapitalejerne i Diebold Nixdorf A/S / To the shareholders of Diebold Nixdorf A/S,17.0,Regnskabsklasse B,2018-04-17,2018-04-17,2000-07-21,2018-04-17,www.dieboldnixdorf.com,25578198.0,25516729.0,25578198.0,mne34283,Ãrsrapport,Morten HÃ¸gh-Petersen,Dr. JÃ¼rgen Wunram,KPMG,Diebold Nixdorf A/S,Azets Insight  A/S,KÃ¸benhavn,2015-10-01,2016-09-30,"151, Ballerup",2017-12-31,2016-10-01,false,2018-04-17,KÃ¸benhavn,44778910.0,Bestyrelsesmedlem,RevisionspÃ¥tegning,urn:ofk:oid:25394842,indberetninger-20180424,2.5124211,25516729.0,AWMgaaz9x8uVRSOdgLaZ,2018-05-02T10:33:20.670Z,2018-05-02T10:33:05.739Z,regnskab,0.0,,2017-12-31,2016-10-01,X18-AK-35-HV,2018-05-02T10:33:05.915Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25516729,2016-10-01,2017-12-31,ID_14,,http://regnskaber.virk.dk/92761552/ZG9rdW1lbnRsYWdlcjovLzAzLzViLzZhL2QwLzczL2U1YWMtNDRjYy1iNjU5LWU0MjJmOTVhYjgxMQ.pdf,http://regnskaber.virk.dk/92761552/ZG9rdW1lbnRsYWdlcjovLzAzLzkzLzI0LzhkLzM1LzFlZTMtNGY1My1hOTc2LTcwNzg5MzJkMTQyMQ.xml,true,"2730, Herlev",LyskÃ¦r 3 CD,Til kapitalejerne i Diebold Nixdorf A/S / To the shareholders of Diebold Nixdorf A/S,,Regnskabsklasse B,2018-04-17,2018-04-17,2000-07-21,2018-04-17,www.dieboldnixdorf.com,25578198.0,25516729.0,25578198.0,mne34283,Ãrsrapport,Morten HÃ¸gh-Petersen,Dr. JÃ¼rgen Wunram,KPMG,Diebold Nixdorf A/S,Azets Insight  A/S,KÃ¸benhavn,2015-10-01,2016-09-30,"151, Ballerup",2017-12-31,2016-10-01,false,2018-04-17,KÃ¸benhavn,44778910.0,Bestyrelsesmedlem,RevisionspÃ¥tegning,urn:ofk:oid:25394842,indberetninger-20180424,2.5124211,25516729.0,AWMgaaz9x8uVRSOdgLaZ,2018-05-02T10:33:20.670Z,2018-05-02T10:33:05.739Z,regnskab,0.0,,2017-12-31,2016-10-01,X18-AK-35-HV,2018-05-02T10:33:05.915Z,,,,,,-1732000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25516729,2016-10-01,2017-12-31,ID_2,,http://regnskaber.virk.dk/92761552/ZG9rdW1lbnRsYWdlcjovLzAzLzViLzZhL2QwLzczL2U1YWMtNDRjYy1iNjU5LWU0MjJmOTVhYjgxMQ.pdf,http://regnskaber.virk.dk/92761552/ZG9rdW1lbnRsYWdlcjovLzAzLzkzLzI0LzhkLzM1LzFlZTMtNGY1My1hOTc2LTcwNzg5MzJkMTQyMQ.xml,true,"2730, Herlev",LyskÃ¦r 3 CD,Til kapitalejerne i Diebold Nixdorf A/S / To the shareholders of Diebold Nixdorf A/S,,Regnskabsklasse B,2018-04-17,2018-04-17,2000-07-21,2018-04-17,www.dieboldnixdorf.com,25578198.0,25516729.0,25578198.0,mne34283,Ãrsrapport,Morten HÃ¸gh-Petersen,Dr. JÃ¼rgen Wunram,KPMG,Diebold Nixdorf A/S,Azets Insight  A/S,KÃ¸benhavn,2015-10-01,2016-09-30,"151, Ballerup",2017-12-31,2016-10-01,false,2018-04-17,KÃ¸benhavn,44778910.0,Bestyrelsesmedlem,RevisionspÃ¥tegning,urn:ofk:oid:25394842,indberetninger-20180424,2.5124211,25516729.0,AWMgaaz9x8uVRSOdgLaZ,2018-05-02T10:33:20.670Z,2018-05-02T10:33:05.739Z,regnskab,0.0,,2017-12-31,2016-10-01,X18-AK-35-HV,2018-05-02T10:33:05.915Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25516729,2016-10-01,2017-12-31,ID_3,,http://regnskaber.virk.dk/92761552/ZG9rdW1lbnRsYWdlcjovLzAzLzViLzZhL2QwLzczL2U1YWMtNDRjYy1iNjU5LWU0MjJmOTVhYjgxMQ.pdf,http://regnskaber.virk.dk/92761552/ZG9rdW1lbnRsYWdlcjovLzAzLzkzLzI0LzhkLzM1LzFlZTMtNGY1My1hOTc2LTcwNzg5MzJkMTQyMQ.xml,true,"2730, Herlev",LyskÃ¦r 3 CD,Til kapitalejerne i Diebold Nixdorf A/S / To the shareholders of Diebold Nixdorf A/S,,Regnskabsklasse B,2018-04-17,2018-04-17,2000-07-21,2018-04-17,www.dieboldnixdorf.com,25578198.0,25516729.0,25578198.0,mne34283,Ãrsrapport,Morten HÃ¸gh-Petersen,Dr. JÃ¼rgen Wunram,KPMG,Diebold Nixdorf A/S,Azets Insight  A/S,KÃ¸benhavn,2015-10-01,2016-09-30,"151, Ballerup",2017-12-31,2016-10-01,false,2018-04-17,KÃ¸benhavn,44778910.0,Bestyrelsesmedlem,RevisionspÃ¥tegning,urn:ofk:oid:25394842,indberetninger-20180424,2.5124211,25516729.0,AWMgaaz9x8uVRSOdgLaZ,2018-05-02T10:33:20.670Z,2018-05-02T10:33:05.739Z,regnskab,0.0,,2017-12-31,2016-10-01,X18-AK-35-HV,2018-05-02T10:33:05.915Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
