entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,ExternalExpenses,GrossResult,IdentificationNumberCvrOfReportingEntity,ImpairmentOfFinancialAssets,IncomeFromOtherLongtermInvestmentsAndReceivables,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,TaxExpense,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,NoncurrentAssets,OtherLongtermInvestments,OtherShorttermInvestments,OtherShorttermPayables,RetainedEarnings,ShorttermDebtToBanks,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTaxReceivables
10473802,2015-01-01,2015-12-31,c2,http://regnskaber.virk.dk/20837401/ZG9rdW1lbnRsYWdlcjovLzAzL2U4L2NlLzdlL2MyL2Y3ZWItNDk5OS05ZDNkLTdmYTNlOTRlZjZiYg.xhtml,http://regnskaber.virk.dk/20837401/ZG9rdW1lbnRsYWdlcjovLzAzLzkyL2NjLzk5LzdjLzUzNDMtNGEzZS1iYjVhLTQxZWQyZjRhMmFiYw.pdf,http://regnskaber.virk.dk/20837401/ZG9rdW1lbnRsYWdlcjovLzAzL2VjLzgzLzNlLzE4LzczNzQtNGUzNy1iZDgxLTczYjEwZTM5YTIwMw.xml,true,Rungsted Kyst,2960.0,11.0,Esbern Snares Vej,2920 Charlottenlund,Fortunvej 27,Regnskabsklasse B,2017-03-01,2017-03-01,2493.0,-2493.0,10473802.0,0.0,82587.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,John Gath,John Gath,STRATEGIA FINANS ApS,Erik Kold,11437.0,138318.0,Rungsted Kyst,2015-01-01,2015-12-31,206975.0,206975.0,-2493.0,2016-12-31,2016-01-01,false,false,0.0,false,false,Ingen bistand,urn:ofk:oid:23553562,indberetninger-20180424,2.5927877,10473802.0,,2018-03-27T20:40:40.044Z,2017-03-03T17:11:18.340Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AD-56-ZN,2017-03-03T17:11:18.497Z,,,,,,,,,,,,,,,,,
10473802,2015-01-01,2015-12-31,c4,http://regnskaber.virk.dk/20837401/ZG9rdW1lbnRsYWdlcjovLzAzL2U4L2NlLzdlL2MyL2Y3ZWItNDk5OS05ZDNkLTdmYTNlOTRlZjZiYg.xhtml,http://regnskaber.virk.dk/20837401/ZG9rdW1lbnRsYWdlcjovLzAzLzkyL2NjLzk5LzdjLzUzNDMtNGEzZS1iYjVhLTQxZWQyZjRhMmFiYw.pdf,http://regnskaber.virk.dk/20837401/ZG9rdW1lbnRsYWdlcjovLzAzL2VjLzgzLzNlLzE4LzczNzQtNGUzNy1iZDgxLTczYjEwZTM5YTIwMw.xml,true,Rungsted Kyst,2960.0,11.0,Esbern Snares Vej,2920 Charlottenlund,Fortunvej 27,Regnskabsklasse B,2017-03-01,2017-03-01,,,10473802.0,,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,John Gath,John Gath,STRATEGIA FINANS ApS,Erik Kold,,,Rungsted Kyst,2015-01-01,2015-12-31,206975.0,,,2016-12-31,2016-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:23553562,indberetninger-20180424,2.5927877,10473802.0,,2018-03-27T20:40:40.044Z,2017-03-03T17:11:18.340Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AD-56-ZN,2017-03-03T17:11:18.497Z,,,,,,,,,,,,,,,,,
10473802,2015-12-31,2015-12-31,c6,http://regnskaber.virk.dk/20837401/ZG9rdW1lbnRsYWdlcjovLzAzL2U4L2NlLzdlL2MyL2Y3ZWItNDk5OS05ZDNkLTdmYTNlOTRlZjZiYg.xhtml,http://regnskaber.virk.dk/20837401/ZG9rdW1lbnRsYWdlcjovLzAzLzkyL2NjLzk5LzdjLzUzNDMtNGEzZS1iYjVhLTQxZWQyZjRhMmFiYw.pdf,http://regnskaber.virk.dk/20837401/ZG9rdW1lbnRsYWdlcjovLzAzL2VjLzgzLzNlLzE4LzczNzQtNGUzNy1iZDgxLTczYjEwZTM5YTIwMw.xml,true,Rungsted Kyst,2960.0,11.0,Esbern Snares Vej,2920 Charlottenlund,Fortunvej 27,Regnskabsklasse B,2017-03-01,2017-03-01,,,10473802.0,,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,John Gath,John Gath,STRATEGIA FINANS ApS,Erik Kold,,,Rungsted Kyst,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:23553562,indberetninger-20180424,2.5927877,10473802.0,,2018-03-27T20:40:40.044Z,2017-03-03T17:11:18.340Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AD-56-ZN,2017-03-03T17:11:18.497Z,623828.0,153226.0,333828.0,422469.0,623828.0,201359.0,290000.0,290000.0,290000.0,329918.0,1658.0,269243.0,199701.0,329918.0,201359.0,3910.0,3910.0
10473802,2016-01-01,2016-01-01,c7,http://regnskaber.virk.dk/20837401/ZG9rdW1lbnRsYWdlcjovLzAzL2U4L2NlLzdlL2MyL2Y3ZWItNDk5OS05ZDNkLTdmYTNlOTRlZjZiYg.xhtml,http://regnskaber.virk.dk/20837401/ZG9rdW1lbnRsYWdlcjovLzAzLzkyL2NjLzk5LzdjLzUzNDMtNGEzZS1iYjVhLTQxZWQyZjRhMmFiYw.pdf,http://regnskaber.virk.dk/20837401/ZG9rdW1lbnRsYWdlcjovLzAzL2VjLzgzLzNlLzE4LzczNzQtNGUzNy1iZDgxLTczYjEwZTM5YTIwMw.xml,true,Rungsted Kyst,2960.0,11.0,Esbern Snares Vej,2920 Charlottenlund,Fortunvej 27,Regnskabsklasse B,2017-03-01,2017-03-01,,,10473802.0,,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,John Gath,John Gath,STRATEGIA FINANS ApS,Erik Kold,,,Rungsted Kyst,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:23553562,indberetninger-20180424,2.5927877,10473802.0,,2018-03-27T20:40:40.044Z,2017-03-03T17:11:18.340Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AD-56-ZN,2017-03-03T17:11:18.497Z,,,,153226.0,,,,,,,,,,,,,
10473802,2016-01-01,2016-01-01,c8,http://regnskaber.virk.dk/20837401/ZG9rdW1lbnRsYWdlcjovLzAzL2U4L2NlLzdlL2MyL2Y3ZWItNDk5OS05ZDNkLTdmYTNlOTRlZjZiYg.xhtml,http://regnskaber.virk.dk/20837401/ZG9rdW1lbnRsYWdlcjovLzAzLzkyL2NjLzk5LzdjLzUzNDMtNGEzZS1iYjVhLTQxZWQyZjRhMmFiYw.pdf,http://regnskaber.virk.dk/20837401/ZG9rdW1lbnRsYWdlcjovLzAzL2VjLzgzLzNlLzE4LzczNzQtNGUzNy1iZDgxLTczYjEwZTM5YTIwMw.xml,true,Rungsted Kyst,2960.0,11.0,Esbern Snares Vej,2920 Charlottenlund,Fortunvej 27,Regnskabsklasse B,2017-03-01,2017-03-01,,,10473802.0,,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,John Gath,John Gath,STRATEGIA FINANS ApS,Erik Kold,,,Rungsted Kyst,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:23553562,indberetninger-20180424,2.5927877,10473802.0,,2018-03-27T20:40:40.044Z,2017-03-03T17:11:18.340Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AD-56-ZN,2017-03-03T17:11:18.497Z,,,,269243.0,,,,,,,,,,,,,
10473802,2016-01-01,2016-01-01,c9,http://regnskaber.virk.dk/20837401/ZG9rdW1lbnRsYWdlcjovLzAzL2U4L2NlLzdlL2MyL2Y3ZWItNDk5OS05ZDNkLTdmYTNlOTRlZjZiYg.xhtml,http://regnskaber.virk.dk/20837401/ZG9rdW1lbnRsYWdlcjovLzAzLzkyL2NjLzk5LzdjLzUzNDMtNGEzZS1iYjVhLTQxZWQyZjRhMmFiYw.pdf,http://regnskaber.virk.dk/20837401/ZG9rdW1lbnRsYWdlcjovLzAzL2VjLzgzLzNlLzE4LzczNzQtNGUzNy1iZDgxLTczYjEwZTM5YTIwMw.xml,true,Rungsted Kyst,2960.0,11.0,Esbern Snares Vej,2920 Charlottenlund,Fortunvej 27,Regnskabsklasse B,2017-03-01,2017-03-01,,,10473802.0,,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,John Gath,John Gath,STRATEGIA FINANS ApS,Erik Kold,,,Rungsted Kyst,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:23553562,indberetninger-20180424,2.5927877,10473802.0,,2018-03-27T20:40:40.044Z,2017-03-03T17:11:18.340Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AD-56-ZN,2017-03-03T17:11:18.497Z,,,,422469.0,,,,,,,,,,,,,
10473802,2016-01-01,2016-12-31,c0,http://regnskaber.virk.dk/20837401/ZG9rdW1lbnRsYWdlcjovLzAzL2U4L2NlLzdlL2MyL2Y3ZWItNDk5OS05ZDNkLTdmYTNlOTRlZjZiYg.xhtml,http://regnskaber.virk.dk/20837401/ZG9rdW1lbnRsYWdlcjovLzAzLzkyL2NjLzk5LzdjLzUzNDMtNGEzZS1iYjVhLTQxZWQyZjRhMmFiYw.pdf,http://regnskaber.virk.dk/20837401/ZG9rdW1lbnRsYWdlcjovLzAzL2VjLzgzLzNlLzE4LzczNzQtNGUzNy1iZDgxLTczYjEwZTM5YTIwMw.xml,true,Rungsted Kyst,2960.0,11.0,Esbern Snares Vej,2920 Charlottenlund,Fortunvej 27,Regnskabsklasse B,2017-03-01,2017-03-01,2893.0,-2893.0,10473802.0,119791.0,9425.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,John Gath,John Gath,STRATEGIA FINANS ApS,Erik Kold,12035.0,7755.0,Rungsted Kyst,2015-01-01,2015-12-31,-136963.0,-117539.0,-2893.0,2016-12-31,2016-01-01,false,false,19424.0,false,false,Ingen bistand,urn:ofk:oid:23553562,indberetninger-20180424,2.5927877,10473802.0,,2018-03-27T20:40:40.044Z,2017-03-03T17:11:18.340Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AD-56-ZN,2017-03-03T17:11:18.497Z,,,,,,,,,,,,,,,,,
10473802,2016-01-01,2016-12-31,c1,http://regnskaber.virk.dk/20837401/ZG9rdW1lbnRsYWdlcjovLzAzL2U4L2NlLzdlL2MyL2Y3ZWItNDk5OS05ZDNkLTdmYTNlOTRlZjZiYg.xhtml,http://regnskaber.virk.dk/20837401/ZG9rdW1lbnRsYWdlcjovLzAzLzkyL2NjLzk5LzdjLzUzNDMtNGEzZS1iYjVhLTQxZWQyZjRhMmFiYw.pdf,http://regnskaber.virk.dk/20837401/ZG9rdW1lbnRsYWdlcjovLzAzL2VjLzgzLzNlLzE4LzczNzQtNGUzNy1iZDgxLTczYjEwZTM5YTIwMw.xml,true,Rungsted Kyst,2960.0,11.0,Esbern Snares Vej,2920 Charlottenlund,Fortunvej 27,Regnskabsklasse B,2017-03-01,2017-03-01,,,10473802.0,,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,John Gath,John Gath,STRATEGIA FINANS ApS,Erik Kold,,,Rungsted Kyst,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:23553562,indberetninger-20180424,2.5927877,10473802.0,,2018-03-27T20:40:40.044Z,2017-03-03T17:11:18.340Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AD-56-ZN,2017-03-03T17:11:18.497Z,,,,,,,,,,,,,,,,,
10473802,2016-01-01,2016-12-31,c10,http://regnskaber.virk.dk/20837401/ZG9rdW1lbnRsYWdlcjovLzAzL2U4L2NlLzdlL2MyL2Y3ZWItNDk5OS05ZDNkLTdmYTNlOTRlZjZiYg.xhtml,http://regnskaber.virk.dk/20837401/ZG9rdW1lbnRsYWdlcjovLzAzLzkyL2NjLzk5LzdjLzUzNDMtNGEzZS1iYjVhLTQxZWQyZjRhMmFiYw.pdf,http://regnskaber.virk.dk/20837401/ZG9rdW1lbnRsYWdlcjovLzAzL2VjLzgzLzNlLzE4LzczNzQtNGUzNy1iZDgxLTczYjEwZTM5YTIwMw.xml,true,Rungsted Kyst,2960.0,11.0,Esbern Snares Vej,2920 Charlottenlund,Fortunvej 27,Regnskabsklasse B,2017-03-01,2017-03-01,,,10473802.0,,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,John Gath,John Gath,STRATEGIA FINANS ApS,Erik Kold,,,Rungsted Kyst,2015-01-01,2015-12-31,-136963.0,,,2016-12-31,2016-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:23553562,indberetninger-20180424,2.5927877,10473802.0,,2018-03-27T20:40:40.044Z,2017-03-03T17:11:18.340Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AD-56-ZN,2017-03-03T17:11:18.497Z,,,,,,,,,,,,,,,,,
10473802,2016-01-01,2016-12-31,c3,http://regnskaber.virk.dk/20837401/ZG9rdW1lbnRsYWdlcjovLzAzL2U4L2NlLzdlL2MyL2Y3ZWItNDk5OS05ZDNkLTdmYTNlOTRlZjZiYg.xhtml,http://regnskaber.virk.dk/20837401/ZG9rdW1lbnRsYWdlcjovLzAzLzkyL2NjLzk5LzdjLzUzNDMtNGEzZS1iYjVhLTQxZWQyZjRhMmFiYw.pdf,http://regnskaber.virk.dk/20837401/ZG9rdW1lbnRsYWdlcjovLzAzL2VjLzgzLzNlLzE4LzczNzQtNGUzNy1iZDgxLTczYjEwZTM5YTIwMw.xml,true,Rungsted Kyst,2960.0,11.0,Esbern Snares Vej,2920 Charlottenlund,Fortunvej 27,Regnskabsklasse B,2017-03-01,2017-03-01,,,10473802.0,,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,John Gath,John Gath,STRATEGIA FINANS ApS,Erik Kold,,,Rungsted Kyst,2015-01-01,2015-12-31,-136963.0,,,2016-12-31,2016-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:23553562,indberetninger-20180424,2.5927877,10473802.0,,2018-03-27T20:40:40.044Z,2017-03-03T17:11:18.340Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AD-56-ZN,2017-03-03T17:11:18.497Z,,,,,,,,,,,,,,,,,
