entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,ExternalExpenses,GrossResult,IdentificationNumberCvrOfReportingEntity,ImpairmentOfFinancialAssets,IncomeFromOtherLongtermInvestmentsAndReceivables,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,TaxExpense,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,NoncurrentAssets,OtherLongtermInvestments,OtherShorttermInvestments,RetainedEarnings,ShorttermDebtToBanks,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTaxReceivables
10473802,2016-01-01,2016-12-31,c2,http://regnskaber.virk.dk/20837401/ZG9rdW1lbnRsYWdlcjovLzAzLzM2LzQzLzcyLzE3LzkwYTktNDZmNy04ZjY5LTUzMDI5ZmM0ZWFhNg.xhtml,http://regnskaber.virk.dk/20837401/ZG9rdW1lbnRsYWdlcjovLzAzLzUzL2I0L2JkLzM4L2MxNjEtNDk5YS04NmNlLTQ3NzRjOTk5YjljMg.pdf,http://regnskaber.virk.dk/20837401/ZG9rdW1lbnRsYWdlcjovLzAzLzgyL2E1L2ZkLzNmLzQyMDEtNGQ2Ny04ZTI1LWIyNDBmNjYyMTEyMw.xml,true,Rungsted Kyst,2960.0,11.0,Esbern Snares Vej,2920 Charlottenlund,Fortunvej 27,Regnskabsklasse B,2018-03-01,2018-03-01,2893.0,-2893.0,10473802.0,119791.0,9425.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,John Gath,John Gath,STRATEGIA FINANS ApS,Erik Kold,12035.0,7755.0,Rungsted Kyst,2016-01-01,2016-12-31,-136963.0,-117539.0,-2893.0,2017-12-31,2017-01-01,false,false,19424.0,false,false,Ingen bistand,urn:ofk:oid:25116060,indberetninger-20180424,2.5926397,10473802.0,,2018-04-04T01:48:34.976Z,2018-03-01T11:41:55.987Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AD-45-QJ,2018-03-01T11:41:56.245Z,,,,,,,,,,,,,,,,
10473802,2016-01-01,2016-12-31,c4,http://regnskaber.virk.dk/20837401/ZG9rdW1lbnRsYWdlcjovLzAzLzM2LzQzLzcyLzE3LzkwYTktNDZmNy04ZjY5LTUzMDI5ZmM0ZWFhNg.xhtml,http://regnskaber.virk.dk/20837401/ZG9rdW1lbnRsYWdlcjovLzAzLzUzL2I0L2JkLzM4L2MxNjEtNDk5YS04NmNlLTQ3NzRjOTk5YjljMg.pdf,http://regnskaber.virk.dk/20837401/ZG9rdW1lbnRsYWdlcjovLzAzLzgyL2E1L2ZkLzNmLzQyMDEtNGQ2Ny04ZTI1LWIyNDBmNjYyMTEyMw.xml,true,Rungsted Kyst,2960.0,11.0,Esbern Snares Vej,2920 Charlottenlund,Fortunvej 27,Regnskabsklasse B,2018-03-01,2018-03-01,,,10473802.0,,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,John Gath,John Gath,STRATEGIA FINANS ApS,Erik Kold,,,Rungsted Kyst,2016-01-01,2016-12-31,-136963.0,,,2017-12-31,2017-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:25116060,indberetninger-20180424,2.5926397,10473802.0,,2018-04-04T01:48:34.976Z,2018-03-01T11:41:55.987Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AD-45-QJ,2018-03-01T11:41:56.245Z,,,,,,,,,,,,,,,,
10473802,2016-12-31,2016-12-31,c6,http://regnskaber.virk.dk/20837401/ZG9rdW1lbnRsYWdlcjovLzAzLzM2LzQzLzcyLzE3LzkwYTktNDZmNy04ZjY5LTUzMDI5ZmM0ZWFhNg.xhtml,http://regnskaber.virk.dk/20837401/ZG9rdW1lbnRsYWdlcjovLzAzLzUzL2I0L2JkLzM4L2MxNjEtNDk5YS04NmNlLTQ3NzRjOTk5YjljMg.pdf,http://regnskaber.virk.dk/20837401/ZG9rdW1lbnRsYWdlcjovLzAzLzgyL2E1L2ZkLzNmLzQyMDEtNGQ2Ny04ZTI1LWIyNDBmNjYyMTEyMw.xml,true,Rungsted Kyst,2960.0,11.0,Esbern Snares Vej,2920 Charlottenlund,Fortunvej 27,Regnskabsklasse B,2018-03-01,2018-03-01,,,10473802.0,,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,John Gath,John Gath,STRATEGIA FINANS ApS,Erik Kold,,,Rungsted Kyst,2016-01-01,2016-12-31,,,,2017-12-31,2017-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:25116060,indberetninger-20180424,2.5926397,10473802.0,,2018-04-04T01:48:34.976Z,2018-03-01T11:41:55.987Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AD-45-QJ,2018-03-01T11:41:56.245Z,503907.0,153226.0,213907.0,285506.0,503907.0,218401.0,290000.0,290000.0,290000.0,210127.0,132280.0,218401.0,210127.0,218401.0,3780.0,3780.0
10473802,2017-01-01,2017-01-01,c7,http://regnskaber.virk.dk/20837401/ZG9rdW1lbnRsYWdlcjovLzAzLzM2LzQzLzcyLzE3LzkwYTktNDZmNy04ZjY5LTUzMDI5ZmM0ZWFhNg.xhtml,http://regnskaber.virk.dk/20837401/ZG9rdW1lbnRsYWdlcjovLzAzLzUzL2I0L2JkLzM4L2MxNjEtNDk5YS04NmNlLTQ3NzRjOTk5YjljMg.pdf,http://regnskaber.virk.dk/20837401/ZG9rdW1lbnRsYWdlcjovLzAzLzgyL2E1L2ZkLzNmLzQyMDEtNGQ2Ny04ZTI1LWIyNDBmNjYyMTEyMw.xml,true,Rungsted Kyst,2960.0,11.0,Esbern Snares Vej,2920 Charlottenlund,Fortunvej 27,Regnskabsklasse B,2018-03-01,2018-03-01,,,10473802.0,,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,John Gath,John Gath,STRATEGIA FINANS ApS,Erik Kold,,,Rungsted Kyst,2016-01-01,2016-12-31,,,,2017-12-31,2017-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:25116060,indberetninger-20180424,2.5926397,10473802.0,,2018-04-04T01:48:34.976Z,2018-03-01T11:41:55.987Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AD-45-QJ,2018-03-01T11:41:56.245Z,,,,153226.0,,,,,,,,,,,,
10473802,2017-01-01,2017-01-01,c8,http://regnskaber.virk.dk/20837401/ZG9rdW1lbnRsYWdlcjovLzAzLzM2LzQzLzcyLzE3LzkwYTktNDZmNy04ZjY5LTUzMDI5ZmM0ZWFhNg.xhtml,http://regnskaber.virk.dk/20837401/ZG9rdW1lbnRsYWdlcjovLzAzLzUzL2I0L2JkLzM4L2MxNjEtNDk5YS04NmNlLTQ3NzRjOTk5YjljMg.pdf,http://regnskaber.virk.dk/20837401/ZG9rdW1lbnRsYWdlcjovLzAzLzgyL2E1L2ZkLzNmLzQyMDEtNGQ2Ny04ZTI1LWIyNDBmNjYyMTEyMw.xml,true,Rungsted Kyst,2960.0,11.0,Esbern Snares Vej,2920 Charlottenlund,Fortunvej 27,Regnskabsklasse B,2018-03-01,2018-03-01,,,10473802.0,,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,John Gath,John Gath,STRATEGIA FINANS ApS,Erik Kold,,,Rungsted Kyst,2016-01-01,2016-12-31,,,,2017-12-31,2017-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:25116060,indberetninger-20180424,2.5926397,10473802.0,,2018-04-04T01:48:34.976Z,2018-03-01T11:41:55.987Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AD-45-QJ,2018-03-01T11:41:56.245Z,,,,132280.0,,,,,,,,,,,,
10473802,2017-01-01,2017-01-01,c9,http://regnskaber.virk.dk/20837401/ZG9rdW1lbnRsYWdlcjovLzAzLzM2LzQzLzcyLzE3LzkwYTktNDZmNy04ZjY5LTUzMDI5ZmM0ZWFhNg.xhtml,http://regnskaber.virk.dk/20837401/ZG9rdW1lbnRsYWdlcjovLzAzLzUzL2I0L2JkLzM4L2MxNjEtNDk5YS04NmNlLTQ3NzRjOTk5YjljMg.pdf,http://regnskaber.virk.dk/20837401/ZG9rdW1lbnRsYWdlcjovLzAzLzgyL2E1L2ZkLzNmLzQyMDEtNGQ2Ny04ZTI1LWIyNDBmNjYyMTEyMw.xml,true,Rungsted Kyst,2960.0,11.0,Esbern Snares Vej,2920 Charlottenlund,Fortunvej 27,Regnskabsklasse B,2018-03-01,2018-03-01,,,10473802.0,,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,John Gath,John Gath,STRATEGIA FINANS ApS,Erik Kold,,,Rungsted Kyst,2016-01-01,2016-12-31,,,,2017-12-31,2017-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:25116060,indberetninger-20180424,2.5926397,10473802.0,,2018-04-04T01:48:34.976Z,2018-03-01T11:41:55.987Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AD-45-QJ,2018-03-01T11:41:56.245Z,,,,285506.0,,,,,,,,,,,,
10473802,2017-01-01,2017-12-31,c0,http://regnskaber.virk.dk/20837401/ZG9rdW1lbnRsYWdlcjovLzAzLzM2LzQzLzcyLzE3LzkwYTktNDZmNy04ZjY5LTUzMDI5ZmM0ZWFhNg.xhtml,http://regnskaber.virk.dk/20837401/ZG9rdW1lbnRsYWdlcjovLzAzLzUzL2I0L2JkLzM4L2MxNjEtNDk5YS04NmNlLTQ3NzRjOTk5YjljMg.pdf,http://regnskaber.virk.dk/20837401/ZG9rdW1lbnRsYWdlcjovLzAzLzgyL2E1L2ZkLzNmLzQyMDEtNGQ2Ny04ZTI1LWIyNDBmNjYyMTEyMw.xml,true,Rungsted Kyst,2960.0,11.0,Esbern Snares Vej,2920 Charlottenlund,Fortunvej 27,Regnskabsklasse B,2018-03-01,2018-03-01,1519.0,-1519.0,10473802.0,-54611.0,16312.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,John Gath,John Gath,STRATEGIA FINANS ApS,Erik Kold,12398.0,3798.0,Rungsted Kyst,2016-01-01,2016-12-31,60804.0,60804.0,-1519.0,2017-12-31,2017-01-01,false,false,0.0,false,false,Ingen bistand,urn:ofk:oid:25116060,indberetninger-20180424,2.5926397,10473802.0,,2018-04-04T01:48:34.976Z,2018-03-01T11:41:55.987Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AD-45-QJ,2018-03-01T11:41:56.245Z,,,,,,,,,,,,,,,,
10473802,2017-01-01,2017-12-31,c1,http://regnskaber.virk.dk/20837401/ZG9rdW1lbnRsYWdlcjovLzAzLzM2LzQzLzcyLzE3LzkwYTktNDZmNy04ZjY5LTUzMDI5ZmM0ZWFhNg.xhtml,http://regnskaber.virk.dk/20837401/ZG9rdW1lbnRsYWdlcjovLzAzLzUzL2I0L2JkLzM4L2MxNjEtNDk5YS04NmNlLTQ3NzRjOTk5YjljMg.pdf,http://regnskaber.virk.dk/20837401/ZG9rdW1lbnRsYWdlcjovLzAzLzgyL2E1L2ZkLzNmLzQyMDEtNGQ2Ny04ZTI1LWIyNDBmNjYyMTEyMw.xml,true,Rungsted Kyst,2960.0,11.0,Esbern Snares Vej,2920 Charlottenlund,Fortunvej 27,Regnskabsklasse B,2018-03-01,2018-03-01,,,10473802.0,,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,John Gath,John Gath,STRATEGIA FINANS ApS,Erik Kold,,,Rungsted Kyst,2016-01-01,2016-12-31,,,,2017-12-31,2017-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:25116060,indberetninger-20180424,2.5926397,10473802.0,,2018-04-04T01:48:34.976Z,2018-03-01T11:41:55.987Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AD-45-QJ,2018-03-01T11:41:56.245Z,,,,,,,,,,,,,,,,
10473802,2017-01-01,2017-12-31,c10,http://regnskaber.virk.dk/20837401/ZG9rdW1lbnRsYWdlcjovLzAzLzM2LzQzLzcyLzE3LzkwYTktNDZmNy04ZjY5LTUzMDI5ZmM0ZWFhNg.xhtml,http://regnskaber.virk.dk/20837401/ZG9rdW1lbnRsYWdlcjovLzAzLzUzL2I0L2JkLzM4L2MxNjEtNDk5YS04NmNlLTQ3NzRjOTk5YjljMg.pdf,http://regnskaber.virk.dk/20837401/ZG9rdW1lbnRsYWdlcjovLzAzLzgyL2E1L2ZkLzNmLzQyMDEtNGQ2Ny04ZTI1LWIyNDBmNjYyMTEyMw.xml,true,Rungsted Kyst,2960.0,11.0,Esbern Snares Vej,2920 Charlottenlund,Fortunvej 27,Regnskabsklasse B,2018-03-01,2018-03-01,,,10473802.0,,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,John Gath,John Gath,STRATEGIA FINANS ApS,Erik Kold,,,Rungsted Kyst,2016-01-01,2016-12-31,60804.0,,,2017-12-31,2017-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:25116060,indberetninger-20180424,2.5926397,10473802.0,,2018-04-04T01:48:34.976Z,2018-03-01T11:41:55.987Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AD-45-QJ,2018-03-01T11:41:56.245Z,,,,,,,,,,,,,,,,
10473802,2017-01-01,2017-12-31,c3,http://regnskaber.virk.dk/20837401/ZG9rdW1lbnRsYWdlcjovLzAzLzM2LzQzLzcyLzE3LzkwYTktNDZmNy04ZjY5LTUzMDI5ZmM0ZWFhNg.xhtml,http://regnskaber.virk.dk/20837401/ZG9rdW1lbnRsYWdlcjovLzAzLzUzL2I0L2JkLzM4L2MxNjEtNDk5YS04NmNlLTQ3NzRjOTk5YjljMg.pdf,http://regnskaber.virk.dk/20837401/ZG9rdW1lbnRsYWdlcjovLzAzLzgyL2E1L2ZkLzNmLzQyMDEtNGQ2Ny04ZTI1LWIyNDBmNjYyMTEyMw.xml,true,Rungsted Kyst,2960.0,11.0,Esbern Snares Vej,2920 Charlottenlund,Fortunvej 27,Regnskabsklasse B,2018-03-01,2018-03-01,,,10473802.0,,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,John Gath,John Gath,STRATEGIA FINANS ApS,Erik Kold,,,Rungsted Kyst,2016-01-01,2016-12-31,60804.0,,,2017-12-31,2017-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:25116060,indberetninger-20180424,2.5926397,10473802.0,,2018-04-04T01:48:34.976Z,2018-03-01T11:41:55.987Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AD-45-QJ,2018-03-01T11:41:56.245Z,,,,,,,,,,,,,,,,
