entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DisclosureOfContingentLiabilities,DisclosureOfMortgagesAndCollaterals,GrossProfitLoss,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,TaxExpense,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,DepositsLongtermInvestmentsAndReceivables,DepositsShorttermLiabilitiesOtherThanProvisions,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,NoncurrentAssets,OtherShorttermPayables,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,DividendPaid
28886861,2015-01-01,2015-12-31,c2,http://regnskaber.virk.dk/16868882/ZG9rdW1lbnRsYWdlcjovLzAzLzlmLzJhLzA0L2U1Lzk4YWYtNDRjZS04MDY4LTc3YmI1NmM1OWFiMQ.xhtml,http://regnskaber.virk.dk/16868882/ZG9rdW1lbnRsYWdlcjovLzAzLzk4LzdjLzVlLzZlL2JjNmUtNDE3ZC1hYTQ4LTJlNGE0NzEyODg4MA.pdf,http://regnskaber.virk.dk/16868882/ZG9rdW1lbnRsYWdlcjovLzAzL2IwL2U2L2ZiL2FkLzBmNTctNDk2My05ZTg2LTkyNmViOWEwNmZlZA.xml,true,Grindsted,7200.0,4.0,RavnsÃ¸vej,7200 Grindsted,Gammel Vejlevej 2,Regnskabsklasse B,2017-05-31,2017-05-31,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",0.0,28886861.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Tonni Juul Poulsen,Tonni Juul Poulsen,TJP UDLEJNING ApS,Kristian Duus,Grindsted,2015-01-01,2015-12-31,-2300.0,0.0,0.0,2016-12-31,2016-01-01,false,false,2300.0,false,false,Ingen bistand,urn:ofk:oid:24273752,indberetninger-20180424,2.5949402000000004,28886861.0,,2018-03-29T17:04:06.969Z,2017-06-21T22:19:24.272Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AN-52-FY,2017-06-21T22:19:24.609Z,,,,,,,,,,,,,,,,,,
28886861,2015-01-01,2015-12-31,c4,http://regnskaber.virk.dk/16868882/ZG9rdW1lbnRsYWdlcjovLzAzLzlmLzJhLzA0L2U1Lzk4YWYtNDRjZS04MDY4LTc3YmI1NmM1OWFiMQ.xhtml,http://regnskaber.virk.dk/16868882/ZG9rdW1lbnRsYWdlcjovLzAzLzk4LzdjLzVlLzZlL2JjNmUtNDE3ZC1hYTQ4LTJlNGE0NzEyODg4MA.pdf,http://regnskaber.virk.dk/16868882/ZG9rdW1lbnRsYWdlcjovLzAzL2IwL2U2L2ZiL2FkLzBmNTctNDk2My05ZTg2LTkyNmViOWEwNmZlZA.xml,true,Grindsted,7200.0,4.0,RavnsÃ¸vej,7200 Grindsted,Gammel Vejlevej 2,Regnskabsklasse B,2017-05-31,2017-05-31,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,28886861.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Tonni Juul Poulsen,Tonni Juul Poulsen,TJP UDLEJNING ApS,Kristian Duus,Grindsted,2015-01-01,2015-12-31,0.0,,,2016-12-31,2016-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:24273752,indberetninger-20180424,2.5949402000000004,28886861.0,,2018-03-29T17:04:06.969Z,2017-06-21T22:19:24.272Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AN-52-FY,2017-06-21T22:19:24.609Z,,,,,,,,,,,,,,,,,,
28886861,2015-01-01,2015-12-31,c6,http://regnskaber.virk.dk/16868882/ZG9rdW1lbnRsYWdlcjovLzAzLzlmLzJhLzA0L2U1Lzk4YWYtNDRjZS04MDY4LTc3YmI1NmM1OWFiMQ.xhtml,http://regnskaber.virk.dk/16868882/ZG9rdW1lbnRsYWdlcjovLzAzLzk4LzdjLzVlLzZlL2JjNmUtNDE3ZC1hYTQ4LTJlNGE0NzEyODg4MA.pdf,http://regnskaber.virk.dk/16868882/ZG9rdW1lbnRsYWdlcjovLzAzL2IwL2U2L2ZiL2FkLzBmNTctNDk2My05ZTg2LTkyNmViOWEwNmZlZA.xml,true,Grindsted,7200.0,4.0,RavnsÃ¸vej,7200 Grindsted,Gammel Vejlevej 2,Regnskabsklasse B,2017-05-31,2017-05-31,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,28886861.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Tonni Juul Poulsen,Tonni Juul Poulsen,TJP UDLEJNING ApS,Kristian Duus,Grindsted,2015-01-01,2015-12-31,-2300.0,,,2016-12-31,2016-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:24273752,indberetninger-20180424,2.5949402000000004,28886861.0,,2018-03-29T17:04:06.969Z,2017-06-21T22:19:24.272Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AN-52-FY,2017-06-21T22:19:24.609Z,,,,,,,,,,,,,,,,,,
28886861,2015-12-31,2015-12-31,c8,http://regnskaber.virk.dk/16868882/ZG9rdW1lbnRsYWdlcjovLzAzLzlmLzJhLzA0L2U1Lzk4YWYtNDRjZS04MDY4LTc3YmI1NmM1OWFiMQ.xhtml,http://regnskaber.virk.dk/16868882/ZG9rdW1lbnRsYWdlcjovLzAzLzk4LzdjLzVlLzZlL2JjNmUtNDE3ZC1hYTQ4LTJlNGE0NzEyODg4MA.pdf,http://regnskaber.virk.dk/16868882/ZG9rdW1lbnRsYWdlcjovLzAzL2IwL2U2L2ZiL2FkLzBmNTctNDk2My05ZTg2LTkyNmViOWEwNmZlZA.xml,true,Grindsted,7200.0,4.0,RavnsÃ¸vej,7200 Grindsted,Gammel Vejlevej 2,Regnskabsklasse B,2017-05-31,2017-05-31,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,28886861.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Tonni Juul Poulsen,Tonni Juul Poulsen,TJP UDLEJNING ApS,Kristian Duus,Grindsted,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:24273752,indberetninger-20180424,2.5949402000000004,28886861.0,,2018-03-29T17:04:06.969Z,2017-06-21T22:19:24.272Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AN-52-FY,2017-06-21T22:19:24.609Z,328732.0,125000.0,6700.0,6700.0,322032.0,112500.0,167353.0,328732.0,161379.0,322032.0,322032.0,37747.0,42353.0,161379.0,11132.0,6700.0,0.0,
28886861,2016-01-01,2016-01-01,c10,http://regnskaber.virk.dk/16868882/ZG9rdW1lbnRsYWdlcjovLzAzLzlmLzJhLzA0L2U1Lzk4YWYtNDRjZS04MDY4LTc3YmI1NmM1OWFiMQ.xhtml,http://regnskaber.virk.dk/16868882/ZG9rdW1lbnRsYWdlcjovLzAzLzk4LzdjLzVlLzZlL2JjNmUtNDE3ZC1hYTQ4LTJlNGE0NzEyODg4MA.pdf,http://regnskaber.virk.dk/16868882/ZG9rdW1lbnRsYWdlcjovLzAzL2IwL2U2L2ZiL2FkLzBmNTctNDk2My05ZTg2LTkyNmViOWEwNmZlZA.xml,true,Grindsted,7200.0,4.0,RavnsÃ¸vej,7200 Grindsted,Gammel Vejlevej 2,Regnskabsklasse B,2017-05-31,2017-05-31,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,28886861.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Tonni Juul Poulsen,Tonni Juul Poulsen,TJP UDLEJNING ApS,Kristian Duus,Grindsted,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:24273752,indberetninger-20180424,2.5949402000000004,28886861.0,,2018-03-29T17:04:06.969Z,2017-06-21T22:19:24.272Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AN-52-FY,2017-06-21T22:19:24.609Z,,,,,,,42353.0,,,,,,,,,,,
28886861,2016-01-01,2016-01-01,c11,http://regnskaber.virk.dk/16868882/ZG9rdW1lbnRsYWdlcjovLzAzLzlmLzJhLzA0L2U1Lzk4YWYtNDRjZS04MDY4LTc3YmI1NmM1OWFiMQ.xhtml,http://regnskaber.virk.dk/16868882/ZG9rdW1lbnRsYWdlcjovLzAzLzk4LzdjLzVlLzZlL2JjNmUtNDE3ZC1hYTQ4LTJlNGE0NzEyODg4MA.pdf,http://regnskaber.virk.dk/16868882/ZG9rdW1lbnRsYWdlcjovLzAzL2IwL2U2L2ZiL2FkLzBmNTctNDk2My05ZTg2LTkyNmViOWEwNmZlZA.xml,true,Grindsted,7200.0,4.0,RavnsÃ¸vej,7200 Grindsted,Gammel Vejlevej 2,Regnskabsklasse B,2017-05-31,2017-05-31,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,28886861.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Tonni Juul Poulsen,Tonni Juul Poulsen,TJP UDLEJNING ApS,Kristian Duus,Grindsted,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:24273752,indberetninger-20180424,2.5949402000000004,28886861.0,,2018-03-29T17:04:06.969Z,2017-06-21T22:19:24.272Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AN-52-FY,2017-06-21T22:19:24.609Z,,,,,,,0.0,,,,,,,,,,,
28886861,2016-01-01,2016-01-01,c12,http://regnskaber.virk.dk/16868882/ZG9rdW1lbnRsYWdlcjovLzAzLzlmLzJhLzA0L2U1Lzk4YWYtNDRjZS04MDY4LTc3YmI1NmM1OWFiMQ.xhtml,http://regnskaber.virk.dk/16868882/ZG9rdW1lbnRsYWdlcjovLzAzLzk4LzdjLzVlLzZlL2JjNmUtNDE3ZC1hYTQ4LTJlNGE0NzEyODg4MA.pdf,http://regnskaber.virk.dk/16868882/ZG9rdW1lbnRsYWdlcjovLzAzL2IwL2U2L2ZiL2FkLzBmNTctNDk2My05ZTg2LTkyNmViOWEwNmZlZA.xml,true,Grindsted,7200.0,4.0,RavnsÃ¸vej,7200 Grindsted,Gammel Vejlevej 2,Regnskabsklasse B,2017-05-31,2017-05-31,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,28886861.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Tonni Juul Poulsen,Tonni Juul Poulsen,TJP UDLEJNING ApS,Kristian Duus,Grindsted,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:24273752,indberetninger-20180424,2.5949402000000004,28886861.0,,2018-03-29T17:04:06.969Z,2017-06-21T22:19:24.272Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AN-52-FY,2017-06-21T22:19:24.609Z,,,,,,,167353.0,,,,,,,,,,,
28886861,2016-01-01,2016-01-01,c9,http://regnskaber.virk.dk/16868882/ZG9rdW1lbnRsYWdlcjovLzAzLzlmLzJhLzA0L2U1Lzk4YWYtNDRjZS04MDY4LTc3YmI1NmM1OWFiMQ.xhtml,http://regnskaber.virk.dk/16868882/ZG9rdW1lbnRsYWdlcjovLzAzLzk4LzdjLzVlLzZlL2JjNmUtNDE3ZC1hYTQ4LTJlNGE0NzEyODg4MA.pdf,http://regnskaber.virk.dk/16868882/ZG9rdW1lbnRsYWdlcjovLzAzL2IwL2U2L2ZiL2FkLzBmNTctNDk2My05ZTg2LTkyNmViOWEwNmZlZA.xml,true,Grindsted,7200.0,4.0,RavnsÃ¸vej,7200 Grindsted,Gammel Vejlevej 2,Regnskabsklasse B,2017-05-31,2017-05-31,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,28886861.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Tonni Juul Poulsen,Tonni Juul Poulsen,TJP UDLEJNING ApS,Kristian Duus,Grindsted,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:24273752,indberetninger-20180424,2.5949402000000004,28886861.0,,2018-03-29T17:04:06.969Z,2017-06-21T22:19:24.272Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AN-52-FY,2017-06-21T22:19:24.609Z,,,,,,,125000.0,,,,,,,,,,,
28886861,2016-01-01,2016-12-31,c0,http://regnskaber.virk.dk/16868882/ZG9rdW1lbnRsYWdlcjovLzAzLzlmLzJhLzA0L2U1Lzk4YWYtNDRjZS04MDY4LTc3YmI1NmM1OWFiMQ.xhtml,http://regnskaber.virk.dk/16868882/ZG9rdW1lbnRsYWdlcjovLzAzLzk4LzdjLzVlLzZlL2JjNmUtNDE3ZC1hYTQ4LTJlNGE0NzEyODg4MA.pdf,http://regnskaber.virk.dk/16868882/ZG9rdW1lbnRsYWdlcjovLzAzL2IwL2U2L2ZiL2FkLzBmNTctNDk2My05ZTg2LTkyNmViOWEwNmZlZA.xml,true,Grindsted,7200.0,4.0,RavnsÃ¸vej,7200 Grindsted,Gammel Vejlevej 2,Regnskabsklasse B,2017-05-31,2017-05-31,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",0.0,28886861.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Tonni Juul Poulsen,Tonni Juul Poulsen,TJP UDLEJNING ApS,Kristian Duus,Grindsted,2015-01-01,2015-12-31,0.0,0.0,0.0,2016-12-31,2016-01-01,false,false,0.0,false,false,Ingen bistand,urn:ofk:oid:24273752,indberetninger-20180424,2.5949402000000004,28886861.0,,2018-03-29T17:04:06.969Z,2017-06-21T22:19:24.272Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AN-52-FY,2017-06-21T22:19:24.609Z,,,,,,,,,,,,,,,,,,0.0
28886861,2016-01-01,2016-12-31,c1,http://regnskaber.virk.dk/16868882/ZG9rdW1lbnRsYWdlcjovLzAzLzlmLzJhLzA0L2U1Lzk4YWYtNDRjZS04MDY4LTc3YmI1NmM1OWFiMQ.xhtml,http://regnskaber.virk.dk/16868882/ZG9rdW1lbnRsYWdlcjovLzAzLzk4LzdjLzVlLzZlL2JjNmUtNDE3ZC1hYTQ4LTJlNGE0NzEyODg4MA.pdf,http://regnskaber.virk.dk/16868882/ZG9rdW1lbnRsYWdlcjovLzAzL2IwL2U2L2ZiL2FkLzBmNTctNDk2My05ZTg2LTkyNmViOWEwNmZlZA.xml,true,Grindsted,7200.0,4.0,RavnsÃ¸vej,7200 Grindsted,Gammel Vejlevej 2,Regnskabsklasse B,2017-05-31,2017-05-31,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,28886861.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Tonni Juul Poulsen,Tonni Juul Poulsen,TJP UDLEJNING ApS,Kristian Duus,Grindsted,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:24273752,indberetninger-20180424,2.5949402000000004,28886861.0,,2018-03-29T17:04:06.969Z,2017-06-21T22:19:24.272Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AN-52-FY,2017-06-21T22:19:24.609Z,,,,,,,,,,,,,,,,,,
