entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,ClassOfReportingEntity,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,GrossProfitLoss,OtherFinanceExpenses,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,OtherShorttermPayables,OtherShorttermReceivables,RetainedEarnings,ShorttermDebtToBanks,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermTradePayables,ShorttermTradeReceivables
25848144,2014-01-01,2014-12-31,ID_11,,http://regnskaber.virk.dk/44184852/ZG9rdW1lbnRsYWdlcjovLzAzLzI2L2M4LzM3L2M1L2MzMDctNDE3OC05MTg1LTNkZjhkMTc2ODA2Yg.pdf,http://regnskaber.virk.dk/44184852/ZG9rdW1lbnRsYWdlcjovLzAzLzI2L2Q3LzdmLzdiLzQxODAtNDRhMC05OTViLTRjNDRhMDBjYjJjYw.xml,"4700, NÃ¦stved",Erantisvej 53,Til den daglige ledelse i Media-People ApS,Regnskabsklasse B,2016-07-05,2001-01-02,2016-07-05,25848144.0,19723402.0,Ãrsrapport,Ole Bolvig Hansen,Ole  Bolvig Hansen,Danske Bank,Media-People ApS,"Revisions-Centret, Registreret revisionsvirksomhed",2014-01-01,2014-12-31,-21340.0,"Lyngby-TÃ¥rbÃ¦k, 173",2015-12-31,2015-01-01,2016-07-05,NÃ¦stved,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22811836,indberetninger-20180424,2.5118406,25848144.0,,2018-03-28T15:22:29.289Z,2016-07-05T06:52:42.748Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BB-03-RX,2016-07-05T06:52:42.921Z,,,,,,,,,,,,,,,,,,,,,,
25848144,2014-01-01,2014-12-31,ID_13,,http://regnskaber.virk.dk/44184852/ZG9rdW1lbnRsYWdlcjovLzAzLzI2L2M4LzM3L2M1L2MzMDctNDE3OC05MTg1LTNkZjhkMTc2ODA2Yg.pdf,http://regnskaber.virk.dk/44184852/ZG9rdW1lbnRsYWdlcjovLzAzLzI2L2Q3LzdmLzdiLzQxODAtNDRhMC05OTViLTRjNDRhMDBjYjJjYw.xml,"4700, NÃ¦stved",Erantisvej 53,Til den daglige ledelse i Media-People ApS,Regnskabsklasse B,2016-07-05,2001-01-02,2016-07-05,25848144.0,19723402.0,Ãrsrapport,Ole Bolvig Hansen,Ole  Bolvig Hansen,Danske Bank,Media-People ApS,"Revisions-Centret, Registreret revisionsvirksomhed",2014-01-01,2014-12-31,-21340.0,"Lyngby-TÃ¥rbÃ¦k, 173",2015-12-31,2015-01-01,2016-07-05,NÃ¦stved,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22811836,indberetninger-20180424,2.5118406,25848144.0,,2018-03-28T15:22:29.289Z,2016-07-05T06:52:42.748Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BB-03-RX,2016-07-05T06:52:42.921Z,,,,,,,,,,,,,,,,,,,,,,
25848144,2014-01-01,2014-12-31,ID_9,,http://regnskaber.virk.dk/44184852/ZG9rdW1lbnRsYWdlcjovLzAzLzI2L2M4LzM3L2M1L2MzMDctNDE3OC05MTg1LTNkZjhkMTc2ODA2Yg.pdf,http://regnskaber.virk.dk/44184852/ZG9rdW1lbnRsYWdlcjovLzAzLzI2L2Q3LzdmLzdiLzQxODAtNDRhMC05OTViLTRjNDRhMDBjYjJjYw.xml,"4700, NÃ¦stved",Erantisvej 53,Til den daglige ledelse i Media-People ApS,Regnskabsklasse B,2016-07-05,2001-01-02,2016-07-05,25848144.0,19723402.0,Ãrsrapport,Ole Bolvig Hansen,Ole  Bolvig Hansen,Danske Bank,Media-People ApS,"Revisions-Centret, Registreret revisionsvirksomhed",2014-01-01,2014-12-31,21340.0,"Lyngby-TÃ¥rbÃ¦k, 173",2015-12-31,2015-01-01,2016-07-05,NÃ¦stved,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22811836,indberetninger-20180424,2.5118406,25848144.0,,2018-03-28T15:22:29.289Z,2016-07-05T06:52:42.748Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BB-03-RX,2016-07-05T06:52:42.921Z,38843.0,10303.0,28540.0,38843.0,7200.0,,,,,,,,,,,,,,,,,
25848144,2014-12-31,2014-12-31,ID_15,,http://regnskaber.virk.dk/44184852/ZG9rdW1lbnRsYWdlcjovLzAzLzI2L2M4LzM3L2M1L2MzMDctNDE3OC05MTg1LTNkZjhkMTc2ODA2Yg.pdf,http://regnskaber.virk.dk/44184852/ZG9rdW1lbnRsYWdlcjovLzAzLzI2L2Q3LzdmLzdiLzQxODAtNDRhMC05OTViLTRjNDRhMDBjYjJjYw.xml,"4700, NÃ¦stved",Erantisvej 53,Til den daglige ledelse i Media-People ApS,Regnskabsklasse B,2016-07-05,2001-01-02,2016-07-05,25848144.0,19723402.0,Ãrsrapport,Ole Bolvig Hansen,Ole  Bolvig Hansen,Danske Bank,Media-People ApS,"Revisions-Centret, Registreret revisionsvirksomhed",2014-01-01,2014-12-31,,"Lyngby-TÃ¥rbÃ¦k, 173",2015-12-31,2015-01-01,2016-07-05,NÃ¦stved,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22811836,indberetninger-20180424,2.5118406,25848144.0,,2018-03-28T15:22:29.289Z,2016-07-05T06:52:42.748Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BB-03-RX,2016-07-05T06:52:42.921Z,,,,,,153821.0,25426.0,125000.0,153821.0,126900.0,101667.0,153821.0,52154.0,13242.0,0.0,-23333.0,19816.0,52154.0,57.0,128395.0,19039.0,1495.0
25848144,2015-01-01,2015-12-31,ID_0,,http://regnskaber.virk.dk/44184852/ZG9rdW1lbnRsYWdlcjovLzAzLzI2L2M4LzM3L2M1L2MzMDctNDE3OC05MTg1LTNkZjhkMTc2ODA2Yg.pdf,http://regnskaber.virk.dk/44184852/ZG9rdW1lbnRsYWdlcjovLzAzLzI2L2Q3LzdmLzdiLzQxODAtNDRhMC05OTViLTRjNDRhMDBjYjJjYw.xml,"4700, NÃ¦stved",Erantisvej 53,Til den daglige ledelse i Media-People ApS,Regnskabsklasse B,2016-07-05,2001-01-02,2016-07-05,25848144.0,19723402.0,Ãrsrapport,Ole Bolvig Hansen,Ole  Bolvig Hansen,Danske Bank,Media-People ApS,"Revisions-Centret, Registreret revisionsvirksomhed",2014-01-01,2014-12-31,,"Lyngby-TÃ¥rbÃ¦k, 173",2015-12-31,2015-01-01,2016-07-05,NÃ¦stved,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22811836,indberetninger-20180424,2.5118406,25848144.0,,2018-03-28T15:22:29.289Z,2016-07-05T06:52:42.748Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BB-03-RX,2016-07-05T06:52:42.921Z,,,,,,,,,,,,,,,,,,,,,,
25848144,2015-01-01,2015-12-31,ID_1,,http://regnskaber.virk.dk/44184852/ZG9rdW1lbnRsYWdlcjovLzAzLzI2L2M4LzM3L2M1L2MzMDctNDE3OC05MTg1LTNkZjhkMTc2ODA2Yg.pdf,http://regnskaber.virk.dk/44184852/ZG9rdW1lbnRsYWdlcjovLzAzLzI2L2Q3LzdmLzdiLzQxODAtNDRhMC05OTViLTRjNDRhMDBjYjJjYw.xml,"4700, NÃ¦stved",Erantisvej 53,Til den daglige ledelse i Media-People ApS,Regnskabsklasse B,2016-07-05,2001-01-02,2016-07-05,25848144.0,19723402.0,Ãrsrapport,Ole Bolvig Hansen,Ole  Bolvig Hansen,Danske Bank,Media-People ApS,"Revisions-Centret, Registreret revisionsvirksomhed",2014-01-01,2014-12-31,,"Lyngby-TÃ¥rbÃ¦k, 173",2015-12-31,2015-01-01,2016-07-05,NÃ¦stved,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22811836,indberetninger-20180424,2.5118406,25848144.0,,2018-03-28T15:22:29.289Z,2016-07-05T06:52:42.748Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BB-03-RX,2016-07-05T06:52:42.921Z,,,,,,,,,,,,,,,,,,,,,,
25848144,2015-01-01,2015-12-31,ID_10,,http://regnskaber.virk.dk/44184852/ZG9rdW1lbnRsYWdlcjovLzAzLzI2L2M4LzM3L2M1L2MzMDctNDE3OC05MTg1LTNkZjhkMTc2ODA2Yg.pdf,http://regnskaber.virk.dk/44184852/ZG9rdW1lbnRsYWdlcjovLzAzLzI2L2Q3LzdmLzdiLzQxODAtNDRhMC05OTViLTRjNDRhMDBjYjJjYw.xml,"4700, NÃ¦stved",Erantisvej 53,Til den daglige ledelse i Media-People ApS,Regnskabsklasse B,2016-07-05,2001-01-02,2016-07-05,25848144.0,19723402.0,Ãrsrapport,Ole Bolvig Hansen,Ole  Bolvig Hansen,Danske Bank,Media-People ApS,"Revisions-Centret, Registreret revisionsvirksomhed",2014-01-01,2014-12-31,478.0,"Lyngby-TÃ¥rbÃ¦k, 173",2015-12-31,2015-01-01,2016-07-05,NÃ¦stved,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22811836,indberetninger-20180424,2.5118406,25848144.0,,2018-03-28T15:22:29.289Z,2016-07-05T06:52:42.748Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BB-03-RX,2016-07-05T06:52:42.921Z,,,,,,,,,,,,,,,,,,,,,,
25848144,2015-01-01,2015-12-31,ID_12,,http://regnskaber.virk.dk/44184852/ZG9rdW1lbnRsYWdlcjovLzAzLzI2L2M4LzM3L2M1L2MzMDctNDE3OC05MTg1LTNkZjhkMTc2ODA2Yg.pdf,http://regnskaber.virk.dk/44184852/ZG9rdW1lbnRsYWdlcjovLzAzLzI2L2Q3LzdmLzdiLzQxODAtNDRhMC05OTViLTRjNDRhMDBjYjJjYw.xml,"4700, NÃ¦stved",Erantisvej 53,Til den daglige ledelse i Media-People ApS,Regnskabsklasse B,2016-07-05,2001-01-02,2016-07-05,25848144.0,19723402.0,Ãrsrapport,Ole Bolvig Hansen,Ole  Bolvig Hansen,Danske Bank,Media-People ApS,"Revisions-Centret, Registreret revisionsvirksomhed",2014-01-01,2014-12-31,478.0,"Lyngby-TÃ¥rbÃ¦k, 173",2015-12-31,2015-01-01,2016-07-05,NÃ¦stved,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22811836,indberetninger-20180424,2.5118406,25848144.0,,2018-03-28T15:22:29.289Z,2016-07-05T06:52:42.748Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BB-03-RX,2016-07-05T06:52:42.921Z,,,,,,,,,,,,,,,,,,,,,,
25848144,2015-01-01,2015-12-31,ID_16,,http://regnskaber.virk.dk/44184852/ZG9rdW1lbnRsYWdlcjovLzAzLzI2L2M4LzM3L2M1L2MzMDctNDE3OC05MTg1LTNkZjhkMTc2ODA2Yg.pdf,http://regnskaber.virk.dk/44184852/ZG9rdW1lbnRsYWdlcjovLzAzLzI2L2Q3LzdmLzdiLzQxODAtNDRhMC05OTViLTRjNDRhMDBjYjJjYw.xml,"4700, NÃ¦stved",Erantisvej 53,Til den daglige ledelse i Media-People ApS,Regnskabsklasse B,2016-07-05,2001-01-02,2016-07-05,25848144.0,19723402.0,Ãrsrapport,Ole Bolvig Hansen,Ole  Bolvig Hansen,Danske Bank,Media-People ApS,"Revisions-Centret, Registreret revisionsvirksomhed",2014-01-01,2014-12-31,,"Lyngby-TÃ¥rbÃ¦k, 173",2015-12-31,2015-01-01,2016-07-05,NÃ¦stved,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22811836,indberetninger-20180424,2.5118406,25848144.0,,2018-03-28T15:22:29.289Z,2016-07-05T06:52:42.748Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BB-03-RX,2016-07-05T06:52:42.921Z,,,,,,,,,,,,,,,,,,,,,,
25848144,2015-01-01,2015-12-31,ID_17,,http://regnskaber.virk.dk/44184852/ZG9rdW1lbnRsYWdlcjovLzAzLzI2L2M4LzM3L2M1L2MzMDctNDE3OC05MTg1LTNkZjhkMTc2ODA2Yg.pdf,http://regnskaber.virk.dk/44184852/ZG9rdW1lbnRsYWdlcjovLzAzLzI2L2Q3LzdmLzdiLzQxODAtNDRhMC05OTViLTRjNDRhMDBjYjJjYw.xml,"4700, NÃ¦stved",Erantisvej 53,Til den daglige ledelse i Media-People ApS,Regnskabsklasse B,2016-07-05,2001-01-02,2016-07-05,25848144.0,19723402.0,Ãrsrapport,Ole Bolvig Hansen,Ole  Bolvig Hansen,Danske Bank,Media-People ApS,"Revisions-Centret, Registreret revisionsvirksomhed",2014-01-01,2014-12-31,,"Lyngby-TÃ¥rbÃ¦k, 173",2015-12-31,2015-01-01,2016-07-05,NÃ¦stved,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22811836,indberetninger-20180424,2.5118406,25848144.0,,2018-03-28T15:22:29.289Z,2016-07-05T06:52:42.748Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-BB-03-RX,2016-07-05T06:52:42.921Z,,,,,,,,,,,,,,,,,,,,,,
