entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AverageNumberOfEmployees,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,RecommendationForApprovalOfAnnualReportByGeneralMeeting,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,GrossProfitLoss,OtherFinanceExpenses,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContractWorkInProgress,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,Equity,FixturesFittingsToolsAndEquipment,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,NoncurrentAssets,OtherShorttermPayables,PropertyPlantAndEquipment,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermTradePayables,ShorttermTradeReceivables,NameAndSurnameOfMemberOfExecutiveBoard
31753635,2017-01-01,2017-12-31,ID_6,,http://regnskaber.virk.dk/53635713/ZG9rdW1lbnRsYWdlcjovLzAzLzdlLzYyLzRlLzkxL2Y2MWEtNDY1Zi04N2E2LTIwMmVmYjQ3M2EyMA.pdf,http://regnskaber.virk.dk/53635713/ZG9rdW1lbnRsYWdlcjovLzAzLzBjLzYwLzc0LzY1L2IzZTItNGUyNi05ZGQ3LTU3NzdhMTg3MDVlMA.xml,true,"1958, Frederiksberg C","Rolighedsvej 6, 5.",2.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-05-21,2019-05-21,2008-09-11,2019-05-21,31753635.0,35839437.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for Rosengren Safety Engineering ApS.,Ãrsrapport,JÃ¸rgen Nielsen,Rosengren Safety Engineering ApS,Contar Regnskab ApS,KÃ¸benhavn,2017-01-01,2017-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:27217560,indberetninger-20180424,2.5124266,31753635.0,AWrmBTkDRYGX6_YTH9oB,2019-05-23T18:48:40.664Z,2019-05-23T18:47:42.095Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BG-43-LD,2019-05-23T18:47:42.483Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31753635,2017-01-01,2017-12-31,ID_7,,http://regnskaber.virk.dk/53635713/ZG9rdW1lbnRsYWdlcjovLzAzLzdlLzYyLzRlLzkxL2Y2MWEtNDY1Zi04N2E2LTIwMmVmYjQ3M2EyMA.pdf,http://regnskaber.virk.dk/53635713/ZG9rdW1lbnRsYWdlcjovLzAzLzBjLzYwLzc0LzY1L2IzZTItNGUyNi05ZGQ3LTU3NzdhMTg3MDVlMA.xml,true,"1958, Frederiksberg C","Rolighedsvej 6, 5.",,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-05-21,2019-05-21,2008-09-11,2019-05-21,31753635.0,35839437.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for Rosengren Safety Engineering ApS.,Ãrsrapport,JÃ¸rgen Nielsen,Rosengren Safety Engineering ApS,Contar Regnskab ApS,KÃ¸benhavn,2017-01-01,2017-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:27217560,indberetninger-20180424,2.5124266,31753635.0,AWrmBTkDRYGX6_YTH9oB,2019-05-23T18:48:40.664Z,2019-05-23T18:47:42.095Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BG-43-LD,2019-05-23T18:47:42.483Z,42507.0,596309.0,953951.0,2372.0,298873.0,312763.0,315134.0,13890.0,,,,,,,,,,,,,,,,,,,,,
31753635,2017-01-01,2017-12-31,ID_9,,http://regnskaber.virk.dk/53635713/ZG9rdW1lbnRsYWdlcjovLzAzLzdlLzYyLzRlLzkxL2Y2MWEtNDY1Zi04N2E2LTIwMmVmYjQ3M2EyMA.pdf,http://regnskaber.virk.dk/53635713/ZG9rdW1lbnRsYWdlcjovLzAzLzBjLzYwLzc0LzY1L2IzZTItNGUyNi05ZGQ3LTU3NzdhMTg3MDVlMA.xml,true,"1958, Frederiksberg C","Rolighedsvej 6, 5.",,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-05-21,2019-05-21,2008-09-11,2019-05-21,31753635.0,35839437.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for Rosengren Safety Engineering ApS.,Ãrsrapport,JÃ¸rgen Nielsen,Rosengren Safety Engineering ApS,Contar Regnskab ApS,KÃ¸benhavn,2017-01-01,2017-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:27217560,indberetninger-20180424,2.5124266,31753635.0,AWrmBTkDRYGX6_YTH9oB,2019-05-23T18:48:40.664Z,2019-05-23T18:47:42.095Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BG-43-LD,2019-05-23T18:47:42.483Z,,,,,298873.0,,,,,,,,,,,,,,,,,,,,,,,,
31753635,2017-12-31,2017-12-31,ID_4,,http://regnskaber.virk.dk/53635713/ZG9rdW1lbnRsYWdlcjovLzAzLzdlLzYyLzRlLzkxL2Y2MWEtNDY1Zi04N2E2LTIwMmVmYjQ3M2EyMA.pdf,http://regnskaber.virk.dk/53635713/ZG9rdW1lbnRsYWdlcjovLzAzLzBjLzYwLzc0LzY1L2IzZTItNGUyNi05ZGQ3LTU3NzdhMTg3MDVlMA.xml,true,"1958, Frederiksberg C","Rolighedsvej 6, 5.",,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-05-21,2019-05-21,2008-09-11,2019-05-21,31753635.0,35839437.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for Rosengren Safety Engineering ApS.,Ãrsrapport,JÃ¸rgen Nielsen,Rosengren Safety Engineering ApS,Contar Regnskab ApS,KÃ¸benhavn,2017-01-01,2017-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:27217560,indberetninger-20180424,2.5124266,31753635.0,AWrmBTkDRYGX6_YTH9oB,2019-05-23T18:48:40.664Z,2019-05-23T18:47:42.095Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BG-43-LD,2019-05-23T18:47:42.483Z,,,,,,,,,895373.0,744577.0,81400.0,125000.0,887247.0,4551.0,651797.0,8126.0,895373.0,243577.0,8126.0,197117.0,8126.0,526797.0,243577.0,35931.0,699.0,142670.0,9830.0,56719.0,
31753635,2018-01-01,2018-12-31,ID_0,,http://regnskaber.virk.dk/53635713/ZG9rdW1lbnRsYWdlcjovLzAzLzdlLzYyLzRlLzkxL2Y2MWEtNDY1Zi04N2E2LTIwMmVmYjQ3M2EyMA.pdf,http://regnskaber.virk.dk/53635713/ZG9rdW1lbnRsYWdlcjovLzAzLzBjLzYwLzc0LzY1L2IzZTItNGUyNi05ZGQ3LTU3NzdhMTg3MDVlMA.xml,true,"1958, Frederiksberg C","Rolighedsvej 6, 5.",,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-05-21,2019-05-21,2008-09-11,2019-05-21,31753635.0,35839437.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for Rosengren Safety Engineering ApS.,Ãrsrapport,JÃ¸rgen Nielsen,Rosengren Safety Engineering ApS,Contar Regnskab ApS,KÃ¸benhavn,2017-01-01,2017-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:27217560,indberetninger-20180424,2.5124266,31753635.0,AWrmBTkDRYGX6_YTH9oB,2019-05-23T18:48:40.664Z,2019-05-23T18:47:42.095Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BG-43-LD,2019-05-23T18:47:42.483Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JÃ¸rgen Sten Nielsen
31753635,2018-01-01,2018-12-31,ID_1,,http://regnskaber.virk.dk/53635713/ZG9rdW1lbnRsYWdlcjovLzAzLzdlLzYyLzRlLzkxL2Y2MWEtNDY1Zi04N2E2LTIwMmVmYjQ3M2EyMA.pdf,http://regnskaber.virk.dk/53635713/ZG9rdW1lbnRsYWdlcjovLzAzLzBjLzYwLzc0LzY1L2IzZTItNGUyNi05ZGQ3LTU3NzdhMTg3MDVlMA.xml,true,"1958, Frederiksberg C","Rolighedsvej 6, 5.",,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-05-21,2019-05-21,2008-09-11,2019-05-21,31753635.0,35839437.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for Rosengren Safety Engineering ApS.,Ãrsrapport,JÃ¸rgen Nielsen,Rosengren Safety Engineering ApS,Contar Regnskab ApS,KÃ¸benhavn,2017-01-01,2017-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:27217560,indberetninger-20180424,2.5124266,31753635.0,AWrmBTkDRYGX6_YTH9oB,2019-05-23T18:48:40.664Z,2019-05-23T18:47:42.095Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BG-43-LD,2019-05-23T18:47:42.483Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31753635,2018-01-01,2018-12-31,ID_2,,http://regnskaber.virk.dk/53635713/ZG9rdW1lbnRsYWdlcjovLzAzLzdlLzYyLzRlLzkxL2Y2MWEtNDY1Zi04N2E2LTIwMmVmYjQ3M2EyMA.pdf,http://regnskaber.virk.dk/53635713/ZG9rdW1lbnRsYWdlcjovLzAzLzBjLzYwLzc0LzY1L2IzZTItNGUyNi05ZGQ3LTU3NzdhMTg3MDVlMA.xml,true,"1958, Frederiksberg C","Rolighedsvej 6, 5.",,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-05-21,2019-05-21,2008-09-11,2019-05-21,31753635.0,35839437.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for Rosengren Safety Engineering ApS.,Ãrsrapport,JÃ¸rgen Nielsen,Rosengren Safety Engineering ApS,Contar Regnskab ApS,KÃ¸benhavn,2017-01-01,2017-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:27217560,indberetninger-20180424,2.5124266,31753635.0,AWrmBTkDRYGX6_YTH9oB,2019-05-23T18:48:40.664Z,2019-05-23T18:47:42.095Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BG-43-LD,2019-05-23T18:47:42.483Z,8126.0,332224.0,-3393.0,2766.0,-400852.0,-346509.0,-343743.0,54343.0,,,,,,,,,,,,,,,,,,,,,
31753635,2018-01-01,2018-12-31,ID_5,,http://regnskaber.virk.dk/53635713/ZG9rdW1lbnRsYWdlcjovLzAzLzdlLzYyLzRlLzkxL2Y2MWEtNDY1Zi04N2E2LTIwMmVmYjQ3M2EyMA.pdf,http://regnskaber.virk.dk/53635713/ZG9rdW1lbnRsYWdlcjovLzAzLzBjLzYwLzc0LzY1L2IzZTItNGUyNi05ZGQ3LTU3NzdhMTg3MDVlMA.xml,true,"1958, Frederiksberg C","Rolighedsvej 6, 5.",1.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-05-21,2019-05-21,2008-09-11,2019-05-21,31753635.0,35839437.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for Rosengren Safety Engineering ApS.,Ãrsrapport,JÃ¸rgen Nielsen,Rosengren Safety Engineering ApS,Contar Regnskab ApS,KÃ¸benhavn,2017-01-01,2017-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:27217560,indberetninger-20180424,2.5124266,31753635.0,AWrmBTkDRYGX6_YTH9oB,2019-05-23T18:48:40.664Z,2019-05-23T18:47:42.095Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BG-43-LD,2019-05-23T18:47:42.483Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31753635,2018-01-01,2018-12-31,ID_8,,http://regnskaber.virk.dk/53635713/ZG9rdW1lbnRsYWdlcjovLzAzLzdlLzYyLzRlLzkxL2Y2MWEtNDY1Zi04N2E2LTIwMmVmYjQ3M2EyMA.pdf,http://regnskaber.virk.dk/53635713/ZG9rdW1lbnRsYWdlcjovLzAzLzBjLzYwLzc0LzY1L2IzZTItNGUyNi05ZGQ3LTU3NzdhMTg3MDVlMA.xml,true,"1958, Frederiksberg C","Rolighedsvej 6, 5.",,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-05-21,2019-05-21,2008-09-11,2019-05-21,31753635.0,35839437.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for Rosengren Safety Engineering ApS.,Ãrsrapport,JÃ¸rgen Nielsen,Rosengren Safety Engineering ApS,Contar Regnskab ApS,KÃ¸benhavn,2017-01-01,2017-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:27217560,indberetninger-20180424,2.5124266,31753635.0,AWrmBTkDRYGX6_YTH9oB,2019-05-23T18:48:40.664Z,2019-05-23T18:47:42.095Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BG-43-LD,2019-05-23T18:47:42.483Z,,,,,-400852.0,,,,,,,,,,,,,,,,,,,,,,,,
31753635,2018-12-31,2018-12-31,ID_3,,http://regnskaber.virk.dk/53635713/ZG9rdW1lbnRsYWdlcjovLzAzLzdlLzYyLzRlLzkxL2Y2MWEtNDY1Zi04N2E2LTIwMmVmYjQ3M2EyMA.pdf,http://regnskaber.virk.dk/53635713/ZG9rdW1lbnRsYWdlcjovLzAzLzBjLzYwLzc0LzY1L2IzZTItNGUyNi05ZGQ3LTU3NzdhMTg3MDVlMA.xml,true,"1958, Frederiksberg C","Rolighedsvej 6, 5.",,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-05-21,2019-05-21,2008-09-11,2019-05-21,31753635.0,35839437.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for Rosengren Safety Engineering ApS.,Ãrsrapport,JÃ¸rgen Nielsen,Rosengren Safety Engineering ApS,Contar Regnskab ApS,KÃ¸benhavn,2017-01-01,2017-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:27217560,indberetninger-20180424,2.5124266,31753635.0,AWrmBTkDRYGX6_YTH9oB,2019-05-23T18:48:40.664Z,2019-05-23T18:47:42.095Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BG-43-LD,2019-05-23T18:47:42.483Z,,,,,,,,,311415.0,165242.0,0.0,125000.0,311415.0,0.0,250945.0,0.0,311415.0,60470.0,0.0,4170.0,0.0,125945.0,60470.0,21096.0,6235.0,146173.0,28970.0,146173.0,
