entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfFinancialCountry,AddressOfFinancialCountryIdentificationCode,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetBuildingIdentifier,AddressOfFinancialStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,ExternalExpenses,GrossResult,IdentificationNumberCvrOfReportingEntity,IncomeFromInvestmentsInAssociates,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,StatementOnOptingOutOfAuditingFinancialStatementsInNextReportingPeriodDueToExemption,TaxExpense,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInAssociates,NoncurrentAssets,ProposedDividendRecognisedInEquity,ReserveForEntrepreneurialCompany,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToShareholdersAndManagement
35681310,2014-03-10,2014-12-31,c2,http://regnskaber.virk.dk/01318653/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmLzY1L2NlLzdjL2M3YmUtNDA0Ny04NGUxLTNjYzYzODI2MTFjOA.xhtml,http://regnskaber.virk.dk/01318653/ZG9rdW1lbnRsYWdlcjovLzAzLzhkLzkwLzg1LzUyLzczYmMtNDcxZi1hMzUzLTc4ZTY1NTY1OGIyYg.pdf,http://regnskaber.virk.dk/01318653/ZG9rdW1lbnRsYWdlcjovLzAzLzRiLzVlLzcxLzhjLzU4M2EtNDEzNi05OWZkLWE5ZGNlMWNlOGI3YQ.xml,Danmark,DK,GrenÃ¥,8500.0,5.0,Torvet,Aarhus C,8000.0,9.0,Dyrehavevej,"8000, Aarhus C",Dyrehavevej 9,"Regnskabsklasse B, mikrovirksomhed",2016-02-17,2016-02-17,26.0,17369.0,35681310.0,17395.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.",Ãrsrapport,Ruben VÃ¦rum,Ruben VÃ¦rum,Djurslands Bank,VÃRUM GROUP IVS,Ruben VÃ¦rum,0.0,Aarhus C,2014-03-10,2014-12-31,17369.0,17369.0,17369.0,2015-12-31,2015-01-01,Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,0.0,false,Ingen bistand,urn:ofk:oid:21998317,indberetninger-20180424,2.5947974,35681310.0,,2018-03-28T20:37:01.946Z,2016-02-17T13:33:41.879Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AQ-47-CR,2016-02-17T13:33:42.042Z,,,,,,,,,,,,,,,,
35681310,2014-03-10,2014-12-31,c4,http://regnskaber.virk.dk/01318653/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmLzY1L2NlLzdjL2M3YmUtNDA0Ny04NGUxLTNjYzYzODI2MTFjOA.xhtml,http://regnskaber.virk.dk/01318653/ZG9rdW1lbnRsYWdlcjovLzAzLzhkLzkwLzg1LzUyLzczYmMtNDcxZi1hMzUzLTc4ZTY1NTY1OGIyYg.pdf,http://regnskaber.virk.dk/01318653/ZG9rdW1lbnRsYWdlcjovLzAzLzRiLzVlLzcxLzhjLzU4M2EtNDEzNi05OWZkLWE5ZGNlMWNlOGI3YQ.xml,Danmark,DK,GrenÃ¥,8500.0,5.0,Torvet,Aarhus C,8000.0,9.0,Dyrehavevej,"8000, Aarhus C",Dyrehavevej 9,"Regnskabsklasse B, mikrovirksomhed",2016-02-17,2016-02-17,,,35681310.0,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.",Ãrsrapport,Ruben VÃ¦rum,Ruben VÃ¦rum,Djurslands Bank,VÃRUM GROUP IVS,Ruben VÃ¦rum,,Aarhus C,2014-03-10,2014-12-31,0.0,,,2015-12-31,2015-01-01,Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,false,Ingen bistand,urn:ofk:oid:21998317,indberetninger-20180424,2.5947974,35681310.0,,2018-03-28T20:37:01.946Z,2016-02-17T13:33:41.879Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AQ-47-CR,2016-02-17T13:33:42.042Z,,,,,,,,,,,,,,,,
35681310,2014-03-10,2014-12-31,c6,http://regnskaber.virk.dk/01318653/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmLzY1L2NlLzdjL2M3YmUtNDA0Ny04NGUxLTNjYzYzODI2MTFjOA.xhtml,http://regnskaber.virk.dk/01318653/ZG9rdW1lbnRsYWdlcjovLzAzLzhkLzkwLzg1LzUyLzczYmMtNDcxZi1hMzUzLTc4ZTY1NTY1OGIyYg.pdf,http://regnskaber.virk.dk/01318653/ZG9rdW1lbnRsYWdlcjovLzAzLzRiLzVlLzcxLzhjLzU4M2EtNDEzNi05OWZkLWE5ZGNlMWNlOGI3YQ.xml,Danmark,DK,GrenÃ¥,8500.0,5.0,Torvet,Aarhus C,8000.0,9.0,Dyrehavevej,"8000, Aarhus C",Dyrehavevej 9,"Regnskabsklasse B, mikrovirksomhed",2016-02-17,2016-02-17,,,35681310.0,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.",Ãrsrapport,Ruben VÃ¦rum,Ruben VÃ¦rum,Djurslands Bank,VÃRUM GROUP IVS,Ruben VÃ¦rum,,Aarhus C,2014-03-10,2014-12-31,17395.0,,,2015-12-31,2015-01-01,Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,false,Ingen bistand,urn:ofk:oid:21998317,indberetninger-20180424,2.5947974,35681310.0,,2018-03-28T20:37:01.946Z,2016-02-17T13:33:41.879Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AQ-47-CR,2016-02-17T13:33:42.042Z,,,,,,,,,,,,,,,,
35681310,2014-03-10,2014-12-31,c8,http://regnskaber.virk.dk/01318653/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmLzY1L2NlLzdjL2M3YmUtNDA0Ny04NGUxLTNjYzYzODI2MTFjOA.xhtml,http://regnskaber.virk.dk/01318653/ZG9rdW1lbnRsYWdlcjovLzAzLzhkLzkwLzg1LzUyLzczYmMtNDcxZi1hMzUzLTc4ZTY1NTY1OGIyYg.pdf,http://regnskaber.virk.dk/01318653/ZG9rdW1lbnRsYWdlcjovLzAzLzRiLzVlLzcxLzhjLzU4M2EtNDEzNi05OWZkLWE5ZGNlMWNlOGI3YQ.xml,Danmark,DK,GrenÃ¥,8500.0,5.0,Torvet,Aarhus C,8000.0,9.0,Dyrehavevej,"8000, Aarhus C",Dyrehavevej 9,"Regnskabsklasse B, mikrovirksomhed",2016-02-17,2016-02-17,,,35681310.0,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.",Ãrsrapport,Ruben VÃ¦rum,Ruben VÃ¦rum,Djurslands Bank,VÃRUM GROUP IVS,Ruben VÃ¦rum,,Aarhus C,2014-03-10,2014-12-31,-26.0,,,2015-12-31,2015-01-01,Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,false,Ingen bistand,urn:ofk:oid:21998317,indberetninger-20180424,2.5947974,35681310.0,,2018-03-28T20:37:01.946Z,2016-02-17T13:33:41.879Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AQ-47-CR,2016-02-17T13:33:42.042Z,,,,,,,,,,,,,,,,
35681310,2014-12-31,2014-12-31,c10,http://regnskaber.virk.dk/01318653/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmLzY1L2NlLzdjL2M3YmUtNDA0Ny04NGUxLTNjYzYzODI2MTFjOA.xhtml,http://regnskaber.virk.dk/01318653/ZG9rdW1lbnRsYWdlcjovLzAzLzhkLzkwLzg1LzUyLzczYmMtNDcxZi1hMzUzLTc4ZTY1NTY1OGIyYg.pdf,http://regnskaber.virk.dk/01318653/ZG9rdW1lbnRsYWdlcjovLzAzLzRiLzVlLzcxLzhjLzU4M2EtNDEzNi05OWZkLWE5ZGNlMWNlOGI3YQ.xml,Danmark,DK,GrenÃ¥,8500.0,5.0,Torvet,Aarhus C,8000.0,9.0,Dyrehavevej,"8000, Aarhus C",Dyrehavevej 9,"Regnskabsklasse B, mikrovirksomhed",2016-02-17,2016-02-17,,,35681310.0,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.",Ãrsrapport,Ruben VÃ¦rum,Ruben VÃ¦rum,Djurslands Bank,VÃRUM GROUP IVS,Ruben VÃ¦rum,,Aarhus C,2014-03-10,2014-12-31,,,,2015-12-31,2015-01-01,Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,false,Ingen bistand,urn:ofk:oid:21998317,indberetninger-20180424,2.5947974,35681310.0,,2018-03-28T20:37:01.946Z,2016-02-17T13:33:41.879Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AQ-47-CR,2016-02-17T13:33:42.042Z,18369.0,674.0,1000.0,674.0,18369.0,18369.0,0.0,17695.0,17695.0,17695.0,0.0,0.0,17395.0,-26.0,0.0,0.0
35681310,2015-01-01,2015-12-31,c0,http://regnskaber.virk.dk/01318653/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmLzY1L2NlLzdjL2M3YmUtNDA0Ny04NGUxLTNjYzYzODI2MTFjOA.xhtml,http://regnskaber.virk.dk/01318653/ZG9rdW1lbnRsYWdlcjovLzAzLzhkLzkwLzg1LzUyLzczYmMtNDcxZi1hMzUzLTc4ZTY1NTY1OGIyYg.pdf,http://regnskaber.virk.dk/01318653/ZG9rdW1lbnRsYWdlcjovLzAzLzRiLzVlLzcxLzhjLzU4M2EtNDEzNi05OWZkLWE5ZGNlMWNlOGI3YQ.xml,Danmark,DK,GrenÃ¥,8500.0,5.0,Torvet,Aarhus C,8000.0,9.0,Dyrehavevej,"8000, Aarhus C",Dyrehavevej 9,"Regnskabsklasse B, mikrovirksomhed",2016-02-17,2016-02-17,0.0,-4014.0,35681310.0,-4014.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.",Ãrsrapport,Ruben VÃ¦rum,Ruben VÃ¦rum,Djurslands Bank,VÃRUM GROUP IVS,Ruben VÃ¦rum,279.0,Aarhus C,2014-03-10,2014-12-31,-4293.0,-4293.0,-4014.0,2015-12-31,2015-01-01,Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,0.0,false,Ingen bistand,urn:ofk:oid:21998317,indberetninger-20180424,2.5947974,35681310.0,,2018-03-28T20:37:01.946Z,2016-02-17T13:33:41.879Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AQ-47-CR,2016-02-17T13:33:42.042Z,,,,,,,,,,,,,,,,
35681310,2015-01-01,2015-12-31,c1,http://regnskaber.virk.dk/01318653/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmLzY1L2NlLzdjL2M3YmUtNDA0Ny04NGUxLTNjYzYzODI2MTFjOA.xhtml,http://regnskaber.virk.dk/01318653/ZG9rdW1lbnRsYWdlcjovLzAzLzhkLzkwLzg1LzUyLzczYmMtNDcxZi1hMzUzLTc4ZTY1NTY1OGIyYg.pdf,http://regnskaber.virk.dk/01318653/ZG9rdW1lbnRsYWdlcjovLzAzLzRiLzVlLzcxLzhjLzU4M2EtNDEzNi05OWZkLWE5ZGNlMWNlOGI3YQ.xml,Danmark,DK,GrenÃ¥,8500.0,5.0,Torvet,Aarhus C,8000.0,9.0,Dyrehavevej,"8000, Aarhus C",Dyrehavevej 9,"Regnskabsklasse B, mikrovirksomhed",2016-02-17,2016-02-17,,,35681310.0,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.",Ãrsrapport,Ruben VÃ¦rum,Ruben VÃ¦rum,Djurslands Bank,VÃRUM GROUP IVS,Ruben VÃ¦rum,,Aarhus C,2014-03-10,2014-12-31,,,,2015-12-31,2015-01-01,Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,false,Ingen bistand,urn:ofk:oid:21998317,indberetninger-20180424,2.5947974,35681310.0,,2018-03-28T20:37:01.946Z,2016-02-17T13:33:41.879Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AQ-47-CR,2016-02-17T13:33:42.042Z,,,,,,,,,,,,,,,,
35681310,2015-01-01,2015-12-31,c3,http://regnskaber.virk.dk/01318653/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmLzY1L2NlLzdjL2M3YmUtNDA0Ny04NGUxLTNjYzYzODI2MTFjOA.xhtml,http://regnskaber.virk.dk/01318653/ZG9rdW1lbnRsYWdlcjovLzAzLzhkLzkwLzg1LzUyLzczYmMtNDcxZi1hMzUzLTc4ZTY1NTY1OGIyYg.pdf,http://regnskaber.virk.dk/01318653/ZG9rdW1lbnRsYWdlcjovLzAzLzRiLzVlLzcxLzhjLzU4M2EtNDEzNi05OWZkLWE5ZGNlMWNlOGI3YQ.xml,Danmark,DK,GrenÃ¥,8500.0,5.0,Torvet,Aarhus C,8000.0,9.0,Dyrehavevej,"8000, Aarhus C",Dyrehavevej 9,"Regnskabsklasse B, mikrovirksomhed",2016-02-17,2016-02-17,,,35681310.0,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.",Ãrsrapport,Ruben VÃ¦rum,Ruben VÃ¦rum,Djurslands Bank,VÃRUM GROUP IVS,Ruben VÃ¦rum,,Aarhus C,2014-03-10,2014-12-31,0.0,,,2015-12-31,2015-01-01,Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,false,Ingen bistand,urn:ofk:oid:21998317,indberetninger-20180424,2.5947974,35681310.0,,2018-03-28T20:37:01.946Z,2016-02-17T13:33:41.879Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AQ-47-CR,2016-02-17T13:33:42.042Z,,,,,,,,,,,,,,,,
35681310,2015-01-01,2015-12-31,c5,http://regnskaber.virk.dk/01318653/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmLzY1L2NlLzdjL2M3YmUtNDA0Ny04NGUxLTNjYzYzODI2MTFjOA.xhtml,http://regnskaber.virk.dk/01318653/ZG9rdW1lbnRsYWdlcjovLzAzLzhkLzkwLzg1LzUyLzczYmMtNDcxZi1hMzUzLTc4ZTY1NTY1OGIyYg.pdf,http://regnskaber.virk.dk/01318653/ZG9rdW1lbnRsYWdlcjovLzAzLzRiLzVlLzcxLzhjLzU4M2EtNDEzNi05OWZkLWE5ZGNlMWNlOGI3YQ.xml,Danmark,DK,GrenÃ¥,8500.0,5.0,Torvet,Aarhus C,8000.0,9.0,Dyrehavevej,"8000, Aarhus C",Dyrehavevej 9,"Regnskabsklasse B, mikrovirksomhed",2016-02-17,2016-02-17,,,35681310.0,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.",Ãrsrapport,Ruben VÃ¦rum,Ruben VÃ¦rum,Djurslands Bank,VÃRUM GROUP IVS,Ruben VÃ¦rum,,Aarhus C,2014-03-10,2014-12-31,-4014.0,,,2015-12-31,2015-01-01,Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,false,Ingen bistand,urn:ofk:oid:21998317,indberetninger-20180424,2.5947974,35681310.0,,2018-03-28T20:37:01.946Z,2016-02-17T13:33:41.879Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AQ-47-CR,2016-02-17T13:33:42.042Z,,,,,,,,,,,,,,,,
35681310,2015-01-01,2015-12-31,c7,http://regnskaber.virk.dk/01318653/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmLzY1L2NlLzdjL2M3YmUtNDA0Ny04NGUxLTNjYzYzODI2MTFjOA.xhtml,http://regnskaber.virk.dk/01318653/ZG9rdW1lbnRsYWdlcjovLzAzLzhkLzkwLzg1LzUyLzczYmMtNDcxZi1hMzUzLTc4ZTY1NTY1OGIyYg.pdf,http://regnskaber.virk.dk/01318653/ZG9rdW1lbnRsYWdlcjovLzAzLzRiLzVlLzcxLzhjLzU4M2EtNDEzNi05OWZkLWE5ZGNlMWNlOGI3YQ.xml,Danmark,DK,GrenÃ¥,8500.0,5.0,Torvet,Aarhus C,8000.0,9.0,Dyrehavevej,"8000, Aarhus C",Dyrehavevej 9,"Regnskabsklasse B, mikrovirksomhed",2016-02-17,2016-02-17,,,35681310.0,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.",Ãrsrapport,Ruben VÃ¦rum,Ruben VÃ¦rum,Djurslands Bank,VÃRUM GROUP IVS,Ruben VÃ¦rum,,Aarhus C,2014-03-10,2014-12-31,-279.0,,,2015-12-31,2015-01-01,Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,false,Ingen bistand,urn:ofk:oid:21998317,indberetninger-20180424,2.5947974,35681310.0,,2018-03-28T20:37:01.946Z,2016-02-17T13:33:41.879Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AQ-47-CR,2016-02-17T13:33:42.042Z,,,,,,,,,,,,,,,,
