entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfFinancialCountry,AddressOfFinancialCountryIdentificationCode,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetBuildingIdentifier,AddressOfFinancialStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,ExternalExpenses,GrossResult,IdentificationNumberCvrOfReportingEntity,IncomeFromInvestmentsInAssociates,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,StatementOnOptingOutOfAuditingFinancialStatementsInNextReportingPeriodDueToExemption,TaxExpense,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInAssociates,NoncurrentAssets,ProposedDividendRecognisedInEquity,ReserveForEntrepreneurialCompany,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToShareholdersAndManagement
35681310,2015-01-01,2015-12-31,c2,http://regnskaber.virk.dk/01318653/ZG9rdW1lbnRsYWdlcjovLzAzLzU0L2Y2LzRhL2I4LzE1NWItNDc5ZS1iYjBmLTE0ZDU0ZjA5ZWQyYQ.xhtml,http://regnskaber.virk.dk/01318653/ZG9rdW1lbnRsYWdlcjovLzAzL2JiL2FlL2YyL2VlL2M3M2YtNGRjMi04NWMwLWUxOWQ0Y2VhOTk3OA.pdf,http://regnskaber.virk.dk/01318653/ZG9rdW1lbnRsYWdlcjovLzAzLzZmL2Y1L2M2LzU5LzZjYjEtNDA3MS1hYjliLTZkMmYyM2U1ZDQwMQ.xml,true,Danmark,DK,GrenÃ¥,8500.0,5.0,Torvet,Aarhus C,8000.0,9.0,Dyrehavevej,8000 Aarhus C,Dyrehavevej 9,"Regnskabsklasse B, mikrovirksomhed",2017-02-25,2017-02-25,0.0,-4014.0,35681310.0,-4014.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.",Ãrsrapport,Ruben VÃ¦rum,Ruben VÃ¦rum,Djurslands Bank,VÃRUM GROUP IVS,Ruben VÃ¦rum,279.0,Aarhus C,2015-01-01,2015-12-31,-4293.0,-4293.0,-4014.0,2016-12-31,2016-01-01,false,false,Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,0.0,false,Ingen bistand,urn:ofk:oid:23519256,indberetninger-20180424,2.5953592999999997,35681310.0,,2018-03-27T17:59:56.556Z,2017-02-25T12:54:49.828Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AD-19-BE,2017-02-25T12:54:50.040Z,,,,,,,,,,,,,,,,
35681310,2015-01-01,2015-12-31,c4,http://regnskaber.virk.dk/01318653/ZG9rdW1lbnRsYWdlcjovLzAzLzU0L2Y2LzRhL2I4LzE1NWItNDc5ZS1iYjBmLTE0ZDU0ZjA5ZWQyYQ.xhtml,http://regnskaber.virk.dk/01318653/ZG9rdW1lbnRsYWdlcjovLzAzL2JiL2FlL2YyL2VlL2M3M2YtNGRjMi04NWMwLWUxOWQ0Y2VhOTk3OA.pdf,http://regnskaber.virk.dk/01318653/ZG9rdW1lbnRsYWdlcjovLzAzLzZmL2Y1L2M2LzU5LzZjYjEtNDA3MS1hYjliLTZkMmYyM2U1ZDQwMQ.xml,true,Danmark,DK,GrenÃ¥,8500.0,5.0,Torvet,Aarhus C,8000.0,9.0,Dyrehavevej,8000 Aarhus C,Dyrehavevej 9,"Regnskabsklasse B, mikrovirksomhed",2017-02-25,2017-02-25,,,35681310.0,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.",Ãrsrapport,Ruben VÃ¦rum,Ruben VÃ¦rum,Djurslands Bank,VÃRUM GROUP IVS,Ruben VÃ¦rum,,Aarhus C,2015-01-01,2015-12-31,0.0,,,2016-12-31,2016-01-01,false,false,Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,false,Ingen bistand,urn:ofk:oid:23519256,indberetninger-20180424,2.5953592999999997,35681310.0,,2018-03-27T17:59:56.556Z,2017-02-25T12:54:49.828Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AD-19-BE,2017-02-25T12:54:50.040Z,,,,,,,,,,,,,,,,
35681310,2015-01-01,2015-12-31,c6,http://regnskaber.virk.dk/01318653/ZG9rdW1lbnRsYWdlcjovLzAzLzU0L2Y2LzRhL2I4LzE1NWItNDc5ZS1iYjBmLTE0ZDU0ZjA5ZWQyYQ.xhtml,http://regnskaber.virk.dk/01318653/ZG9rdW1lbnRsYWdlcjovLzAzL2JiL2FlL2YyL2VlL2M3M2YtNGRjMi04NWMwLWUxOWQ0Y2VhOTk3OA.pdf,http://regnskaber.virk.dk/01318653/ZG9rdW1lbnRsYWdlcjovLzAzLzZmL2Y1L2M2LzU5LzZjYjEtNDA3MS1hYjliLTZkMmYyM2U1ZDQwMQ.xml,true,Danmark,DK,GrenÃ¥,8500.0,5.0,Torvet,Aarhus C,8000.0,9.0,Dyrehavevej,8000 Aarhus C,Dyrehavevej 9,"Regnskabsklasse B, mikrovirksomhed",2017-02-25,2017-02-25,,,35681310.0,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.",Ãrsrapport,Ruben VÃ¦rum,Ruben VÃ¦rum,Djurslands Bank,VÃRUM GROUP IVS,Ruben VÃ¦rum,,Aarhus C,2015-01-01,2015-12-31,-4014.0,,,2016-12-31,2016-01-01,false,false,Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,false,Ingen bistand,urn:ofk:oid:23519256,indberetninger-20180424,2.5953592999999997,35681310.0,,2018-03-27T17:59:56.556Z,2017-02-25T12:54:49.828Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AD-19-BE,2017-02-25T12:54:50.040Z,,,,,,,,,,,,,,,,
35681310,2015-01-01,2015-12-31,c8,http://regnskaber.virk.dk/01318653/ZG9rdW1lbnRsYWdlcjovLzAzLzU0L2Y2LzRhL2I4LzE1NWItNDc5ZS1iYjBmLTE0ZDU0ZjA5ZWQyYQ.xhtml,http://regnskaber.virk.dk/01318653/ZG9rdW1lbnRsYWdlcjovLzAzL2JiL2FlL2YyL2VlL2M3M2YtNGRjMi04NWMwLWUxOWQ0Y2VhOTk3OA.pdf,http://regnskaber.virk.dk/01318653/ZG9rdW1lbnRsYWdlcjovLzAzLzZmL2Y1L2M2LzU5LzZjYjEtNDA3MS1hYjliLTZkMmYyM2U1ZDQwMQ.xml,true,Danmark,DK,GrenÃ¥,8500.0,5.0,Torvet,Aarhus C,8000.0,9.0,Dyrehavevej,8000 Aarhus C,Dyrehavevej 9,"Regnskabsklasse B, mikrovirksomhed",2017-02-25,2017-02-25,,,35681310.0,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.",Ãrsrapport,Ruben VÃ¦rum,Ruben VÃ¦rum,Djurslands Bank,VÃRUM GROUP IVS,Ruben VÃ¦rum,,Aarhus C,2015-01-01,2015-12-31,-279.0,,,2016-12-31,2016-01-01,false,false,Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,false,Ingen bistand,urn:ofk:oid:23519256,indberetninger-20180424,2.5953592999999997,35681310.0,,2018-03-27T17:59:56.556Z,2017-02-25T12:54:49.828Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AD-19-BE,2017-02-25T12:54:50.040Z,,,,,,,,,,,,,,,,
35681310,2015-12-31,2015-12-31,c10,http://regnskaber.virk.dk/01318653/ZG9rdW1lbnRsYWdlcjovLzAzLzU0L2Y2LzRhL2I4LzE1NWItNDc5ZS1iYjBmLTE0ZDU0ZjA5ZWQyYQ.xhtml,http://regnskaber.virk.dk/01318653/ZG9rdW1lbnRsYWdlcjovLzAzL2JiL2FlL2YyL2VlL2M3M2YtNGRjMi04NWMwLWUxOWQ0Y2VhOTk3OA.pdf,http://regnskaber.virk.dk/01318653/ZG9rdW1lbnRsYWdlcjovLzAzLzZmL2Y1L2M2LzU5LzZjYjEtNDA3MS1hYjliLTZkMmYyM2U1ZDQwMQ.xml,true,Danmark,DK,GrenÃ¥,8500.0,5.0,Torvet,Aarhus C,8000.0,9.0,Dyrehavevej,8000 Aarhus C,Dyrehavevej 9,"Regnskabsklasse B, mikrovirksomhed",2017-02-25,2017-02-25,,,35681310.0,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.",Ãrsrapport,Ruben VÃ¦rum,Ruben VÃ¦rum,Djurslands Bank,VÃRUM GROUP IVS,Ruben VÃ¦rum,,Aarhus C,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,false,false,Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,false,Ingen bistand,urn:ofk:oid:23519256,indberetninger-20180424,2.5953592999999997,35681310.0,,2018-03-27T17:59:56.556Z,2017-02-25T12:54:49.828Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AD-19-BE,2017-02-25T12:54:50.040Z,26855.0,674.0,1000.0,674.0,14076.0,26855.0,12779.0,26181.0,26181.0,26181.0,0.0,0.0,13381.0,-305.0,12779.0,12779.0
35681310,2016-01-01,2016-01-01,c11,http://regnskaber.virk.dk/01318653/ZG9rdW1lbnRsYWdlcjovLzAzLzU0L2Y2LzRhL2I4LzE1NWItNDc5ZS1iYjBmLTE0ZDU0ZjA5ZWQyYQ.xhtml,http://regnskaber.virk.dk/01318653/ZG9rdW1lbnRsYWdlcjovLzAzL2JiL2FlL2YyL2VlL2M3M2YtNGRjMi04NWMwLWUxOWQ0Y2VhOTk3OA.pdf,http://regnskaber.virk.dk/01318653/ZG9rdW1lbnRsYWdlcjovLzAzLzZmL2Y1L2M2LzU5LzZjYjEtNDA3MS1hYjliLTZkMmYyM2U1ZDQwMQ.xml,true,Danmark,DK,GrenÃ¥,8500.0,5.0,Torvet,Aarhus C,8000.0,9.0,Dyrehavevej,8000 Aarhus C,Dyrehavevej 9,"Regnskabsklasse B, mikrovirksomhed",2017-02-25,2017-02-25,,,35681310.0,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.",Ãrsrapport,Ruben VÃ¦rum,Ruben VÃ¦rum,Djurslands Bank,VÃRUM GROUP IVS,Ruben VÃ¦rum,,Aarhus C,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,false,false,Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,false,Ingen bistand,urn:ofk:oid:23519256,indberetninger-20180424,2.5953592999999997,35681310.0,,2018-03-27T17:59:56.556Z,2017-02-25T12:54:49.828Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AD-19-BE,2017-02-25T12:54:50.040Z,,,,,1000.0,,,,,,,,,,,
35681310,2016-01-01,2016-01-01,c12,http://regnskaber.virk.dk/01318653/ZG9rdW1lbnRsYWdlcjovLzAzLzU0L2Y2LzRhL2I4LzE1NWItNDc5ZS1iYjBmLTE0ZDU0ZjA5ZWQyYQ.xhtml,http://regnskaber.virk.dk/01318653/ZG9rdW1lbnRsYWdlcjovLzAzL2JiL2FlL2YyL2VlL2M3M2YtNGRjMi04NWMwLWUxOWQ0Y2VhOTk3OA.pdf,http://regnskaber.virk.dk/01318653/ZG9rdW1lbnRsYWdlcjovLzAzLzZmL2Y1L2M2LzU5LzZjYjEtNDA3MS1hYjliLTZkMmYyM2U1ZDQwMQ.xml,true,Danmark,DK,GrenÃ¥,8500.0,5.0,Torvet,Aarhus C,8000.0,9.0,Dyrehavevej,8000 Aarhus C,Dyrehavevej 9,"Regnskabsklasse B, mikrovirksomhed",2017-02-25,2017-02-25,,,35681310.0,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.",Ãrsrapport,Ruben VÃ¦rum,Ruben VÃ¦rum,Djurslands Bank,VÃRUM GROUP IVS,Ruben VÃ¦rum,,Aarhus C,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,false,false,Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,false,Ingen bistand,urn:ofk:oid:23519256,indberetninger-20180424,2.5953592999999997,35681310.0,,2018-03-27T17:59:56.556Z,2017-02-25T12:54:49.828Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AD-19-BE,2017-02-25T12:54:50.040Z,,,,,13388.0,,,,,,,,,,,
35681310,2016-01-01,2016-01-01,c13,http://regnskaber.virk.dk/01318653/ZG9rdW1lbnRsYWdlcjovLzAzLzU0L2Y2LzRhL2I4LzE1NWItNDc5ZS1iYjBmLTE0ZDU0ZjA5ZWQyYQ.xhtml,http://regnskaber.virk.dk/01318653/ZG9rdW1lbnRsYWdlcjovLzAzL2JiL2FlL2YyL2VlL2M3M2YtNGRjMi04NWMwLWUxOWQ0Y2VhOTk3OA.pdf,http://regnskaber.virk.dk/01318653/ZG9rdW1lbnRsYWdlcjovLzAzLzZmL2Y1L2M2LzU5LzZjYjEtNDA3MS1hYjliLTZkMmYyM2U1ZDQwMQ.xml,true,Danmark,DK,GrenÃ¥,8500.0,5.0,Torvet,Aarhus C,8000.0,9.0,Dyrehavevej,8000 Aarhus C,Dyrehavevej 9,"Regnskabsklasse B, mikrovirksomhed",2017-02-25,2017-02-25,,,35681310.0,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.",Ãrsrapport,Ruben VÃ¦rum,Ruben VÃ¦rum,Djurslands Bank,VÃRUM GROUP IVS,Ruben VÃ¦rum,,Aarhus C,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,false,false,Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,false,Ingen bistand,urn:ofk:oid:23519256,indberetninger-20180424,2.5953592999999997,35681310.0,,2018-03-27T17:59:56.556Z,2017-02-25T12:54:49.828Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AD-19-BE,2017-02-25T12:54:50.040Z,,,,,0.0,,,,,,,,,,,
35681310,2016-01-01,2016-01-01,c14,http://regnskaber.virk.dk/01318653/ZG9rdW1lbnRsYWdlcjovLzAzLzU0L2Y2LzRhL2I4LzE1NWItNDc5ZS1iYjBmLTE0ZDU0ZjA5ZWQyYQ.xhtml,http://regnskaber.virk.dk/01318653/ZG9rdW1lbnRsYWdlcjovLzAzL2JiL2FlL2YyL2VlL2M3M2YtNGRjMi04NWMwLWUxOWQ0Y2VhOTk3OA.pdf,http://regnskaber.virk.dk/01318653/ZG9rdW1lbnRsYWdlcjovLzAzLzZmL2Y1L2M2LzU5LzZjYjEtNDA3MS1hYjliLTZkMmYyM2U1ZDQwMQ.xml,true,Danmark,DK,GrenÃ¥,8500.0,5.0,Torvet,Aarhus C,8000.0,9.0,Dyrehavevej,8000 Aarhus C,Dyrehavevej 9,"Regnskabsklasse B, mikrovirksomhed",2017-02-25,2017-02-25,,,35681310.0,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.",Ãrsrapport,Ruben VÃ¦rum,Ruben VÃ¦rum,Djurslands Bank,VÃRUM GROUP IVS,Ruben VÃ¦rum,,Aarhus C,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,false,false,Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,false,Ingen bistand,urn:ofk:oid:23519256,indberetninger-20180424,2.5953592999999997,35681310.0,,2018-03-27T17:59:56.556Z,2017-02-25T12:54:49.828Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AD-19-BE,2017-02-25T12:54:50.040Z,,,,,-305.0,,,,,,,,,,,
35681310,2016-01-01,2016-01-01,c15,http://regnskaber.virk.dk/01318653/ZG9rdW1lbnRsYWdlcjovLzAzLzU0L2Y2LzRhL2I4LzE1NWItNDc5ZS1iYjBmLTE0ZDU0ZjA5ZWQyYQ.xhtml,http://regnskaber.virk.dk/01318653/ZG9rdW1lbnRsYWdlcjovLzAzL2JiL2FlL2YyL2VlL2M3M2YtNGRjMi04NWMwLWUxOWQ0Y2VhOTk3OA.pdf,http://regnskaber.virk.dk/01318653/ZG9rdW1lbnRsYWdlcjovLzAzLzZmL2Y1L2M2LzU5LzZjYjEtNDA3MS1hYjliLTZkMmYyM2U1ZDQwMQ.xml,true,Danmark,DK,GrenÃ¥,8500.0,5.0,Torvet,Aarhus C,8000.0,9.0,Dyrehavevej,8000 Aarhus C,Dyrehavevej 9,"Regnskabsklasse B, mikrovirksomhed",2017-02-25,2017-02-25,,,35681310.0,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.",Ãrsrapport,Ruben VÃ¦rum,Ruben VÃ¦rum,Djurslands Bank,VÃRUM GROUP IVS,Ruben VÃ¦rum,,Aarhus C,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,false,false,Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,false,Ingen bistand,urn:ofk:oid:23519256,indberetninger-20180424,2.5953592999999997,35681310.0,,2018-03-27T17:59:56.556Z,2017-02-25T12:54:49.828Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AD-19-BE,2017-02-25T12:54:50.040Z,,,,,14083.0,,,,,,,,,,,
