entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AverageNumberOfEmployees,ClassOfReportingEntity,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfGeneralMeeting,ExternalExpenses,GrossResult,IdentificationNumberCvrOfReportingEntity,IncomeFromOtherLongtermInvestmentsAndReceivables,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,TaxExpense,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,NoncurrentAssets,OtherLongtermInvestments,OtherShorttermPayables,OtherShorttermReceivables,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,NameAndSurnameOfMemberOfSupervisoryBoard
15645601,2017-01-01,2017-12-31,c5,http://regnskaber.virk.dk/10654651/ZG9rdW1lbnRsYWdlcjovLzAzLzY4L2UxL2YyLzdlLzk0YzItNDAzNS1hMGM4LWMwNzhmMWZjYmM0OA.xhtml,http://regnskaber.virk.dk/10654651/ZG9rdW1lbnRsYWdlcjovLzAzL2VkL2JjLzUxL2QyL2MzYWItNGVmYy1iNmY5LTYwMjBiNmU4MTU1Ng.pdf,http://regnskaber.virk.dk/10654651/ZG9rdW1lbnRsYWdlcjovLzAzLzZlLzRjLzFiLzBlL2EyZjgtNGZmMC1hN2Y4LTViY2NkNGJkNTcyOQ.xml,true,Kolding,6000.0,3.0,Strandvejen,6000 Kolding,Strandvejen 3,0.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-17,52000.0,-52000.0,15645601.0,717270.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Preben Elmsted,Preben Elmsted,RÃDGIVNINGSSELSKABET AF 5. APRIL 1995 A/S,Camilla Elmsted,59023.0,-10.0,Kolding,2017-01-01,2017-12-31,614129.0,606237.0,-52000.0,2018-12-31,2018-01-01,false,-7892.0,false,false,Ingen bistand,urn:ofk:oid:27248487,indberetninger-20180424,2.59278,15645601.0,AWr5MFsBRYGX6_YTIEQt,2019-05-27T12:07:57.828Z,2019-05-27T12:07:36.307Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BD-42-KD,2019-05-27T12:07:36.518Z,,,,,,,,,,,,,,,,
15645601,2017-01-01,2017-12-31,c7,http://regnskaber.virk.dk/10654651/ZG9rdW1lbnRsYWdlcjovLzAzLzY4L2UxL2YyLzdlLzk0YzItNDAzNS1hMGM4LWMwNzhmMWZjYmM0OA.xhtml,http://regnskaber.virk.dk/10654651/ZG9rdW1lbnRsYWdlcjovLzAzL2VkL2JjLzUxL2QyL2MzYWItNGVmYy1iNmY5LTYwMjBiNmU4MTU1Ng.pdf,http://regnskaber.virk.dk/10654651/ZG9rdW1lbnRsYWdlcjovLzAzLzZlLzRjLzFiLzBlL2EyZjgtNGZmMC1hN2Y4LTViY2NkNGJkNTcyOQ.xml,true,Kolding,6000.0,3.0,Strandvejen,6000 Kolding,Strandvejen 3,0.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-17,,,15645601.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Preben Elmsted,Preben Elmsted,RÃDGIVNINGSSELSKABET AF 5. APRIL 1995 A/S,Camilla Elmsted,,,Kolding,2017-01-01,2017-12-31,614129.0,,,2018-12-31,2018-01-01,false,,false,false,Ingen bistand,urn:ofk:oid:27248487,indberetninger-20180424,2.59278,15645601.0,AWr5MFsBRYGX6_YTIEQt,2019-05-27T12:07:57.828Z,2019-05-27T12:07:36.307Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BD-42-KD,2019-05-27T12:07:36.518Z,,,,,,,,,,,,,,,,
15645601,2017-12-31,2017-12-31,c9,http://regnskaber.virk.dk/10654651/ZG9rdW1lbnRsYWdlcjovLzAzLzY4L2UxL2YyLzdlLzk0YzItNDAzNS1hMGM4LWMwNzhmMWZjYmM0OA.xhtml,http://regnskaber.virk.dk/10654651/ZG9rdW1lbnRsYWdlcjovLzAzL2VkL2JjLzUxL2QyL2MzYWItNGVmYy1iNmY5LTYwMjBiNmU4MTU1Ng.pdf,http://regnskaber.virk.dk/10654651/ZG9rdW1lbnRsYWdlcjovLzAzLzZlLzRjLzFiLzBlL2EyZjgtNGZmMC1hN2Y4LTViY2NkNGJkNTcyOQ.xml,true,Kolding,6000.0,3.0,Strandvejen,6000 Kolding,Strandvejen 3,0.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-17,,,15645601.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Preben Elmsted,Preben Elmsted,RÃDGIVNINGSSELSKABET AF 5. APRIL 1995 A/S,Camilla Elmsted,,,Kolding,2017-01-01,2017-12-31,,,,2018-12-31,2018-01-01,false,,false,false,Ingen bistand,urn:ofk:oid:27248487,indberetninger-20180424,2.59278,15645601.0,AWr5MFsBRYGX6_YTIEQt,2019-05-27T12:07:57.828Z,2019-05-27T12:07:36.307Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BD-42-KD,2019-05-27T12:07:36.518Z,7618490.0,36871.0,500000.0,50956.0,4307186.0,7618490.0,3311304.0,7567534.0,7567534.0,7567534.0,3311304.0,14085.0,3807186.0,3311304.0,14085.0,
15645601,2018-01-01,2018-12-31,c0,http://regnskaber.virk.dk/10654651/ZG9rdW1lbnRsYWdlcjovLzAzLzY4L2UxL2YyLzdlLzk0YzItNDAzNS1hMGM4LWMwNzhmMWZjYmM0OA.xhtml,http://regnskaber.virk.dk/10654651/ZG9rdW1lbnRsYWdlcjovLzAzL2VkL2JjLzUxL2QyL2MzYWItNGVmYy1iNmY5LTYwMjBiNmU4MTU1Ng.pdf,http://regnskaber.virk.dk/10654651/ZG9rdW1lbnRsYWdlcjovLzAzLzZlLzRjLzFiLzBlL2EyZjgtNGZmMC1hN2Y4LTViY2NkNGJkNTcyOQ.xml,true,Kolding,6000.0,3.0,Strandvejen,6000 Kolding,Strandvejen 3,0.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-17,51554.0,-51554.0,15645601.0,-1175055.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Preben Elmsted,Preben Elmsted,RÃDGIVNINGSSELSKABET AF 5. APRIL 1995 A/S,Camilla Elmsted,-95324.0,-578.0,Kolding,2017-01-01,2017-12-31,-1145948.0,-1131863.0,-51554.0,2018-12-31,2018-01-01,false,14085.0,false,false,Ingen bistand,urn:ofk:oid:27248487,indberetninger-20180424,2.59278,15645601.0,AWr5MFsBRYGX6_YTIEQt,2019-05-27T12:07:57.828Z,2019-05-27T12:07:36.307Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BD-42-KD,2019-05-27T12:07:36.518Z,,,,,,,,,,,,,,,,
15645601,2018-01-01,2018-12-31,c1,http://regnskaber.virk.dk/10654651/ZG9rdW1lbnRsYWdlcjovLzAzLzY4L2UxL2YyLzdlLzk0YzItNDAzNS1hMGM4LWMwNzhmMWZjYmM0OA.xhtml,http://regnskaber.virk.dk/10654651/ZG9rdW1lbnRsYWdlcjovLzAzL2VkL2JjLzUxL2QyL2MzYWItNGVmYy1iNmY5LTYwMjBiNmU4MTU1Ng.pdf,http://regnskaber.virk.dk/10654651/ZG9rdW1lbnRsYWdlcjovLzAzLzZlLzRjLzFiLzBlL2EyZjgtNGZmMC1hN2Y4LTViY2NkNGJkNTcyOQ.xml,true,Kolding,6000.0,3.0,Strandvejen,6000 Kolding,Strandvejen 3,0.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-17,,,15645601.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Preben Elmsted,Preben Elmsted,RÃDGIVNINGSSELSKABET AF 5. APRIL 1995 A/S,Camilla Elmsted,,,Kolding,2017-01-01,2017-12-31,,,,2018-12-31,2018-01-01,false,,false,false,Ingen bistand,urn:ofk:oid:27248487,indberetninger-20180424,2.59278,15645601.0,AWr5MFsBRYGX6_YTIEQt,2019-05-27T12:07:57.828Z,2019-05-27T12:07:36.307Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BD-42-KD,2019-05-27T12:07:36.518Z,,,,,,,,,,,,,,,,
15645601,2018-01-01,2018-12-31,c2,http://regnskaber.virk.dk/10654651/ZG9rdW1lbnRsYWdlcjovLzAzLzY4L2UxL2YyLzdlLzk0YzItNDAzNS1hMGM4LWMwNzhmMWZjYmM0OA.xhtml,http://regnskaber.virk.dk/10654651/ZG9rdW1lbnRsYWdlcjovLzAzL2VkL2JjLzUxL2QyL2MzYWItNGVmYy1iNmY5LTYwMjBiNmU4MTU1Ng.pdf,http://regnskaber.virk.dk/10654651/ZG9rdW1lbnRsYWdlcjovLzAzLzZlLzRjLzFiLzBlL2EyZjgtNGZmMC1hN2Y4LTViY2NkNGJkNTcyOQ.xml,true,Kolding,6000.0,3.0,Strandvejen,6000 Kolding,Strandvejen 3,0.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-17,,,15645601.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Preben Elmsted,Preben Elmsted,RÃDGIVNINGSSELSKABET AF 5. APRIL 1995 A/S,Camilla Elmsted,,,Kolding,2017-01-01,2017-12-31,,,,2018-12-31,2018-01-01,false,,false,false,Ingen bistand,urn:ofk:oid:27248487,indberetninger-20180424,2.59278,15645601.0,AWr5MFsBRYGX6_YTIEQt,2019-05-27T12:07:57.828Z,2019-05-27T12:07:36.307Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BD-42-KD,2019-05-27T12:07:36.518Z,,,,,,,,,,,,,,,,Preben Elmsted
15645601,2018-01-01,2018-12-31,c3,http://regnskaber.virk.dk/10654651/ZG9rdW1lbnRsYWdlcjovLzAzLzY4L2UxL2YyLzdlLzk0YzItNDAzNS1hMGM4LWMwNzhmMWZjYmM0OA.xhtml,http://regnskaber.virk.dk/10654651/ZG9rdW1lbnRsYWdlcjovLzAzL2VkL2JjLzUxL2QyL2MzYWItNGVmYy1iNmY5LTYwMjBiNmU4MTU1Ng.pdf,http://regnskaber.virk.dk/10654651/ZG9rdW1lbnRsYWdlcjovLzAzLzZlLzRjLzFiLzBlL2EyZjgtNGZmMC1hN2Y4LTViY2NkNGJkNTcyOQ.xml,true,Kolding,6000.0,3.0,Strandvejen,6000 Kolding,Strandvejen 3,0.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-17,,,15645601.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Preben Elmsted,Preben Elmsted,RÃDGIVNINGSSELSKABET AF 5. APRIL 1995 A/S,Camilla Elmsted,,,Kolding,2017-01-01,2017-12-31,,,,2018-12-31,2018-01-01,false,,false,false,Ingen bistand,urn:ofk:oid:27248487,indberetninger-20180424,2.59278,15645601.0,AWr5MFsBRYGX6_YTIEQt,2019-05-27T12:07:57.828Z,2019-05-27T12:07:36.307Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BD-42-KD,2019-05-27T12:07:36.518Z,,,,,,,,,,,,,,,,Camilla Elmsted
15645601,2018-01-01,2018-12-31,c4,http://regnskaber.virk.dk/10654651/ZG9rdW1lbnRsYWdlcjovLzAzLzY4L2UxL2YyLzdlLzk0YzItNDAzNS1hMGM4LWMwNzhmMWZjYmM0OA.xhtml,http://regnskaber.virk.dk/10654651/ZG9rdW1lbnRsYWdlcjovLzAzL2VkL2JjLzUxL2QyL2MzYWItNGVmYy1iNmY5LTYwMjBiNmU4MTU1Ng.pdf,http://regnskaber.virk.dk/10654651/ZG9rdW1lbnRsYWdlcjovLzAzLzZlLzRjLzFiLzBlL2EyZjgtNGZmMC1hN2Y4LTViY2NkNGJkNTcyOQ.xml,true,Kolding,6000.0,3.0,Strandvejen,6000 Kolding,Strandvejen 3,0.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-17,,,15645601.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Preben Elmsted,Preben Elmsted,RÃDGIVNINGSSELSKABET AF 5. APRIL 1995 A/S,Camilla Elmsted,,,Kolding,2017-01-01,2017-12-31,,,,2018-12-31,2018-01-01,false,,false,false,Ingen bistand,urn:ofk:oid:27248487,indberetninger-20180424,2.59278,15645601.0,AWr5MFsBRYGX6_YTIEQt,2019-05-27T12:07:57.828Z,2019-05-27T12:07:36.307Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BD-42-KD,2019-05-27T12:07:36.518Z,,,,,,,,,,,,,,,,Anne Regitze Elmsted Kastrup
15645601,2018-01-01,2018-12-31,c6,http://regnskaber.virk.dk/10654651/ZG9rdW1lbnRsYWdlcjovLzAzLzY4L2UxL2YyLzdlLzk0YzItNDAzNS1hMGM4LWMwNzhmMWZjYmM0OA.xhtml,http://regnskaber.virk.dk/10654651/ZG9rdW1lbnRsYWdlcjovLzAzL2VkL2JjLzUxL2QyL2MzYWItNGVmYy1iNmY5LTYwMjBiNmU4MTU1Ng.pdf,http://regnskaber.virk.dk/10654651/ZG9rdW1lbnRsYWdlcjovLzAzLzZlLzRjLzFiLzBlL2EyZjgtNGZmMC1hN2Y4LTViY2NkNGJkNTcyOQ.xml,true,Kolding,6000.0,3.0,Strandvejen,6000 Kolding,Strandvejen 3,0.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-17,,,15645601.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Preben Elmsted,Preben Elmsted,RÃDGIVNINGSSELSKABET AF 5. APRIL 1995 A/S,Camilla Elmsted,,,Kolding,2017-01-01,2017-12-31,-1145948.0,,,2018-12-31,2018-01-01,false,,false,false,Ingen bistand,urn:ofk:oid:27248487,indberetninger-20180424,2.59278,15645601.0,AWr5MFsBRYGX6_YTIEQt,2019-05-27T12:07:57.828Z,2019-05-27T12:07:36.307Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BD-42-KD,2019-05-27T12:07:36.518Z,,,,,,,,,,,,,,,,
15645601,2018-12-31,2018-12-31,c8,http://regnskaber.virk.dk/10654651/ZG9rdW1lbnRsYWdlcjovLzAzLzY4L2UxL2YyLzdlLzk0YzItNDAzNS1hMGM4LWMwNzhmMWZjYmM0OA.xhtml,http://regnskaber.virk.dk/10654651/ZG9rdW1lbnRsYWdlcjovLzAzL2VkL2JjLzUxL2QyL2MzYWItNGVmYy1iNmY5LTYwMjBiNmU4MTU1Ng.pdf,http://regnskaber.virk.dk/10654651/ZG9rdW1lbnRsYWdlcjovLzAzLzZlLzRjLzFiLzBlL2EyZjgtNGZmMC1hN2Y4LTViY2NkNGJkNTcyOQ.xml,true,Kolding,6000.0,3.0,Strandvejen,6000 Kolding,Strandvejen 3,0.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-17,,,15645601.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Preben Elmsted,Preben Elmsted,RÃDGIVNINGSSELSKABET AF 5. APRIL 1995 A/S,Camilla Elmsted,,,Kolding,2017-01-01,2017-12-31,,,,2018-12-31,2018-01-01,false,,false,false,Ingen bistand,urn:ofk:oid:27248487,indberetninger-20180424,2.59278,15645601.0,AWr5MFsBRYGX6_YTIEQt,2019-05-27T12:07:57.828Z,2019-05-27T12:07:36.307Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BD-42-KD,2019-05-27T12:07:36.518Z,5978092.0,121090.0,500000.0,188038.0,3161238.0,5978092.0,2816854.0,5790054.0,5790054.0,5790054.0,2816854.0,66948.0,2661238.0,2816854.0,66948.0,
