entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityPostcodeAndTown,AddressOfReportingEntityStreetAndNumber,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfAuditorsReportOnAuditedFinancialStatements,DateOfGeneralMeeting,DescriptionOfAuditorAppointedToPerformAudit,IdentificationNumberCvrOfAuditFirmAppointedToPerformAudit,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditorAppointedToPerformAudit,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirmAppointedToPerformAudit,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfCompilationOfAuditorsReportOnAuditedFinancialStatements,ProfitLoss,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,TelephoneNumberOfReportingEntity,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,CostOfSales,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,GrossResult,OtherExternalExpenses,OtherFinanceExpenses,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,Revenue,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,Inventories,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,ManufacturedGoodsAndGoodsForResale,OtherShorttermPayables,OtherShorttermReceivables,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermReceivablesFromOwnersAndManagement,ShorttermTaxPayables,ShorttermTaxReceivables,ShorttermTradePayables,ShorttermTradeReceivables
entity identifier,2011-01-01,2011-12-31,ID_10,http://regnskaber.virk.dk/57543491/Y3ZyLmRrOi8vcGRmcy8xOTQzNDU3NTtBcFMyMzAzMDY7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/57543491/Y3ZyLmRrOi8veGJybHMvWC1CNTU4RTRFMS0yMDEzMDYyNV8xOTEyMzZfNjk5.xml,"4684, Holmegaard",Holmegaardsvej 35,"4700, NÃ¦stved",Ringstedgade 82,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2013-05-01,2013-05-30,Statsautoriseret revisor,31929342.0,19434575.0,31929342.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2012 - 31-12-2012 for Busmaster Hardware ApS.,Ãrsrapport,Kenneth Bach Holmegaard,Carl Christian Larsen,Carl Christian Larsen,"Multi Revision I/S, Statsautoriseret revisionsinteressentskab",Busmaster Hardware ApS,"Multi Revision I/S, Statsautoriseret revisionsinteressentskab",NÃ¦stved,-62799.0,"NÃ¦stved, 370",2012-12-31,2012-01-01,40571290.0,urn:ofk:oid:12619910,indberetninger-20180424,2.5117297,19434575.0,,2018-04-01T12:42:23.604Z,2013-06-30T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-31.125,2013-06-30T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-01-01,2011-12-31,ID_12,http://regnskaber.virk.dk/57543491/Y3ZyLmRrOi8vcGRmcy8xOTQzNDU3NTtBcFMyMzAzMDY7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/57543491/Y3ZyLmRrOi8veGJybHMvWC1CNTU4RTRFMS0yMDEzMDYyNV8xOTEyMzZfNjk5.xml,"4684, Holmegaard",Holmegaardsvej 35,"4700, NÃ¦stved",Ringstedgade 82,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2013-05-01,2013-05-30,Statsautoriseret revisor,31929342.0,19434575.0,31929342.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2012 - 31-12-2012 for Busmaster Hardware ApS.,Ãrsrapport,Kenneth Bach Holmegaard,Carl Christian Larsen,Carl Christian Larsen,"Multi Revision I/S, Statsautoriseret revisionsinteressentskab",Busmaster Hardware ApS,"Multi Revision I/S, Statsautoriseret revisionsinteressentskab",NÃ¦stved,33801.0,"NÃ¦stved, 370",2012-12-31,2012-01-01,40571290.0,urn:ofk:oid:12619910,indberetninger-20180424,2.5117297,19434575.0,,2018-04-01T12:42:23.604Z,2013-06-30T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-31.125,2013-06-30T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-01-01,2011-12-31,ID_6,http://regnskaber.virk.dk/57543491/Y3ZyLmRrOi8vcGRmcy8xOTQzNDU3NTtBcFMyMzAzMDY7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/57543491/Y3ZyLmRrOi8veGJybHMvWC1CNTU4RTRFMS0yMDEzMDYyNV8xOTEyMzZfNjk5.xml,"4684, Holmegaard",Holmegaardsvej 35,"4700, NÃ¦stved",Ringstedgade 82,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2013-05-01,2013-05-30,Statsautoriseret revisor,31929342.0,19434575.0,31929342.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2012 - 31-12-2012 for Busmaster Hardware ApS.,Ãrsrapport,Kenneth Bach Holmegaard,Carl Christian Larsen,Carl Christian Larsen,"Multi Revision I/S, Statsautoriseret revisionsinteressentskab",Busmaster Hardware ApS,"Multi Revision I/S, Statsautoriseret revisionsinteressentskab",NÃ¦stved,-33801.0,"NÃ¦stved, 370",2012-12-31,2012-01-01,40571290.0,urn:ofk:oid:12619910,indberetninger-20180424,2.5117297,19434575.0,,2018-04-01T12:42:23.604Z,2013-06-30T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-31.125,2013-06-30T22:00:00.000Z,425527.0,18454.0,-61610.0,17030.0,875.0,-3055.0,-45336.0,-43156.0,-504167.0,11535.0,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-01-01,2011-12-31,ID_8,http://regnskaber.virk.dk/57543491/Y3ZyLmRrOi8vcGRmcy8xOTQzNDU3NTtBcFMyMzAzMDY7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/57543491/Y3ZyLmRrOi8veGJybHMvWC1CNTU4RTRFMS0yMDEzMDYyNV8xOTEyMzZfNjk5.xml,"4684, Holmegaard",Holmegaardsvej 35,"4700, NÃ¦stved",Ringstedgade 82,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2013-05-01,2013-05-30,Statsautoriseret revisor,31929342.0,19434575.0,31929342.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2012 - 31-12-2012 for Busmaster Hardware ApS.,Ãrsrapport,Kenneth Bach Holmegaard,Carl Christian Larsen,Carl Christian Larsen,"Multi Revision I/S, Statsautoriseret revisionsinteressentskab",Busmaster Hardware ApS,"Multi Revision I/S, Statsautoriseret revisionsinteressentskab",NÃ¦stved,96600.0,"NÃ¦stved, 370",2012-12-31,2012-01-01,40571290.0,urn:ofk:oid:12619910,indberetninger-20180424,2.5117297,19434575.0,,2018-04-01T12:42:23.604Z,2013-06-30T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-31.125,2013-06-30T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-12-31,2011-12-31,ID_14,http://regnskaber.virk.dk/57543491/Y3ZyLmRrOi8vcGRmcy8xOTQzNDU3NTtBcFMyMzAzMDY7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/57543491/Y3ZyLmRrOi8veGJybHMvWC1CNTU4RTRFMS0yMDEzMDYyNV8xOTEyMzZfNjk5.xml,"4684, Holmegaard",Holmegaardsvej 35,"4700, NÃ¦stved",Ringstedgade 82,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2013-05-01,2013-05-30,Statsautoriseret revisor,31929342.0,19434575.0,31929342.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2012 - 31-12-2012 for Busmaster Hardware ApS.,Ãrsrapport,Kenneth Bach Holmegaard,Carl Christian Larsen,Carl Christian Larsen,"Multi Revision I/S, Statsautoriseret revisionsinteressentskab",Busmaster Hardware ApS,"Multi Revision I/S, Statsautoriseret revisionsinteressentskab",NÃ¦stved,,"NÃ¦stved, 370",2012-12-31,2012-01-01,40571290.0,urn:ofk:oid:12619910,indberetninger-20180424,2.5117297,19434575.0,,2018-04-01T12:42:23.604Z,2013-06-30T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-31.125,2013-06-30T22:00:00.000Z,,,,,,,,,,,343708.0,192727.0,-200000.0,343708.0,-322216.0,34810.0,-343708.0,-21492.0,34810.0,-9500.0,6476.0,-96600.0,-25616.0,-21492.0,0.0,116171.0,5564.0,-3535.0,0.0,-8457.0,104132.0
entity identifier,2012-01-01,2012-12-31,ID_0,http://regnskaber.virk.dk/57543491/Y3ZyLmRrOi8vcGRmcy8xOTQzNDU3NTtBcFMyMzAzMDY7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/57543491/Y3ZyLmRrOi8veGJybHMvWC1CNTU4RTRFMS0yMDEzMDYyNV8xOTEyMzZfNjk5.xml,"4684, Holmegaard",Holmegaardsvej 35,"4700, NÃ¦stved",Ringstedgade 82,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2013-05-01,2013-05-30,Statsautoriseret revisor,31929342.0,19434575.0,31929342.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2012 - 31-12-2012 for Busmaster Hardware ApS.,Ãrsrapport,Kenneth Bach Holmegaard,Carl Christian Larsen,Carl Christian Larsen,"Multi Revision I/S, Statsautoriseret revisionsinteressentskab",Busmaster Hardware ApS,"Multi Revision I/S, Statsautoriseret revisionsinteressentskab",NÃ¦stved,,"NÃ¦stved, 370",2012-12-31,2012-01-01,40571290.0,urn:ofk:oid:12619910,indberetninger-20180424,2.5117297,19434575.0,,2018-04-01T12:42:23.604Z,2013-06-30T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-31.125,2013-06-30T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_1,http://regnskaber.virk.dk/57543491/Y3ZyLmRrOi8vcGRmcy8xOTQzNDU3NTtBcFMyMzAzMDY7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/57543491/Y3ZyLmRrOi8veGJybHMvWC1CNTU4RTRFMS0yMDEzMDYyNV8xOTEyMzZfNjk5.xml,"4684, Holmegaard",Holmegaardsvej 35,"4700, NÃ¦stved",Ringstedgade 82,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2013-05-01,2013-05-30,Statsautoriseret revisor,31929342.0,19434575.0,31929342.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2012 - 31-12-2012 for Busmaster Hardware ApS.,Ãrsrapport,Kenneth Bach Holmegaard,Carl Christian Larsen,Carl Christian Larsen,"Multi Revision I/S, Statsautoriseret revisionsinteressentskab",Busmaster Hardware ApS,"Multi Revision I/S, Statsautoriseret revisionsinteressentskab",NÃ¦stved,,"NÃ¦stved, 370",2012-12-31,2012-01-01,40571290.0,urn:ofk:oid:12619910,indberetninger-20180424,2.5117297,19434575.0,,2018-04-01T12:42:23.604Z,2013-06-30T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-31.125,2013-06-30T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_11,http://regnskaber.virk.dk/57543491/Y3ZyLmRrOi8vcGRmcy8xOTQzNDU3NTtBcFMyMzAzMDY7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/57543491/Y3ZyLmRrOi8veGJybHMvWC1CNTU4RTRFMS0yMDEzMDYyNV8xOTEyMzZfNjk5.xml,"4684, Holmegaard",Holmegaardsvej 35,"4700, NÃ¦stved",Ringstedgade 82,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2013-05-01,2013-05-30,Statsautoriseret revisor,31929342.0,19434575.0,31929342.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2012 - 31-12-2012 for Busmaster Hardware ApS.,Ãrsrapport,Kenneth Bach Holmegaard,Carl Christian Larsen,Carl Christian Larsen,"Multi Revision I/S, Statsautoriseret revisionsinteressentskab",Busmaster Hardware ApS,"Multi Revision I/S, Statsautoriseret revisionsinteressentskab",NÃ¦stved,14696.0,"NÃ¦stved, 370",2012-12-31,2012-01-01,40571290.0,urn:ofk:oid:12619910,indberetninger-20180424,2.5117297,19434575.0,,2018-04-01T12:42:23.604Z,2013-06-30T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-31.125,2013-06-30T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_15,http://regnskaber.virk.dk/57543491/Y3ZyLmRrOi8vcGRmcy8xOTQzNDU3NTtBcFMyMzAzMDY7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/57543491/Y3ZyLmRrOi8veGJybHMvWC1CNTU4RTRFMS0yMDEzMDYyNV8xOTEyMzZfNjk5.xml,"4684, Holmegaard",Holmegaardsvej 35,"4700, NÃ¦stved",Ringstedgade 82,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2013-05-01,2013-05-30,Statsautoriseret revisor,31929342.0,19434575.0,31929342.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2012 - 31-12-2012 for Busmaster Hardware ApS.,Ãrsrapport,Kenneth Bach Holmegaard,Carl Christian Larsen,Carl Christian Larsen,"Multi Revision I/S, Statsautoriseret revisionsinteressentskab",Busmaster Hardware ApS,"Multi Revision I/S, Statsautoriseret revisionsinteressentskab",NÃ¦stved,,"NÃ¦stved, 370",2012-12-31,2012-01-01,40571290.0,urn:ofk:oid:12619910,indberetninger-20180424,2.5117297,19434575.0,,2018-04-01T12:42:23.604Z,2013-06-30T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-31.125,2013-06-30T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_16,http://regnskaber.virk.dk/57543491/Y3ZyLmRrOi8vcGRmcy8xOTQzNDU3NTtBcFMyMzAzMDY7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/57543491/Y3ZyLmRrOi8veGJybHMvWC1CNTU4RTRFMS0yMDEzMDYyNV8xOTEyMzZfNjk5.xml,"4684, Holmegaard",Holmegaardsvej 35,"4700, NÃ¦stved",Ringstedgade 82,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2013-05-01,2013-05-30,Statsautoriseret revisor,31929342.0,19434575.0,31929342.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2012 - 31-12-2012 for Busmaster Hardware ApS.,Ãrsrapport,Kenneth Bach Holmegaard,Carl Christian Larsen,Carl Christian Larsen,"Multi Revision I/S, Statsautoriseret revisionsinteressentskab",Busmaster Hardware ApS,"Multi Revision I/S, Statsautoriseret revisionsinteressentskab",NÃ¦stved,,"NÃ¦stved, 370",2012-12-31,2012-01-01,40571290.0,urn:ofk:oid:12619910,indberetninger-20180424,2.5117297,19434575.0,,2018-04-01T12:42:23.604Z,2013-06-30T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-31.125,2013-06-30T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
