entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfAuditorCountry,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditor,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfExternalExpenses,EmailOfAuditor,Equity,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TelephoneNumberOfAuditor,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,ProfitLoss,GrossProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,OtherShorttermReceivables,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTradePayables
27724272,2015-01-01,2015-01-01,c720,,http://regnskaber.virk.dk/27242772/ZG9rdW1lbnRsYWdlcjovLzAzLzRjLzVlLzNjLzE2L2M2ZTgtNGNkZS05MzBhLTgxMTI3YTYzZTliZg.pdf,http://regnskaber.virk.dk/27242772/ZG9rdW1lbnRsYWdlcjovLzAzLzQ5L2IwL2VmL2MxL2FlM2MtNGJjYi1iN2Y3LTI5ZTU1NGVkYjU2NQ.xml,Danmark,KÃ¸benhavn K,1264.0,68.0,Store Kongensgade,KÃ¸benhavn K,1264.0,68.0,Store Kongensgade,"1264, KÃ¸benhavn K","Store Kongensgade, 68",kapitalejerne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2016 for opfyldt.,2017-04-04,2017-04-04,2004-04-28,2017-06-19,statsautoriseret revisor,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler og tab pÃ¥ debitorer.",ck@ck.dk,131000.0,15915641.0,27724272.0,15915641.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2016 for Waterworks Music ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Iver Haugsted,Claus Norreen,Claus Norreen,"Christensen KjÃ¦rulff, Statsautoriseret Revisionsaktieselskab",Waterworks Music ApS,"Christensen KjÃ¦rulff, Statsautoriseret Revisionsaktieselskab",KÃ¸benhavn K,2015-01-01,2015-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸benhavn,2016-12-31,2016-01-01,2017-04-04,KÃ¸benhavn,+45 33 30 15 15,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24242034,indberetninger-20180424,2.5124327999999996,27724272.0,,2018-03-29T14:08:09.507Z,2017-06-19T15:57:34.824Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AN-46-KZ,2017-06-19T15:57:35.027Z,,,,,,,,,,,,,,,
27724272,2015-01-01,2015-01-01,c741,,http://regnskaber.virk.dk/27242772/ZG9rdW1lbnRsYWdlcjovLzAzLzRjLzVlLzNjLzE2L2M2ZTgtNGNkZS05MzBhLTgxMTI3YTYzZTliZg.pdf,http://regnskaber.virk.dk/27242772/ZG9rdW1lbnRsYWdlcjovLzAzLzQ5L2IwL2VmL2MxL2FlM2MtNGJjYi1iN2Y3LTI5ZTU1NGVkYjU2NQ.xml,Danmark,KÃ¸benhavn K,1264.0,68.0,Store Kongensgade,KÃ¸benhavn K,1264.0,68.0,Store Kongensgade,"1264, KÃ¸benhavn K","Store Kongensgade, 68",kapitalejerne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2016 for opfyldt.,2017-04-04,2017-04-04,2004-04-28,2017-06-19,statsautoriseret revisor,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler og tab pÃ¥ debitorer.",ck@ck.dk,82891.0,15915641.0,27724272.0,15915641.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2016 for Waterworks Music ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Iver Haugsted,Claus Norreen,Claus Norreen,"Christensen KjÃ¦rulff, Statsautoriseret Revisionsaktieselskab",Waterworks Music ApS,"Christensen KjÃ¦rulff, Statsautoriseret Revisionsaktieselskab",KÃ¸benhavn K,2015-01-01,2015-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸benhavn,2016-12-31,2016-01-01,2017-04-04,KÃ¸benhavn,+45 33 30 15 15,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24242034,indberetninger-20180424,2.5124327999999996,27724272.0,,2018-03-29T14:08:09.507Z,2017-06-19T15:57:34.824Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AN-46-KZ,2017-06-19T15:57:35.027Z,,,,,,,,,,,,,,,
27724272,2015-01-01,2015-12-31,c123,,http://regnskaber.virk.dk/27242772/ZG9rdW1lbnRsYWdlcjovLzAzLzRjLzVlLzNjLzE2L2M2ZTgtNGNkZS05MzBhLTgxMTI3YTYzZTliZg.pdf,http://regnskaber.virk.dk/27242772/ZG9rdW1lbnRsYWdlcjovLzAzLzQ5L2IwL2VmL2MxL2FlM2MtNGJjYi1iN2Y3LTI5ZTU1NGVkYjU2NQ.xml,Danmark,KÃ¸benhavn K,1264.0,68.0,Store Kongensgade,KÃ¸benhavn K,1264.0,68.0,Store Kongensgade,"1264, KÃ¸benhavn K","Store Kongensgade, 68",kapitalejerne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2016 for opfyldt.,2017-04-04,2017-04-04,2004-04-28,2017-06-19,statsautoriseret revisor,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler og tab pÃ¥ debitorer.",ck@ck.dk,,15915641.0,27724272.0,15915641.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2016 for Waterworks Music ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Iver Haugsted,Claus Norreen,Claus Norreen,"Christensen KjÃ¦rulff, Statsautoriseret Revisionsaktieselskab",Waterworks Music ApS,"Christensen KjÃ¦rulff, Statsautoriseret Revisionsaktieselskab",KÃ¸benhavn K,2015-01-01,2015-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸benhavn,2016-12-31,2016-01-01,2017-04-04,KÃ¸benhavn,+45 33 30 15 15,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24242034,indberetninger-20180424,2.5124327999999996,27724272.0,,2018-03-29T14:08:09.507Z,2017-06-19T15:57:34.824Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AN-46-KZ,2017-06-19T15:57:35.027Z,-31150.0,,,,,,,,,,,,,,
27724272,2015-01-01,2015-12-31,c3,,http://regnskaber.virk.dk/27242772/ZG9rdW1lbnRsYWdlcjovLzAzLzRjLzVlLzNjLzE2L2M2ZTgtNGNkZS05MzBhLTgxMTI3YTYzZTliZg.pdf,http://regnskaber.virk.dk/27242772/ZG9rdW1lbnRsYWdlcjovLzAzLzQ5L2IwL2VmL2MxL2FlM2MtNGJjYi1iN2Y3LTI5ZTU1NGVkYjU2NQ.xml,Danmark,KÃ¸benhavn K,1264.0,68.0,Store Kongensgade,KÃ¸benhavn K,1264.0,68.0,Store Kongensgade,"1264, KÃ¸benhavn K","Store Kongensgade, 68",kapitalejerne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2016 for opfyldt.,2017-04-04,2017-04-04,2004-04-28,2017-06-19,statsautoriseret revisor,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler og tab pÃ¥ debitorer.",ck@ck.dk,,15915641.0,27724272.0,15915641.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2016 for Waterworks Music ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Iver Haugsted,Claus Norreen,Claus Norreen,"Christensen KjÃ¦rulff, Statsautoriseret Revisionsaktieselskab",Waterworks Music ApS,"Christensen KjÃ¦rulff, Statsautoriseret Revisionsaktieselskab",KÃ¸benhavn K,2015-01-01,2015-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸benhavn,2016-12-31,2016-01-01,2017-04-04,KÃ¸benhavn,+45 33 30 15 15,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24242034,indberetninger-20180424,2.5124327999999996,27724272.0,,2018-03-29T14:08:09.507Z,2017-06-19T15:57:34.824Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AN-46-KZ,2017-06-19T15:57:35.027Z,-31150.0,-31150.0,-31150.0,-31150.0,,,,,,,,,,,
27724272,2015-01-01,2015-12-31,c742,,http://regnskaber.virk.dk/27242772/ZG9rdW1lbnRsYWdlcjovLzAzLzRjLzVlLzNjLzE2L2M2ZTgtNGNkZS05MzBhLTgxMTI3YTYzZTliZg.pdf,http://regnskaber.virk.dk/27242772/ZG9rdW1lbnRsYWdlcjovLzAzLzQ5L2IwL2VmL2MxL2FlM2MtNGJjYi1iN2Y3LTI5ZTU1NGVkYjU2NQ.xml,Danmark,KÃ¸benhavn K,1264.0,68.0,Store Kongensgade,KÃ¸benhavn K,1264.0,68.0,Store Kongensgade,"1264, KÃ¸benhavn K","Store Kongensgade, 68",kapitalejerne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2016 for opfyldt.,2017-04-04,2017-04-04,2004-04-28,2017-06-19,statsautoriseret revisor,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler og tab pÃ¥ debitorer.",ck@ck.dk,,15915641.0,27724272.0,15915641.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2016 for Waterworks Music ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Iver Haugsted,Claus Norreen,Claus Norreen,"Christensen KjÃ¦rulff, Statsautoriseret Revisionsaktieselskab",Waterworks Music ApS,"Christensen KjÃ¦rulff, Statsautoriseret Revisionsaktieselskab",KÃ¸benhavn K,2015-01-01,2015-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸benhavn,2016-12-31,2016-01-01,2017-04-04,KÃ¸benhavn,+45 33 30 15 15,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24242034,indberetninger-20180424,2.5124327999999996,27724272.0,,2018-03-29T14:08:09.507Z,2017-06-19T15:57:34.824Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AN-46-KZ,2017-06-19T15:57:35.027Z,-31150.0,,,,,,,,,,,,,,
27724272,2015-12-31,2015-12-31,c4,,http://regnskaber.virk.dk/27242772/ZG9rdW1lbnRsYWdlcjovLzAzLzRjLzVlLzNjLzE2L2M2ZTgtNGNkZS05MzBhLTgxMTI3YTYzZTliZg.pdf,http://regnskaber.virk.dk/27242772/ZG9rdW1lbnRsYWdlcjovLzAzLzQ5L2IwL2VmL2MxL2FlM2MtNGJjYi1iN2Y3LTI5ZTU1NGVkYjU2NQ.xml,Danmark,KÃ¸benhavn K,1264.0,68.0,Store Kongensgade,KÃ¸benhavn K,1264.0,68.0,Store Kongensgade,"1264, KÃ¸benhavn K","Store Kongensgade, 68",kapitalejerne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2016 for opfyldt.,2017-04-04,2017-04-04,2004-04-28,2017-06-19,statsautoriseret revisor,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler og tab pÃ¥ debitorer.",ck@ck.dk,182741.0,15915641.0,27724272.0,15915641.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2016 for Waterworks Music ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Iver Haugsted,Claus Norreen,Claus Norreen,"Christensen KjÃ¦rulff, Statsautoriseret Revisionsaktieselskab",Waterworks Music ApS,"Christensen KjÃ¦rulff, Statsautoriseret Revisionsaktieselskab",KÃ¸benhavn K,2015-01-01,2015-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸benhavn,2016-12-31,2016-01-01,2017-04-04,KÃ¸benhavn,+45 33 30 15 15,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24242034,indberetninger-20180424,2.5124327999999996,27724272.0,,2018-03-29T14:08:09.507Z,2017-06-19T15:57:34.824Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AN-46-KZ,2017-06-19T15:57:35.027Z,,,,,195141.0,192040.0,131000.0,195141.0,195141.0,12400.0,3101.0,51741.0,12400.0,3101.0,12400.0
27724272,2015-12-31,2015-12-31,c722,,http://regnskaber.virk.dk/27242772/ZG9rdW1lbnRsYWdlcjovLzAzLzRjLzVlLzNjLzE2L2M2ZTgtNGNkZS05MzBhLTgxMTI3YTYzZTliZg.pdf,http://regnskaber.virk.dk/27242772/ZG9rdW1lbnRsYWdlcjovLzAzLzQ5L2IwL2VmL2MxL2FlM2MtNGJjYi1iN2Y3LTI5ZTU1NGVkYjU2NQ.xml,Danmark,KÃ¸benhavn K,1264.0,68.0,Store Kongensgade,KÃ¸benhavn K,1264.0,68.0,Store Kongensgade,"1264, KÃ¸benhavn K","Store Kongensgade, 68",kapitalejerne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2016 for opfyldt.,2017-04-04,2017-04-04,2004-04-28,2017-06-19,statsautoriseret revisor,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler og tab pÃ¥ debitorer.",ck@ck.dk,131000.0,15915641.0,27724272.0,15915641.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2016 for Waterworks Music ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Iver Haugsted,Claus Norreen,Claus Norreen,"Christensen KjÃ¦rulff, Statsautoriseret Revisionsaktieselskab",Waterworks Music ApS,"Christensen KjÃ¦rulff, Statsautoriseret Revisionsaktieselskab",KÃ¸benhavn K,2015-01-01,2015-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸benhavn,2016-12-31,2016-01-01,2017-04-04,KÃ¸benhavn,+45 33 30 15 15,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24242034,indberetninger-20180424,2.5124327999999996,27724272.0,,2018-03-29T14:08:09.507Z,2017-06-19T15:57:34.824Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AN-46-KZ,2017-06-19T15:57:35.027Z,,,,,,,,,,,,,,,
27724272,2015-12-31,2015-12-31,c743,,http://regnskaber.virk.dk/27242772/ZG9rdW1lbnRsYWdlcjovLzAzLzRjLzVlLzNjLzE2L2M2ZTgtNGNkZS05MzBhLTgxMTI3YTYzZTliZg.pdf,http://regnskaber.virk.dk/27242772/ZG9rdW1lbnRsYWdlcjovLzAzLzQ5L2IwL2VmL2MxL2FlM2MtNGJjYi1iN2Y3LTI5ZTU1NGVkYjU2NQ.xml,Danmark,KÃ¸benhavn K,1264.0,68.0,Store Kongensgade,KÃ¸benhavn K,1264.0,68.0,Store Kongensgade,"1264, KÃ¸benhavn K","Store Kongensgade, 68",kapitalejerne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2016 for opfyldt.,2017-04-04,2017-04-04,2004-04-28,2017-06-19,statsautoriseret revisor,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler og tab pÃ¥ debitorer.",ck@ck.dk,51741.0,15915641.0,27724272.0,15915641.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2016 for Waterworks Music ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Iver Haugsted,Claus Norreen,Claus Norreen,"Christensen KjÃ¦rulff, Statsautoriseret Revisionsaktieselskab",Waterworks Music ApS,"Christensen KjÃ¦rulff, Statsautoriseret Revisionsaktieselskab",KÃ¸benhavn K,2015-01-01,2015-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸benhavn,2016-12-31,2016-01-01,2017-04-04,KÃ¸benhavn,+45 33 30 15 15,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24242034,indberetninger-20180424,2.5124327999999996,27724272.0,,2018-03-29T14:08:09.507Z,2017-06-19T15:57:34.824Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AN-46-KZ,2017-06-19T15:57:35.027Z,,,,,,,,,,,,,,,
27724272,2016-01-01,2016-01-01,c181,,http://regnskaber.virk.dk/27242772/ZG9rdW1lbnRsYWdlcjovLzAzLzRjLzVlLzNjLzE2L2M2ZTgtNGNkZS05MzBhLTgxMTI3YTYzZTliZg.pdf,http://regnskaber.virk.dk/27242772/ZG9rdW1lbnRsYWdlcjovLzAzLzQ5L2IwL2VmL2MxL2FlM2MtNGJjYi1iN2Y3LTI5ZTU1NGVkYjU2NQ.xml,Danmark,KÃ¸benhavn K,1264.0,68.0,Store Kongensgade,KÃ¸benhavn K,1264.0,68.0,Store Kongensgade,"1264, KÃ¸benhavn K","Store Kongensgade, 68",kapitalejerne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2016 for opfyldt.,2017-04-04,2017-04-04,2004-04-28,2017-06-19,statsautoriseret revisor,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler og tab pÃ¥ debitorer.",ck@ck.dk,131000.0,15915641.0,27724272.0,15915641.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2016 for Waterworks Music ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Iver Haugsted,Claus Norreen,Claus Norreen,"Christensen KjÃ¦rulff, Statsautoriseret Revisionsaktieselskab",Waterworks Music ApS,"Christensen KjÃ¦rulff, Statsautoriseret Revisionsaktieselskab",KÃ¸benhavn K,2015-01-01,2015-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸benhavn,2016-12-31,2016-01-01,2017-04-04,KÃ¸benhavn,+45 33 30 15 15,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24242034,indberetninger-20180424,2.5124327999999996,27724272.0,,2018-03-29T14:08:09.507Z,2017-06-19T15:57:34.824Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AN-46-KZ,2017-06-19T15:57:35.027Z,,,,,,,,,,,,,,,
27724272,2016-01-01,2016-01-01,c199,,http://regnskaber.virk.dk/27242772/ZG9rdW1lbnRsYWdlcjovLzAzLzRjLzVlLzNjLzE2L2M2ZTgtNGNkZS05MzBhLTgxMTI3YTYzZTliZg.pdf,http://regnskaber.virk.dk/27242772/ZG9rdW1lbnRsYWdlcjovLzAzLzQ5L2IwL2VmL2MxL2FlM2MtNGJjYi1iN2Y3LTI5ZTU1NGVkYjU2NQ.xml,Danmark,KÃ¸benhavn K,1264.0,68.0,Store Kongensgade,KÃ¸benhavn K,1264.0,68.0,Store Kongensgade,"1264, KÃ¸benhavn K","Store Kongensgade, 68",kapitalejerne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2016 for opfyldt.,2017-04-04,2017-04-04,2004-04-28,2017-06-19,statsautoriseret revisor,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler og tab pÃ¥ debitorer.",ck@ck.dk,51741.0,15915641.0,27724272.0,15915641.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2016 for Waterworks Music ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Iver Haugsted,Claus Norreen,Claus Norreen,"Christensen KjÃ¦rulff, Statsautoriseret Revisionsaktieselskab",Waterworks Music ApS,"Christensen KjÃ¦rulff, Statsautoriseret Revisionsaktieselskab",KÃ¸benhavn K,2015-01-01,2015-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸benhavn,2016-12-31,2016-01-01,2017-04-04,KÃ¸benhavn,+45 33 30 15 15,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24242034,indberetninger-20180424,2.5124327999999996,27724272.0,,2018-03-29T14:08:09.507Z,2017-06-19T15:57:34.824Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AN-46-KZ,2017-06-19T15:57:35.027Z,,,,,,,,,,,,,,,
