entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfExternalExpenses,Equity,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,ProfitLoss,GrossProfitLoss,OtherFinanceExpenses,OtherInterestExpenses,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,OtherShorttermReceivables,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToAssociates,ShorttermReceivables,ShorttermTradePayables
27724272,2014-01-01,2014-01-01,c720,,http://regnskaber.virk.dk/27242772/ZG9rdW1lbnRsYWdlcjovLzAzLzQwLzM1LzY1L2MxLzk5MzQtNDkwMi04MTY0LWZlNjUyMjA0YTA1NA.pdf,http://regnskaber.virk.dk/27242772/ZG9rdW1lbnRsYWdlcjovLzAzLzY3LzM1L2MwLzIyL2RlYjYtNDZjYS1hZjBmLWM0Y2ZhOTQ3MzU0ZQ.xml,KÃ¸behavn K,1264.0,68.0,Store Kongensgade,"1264, KÃ¸benhavn K","Store Kongensgade, 68",kapitalejerne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015 for opfyldt.,2016-01-29,2016-01-29,2004-04-28,2016-06-03,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler, tab pÃ¥ debitorer.",131000.0,27724272.0,15915641.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2015 for Waterworks Music ApS.,Ãrsrapport,Claus Norreen,Claus Norreen,Waterworks Music ApS,"Christensen KjÃ¦rulff, Statsautoriseret Revisionsaktieselskab",KÃ¸behavn K,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸benhavn,2015-12-31,2015-01-01,2016-01-29,KÃ¸benhavn,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22620011,indberetninger-20180424,2.5097454,27724272.0,,2018-03-29T00:43:41.298Z,2016-06-06T16:56:04.407Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AY-21-MG,2016-06-06T16:56:04.649Z,,,,,,,,,,,,,,,,,,
27724272,2014-01-01,2014-01-01,c741,,http://regnskaber.virk.dk/27242772/ZG9rdW1lbnRsYWdlcjovLzAzLzQwLzM1LzY1L2MxLzk5MzQtNDkwMi04MTY0LWZlNjUyMjA0YTA1NA.pdf,http://regnskaber.virk.dk/27242772/ZG9rdW1lbnRsYWdlcjovLzAzLzY3LzM1L2MwLzIyL2RlYjYtNDZjYS1hZjBmLWM0Y2ZhOTQ3MzU0ZQ.xml,KÃ¸behavn K,1264.0,68.0,Store Kongensgade,"1264, KÃ¸benhavn K","Store Kongensgade, 68",kapitalejerne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015 for opfyldt.,2016-01-29,2016-01-29,2004-04-28,2016-06-03,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler, tab pÃ¥ debitorer.",97000.0,27724272.0,15915641.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2015 for Waterworks Music ApS.,Ãrsrapport,Claus Norreen,Claus Norreen,Waterworks Music ApS,"Christensen KjÃ¦rulff, Statsautoriseret Revisionsaktieselskab",KÃ¸behavn K,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸benhavn,2015-12-31,2015-01-01,2016-01-29,KÃ¸benhavn,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22620011,indberetninger-20180424,2.5097454,27724272.0,,2018-03-29T00:43:41.298Z,2016-06-06T16:56:04.407Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AY-21-MG,2016-06-06T16:56:04.649Z,,,,,,,,,,,,,,,,,,
27724272,2014-01-01,2014-12-31,c123,,http://regnskaber.virk.dk/27242772/ZG9rdW1lbnRsYWdlcjovLzAzLzQwLzM1LzY1L2MxLzk5MzQtNDkwMi04MTY0LWZlNjUyMjA0YTA1NA.pdf,http://regnskaber.virk.dk/27242772/ZG9rdW1lbnRsYWdlcjovLzAzLzY3LzM1L2MwLzIyL2RlYjYtNDZjYS1hZjBmLWM0Y2ZhOTQ3MzU0ZQ.xml,KÃ¸behavn K,1264.0,68.0,Store Kongensgade,"1264, KÃ¸benhavn K","Store Kongensgade, 68",kapitalejerne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015 for opfyldt.,2016-01-29,2016-01-29,2004-04-28,2016-06-03,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler, tab pÃ¥ debitorer.",,27724272.0,15915641.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2015 for Waterworks Music ApS.,Ãrsrapport,Claus Norreen,Claus Norreen,Waterworks Music ApS,"Christensen KjÃ¦rulff, Statsautoriseret Revisionsaktieselskab",KÃ¸behavn K,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸benhavn,2015-12-31,2015-01-01,2016-01-29,KÃ¸benhavn,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22620011,indberetninger-20180424,2.5097454,27724272.0,,2018-03-29T00:43:41.298Z,2016-06-06T16:56:04.407Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AY-21-MG,2016-06-06T16:56:04.649Z,-14000.0,,,,,,,,,,,,,,,,,
27724272,2014-01-01,2014-12-31,c3,,http://regnskaber.virk.dk/27242772/ZG9rdW1lbnRsYWdlcjovLzAzLzQwLzM1LzY1L2MxLzk5MzQtNDkwMi04MTY0LWZlNjUyMjA0YTA1NA.pdf,http://regnskaber.virk.dk/27242772/ZG9rdW1lbnRsYWdlcjovLzAzLzY3LzM1L2MwLzIyL2RlYjYtNDZjYS1hZjBmLWM0Y2ZhOTQ3MzU0ZQ.xml,KÃ¸behavn K,1264.0,68.0,Store Kongensgade,"1264, KÃ¸benhavn K","Store Kongensgade, 68",kapitalejerne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015 for opfyldt.,2016-01-29,2016-01-29,2004-04-28,2016-06-03,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler, tab pÃ¥ debitorer.",,27724272.0,15915641.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2015 for Waterworks Music ApS.,Ãrsrapport,Claus Norreen,Claus Norreen,Waterworks Music ApS,"Christensen KjÃ¦rulff, Statsautoriseret Revisionsaktieselskab",KÃ¸behavn K,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸benhavn,2015-12-31,2015-01-01,2016-01-29,KÃ¸benhavn,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22620011,indberetninger-20180424,2.5097454,27724272.0,,2018-03-29T00:43:41.298Z,2016-06-06T16:56:04.407Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AY-21-MG,2016-06-06T16:56:04.649Z,-14000.0,-13000.0,1000.0,1000.0,-14000.0,-13000.0,,,,,,,,,,,,
27724272,2014-01-01,2014-12-31,c742,,http://regnskaber.virk.dk/27242772/ZG9rdW1lbnRsYWdlcjovLzAzLzQwLzM1LzY1L2MxLzk5MzQtNDkwMi04MTY0LWZlNjUyMjA0YTA1NA.pdf,http://regnskaber.virk.dk/27242772/ZG9rdW1lbnRsYWdlcjovLzAzLzY3LzM1L2MwLzIyL2RlYjYtNDZjYS1hZjBmLWM0Y2ZhOTQ3MzU0ZQ.xml,KÃ¸behavn K,1264.0,68.0,Store Kongensgade,"1264, KÃ¸benhavn K","Store Kongensgade, 68",kapitalejerne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015 for opfyldt.,2016-01-29,2016-01-29,2004-04-28,2016-06-03,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler, tab pÃ¥ debitorer.",,27724272.0,15915641.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2015 for Waterworks Music ApS.,Ãrsrapport,Claus Norreen,Claus Norreen,Waterworks Music ApS,"Christensen KjÃ¦rulff, Statsautoriseret Revisionsaktieselskab",KÃ¸behavn K,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸benhavn,2015-12-31,2015-01-01,2016-01-29,KÃ¸benhavn,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22620011,indberetninger-20180424,2.5097454,27724272.0,,2018-03-29T00:43:41.298Z,2016-06-06T16:56:04.407Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AY-21-MG,2016-06-06T16:56:04.649Z,-14000.0,,,,,,,,,,,,,,,,,
27724272,2014-12-31,2014-12-31,c4,,http://regnskaber.virk.dk/27242772/ZG9rdW1lbnRsYWdlcjovLzAzLzQwLzM1LzY1L2MxLzk5MzQtNDkwMi04MTY0LWZlNjUyMjA0YTA1NA.pdf,http://regnskaber.virk.dk/27242772/ZG9rdW1lbnRsYWdlcjovLzAzLzY3LzM1L2MwLzIyL2RlYjYtNDZjYS1hZjBmLWM0Y2ZhOTQ3MzU0ZQ.xml,KÃ¸behavn K,1264.0,68.0,Store Kongensgade,"1264, KÃ¸benhavn K","Store Kongensgade, 68",kapitalejerne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015 for opfyldt.,2016-01-29,2016-01-29,2004-04-28,2016-06-03,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler, tab pÃ¥ debitorer.",214000.0,27724272.0,15915641.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2015 for Waterworks Music ApS.,Ãrsrapport,Claus Norreen,Claus Norreen,Waterworks Music ApS,"Christensen KjÃ¦rulff, Statsautoriseret Revisionsaktieselskab",KÃ¸behavn K,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸benhavn,2015-12-31,2015-01-01,2016-01-29,KÃ¸benhavn,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22620011,indberetninger-20180424,2.5097454,27724272.0,,2018-03-29T00:43:41.298Z,2016-06-06T16:56:04.407Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AY-21-MG,2016-06-06T16:56:04.649Z,,,,,,,262000.0,237000.0,131000.0,262000.0,262000.0,48000.0,25000.0,83000.0,48000.0,36000.0,25000.0,12000.0
27724272,2014-12-31,2014-12-31,c722,,http://regnskaber.virk.dk/27242772/ZG9rdW1lbnRsYWdlcjovLzAzLzQwLzM1LzY1L2MxLzk5MzQtNDkwMi04MTY0LWZlNjUyMjA0YTA1NA.pdf,http://regnskaber.virk.dk/27242772/ZG9rdW1lbnRsYWdlcjovLzAzLzY3LzM1L2MwLzIyL2RlYjYtNDZjYS1hZjBmLWM0Y2ZhOTQ3MzU0ZQ.xml,KÃ¸behavn K,1264.0,68.0,Store Kongensgade,"1264, KÃ¸benhavn K","Store Kongensgade, 68",kapitalejerne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015 for opfyldt.,2016-01-29,2016-01-29,2004-04-28,2016-06-03,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler, tab pÃ¥ debitorer.",131000.0,27724272.0,15915641.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2015 for Waterworks Music ApS.,Ãrsrapport,Claus Norreen,Claus Norreen,Waterworks Music ApS,"Christensen KjÃ¦rulff, Statsautoriseret Revisionsaktieselskab",KÃ¸behavn K,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸benhavn,2015-12-31,2015-01-01,2016-01-29,KÃ¸benhavn,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22620011,indberetninger-20180424,2.5097454,27724272.0,,2018-03-29T00:43:41.298Z,2016-06-06T16:56:04.407Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AY-21-MG,2016-06-06T16:56:04.649Z,,,,,,,,,,,,,,,,,,
27724272,2014-12-31,2014-12-31,c743,,http://regnskaber.virk.dk/27242772/ZG9rdW1lbnRsYWdlcjovLzAzLzQwLzM1LzY1L2MxLzk5MzQtNDkwMi04MTY0LWZlNjUyMjA0YTA1NA.pdf,http://regnskaber.virk.dk/27242772/ZG9rdW1lbnRsYWdlcjovLzAzLzY3LzM1L2MwLzIyL2RlYjYtNDZjYS1hZjBmLWM0Y2ZhOTQ3MzU0ZQ.xml,KÃ¸behavn K,1264.0,68.0,Store Kongensgade,"1264, KÃ¸benhavn K","Store Kongensgade, 68",kapitalejerne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015 for opfyldt.,2016-01-29,2016-01-29,2004-04-28,2016-06-03,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler, tab pÃ¥ debitorer.",83000.0,27724272.0,15915641.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2015 for Waterworks Music ApS.,Ãrsrapport,Claus Norreen,Claus Norreen,Waterworks Music ApS,"Christensen KjÃ¦rulff, Statsautoriseret Revisionsaktieselskab",KÃ¸behavn K,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸benhavn,2015-12-31,2015-01-01,2016-01-29,KÃ¸benhavn,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22620011,indberetninger-20180424,2.5097454,27724272.0,,2018-03-29T00:43:41.298Z,2016-06-06T16:56:04.407Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AY-21-MG,2016-06-06T16:56:04.649Z,,,,,,,,,,,,,,,,,,
27724272,2015-01-01,2015-01-01,c181,,http://regnskaber.virk.dk/27242772/ZG9rdW1lbnRsYWdlcjovLzAzLzQwLzM1LzY1L2MxLzk5MzQtNDkwMi04MTY0LWZlNjUyMjA0YTA1NA.pdf,http://regnskaber.virk.dk/27242772/ZG9rdW1lbnRsYWdlcjovLzAzLzY3LzM1L2MwLzIyL2RlYjYtNDZjYS1hZjBmLWM0Y2ZhOTQ3MzU0ZQ.xml,KÃ¸behavn K,1264.0,68.0,Store Kongensgade,"1264, KÃ¸benhavn K","Store Kongensgade, 68",kapitalejerne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015 for opfyldt.,2016-01-29,2016-01-29,2004-04-28,2016-06-03,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler, tab pÃ¥ debitorer.",131000.0,27724272.0,15915641.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2015 for Waterworks Music ApS.,Ãrsrapport,Claus Norreen,Claus Norreen,Waterworks Music ApS,"Christensen KjÃ¦rulff, Statsautoriseret Revisionsaktieselskab",KÃ¸behavn K,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸benhavn,2015-12-31,2015-01-01,2016-01-29,KÃ¸benhavn,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22620011,indberetninger-20180424,2.5097454,27724272.0,,2018-03-29T00:43:41.298Z,2016-06-06T16:56:04.407Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AY-21-MG,2016-06-06T16:56:04.649Z,,,,,,,,,,,,,,,,,,
27724272,2015-01-01,2015-01-01,c199,,http://regnskaber.virk.dk/27242772/ZG9rdW1lbnRsYWdlcjovLzAzLzQwLzM1LzY1L2MxLzk5MzQtNDkwMi04MTY0LWZlNjUyMjA0YTA1NA.pdf,http://regnskaber.virk.dk/27242772/ZG9rdW1lbnRsYWdlcjovLzAzLzY3LzM1L2MwLzIyL2RlYjYtNDZjYS1hZjBmLWM0Y2ZhOTQ3MzU0ZQ.xml,KÃ¸behavn K,1264.0,68.0,Store Kongensgade,"1264, KÃ¸benhavn K","Store Kongensgade, 68",kapitalejerne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015 for opfyldt.,2016-01-29,2016-01-29,2004-04-28,2016-06-03,"Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler, tab pÃ¥ debitorer.",82891.0,27724272.0,15915641.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2015 for Waterworks Music ApS.,Ãrsrapport,Claus Norreen,Claus Norreen,Waterworks Music ApS,"Christensen KjÃ¦rulff, Statsautoriseret Revisionsaktieselskab",KÃ¸behavn K,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸benhavn,2015-12-31,2015-01-01,2016-01-29,KÃ¸benhavn,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22620011,indberetninger-20180424,2.5097454,27724272.0,,2018-03-29T00:43:41.298Z,2016-06-06T16:56:04.407Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AY-21-MG,2016-06-06T16:56:04.649Z,,,,,,,,,,,,,,,,,,
