entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AdministrativeExpenses,AverageNumberOfEmployees,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DisclosureOfContingentLiabilities,DisclosureOfMortgagesAndCollaterals,DistributionCosts,GrossResult,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,TaxExpense,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,DepositsLongtermInvestmentsAndReceivables,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTradePayables,ShorttermTradeReceivables,DividendPaid
33648278,2017-01-01,2017-12-31,c2,http://regnskaber.virk.dk/87284633/ZG9rdW1lbnRsYWdlcjovLzAzL2MzL2ZkLzQ0L2Q1LzU2MzItNDdkMi05OTI5LTAzZmJiZjlkYzQ0Yw.xhtml,http://regnskaber.virk.dk/87284633/ZG9rdW1lbnRsYWdlcjovLzAzLzYyL2VmL2JiL2FmL2UwNDctNGFlMC05MDQyLWFmMzA1NzExNjg3MA.pdf,http://regnskaber.virk.dk/87284633/ZG9rdW1lbnRsYWdlcjovLzAzLzc0L2U2L2Y0LzA5L2ExZDUtNGRmYS1hNWY5LTgwYTFmYjJhZTdlMg.xml,true,Greve,2670.0,8.0,KnÃ¸sen,2670 Greve,KnÃ¸sen 8,54853.0,1.0,Regnskabsklasse B,2019-01-06,2019-01-06,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ingen eventualforpligtelser udover de i Ã¥rsrapporten anfÃ¸rte.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",0.0,626863.0,33648278.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Carsten Bruun,Carsten Bruun,BEMICAN ApS,Carsten Bruun,21.0,4672.0,Greve,2017-01-01,2017-12-31,449752.0,576661.0,572010.0,2018-12-31,2018-01-01,false,false,126909.0,false,false,Ingen bistand,urn:ofk:oid:26531595,indberetninger-20180424,2.595265,33648278,AWgiTNZNet7j816Dxn_O,2019-01-06T08:34:58.152Z,2019-01-06T08:34:43.371Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AB-06-RK,2019-01-06T08:34:43.529Z,,,,,,,,,,,,,,,,,,,,,
33648278,2017-01-01,2017-12-31,c4,http://regnskaber.virk.dk/87284633/ZG9rdW1lbnRsYWdlcjovLzAzL2MzL2ZkLzQ0L2Q1LzU2MzItNDdkMi05OTI5LTAzZmJiZjlkYzQ0Yw.xhtml,http://regnskaber.virk.dk/87284633/ZG9rdW1lbnRsYWdlcjovLzAzLzYyL2VmL2JiL2FmL2UwNDctNGFlMC05MDQyLWFmMzA1NzExNjg3MA.pdf,http://regnskaber.virk.dk/87284633/ZG9rdW1lbnRsYWdlcjovLzAzLzc0L2U2L2Y0LzA5L2ExZDUtNGRmYS1hNWY5LTgwYTFmYjJhZTdlMg.xml,true,Greve,2670.0,8.0,KnÃ¸sen,2670 Greve,KnÃ¸sen 8,,,Regnskabsklasse B,2019-01-06,2019-01-06,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ingen eventualforpligtelser udover de i Ã¥rsrapporten anfÃ¸rte.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,33648278.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Carsten Bruun,Carsten Bruun,BEMICAN ApS,Carsten Bruun,,,Greve,2017-01-01,2017-12-31,500000.0,,,2018-12-31,2018-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:26531595,indberetninger-20180424,2.595265,33648278,AWgiTNZNet7j816Dxn_O,2019-01-06T08:34:58.152Z,2019-01-06T08:34:43.371Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AB-06-RK,2019-01-06T08:34:43.529Z,,,,,,,,,,,,,,,,,,,,,
33648278,2017-01-01,2017-12-31,c6,http://regnskaber.virk.dk/87284633/ZG9rdW1lbnRsYWdlcjovLzAzL2MzL2ZkLzQ0L2Q1LzU2MzItNDdkMi05OTI5LTAzZmJiZjlkYzQ0Yw.xhtml,http://regnskaber.virk.dk/87284633/ZG9rdW1lbnRsYWdlcjovLzAzLzYyL2VmL2JiL2FmL2UwNDctNGFlMC05MDQyLWFmMzA1NzExNjg3MA.pdf,http://regnskaber.virk.dk/87284633/ZG9rdW1lbnRsYWdlcjovLzAzLzc0L2U2L2Y0LzA5L2ExZDUtNGRmYS1hNWY5LTgwYTFmYjJhZTdlMg.xml,true,Greve,2670.0,8.0,KnÃ¸sen,2670 Greve,KnÃ¸sen 8,,,Regnskabsklasse B,2019-01-06,2019-01-06,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ingen eventualforpligtelser udover de i Ã¥rsrapporten anfÃ¸rte.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,33648278.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Carsten Bruun,Carsten Bruun,BEMICAN ApS,Carsten Bruun,,,Greve,2017-01-01,2017-12-31,-50248.0,,,2018-12-31,2018-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:26531595,indberetninger-20180424,2.595265,33648278,AWgiTNZNet7j816Dxn_O,2019-01-06T08:34:58.152Z,2019-01-06T08:34:43.371Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AB-06-RK,2019-01-06T08:34:43.529Z,,,,,,,,,,,,,,,,,,,,,
33648278,2017-12-31,2017-12-31,c8,http://regnskaber.virk.dk/87284633/ZG9rdW1lbnRsYWdlcjovLzAzL2MzL2ZkLzQ0L2Q1LzU2MzItNDdkMi05OTI5LTAzZmJiZjlkYzQ0Yw.xhtml,http://regnskaber.virk.dk/87284633/ZG9rdW1lbnRsYWdlcjovLzAzLzYyL2VmL2JiL2FmL2UwNDctNGFlMC05MDQyLWFmMzA1NzExNjg3MA.pdf,http://regnskaber.virk.dk/87284633/ZG9rdW1lbnRsYWdlcjovLzAzLzc0L2U2L2Y0LzA5L2ExZDUtNGRmYS1hNWY5LTgwYTFmYjJhZTdlMg.xml,true,Greve,2670.0,8.0,KnÃ¸sen,2670 Greve,KnÃ¸sen 8,,,Regnskabsklasse B,2019-01-06,2019-01-06,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ingen eventualforpligtelser udover de i Ã¥rsrapporten anfÃ¸rte.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,33648278.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Carsten Bruun,Carsten Bruun,BEMICAN ApS,Carsten Bruun,,,Greve,2017-01-01,2017-12-31,,,,2018-12-31,2018-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:26531595,indberetninger-20180424,2.595265,33648278,AWgiTNZNet7j816Dxn_O,2019-01-06T08:34:58.152Z,2019-01-06T08:34:43.371Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AB-06-RK,2019-01-06T08:34:43.529Z,1305886.0,316655.0,80000.0,1305686.0,200.0,1067859.0,1305886.0,238027.0,200.0,200.0,234641.0,2832.0,500000.0,487859.0,238027.0,1308.0,989031.0,304000.0,2078.0,682199.0,
33648278,2018-01-01,2018-01-01,c10,http://regnskaber.virk.dk/87284633/ZG9rdW1lbnRsYWdlcjovLzAzL2MzL2ZkLzQ0L2Q1LzU2MzItNDdkMi05OTI5LTAzZmJiZjlkYzQ0Yw.xhtml,http://regnskaber.virk.dk/87284633/ZG9rdW1lbnRsYWdlcjovLzAzLzYyL2VmL2JiL2FmL2UwNDctNGFlMC05MDQyLWFmMzA1NzExNjg3MA.pdf,http://regnskaber.virk.dk/87284633/ZG9rdW1lbnRsYWdlcjovLzAzLzc0L2U2L2Y0LzA5L2ExZDUtNGRmYS1hNWY5LTgwYTFmYjJhZTdlMg.xml,true,Greve,2670.0,8.0,KnÃ¸sen,2670 Greve,KnÃ¸sen 8,,,Regnskabsklasse B,2019-01-06,2019-01-06,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ingen eventualforpligtelser udover de i Ã¥rsrapporten anfÃ¸rte.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,33648278.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Carsten Bruun,Carsten Bruun,BEMICAN ApS,Carsten Bruun,,,Greve,2017-01-01,2017-12-31,,,,2018-12-31,2018-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:26531595,indberetninger-20180424,2.595265,33648278,AWgiTNZNet7j816Dxn_O,2019-01-06T08:34:58.152Z,2019-01-06T08:34:43.371Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AB-06-RK,2019-01-06T08:34:43.529Z,,,,,,487859.0,,,,,,,,,,,,,,,
33648278,2018-01-01,2018-01-01,c11,http://regnskaber.virk.dk/87284633/ZG9rdW1lbnRsYWdlcjovLzAzL2MzL2ZkLzQ0L2Q1LzU2MzItNDdkMi05OTI5LTAzZmJiZjlkYzQ0Yw.xhtml,http://regnskaber.virk.dk/87284633/ZG9rdW1lbnRsYWdlcjovLzAzLzYyL2VmL2JiL2FmL2UwNDctNGFlMC05MDQyLWFmMzA1NzExNjg3MA.pdf,http://regnskaber.virk.dk/87284633/ZG9rdW1lbnRsYWdlcjovLzAzLzc0L2U2L2Y0LzA5L2ExZDUtNGRmYS1hNWY5LTgwYTFmYjJhZTdlMg.xml,true,Greve,2670.0,8.0,KnÃ¸sen,2670 Greve,KnÃ¸sen 8,,,Regnskabsklasse B,2019-01-06,2019-01-06,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ingen eventualforpligtelser udover de i Ã¥rsrapporten anfÃ¸rte.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,33648278.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Carsten Bruun,Carsten Bruun,BEMICAN ApS,Carsten Bruun,,,Greve,2017-01-01,2017-12-31,,,,2018-12-31,2018-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:26531595,indberetninger-20180424,2.595265,33648278,AWgiTNZNet7j816Dxn_O,2019-01-06T08:34:58.152Z,2019-01-06T08:34:43.371Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AB-06-RK,2019-01-06T08:34:43.529Z,,,,,,500000.0,,,,,,,,,,,,,,,
33648278,2018-01-01,2018-01-01,c12,http://regnskaber.virk.dk/87284633/ZG9rdW1lbnRsYWdlcjovLzAzL2MzL2ZkLzQ0L2Q1LzU2MzItNDdkMi05OTI5LTAzZmJiZjlkYzQ0Yw.xhtml,http://regnskaber.virk.dk/87284633/ZG9rdW1lbnRsYWdlcjovLzAzLzYyL2VmL2JiL2FmL2UwNDctNGFlMC05MDQyLWFmMzA1NzExNjg3MA.pdf,http://regnskaber.virk.dk/87284633/ZG9rdW1lbnRsYWdlcjovLzAzLzc0L2U2L2Y0LzA5L2ExZDUtNGRmYS1hNWY5LTgwYTFmYjJhZTdlMg.xml,true,Greve,2670.0,8.0,KnÃ¸sen,2670 Greve,KnÃ¸sen 8,,,Regnskabsklasse B,2019-01-06,2019-01-06,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ingen eventualforpligtelser udover de i Ã¥rsrapporten anfÃ¸rte.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,33648278.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Carsten Bruun,Carsten Bruun,BEMICAN ApS,Carsten Bruun,,,Greve,2017-01-01,2017-12-31,,,,2018-12-31,2018-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:26531595,indberetninger-20180424,2.595265,33648278,AWgiTNZNet7j816Dxn_O,2019-01-06T08:34:58.152Z,2019-01-06T08:34:43.371Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AB-06-RK,2019-01-06T08:34:43.529Z,,,,,,1067859.0,,,,,,,,,,,,,,,
33648278,2018-01-01,2018-01-01,c9,http://regnskaber.virk.dk/87284633/ZG9rdW1lbnRsYWdlcjovLzAzL2MzL2ZkLzQ0L2Q1LzU2MzItNDdkMi05OTI5LTAzZmJiZjlkYzQ0Yw.xhtml,http://regnskaber.virk.dk/87284633/ZG9rdW1lbnRsYWdlcjovLzAzLzYyL2VmL2JiL2FmL2UwNDctNGFlMC05MDQyLWFmMzA1NzExNjg3MA.pdf,http://regnskaber.virk.dk/87284633/ZG9rdW1lbnRsYWdlcjovLzAzLzc0L2U2L2Y0LzA5L2ExZDUtNGRmYS1hNWY5LTgwYTFmYjJhZTdlMg.xml,true,Greve,2670.0,8.0,KnÃ¸sen,2670 Greve,KnÃ¸sen 8,,,Regnskabsklasse B,2019-01-06,2019-01-06,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ingen eventualforpligtelser udover de i Ã¥rsrapporten anfÃ¸rte.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,33648278.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Carsten Bruun,Carsten Bruun,BEMICAN ApS,Carsten Bruun,,,Greve,2017-01-01,2017-12-31,,,,2018-12-31,2018-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:26531595,indberetninger-20180424,2.595265,33648278,AWgiTNZNet7j816Dxn_O,2019-01-06T08:34:58.152Z,2019-01-06T08:34:43.371Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AB-06-RK,2019-01-06T08:34:43.529Z,,,,,,80000.0,,,,,,,,,,,,,,,
33648278,2018-01-01,2018-12-31,c0,http://regnskaber.virk.dk/87284633/ZG9rdW1lbnRsYWdlcjovLzAzL2MzL2ZkLzQ0L2Q1LzU2MzItNDdkMi05OTI5LTAzZmJiZjlkYzQ0Yw.xhtml,http://regnskaber.virk.dk/87284633/ZG9rdW1lbnRsYWdlcjovLzAzLzYyL2VmL2JiL2FmL2UwNDctNGFlMC05MDQyLWFmMzA1NzExNjg3MA.pdf,http://regnskaber.virk.dk/87284633/ZG9rdW1lbnRsYWdlcjovLzAzLzc0L2U2L2Y0LzA5L2ExZDUtNGRmYS1hNWY5LTgwYTFmYjJhZTdlMg.xml,true,Greve,2670.0,8.0,KnÃ¸sen,2670 Greve,KnÃ¸sen 8,46382.0,1.0,Regnskabsklasse B,2019-01-06,2019-01-06,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ingen eventualforpligtelser udover de i Ã¥rsrapporten anfÃ¸rte.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",1819.0,1178148.0,33648278.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Carsten Bruun,Carsten Bruun,BEMICAN ApS,Carsten Bruun,0.0,3939.0,Greve,2017-01-01,2017-12-31,884197.0,1133886.0,1129947.0,2018-12-31,2018-01-01,false,false,249689.0,false,false,Ingen bistand,urn:ofk:oid:26531595,indberetninger-20180424,2.595265,33648278,AWgiTNZNet7j816Dxn_O,2019-01-06T08:34:58.152Z,2019-01-06T08:34:43.371Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AB-06-RK,2019-01-06T08:34:43.529Z,,,,,,,,,,,,,,,,,,,,,500000.0
33648278,2018-01-01,2018-12-31,c1,http://regnskaber.virk.dk/87284633/ZG9rdW1lbnRsYWdlcjovLzAzL2MzL2ZkLzQ0L2Q1LzU2MzItNDdkMi05OTI5LTAzZmJiZjlkYzQ0Yw.xhtml,http://regnskaber.virk.dk/87284633/ZG9rdW1lbnRsYWdlcjovLzAzLzYyL2VmL2JiL2FmL2UwNDctNGFlMC05MDQyLWFmMzA1NzExNjg3MA.pdf,http://regnskaber.virk.dk/87284633/ZG9rdW1lbnRsYWdlcjovLzAzLzc0L2U2L2Y0LzA5L2ExZDUtNGRmYS1hNWY5LTgwYTFmYjJhZTdlMg.xml,true,Greve,2670.0,8.0,KnÃ¸sen,2670 Greve,KnÃ¸sen 8,,,Regnskabsklasse B,2019-01-06,2019-01-06,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ingen eventualforpligtelser udover de i Ã¥rsrapporten anfÃ¸rte.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,33648278.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Carsten Bruun,Carsten Bruun,BEMICAN ApS,Carsten Bruun,,,Greve,2017-01-01,2017-12-31,,,,2018-12-31,2018-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:26531595,indberetninger-20180424,2.595265,33648278,AWgiTNZNet7j816Dxn_O,2019-01-06T08:34:58.152Z,2019-01-06T08:34:43.371Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AB-06-RK,2019-01-06T08:34:43.529Z,,,,,,,,,,,,,,,,,,,,,
