entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfAuditorCountry,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,ClassOfReportingEntity,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DepreciationOfPropertyPlantAndEquipment,DescriptionOfAuditor,Equity,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TelephoneNumberOfAuditor,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,ProfitLoss,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,GrossProfitLoss,OtherEmployeeExpense,OtherFinanceExpenses,PostemploymentBenefitExpense,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,SocialSecurityContributions,WagesAndSalaries,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,DeferredIncomeAssets,FixturesFittingsToolsAndEquipment,Inventories,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,ManufacturedGoodsAndGoodsForResale,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPrepaymentsReceivedFromCustomers,ShorttermReceivables,ShorttermTradePayables,ShorttermTradeReceivables,AccumulatedImpairmentLossesAndDepreciationOfPropertyPlantAndEquipment,PropertyPlantAndEquipmentGross,DateOfApprovalOfAnnualReport,PlaceOfSignatureOfStatement,NameAndSurnameOfMemberOfSupervisoryBoard
31871638,2013-01-01,2013-01-01,c720,,http://regnskaber.virk.dk/83617813/ZG9rdW1lbnRsYWdlcjovLzAzL2Y3L2U1L2EwLzU2L2NlYzEtNDIyYy04NjcyLWMzOTllZjQ0ZTVhNA.pdf,http://regnskaber.virk.dk/83617813/ZG9rdW1lbnRsYWdlcjovLzAzLzEzLzZjLzY5L2UxL2IzMDItNDZlNC04ZGYwLTE3NTE4NGUzMmUzMQ.xml,Danmark,Kolding,6000.0,4.0,Jupitervej,Vejen,6600.0,7C,Ãdalen,"6000, Kolding","Jupitervej, 4",aktionÃ¦ren,Regnskabsklasse B,2015-03-31,2008-11-19,2015-06-01,5976.0,Statsautoriseret revisor,500000.0,32285201.0,31871638.0,32285201.0,Ãrsrapport,Peder Nygaard,Franz Friesacher,Franz Friesacher,"Martinsen, Statsautoriseret Revisionspartnerselskab","Danske Bank A/S, NÃ¸rregade 8, 6600 Vejen",Falco A/S,"Martinsen, Statsautoriseret Revisionspartnerselskab",Vejen,2014-12-31,2014-01-01,2015-03-31,Kolding,76 30 18 00,RevisionspÃ¥tegning,urn:ofk:oid:5466906,indberetninger-20180424,2.5118417999999996,31871638.0,,2018-03-30T14:53:05.959Z,2015-06-08T07:50:29.184Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AD-28-YR,2015-06-08T07:50:29.371Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31871638,2013-01-01,2013-01-01,c741,,http://regnskaber.virk.dk/83617813/ZG9rdW1lbnRsYWdlcjovLzAzL2Y3L2U1L2EwLzU2L2NlYzEtNDIyYy04NjcyLWMzOTllZjQ0ZTVhNA.pdf,http://regnskaber.virk.dk/83617813/ZG9rdW1lbnRsYWdlcjovLzAzLzEzLzZjLzY5L2UxL2IzMDItNDZlNC04ZGYwLTE3NTE4NGUzMmUzMQ.xml,Danmark,Kolding,6000.0,4.0,Jupitervej,Vejen,6600.0,7C,Ãdalen,"6000, Kolding","Jupitervej, 4",aktionÃ¦ren,Regnskabsklasse B,2015-03-31,2008-11-19,2015-06-01,5976.0,Statsautoriseret revisor,-3662569.0,32285201.0,31871638.0,32285201.0,Ãrsrapport,Peder Nygaard,Franz Friesacher,Franz Friesacher,"Martinsen, Statsautoriseret Revisionspartnerselskab","Danske Bank A/S, NÃ¸rregade 8, 6600 Vejen",Falco A/S,"Martinsen, Statsautoriseret Revisionspartnerselskab",Vejen,2014-12-31,2014-01-01,2015-03-31,Kolding,76 30 18 00,RevisionspÃ¥tegning,urn:ofk:oid:5466906,indberetninger-20180424,2.5118417999999996,31871638.0,,2018-03-30T14:53:05.959Z,2015-06-08T07:50:29.184Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AD-28-YR,2015-06-08T07:50:29.371Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31871638,2013-01-01,2013-12-31,c123,,http://regnskaber.virk.dk/83617813/ZG9rdW1lbnRsYWdlcjovLzAzL2Y3L2U1L2EwLzU2L2NlYzEtNDIyYy04NjcyLWMzOTllZjQ0ZTVhNA.pdf,http://regnskaber.virk.dk/83617813/ZG9rdW1lbnRsYWdlcjovLzAzLzEzLzZjLzY5L2UxL2IzMDItNDZlNC04ZGYwLTE3NTE4NGUzMmUzMQ.xml,Danmark,Kolding,6000.0,4.0,Jupitervej,Vejen,6600.0,7C,Ãdalen,"6000, Kolding","Jupitervej, 4",aktionÃ¦ren,Regnskabsklasse B,2015-03-31,2008-11-19,2015-06-01,5976.0,Statsautoriseret revisor,,32285201.0,31871638.0,32285201.0,Ãrsrapport,Peder Nygaard,Franz Friesacher,Franz Friesacher,"Martinsen, Statsautoriseret Revisionspartnerselskab","Danske Bank A/S, NÃ¸rregade 8, 6600 Vejen",Falco A/S,"Martinsen, Statsautoriseret Revisionspartnerselskab",Vejen,2014-12-31,2014-01-01,2015-03-31,Kolding,76 30 18 00,RevisionspÃ¥tegning,urn:ofk:oid:5466906,indberetninger-20180424,2.5118417999999996,31871638.0,,2018-03-30T14:53:05.959Z,2015-06-08T07:50:29.184Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AD-28-YR,2015-06-08T07:50:29.371Z,-1230375.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31871638,2013-01-01,2013-12-31,c3,,http://regnskaber.virk.dk/83617813/ZG9rdW1lbnRsYWdlcjovLzAzL2Y3L2U1L2EwLzU2L2NlYzEtNDIyYy04NjcyLWMzOTllZjQ0ZTVhNA.pdf,http://regnskaber.virk.dk/83617813/ZG9rdW1lbnRsYWdlcjovLzAzLzEzLzZjLzY5L2UxL2IzMDItNDZlNC04ZGYwLTE3NTE4NGUzMmUzMQ.xml,Danmark,Kolding,6000.0,4.0,Jupitervej,Vejen,6600.0,7C,Ãdalen,"6000, Kolding","Jupitervej, 4",aktionÃ¦ren,Regnskabsklasse B,2015-03-31,2008-11-19,2015-06-01,5976.0,Statsautoriseret revisor,,32285201.0,31871638.0,32285201.0,Ãrsrapport,Peder Nygaard,Franz Friesacher,Franz Friesacher,"Martinsen, Statsautoriseret Revisionspartnerselskab","Danske Bank A/S, NÃ¸rregade 8, 6600 Vejen",Falco A/S,"Martinsen, Statsautoriseret Revisionspartnerselskab",Vejen,2014-12-31,2014-01-01,2015-03-31,Kolding,76 30 18 00,RevisionspÃ¥tegning,urn:ofk:oid:5466906,indberetninger-20180424,2.5118417999999996,31871638.0,,2018-03-30T14:53:05.959Z,2015-06-08T07:50:29.184Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AD-28-YR,2015-06-08T07:50:29.371Z,-1230375.0,10836.0,926039.0,-270345.0,19958.0,23155.0,0.0,-1230375.0,-1207220.0,11319.0,894762.0,,,,,,,,,,,,,,,,,,,,,,,,,,
31871638,2013-01-01,2013-12-31,c742,,http://regnskaber.virk.dk/83617813/ZG9rdW1lbnRsYWdlcjovLzAzL2Y3L2U1L2EwLzU2L2NlYzEtNDIyYy04NjcyLWMzOTllZjQ0ZTVhNA.pdf,http://regnskaber.virk.dk/83617813/ZG9rdW1lbnRsYWdlcjovLzAzLzEzLzZjLzY5L2UxL2IzMDItNDZlNC04ZGYwLTE3NTE4NGUzMmUzMQ.xml,Danmark,Kolding,6000.0,4.0,Jupitervej,Vejen,6600.0,7C,Ãdalen,"6000, Kolding","Jupitervej, 4",aktionÃ¦ren,Regnskabsklasse B,2015-03-31,2008-11-19,2015-06-01,5976.0,Statsautoriseret revisor,,32285201.0,31871638.0,32285201.0,Ãrsrapport,Peder Nygaard,Franz Friesacher,Franz Friesacher,"Martinsen, Statsautoriseret Revisionspartnerselskab","Danske Bank A/S, NÃ¸rregade 8, 6600 Vejen",Falco A/S,"Martinsen, Statsautoriseret Revisionspartnerselskab",Vejen,2014-12-31,2014-01-01,2015-03-31,Kolding,76 30 18 00,RevisionspÃ¥tegning,urn:ofk:oid:5466906,indberetninger-20180424,2.5118417999999996,31871638.0,,2018-03-30T14:53:05.959Z,2015-06-08T07:50:29.184Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AD-28-YR,2015-06-08T07:50:29.371Z,-1230375.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31871638,2013-12-31,2013-12-31,c4,,http://regnskaber.virk.dk/83617813/ZG9rdW1lbnRsYWdlcjovLzAzL2Y3L2U1L2EwLzU2L2NlYzEtNDIyYy04NjcyLWMzOTllZjQ0ZTVhNA.pdf,http://regnskaber.virk.dk/83617813/ZG9rdW1lbnRsYWdlcjovLzAzLzEzLzZjLzY5L2UxL2IzMDItNDZlNC04ZGYwLTE3NTE4NGUzMmUzMQ.xml,Danmark,Kolding,6000.0,4.0,Jupitervej,Vejen,6600.0,7C,Ãdalen,"6000, Kolding","Jupitervej, 4",aktionÃ¦ren,Regnskabsklasse B,2015-03-31,2008-11-19,2015-06-01,5976.0,Statsautoriseret revisor,-4392944.0,32285201.0,31871638.0,32285201.0,Ãrsrapport,Peder Nygaard,Franz Friesacher,Franz Friesacher,"Martinsen, Statsautoriseret Revisionspartnerselskab","Danske Bank A/S, NÃ¸rregade 8, 6600 Vejen",Falco A/S,"Martinsen, Statsautoriseret Revisionspartnerselskab",Vejen,2014-12-31,2014-01-01,2015-03-31,Kolding,76 30 18 00,RevisionspÃ¥tegning,urn:ofk:oid:5466906,indberetninger-20180424,2.5118417999999996,31871638.0,,2018-03-30T14:53:05.959Z,2015-06-08T07:50:29.184Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AD-28-YR,2015-06-08T07:50:29.371Z,,,,,,,,,,,,1456165.0,539942.0,500000.0,1444213.0,268242.0,46850.0,11952.0,70108.0,1456165.0,5849109.0,70108.0,11952.0,319129.0,27300.0,11952.0,-4892944.0,5849109.0,54545.0,834163.0,5475435.0,491771.0,,,,,
31871638,2013-12-31,2013-12-31,c722,,http://regnskaber.virk.dk/83617813/ZG9rdW1lbnRsYWdlcjovLzAzL2Y3L2U1L2EwLzU2L2NlYzEtNDIyYy04NjcyLWMzOTllZjQ0ZTVhNA.pdf,http://regnskaber.virk.dk/83617813/ZG9rdW1lbnRsYWdlcjovLzAzLzEzLzZjLzY5L2UxL2IzMDItNDZlNC04ZGYwLTE3NTE4NGUzMmUzMQ.xml,Danmark,Kolding,6000.0,4.0,Jupitervej,Vejen,6600.0,7C,Ãdalen,"6000, Kolding","Jupitervej, 4",aktionÃ¦ren,Regnskabsklasse B,2015-03-31,2008-11-19,2015-06-01,5976.0,Statsautoriseret revisor,500000.0,32285201.0,31871638.0,32285201.0,Ãrsrapport,Peder Nygaard,Franz Friesacher,Franz Friesacher,"Martinsen, Statsautoriseret Revisionspartnerselskab","Danske Bank A/S, NÃ¸rregade 8, 6600 Vejen",Falco A/S,"Martinsen, Statsautoriseret Revisionspartnerselskab",Vejen,2014-12-31,2014-01-01,2015-03-31,Kolding,76 30 18 00,RevisionspÃ¥tegning,urn:ofk:oid:5466906,indberetninger-20180424,2.5118417999999996,31871638.0,,2018-03-30T14:53:05.959Z,2015-06-08T07:50:29.184Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AD-28-YR,2015-06-08T07:50:29.371Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31871638,2013-12-31,2013-12-31,c743,,http://regnskaber.virk.dk/83617813/ZG9rdW1lbnRsYWdlcjovLzAzL2Y3L2U1L2EwLzU2L2NlYzEtNDIyYy04NjcyLWMzOTllZjQ0ZTVhNA.pdf,http://regnskaber.virk.dk/83617813/ZG9rdW1lbnRsYWdlcjovLzAzLzEzLzZjLzY5L2UxL2IzMDItNDZlNC04ZGYwLTE3NTE4NGUzMmUzMQ.xml,Danmark,Kolding,6000.0,4.0,Jupitervej,Vejen,6600.0,7C,Ãdalen,"6000, Kolding","Jupitervej, 4",aktionÃ¦ren,Regnskabsklasse B,2015-03-31,2008-11-19,2015-06-01,5976.0,Statsautoriseret revisor,-4892944.0,32285201.0,31871638.0,32285201.0,Ãrsrapport,Peder Nygaard,Franz Friesacher,Franz Friesacher,"Martinsen, Statsautoriseret Revisionspartnerselskab","Danske Bank A/S, NÃ¸rregade 8, 6600 Vejen",Falco A/S,"Martinsen, Statsautoriseret Revisionspartnerselskab",Vejen,2014-12-31,2014-01-01,2015-03-31,Kolding,76 30 18 00,RevisionspÃ¥tegning,urn:ofk:oid:5466906,indberetninger-20180424,2.5118417999999996,31871638.0,,2018-03-30T14:53:05.959Z,2015-06-08T07:50:29.184Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AD-28-YR,2015-06-08T07:50:29.371Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31871638,2014-01-01,2014-01-01,c160,,http://regnskaber.virk.dk/83617813/ZG9rdW1lbnRsYWdlcjovLzAzL2Y3L2U1L2EwLzU2L2NlYzEtNDIyYy04NjcyLWMzOTllZjQ0ZTVhNA.pdf,http://regnskaber.virk.dk/83617813/ZG9rdW1lbnRsYWdlcjovLzAzLzEzLzZjLzY5L2UxL2IzMDItNDZlNC04ZGYwLTE3NTE4NGUzMmUzMQ.xml,Danmark,Kolding,6000.0,4.0,Jupitervej,Vejen,6600.0,7C,Ãdalen,"6000, Kolding","Jupitervej, 4",aktionÃ¦ren,Regnskabsklasse B,2015-03-31,2008-11-19,2015-06-01,5976.0,Statsautoriseret revisor,,32285201.0,31871638.0,32285201.0,Ãrsrapport,Peder Nygaard,Franz Friesacher,Franz Friesacher,"Martinsen, Statsautoriseret Revisionspartnerselskab","Danske Bank A/S, NÃ¸rregade 8, 6600 Vejen",Falco A/S,"Martinsen, Statsautoriseret Revisionspartnerselskab",Vejen,2014-12-31,2014-01-01,2015-03-31,Kolding,76 30 18 00,RevisionspÃ¥tegning,urn:ofk:oid:5466906,indberetninger-20180424,2.5118417999999996,31871638.0,,2018-03-30T14:53:05.959Z,2015-06-08T07:50:29.184Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AD-28-YR,2015-06-08T07:50:29.371Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44348.0,56300.0,,,
31871638,2014-01-01,2014-01-01,c181,,http://regnskaber.virk.dk/83617813/ZG9rdW1lbnRsYWdlcjovLzAzL2Y3L2U1L2EwLzU2L2NlYzEtNDIyYy04NjcyLWMzOTllZjQ0ZTVhNA.pdf,http://regnskaber.virk.dk/83617813/ZG9rdW1lbnRsYWdlcjovLzAzLzEzLzZjLzY5L2UxL2IzMDItNDZlNC04ZGYwLTE3NTE4NGUzMmUzMQ.xml,Danmark,Kolding,6000.0,4.0,Jupitervej,Vejen,6600.0,7C,Ãdalen,"6000, Kolding","Jupitervej, 4",aktionÃ¦ren,Regnskabsklasse B,2015-03-31,2008-11-19,2015-06-01,5976.0,Statsautoriseret revisor,500000.0,32285201.0,31871638.0,32285201.0,Ãrsrapport,Peder Nygaard,Franz Friesacher,Franz Friesacher,"Martinsen, Statsautoriseret Revisionspartnerselskab","Danske Bank A/S, NÃ¸rregade 8, 6600 Vejen",Falco A/S,"Martinsen, Statsautoriseret Revisionspartnerselskab",Vejen,2014-12-31,2014-01-01,2015-03-31,Kolding,76 30 18 00,RevisionspÃ¥tegning,urn:ofk:oid:5466906,indberetninger-20180424,2.5118417999999996,31871638.0,,2018-03-30T14:53:05.959Z,2015-06-08T07:50:29.184Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AD-28-YR,2015-06-08T07:50:29.371Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
