entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,AuditorsReportsOtherReports,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DescriptionOfAuditor,DisclosureOfContingentLiabilities,EmployeeBenefitsExpense,FaxNumberOfReportingEntity,GrossProfitLoss,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,RestOfOtherFinanceExpenses,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpense,TelephoneNumberOfReportingEntity,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,NoncurrentAssets,NoncurrentDeferredTaxAssets,OtherShorttermPayables,OtherShorttermReceivables,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermTaxReceivables,ShorttermTradeReceivables
17757571,2013-07-01,2014-06-30,c3,http://regnskaber.virk.dk/17575771/ZG9rdW1lbnRsYWdlcjovLzAzLzE5LzU2LzM2L2NjL2U0Y2EtNGQwOC04OGFmLTkzMTE3NjBmZWNjYg.xhtml,http://regnskaber.virk.dk/17575771/ZG9rdW1lbnRsYWdlcjovLzAzL2UxLzU2Lzk4L2M3LzAyODEtNGQzNC04NjJhLTUzMTc4ODgwMzUwYw.pdf,http://regnskaber.virk.dk/17575771/ZG9rdW1lbnRsYWdlcjovLzAzLzQ1L2U4LzI3LzVkLzUwMGEtNDIyNy1hNTFjLThhMTNlYzE3NjdhYQ.xml,Skovlunde,2740.0,30.0,Kirkebyvej,3670 VeksÃ¸,VeksÃ¸ Bygade 32,Til kapitalejerne i Skovkrog Trading ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-12-13,2015-12-13,Registreret revisor FSR - Danske Revisorer,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ikke pÃ¥taget sig forpligtelser, som ikke fremgÃ¥r af regnskabet.</p>",351896.0,44536113.0,402806.0,17757571.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Poul Neumeyer,Peter Skjerning,Peter Valdemar Skjerning,Revision 1-2-3 ApS,SKOVKROG TRADING ApS,Revision 1-2-3 ApS,80.0,Skovlunde,2013-07-01,2014-06-30,36765.0,48990.0,50910.0,2015-06-30,2014-07-01,2000.0,2015-12-13,VeksÃ¸,12225.0,26236132.0,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21777220,indberetninger-20180424,2.5925844,17757571.0,,2018-03-30T21:40:55.882Z,2015-12-13T06:38:41.646Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AL-65-YG,2015-12-13T06:38:41.770Z,,,,,,,,,,,,,,,,,,
17757571,2013-07-01,2014-06-30,c5,http://regnskaber.virk.dk/17575771/ZG9rdW1lbnRsYWdlcjovLzAzLzE5LzU2LzM2L2NjL2U0Y2EtNGQwOC04OGFmLTkzMTE3NjBmZWNjYg.xhtml,http://regnskaber.virk.dk/17575771/ZG9rdW1lbnRsYWdlcjovLzAzL2UxLzU2Lzk4L2M3LzAyODEtNGQzNC04NjJhLTUzMTc4ODgwMzUwYw.pdf,http://regnskaber.virk.dk/17575771/ZG9rdW1lbnRsYWdlcjovLzAzLzQ1L2U4LzI3LzVkLzUwMGEtNDIyNy1hNTFjLThhMTNlYzE3NjdhYQ.xml,Skovlunde,2740.0,30.0,Kirkebyvej,3670 VeksÃ¸,VeksÃ¸ Bygade 32,Til kapitalejerne i Skovkrog Trading ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-12-13,2015-12-13,Registreret revisor FSR - Danske Revisorer,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ikke pÃ¥taget sig forpligtelser, som ikke fremgÃ¥r af regnskabet.</p>",,44536113.0,,17757571.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Poul Neumeyer,Peter Skjerning,Peter Valdemar Skjerning,Revision 1-2-3 ApS,SKOVKROG TRADING ApS,Revision 1-2-3 ApS,,Skovlunde,2013-07-01,2014-06-30,0.0,,,2015-06-30,2014-07-01,,2015-12-13,VeksÃ¸,,26236132.0,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21777220,indberetninger-20180424,2.5925844,17757571.0,,2018-03-30T21:40:55.882Z,2015-12-13T06:38:41.646Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AL-65-YG,2015-12-13T06:38:41.770Z,,,,,,,,,,,,,,,,,,
17757571,2013-07-01,2014-06-30,c7,http://regnskaber.virk.dk/17575771/ZG9rdW1lbnRsYWdlcjovLzAzLzE5LzU2LzM2L2NjL2U0Y2EtNGQwOC04OGFmLTkzMTE3NjBmZWNjYg.xhtml,http://regnskaber.virk.dk/17575771/ZG9rdW1lbnRsYWdlcjovLzAzL2UxLzU2Lzk4L2M3LzAyODEtNGQzNC04NjJhLTUzMTc4ODgwMzUwYw.pdf,http://regnskaber.virk.dk/17575771/ZG9rdW1lbnRsYWdlcjovLzAzLzQ1L2U4LzI3LzVkLzUwMGEtNDIyNy1hNTFjLThhMTNlYzE3NjdhYQ.xml,Skovlunde,2740.0,30.0,Kirkebyvej,3670 VeksÃ¸,VeksÃ¸ Bygade 32,Til kapitalejerne i Skovkrog Trading ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-12-13,2015-12-13,Registreret revisor FSR - Danske Revisorer,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ikke pÃ¥taget sig forpligtelser, som ikke fremgÃ¥r af regnskabet.</p>",,44536113.0,,17757571.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Poul Neumeyer,Peter Skjerning,Peter Valdemar Skjerning,Revision 1-2-3 ApS,SKOVKROG TRADING ApS,Revision 1-2-3 ApS,,Skovlunde,2013-07-01,2014-06-30,36765.0,,,2015-06-30,2014-07-01,,2015-12-13,VeksÃ¸,,26236132.0,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21777220,indberetninger-20180424,2.5925844,17757571.0,,2018-03-30T21:40:55.882Z,2015-12-13T06:38:41.646Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AL-65-YG,2015-12-13T06:38:41.770Z,,,,,,,,,,,,,,,,,,
17757571,2014-06-30,2014-06-30,c9,http://regnskaber.virk.dk/17575771/ZG9rdW1lbnRsYWdlcjovLzAzLzE5LzU2LzM2L2NjL2U0Y2EtNGQwOC04OGFmLTkzMTE3NjBmZWNjYg.xhtml,http://regnskaber.virk.dk/17575771/ZG9rdW1lbnRsYWdlcjovLzAzL2UxLzU2Lzk4L2M3LzAyODEtNGQzNC04NjJhLTUzMTc4ODgwMzUwYw.pdf,http://regnskaber.virk.dk/17575771/ZG9rdW1lbnRsYWdlcjovLzAzLzQ1L2U4LzI3LzVkLzUwMGEtNDIyNy1hNTFjLThhMTNlYzE3NjdhYQ.xml,Skovlunde,2740.0,30.0,Kirkebyvej,3670 VeksÃ¸,VeksÃ¸ Bygade 32,Til kapitalejerne i Skovkrog Trading ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-12-13,2015-12-13,Registreret revisor FSR - Danske Revisorer,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ikke pÃ¥taget sig forpligtelser, som ikke fremgÃ¥r af regnskabet.</p>",,44536113.0,,17757571.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Poul Neumeyer,Peter Skjerning,Peter Valdemar Skjerning,Revision 1-2-3 ApS,SKOVKROG TRADING ApS,Revision 1-2-3 ApS,,Skovlunde,2013-07-01,2014-06-30,,,,2015-06-30,2014-07-01,,2015-12-13,VeksÃ¸,,26236132.0,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21777220,indberetninger-20180424,2.5925844,17757571.0,,2018-03-30T21:40:55.882Z,2015-12-13T06:38:41.646Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AL-65-YG,2015-12-13T06:38:41.770Z,471924.0,314624.0,200000.0,406574.0,381045.0,471924.0,90879.0,65350.0,65350.0,65350.0,81441.0,0.0,181045.0,90879.0,9438.0,91950.0,5000.0,86950.0
17757571,2014-07-01,2015-06-30,c0,http://regnskaber.virk.dk/17575771/ZG9rdW1lbnRsYWdlcjovLzAzLzE5LzU2LzM2L2NjL2U0Y2EtNGQwOC04OGFmLTkzMTE3NjBmZWNjYg.xhtml,http://regnskaber.virk.dk/17575771/ZG9rdW1lbnRsYWdlcjovLzAzL2UxLzU2Lzk4L2M3LzAyODEtNGQzNC04NjJhLTUzMTc4ODgwMzUwYw.pdf,http://regnskaber.virk.dk/17575771/ZG9rdW1lbnRsYWdlcjovLzAzLzQ1L2U4LzI3LzVkLzUwMGEtNDIyNy1hNTFjLThhMTNlYzE3NjdhYQ.xml,Skovlunde,2740.0,30.0,Kirkebyvej,3670 VeksÃ¸,VeksÃ¸ Bygade 32,Til kapitalejerne i Skovkrog Trading ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-12-13,2015-12-13,Registreret revisor FSR - Danske Revisorer,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ikke pÃ¥taget sig forpligtelser, som ikke fremgÃ¥r af regnskabet.</p>",395994.0,44536113.0,380543.0,17757571.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Poul Neumeyer,Peter Skjerning,Peter Valdemar Skjerning,Revision 1-2-3 ApS,SKOVKROG TRADING ApS,Revision 1-2-3 ApS,0.0,Skovlunde,2013-07-01,2014-06-30,-18842.0,-18610.0,-15451.0,2015-06-30,2014-07-01,3159.0,2015-12-13,VeksÃ¸,232.0,26236132.0,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21777220,indberetninger-20180424,2.5925844,17757571.0,,2018-03-30T21:40:55.882Z,2015-12-13T06:38:41.646Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AL-65-YG,2015-12-13T06:38:41.770Z,,,,,,,,,,,,,,,,,,
17757571,2014-07-01,2015-06-30,c1,http://regnskaber.virk.dk/17575771/ZG9rdW1lbnRsYWdlcjovLzAzLzE5LzU2LzM2L2NjL2U0Y2EtNGQwOC04OGFmLTkzMTE3NjBmZWNjYg.xhtml,http://regnskaber.virk.dk/17575771/ZG9rdW1lbnRsYWdlcjovLzAzL2UxLzU2Lzk4L2M3LzAyODEtNGQzNC04NjJhLTUzMTc4ODgwMzUwYw.pdf,http://regnskaber.virk.dk/17575771/ZG9rdW1lbnRsYWdlcjovLzAzLzQ1L2U4LzI3LzVkLzUwMGEtNDIyNy1hNTFjLThhMTNlYzE3NjdhYQ.xml,Skovlunde,2740.0,30.0,Kirkebyvej,3670 VeksÃ¸,VeksÃ¸ Bygade 32,Til kapitalejerne i Skovkrog Trading ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-12-13,2015-12-13,Registreret revisor FSR - Danske Revisorer,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ikke pÃ¥taget sig forpligtelser, som ikke fremgÃ¥r af regnskabet.</p>",,44536113.0,,17757571.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Poul Neumeyer,Peter Skjerning,Peter Valdemar Skjerning,Revision 1-2-3 ApS,SKOVKROG TRADING ApS,Revision 1-2-3 ApS,,Skovlunde,2013-07-01,2014-06-30,,,,2015-06-30,2014-07-01,,2015-12-13,VeksÃ¸,,26236132.0,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21777220,indberetninger-20180424,2.5925844,17757571.0,,2018-03-30T21:40:55.882Z,2015-12-13T06:38:41.646Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AL-65-YG,2015-12-13T06:38:41.770Z,,,,,,,,,,,,,,,,,,
17757571,2014-07-01,2015-06-30,c2,http://regnskaber.virk.dk/17575771/ZG9rdW1lbnRsYWdlcjovLzAzLzE5LzU2LzM2L2NjL2U0Y2EtNGQwOC04OGFmLTkzMTE3NjBmZWNjYg.xhtml,http://regnskaber.virk.dk/17575771/ZG9rdW1lbnRsYWdlcjovLzAzL2UxLzU2Lzk4L2M3LzAyODEtNGQzNC04NjJhLTUzMTc4ODgwMzUwYw.pdf,http://regnskaber.virk.dk/17575771/ZG9rdW1lbnRsYWdlcjovLzAzLzQ1L2U4LzI3LzVkLzUwMGEtNDIyNy1hNTFjLThhMTNlYzE3NjdhYQ.xml,Skovlunde,2740.0,30.0,Kirkebyvej,3670 VeksÃ¸,VeksÃ¸ Bygade 32,Til kapitalejerne i Skovkrog Trading ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-12-13,2015-12-13,Registreret revisor FSR - Danske Revisorer,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ikke pÃ¥taget sig forpligtelser, som ikke fremgÃ¥r af regnskabet.</p>",,44536113.0,,17757571.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Poul Neumeyer,Peter Skjerning,Peter Valdemar Skjerning,Revision 1-2-3 ApS,SKOVKROG TRADING ApS,Revision 1-2-3 ApS,,Skovlunde,2013-07-01,2014-06-30,,,,2015-06-30,2014-07-01,,2015-12-13,VeksÃ¸,,26236132.0,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21777220,indberetninger-20180424,2.5925844,17757571.0,,2018-03-30T21:40:55.882Z,2015-12-13T06:38:41.646Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AL-65-YG,2015-12-13T06:38:41.770Z,,,,,,,,,,,,,,,,,,
17757571,2014-07-01,2015-06-30,c4,http://regnskaber.virk.dk/17575771/ZG9rdW1lbnRsYWdlcjovLzAzLzE5LzU2LzM2L2NjL2U0Y2EtNGQwOC04OGFmLTkzMTE3NjBmZWNjYg.xhtml,http://regnskaber.virk.dk/17575771/ZG9rdW1lbnRsYWdlcjovLzAzL2UxLzU2Lzk4L2M3LzAyODEtNGQzNC04NjJhLTUzMTc4ODgwMzUwYw.pdf,http://regnskaber.virk.dk/17575771/ZG9rdW1lbnRsYWdlcjovLzAzLzQ1L2U4LzI3LzVkLzUwMGEtNDIyNy1hNTFjLThhMTNlYzE3NjdhYQ.xml,Skovlunde,2740.0,30.0,Kirkebyvej,3670 VeksÃ¸,VeksÃ¸ Bygade 32,Til kapitalejerne i Skovkrog Trading ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-12-13,2015-12-13,Registreret revisor FSR - Danske Revisorer,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ikke pÃ¥taget sig forpligtelser, som ikke fremgÃ¥r af regnskabet.</p>",,44536113.0,,17757571.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Poul Neumeyer,Peter Skjerning,Peter Valdemar Skjerning,Revision 1-2-3 ApS,SKOVKROG TRADING ApS,Revision 1-2-3 ApS,,Skovlunde,2013-07-01,2014-06-30,97000.0,,,2015-06-30,2014-07-01,,2015-12-13,VeksÃ¸,,26236132.0,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21777220,indberetninger-20180424,2.5925844,17757571.0,,2018-03-30T21:40:55.882Z,2015-12-13T06:38:41.646Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AL-65-YG,2015-12-13T06:38:41.770Z,,,,,,,,,,,,,,,,,,
17757571,2014-07-01,2015-06-30,c6,http://regnskaber.virk.dk/17575771/ZG9rdW1lbnRsYWdlcjovLzAzLzE5LzU2LzM2L2NjL2U0Y2EtNGQwOC04OGFmLTkzMTE3NjBmZWNjYg.xhtml,http://regnskaber.virk.dk/17575771/ZG9rdW1lbnRsYWdlcjovLzAzL2UxLzU2Lzk4L2M3LzAyODEtNGQzNC04NjJhLTUzMTc4ODgwMzUwYw.pdf,http://regnskaber.virk.dk/17575771/ZG9rdW1lbnRsYWdlcjovLzAzLzQ1L2U4LzI3LzVkLzUwMGEtNDIyNy1hNTFjLThhMTNlYzE3NjdhYQ.xml,Skovlunde,2740.0,30.0,Kirkebyvej,3670 VeksÃ¸,VeksÃ¸ Bygade 32,Til kapitalejerne i Skovkrog Trading ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-12-13,2015-12-13,Registreret revisor FSR - Danske Revisorer,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ikke pÃ¥taget sig forpligtelser, som ikke fremgÃ¥r af regnskabet.</p>",,44536113.0,,17757571.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Poul Neumeyer,Peter Skjerning,Peter Valdemar Skjerning,Revision 1-2-3 ApS,SKOVKROG TRADING ApS,Revision 1-2-3 ApS,,Skovlunde,2013-07-01,2014-06-30,-115842.0,,,2015-06-30,2014-07-01,,2015-12-13,VeksÃ¸,,26236132.0,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21777220,indberetninger-20180424,2.5925844,17757571.0,,2018-03-30T21:40:55.882Z,2015-12-13T06:38:41.646Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AL-65-YG,2015-12-13T06:38:41.770Z,,,,,,,,,,,,,,,,,,
17757571,2015-06-30,2015-06-30,c8,http://regnskaber.virk.dk/17575771/ZG9rdW1lbnRsYWdlcjovLzAzLzE5LzU2LzM2L2NjL2U0Y2EtNGQwOC04OGFmLTkzMTE3NjBmZWNjYg.xhtml,http://regnskaber.virk.dk/17575771/ZG9rdW1lbnRsYWdlcjovLzAzL2UxLzU2Lzk4L2M3LzAyODEtNGQzNC04NjJhLTUzMTc4ODgwMzUwYw.pdf,http://regnskaber.virk.dk/17575771/ZG9rdW1lbnRsYWdlcjovLzAzLzQ1L2U4LzI3LzVkLzUwMGEtNDIyNy1hNTFjLThhMTNlYzE3NjdhYQ.xml,Skovlunde,2740.0,30.0,Kirkebyvej,3670 VeksÃ¸,VeksÃ¸ Bygade 32,Til kapitalejerne i Skovkrog Trading ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-12-13,2015-12-13,Registreret revisor FSR - Danske Revisorer,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ikke pÃ¥taget sig forpligtelser, som ikke fremgÃ¥r af regnskabet.</p>",,44536113.0,,17757571.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Poul Neumeyer,Peter Skjerning,Peter Valdemar Skjerning,Revision 1-2-3 ApS,SKOVKROG TRADING ApS,Revision 1-2-3 ApS,,Skovlunde,2013-07-01,2014-06-30,,,,2015-06-30,2014-07-01,,2015-12-13,VeksÃ¸,,26236132.0,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21777220,indberetninger-20180424,2.5925844,17757571.0,,2018-03-30T21:40:55.882Z,2015-12-13T06:38:41.646Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AL-65-YG,2015-12-13T06:38:41.770Z,464346.0,317433.0,200000.0,399228.0,265203.0,464346.0,199143.0,65118.0,65118.0,65118.0,113910.0,26190.0,65203.0,199143.0,85233.0,81795.0,2000.0,53605.0
