entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfAuditorCountry,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DescriptionOfAuditor,Equity,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,AverageNumberOfEmployees,CurrentTaxExpense,EmployeeBenefitsExpense,ExchangeRateAdjustmentsOtherFinanceExpenses,GrossProfitLoss,InterestIncomeFromGroupEnterprises,OtherAdjustmentsOfFinanceExpenses,OtherFinanceExpenses,OtherFinanceIncome,OtherInterestExpenses,OtherInterestIncome,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpense,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,DeferredIncomeAssets,Inventories,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,ManufacturedGoodsAndGoodsForResale,OtherShorttermPayables,OtherShorttermReceivables,PrepaymentsForGoods,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermDebtToBanks,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermTaxPayables,ShorttermTradePayables,ShorttermTradeReceivables,PlaceOfSignatureOfStatement
35818065,2015-01-01,2015-01-01,c696,,http://regnskaber.virk.dk/56081853/ZG9rdW1lbnRsYWdlcjovLzAzL2Q2L2I5LzJiL2ZiL2QxMmQtNGI4MS04MTgxLTUwYWE4MDc0YjlkYQ.pdf,http://regnskaber.virk.dk/56081853/ZG9rdW1lbnRsYWdlcjovLzAzLzRiLzliL2IzLzBjLzljY2UtNGNmYi1iZjg5LTY0YmY2YjFjZTQyOQ.xml,Danmark,Aalborg SV,9200.0,2.0,Voergaardvej,Silkeborg,8600.0,32 1. TH.,Papirfabrikken,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2017-05-31,2017-06-12,Statsaut. revisor,50000.0,32895468.0,35818065.0,Ãrsrapport,Thomas Skou Jacobsen,Martin Buus Jensen,Martin Buus Jensen,Beierholm,TÃ¶jfabrik ApS,Beierholm,Silkeborg,2016-12-31,2016-01-01,2017-05-31,Aalborg,RevisionspÃ¥tegning,urn:ofk:oid:24192303,indberetninger-20180424,2.5117235,35818065.0,,2018-03-29T09:41:01.138Z,2017-06-13T14:38:13.572Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AM-95-QF,2017-06-13T14:38:13.737Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35818065,2015-01-01,2015-01-01,c717,,http://regnskaber.virk.dk/56081853/ZG9rdW1lbnRsYWdlcjovLzAzL2Q2L2I5LzJiL2ZiL2QxMmQtNGI4MS04MTgxLTUwYWE4MDc0YjlkYQ.pdf,http://regnskaber.virk.dk/56081853/ZG9rdW1lbnRsYWdlcjovLzAzLzRiLzliL2IzLzBjLzljY2UtNGNmYi1iZjg5LTY0YmY2YjFjZTQyOQ.xml,Danmark,Aalborg SV,9200.0,2.0,Voergaardvej,Silkeborg,8600.0,32 1. TH.,Papirfabrikken,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2017-05-31,2017-06-12,Statsaut. revisor,884499.0,32895468.0,35818065.0,Ãrsrapport,Thomas Skou Jacobsen,Martin Buus Jensen,Martin Buus Jensen,Beierholm,TÃ¶jfabrik ApS,Beierholm,Silkeborg,2016-12-31,2016-01-01,2017-05-31,Aalborg,RevisionspÃ¥tegning,urn:ofk:oid:24192303,indberetninger-20180424,2.5117235,35818065.0,,2018-03-29T09:41:01.138Z,2017-06-13T14:38:13.572Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AM-95-QF,2017-06-13T14:38:13.737Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35818065,2015-01-01,2015-01-01,c720,,http://regnskaber.virk.dk/56081853/ZG9rdW1lbnRsYWdlcjovLzAzL2Q2L2I5LzJiL2ZiL2QxMmQtNGI4MS04MTgxLTUwYWE4MDc0YjlkYQ.pdf,http://regnskaber.virk.dk/56081853/ZG9rdW1lbnRsYWdlcjovLzAzLzRiLzliL2IzLzBjLzljY2UtNGNmYi1iZjg5LTY0YmY2YjFjZTQyOQ.xml,Danmark,Aalborg SV,9200.0,2.0,Voergaardvej,Silkeborg,8600.0,32 1. TH.,Papirfabrikken,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2017-05-31,2017-06-12,Statsaut. revisor,0.0,32895468.0,35818065.0,Ãrsrapport,Thomas Skou Jacobsen,Martin Buus Jensen,Martin Buus Jensen,Beierholm,TÃ¶jfabrik ApS,Beierholm,Silkeborg,2016-12-31,2016-01-01,2017-05-31,Aalborg,RevisionspÃ¥tegning,urn:ofk:oid:24192303,indberetninger-20180424,2.5117235,35818065.0,,2018-03-29T09:41:01.138Z,2017-06-13T14:38:13.572Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AM-95-QF,2017-06-13T14:38:13.737Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35818065,2015-01-01,2015-12-31,c54,,http://regnskaber.virk.dk/56081853/ZG9rdW1lbnRsYWdlcjovLzAzL2Q2L2I5LzJiL2ZiL2QxMmQtNGI4MS04MTgxLTUwYWE4MDc0YjlkYQ.pdf,http://regnskaber.virk.dk/56081853/ZG9rdW1lbnRsYWdlcjovLzAzLzRiLzliL2IzLzBjLzljY2UtNGNmYi1iZjg5LTY0YmY2YjFjZTQyOQ.xml,Danmark,Aalborg SV,9200.0,2.0,Voergaardvej,Silkeborg,8600.0,32 1. TH.,Papirfabrikken,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2017-05-31,2017-06-12,Statsaut. revisor,,32895468.0,35818065.0,Ãrsrapport,Thomas Skou Jacobsen,Martin Buus Jensen,Martin Buus Jensen,Beierholm,TÃ¶jfabrik ApS,Beierholm,Silkeborg,2016-12-31,2016-01-01,2017-05-31,Aalborg,RevisionspÃ¥tegning,urn:ofk:oid:24192303,indberetninger-20180424,2.5117235,35818065.0,,2018-03-29T09:41:01.138Z,2017-06-13T14:38:13.572Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AM-95-QF,2017-06-13T14:38:13.737Z,2.0,375436.0,829365.0,56620.0,2457715.0,49.0,0.0,58756.0,230.0,2136.0,181.0,1194388.0,1569824.0,1628350.0,375436.0,,,,,,,,,,,,,,,,,,,,,,
35818065,2015-01-01,2015-12-31,c56,,http://regnskaber.virk.dk/56081853/ZG9rdW1lbnRsYWdlcjovLzAzL2Q2L2I5LzJiL2ZiL2QxMmQtNGI4MS04MTgxLTUwYWE4MDc0YjlkYQ.pdf,http://regnskaber.virk.dk/56081853/ZG9rdW1lbnRsYWdlcjovLzAzLzRiLzliL2IzLzBjLzljY2UtNGNmYi1iZjg5LTY0YmY2YjFjZTQyOQ.xml,Danmark,Aalborg SV,9200.0,2.0,Voergaardvej,Silkeborg,8600.0,32 1. TH.,Papirfabrikken,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2017-05-31,2017-06-12,Statsaut. revisor,,32895468.0,35818065.0,Ãrsrapport,Thomas Skou Jacobsen,Martin Buus Jensen,Martin Buus Jensen,Beierholm,TÃ¶jfabrik ApS,Beierholm,Silkeborg,2016-12-31,2016-01-01,2017-05-31,Aalborg,RevisionspÃ¥tegning,urn:ofk:oid:24192303,indberetninger-20180424,2.5117235,35818065.0,,2018-03-29T09:41:01.138Z,2017-06-13T14:38:13.572Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AM-95-QF,2017-06-13T14:38:13.737Z,,,,,,,,,,,,2050619.0,,,,,,,,,,,,,,,,,,,,,,,,,
35818065,2015-01-01,2015-12-31,c69,,http://regnskaber.virk.dk/56081853/ZG9rdW1lbnRsYWdlcjovLzAzL2Q2L2I5LzJiL2ZiL2QxMmQtNGI4MS04MTgxLTUwYWE4MDc0YjlkYQ.pdf,http://regnskaber.virk.dk/56081853/ZG9rdW1lbnRsYWdlcjovLzAzLzRiLzliL2IzLzBjLzljY2UtNGNmYi1iZjg5LTY0YmY2YjFjZTQyOQ.xml,Danmark,Aalborg SV,9200.0,2.0,Voergaardvej,Silkeborg,8600.0,32 1. TH.,Papirfabrikken,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2017-05-31,2017-06-12,Statsaut. revisor,,32895468.0,35818065.0,Ãrsrapport,Thomas Skou Jacobsen,Martin Buus Jensen,Martin Buus Jensen,Beierholm,TÃ¶jfabrik ApS,Beierholm,Silkeborg,2016-12-31,2016-01-01,2017-05-31,Aalborg,RevisionspÃ¥tegning,urn:ofk:oid:24192303,indberetninger-20180424,2.5117235,35818065.0,,2018-03-29T09:41:01.138Z,2017-06-13T14:38:13.572Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AM-95-QF,2017-06-13T14:38:13.737Z,,,,,,,,,,,,-856231.0,,,,,,,,,,,,,,,,,,,,,,,,,
35818065,2015-12-31,2015-12-31,c70,,http://regnskaber.virk.dk/56081853/ZG9rdW1lbnRsYWdlcjovLzAzL2Q2L2I5LzJiL2ZiL2QxMmQtNGI4MS04MTgxLTUwYWE4MDc0YjlkYQ.pdf,http://regnskaber.virk.dk/56081853/ZG9rdW1lbnRsYWdlcjovLzAzLzRiLzliL2IzLzBjLzljY2UtNGNmYi1iZjg5LTY0YmY2YjFjZTQyOQ.xml,Danmark,Aalborg SV,9200.0,2.0,Voergaardvej,Silkeborg,8600.0,32 1. TH.,Papirfabrikken,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2017-05-31,2017-06-12,Statsaut. revisor,2128887.0,32895468.0,35818065.0,Ãrsrapport,Thomas Skou Jacobsen,Martin Buus Jensen,Martin Buus Jensen,Beierholm,TÃ¶jfabrik ApS,Beierholm,Silkeborg,2016-12-31,2016-01-01,2017-05-31,Aalborg,RevisionspÃ¥tegning,urn:ofk:oid:24192303,indberetninger-20180424,2.5117235,35818065.0,,2018-03-29T09:41:01.138Z,2017-06-13T14:38:13.572Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AM-95-QF,2017-06-13T14:38:13.737Z,,,,,,,,,,,,,,,,3105923.0,2482586.0,50000.0,3105923.0,2538.0,21116.0,3105923.0,977036.0,21116.0,66498.0,509628.0,0.0,2050619.0,28268.0,48952.0,977036.0,181201.0,602221.0,375436.0,304949.0,90055.0,
35818065,2016-01-01,2016-12-31,c1,,http://regnskaber.virk.dk/56081853/ZG9rdW1lbnRsYWdlcjovLzAzL2Q2L2I5LzJiL2ZiL2QxMmQtNGI4MS04MTgxLTUwYWE4MDc0YjlkYQ.pdf,http://regnskaber.virk.dk/56081853/ZG9rdW1lbnRsYWdlcjovLzAzLzRiLzliL2IzLzBjLzljY2UtNGNmYi1iZjg5LTY0YmY2YjFjZTQyOQ.xml,Danmark,Aalborg SV,9200.0,2.0,Voergaardvej,Silkeborg,8600.0,32 1. TH.,Papirfabrikken,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2017-05-31,2017-06-12,Statsaut. revisor,,32895468.0,35818065.0,Ãrsrapport,Thomas Skou Jacobsen,Martin Buus Jensen,Martin Buus Jensen,Beierholm,TÃ¶jfabrik ApS,Beierholm,Silkeborg,2016-12-31,2016-01-01,2017-05-31,Aalborg,RevisionspÃ¥tegning,urn:ofk:oid:24192303,indberetninger-20180424,2.5117235,35818065.0,,2018-03-29T09:41:01.138Z,2017-06-13T14:38:13.572Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AM-95-QF,2017-06-13T14:38:13.737Z,4.0,428164.0,1741190.0,179646.0,3897174.0,0.0,37500.0,253728.0,0.0,23425.0,0.0,1474092.0,1902256.0,2155984.0,428164.0,,,,,,,,,,,,,,,,,,,,,,Silkeborg
35818065,2016-01-01,2016-12-31,c1967,,http://regnskaber.virk.dk/56081853/ZG9rdW1lbnRsYWdlcjovLzAzL2Q2L2I5LzJiL2ZiL2QxMmQtNGI4MS04MTgxLTUwYWE4MDc0YjlkYQ.pdf,http://regnskaber.virk.dk/56081853/ZG9rdW1lbnRsYWdlcjovLzAzLzRiLzliL2IzLzBjLzljY2UtNGNmYi1iZjg5LTY0YmY2YjFjZTQyOQ.xml,Danmark,Aalborg SV,9200.0,2.0,Voergaardvej,Silkeborg,8600.0,32 1. TH.,Papirfabrikken,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2017-05-31,2017-06-12,Statsaut. revisor,,32895468.0,35818065.0,Ãrsrapport,Thomas Skou Jacobsen,Martin Buus Jensen,Martin Buus Jensen,Beierholm,TÃ¶jfabrik ApS,Beierholm,Silkeborg,2016-12-31,2016-01-01,2017-05-31,Aalborg,RevisionspÃ¥tegning,urn:ofk:oid:24192303,indberetninger-20180424,2.5117235,35818065.0,,2018-03-29T09:41:01.138Z,2017-06-13T14:38:13.572Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AM-95-QF,2017-06-13T14:38:13.737Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35818065,2016-01-01,2016-12-31,c55,,http://regnskaber.virk.dk/56081853/ZG9rdW1lbnRsYWdlcjovLzAzL2Q2L2I5LzJiL2ZiL2QxMmQtNGI4MS04MTgxLTUwYWE4MDc0YjlkYQ.pdf,http://regnskaber.virk.dk/56081853/ZG9rdW1lbnRsYWdlcjovLzAzLzRiLzliL2IzLzBjLzljY2UtNGNmYi1iZjg5LTY0YmY2YjFjZTQyOQ.xml,Danmark,Aalborg SV,9200.0,2.0,Voergaardvej,Silkeborg,8600.0,32 1. TH.,Papirfabrikken,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2017-05-31,2017-06-12,Statsaut. revisor,,32895468.0,35818065.0,Ãrsrapport,Thomas Skou Jacobsen,Martin Buus Jensen,Martin Buus Jensen,Beierholm,TÃ¶jfabrik ApS,Beierholm,Silkeborg,2016-12-31,2016-01-01,2017-05-31,Aalborg,RevisionspÃ¥tegning,urn:ofk:oid:24192303,indberetninger-20180424,2.5117235,35818065.0,,2018-03-29T09:41:01.138Z,2017-06-13T14:38:13.572Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AM-95-QF,2017-06-13T14:38:13.737Z,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
