entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DisclosureOfContingentAssets,GrossResult,IdentificationNumberCvrOfReportingEntity,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,StatementOnOptingOutOfAuditingFinancialStatementsInNextReportingPeriodDueToExemption,TaxExpense,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,OtherLongtermInvestments,OtherShorttermPayables,OtherShorttermReceivables,RetainedEarnings,ShorttermDebtToBanks,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,NameAndSurnameOfMemberOfSupervisoryBoard
17871587,2015-01-01,2015-12-31,c5,http://regnskaber.virk.dk/78517871/ZG9rdW1lbnRsYWdlcjovLzAzL2JkLzc3LzRkL2Q5L2M4OGQtNGZkOC05YWZjLWJiNzNjYmE4MGNhZA.xhtml,http://regnskaber.virk.dk/78517871/ZG9rdW1lbnRsYWdlcjovLzAzLzU4L2M4L2IxLzYxL2IyN2UtNGFjYi1hNzg5LTUwZjgwOGYwNWY0MQ.pdf,http://regnskaber.virk.dk/78517871/ZG9rdW1lbnRsYWdlcjovLzAzLzQ3LzQ3LzdlLzFlL2QyNWItNGViNy1iZmY2LTQwZTgxMDYyYmFhNg.xml,true,Silkeborg,8600.0,13.0,Langdalsvej,8200 Aarhus N,P.O. Pedersens vej 14,Regnskabsklasse B,2017-06-07,2017-06-15,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har et ikke indregnet udskudt skatteaktiv pÃ¥ t.kr. 966.</p>",31750.0,17871587.0,0.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Henrik Kejser,Henrik Kejser,WINDZONE A/S,Clearhaus A/S,29583.0,Aarhus,2015-01-01,2015-12-31,-85767.0,61333.0,0.0,2016-12-31,2016-01-01,false,false,Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2016 for opfyldt.,147100.0,false,false,Ingen bistand,urn:ofk:oid:24208364,indberetninger-20180424,2.5955422,17871587.0,,2018-03-29T11:09:23.106Z,2017-06-15T05:52:53.670Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AL-72-LA,2017-06-15T05:52:53.877Z,,,,,,,,,,,,,,,,,
17871587,2015-01-01,2015-12-31,c7,http://regnskaber.virk.dk/78517871/ZG9rdW1lbnRsYWdlcjovLzAzL2JkLzc3LzRkL2Q5L2M4OGQtNGZkOC05YWZjLWJiNzNjYmE4MGNhZA.xhtml,http://regnskaber.virk.dk/78517871/ZG9rdW1lbnRsYWdlcjovLzAzLzU4L2M4L2IxLzYxL2IyN2UtNGFjYi1hNzg5LTUwZjgwOGYwNWY0MQ.pdf,http://regnskaber.virk.dk/78517871/ZG9rdW1lbnRsYWdlcjovLzAzLzQ3LzQ3LzdlLzFlL2QyNWItNGViNy1iZmY2LTQwZTgxMDYyYmFhNg.xml,true,Silkeborg,8600.0,13.0,Langdalsvej,8200 Aarhus N,P.O. Pedersens vej 14,Regnskabsklasse B,2017-06-07,2017-06-15,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har et ikke indregnet udskudt skatteaktiv pÃ¥ t.kr. 966.</p>",,17871587.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Henrik Kejser,Henrik Kejser,WINDZONE A/S,Clearhaus A/S,,Aarhus,2015-01-01,2015-12-31,-85767.0,,,2016-12-31,2016-01-01,false,false,Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2016 for opfyldt.,,false,false,Ingen bistand,urn:ofk:oid:24208364,indberetninger-20180424,2.5955422,17871587.0,,2018-03-29T11:09:23.106Z,2017-06-15T05:52:53.670Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AL-72-LA,2017-06-15T05:52:53.877Z,,,,,,,,,,,,,,,,,
17871587,2015-12-31,2015-12-31,c9,http://regnskaber.virk.dk/78517871/ZG9rdW1lbnRsYWdlcjovLzAzL2JkLzc3LzRkL2Q5L2M4OGQtNGZkOC05YWZjLWJiNzNjYmE4MGNhZA.xhtml,http://regnskaber.virk.dk/78517871/ZG9rdW1lbnRsYWdlcjovLzAzLzU4L2M4L2IxLzYxL2IyN2UtNGFjYi1hNzg5LTUwZjgwOGYwNWY0MQ.pdf,http://regnskaber.virk.dk/78517871/ZG9rdW1lbnRsYWdlcjovLzAzLzQ3LzQ3LzdlLzFlL2QyNWItNGViNy1iZmY2LTQwZTgxMDYyYmFhNg.xml,true,Silkeborg,8600.0,13.0,Langdalsvej,8200 Aarhus N,P.O. Pedersens vej 14,Regnskabsklasse B,2017-06-07,2017-06-15,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har et ikke indregnet udskudt skatteaktiv pÃ¥ t.kr. 966.</p>",,17871587.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Henrik Kejser,Henrik Kejser,WINDZONE A/S,Clearhaus A/S,,Aarhus,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,false,false,Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2016 for opfyldt.,,false,false,Ingen bistand,urn:ofk:oid:24208364,indberetninger-20180424,2.5955422,17871587.0,,2018-03-29T11:09:23.106Z,2017-06-15T05:52:53.670Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AL-72-LA,2017-06-15T05:52:53.877Z,966294.0,750000.0,966294.0,-4345433.0,966294.0,5311727.0,0.0,0.0,0.0,0.0,25500.0,966294.0,-5095433.0,5286227.0,5311727.0,966294.0,
17871587,2016-01-01,2016-12-31,c0,http://regnskaber.virk.dk/78517871/ZG9rdW1lbnRsYWdlcjovLzAzL2JkLzc3LzRkL2Q5L2M4OGQtNGZkOC05YWZjLWJiNzNjYmE4MGNhZA.xhtml,http://regnskaber.virk.dk/78517871/ZG9rdW1lbnRsYWdlcjovLzAzLzU4L2M4L2IxLzYxL2IyN2UtNGFjYi1hNzg5LTUwZjgwOGYwNWY0MQ.pdf,http://regnskaber.virk.dk/78517871/ZG9rdW1lbnRsYWdlcjovLzAzLzQ3LzQ3LzdlLzFlL2QyNWItNGViNy1iZmY2LTQwZTgxMDYyYmFhNg.xml,true,Silkeborg,8600.0,13.0,Langdalsvej,8200 Aarhus N,P.O. Pedersens vej 14,Regnskabsklasse B,2017-06-07,2017-06-15,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har et ikke indregnet udskudt skatteaktiv pÃ¥ t.kr. 966.</p>",0.0,17871587.0,0.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Henrik Kejser,Henrik Kejser,WINDZONE A/S,Clearhaus A/S,0.0,Aarhus,2015-01-01,2015-12-31,-966294.0,0.0,0.0,2016-12-31,2016-01-01,false,false,Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2016 for opfyldt.,966294.0,false,false,Ingen bistand,urn:ofk:oid:24208364,indberetninger-20180424,2.5955422,17871587.0,,2018-03-29T11:09:23.106Z,2017-06-15T05:52:53.670Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AL-72-LA,2017-06-15T05:52:53.877Z,,,,,,,,,,,,,,,,,
17871587,2016-01-01,2016-12-31,c1,http://regnskaber.virk.dk/78517871/ZG9rdW1lbnRsYWdlcjovLzAzL2JkLzc3LzRkL2Q5L2M4OGQtNGZkOC05YWZjLWJiNzNjYmE4MGNhZA.xhtml,http://regnskaber.virk.dk/78517871/ZG9rdW1lbnRsYWdlcjovLzAzLzU4L2M4L2IxLzYxL2IyN2UtNGFjYi1hNzg5LTUwZjgwOGYwNWY0MQ.pdf,http://regnskaber.virk.dk/78517871/ZG9rdW1lbnRsYWdlcjovLzAzLzQ3LzQ3LzdlLzFlL2QyNWItNGViNy1iZmY2LTQwZTgxMDYyYmFhNg.xml,true,Silkeborg,8600.0,13.0,Langdalsvej,8200 Aarhus N,P.O. Pedersens vej 14,Regnskabsklasse B,2017-06-07,2017-06-15,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har et ikke indregnet udskudt skatteaktiv pÃ¥ t.kr. 966.</p>",,17871587.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Henrik Kejser,Henrik Kejser,WINDZONE A/S,Clearhaus A/S,,Aarhus,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,false,false,Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2016 for opfyldt.,,false,false,Ingen bistand,urn:ofk:oid:24208364,indberetninger-20180424,2.5955422,17871587.0,,2018-03-29T11:09:23.106Z,2017-06-15T05:52:53.670Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AL-72-LA,2017-06-15T05:52:53.877Z,,,,,,,,,,,,,,,,,
17871587,2016-01-01,2016-12-31,c2,http://regnskaber.virk.dk/78517871/ZG9rdW1lbnRsYWdlcjovLzAzL2JkLzc3LzRkL2Q5L2M4OGQtNGZkOC05YWZjLWJiNzNjYmE4MGNhZA.xhtml,http://regnskaber.virk.dk/78517871/ZG9rdW1lbnRsYWdlcjovLzAzLzU4L2M4L2IxLzYxL2IyN2UtNGFjYi1hNzg5LTUwZjgwOGYwNWY0MQ.pdf,http://regnskaber.virk.dk/78517871/ZG9rdW1lbnRsYWdlcjovLzAzLzQ3LzQ3LzdlLzFlL2QyNWItNGViNy1iZmY2LTQwZTgxMDYyYmFhNg.xml,true,Silkeborg,8600.0,13.0,Langdalsvej,8200 Aarhus N,P.O. Pedersens vej 14,Regnskabsklasse B,2017-06-07,2017-06-15,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har et ikke indregnet udskudt skatteaktiv pÃ¥ t.kr. 966.</p>",,17871587.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Henrik Kejser,Henrik Kejser,WINDZONE A/S,Clearhaus A/S,,Aarhus,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,false,false,Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2016 for opfyldt.,,false,false,Ingen bistand,urn:ofk:oid:24208364,indberetninger-20180424,2.5955422,17871587.0,,2018-03-29T11:09:23.106Z,2017-06-15T05:52:53.670Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AL-72-LA,2017-06-15T05:52:53.877Z,,,,,,,,,,,,,,,,,Morten Soltveit
17871587,2016-01-01,2016-12-31,c3,http://regnskaber.virk.dk/78517871/ZG9rdW1lbnRsYWdlcjovLzAzL2JkLzc3LzRkL2Q5L2M4OGQtNGZkOC05YWZjLWJiNzNjYmE4MGNhZA.xhtml,http://regnskaber.virk.dk/78517871/ZG9rdW1lbnRsYWdlcjovLzAzLzU4L2M4L2IxLzYxL2IyN2UtNGFjYi1hNzg5LTUwZjgwOGYwNWY0MQ.pdf,http://regnskaber.virk.dk/78517871/ZG9rdW1lbnRsYWdlcjovLzAzLzQ3LzQ3LzdlLzFlL2QyNWItNGViNy1iZmY2LTQwZTgxMDYyYmFhNg.xml,true,Silkeborg,8600.0,13.0,Langdalsvej,8200 Aarhus N,P.O. Pedersens vej 14,Regnskabsklasse B,2017-06-07,2017-06-15,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har et ikke indregnet udskudt skatteaktiv pÃ¥ t.kr. 966.</p>",,17871587.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Henrik Kejser,Henrik Kejser,WINDZONE A/S,Clearhaus A/S,,Aarhus,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,false,false,Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2016 for opfyldt.,,false,false,Ingen bistand,urn:ofk:oid:24208364,indberetninger-20180424,2.5955422,17871587.0,,2018-03-29T11:09:23.106Z,2017-06-15T05:52:53.670Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AL-72-LA,2017-06-15T05:52:53.877Z,,,,,,,,,,,,,,,,,Lotte Skov Kejser
17871587,2016-01-01,2016-12-31,c4,http://regnskaber.virk.dk/78517871/ZG9rdW1lbnRsYWdlcjovLzAzL2JkLzc3LzRkL2Q5L2M4OGQtNGZkOC05YWZjLWJiNzNjYmE4MGNhZA.xhtml,http://regnskaber.virk.dk/78517871/ZG9rdW1lbnRsYWdlcjovLzAzLzU4L2M4L2IxLzYxL2IyN2UtNGFjYi1hNzg5LTUwZjgwOGYwNWY0MQ.pdf,http://regnskaber.virk.dk/78517871/ZG9rdW1lbnRsYWdlcjovLzAzLzQ3LzQ3LzdlLzFlL2QyNWItNGViNy1iZmY2LTQwZTgxMDYyYmFhNg.xml,true,Silkeborg,8600.0,13.0,Langdalsvej,8200 Aarhus N,P.O. Pedersens vej 14,Regnskabsklasse B,2017-06-07,2017-06-15,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har et ikke indregnet udskudt skatteaktiv pÃ¥ t.kr. 966.</p>",,17871587.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Henrik Kejser,Henrik Kejser,WINDZONE A/S,Clearhaus A/S,,Aarhus,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,false,false,Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2016 for opfyldt.,,false,false,Ingen bistand,urn:ofk:oid:24208364,indberetninger-20180424,2.5955422,17871587.0,,2018-03-29T11:09:23.106Z,2017-06-15T05:52:53.670Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AL-72-LA,2017-06-15T05:52:53.877Z,,,,,,,,,,,,,,,,,Henrik Kejser
17871587,2016-01-01,2016-12-31,c6,http://regnskaber.virk.dk/78517871/ZG9rdW1lbnRsYWdlcjovLzAzL2JkLzc3LzRkL2Q5L2M4OGQtNGZkOC05YWZjLWJiNzNjYmE4MGNhZA.xhtml,http://regnskaber.virk.dk/78517871/ZG9rdW1lbnRsYWdlcjovLzAzLzU4L2M4L2IxLzYxL2IyN2UtNGFjYi1hNzg5LTUwZjgwOGYwNWY0MQ.pdf,http://regnskaber.virk.dk/78517871/ZG9rdW1lbnRsYWdlcjovLzAzLzQ3LzQ3LzdlLzFlL2QyNWItNGViNy1iZmY2LTQwZTgxMDYyYmFhNg.xml,true,Silkeborg,8600.0,13.0,Langdalsvej,8200 Aarhus N,P.O. Pedersens vej 14,Regnskabsklasse B,2017-06-07,2017-06-15,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har et ikke indregnet udskudt skatteaktiv pÃ¥ t.kr. 966.</p>",,17871587.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Henrik Kejser,Henrik Kejser,WINDZONE A/S,Clearhaus A/S,,Aarhus,2015-01-01,2015-12-31,-966294.0,,,2016-12-31,2016-01-01,false,false,Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2016 for opfyldt.,,false,false,Ingen bistand,urn:ofk:oid:24208364,indberetninger-20180424,2.5955422,17871587.0,,2018-03-29T11:09:23.106Z,2017-06-15T05:52:53.670Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AL-72-LA,2017-06-15T05:52:53.877Z,,,,,,,,,,,,,,,,,
17871587,2016-12-31,2016-12-31,c8,http://regnskaber.virk.dk/78517871/ZG9rdW1lbnRsYWdlcjovLzAzL2JkLzc3LzRkL2Q5L2M4OGQtNGZkOC05YWZjLWJiNzNjYmE4MGNhZA.xhtml,http://regnskaber.virk.dk/78517871/ZG9rdW1lbnRsYWdlcjovLzAzLzU4L2M4L2IxLzYxL2IyN2UtNGFjYi1hNzg5LTUwZjgwOGYwNWY0MQ.pdf,http://regnskaber.virk.dk/78517871/ZG9rdW1lbnRsYWdlcjovLzAzLzQ3LzQ3LzdlLzFlL2QyNWItNGViNy1iZmY2LTQwZTgxMDYyYmFhNg.xml,true,Silkeborg,8600.0,13.0,Langdalsvej,8200 Aarhus N,P.O. Pedersens vej 14,Regnskabsklasse B,2017-06-07,2017-06-15,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har et ikke indregnet udskudt skatteaktiv pÃ¥ t.kr. 966.</p>",,17871587.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Henrik Kejser,Henrik Kejser,WINDZONE A/S,Clearhaus A/S,,Aarhus,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,false,false,Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2016 for opfyldt.,,false,false,Ingen bistand,urn:ofk:oid:24208364,indberetninger-20180424,2.5955422,17871587.0,,2018-03-29T11:09:23.106Z,2017-06-15T05:52:53.670Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AL-72-LA,2017-06-15T05:52:53.877Z,0.0,750000.0,0.0,-5311727.0,0.0,5311727.0,0.0,0.0,0.0,0.0,25500.0,0.0,-6061727.0,5286227.0,5311727.0,0.0,
