entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfFinancialInstitutionPostcodeAndTown,AddressOfFinancialInstitutionStreetAndNumber,AddressOfReportingEntityPostcodeAndTown,AddressOfReportingEntityStreetAndNumber,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfAuditorsReportOnAuditedFinancialStatements,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,GrossProfitLoss,IdentificationNumberCvrOfReportingEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditorAppointedToPerformAudit,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirmAppointedToPerformAudit,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfCompilationOfAuditorsReportOnAuditedFinancialStatements,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,TaxExpenseOnOrdinaryActivities,TitleOfMemberOfExecutiveBoard,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,FixturesFittingsToolsAndEquipment,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,NoncurrentAssets,PropertyPlantAndEquipment,ProposedDividend,Provisions,ProvisionsForDeferredTax,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,ShorttermTradePayables,ShorttermTradeReceivables
entity identifier,2010-04-01,2011-09-30,ID_10,http://regnskaber.virk.dk/35978823/Y3ZyLmRrOi8vcGRmcy8zMjg4Nzk1MztBcFM0NzI5NTI7MjAxMTEwMDE7MjAxMjA5MzA7UjtS.pdf,http://regnskaber.virk.dk/35978823/Y3ZyLmRrOi8veGJybHMvWC02MDg4NkQwMC0yMDEyMTIxNF8xODM5MjVfNTYw.xml,"NÃ¦stved, 4700",Brogade 9,"4700, NÃ¦stved",Nordre Farimagsvej 16,"NÃ¦stved, 4700",Erantisvej 53,Regnskabsklasse B,2012-12-10,2010-05-03,2012-12-10,0.0,287923.0,-965061.0,32887953.0,Ãrsrapport,Lisette Poulsen,Dean Vinston JÃ¸rgensen,Dean Vinston JÃ¸rgensen,"Ny NÃ¦stved Revisorerne I/S, Registreret revisionsvirksomhed",Sparkassen SjÃ¦lland,ADTAK MEDIER ApS,"Registreret revisionsvirksomhed, Ny NÃ¦stved Revisorerne I/S",1010.0,-60.0,NÃ¦stved,-498342.0,-676188.0,-677138.0,2012-09-30,2011-10-01,177846.0,DirektÃ¸r,urn:ofk:oid:20680702,indberetninger-20180424,2.5122786,32887953.0,,2018-04-02T13:19:37.261Z,2012-12-15T23:00:00.000Z,regnskab,0.0,,2012-09-30,2011-10-01,12-368.127,2012-12-15T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,
entity identifier,2010-04-01,2011-09-30,ID_12,http://regnskaber.virk.dk/35978823/Y3ZyLmRrOi8vcGRmcy8zMjg4Nzk1MztBcFM0NzI5NTI7MjAxMTEwMDE7MjAxMjA5MzA7UjtS.pdf,http://regnskaber.virk.dk/35978823/Y3ZyLmRrOi8veGJybHMvWC02MDg4NkQwMC0yMDEyMTIxNF8xODM5MjVfNTYw.xml,"NÃ¦stved, 4700",Brogade 9,"4700, NÃ¦stved",Nordre Farimagsvej 16,"NÃ¦stved, 4700",Erantisvej 53,Regnskabsklasse B,2012-12-10,2010-05-03,2012-12-10,,,,32887953.0,Ãrsrapport,Lisette Poulsen,Dean Vinston JÃ¸rgensen,Dean Vinston JÃ¸rgensen,"Ny NÃ¦stved Revisorerne I/S, Registreret revisionsvirksomhed",Sparkassen SjÃ¦lland,ADTAK MEDIER ApS,"Registreret revisionsvirksomhed, Ny NÃ¦stved Revisorerne I/S",,,NÃ¦stved,0.0,,,2012-09-30,2011-10-01,,DirektÃ¸r,urn:ofk:oid:20680702,indberetninger-20180424,2.5122786,32887953.0,,2018-04-02T13:19:37.261Z,2012-12-15T23:00:00.000Z,regnskab,0.0,,2012-09-30,2011-10-01,12-368.127,2012-12-15T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,
entity identifier,2010-04-01,2011-09-30,ID_14,http://regnskaber.virk.dk/35978823/Y3ZyLmRrOi8vcGRmcy8zMjg4Nzk1MztBcFM0NzI5NTI7MjAxMTEwMDE7MjAxMjA5MzA7UjtS.pdf,http://regnskaber.virk.dk/35978823/Y3ZyLmRrOi8veGJybHMvWC02MDg4NkQwMC0yMDEyMTIxNF8xODM5MjVfNTYw.xml,"NÃ¦stved, 4700",Brogade 9,"4700, NÃ¦stved",Nordre Farimagsvej 16,"NÃ¦stved, 4700",Erantisvej 53,Regnskabsklasse B,2012-12-10,2010-05-03,2012-12-10,,,,32887953.0,Ãrsrapport,Lisette Poulsen,Dean Vinston JÃ¸rgensen,Dean Vinston JÃ¸rgensen,"Ny NÃ¦stved Revisorerne I/S, Registreret revisionsvirksomhed",Sparkassen SjÃ¦lland,ADTAK MEDIER ApS,"Registreret revisionsvirksomhed, Ny NÃ¦stved Revisorerne I/S",,,NÃ¦stved,498342.0,,,2012-09-30,2011-10-01,,DirektÃ¸r,urn:ofk:oid:20680702,indberetninger-20180424,2.5122786,32887953.0,,2018-04-02T13:19:37.261Z,2012-12-15T23:00:00.000Z,regnskab,0.0,,2012-09-30,2011-10-01,12-368.127,2012-12-15T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,
entity identifier,2010-04-01,2011-09-30,ID_16,http://regnskaber.virk.dk/35978823/Y3ZyLmRrOi8vcGRmcy8zMjg4Nzk1MztBcFM0NzI5NTI7MjAxMTEwMDE7MjAxMjA5MzA7UjtS.pdf,http://regnskaber.virk.dk/35978823/Y3ZyLmRrOi8veGJybHMvWC02MDg4NkQwMC0yMDEyMTIxNF8xODM5MjVfNTYw.xml,"NÃ¦stved, 4700",Brogade 9,"4700, NÃ¦stved",Nordre Farimagsvej 16,"NÃ¦stved, 4700",Erantisvej 53,Regnskabsklasse B,2012-12-10,2010-05-03,2012-12-10,,,,32887953.0,Ãrsrapport,Lisette Poulsen,Dean Vinston JÃ¸rgensen,Dean Vinston JÃ¸rgensen,"Ny NÃ¦stved Revisorerne I/S, Registreret revisionsvirksomhed",Sparkassen SjÃ¦lland,ADTAK MEDIER ApS,"Registreret revisionsvirksomhed, Ny NÃ¦stved Revisorerne I/S",,,NÃ¦stved,498342.0,,,2012-09-30,2011-10-01,,DirektÃ¸r,urn:ofk:oid:20680702,indberetninger-20180424,2.5122786,32887953.0,,2018-04-02T13:19:37.261Z,2012-12-15T23:00:00.000Z,regnskab,0.0,,2012-09-30,2011-10-01,12-368.127,2012-12-15T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-09-30,2011-09-30,ID_18,http://regnskaber.virk.dk/35978823/Y3ZyLmRrOi8vcGRmcy8zMjg4Nzk1MztBcFM0NzI5NTI7MjAxMTEwMDE7MjAxMjA5MzA7UjtS.pdf,http://regnskaber.virk.dk/35978823/Y3ZyLmRrOi8veGJybHMvWC02MDg4NkQwMC0yMDEyMTIxNF8xODM5MjVfNTYw.xml,"NÃ¦stved, 4700",Brogade 9,"4700, NÃ¦stved",Nordre Farimagsvej 16,"NÃ¦stved, 4700",Erantisvej 53,Regnskabsklasse B,2012-12-10,2010-05-03,2012-12-10,,,,32887953.0,Ãrsrapport,Lisette Poulsen,Dean Vinston JÃ¸rgensen,Dean Vinston JÃ¸rgensen,"Ny NÃ¦stved Revisorerne I/S, Registreret revisionsvirksomhed",Sparkassen SjÃ¦lland,ADTAK MEDIER ApS,"Registreret revisionsvirksomhed, Ny NÃ¦stved Revisorerne I/S",,,NÃ¦stved,,,,2012-09-30,2011-10-01,,DirektÃ¸r,urn:ofk:oid:20680702,indberetninger-20180424,2.5122786,32887953.0,,2018-04-02T13:19:37.261Z,2012-12-15T23:00:00.000Z,regnskab,0.0,,2012-09-30,2011-10-01,12-368.127,2012-12-15T23:00:00.000Z,1801741.0,392337.0,-80000.0,1801741.0,-578342.0,0.0,-1801741.0,-1223399.0,0.0,0.0,0.0,0.0,0.0,-498342.0,-1223399.0,-69.0,1409404.0,0.0,-177846.0,-910852.0,1409404.0
entity identifier,2011-10-01,2012-09-30,ID_0,http://regnskaber.virk.dk/35978823/Y3ZyLmRrOi8vcGRmcy8zMjg4Nzk1MztBcFM0NzI5NTI7MjAxMTEwMDE7MjAxMjA5MzA7UjtS.pdf,http://regnskaber.virk.dk/35978823/Y3ZyLmRrOi8veGJybHMvWC02MDg4NkQwMC0yMDEyMTIxNF8xODM5MjVfNTYw.xml,"NÃ¦stved, 4700",Brogade 9,"4700, NÃ¦stved",Nordre Farimagsvej 16,"NÃ¦stved, 4700",Erantisvej 53,Regnskabsklasse B,2012-12-10,2010-05-03,2012-12-10,,,,32887953.0,Ãrsrapport,Lisette Poulsen,Dean Vinston JÃ¸rgensen,Dean Vinston JÃ¸rgensen,"Ny NÃ¦stved Revisorerne I/S, Registreret revisionsvirksomhed",Sparkassen SjÃ¦lland,ADTAK MEDIER ApS,"Registreret revisionsvirksomhed, Ny NÃ¦stved Revisorerne I/S",,,NÃ¦stved,,,,2012-09-30,2011-10-01,,DirektÃ¸r,urn:ofk:oid:20680702,indberetninger-20180424,2.5122786,32887953.0,,2018-04-02T13:19:37.261Z,2012-12-15T23:00:00.000Z,regnskab,0.0,,2012-09-30,2011-10-01,12-368.127,2012-12-15T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-10-01,2012-09-30,ID_1,http://regnskaber.virk.dk/35978823/Y3ZyLmRrOi8vcGRmcy8zMjg4Nzk1MztBcFM0NzI5NTI7MjAxMTEwMDE7MjAxMjA5MzA7UjtS.pdf,http://regnskaber.virk.dk/35978823/Y3ZyLmRrOi8veGJybHMvWC02MDg4NkQwMC0yMDEyMTIxNF8xODM5MjVfNTYw.xml,"NÃ¦stved, 4700",Brogade 9,"4700, NÃ¦stved",Nordre Farimagsvej 16,"NÃ¦stved, 4700",Erantisvej 53,Regnskabsklasse B,2012-12-10,2010-05-03,2012-12-10,,,,32887953.0,Ãrsrapport,Lisette Poulsen,Dean Vinston JÃ¸rgensen,Dean Vinston JÃ¸rgensen,"Ny NÃ¦stved Revisorerne I/S, Registreret revisionsvirksomhed",Sparkassen SjÃ¦lland,ADTAK MEDIER ApS,"Registreret revisionsvirksomhed, Ny NÃ¦stved Revisorerne I/S",,,NÃ¦stved,,,,2012-09-30,2011-10-01,,DirektÃ¸r,urn:ofk:oid:20680702,indberetninger-20180424,2.5122786,32887953.0,,2018-04-02T13:19:37.261Z,2012-12-15T23:00:00.000Z,regnskab,0.0,,2012-09-30,2011-10-01,12-368.127,2012-12-15T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-10-01,2012-09-30,ID_11,http://regnskaber.virk.dk/35978823/Y3ZyLmRrOi8vcGRmcy8zMjg4Nzk1MztBcFM0NzI5NTI7MjAxMTEwMDE7MjAxMjA5MzA7UjtS.pdf,http://regnskaber.virk.dk/35978823/Y3ZyLmRrOi8veGJybHMvWC02MDg4NkQwMC0yMDEyMTIxNF8xODM5MjVfNTYw.xml,"NÃ¦stved, 4700",Brogade 9,"4700, NÃ¦stved",Nordre Farimagsvej 16,"NÃ¦stved, 4700",Erantisvej 53,Regnskabsklasse B,2012-12-10,2010-05-03,2012-12-10,,,,32887953.0,Ãrsrapport,Lisette Poulsen,Dean Vinston JÃ¸rgensen,Dean Vinston JÃ¸rgensen,"Ny NÃ¦stved Revisorerne I/S, Registreret revisionsvirksomhed",Sparkassen SjÃ¦lland,ADTAK MEDIER ApS,"Registreret revisionsvirksomhed, Ny NÃ¦stved Revisorerne I/S",,,NÃ¦stved,150000.0,,,2012-09-30,2011-10-01,,DirektÃ¸r,urn:ofk:oid:20680702,indberetninger-20180424,2.5122786,32887953.0,,2018-04-02T13:19:37.261Z,2012-12-15T23:00:00.000Z,regnskab,0.0,,2012-09-30,2011-10-01,12-368.127,2012-12-15T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-10-01,2012-09-30,ID_13,http://regnskaber.virk.dk/35978823/Y3ZyLmRrOi8vcGRmcy8zMjg4Nzk1MztBcFM0NzI5NTI7MjAxMTEwMDE7MjAxMjA5MzA7UjtS.pdf,http://regnskaber.virk.dk/35978823/Y3ZyLmRrOi8veGJybHMvWC02MDg4NkQwMC0yMDEyMTIxNF8xODM5MjVfNTYw.xml,"NÃ¦stved, 4700",Brogade 9,"4700, NÃ¦stved",Nordre Farimagsvej 16,"NÃ¦stved, 4700",Erantisvej 53,Regnskabsklasse B,2012-12-10,2010-05-03,2012-12-10,,,,32887953.0,Ãrsrapport,Lisette Poulsen,Dean Vinston JÃ¸rgensen,Dean Vinston JÃ¸rgensen,"Ny NÃ¦stved Revisorerne I/S, Registreret revisionsvirksomhed",Sparkassen SjÃ¦lland,ADTAK MEDIER ApS,"Registreret revisionsvirksomhed, Ny NÃ¦stved Revisorerne I/S",,,NÃ¦stved,15152.0,,,2012-09-30,2011-10-01,,DirektÃ¸r,urn:ofk:oid:20680702,indberetninger-20180424,2.5122786,32887953.0,,2018-04-02T13:19:37.261Z,2012-12-15T23:00:00.000Z,regnskab,0.0,,2012-09-30,2011-10-01,12-368.127,2012-12-15T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-10-01,2012-09-30,ID_15,http://regnskaber.virk.dk/35978823/Y3ZyLmRrOi8vcGRmcy8zMjg4Nzk1MztBcFM0NzI5NTI7MjAxMTEwMDE7MjAxMjA5MzA7UjtS.pdf,http://regnskaber.virk.dk/35978823/Y3ZyLmRrOi8veGJybHMvWC02MDg4NkQwMC0yMDEyMTIxNF8xODM5MjVfNTYw.xml,"NÃ¦stved, 4700",Brogade 9,"4700, NÃ¦stved",Nordre Farimagsvej 16,"NÃ¦stved, 4700",Erantisvej 53,Regnskabsklasse B,2012-12-10,2010-05-03,2012-12-10,,,,32887953.0,Ãrsrapport,Lisette Poulsen,Dean Vinston JÃ¸rgensen,Dean Vinston JÃ¸rgensen,"Ny NÃ¦stved Revisorerne I/S, Registreret revisionsvirksomhed",Sparkassen SjÃ¦lland,ADTAK MEDIER ApS,"Registreret revisionsvirksomhed, Ny NÃ¦stved Revisorerne I/S",,,NÃ¦stved,165152.0,,,2012-09-30,2011-10-01,,DirektÃ¸r,urn:ofk:oid:20680702,indberetninger-20180424,2.5122786,32887953.0,,2018-04-02T13:19:37.261Z,2012-12-15T23:00:00.000Z,regnskab,0.0,,2012-09-30,2011-10-01,12-368.127,2012-12-15T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,
