entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfFinancialInstitutionPostcodeAndTown,AddressOfFinancialInstitutionStreetAndNumber,AddressOfReportingEntityPostcodeAndTown,AddressOfReportingEntityStreetAndNumber,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnReviewOfFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditor,DisclosureOfMainActivitiesAndAccountingAndFinancialMatters,EmailOfReportingEntity,HomepageOfReportingEntity,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,ProfitLoss,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TitleOfMemberOfExecutiveBoard,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,GrossProfitLoss,OtherFinanceExpenses,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,OtherShorttermPayables,OtherShorttermReceivables,ProposedDividend,RetainedEarnings,ShorttermDeferredIncome,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermPrepaymentsReceivedFromCustomers,ShorttermReceivables,ShorttermTaxPayables,ShorttermTradeReceivables,IdentificationNumberCvrOfAuditFirm,NameAndSurnameOfAuditor,NameOfAuditFirm
entity identifier,2011-01-01,2011-12-31,ID_11,http://regnskaber.virk.dk/23869023/Y3ZyLmRrOi8vcGRmcy8zMjA5NjgzMjtBcFM0NTQyNTM7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/23869023/Y3ZyLmRrOi8veGJybHMvWC1EQjVCRjEwNy0yMDEzMDYwM18wNzQ5MjlfNTcy.xml,"Aabenraa, 6200",Madevej 17,"Aabenraa, 6200",Lojovej 10,"6200, Aabenraa",NÃ¦stmark 25,Til kapitalejerne i Vatserviceinfo ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2009-04-01,2013-04-17,Registreret revisor,. Virksomhedens formÃ¥l,mail@vatservice.info,www.vatservice.info,32096832.0,26632315.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Vatserviceinfo ApS.,Ãrsrapport,Susana Hammer,Susana Hammer,FrÃ¸s Herreds Sparekasse,Vatserviceinfo ApS,"Intension, Registreret Revisionsaktieselskab",210000.0,"Aabenraa, 580",2012-12-31,2012-01-01,2013-04-17,Aabenraa,DirektÃ¸r,urn:ofk:oid:20180699,indberetninger-20180424,2.5124266,32096832.0,,2018-04-01T18:03:32.577Z,2013-06-04T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-142.612,2013-06-04T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-01-01,2011-12-31,ID_13,http://regnskaber.virk.dk/23869023/Y3ZyLmRrOi8vcGRmcy8zMjA5NjgzMjtBcFM0NTQyNTM7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/23869023/Y3ZyLmRrOi8veGJybHMvWC1EQjVCRjEwNy0yMDEzMDYwM18wNzQ5MjlfNTcy.xml,"Aabenraa, 6200",Madevej 17,"Aabenraa, 6200",Lojovej 10,"6200, Aabenraa",NÃ¦stmark 25,Til kapitalejerne i Vatserviceinfo ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2009-04-01,2013-04-17,Registreret revisor,. Virksomhedens formÃ¥l,mail@vatservice.info,www.vatservice.info,32096832.0,26632315.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Vatserviceinfo ApS.,Ãrsrapport,Susana Hammer,Susana Hammer,FrÃ¸s Herreds Sparekasse,Vatserviceinfo ApS,"Intension, Registreret Revisionsaktieselskab",104049.0,"Aabenraa, 580",2012-12-31,2012-01-01,2013-04-17,Aabenraa,DirektÃ¸r,urn:ofk:oid:20180699,indberetninger-20180424,2.5124266,32096832.0,,2018-04-01T18:03:32.577Z,2013-06-04T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-142.612,2013-06-04T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-01-01,2011-12-31,ID_15,http://regnskaber.virk.dk/23869023/Y3ZyLmRrOi8vcGRmcy8zMjA5NjgzMjtBcFM0NTQyNTM7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/23869023/Y3ZyLmRrOi8veGJybHMvWC1EQjVCRjEwNy0yMDEzMDYwM18wNzQ5MjlfNTcy.xml,"Aabenraa, 6200",Madevej 17,"Aabenraa, 6200",Lojovej 10,"6200, Aabenraa",NÃ¦stmark 25,Til kapitalejerne i Vatserviceinfo ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2009-04-01,2013-04-17,Registreret revisor,. Virksomhedens formÃ¥l,mail@vatservice.info,www.vatservice.info,32096832.0,26632315.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Vatserviceinfo ApS.,Ãrsrapport,Susana Hammer,Susana Hammer,FrÃ¸s Herreds Sparekasse,Vatserviceinfo ApS,"Intension, Registreret Revisionsaktieselskab",314049.0,"Aabenraa, 580",2012-12-31,2012-01-01,2013-04-17,Aabenraa,DirektÃ¸r,urn:ofk:oid:20180699,indberetninger-20180424,2.5124266,32096832.0,,2018-04-01T18:03:32.577Z,2013-06-04T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-142.612,2013-06-04T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-01-01,2011-12-31,ID_9,http://regnskaber.virk.dk/23869023/Y3ZyLmRrOi8vcGRmcy8zMjA5NjgzMjtBcFM0NTQyNTM7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/23869023/Y3ZyLmRrOi8veGJybHMvWC1EQjVCRjEwNy0yMDEzMDYwM18wNzQ5MjlfNTcy.xml,"Aabenraa, 6200",Madevej 17,"Aabenraa, 6200",Lojovej 10,"6200, Aabenraa",NÃ¦stmark 25,Til kapitalejerne i Vatserviceinfo ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2009-04-01,2013-04-17,Registreret revisor,. Virksomhedens formÃ¥l,mail@vatservice.info,www.vatservice.info,32096832.0,26632315.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Vatserviceinfo ApS.,Ãrsrapport,Susana Hammer,Susana Hammer,FrÃ¸s Herreds Sparekasse,Vatserviceinfo ApS,"Intension, Registreret Revisionsaktieselskab",-314049.0,"Aabenraa, 580",2012-12-31,2012-01-01,2013-04-17,Aabenraa,DirektÃ¸r,urn:ofk:oid:20180699,indberetninger-20180424,2.5124266,32096832.0,,2018-04-01T18:03:32.577Z,2013-06-04T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-142.612,2013-06-04T22:00:00.000Z,12821.0,740082.0,-1048686.0,20092.0,-150677.0,-426368.0,-295783.0,112319.0,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-12-31,2011-12-31,ID_17,http://regnskaber.virk.dk/23869023/Y3ZyLmRrOi8vcGRmcy8zMjA5NjgzMjtBcFM0NTQyNTM7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/23869023/Y3ZyLmRrOi8veGJybHMvWC1EQjVCRjEwNy0yMDEzMDYwM18wNzQ5MjlfNTcy.xml,"Aabenraa, 6200",Madevej 17,"Aabenraa, 6200",Lojovej 10,"6200, Aabenraa",NÃ¦stmark 25,Til kapitalejerne i Vatserviceinfo ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2009-04-01,2013-04-17,Registreret revisor,. Virksomhedens formÃ¥l,mail@vatservice.info,www.vatservice.info,32096832.0,26632315.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Vatserviceinfo ApS.,Ãrsrapport,Susana Hammer,Susana Hammer,FrÃ¸s Herreds Sparekasse,Vatserviceinfo ApS,"Intension, Registreret Revisionsaktieselskab",,"Aabenraa, 580",2012-12-31,2012-01-01,2013-04-17,Aabenraa,DirektÃ¸r,urn:ofk:oid:20180699,indberetninger-20180424,2.5124266,32096832.0,,2018-04-01T18:03:32.577Z,2013-06-04T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-142.612,2013-06-04T22:00:00.000Z,,,,,,,,,1027792.0,839460.0,-125000.0,1027792.0,-345867.0,-1027792.0,-681925.0,-38211.0,87927.0,-210000.0,-220867.0,-11300.0,-681925.0,-81875.0,-228220.0,188332.0,-112319.0,100405.0,,,
entity identifier,2012-01-01,2012-12-31,ID_0,http://regnskaber.virk.dk/23869023/Y3ZyLmRrOi8vcGRmcy8zMjA5NjgzMjtBcFM0NTQyNTM7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/23869023/Y3ZyLmRrOi8veGJybHMvWC1EQjVCRjEwNy0yMDEzMDYwM18wNzQ5MjlfNTcy.xml,"Aabenraa, 6200",Madevej 17,"Aabenraa, 6200",Lojovej 10,"6200, Aabenraa",NÃ¦stmark 25,Til kapitalejerne i Vatserviceinfo ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2009-04-01,2013-04-17,Registreret revisor,. Virksomhedens formÃ¥l,mail@vatservice.info,www.vatservice.info,32096832.0,26632315.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Vatserviceinfo ApS.,Ãrsrapport,Susana Hammer,Susana Hammer,FrÃ¸s Herreds Sparekasse,Vatserviceinfo ApS,"Intension, Registreret Revisionsaktieselskab",,"Aabenraa, 580",2012-12-31,2012-01-01,2013-04-17,Aabenraa,DirektÃ¸r,urn:ofk:oid:20180699,indberetninger-20180424,2.5124266,32096832.0,,2018-04-01T18:03:32.577Z,2013-06-04T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-142.612,2013-06-04T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_1,http://regnskaber.virk.dk/23869023/Y3ZyLmRrOi8vcGRmcy8zMjA5NjgzMjtBcFM0NTQyNTM7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/23869023/Y3ZyLmRrOi8veGJybHMvWC1EQjVCRjEwNy0yMDEzMDYwM18wNzQ5MjlfNTcy.xml,"Aabenraa, 6200",Madevej 17,"Aabenraa, 6200",Lojovej 10,"6200, Aabenraa",NÃ¦stmark 25,Til kapitalejerne i Vatserviceinfo ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2009-04-01,2013-04-17,Registreret revisor,. Virksomhedens formÃ¥l,mail@vatservice.info,www.vatservice.info,32096832.0,26632315.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Vatserviceinfo ApS.,Ãrsrapport,Susana Hammer,Susana Hammer,FrÃ¸s Herreds Sparekasse,Vatserviceinfo ApS,"Intension, Registreret Revisionsaktieselskab",,"Aabenraa, 580",2012-12-31,2012-01-01,2013-04-17,Aabenraa,DirektÃ¸r,urn:ofk:oid:20180699,indberetninger-20180424,2.5124266,32096832.0,,2018-04-01T18:03:32.577Z,2013-06-04T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-142.612,2013-06-04T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_10,http://regnskaber.virk.dk/23869023/Y3ZyLmRrOi8vcGRmcy8zMjA5NjgzMjtBcFM0NTQyNTM7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/23869023/Y3ZyLmRrOi8veGJybHMvWC1EQjVCRjEwNy0yMDEzMDYwM18wNzQ5MjlfNTcy.xml,"Aabenraa, 6200",Madevej 17,"Aabenraa, 6200",Lojovej 10,"6200, Aabenraa",NÃ¦stmark 25,Til kapitalejerne i Vatserviceinfo ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2009-04-01,2013-04-17,Registreret revisor,. Virksomhedens formÃ¥l,mail@vatservice.info,www.vatservice.info,32096832.0,26632315.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Vatserviceinfo ApS.,Ãrsrapport,Susana Hammer,Susana Hammer,FrÃ¸s Herreds Sparekasse,Vatserviceinfo ApS,"Intension, Registreret Revisionsaktieselskab",230000.0,"Aabenraa, 580",2012-12-31,2012-01-01,2013-04-17,Aabenraa,DirektÃ¸r,urn:ofk:oid:20180699,indberetninger-20180424,2.5124266,32096832.0,,2018-04-01T18:03:32.577Z,2013-06-04T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-142.612,2013-06-04T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_12,http://regnskaber.virk.dk/23869023/Y3ZyLmRrOi8vcGRmcy8zMjA5NjgzMjtBcFM0NTQyNTM7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/23869023/Y3ZyLmRrOi8veGJybHMvWC1EQjVCRjEwNy0yMDEzMDYwM18wNzQ5MjlfNTcy.xml,"Aabenraa, 6200",Madevej 17,"Aabenraa, 6200",Lojovej 10,"6200, Aabenraa",NÃ¦stmark 25,Til kapitalejerne i Vatserviceinfo ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2009-04-01,2013-04-17,Registreret revisor,. Virksomhedens formÃ¥l,mail@vatservice.info,www.vatservice.info,32096832.0,26632315.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Vatserviceinfo ApS.,Ãrsrapport,Susana Hammer,Susana Hammer,FrÃ¸s Herreds Sparekasse,Vatserviceinfo ApS,"Intension, Registreret Revisionsaktieselskab",118500.0,"Aabenraa, 580",2012-12-31,2012-01-01,2013-04-17,Aabenraa,DirektÃ¸r,urn:ofk:oid:20180699,indberetninger-20180424,2.5124266,32096832.0,,2018-04-01T18:03:32.577Z,2013-06-04T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-142.612,2013-06-04T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_14,http://regnskaber.virk.dk/23869023/Y3ZyLmRrOi8vcGRmcy8zMjA5NjgzMjtBcFM0NTQyNTM7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/23869023/Y3ZyLmRrOi8veGJybHMvWC1EQjVCRjEwNy0yMDEzMDYwM18wNzQ5MjlfNTcy.xml,"Aabenraa, 6200",Madevej 17,"Aabenraa, 6200",Lojovej 10,"6200, Aabenraa",NÃ¦stmark 25,Til kapitalejerne i Vatserviceinfo ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2009-04-01,2013-04-17,Registreret revisor,. Virksomhedens formÃ¥l,mail@vatservice.info,www.vatservice.info,32096832.0,26632315.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Vatserviceinfo ApS.,Ãrsrapport,Susana Hammer,Susana Hammer,FrÃ¸s Herreds Sparekasse,Vatserviceinfo ApS,"Intension, Registreret Revisionsaktieselskab",348500.0,"Aabenraa, 580",2012-12-31,2012-01-01,2013-04-17,Aabenraa,DirektÃ¸r,urn:ofk:oid:20180699,indberetninger-20180424,2.5124266,32096832.0,,2018-04-01T18:03:32.577Z,2013-06-04T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-142.612,2013-06-04T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
