entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,AverageNumberOfEmployees,EmployeeBenefitsExpense,GrossProfitLoss,OtherFinanceExpenses,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,OtherShorttermInvestments,OtherShorttermPayables,OtherShorttermReceivables,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermTaxPayables,ShorttermTaxReceivables,ShorttermTradePayables,NameAndSurnameOfMemberOfSupervisoryBoard,TitleOfMemberOfSupervisoryBoard
16987646,2016-07-01,2017-06-30,ID_11,,http://regnskaber.virk.dk/64678961/ZG9rdW1lbnRsYWdlcjovLzAzL2FjLzA0Lzg2LzIyLzY4NGItNGE0Zi1hYTcxLThiZDc2NjIwYmE2Mw.pdf,http://regnskaber.virk.dk/64678961/ZG9rdW1lbnRsYWdlcjovLzAzLzk0LzJiLzA1L2U2LzY4YTEtNDAyYS1iYWM5LTEwNDg1NzYyMjg5Ng.xml,true,"Herlev, 2730",LyskÃ¦r 3 CD,Regnskabsklasse B,2018-10-31,2018-10-31,1993-04-19,2018-10-31,16987646.0,25074823.0,Ãrsrapport,Leon Peter Nygaard,Leon Peter Nygaard,NYGAARD'S TURISTTRAFIK ApS,Azets Insight A/S,Herlev,2016-07-01,2017-06-30,51700.0,"163, Herlev",2018-06-30,2017-07-01,false,Bestyrelsesformand/DirektÃ¸r,Ingen bistand,urn:ofk:oid:26284288,indberetninger-20180424,2.5118406,16987646.0,AWb3Mcf85OzuYdPkGGMz,2018-11-09T06:39:30.444Z,2018-11-09T06:38:43.619Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-DL-33-JP,2018-11-09T06:38:43.769Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16987646,2016-07-01,2017-06-30,ID_7,,http://regnskaber.virk.dk/64678961/ZG9rdW1lbnRsYWdlcjovLzAzL2FjLzA0Lzg2LzIyLzY4NGItNGE0Zi1hYTcxLThiZDc2NjIwYmE2Mw.pdf,http://regnskaber.virk.dk/64678961/ZG9rdW1lbnRsYWdlcjovLzAzLzk0LzJiLzA1L2U2LzY4YTEtNDAyYS1iYWM5LTEwNDg1NzYyMjg5Ng.xml,true,"Herlev, 2730",LyskÃ¦r 3 CD,Regnskabsklasse B,2018-10-31,2018-10-31,1993-04-19,2018-10-31,16987646.0,25074823.0,Ãrsrapport,Leon Peter Nygaard,Leon Peter Nygaard,NYGAARD'S TURISTTRAFIK ApS,Azets Insight A/S,Herlev,2016-07-01,2017-06-30,,"163, Herlev",2018-06-30,2017-07-01,false,Bestyrelsesformand/DirektÃ¸r,Ingen bistand,urn:ofk:oid:26284288,indberetninger-20180424,2.5118406,16987646.0,AWb3Mcf85OzuYdPkGGMz,2018-11-09T06:39:30.444Z,2018-11-09T06:38:43.619Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-DL-33-JP,2018-11-09T06:38:43.769Z,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16987646,2016-07-01,2017-06-30,ID_8,,http://regnskaber.virk.dk/64678961/ZG9rdW1lbnRsYWdlcjovLzAzL2FjLzA0Lzg2LzIyLzY4NGItNGE0Zi1hYTcxLThiZDc2NjIwYmE2Mw.pdf,http://regnskaber.virk.dk/64678961/ZG9rdW1lbnRsYWdlcjovLzAzLzk0LzJiLzA1L2U2LzY4YTEtNDAyYS1iYWM5LTEwNDg1NzYyMjg5Ng.xml,true,"Herlev, 2730",LyskÃ¦r 3 CD,Regnskabsklasse B,2018-10-31,2018-10-31,1993-04-19,2018-10-31,16987646.0,25074823.0,Ãrsrapport,Leon Peter Nygaard,Leon Peter Nygaard,NYGAARD'S TURISTTRAFIK ApS,Azets Insight A/S,Herlev,2016-07-01,2017-06-30,-22706.0,"163, Herlev",2018-06-30,2017-07-01,false,Bestyrelsesformand/DirektÃ¸r,Ingen bistand,urn:ofk:oid:26284288,indberetninger-20180424,2.5118406,16987646.0,AWb3Mcf85OzuYdPkGGMz,2018-11-09T06:39:30.444Z,2018-11-09T06:38:43.619Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-DL-33-JP,2018-11-09T06:38:43.769Z,,423715.0,401223.0,4416.0,707.0,-26201.0,-22492.0,-3495.0,,,,,,,,,,,,,,,,,,,,,,
16987646,2016-07-01,2017-06-30,ID_9,,http://regnskaber.virk.dk/64678961/ZG9rdW1lbnRsYWdlcjovLzAzL2FjLzA0Lzg2LzIyLzY4NGItNGE0Zi1hYTcxLThiZDc2NjIwYmE2Mw.pdf,http://regnskaber.virk.dk/64678961/ZG9rdW1lbnRsYWdlcjovLzAzLzk0LzJiLzA1L2U2LzY4YTEtNDAyYS1iYWM5LTEwNDg1NzYyMjg5Ng.xml,true,"Herlev, 2730",LyskÃ¦r 3 CD,Regnskabsklasse B,2018-10-31,2018-10-31,1993-04-19,2018-10-31,16987646.0,25074823.0,Ãrsrapport,Leon Peter Nygaard,Leon Peter Nygaard,NYGAARD'S TURISTTRAFIK ApS,Azets Insight A/S,Herlev,2016-07-01,2017-06-30,-74406.0,"163, Herlev",2018-06-30,2017-07-01,false,Bestyrelsesformand/DirektÃ¸r,Ingen bistand,urn:ofk:oid:26284288,indberetninger-20180424,2.5118406,16987646.0,AWb3Mcf85OzuYdPkGGMz,2018-11-09T06:39:30.444Z,2018-11-09T06:38:43.619Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-DL-33-JP,2018-11-09T06:38:43.769Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16987646,2017-06-30,2017-06-30,ID_5,,http://regnskaber.virk.dk/64678961/ZG9rdW1lbnRsYWdlcjovLzAzL2FjLzA0Lzg2LzIyLzY4NGItNGE0Zi1hYTcxLThiZDc2NjIwYmE2Mw.pdf,http://regnskaber.virk.dk/64678961/ZG9rdW1lbnRsYWdlcjovLzAzLzk0LzJiLzA1L2U2LzY4YTEtNDAyYS1iYWM5LTEwNDg1NzYyMjg5Ng.xml,true,"Herlev, 2730",LyskÃ¦r 3 CD,Regnskabsklasse B,2018-10-31,2018-10-31,1993-04-19,2018-10-31,16987646.0,25074823.0,Ãrsrapport,Leon Peter Nygaard,Leon Peter Nygaard,NYGAARD'S TURISTTRAFIK ApS,Azets Insight A/S,Herlev,2016-07-01,2017-06-30,,"163, Herlev",2018-06-30,2017-07-01,false,Bestyrelsesformand/DirektÃ¸r,Ingen bistand,urn:ofk:oid:26284288,indberetninger-20180424,2.5118406,16987646.0,AWb3Mcf85OzuYdPkGGMz,2018-11-09T06:39:30.444Z,2018-11-09T06:38:43.619Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-DL-33-JP,2018-11-09T06:38:43.769Z,,,,,,,,,795971.0,768994.0,200000.0,795971.0,0.0,707264.0,795971.0,88707.0,0.0,238.0,23455.0,51700.0,455564.0,0.0,88707.0,14514.0,26977.0,56955.0,3522.0,17000.0,,
16987646,2017-07-01,2018-06-30,ID_0,,http://regnskaber.virk.dk/64678961/ZG9rdW1lbnRsYWdlcjovLzAzL2FjLzA0Lzg2LzIyLzY4NGItNGE0Zi1hYTcxLThiZDc2NjIwYmE2Mw.pdf,http://regnskaber.virk.dk/64678961/ZG9rdW1lbnRsYWdlcjovLzAzLzk0LzJiLzA1L2U2LzY4YTEtNDAyYS1iYWM5LTEwNDg1NzYyMjg5Ng.xml,true,"Herlev, 2730",LyskÃ¦r 3 CD,Regnskabsklasse B,2018-10-31,2018-10-31,1993-04-19,2018-10-31,16987646.0,25074823.0,Ãrsrapport,Leon Peter Nygaard,Leon Peter Nygaard,NYGAARD'S TURISTTRAFIK ApS,Azets Insight A/S,Herlev,2016-07-01,2017-06-30,,"163, Herlev",2018-06-30,2017-07-01,false,Bestyrelsesformand/DirektÃ¸r,Ingen bistand,urn:ofk:oid:26284288,indberetninger-20180424,2.5118406,16987646.0,AWb3Mcf85OzuYdPkGGMz,2018-11-09T06:39:30.444Z,2018-11-09T06:38:43.619Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-DL-33-JP,2018-11-09T06:38:43.769Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16987646,2017-07-01,2018-06-30,ID_1,,http://regnskaber.virk.dk/64678961/ZG9rdW1lbnRsYWdlcjovLzAzL2FjLzA0Lzg2LzIyLzY4NGItNGE0Zi1hYTcxLThiZDc2NjIwYmE2Mw.pdf,http://regnskaber.virk.dk/64678961/ZG9rdW1lbnRsYWdlcjovLzAzLzk0LzJiLzA1L2U2LzY4YTEtNDAyYS1iYWM5LTEwNDg1NzYyMjg5Ng.xml,true,"Herlev, 2730",LyskÃ¦r 3 CD,Regnskabsklasse B,2018-10-31,2018-10-31,1993-04-19,2018-10-31,16987646.0,25074823.0,Ãrsrapport,Leon Peter Nygaard,Leon Peter Nygaard,NYGAARD'S TURISTTRAFIK ApS,Azets Insight A/S,Herlev,2016-07-01,2017-06-30,,"163, Herlev",2018-06-30,2017-07-01,false,Bestyrelsesformand/DirektÃ¸r,Ingen bistand,urn:ofk:oid:26284288,indberetninger-20180424,2.5118406,16987646.0,AWb3Mcf85OzuYdPkGGMz,2018-11-09T06:39:30.444Z,2018-11-09T06:38:43.619Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-DL-33-JP,2018-11-09T06:38:43.769Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nick Christian Nygaard,Bestyrelsesmedlem
16987646,2017-07-01,2018-06-30,ID_10,,http://regnskaber.virk.dk/64678961/ZG9rdW1lbnRsYWdlcjovLzAzL2FjLzA0Lzg2LzIyLzY4NGItNGE0Zi1hYTcxLThiZDc2NjIwYmE2Mw.pdf,http://regnskaber.virk.dk/64678961/ZG9rdW1lbnRsYWdlcjovLzAzLzk0LzJiLzA1L2U2LzY4YTEtNDAyYS1iYWM5LTEwNDg1NzYyMjg5Ng.xml,true,"Herlev, 2730",LyskÃ¦r 3 CD,Regnskabsklasse B,2018-10-31,2018-10-31,1993-04-19,2018-10-31,16987646.0,25074823.0,Ãrsrapport,Leon Peter Nygaard,Leon Peter Nygaard,NYGAARD'S TURISTTRAFIK ApS,Azets Insight A/S,Herlev,2016-07-01,2017-06-30,52900.0,"163, Herlev",2018-06-30,2017-07-01,false,Bestyrelsesformand/DirektÃ¸r,Ingen bistand,urn:ofk:oid:26284288,indberetninger-20180424,2.5118406,16987646.0,AWb3Mcf85OzuYdPkGGMz,2018-11-09T06:39:30.444Z,2018-11-09T06:38:43.619Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-DL-33-JP,2018-11-09T06:38:43.769Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16987646,2017-07-01,2018-06-30,ID_12,,http://regnskaber.virk.dk/64678961/ZG9rdW1lbnRsYWdlcjovLzAzL2FjLzA0Lzg2LzIyLzY4NGItNGE0Zi1hYTcxLThiZDc2NjIwYmE2Mw.pdf,http://regnskaber.virk.dk/64678961/ZG9rdW1lbnRsYWdlcjovLzAzLzk0LzJiLzA1L2U2LzY4YTEtNDAyYS1iYWM5LTEwNDg1NzYyMjg5Ng.xml,true,"Herlev, 2730",LyskÃ¦r 3 CD,Regnskabsklasse B,2018-10-31,2018-10-31,1993-04-19,2018-10-31,16987646.0,25074823.0,Ãrsrapport,Leon Peter Nygaard,Leon Peter Nygaard,NYGAARD'S TURISTTRAFIK ApS,Azets Insight A/S,Herlev,2016-07-01,2017-06-30,-65918.0,"163, Herlev",2018-06-30,2017-07-01,false,Bestyrelsesformand/DirektÃ¸r,Ingen bistand,urn:ofk:oid:26284288,indberetninger-20180424,2.5118406,16987646.0,AWb3Mcf85OzuYdPkGGMz,2018-11-09T06:39:30.444Z,2018-11-09T06:38:43.619Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-DL-33-JP,2018-11-09T06:38:43.769Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16987646,2017-07-01,2018-06-30,ID_2,,http://regnskaber.virk.dk/64678961/ZG9rdW1lbnRsYWdlcjovLzAzL2FjLzA0Lzg2LzIyLzY4NGItNGE0Zi1hYTcxLThiZDc2NjIwYmE2Mw.pdf,http://regnskaber.virk.dk/64678961/ZG9rdW1lbnRsYWdlcjovLzAzLzk0LzJiLzA1L2U2LzY4YTEtNDAyYS1iYWM5LTEwNDg1NzYyMjg5Ng.xml,true,"Herlev, 2730",LyskÃ¦r 3 CD,Regnskabsklasse B,2018-10-31,2018-10-31,1993-04-19,2018-10-31,16987646.0,25074823.0,Ãrsrapport,Leon Peter Nygaard,Leon Peter Nygaard,NYGAARD'S TURISTTRAFIK ApS,Azets Insight A/S,Herlev,2016-07-01,2017-06-30,,"163, Herlev",2018-06-30,2017-07-01,false,Bestyrelsesformand/DirektÃ¸r,Ingen bistand,urn:ofk:oid:26284288,indberetninger-20180424,2.5118406,16987646.0,AWb3Mcf85OzuYdPkGGMz,2018-11-09T06:39:30.444Z,2018-11-09T06:38:43.619Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-DL-33-JP,2018-11-09T06:38:43.769Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leon Peter Nygaard,Bestyrelsesformand/DirektÃ¸r
