entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,AdjustmentsForCurrentTaxOfPriorPeriod,AverageNumberOfEmployees,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,CurrentTaxExpense,DateOfApprovalOfAnnualReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditor,EmployeeBenefitsExpense,ExternalExpenses,GrossProfitLoss,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,WagesAndSalaries,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentDeferredTaxAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,OtherShorttermInvestments,OtherShorttermReceivables,RetainedEarnings,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTaxReceivables,ShorttermTradePayables,NameOfAuditFirm,TypeOfAuditorAssistance,NameAndSurnameOfMemberOfExecutiveBoard
31158753,2017-01-01,2017-12-31,c174,,http://regnskaber.virk.dk/35785113/ZG9rdW1lbnRsYWdlcjovLzAzLzkzL2M0LzNhL2ExL2RjYmItNGQ4MC05OGJmLTE0ZTIyMmY0M2ZhMg.pdf,http://regnskaber.virk.dk/35785113/ZG9rdW1lbnRsYWdlcjovLzAzLzUxLzJmLzg2LzhlLzYxMmYtNDc0YS1hOTRjLTkzZDNjNjg5ZGE2Mw.xml,true,Vejle,7100.0,"4, 1. sal",Roms Hule,7330 Brande,Vestermarken 41,DK-7100 Vejle,"Roms Hule 4, 1. sal",Til kapitalejeren i J.I. Holding ApS,0.0,1.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",1091850.0,2019-03-25,2007-12-18,2019-03-27,Statsautoriseret revisor,10000.0,196854.0,-196854.0,20222670.0,31158753.0,20222670.0,mne10093,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for J.I. Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Allan Lund,Jens Iversen,J.I. Holding ApS,BDO Statsautoriseret revisionsaktieselskab,1013536.0,6298907.0,Brande,2017-01-01,2017-12-31,3986667.0,5078517.0,-206854.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Brande,2018-12-31,2018-01-01,true,2019-03-25,Vejle,1091850.0,10000.0,urn:ofk:oid:26887908,indberetninger-20180424,2.509602,31158753.0,AWm-jGHiRYGX6_YTGRMi,2019-03-27T09:48:30.189Z,2019-03-27T09:47:44.327Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AU-64-DW,2019-03-27T09:47:44.513Z,,,,,,,,,,,,,,,,,,
31158753,2017-01-01,2017-12-31,c213,,http://regnskaber.virk.dk/35785113/ZG9rdW1lbnRsYWdlcjovLzAzLzkzL2M0LzNhL2ExL2RjYmItNGQ4MC05OGJmLTE0ZTIyMmY0M2ZhMg.pdf,http://regnskaber.virk.dk/35785113/ZG9rdW1lbnRsYWdlcjovLzAzLzUxLzJmLzg2LzhlLzYxMmYtNDc0YS1hOTRjLTkzZDNjNjg5ZGE2Mw.xml,true,Vejle,7100.0,"4, 1. sal",Roms Hule,7330 Brande,Vestermarken 41,DK-7100 Vejle,"Roms Hule 4, 1. sal",Til kapitalejeren i J.I. Holding ApS,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",,2019-03-25,2007-12-18,2019-03-27,Statsautoriseret revisor,,,,20222670.0,31158753.0,20222670.0,mne10093,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for J.I. Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Allan Lund,Jens Iversen,J.I. Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,Brande,2017-01-01,2017-12-31,3986667.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Brande,2018-12-31,2018-01-01,true,2019-03-25,Vejle,,,urn:ofk:oid:26887908,indberetninger-20180424,2.509602,31158753.0,AWm-jGHiRYGX6_YTGRMi,2019-03-27T09:48:30.189Z,2019-03-27T09:47:44.327Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AU-64-DW,2019-03-27T09:47:44.513Z,,,,,,,,,,,,,,,,,,
31158753,2017-12-31,2017-12-31,c172,,http://regnskaber.virk.dk/35785113/ZG9rdW1lbnRsYWdlcjovLzAzLzkzL2M0LzNhL2ExL2RjYmItNGQ4MC05OGJmLTE0ZTIyMmY0M2ZhMg.pdf,http://regnskaber.virk.dk/35785113/ZG9rdW1lbnRsYWdlcjovLzAzLzUxLzJmLzg2LzhlLzYxMmYtNDc0YS1hOTRjLTkzZDNjNjg5ZGE2Mw.xml,true,Vejle,7100.0,"4, 1. sal",Roms Hule,7330 Brande,Vestermarken 41,DK-7100 Vejle,"Roms Hule 4, 1. sal",Til kapitalejeren i J.I. Holding ApS,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",,2019-03-25,2007-12-18,2019-03-27,Statsautoriseret revisor,,,,20222670.0,31158753.0,20222670.0,mne10093,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for J.I. Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Allan Lund,Jens Iversen,J.I. Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,Brande,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Brande,2018-12-31,2018-01-01,true,2019-03-25,Vejle,,,urn:ofk:oid:26887908,indberetninger-20180424,2.509602,31158753.0,AWm-jGHiRYGX6_YTGRMi,2019-03-27T09:48:30.189Z,2019-03-27T09:47:44.327Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AU-64-DW,2019-03-27T09:47:44.513Z,129257680.0,51621367.0,125000.0,0.0,129212107.0,129257680.0,45573.0,77509858.0,101948.0,129087107.0,77509858.0,45573.0,126455.0,24507.0,40000.0,,,
31158753,2018-01-01,2018-01-01,c230,,http://regnskaber.virk.dk/35785113/ZG9rdW1lbnRsYWdlcjovLzAzLzkzL2M0LzNhL2ExL2RjYmItNGQ4MC05OGJmLTE0ZTIyMmY0M2ZhMg.pdf,http://regnskaber.virk.dk/35785113/ZG9rdW1lbnRsYWdlcjovLzAzLzUxLzJmLzg2LzhlLzYxMmYtNDc0YS1hOTRjLTkzZDNjNjg5ZGE2Mw.xml,true,Vejle,7100.0,"4, 1. sal",Roms Hule,7330 Brande,Vestermarken 41,DK-7100 Vejle,"Roms Hule 4, 1. sal",Til kapitalejeren i J.I. Holding ApS,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",,2019-03-25,2007-12-18,2019-03-27,Statsautoriseret revisor,,,,20222670.0,31158753.0,20222670.0,mne10093,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for J.I. Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Allan Lund,Jens Iversen,J.I. Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,Brande,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Brande,2018-12-31,2018-01-01,true,2019-03-25,Vejle,,,urn:ofk:oid:26887908,indberetninger-20180424,2.509602,31158753.0,AWm-jGHiRYGX6_YTGRMi,2019-03-27T09:48:30.189Z,2019-03-27T09:47:44.327Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AU-64-DW,2019-03-27T09:47:44.513Z,,,,,125000.0,,,,,,,,,,,,,
31158753,2018-01-01,2018-01-01,c248,,http://regnskaber.virk.dk/35785113/ZG9rdW1lbnRsYWdlcjovLzAzLzkzL2M0LzNhL2ExL2RjYmItNGQ4MC05OGJmLTE0ZTIyMmY0M2ZhMg.pdf,http://regnskaber.virk.dk/35785113/ZG9rdW1lbnRsYWdlcjovLzAzLzUxLzJmLzg2LzhlLzYxMmYtNDc0YS1hOTRjLTkzZDNjNjg5ZGE2Mw.xml,true,Vejle,7100.0,"4, 1. sal",Roms Hule,7330 Brande,Vestermarken 41,DK-7100 Vejle,"Roms Hule 4, 1. sal",Til kapitalejeren i J.I. Holding ApS,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",,2019-03-25,2007-12-18,2019-03-27,Statsautoriseret revisor,,,,20222670.0,31158753.0,20222670.0,mne10093,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for J.I. Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Allan Lund,Jens Iversen,J.I. Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,Brande,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Brande,2018-12-31,2018-01-01,true,2019-03-25,Vejle,,,urn:ofk:oid:26887908,indberetninger-20180424,2.509602,31158753.0,AWm-jGHiRYGX6_YTGRMi,2019-03-27T09:48:30.189Z,2019-03-27T09:47:44.327Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AU-64-DW,2019-03-27T09:47:44.513Z,,,,,129087107.0,,,,,,,,,,,,,
31158753,2018-01-01,2018-12-31,c173,,http://regnskaber.virk.dk/35785113/ZG9rdW1lbnRsYWdlcjovLzAzLzkzL2M0LzNhL2ExL2RjYmItNGQ4MC05OGJmLTE0ZTIyMmY0M2ZhMg.pdf,http://regnskaber.virk.dk/35785113/ZG9rdW1lbnRsYWdlcjovLzAzLzUxLzJmLzg2LzhlLzYxMmYtNDc0YS1hOTRjLTkzZDNjNjg5ZGE2Mw.xml,true,Vejle,7100.0,"4, 1. sal",Roms Hule,7330 Brande,Vestermarken 41,DK-7100 Vejle,"Roms Hule 4, 1. sal",Til kapitalejeren i J.I. Holding ApS,-1033062.0,1.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",22176.0,2019-03-25,2007-12-18,2019-03-27,Statsautoriseret revisor,10000.0,324960.0,-324960.0,20222670.0,31158753.0,20222670.0,mne10093,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for J.I. Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Allan Lund,Jens Iversen,J.I. Holding ApS,BDO Statsautoriseret revisionsaktieselskab,7803177.0,3598375.0,Brande,2017-01-01,2017-12-31,-3528876.0,-4539762.0,-334960.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Brande,2018-12-31,2018-01-01,true,2019-03-25,Vejle,-1010886.0,10000.0,urn:ofk:oid:26887908,indberetninger-20180424,2.509602,31158753.0,AWm-jGHiRYGX6_YTGRMi,2019-03-27T09:48:30.189Z,2019-03-27T09:47:44.327Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AU-64-DW,2019-03-27T09:47:44.513Z,,,,,,,,,,,,,,,,BDO Statsautoriseret revisionsaktieselskab,RevisionspÃ¥tegning,
31158753,2018-01-01,2018-12-31,c212,,http://regnskaber.virk.dk/35785113/ZG9rdW1lbnRsYWdlcjovLzAzLzkzL2M0LzNhL2ExL2RjYmItNGQ4MC05OGJmLTE0ZTIyMmY0M2ZhMg.pdf,http://regnskaber.virk.dk/35785113/ZG9rdW1lbnRsYWdlcjovLzAzLzUxLzJmLzg2LzhlLzYxMmYtNDc0YS1hOTRjLTkzZDNjNjg5ZGE2Mw.xml,true,Vejle,7100.0,"4, 1. sal",Roms Hule,7330 Brande,Vestermarken 41,DK-7100 Vejle,"Roms Hule 4, 1. sal",Til kapitalejeren i J.I. Holding ApS,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",,2019-03-25,2007-12-18,2019-03-27,Statsautoriseret revisor,,,,20222670.0,31158753.0,20222670.0,mne10093,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for J.I. Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Allan Lund,Jens Iversen,J.I. Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,Brande,2017-01-01,2017-12-31,-3528876.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Brande,2018-12-31,2018-01-01,true,2019-03-25,Vejle,,,urn:ofk:oid:26887908,indberetninger-20180424,2.509602,31158753.0,AWm-jGHiRYGX6_YTGRMi,2019-03-27T09:48:30.189Z,2019-03-27T09:47:44.327Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AU-64-DW,2019-03-27T09:47:44.513Z,,,,,,,,,,,,,,,,,,
31158753,2018-01-01,2018-12-31,c247,,http://regnskaber.virk.dk/35785113/ZG9rdW1lbnRsYWdlcjovLzAzLzkzL2M0LzNhL2ExL2RjYmItNGQ4MC05OGJmLTE0ZTIyMmY0M2ZhMg.pdf,http://regnskaber.virk.dk/35785113/ZG9rdW1lbnRsYWdlcjovLzAzLzUxLzJmLzg2LzhlLzYxMmYtNDc0YS1hOTRjLTkzZDNjNjg5ZGE2Mw.xml,true,Vejle,7100.0,"4, 1. sal",Roms Hule,7330 Brande,Vestermarken 41,DK-7100 Vejle,"Roms Hule 4, 1. sal",Til kapitalejeren i J.I. Holding ApS,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",,2019-03-25,2007-12-18,2019-03-27,Statsautoriseret revisor,,,,20222670.0,31158753.0,20222670.0,mne10093,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for J.I. Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Allan Lund,Jens Iversen,J.I. Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,Brande,2017-01-01,2017-12-31,-3528876.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Brande,2018-12-31,2018-01-01,true,2019-03-25,Vejle,,,urn:ofk:oid:26887908,indberetninger-20180424,2.509602,31158753.0,AWm-jGHiRYGX6_YTGRMi,2019-03-27T09:48:30.189Z,2019-03-27T09:47:44.327Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AU-64-DW,2019-03-27T09:47:44.513Z,,,,,,,,,,,,,,,,,,
31158753,2018-01-01,2018-12-31,c306,,http://regnskaber.virk.dk/35785113/ZG9rdW1lbnRsYWdlcjovLzAzLzkzL2M0LzNhL2ExL2RjYmItNGQ4MC05OGJmLTE0ZTIyMmY0M2ZhMg.pdf,http://regnskaber.virk.dk/35785113/ZG9rdW1lbnRsYWdlcjovLzAzLzUxLzJmLzg2LzhlLzYxMmYtNDc0YS1hOTRjLTkzZDNjNjg5ZGE2Mw.xml,true,Vejle,7100.0,"4, 1. sal",Roms Hule,7330 Brande,Vestermarken 41,DK-7100 Vejle,"Roms Hule 4, 1. sal",Til kapitalejeren i J.I. Holding ApS,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",,2019-03-25,2007-12-18,2019-03-27,Statsautoriseret revisor,,,,20222670.0,31158753.0,20222670.0,mne10093,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for J.I. Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Allan Lund,Jens Iversen,J.I. Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,Brande,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Brande,2018-12-31,2018-01-01,true,2019-03-25,Vejle,,,urn:ofk:oid:26887908,indberetninger-20180424,2.509602,31158753.0,AWm-jGHiRYGX6_YTGRMi,2019-03-27T09:48:30.189Z,2019-03-27T09:47:44.327Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AU-64-DW,2019-03-27T09:47:44.513Z,,,,,,,,,,,,,,,,BDO Statsautoriseret revisionsaktieselskab,,
31158753,2018-01-01,2018-12-31,c726,,http://regnskaber.virk.dk/35785113/ZG9rdW1lbnRsYWdlcjovLzAzLzkzL2M0LzNhL2ExL2RjYmItNGQ4MC05OGJmLTE0ZTIyMmY0M2ZhMg.pdf,http://regnskaber.virk.dk/35785113/ZG9rdW1lbnRsYWdlcjovLzAzLzUxLzJmLzg2LzhlLzYxMmYtNDc0YS1hOTRjLTkzZDNjNjg5ZGE2Mw.xml,true,Vejle,7100.0,"4, 1. sal",Roms Hule,7330 Brande,Vestermarken 41,DK-7100 Vejle,"Roms Hule 4, 1. sal",Til kapitalejeren i J.I. Holding ApS,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",,2019-03-25,2007-12-18,2019-03-27,Statsautoriseret revisor,,,,20222670.0,31158753.0,20222670.0,mne10093,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for J.I. Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Allan Lund,Jens Iversen,J.I. Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,Brande,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Brande,2018-12-31,2018-01-01,true,2019-03-25,Vejle,,,urn:ofk:oid:26887908,indberetninger-20180424,2.509602,31158753.0,AWm-jGHiRYGX6_YTGRMi,2019-03-27T09:48:30.189Z,2019-03-27T09:47:44.327Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AU-64-DW,2019-03-27T09:47:44.513Z,,,,,,,,,,,,,,,,,,Jette Iversen
