entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,AverageNumberOfEmployees,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,CurrentTaxExpense,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DescriptionOfAuditor,EmployeeBenefitsExpense,ExternalExpenses,GrossProfitLoss,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,WagesAndSalaries,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,OtherShorttermInvestments,OtherShorttermPayables,OtherShorttermReceivables,RetainedEarnings,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTaxReceivables,ShorttermTradePayables,NameOfAuditFirm,TypeOfAuditorAssistance,NameAndSurnameOfMemberOfExecutiveBoard
31158753,2016-01-01,2016-12-31,c174,,http://regnskaber.virk.dk/35785113/ZG9rdW1lbnRsYWdlcjovLzAzL2UwLzllLzM5L2JmLzljYTktNDEzMy1hOGE4LTg3MmQzMTAxZWEwMQ.pdf,http://regnskaber.virk.dk/35785113/ZG9rdW1lbnRsYWdlcjovLzAzLzdlLzU1L2NiLzkyLzQ4NmYtNGM3YS1iZjQ1LTNkNTA4ZWY1Y2Y0Zg.xml,true,Vejle,7100.0,"4, 1. sal",Roms Hule,7330 Brande,Vestermarken 41,DK-7100 Vejle,"Roms Hule 4, 1. sal",Til kapitalejeren i J.I. Holding ApS,1.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",205542.0,2018-02-02,2018-02-23,Statsautoriseret revisor,10000.0,199783.0,-199783.0,20222670.0,31158753.0,20222670.0,mne10093,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for J.I. Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Allan Lund,Jens Iversen,J.I. Holding ApS,BDO Statsautoriseret revisionsaktieselskab,3763893.0,4888639.0,Brande,2016-01-01,2016-12-31,709421.0,914963.0,-209783.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Brande,2017-12-31,2017-01-01,true,2018-02-02,Vejle,205542.0,10000.0,urn:ofk:oid:25097211,indberetninger-20180424,2.5097417999999996,31158753.0,,2018-04-04T00:04:41.061Z,2018-02-26T16:30:36.330Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AE-37-WG,2018-02-26T16:30:36.470Z,,,,,,,,,,,,,,,,,,
31158753,2016-01-01,2016-12-31,c195,,http://regnskaber.virk.dk/35785113/ZG9rdW1lbnRsYWdlcjovLzAzL2UwLzllLzM5L2JmLzljYTktNDEzMy1hOGE4LTg3MmQzMTAxZWEwMQ.pdf,http://regnskaber.virk.dk/35785113/ZG9rdW1lbnRsYWdlcjovLzAzLzdlLzU1L2NiLzkyLzQ4NmYtNGM3YS1iZjQ1LTNkNTA4ZWY1Y2Y0Zg.xml,true,Vejle,7100.0,"4, 1. sal",Roms Hule,7330 Brande,Vestermarken 41,DK-7100 Vejle,"Roms Hule 4, 1. sal",Til kapitalejeren i J.I. Holding ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",,2018-02-02,2018-02-23,Statsautoriseret revisor,,,,20222670.0,31158753.0,20222670.0,mne10093,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for J.I. Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Allan Lund,Jens Iversen,J.I. Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,Brande,2016-01-01,2016-12-31,709421.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Brande,2017-12-31,2017-01-01,true,2018-02-02,Vejle,,,urn:ofk:oid:25097211,indberetninger-20180424,2.5097417999999996,31158753.0,,2018-04-04T00:04:41.061Z,2018-02-26T16:30:36.330Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AE-37-WG,2018-02-26T16:30:36.470Z,,,,,,,,,,,,,,,,,,
31158753,2016-12-31,2016-12-31,c172,,http://regnskaber.virk.dk/35785113/ZG9rdW1lbnRsYWdlcjovLzAzL2UwLzllLzM5L2JmLzljYTktNDEzMy1hOGE4LTg3MmQzMTAxZWEwMQ.pdf,http://regnskaber.virk.dk/35785113/ZG9rdW1lbnRsYWdlcjovLzAzLzdlLzU1L2NiLzkyLzQ4NmYtNGM3YS1iZjQ1LTNkNTA4ZWY1Y2Y0Zg.xml,true,Vejle,7100.0,"4, 1. sal",Roms Hule,7330 Brande,Vestermarken 41,DK-7100 Vejle,"Roms Hule 4, 1. sal",Til kapitalejeren i J.I. Holding ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",,2018-02-02,2018-02-23,Statsautoriseret revisor,,,,20222670.0,31158753.0,20222670.0,mne10093,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for J.I. Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Allan Lund,Jens Iversen,J.I. Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,Brande,2016-01-01,2016-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Brande,2017-12-31,2017-01-01,true,2018-02-02,Vejle,,,urn:ofk:oid:25097211,indberetninger-20180424,2.5097417999999996,31158753.0,,2018-04-04T00:04:41.061Z,2018-02-26T16:30:36.330Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AE-37-WG,2018-02-26T16:30:36.470Z,125271013.0,40102107.0,125000.0,125225440.0,125271013.0,45573.0,84826698.0,5573.0,205883.0,125100440.0,84826698.0,45573.0,342208.0,136325.0,40000.0,,,
31158753,2017-01-01,2017-01-01,c226,,http://regnskaber.virk.dk/35785113/ZG9rdW1lbnRsYWdlcjovLzAzL2UwLzllLzM5L2JmLzljYTktNDEzMy1hOGE4LTg3MmQzMTAxZWEwMQ.pdf,http://regnskaber.virk.dk/35785113/ZG9rdW1lbnRsYWdlcjovLzAzLzdlLzU1L2NiLzkyLzQ4NmYtNGM3YS1iZjQ1LTNkNTA4ZWY1Y2Y0Zg.xml,true,Vejle,7100.0,"4, 1. sal",Roms Hule,7330 Brande,Vestermarken 41,DK-7100 Vejle,"Roms Hule 4, 1. sal",Til kapitalejeren i J.I. Holding ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",,2018-02-02,2018-02-23,Statsautoriseret revisor,,,,20222670.0,31158753.0,20222670.0,mne10093,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for J.I. Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Allan Lund,Jens Iversen,J.I. Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,Brande,2016-01-01,2016-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Brande,2017-12-31,2017-01-01,true,2018-02-02,Vejle,,,urn:ofk:oid:25097211,indberetninger-20180424,2.5097417999999996,31158753.0,,2018-04-04T00:04:41.061Z,2018-02-26T16:30:36.330Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AE-37-WG,2018-02-26T16:30:36.470Z,,,,125000.0,,,,,,,,,,,,,,
31158753,2017-01-01,2017-01-01,c253,,http://regnskaber.virk.dk/35785113/ZG9rdW1lbnRsYWdlcjovLzAzL2UwLzllLzM5L2JmLzljYTktNDEzMy1hOGE4LTg3MmQzMTAxZWEwMQ.pdf,http://regnskaber.virk.dk/35785113/ZG9rdW1lbnRsYWdlcjovLzAzLzdlLzU1L2NiLzkyLzQ4NmYtNGM3YS1iZjQ1LTNkNTA4ZWY1Y2Y0Zg.xml,true,Vejle,7100.0,"4, 1. sal",Roms Hule,7330 Brande,Vestermarken 41,DK-7100 Vejle,"Roms Hule 4, 1. sal",Til kapitalejeren i J.I. Holding ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",,2018-02-02,2018-02-23,Statsautoriseret revisor,,,,20222670.0,31158753.0,20222670.0,mne10093,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for J.I. Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Allan Lund,Jens Iversen,J.I. Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,Brande,2016-01-01,2016-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Brande,2017-12-31,2017-01-01,true,2018-02-02,Vejle,,,urn:ofk:oid:25097211,indberetninger-20180424,2.5097417999999996,31158753.0,,2018-04-04T00:04:41.061Z,2018-02-26T16:30:36.330Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AE-37-WG,2018-02-26T16:30:36.470Z,,,,125100440.0,,,,,,,,,,,,,,
31158753,2017-01-01,2017-12-31,c173,,http://regnskaber.virk.dk/35785113/ZG9rdW1lbnRsYWdlcjovLzAzL2UwLzllLzM5L2JmLzljYTktNDEzMy1hOGE4LTg3MmQzMTAxZWEwMQ.pdf,http://regnskaber.virk.dk/35785113/ZG9rdW1lbnRsYWdlcjovLzAzLzdlLzU1L2NiLzkyLzQ4NmYtNGM3YS1iZjQ1LTNkNTA4ZWY1Y2Y0Zg.xml,true,Vejle,7100.0,"4, 1. sal",Roms Hule,7330 Brande,Vestermarken 41,DK-7100 Vejle,"Roms Hule 4, 1. sal",Til kapitalejeren i J.I. Holding ApS,1.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",1091850.0,2018-02-02,2018-02-23,Statsautoriseret revisor,10000.0,196854.0,-196854.0,20222670.0,31158753.0,20222670.0,mne10093,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for J.I. Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Allan Lund,Jens Iversen,J.I. Holding ApS,BDO Statsautoriseret revisionsaktieselskab,1013536.0,6298907.0,Brande,2016-01-01,2016-12-31,3986667.0,5078517.0,-206854.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Brande,2017-12-31,2017-01-01,true,2018-02-02,Vejle,1091850.0,10000.0,urn:ofk:oid:25097211,indberetninger-20180424,2.5097417999999996,31158753.0,,2018-04-04T00:04:41.061Z,2018-02-26T16:30:36.330Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AE-37-WG,2018-02-26T16:30:36.470Z,,,,,,,,,,,,,,,,BDO Statsautoriseret revisionsaktieselskab,RevisionspÃ¥tegning,
31158753,2017-01-01,2017-12-31,c194,,http://regnskaber.virk.dk/35785113/ZG9rdW1lbnRsYWdlcjovLzAzL2UwLzllLzM5L2JmLzljYTktNDEzMy1hOGE4LTg3MmQzMTAxZWEwMQ.pdf,http://regnskaber.virk.dk/35785113/ZG9rdW1lbnRsYWdlcjovLzAzLzdlLzU1L2NiLzkyLzQ4NmYtNGM3YS1iZjQ1LTNkNTA4ZWY1Y2Y0Zg.xml,true,Vejle,7100.0,"4, 1. sal",Roms Hule,7330 Brande,Vestermarken 41,DK-7100 Vejle,"Roms Hule 4, 1. sal",Til kapitalejeren i J.I. Holding ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",,2018-02-02,2018-02-23,Statsautoriseret revisor,,,,20222670.0,31158753.0,20222670.0,mne10093,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for J.I. Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Allan Lund,Jens Iversen,J.I. Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,Brande,2016-01-01,2016-12-31,3986667.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Brande,2017-12-31,2017-01-01,true,2018-02-02,Vejle,,,urn:ofk:oid:25097211,indberetninger-20180424,2.5097417999999996,31158753.0,,2018-04-04T00:04:41.061Z,2018-02-26T16:30:36.330Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AE-37-WG,2018-02-26T16:30:36.470Z,,,,,,,,,,,,,,,,,,
31158753,2017-01-01,2017-12-31,c254,,http://regnskaber.virk.dk/35785113/ZG9rdW1lbnRsYWdlcjovLzAzL2UwLzllLzM5L2JmLzljYTktNDEzMy1hOGE4LTg3MmQzMTAxZWEwMQ.pdf,http://regnskaber.virk.dk/35785113/ZG9rdW1lbnRsYWdlcjovLzAzLzdlLzU1L2NiLzkyLzQ4NmYtNGM3YS1iZjQ1LTNkNTA4ZWY1Y2Y0Zg.xml,true,Vejle,7100.0,"4, 1. sal",Roms Hule,7330 Brande,Vestermarken 41,DK-7100 Vejle,"Roms Hule 4, 1. sal",Til kapitalejeren i J.I. Holding ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",,2018-02-02,2018-02-23,Statsautoriseret revisor,,,,20222670.0,31158753.0,20222670.0,mne10093,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for J.I. Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Allan Lund,Jens Iversen,J.I. Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,Brande,2016-01-01,2016-12-31,3986667.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Brande,2017-12-31,2017-01-01,true,2018-02-02,Vejle,,,urn:ofk:oid:25097211,indberetninger-20180424,2.5097417999999996,31158753.0,,2018-04-04T00:04:41.061Z,2018-02-26T16:30:36.330Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AE-37-WG,2018-02-26T16:30:36.470Z,,,,,,,,,,,,,,,,,,
31158753,2017-01-01,2017-12-31,c305,,http://regnskaber.virk.dk/35785113/ZG9rdW1lbnRsYWdlcjovLzAzL2UwLzllLzM5L2JmLzljYTktNDEzMy1hOGE4LTg3MmQzMTAxZWEwMQ.pdf,http://regnskaber.virk.dk/35785113/ZG9rdW1lbnRsYWdlcjovLzAzLzdlLzU1L2NiLzkyLzQ4NmYtNGM3YS1iZjQ1LTNkNTA4ZWY1Y2Y0Zg.xml,true,Vejle,7100.0,"4, 1. sal",Roms Hule,7330 Brande,Vestermarken 41,DK-7100 Vejle,"Roms Hule 4, 1. sal",Til kapitalejeren i J.I. Holding ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",,2018-02-02,2018-02-23,Statsautoriseret revisor,,,,20222670.0,31158753.0,20222670.0,mne10093,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for J.I. Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Allan Lund,Jens Iversen,J.I. Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,Brande,2016-01-01,2016-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Brande,2017-12-31,2017-01-01,true,2018-02-02,Vejle,,,urn:ofk:oid:25097211,indberetninger-20180424,2.5097417999999996,31158753.0,,2018-04-04T00:04:41.061Z,2018-02-26T16:30:36.330Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AE-37-WG,2018-02-26T16:30:36.470Z,,,,,,,,,,,,,,,,BDO Statsautoriseret revisionsaktieselskab,,
31158753,2017-01-01,2017-12-31,c637,,http://regnskaber.virk.dk/35785113/ZG9rdW1lbnRsYWdlcjovLzAzL2UwLzllLzM5L2JmLzljYTktNDEzMy1hOGE4LTg3MmQzMTAxZWEwMQ.pdf,http://regnskaber.virk.dk/35785113/ZG9rdW1lbnRsYWdlcjovLzAzLzdlLzU1L2NiLzkyLzQ4NmYtNGM3YS1iZjQ1LTNkNTA4ZWY1Y2Y0Zg.xml,true,Vejle,7100.0,"4, 1. sal",Roms Hule,7330 Brande,Vestermarken 41,DK-7100 Vejle,"Roms Hule 4, 1. sal",Til kapitalejeren i J.I. Holding ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",,2018-02-02,2018-02-23,Statsautoriseret revisor,,,,20222670.0,31158753.0,20222670.0,mne10093,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for J.I. Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Allan Lund,Jens Iversen,J.I. Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,Brande,2016-01-01,2016-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Brande,2017-12-31,2017-01-01,true,2018-02-02,Vejle,,,urn:ofk:oid:25097211,indberetninger-20180424,2.5097417999999996,31158753.0,,2018-04-04T00:04:41.061Z,2018-02-26T16:30:36.330Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AE-37-WG,2018-02-26T16:30:36.470Z,,,,,,,,,,,,,,,,,,Jette Iversen
