entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmailOfReportingEntity,EmployeeBenefitsExpense,ExternalExpenses,GrossResult,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,Revenue,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,ShorttermTaxReceivables,TaxExpense,TelephoneNumberOfReportingEntity,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,DepositsLongtermInvestmentsAndReceivables,Equity,FixturesFittingsToolsAndEquipment,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermTaxPayables,ShorttermTradeReceivables,NameAndSurnameOfMemberOfExecutiveBoard
33765010,2014-01-01,2014-12-31,c4,http://regnskaber.virk.dk/01056733/ZG9rdW1lbnRsYWdlcjovLzAzL2E1LzcxL2QwLzBkLzQ0ZGMtNDcyNS05NDE5LWM3OWRhNjRmMGI1Yg.xhtml,http://regnskaber.virk.dk/01056733/ZG9rdW1lbnRsYWdlcjovLzAzLzdmLzcyLzVhL2Y0LzU3YmQtNGI4NC05MDE5LTRlNjVhYWY1ZjYzYg.pdf,http://regnskaber.virk.dk/01056733/ZG9rdW1lbnRsYWdlcjovLzAzLzQ0L2Q5L2UyLzQwLzc2ZDUtNDFjYi05YmVlLTgxOWEyZWNlNzc2Zg.xml,true,KÃ¸benhavn V,1660.0,53.0,Dannebrogsgade,3500 VÃ¦rlÃ¸se,"Bymidten 75, 3 tv.",Regnskabsklasse B,2016-04-27,2016-05-19,78142.0,info@obscura.dk,949475.0,865532.0,966608.0,33765010.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Vibeke Bertelsen,Nordea Bank,OBSCURA ApS,Steen Sommer,1220.0,Frederiksberg,2014-01-01,2014-12-31,-49173.0,-62229.0,-61009.0,2015-12-31,2015-01-01,1832140.0,false,false,6000.0,-13056.0,53535850.0,false,false,Ingen bistand,urn:ofk:oid:22394329,indberetninger-20180424,2.5949533,33765010.0,,2018-03-28T22:32:05.555Z,2016-05-19T14:56:24.202Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AU-79-HU,2016-05-19T14:56:24.352Z,,,,,,,,,,,,,,,,,,,,,,
33765010,2014-01-01,2014-12-31,c6,http://regnskaber.virk.dk/01056733/ZG9rdW1lbnRsYWdlcjovLzAzL2E1LzcxL2QwLzBkLzQ0ZGMtNDcyNS05NDE5LWM3OWRhNjRmMGI1Yg.xhtml,http://regnskaber.virk.dk/01056733/ZG9rdW1lbnRsYWdlcjovLzAzLzdmLzcyLzVhL2Y0LzU3YmQtNGI4NC05MDE5LTRlNjVhYWY1ZjYzYg.pdf,http://regnskaber.virk.dk/01056733/ZG9rdW1lbnRsYWdlcjovLzAzLzQ0L2Q5L2UyLzQwLzc2ZDUtNDFjYi05YmVlLTgxOWEyZWNlNzc2Zg.xml,true,KÃ¸benhavn V,1660.0,53.0,Dannebrogsgade,3500 VÃ¦rlÃ¸se,"Bymidten 75, 3 tv.",Regnskabsklasse B,2016-04-27,2016-05-19,,info@obscura.dk,,,,33765010.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Vibeke Bertelsen,Nordea Bank,OBSCURA ApS,Steen Sommer,,Frederiksberg,2014-01-01,2014-12-31,-49173.0,,,2015-12-31,2015-01-01,,false,false,6000.0,,53535850.0,false,false,Ingen bistand,urn:ofk:oid:22394329,indberetninger-20180424,2.5949533,33765010.0,,2018-03-28T22:32:05.555Z,2016-05-19T14:56:24.202Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AU-79-HU,2016-05-19T14:56:24.352Z,,,,,,,,,,,,,,,,,,,,,,
33765010,2014-12-31,2014-12-31,c8,http://regnskaber.virk.dk/01056733/ZG9rdW1lbnRsYWdlcjovLzAzL2E1LzcxL2QwLzBkLzQ0ZGMtNDcyNS05NDE5LWM3OWRhNjRmMGI1Yg.xhtml,http://regnskaber.virk.dk/01056733/ZG9rdW1lbnRsYWdlcjovLzAzLzdmLzcyLzVhL2Y0LzU3YmQtNGI4NC05MDE5LTRlNjVhYWY1ZjYzYg.pdf,http://regnskaber.virk.dk/01056733/ZG9rdW1lbnRsYWdlcjovLzAzLzQ0L2Q5L2UyLzQwLzc2ZDUtNDFjYi05YmVlLTgxOWEyZWNlNzc2Zg.xml,true,KÃ¸benhavn V,1660.0,53.0,Dannebrogsgade,3500 VÃ¦rlÃ¸se,"Bymidten 75, 3 tv.",Regnskabsklasse B,2016-04-27,2016-05-19,,info@obscura.dk,,,,33765010.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Vibeke Bertelsen,Nordea Bank,OBSCURA ApS,Steen Sommer,,Frederiksberg,2014-01-01,2014-12-31,,,,2015-12-31,2015-01-01,,false,false,6000.0,,53535850.0,false,false,Ingen bistand,urn:ofk:oid:22394329,indberetninger-20180424,2.5949533,33765010.0,,2018-03-28T22:32:05.555Z,2016-05-19T14:56:24.202Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AU-79-HU,2016-05-19T14:56:24.352Z,444716.0,281569.0,80000.0,344578.0,14854.0,6000.0,167812.0,94138.0,444716.0,276904.0,6000.0,100138.0,150129.0,7530.0,94138.0,87812.0,276904.0,125000.0,63009.0,1775.0,40625.0,
33765010,2015-01-01,2015-01-01,c10,http://regnskaber.virk.dk/01056733/ZG9rdW1lbnRsYWdlcjovLzAzL2E1LzcxL2QwLzBkLzQ0ZGMtNDcyNS05NDE5LWM3OWRhNjRmMGI1Yg.xhtml,http://regnskaber.virk.dk/01056733/ZG9rdW1lbnRsYWdlcjovLzAzLzdmLzcyLzVhL2Y0LzU3YmQtNGI4NC05MDE5LTRlNjVhYWY1ZjYzYg.pdf,http://regnskaber.virk.dk/01056733/ZG9rdW1lbnRsYWdlcjovLzAzLzQ0L2Q5L2UyLzQwLzc2ZDUtNDFjYi05YmVlLTgxOWEyZWNlNzc2Zg.xml,true,KÃ¸benhavn V,1660.0,53.0,Dannebrogsgade,3500 VÃ¦rlÃ¸se,"Bymidten 75, 3 tv.",Regnskabsklasse B,2016-04-27,2016-05-19,,info@obscura.dk,,,,33765010.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Vibeke Bertelsen,Nordea Bank,OBSCURA ApS,Steen Sommer,,Frederiksberg,2014-01-01,2014-12-31,,,,2015-12-31,2015-01-01,,false,false,6000.0,,53535850.0,false,false,Ingen bistand,urn:ofk:oid:22394329,indberetninger-20180424,2.5949533,33765010.0,,2018-03-28T22:32:05.555Z,2016-05-19T14:56:24.202Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AU-79-HU,2016-05-19T14:56:24.352Z,,,,,,,87812.0,,,,,,,,,,,,,,,
33765010,2015-01-01,2015-01-01,c11,http://regnskaber.virk.dk/01056733/ZG9rdW1lbnRsYWdlcjovLzAzL2E1LzcxL2QwLzBkLzQ0ZGMtNDcyNS05NDE5LWM3OWRhNjRmMGI1Yg.xhtml,http://regnskaber.virk.dk/01056733/ZG9rdW1lbnRsYWdlcjovLzAzLzdmLzcyLzVhL2Y0LzU3YmQtNGI4NC05MDE5LTRlNjVhYWY1ZjYzYg.pdf,http://regnskaber.virk.dk/01056733/ZG9rdW1lbnRsYWdlcjovLzAzLzQ0L2Q5L2UyLzQwLzc2ZDUtNDFjYi05YmVlLTgxOWEyZWNlNzc2Zg.xml,true,KÃ¸benhavn V,1660.0,53.0,Dannebrogsgade,3500 VÃ¦rlÃ¸se,"Bymidten 75, 3 tv.",Regnskabsklasse B,2016-04-27,2016-05-19,,info@obscura.dk,,,,33765010.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Vibeke Bertelsen,Nordea Bank,OBSCURA ApS,Steen Sommer,,Frederiksberg,2014-01-01,2014-12-31,,,,2015-12-31,2015-01-01,,false,false,6000.0,,53535850.0,false,false,Ingen bistand,urn:ofk:oid:22394329,indberetninger-20180424,2.5949533,33765010.0,,2018-03-28T22:32:05.555Z,2016-05-19T14:56:24.202Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AU-79-HU,2016-05-19T14:56:24.352Z,,,,,,,0.0,,,,,,,,,,,,,,,
33765010,2015-01-01,2015-01-01,c12,http://regnskaber.virk.dk/01056733/ZG9rdW1lbnRsYWdlcjovLzAzL2E1LzcxL2QwLzBkLzQ0ZGMtNDcyNS05NDE5LWM3OWRhNjRmMGI1Yg.xhtml,http://regnskaber.virk.dk/01056733/ZG9rdW1lbnRsYWdlcjovLzAzLzdmLzcyLzVhL2Y0LzU3YmQtNGI4NC05MDE5LTRlNjVhYWY1ZjYzYg.pdf,http://regnskaber.virk.dk/01056733/ZG9rdW1lbnRsYWdlcjovLzAzLzQ0L2Q5L2UyLzQwLzc2ZDUtNDFjYi05YmVlLTgxOWEyZWNlNzc2Zg.xml,true,KÃ¸benhavn V,1660.0,53.0,Dannebrogsgade,3500 VÃ¦rlÃ¸se,"Bymidten 75, 3 tv.",Regnskabsklasse B,2016-04-27,2016-05-19,,info@obscura.dk,,,,33765010.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Vibeke Bertelsen,Nordea Bank,OBSCURA ApS,Steen Sommer,,Frederiksberg,2014-01-01,2014-12-31,,,,2015-12-31,2015-01-01,,false,false,6000.0,,53535850.0,false,false,Ingen bistand,urn:ofk:oid:22394329,indberetninger-20180424,2.5949533,33765010.0,,2018-03-28T22:32:05.555Z,2016-05-19T14:56:24.202Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AU-79-HU,2016-05-19T14:56:24.352Z,,,,,,,167812.0,,,,,,,,,,,,,,,
33765010,2015-01-01,2015-01-01,c9,http://regnskaber.virk.dk/01056733/ZG9rdW1lbnRsYWdlcjovLzAzL2E1LzcxL2QwLzBkLzQ0ZGMtNDcyNS05NDE5LWM3OWRhNjRmMGI1Yg.xhtml,http://regnskaber.virk.dk/01056733/ZG9rdW1lbnRsYWdlcjovLzAzLzdmLzcyLzVhL2Y0LzU3YmQtNGI4NC05MDE5LTRlNjVhYWY1ZjYzYg.pdf,http://regnskaber.virk.dk/01056733/ZG9rdW1lbnRsYWdlcjovLzAzLzQ0L2Q5L2UyLzQwLzc2ZDUtNDFjYi05YmVlLTgxOWEyZWNlNzc2Zg.xml,true,KÃ¸benhavn V,1660.0,53.0,Dannebrogsgade,3500 VÃ¦rlÃ¸se,"Bymidten 75, 3 tv.",Regnskabsklasse B,2016-04-27,2016-05-19,,info@obscura.dk,,,,33765010.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Vibeke Bertelsen,Nordea Bank,OBSCURA ApS,Steen Sommer,,Frederiksberg,2014-01-01,2014-12-31,,,,2015-12-31,2015-01-01,,false,false,6000.0,,53535850.0,false,false,Ingen bistand,urn:ofk:oid:22394329,indberetninger-20180424,2.5949533,33765010.0,,2018-03-28T22:32:05.555Z,2016-05-19T14:56:24.202Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AU-79-HU,2016-05-19T14:56:24.352Z,,,,,,,80000.0,,,,,,,,,,,,,,,
33765010,2015-01-01,2015-12-31,c0,http://regnskaber.virk.dk/01056733/ZG9rdW1lbnRsYWdlcjovLzAzL2E1LzcxL2QwLzBkLzQ0ZGMtNDcyNS05NDE5LWM3OWRhNjRmMGI1Yg.xhtml,http://regnskaber.virk.dk/01056733/ZG9rdW1lbnRsYWdlcjovLzAzLzdmLzcyLzVhL2Y0LzU3YmQtNGI4NC05MDE5LTRlNjVhYWY1ZjYzYg.pdf,http://regnskaber.virk.dk/01056733/ZG9rdW1lbnRsYWdlcjovLzAzLzQ0L2Q5L2UyLzQwLzc2ZDUtNDFjYi05YmVlLTgxOWEyZWNlNzc2Zg.xml,true,KÃ¸benhavn V,1660.0,53.0,Dannebrogsgade,3500 VÃ¦rlÃ¸se,"Bymidten 75, 3 tv.",Regnskabsklasse B,2016-04-27,2016-05-19,53109.0,info@obscura.dk,920155.0,1290700.0,901355.0,33765010.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Vibeke Bertelsen,Nordea Bank,OBSCURA ApS,Steen Sommer,2070.0,Frederiksberg,2014-01-01,2014-12-31,-88833.0,-73979.0,-71909.0,2015-12-31,2015-01-01,2192055.0,false,false,6000.0,14854.0,53535850.0,false,false,Ingen bistand,urn:ofk:oid:22394329,indberetninger-20180424,2.5949533,33765010.0,,2018-03-28T22:32:05.555Z,2016-05-19T14:56:24.202Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AU-79-HU,2016-05-19T14:56:24.352Z,,,,,,,,,,,,,,,,,,,,,,
33765010,2015-01-01,2015-12-31,c1,http://regnskaber.virk.dk/01056733/ZG9rdW1lbnRsYWdlcjovLzAzL2E1LzcxL2QwLzBkLzQ0ZGMtNDcyNS05NDE5LWM3OWRhNjRmMGI1Yg.xhtml,http://regnskaber.virk.dk/01056733/ZG9rdW1lbnRsYWdlcjovLzAzLzdmLzcyLzVhL2Y0LzU3YmQtNGI4NC05MDE5LTRlNjVhYWY1ZjYzYg.pdf,http://regnskaber.virk.dk/01056733/ZG9rdW1lbnRsYWdlcjovLzAzLzQ0L2Q5L2UyLzQwLzc2ZDUtNDFjYi05YmVlLTgxOWEyZWNlNzc2Zg.xml,true,KÃ¸benhavn V,1660.0,53.0,Dannebrogsgade,3500 VÃ¦rlÃ¸se,"Bymidten 75, 3 tv.",Regnskabsklasse B,2016-04-27,2016-05-19,,info@obscura.dk,,,,33765010.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Vibeke Bertelsen,Nordea Bank,OBSCURA ApS,Steen Sommer,,Frederiksberg,2014-01-01,2014-12-31,,,,2015-12-31,2015-01-01,,false,false,6000.0,,53535850.0,false,false,Ingen bistand,urn:ofk:oid:22394329,indberetninger-20180424,2.5949533,33765010.0,,2018-03-28T22:32:05.555Z,2016-05-19T14:56:24.202Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AU-79-HU,2016-05-19T14:56:24.352Z,,,,,,,,,,,,,,,,,,,,,,Vibeke Bertelsen
33765010,2015-01-01,2015-12-31,c13,http://regnskaber.virk.dk/01056733/ZG9rdW1lbnRsYWdlcjovLzAzL2E1LzcxL2QwLzBkLzQ0ZGMtNDcyNS05NDE5LWM3OWRhNjRmMGI1Yg.xhtml,http://regnskaber.virk.dk/01056733/ZG9rdW1lbnRsYWdlcjovLzAzLzdmLzcyLzVhL2Y0LzU3YmQtNGI4NC05MDE5LTRlNjVhYWY1ZjYzYg.pdf,http://regnskaber.virk.dk/01056733/ZG9rdW1lbnRsYWdlcjovLzAzLzQ0L2Q5L2UyLzQwLzc2ZDUtNDFjYi05YmVlLTgxOWEyZWNlNzc2Zg.xml,true,KÃ¸benhavn V,1660.0,53.0,Dannebrogsgade,3500 VÃ¦rlÃ¸se,"Bymidten 75, 3 tv.",Regnskabsklasse B,2016-04-27,2016-05-19,,info@obscura.dk,,,,33765010.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Vibeke Bertelsen,Nordea Bank,OBSCURA ApS,Steen Sommer,,Frederiksberg,2014-01-01,2014-12-31,-88833.0,,,2015-12-31,2015-01-01,,false,false,6000.0,,53535850.0,false,false,Ingen bistand,urn:ofk:oid:22394329,indberetninger-20180424,2.5949533,33765010.0,,2018-03-28T22:32:05.555Z,2016-05-19T14:56:24.202Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AU-79-HU,2016-05-19T14:56:24.352Z,,,,,,,,,,,,,,,,,,,,,,
