entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AuditorsReportsOtherReports,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DisclosureOfCollateralsAndAssetsPledgesAsSecurity,DisclosureOfContingentLiabilities,DisclosureOfMainActivitiesAndAccountingAndFinancialMatters,ExternalExpenses,GrossResult,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IncomeFromOtherLongtermInvestmentsAndReceivables,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpense,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,NoncurrentAssets,OtherLongtermInvestments,OtherShorttermPayables,OtherShorttermReceivables,ProposedDividend,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTaxPayables,ShorttermTaxReceivables,NameOfAuditFirm
26549809,2014-05-01,2015-04-30,c3,http://regnskaber.virk.dk/90894562/ZG9rdW1lbnRsYWdlcjovLzAzLzUwL2MwLzM1LzIyLzQzNTAtNDJhNi04Nzk5LWJmNTYxZDUwZmZlMw.xhtml,http://regnskaber.virk.dk/90894562/ZG9rdW1lbnRsYWdlcjovLzAzL2EwL2QxLzY3L2ZkLzQ0MjktNGRjYi04ZGZmLTM4MzZmNWEzMWRjYw.pdf,http://regnskaber.virk.dk/90894562/ZG9rdW1lbnRsYWdlcjovLzAzLzE2LzlhLzIyLzcyLzc1NWYtNDY1NC1iZGE5LTA3YTMxMDRiZmJkNA.xml,true,Esbjerg V,6710.0,Smedevej 33,Gistrup,9260.0,36.0,SÃ¸nder Tranders Bygade,6710 Esbjerg V,Smedevej 33,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-06-06,2016-06-09,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet beskÃ¦ftiger sig med forvaltning af formue.</p>",18053.0,-18053.0,13098891.0,26549809.0,207220.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jens Christian Rauhe,Bitten Rauhe,RAUHE 2 INVEST ApS,Ole V. Jakobsen,Gistrup,2014-05-01,2015-04-30,155617.0,189167.0,-18053.0,2016-04-30,2015-05-01,false,false,2016-06-01,Esbjerg V,33550.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22652261,indberetninger-20180424,2.5949402000000004,26549809.0,,2018-03-29T03:49:58.933Z,2016-06-09T11:44:25.963Z,regnskab,0.0,,2016-04-30,2015-05-01,X16-AY-83-NN,2016-06-09T11:44:26.091Z,,,,,,,,,,,,,,,,,,,
26549809,2014-05-01,2015-04-30,c5,http://regnskaber.virk.dk/90894562/ZG9rdW1lbnRsYWdlcjovLzAzLzUwL2MwLzM1LzIyLzQzNTAtNDJhNi04Nzk5LWJmNTYxZDUwZmZlMw.xhtml,http://regnskaber.virk.dk/90894562/ZG9rdW1lbnRsYWdlcjovLzAzL2EwL2QxLzY3L2ZkLzQ0MjktNGRjYi04ZGZmLTM4MzZmNWEzMWRjYw.pdf,http://regnskaber.virk.dk/90894562/ZG9rdW1lbnRsYWdlcjovLzAzLzE2LzlhLzIyLzcyLzc1NWYtNDY1NC1iZGE5LTA3YTMxMDRiZmJkNA.xml,true,Esbjerg V,6710.0,Smedevej 33,Gistrup,9260.0,36.0,SÃ¸nder Tranders Bygade,6710 Esbjerg V,Smedevej 33,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-06-06,2016-06-09,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet beskÃ¦ftiger sig med forvaltning af formue.</p>",,,13098891.0,26549809.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jens Christian Rauhe,Bitten Rauhe,RAUHE 2 INVEST ApS,Ole V. Jakobsen,Gistrup,2014-05-01,2015-04-30,100000.0,,,2016-04-30,2015-05-01,false,false,2016-06-01,Esbjerg V,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22652261,indberetninger-20180424,2.5949402000000004,26549809.0,,2018-03-29T03:49:58.933Z,2016-06-09T11:44:25.963Z,regnskab,0.0,,2016-04-30,2015-05-01,X16-AY-83-NN,2016-06-09T11:44:26.091Z,,,,,,,,,,,,,,,,,,,
26549809,2014-05-01,2015-04-30,c7,http://regnskaber.virk.dk/90894562/ZG9rdW1lbnRsYWdlcjovLzAzLzUwL2MwLzM1LzIyLzQzNTAtNDJhNi04Nzk5LWJmNTYxZDUwZmZlMw.xhtml,http://regnskaber.virk.dk/90894562/ZG9rdW1lbnRsYWdlcjovLzAzL2EwL2QxLzY3L2ZkLzQ0MjktNGRjYi04ZGZmLTM4MzZmNWEzMWRjYw.pdf,http://regnskaber.virk.dk/90894562/ZG9rdW1lbnRsYWdlcjovLzAzLzE2LzlhLzIyLzcyLzc1NWYtNDY1NC1iZGE5LTA3YTMxMDRiZmJkNA.xml,true,Esbjerg V,6710.0,Smedevej 33,Gistrup,9260.0,36.0,SÃ¸nder Tranders Bygade,6710 Esbjerg V,Smedevej 33,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-06-06,2016-06-09,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet beskÃ¦ftiger sig med forvaltning af formue.</p>",,,13098891.0,26549809.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jens Christian Rauhe,Bitten Rauhe,RAUHE 2 INVEST ApS,Ole V. Jakobsen,Gistrup,2014-05-01,2015-04-30,55617.0,,,2016-04-30,2015-05-01,false,false,2016-06-01,Esbjerg V,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22652261,indberetninger-20180424,2.5949402000000004,26549809.0,,2018-03-29T03:49:58.933Z,2016-06-09T11:44:25.963Z,regnskab,0.0,,2016-04-30,2015-05-01,X16-AY-83-NN,2016-06-09T11:44:26.091Z,,,,,,,,,,,,,,,,,,,
26549809,2015-04-30,2015-04-30,c9,http://regnskaber.virk.dk/90894562/ZG9rdW1lbnRsYWdlcjovLzAzLzUwL2MwLzM1LzIyLzQzNTAtNDJhNi04Nzk5LWJmNTYxZDUwZmZlMw.xhtml,http://regnskaber.virk.dk/90894562/ZG9rdW1lbnRsYWdlcjovLzAzL2EwL2QxLzY3L2ZkLzQ0MjktNGRjYi04ZGZmLTM4MzZmNWEzMWRjYw.pdf,http://regnskaber.virk.dk/90894562/ZG9rdW1lbnRsYWdlcjovLzAzLzE2LzlhLzIyLzcyLzc1NWYtNDY1NC1iZGE5LTA3YTMxMDRiZmJkNA.xml,true,Esbjerg V,6710.0,Smedevej 33,Gistrup,9260.0,36.0,SÃ¸nder Tranders Bygade,6710 Esbjerg V,Smedevej 33,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-06-06,2016-06-09,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet beskÃ¦ftiger sig med forvaltning af formue.</p>",,,13098891.0,26549809.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jens Christian Rauhe,Bitten Rauhe,RAUHE 2 INVEST ApS,Ole V. Jakobsen,Gistrup,2014-05-01,2015-04-30,,,,2016-04-30,2015-05-01,false,false,2016-06-01,Esbjerg V,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22652261,indberetninger-20180424,2.5949402000000004,26549809.0,,2018-03-29T03:49:58.933Z,2016-06-09T11:44:25.963Z,regnskab,0.0,,2016-04-30,2015-05-01,X16-AY-83-NN,2016-06-09T11:44:26.091Z,2086318.0,2492.0,125000.0,6663.0,1977568.0,2086318.0,108750.0,2079655.0,2079655.0,2079655.0,8750.0,0.0,100000.0,1852568.0,108750.0,4171.0,0.0,4171.0,
26549809,2015-05-01,2016-04-30,c0,http://regnskaber.virk.dk/90894562/ZG9rdW1lbnRsYWdlcjovLzAzLzUwL2MwLzM1LzIyLzQzNTAtNDJhNi04Nzk5LWJmNTYxZDUwZmZlMw.xhtml,http://regnskaber.virk.dk/90894562/ZG9rdW1lbnRsYWdlcjovLzAzL2EwL2QxLzY3L2ZkLzQ0MjktNGRjYi04ZGZmLTM4MzZmNWEzMWRjYw.pdf,http://regnskaber.virk.dk/90894562/ZG9rdW1lbnRsYWdlcjovLzAzLzE2LzlhLzIyLzcyLzc1NWYtNDY1NC1iZGE5LTA3YTMxMDRiZmJkNA.xml,true,Esbjerg V,6710.0,Smedevej 33,Gistrup,9260.0,36.0,SÃ¸nder Tranders Bygade,6710 Esbjerg V,Smedevej 33,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-06-06,2016-06-09,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet beskÃ¦ftiger sig med forvaltning af formue.</p>",19067.0,-19067.0,13098891.0,26549809.0,-73755.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jens Christian Rauhe,Bitten Rauhe,RAUHE 2 INVEST ApS,Ole V. Jakobsen,Gistrup,2014-05-01,2015-04-30,-71917.0,-92822.0,-19067.0,2016-04-30,2015-05-01,false,false,2016-06-01,Esbjerg V,-20905.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22652261,indberetninger-20180424,2.5949402000000004,26549809.0,,2018-03-29T03:49:58.933Z,2016-06-09T11:44:25.963Z,regnskab,0.0,,2016-04-30,2015-05-01,X16-AY-83-NN,2016-06-09T11:44:26.091Z,,,,,,,,,,,,,,,,,,,
26549809,2015-05-01,2016-04-30,c1,http://regnskaber.virk.dk/90894562/ZG9rdW1lbnRsYWdlcjovLzAzLzUwL2MwLzM1LzIyLzQzNTAtNDJhNi04Nzk5LWJmNTYxZDUwZmZlMw.xhtml,http://regnskaber.virk.dk/90894562/ZG9rdW1lbnRsYWdlcjovLzAzL2EwL2QxLzY3L2ZkLzQ0MjktNGRjYi04ZGZmLTM4MzZmNWEzMWRjYw.pdf,http://regnskaber.virk.dk/90894562/ZG9rdW1lbnRsYWdlcjovLzAzLzE2LzlhLzIyLzcyLzc1NWYtNDY1NC1iZGE5LTA3YTMxMDRiZmJkNA.xml,true,Esbjerg V,6710.0,Smedevej 33,Gistrup,9260.0,36.0,SÃ¸nder Tranders Bygade,6710 Esbjerg V,Smedevej 33,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-06-06,2016-06-09,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet beskÃ¦ftiger sig med forvaltning af formue.</p>",,,13098891.0,26549809.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jens Christian Rauhe,Bitten Rauhe,RAUHE 2 INVEST ApS,Ole V. Jakobsen,Gistrup,2014-05-01,2015-04-30,,,,2016-04-30,2015-05-01,false,false,2016-06-01,Esbjerg V,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22652261,indberetninger-20180424,2.5949402000000004,26549809.0,,2018-03-29T03:49:58.933Z,2016-06-09T11:44:25.963Z,regnskab,0.0,,2016-04-30,2015-05-01,X16-AY-83-NN,2016-06-09T11:44:26.091Z,,,,,,,,,,,,,,,,,,,JT Revision ApS
26549809,2015-05-01,2016-04-30,c2,http://regnskaber.virk.dk/90894562/ZG9rdW1lbnRsYWdlcjovLzAzLzUwL2MwLzM1LzIyLzQzNTAtNDJhNi04Nzk5LWJmNTYxZDUwZmZlMw.xhtml,http://regnskaber.virk.dk/90894562/ZG9rdW1lbnRsYWdlcjovLzAzL2EwL2QxLzY3L2ZkLzQ0MjktNGRjYi04ZGZmLTM4MzZmNWEzMWRjYw.pdf,http://regnskaber.virk.dk/90894562/ZG9rdW1lbnRsYWdlcjovLzAzLzE2LzlhLzIyLzcyLzc1NWYtNDY1NC1iZGE5LTA3YTMxMDRiZmJkNA.xml,true,Esbjerg V,6710.0,Smedevej 33,Gistrup,9260.0,36.0,SÃ¸nder Tranders Bygade,6710 Esbjerg V,Smedevej 33,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-06-06,2016-06-09,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet beskÃ¦ftiger sig med forvaltning af formue.</p>",,,13098891.0,26549809.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jens Christian Rauhe,Bitten Rauhe,RAUHE 2 INVEST ApS,Ole V. Jakobsen,Gistrup,2014-05-01,2015-04-30,,,,2016-04-30,2015-05-01,false,false,2016-06-01,Esbjerg V,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22652261,indberetninger-20180424,2.5949402000000004,26549809.0,,2018-03-29T03:49:58.933Z,2016-06-09T11:44:25.963Z,regnskab,0.0,,2016-04-30,2015-05-01,X16-AY-83-NN,2016-06-09T11:44:26.091Z,,,,,,,,,,,,,,,,,,,
26549809,2015-05-01,2016-04-30,c4,http://regnskaber.virk.dk/90894562/ZG9rdW1lbnRsYWdlcjovLzAzLzUwL2MwLzM1LzIyLzQzNTAtNDJhNi04Nzk5LWJmNTYxZDUwZmZlMw.xhtml,http://regnskaber.virk.dk/90894562/ZG9rdW1lbnRsYWdlcjovLzAzL2EwL2QxLzY3L2ZkLzQ0MjktNGRjYi04ZGZmLTM4MzZmNWEzMWRjYw.pdf,http://regnskaber.virk.dk/90894562/ZG9rdW1lbnRsYWdlcjovLzAzLzE2LzlhLzIyLzcyLzc1NWYtNDY1NC1iZGE5LTA3YTMxMDRiZmJkNA.xml,true,Esbjerg V,6710.0,Smedevej 33,Gistrup,9260.0,36.0,SÃ¸nder Tranders Bygade,6710 Esbjerg V,Smedevej 33,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-06-06,2016-06-09,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet beskÃ¦ftiger sig med forvaltning af formue.</p>",,,13098891.0,26549809.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jens Christian Rauhe,Bitten Rauhe,RAUHE 2 INVEST ApS,Ole V. Jakobsen,Gistrup,2014-05-01,2015-04-30,100000.0,,,2016-04-30,2015-05-01,false,false,2016-06-01,Esbjerg V,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22652261,indberetninger-20180424,2.5949402000000004,26549809.0,,2018-03-29T03:49:58.933Z,2016-06-09T11:44:25.963Z,regnskab,0.0,,2016-04-30,2015-05-01,X16-AY-83-NN,2016-06-09T11:44:26.091Z,,,,,,,,,,,,,,,,,,,
26549809,2015-05-01,2016-04-30,c6,http://regnskaber.virk.dk/90894562/ZG9rdW1lbnRsYWdlcjovLzAzLzUwL2MwLzM1LzIyLzQzNTAtNDJhNi04Nzk5LWJmNTYxZDUwZmZlMw.xhtml,http://regnskaber.virk.dk/90894562/ZG9rdW1lbnRsYWdlcjovLzAzL2EwL2QxLzY3L2ZkLzQ0MjktNGRjYi04ZGZmLTM4MzZmNWEzMWRjYw.pdf,http://regnskaber.virk.dk/90894562/ZG9rdW1lbnRsYWdlcjovLzAzLzE2LzlhLzIyLzcyLzc1NWYtNDY1NC1iZGE5LTA3YTMxMDRiZmJkNA.xml,true,Esbjerg V,6710.0,Smedevej 33,Gistrup,9260.0,36.0,SÃ¸nder Tranders Bygade,6710 Esbjerg V,Smedevej 33,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-06-06,2016-06-09,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet beskÃ¦ftiger sig med forvaltning af formue.</p>",,,13098891.0,26549809.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jens Christian Rauhe,Bitten Rauhe,RAUHE 2 INVEST ApS,Ole V. Jakobsen,Gistrup,2014-05-01,2015-04-30,-171917.0,,,2016-04-30,2015-05-01,false,false,2016-06-01,Esbjerg V,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22652261,indberetninger-20180424,2.5949402000000004,26549809.0,,2018-03-29T03:49:58.933Z,2016-06-09T11:44:25.963Z,regnskab,0.0,,2016-04-30,2015-05-01,X16-AY-83-NN,2016-06-09T11:44:26.091Z,,,,,,,,,,,,,,,,,,,
26549809,2016-04-30,2016-04-30,c8,http://regnskaber.virk.dk/90894562/ZG9rdW1lbnRsYWdlcjovLzAzLzUwL2MwLzM1LzIyLzQzNTAtNDJhNi04Nzk5LWJmNTYxZDUwZmZlMw.xhtml,http://regnskaber.virk.dk/90894562/ZG9rdW1lbnRsYWdlcjovLzAzL2EwL2QxLzY3L2ZkLzQ0MjktNGRjYi04ZGZmLTM4MzZmNWEzMWRjYw.pdf,http://regnskaber.virk.dk/90894562/ZG9rdW1lbnRsYWdlcjovLzAzLzE2LzlhLzIyLzcyLzc1NWYtNDY1NC1iZGE5LTA3YTMxMDRiZmJkNA.xml,true,Esbjerg V,6710.0,Smedevej 33,Gistrup,9260.0,36.0,SÃ¸nder Tranders Bygade,6710 Esbjerg V,Smedevej 33,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-06-06,2016-06-09,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet beskÃ¦ftiger sig med forvaltning af formue.</p>",,,13098891.0,26549809.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jens Christian Rauhe,Bitten Rauhe,RAUHE 2 INVEST ApS,Ole V. Jakobsen,Gistrup,2014-05-01,2015-04-30,,,,2016-04-30,2015-05-01,false,false,2016-06-01,Esbjerg V,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22652261,indberetninger-20180424,2.5949402000000004,26549809.0,,2018-03-29T03:49:58.933Z,2016-06-09T11:44:25.963Z,regnskab,0.0,,2016-04-30,2015-05-01,X16-AY-83-NN,2016-06-09T11:44:26.091Z,1917434.0,26530.0,125000.0,60978.0,1805651.0,1917434.0,111783.0,1856456.0,1856456.0,1856456.0,8750.0,20416.0,100000.0,1680651.0,111783.0,34448.0,3033.0,14032.0,
