entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfAuditorCountry,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,ClassOfReportingEntity,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditor,Equity,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,ProfitLoss,EmployeeBenefitsExpense,GrossProfitLoss,OtherEmployeeExpense,OtherFinanceExpenses,OtherFinanceIncome,PostemploymentBenefitExpense,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,SocialSecurityContributions,TaxExpenseOnOrdinaryActivities,WagesAndSalaries,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,Inventories,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,OtherShorttermPayables,OtherShorttermReceivables,PrepaymentsForGoods,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermTaxPayables,ShorttermTradePayables,DateOfApprovalOfAnnualReport,PlaceOfSignatureOfStatement,NameAndSurnameOfMemberOfExecutiveBoard
34087601,2011-08-01,2011-08-01,c723,http://regnskaber.virk.dk/10678043/Y3ZyLmRrOi8vcGRmcy8zNDA4NzYwMTtBcFM1MDQ1OTc7MjAxMjA4MDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/10678043/Y3ZyLmRrOi8veGJybHMvWC00Nzk4RDI4Ny0yMDE0MDYxMl8xMzU1MjJfODAz.xml,Danmark,KÃ¸benhavn Ã,2100.0,45.0,Stockholmsgade,KÃ¸benhavn Ã,2100.0,Envisor,c/o,"2100, KÃ¸benhavn Ã","Stockholmsgade, 45",kapitalejerne,Regnskabsklasse B,2014-06-06,2011-12-20,2014-06-06,statsautoriseret revisor,80000.0,34209936.0,34087601.0,34209936.0,Ãrsrapport,SÃ¸ren Poulsen,Richard Quentin Mortimer Cooper,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",Interactive Sports (Denmark) ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",KÃ¸benhavn,2013-12-31,2012-08-01,2014-06-06,KÃ¸benhavn,RevisionspÃ¥tegning,urn:ofk:oid:14461330,indberetninger-20180424,2.5124211,34087601.0,,2018-04-01T03:10:35.171Z,2014-06-12T22:00:00.000Z,regnskab,0.0,,2013-12-31,2012-08-01,14-4.256,2014-06-12T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34087601,2011-08-01,2011-08-01,c741,http://regnskaber.virk.dk/10678043/Y3ZyLmRrOi8vcGRmcy8zNDA4NzYwMTtBcFM1MDQ1OTc7MjAxMjA4MDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/10678043/Y3ZyLmRrOi8veGJybHMvWC00Nzk4RDI4Ny0yMDE0MDYxMl8xMzU1MjJfODAz.xml,Danmark,KÃ¸benhavn Ã,2100.0,45.0,Stockholmsgade,KÃ¸benhavn Ã,2100.0,Envisor,c/o,"2100, KÃ¸benhavn Ã","Stockholmsgade, 45",kapitalejerne,Regnskabsklasse B,2014-06-06,2011-12-20,2014-06-06,statsautoriseret revisor,0.0,34209936.0,34087601.0,34209936.0,Ãrsrapport,SÃ¸ren Poulsen,Richard Quentin Mortimer Cooper,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",Interactive Sports (Denmark) ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",KÃ¸benhavn,2013-12-31,2012-08-01,2014-06-06,KÃ¸benhavn,RevisionspÃ¥tegning,urn:ofk:oid:14461330,indberetninger-20180424,2.5124211,34087601.0,,2018-04-01T03:10:35.171Z,2014-06-12T22:00:00.000Z,regnskab,0.0,,2013-12-31,2012-08-01,14-4.256,2014-06-12T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34087601,2011-08-01,2012-07-31,c123,http://regnskaber.virk.dk/10678043/Y3ZyLmRrOi8vcGRmcy8zNDA4NzYwMTtBcFM1MDQ1OTc7MjAxMjA4MDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/10678043/Y3ZyLmRrOi8veGJybHMvWC00Nzk4RDI4Ny0yMDE0MDYxMl8xMzU1MjJfODAz.xml,Danmark,KÃ¸benhavn Ã,2100.0,45.0,Stockholmsgade,KÃ¸benhavn Ã,2100.0,Envisor,c/o,"2100, KÃ¸benhavn Ã","Stockholmsgade, 45",kapitalejerne,Regnskabsklasse B,2014-06-06,2011-12-20,2014-06-06,statsautoriseret revisor,,34209936.0,34087601.0,34209936.0,Ãrsrapport,SÃ¸ren Poulsen,Richard Quentin Mortimer Cooper,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",Interactive Sports (Denmark) ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",KÃ¸benhavn,2013-12-31,2012-08-01,2014-06-06,KÃ¸benhavn,RevisionspÃ¥tegning,urn:ofk:oid:14461330,indberetninger-20180424,2.5124211,34087601.0,,2018-04-01T03:10:35.171Z,2014-06-12T22:00:00.000Z,regnskab,0.0,,2013-12-31,2012-08-01,14-4.256,2014-06-12T22:00:00.000Z,-14000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34087601,2011-08-01,2012-07-31,c3,http://regnskaber.virk.dk/10678043/Y3ZyLmRrOi8vcGRmcy8zNDA4NzYwMTtBcFM1MDQ1OTc7MjAxMjA4MDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/10678043/Y3ZyLmRrOi8veGJybHMvWC00Nzk4RDI4Ny0yMDE0MDYxMl8xMzU1MjJfODAz.xml,Danmark,KÃ¸benhavn Ã,2100.0,45.0,Stockholmsgade,KÃ¸benhavn Ã,2100.0,Envisor,c/o,"2100, KÃ¸benhavn Ã","Stockholmsgade, 45",kapitalejerne,Regnskabsklasse B,2014-06-06,2011-12-20,2014-06-06,statsautoriseret revisor,,34209936.0,34087601.0,34209936.0,Ãrsrapport,SÃ¸ren Poulsen,Richard Quentin Mortimer Cooper,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",Interactive Sports (Denmark) ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",KÃ¸benhavn,2013-12-31,2012-08-01,2014-06-06,KÃ¸benhavn,RevisionspÃ¥tegning,urn:ofk:oid:14461330,indberetninger-20180424,2.5124211,34087601.0,,2018-04-01T03:10:35.171Z,2014-06-12T22:00:00.000Z,regnskab,0.0,,2013-12-31,2012-08-01,14-4.256,2014-06-12T22:00:00.000Z,-14000.0,0.0,-15000.0,0.0,4000.0,0.0,0.0,-19000.0,-15000.0,0.0,-5000.0,0.0,,,,,,,,,,,,,,,,,,,,
34087601,2011-08-01,2012-07-31,c742,http://regnskaber.virk.dk/10678043/Y3ZyLmRrOi8vcGRmcy8zNDA4NzYwMTtBcFM1MDQ1OTc7MjAxMjA4MDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/10678043/Y3ZyLmRrOi8veGJybHMvWC00Nzk4RDI4Ny0yMDE0MDYxMl8xMzU1MjJfODAz.xml,Danmark,KÃ¸benhavn Ã,2100.0,45.0,Stockholmsgade,KÃ¸benhavn Ã,2100.0,Envisor,c/o,"2100, KÃ¸benhavn Ã","Stockholmsgade, 45",kapitalejerne,Regnskabsklasse B,2014-06-06,2011-12-20,2014-06-06,statsautoriseret revisor,,34209936.0,34087601.0,34209936.0,Ãrsrapport,SÃ¸ren Poulsen,Richard Quentin Mortimer Cooper,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",Interactive Sports (Denmark) ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",KÃ¸benhavn,2013-12-31,2012-08-01,2014-06-06,KÃ¸benhavn,RevisionspÃ¥tegning,urn:ofk:oid:14461330,indberetninger-20180424,2.5124211,34087601.0,,2018-04-01T03:10:35.171Z,2014-06-12T22:00:00.000Z,regnskab,0.0,,2013-12-31,2012-08-01,14-4.256,2014-06-12T22:00:00.000Z,-14000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34087601,2012-07-31,2012-07-31,c4,http://regnskaber.virk.dk/10678043/Y3ZyLmRrOi8vcGRmcy8zNDA4NzYwMTtBcFM1MDQ1OTc7MjAxMjA4MDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/10678043/Y3ZyLmRrOi8veGJybHMvWC00Nzk4RDI4Ny0yMDE0MDYxMl8xMzU1MjJfODAz.xml,Danmark,KÃ¸benhavn Ã,2100.0,45.0,Stockholmsgade,KÃ¸benhavn Ã,2100.0,Envisor,c/o,"2100, KÃ¸benhavn Ã","Stockholmsgade, 45",kapitalejerne,Regnskabsklasse B,2014-06-06,2011-12-20,2014-06-06,statsautoriseret revisor,66000.0,34209936.0,34087601.0,34209936.0,Ãrsrapport,SÃ¸ren Poulsen,Richard Quentin Mortimer Cooper,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",Interactive Sports (Denmark) ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",KÃ¸benhavn,2013-12-31,2012-08-01,2014-06-06,KÃ¸benhavn,RevisionspÃ¥tegning,urn:ofk:oid:14461330,indberetninger-20180424,2.5124211,34087601.0,,2018-04-01T03:10:35.171Z,2014-06-12T22:00:00.000Z,regnskab,0.0,,2013-12-31,2012-08-01,14-4.256,2014-06-12T22:00:00.000Z,,,,,,,,,,,,,81000.0,76000.0,80000.0,81000.0,5000.0,0.0,81000.0,15000.0,15000.0,0.0,0.0,-14000.0,15000.0,0.0,5000.0,0.0,0.0,,,
34087601,2012-07-31,2012-07-31,c722,http://regnskaber.virk.dk/10678043/Y3ZyLmRrOi8vcGRmcy8zNDA4NzYwMTtBcFM1MDQ1OTc7MjAxMjA4MDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/10678043/Y3ZyLmRrOi8veGJybHMvWC00Nzk4RDI4Ny0yMDE0MDYxMl8xMzU1MjJfODAz.xml,Danmark,KÃ¸benhavn Ã,2100.0,45.0,Stockholmsgade,KÃ¸benhavn Ã,2100.0,Envisor,c/o,"2100, KÃ¸benhavn Ã","Stockholmsgade, 45",kapitalejerne,Regnskabsklasse B,2014-06-06,2011-12-20,2014-06-06,statsautoriseret revisor,80000.0,34209936.0,34087601.0,34209936.0,Ãrsrapport,SÃ¸ren Poulsen,Richard Quentin Mortimer Cooper,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",Interactive Sports (Denmark) ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",KÃ¸benhavn,2013-12-31,2012-08-01,2014-06-06,KÃ¸benhavn,RevisionspÃ¥tegning,urn:ofk:oid:14461330,indberetninger-20180424,2.5124211,34087601.0,,2018-04-01T03:10:35.171Z,2014-06-12T22:00:00.000Z,regnskab,0.0,,2013-12-31,2012-08-01,14-4.256,2014-06-12T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34087601,2012-07-31,2012-07-31,c743,http://regnskaber.virk.dk/10678043/Y3ZyLmRrOi8vcGRmcy8zNDA4NzYwMTtBcFM1MDQ1OTc7MjAxMjA4MDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/10678043/Y3ZyLmRrOi8veGJybHMvWC00Nzk4RDI4Ny0yMDE0MDYxMl8xMzU1MjJfODAz.xml,Danmark,KÃ¸benhavn Ã,2100.0,45.0,Stockholmsgade,KÃ¸benhavn Ã,2100.0,Envisor,c/o,"2100, KÃ¸benhavn Ã","Stockholmsgade, 45",kapitalejerne,Regnskabsklasse B,2014-06-06,2011-12-20,2014-06-06,statsautoriseret revisor,-14000.0,34209936.0,34087601.0,34209936.0,Ãrsrapport,SÃ¸ren Poulsen,Richard Quentin Mortimer Cooper,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",Interactive Sports (Denmark) ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",KÃ¸benhavn,2013-12-31,2012-08-01,2014-06-06,KÃ¸benhavn,RevisionspÃ¥tegning,urn:ofk:oid:14461330,indberetninger-20180424,2.5124211,34087601.0,,2018-04-01T03:10:35.171Z,2014-06-12T22:00:00.000Z,regnskab,0.0,,2013-12-31,2012-08-01,14-4.256,2014-06-12T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34087601,2012-08-01,2012-08-01,c199,http://regnskaber.virk.dk/10678043/Y3ZyLmRrOi8vcGRmcy8zNDA4NzYwMTtBcFM1MDQ1OTc7MjAxMjA4MDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/10678043/Y3ZyLmRrOi8veGJybHMvWC00Nzk4RDI4Ny0yMDE0MDYxMl8xMzU1MjJfODAz.xml,Danmark,KÃ¸benhavn Ã,2100.0,45.0,Stockholmsgade,KÃ¸benhavn Ã,2100.0,Envisor,c/o,"2100, KÃ¸benhavn Ã","Stockholmsgade, 45",kapitalejerne,Regnskabsklasse B,2014-06-06,2011-12-20,2014-06-06,statsautoriseret revisor,-14349.0,34209936.0,34087601.0,34209936.0,Ãrsrapport,SÃ¸ren Poulsen,Richard Quentin Mortimer Cooper,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",Interactive Sports (Denmark) ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",KÃ¸benhavn,2013-12-31,2012-08-01,2014-06-06,KÃ¸benhavn,RevisionspÃ¥tegning,urn:ofk:oid:14461330,indberetninger-20180424,2.5124211,34087601.0,,2018-04-01T03:10:35.171Z,2014-06-12T22:00:00.000Z,regnskab,0.0,,2013-12-31,2012-08-01,14-4.256,2014-06-12T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34087601,2012-08-01,2012-08-01,c430,http://regnskaber.virk.dk/10678043/Y3ZyLmRrOi8vcGRmcy8zNDA4NzYwMTtBcFM1MDQ1OTc7MjAxMjA4MDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/10678043/Y3ZyLmRrOi8veGJybHMvWC00Nzk4RDI4Ny0yMDE0MDYxMl8xMzU1MjJfODAz.xml,Danmark,KÃ¸benhavn Ã,2100.0,45.0,Stockholmsgade,KÃ¸benhavn Ã,2100.0,Envisor,c/o,"2100, KÃ¸benhavn Ã","Stockholmsgade, 45",kapitalejerne,Regnskabsklasse B,2014-06-06,2011-12-20,2014-06-06,statsautoriseret revisor,80000.0,34209936.0,34087601.0,34209936.0,Ãrsrapport,SÃ¸ren Poulsen,Richard Quentin Mortimer Cooper,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",Interactive Sports (Denmark) ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",KÃ¸benhavn,2013-12-31,2012-08-01,2014-06-06,KÃ¸benhavn,RevisionspÃ¥tegning,urn:ofk:oid:14461330,indberetninger-20180424,2.5124211,34087601.0,,2018-04-01T03:10:35.171Z,2014-06-12T22:00:00.000Z,regnskab,0.0,,2013-12-31,2012-08-01,14-4.256,2014-06-12T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
