entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DisclosureOfCollateralsAndAssetsPledgesAsSecurity,DisclosureOfContingentLiabilities,DisclosureOfMainActivitiesAndAccountingAndFinancialMatters,DisclosureOfMortgagesAndCollaterals,EmployeeBenefitsExpense,ExtraordinaryProfitLossBeforeTax,GrossResult,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,TaxExpense,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,FixturesFittingsToolsAndEquipment,LandAndBuildings,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,OtherShorttermPayables,PropertyPlantAndEquipment,Provisions,ProvisionsForDeferredTax,RetainedEarnings,ShorttermDebtToBanks,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermTradeReceivables
33388179,2013-01-01,2013-12-31,c2,http://regnskaber.virk.dk/97188333/Y3ZyLmRrOi8vcGRmcy8zMzM4ODE3OTtBcFM0ODY4Mzg7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/97188333/Y3ZyLmRrOi8veGJybHMvWC03RDEzMTIwQi0yMDE1MDIxM18xMjU5NDVfNjMw.xml,SÃ¸by ÃrÃ¸,5985.0,10.0,PrÃ¦stevÃ¦nget,2730 Herlev,HÃ¸rkÃ¦r 1A,Regnskabsklasse B,2015-02-13,2015-02-13,10000.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har afgivet virksomhedspant pÃ¥ kr. 750.000 overfor banken, med sikkerhed i alle selskabets aktiver.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets vÃ¦sentligste aktivitet bestÃ¥r i at udvikle og drive handel med internet baseret produkter og undervisnings virksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets anparter er pantsat overfor banken.</p>",1012973.0,-348462.0,710417.0,33388179.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Ditte Strachotta,Ditte Luise Strachotta,HUMAN PROGRESS ApS,Lokal Regnskaberne,35906.0,0.0,SÃ¸by,2013-01-01,2013-12-31,-357945.0,-348462.0,-312556.0,2014-12-31,2014-01-01,9483.0,DirektÃ¸r,Ingen bistand,urn:ofk:oid:13964973,indberetninger-20180424,2.512258,33388179.0,,2018-03-30T11:16:42.765Z,2015-02-13T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-155.276,2015-02-13T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,
33388179,2013-01-01,2013-12-31,c4,http://regnskaber.virk.dk/97188333/Y3ZyLmRrOi8vcGRmcy8zMzM4ODE3OTtBcFM0ODY4Mzg7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/97188333/Y3ZyLmRrOi8veGJybHMvWC03RDEzMTIwQi0yMDE1MDIxM18xMjU5NDVfNjMw.xml,SÃ¸by ÃrÃ¸,5985.0,10.0,PrÃ¦stevÃ¦nget,2730 Herlev,HÃ¸rkÃ¦r 1A,Regnskabsklasse B,2015-02-13,2015-02-13,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har afgivet virksomhedspant pÃ¥ kr. 750.000 overfor banken, med sikkerhed i alle selskabets aktiver.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets vÃ¦sentligste aktivitet bestÃ¥r i at udvikle og drive handel med internet baseret produkter og undervisnings virksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets anparter er pantsat overfor banken.</p>",,,,33388179.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Ditte Strachotta,Ditte Luise Strachotta,HUMAN PROGRESS ApS,Lokal Regnskaberne,,,SÃ¸by,2013-01-01,2013-12-31,0.0,,,2014-12-31,2014-01-01,,DirektÃ¸r,Ingen bistand,urn:ofk:oid:13964973,indberetninger-20180424,2.512258,33388179.0,,2018-03-30T11:16:42.765Z,2015-02-13T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-155.276,2015-02-13T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,
33388179,2013-01-01,2013-12-31,c6,http://regnskaber.virk.dk/97188333/Y3ZyLmRrOi8vcGRmcy8zMzM4ODE3OTtBcFM0ODY4Mzg7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/97188333/Y3ZyLmRrOi8veGJybHMvWC03RDEzMTIwQi0yMDE1MDIxM18xMjU5NDVfNjMw.xml,SÃ¸by ÃrÃ¸,5985.0,10.0,PrÃ¦stevÃ¦nget,2730 Herlev,HÃ¸rkÃ¦r 1A,Regnskabsklasse B,2015-02-13,2015-02-13,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har afgivet virksomhedspant pÃ¥ kr. 750.000 overfor banken, med sikkerhed i alle selskabets aktiver.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets vÃ¦sentligste aktivitet bestÃ¥r i at udvikle og drive handel med internet baseret produkter og undervisnings virksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets anparter er pantsat overfor banken.</p>",,,,33388179.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Ditte Strachotta,Ditte Luise Strachotta,HUMAN PROGRESS ApS,Lokal Regnskaberne,,,SÃ¸by,2013-01-01,2013-12-31,0.0,,,2014-12-31,2014-01-01,,DirektÃ¸r,Ingen bistand,urn:ofk:oid:13964973,indberetninger-20180424,2.512258,33388179.0,,2018-03-30T11:16:42.765Z,2015-02-13T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-155.276,2015-02-13T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,
33388179,2013-01-01,2013-12-31,c8,http://regnskaber.virk.dk/97188333/Y3ZyLmRrOi8vcGRmcy8zMzM4ODE3OTtBcFM0ODY4Mzg7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/97188333/Y3ZyLmRrOi8veGJybHMvWC03RDEzMTIwQi0yMDE1MDIxM18xMjU5NDVfNjMw.xml,SÃ¸by ÃrÃ¸,5985.0,10.0,PrÃ¦stevÃ¦nget,2730 Herlev,HÃ¸rkÃ¦r 1A,Regnskabsklasse B,2015-02-13,2015-02-13,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har afgivet virksomhedspant pÃ¥ kr. 750.000 overfor banken, med sikkerhed i alle selskabets aktiver.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets vÃ¦sentligste aktivitet bestÃ¥r i at udvikle og drive handel med internet baseret produkter og undervisnings virksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets anparter er pantsat overfor banken.</p>",,,,33388179.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Ditte Strachotta,Ditte Luise Strachotta,HUMAN PROGRESS ApS,Lokal Regnskaberne,,,SÃ¸by,2013-01-01,2013-12-31,-357945.0,,,2014-12-31,2014-01-01,,DirektÃ¸r,Ingen bistand,urn:ofk:oid:13964973,indberetninger-20180424,2.512258,33388179.0,,2018-03-30T11:16:42.765Z,2015-02-13T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-155.276,2015-02-13T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,
33388179,2013-12-31,2013-12-31,c10,http://regnskaber.virk.dk/97188333/Y3ZyLmRrOi8vcGRmcy8zMzM4ODE3OTtBcFM0ODY4Mzg7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/97188333/Y3ZyLmRrOi8veGJybHMvWC03RDEzMTIwQi0yMDE1MDIxM18xMjU5NDVfNjMw.xml,SÃ¸by ÃrÃ¸,5985.0,10.0,PrÃ¦stevÃ¦nget,2730 Herlev,HÃ¸rkÃ¦r 1A,Regnskabsklasse B,2015-02-13,2015-02-13,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har afgivet virksomhedspant pÃ¥ kr. 750.000 overfor banken, med sikkerhed i alle selskabets aktiver.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets vÃ¦sentligste aktivitet bestÃ¥r i at udvikle og drive handel med internet baseret produkter og undervisnings virksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets anparter er pantsat overfor banken.</p>",,,,33388179.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Ditte Strachotta,Ditte Luise Strachotta,HUMAN PROGRESS ApS,Lokal Regnskaberne,,,SÃ¸by,2013-01-01,2013-12-31,,,,2014-12-31,2014-01-01,,DirektÃ¸r,Ingen bistand,urn:ofk:oid:13964973,indberetninger-20180424,2.512258,33388179.0,,2018-03-30T11:16:42.765Z,2015-02-13T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-155.276,2015-02-13T23:00:00.000Z,429128.0,0.0,80000.0,84128.0,-125486.0,110000.0,135000.0,429128.0,551414.0,100000.0,100000.0,345000.0,143574.0,245000.0,3200.0,3200.0,-205486.0,407840.0,551414.0,0.0,84128.0,84128.0
33388179,2014-01-01,2014-12-31,c0,http://regnskaber.virk.dk/97188333/Y3ZyLmRrOi8vcGRmcy8zMzM4ODE3OTtBcFM0ODY4Mzg7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/97188333/Y3ZyLmRrOi8veGJybHMvWC03RDEzMTIwQi0yMDE1MDIxM18xMjU5NDVfNjMw.xml,SÃ¸by ÃrÃ¸,5985.0,10.0,PrÃ¦stevÃ¦nget,2730 Herlev,HÃ¸rkÃ¦r 1A,Regnskabsklasse B,2015-02-13,2015-02-13,10000.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har afgivet virksomhedspant pÃ¥ kr. 750.000 overfor banken, med sikkerhed i alle selskabets aktiver.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets vÃ¦sentligste aktivitet bestÃ¥r i at udvikle og drive handel med internet baseret produkter og undervisnings virksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets anparter er pantsat overfor banken.</p>",1236366.0,41806.0,1324063.0,33388179.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Ditte Strachotta,Ditte Luise Strachotta,HUMAN PROGRESS ApS,Lokal Regnskaberne,37541.0,1650.0,SÃ¸by,2013-01-01,2013-12-31,41806.0,41806.0,77697.0,2014-12-31,2014-01-01,0.0,DirektÃ¸r,Ingen bistand,urn:ofk:oid:13964973,indberetninger-20180424,2.512258,33388179.0,,2018-03-30T11:16:42.765Z,2015-02-13T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-155.276,2015-02-13T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,
33388179,2014-01-01,2014-12-31,c1,http://regnskaber.virk.dk/97188333/Y3ZyLmRrOi8vcGRmcy8zMzM4ODE3OTtBcFM0ODY4Mzg7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/97188333/Y3ZyLmRrOi8veGJybHMvWC03RDEzMTIwQi0yMDE1MDIxM18xMjU5NDVfNjMw.xml,SÃ¸by ÃrÃ¸,5985.0,10.0,PrÃ¦stevÃ¦nget,2730 Herlev,HÃ¸rkÃ¦r 1A,Regnskabsklasse B,2015-02-13,2015-02-13,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har afgivet virksomhedspant pÃ¥ kr. 750.000 overfor banken, med sikkerhed i alle selskabets aktiver.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets vÃ¦sentligste aktivitet bestÃ¥r i at udvikle og drive handel med internet baseret produkter og undervisnings virksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets anparter er pantsat overfor banken.</p>",,,,33388179.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Ditte Strachotta,Ditte Luise Strachotta,HUMAN PROGRESS ApS,Lokal Regnskaberne,,,SÃ¸by,2013-01-01,2013-12-31,,,,2014-12-31,2014-01-01,,DirektÃ¸r,Ingen bistand,urn:ofk:oid:13964973,indberetninger-20180424,2.512258,33388179.0,,2018-03-30T11:16:42.765Z,2015-02-13T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-155.276,2015-02-13T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,
33388179,2014-01-01,2014-12-31,c3,http://regnskaber.virk.dk/97188333/Y3ZyLmRrOi8vcGRmcy8zMzM4ODE3OTtBcFM0ODY4Mzg7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/97188333/Y3ZyLmRrOi8veGJybHMvWC03RDEzMTIwQi0yMDE1MDIxM18xMjU5NDVfNjMw.xml,SÃ¸by ÃrÃ¸,5985.0,10.0,PrÃ¦stevÃ¦nget,2730 Herlev,HÃ¸rkÃ¦r 1A,Regnskabsklasse B,2015-02-13,2015-02-13,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har afgivet virksomhedspant pÃ¥ kr. 750.000 overfor banken, med sikkerhed i alle selskabets aktiver.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets vÃ¦sentligste aktivitet bestÃ¥r i at udvikle og drive handel med internet baseret produkter og undervisnings virksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets anparter er pantsat overfor banken.</p>",,,,33388179.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Ditte Strachotta,Ditte Luise Strachotta,HUMAN PROGRESS ApS,Lokal Regnskaberne,,,SÃ¸by,2013-01-01,2013-12-31,0.0,,,2014-12-31,2014-01-01,,DirektÃ¸r,Ingen bistand,urn:ofk:oid:13964973,indberetninger-20180424,2.512258,33388179.0,,2018-03-30T11:16:42.765Z,2015-02-13T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-155.276,2015-02-13T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,
33388179,2014-01-01,2014-12-31,c5,http://regnskaber.virk.dk/97188333/Y3ZyLmRrOi8vcGRmcy8zMzM4ODE3OTtBcFM0ODY4Mzg7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/97188333/Y3ZyLmRrOi8veGJybHMvWC03RDEzMTIwQi0yMDE1MDIxM18xMjU5NDVfNjMw.xml,SÃ¸by ÃrÃ¸,5985.0,10.0,PrÃ¦stevÃ¦nget,2730 Herlev,HÃ¸rkÃ¦r 1A,Regnskabsklasse B,2015-02-13,2015-02-13,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har afgivet virksomhedspant pÃ¥ kr. 750.000 overfor banken, med sikkerhed i alle selskabets aktiver.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets vÃ¦sentligste aktivitet bestÃ¥r i at udvikle og drive handel med internet baseret produkter og undervisnings virksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets anparter er pantsat overfor banken.</p>",,,,33388179.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Ditte Strachotta,Ditte Luise Strachotta,HUMAN PROGRESS ApS,Lokal Regnskaberne,,,SÃ¸by,2013-01-01,2013-12-31,0.0,,,2014-12-31,2014-01-01,,DirektÃ¸r,Ingen bistand,urn:ofk:oid:13964973,indberetninger-20180424,2.512258,33388179.0,,2018-03-30T11:16:42.765Z,2015-02-13T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-155.276,2015-02-13T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,
33388179,2014-01-01,2014-12-31,c7,http://regnskaber.virk.dk/97188333/Y3ZyLmRrOi8vcGRmcy8zMzM4ODE3OTtBcFM0ODY4Mzg7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/97188333/Y3ZyLmRrOi8veGJybHMvWC03RDEzMTIwQi0yMDE1MDIxM18xMjU5NDVfNjMw.xml,SÃ¸by ÃrÃ¸,5985.0,10.0,PrÃ¦stevÃ¦nget,2730 Herlev,HÃ¸rkÃ¦r 1A,Regnskabsklasse B,2015-02-13,2015-02-13,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har afgivet virksomhedspant pÃ¥ kr. 750.000 overfor banken, med sikkerhed i alle selskabets aktiver.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets vÃ¦sentligste aktivitet bestÃ¥r i at udvikle og drive handel med internet baseret produkter og undervisnings virksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets anparter er pantsat overfor banken.</p>",,,,33388179.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Ditte Strachotta,Ditte Luise Strachotta,HUMAN PROGRESS ApS,Lokal Regnskaberne,,,SÃ¸by,2013-01-01,2013-12-31,41806.0,,,2014-12-31,2014-01-01,,DirektÃ¸r,Ingen bistand,urn:ofk:oid:13964973,indberetninger-20180424,2.512258,33388179.0,,2018-03-30T11:16:42.765Z,2015-02-13T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-155.276,2015-02-13T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,
