entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,CurrentTaxExpense,DateOfApprovalOfAnnualReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditor,DividendIncomeRelatedToInvestments,DividendPaid,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherExternalExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,RevaluationsOfInvestmentsOfTheYear,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,TitleOfMemberOfSupervisoryBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,OtherShorttermPayables,ProposedDividendRecognisedInEquity,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesDividendsFromGroupEnterprises,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxReceivables,AccumulatedRevaluationsOfInvestments,InvestmentsGross,NameOfAuditFirm,NameAndSurnameOfMemberOfSupervisoryBoard
18894599,2014-04-01,2015-03-31,c1,,http://regnskaber.virk.dk/99549881/ZG9rdW1lbnRsYWdlcjovLzAzLzZjL2Q5L2FlLzQ2LzY3MWQtNDFhNS04MjgwLTk2MGM2ZWIxOWYyNQ.pdf,http://regnskaber.virk.dk/99549881/ZG9rdW1lbnRsYWdlcjovLzAzLzU5L2FjLzQ3L2U2L2M0M2YtNDAwZS05MTFiLTA1ZWIyNGVlOTBiMg.xml,1.0,Vejle,7100.0,"4, 1. sal",Roms Hule,8722 Hedensted,Snedkervej 5,DK-7100 Vejle,"Roms Hule 4, 1. sal",Regnskabsklasse B,2595.0,2016-05-03,1995-10-01,2016-05-19,Statsautoriseret revisor,-4875000.0,-3890000.0,20222670.0,18894599.0,20222670.0,3077089.0,Ãrsrapport,Bent Skov,Preben Kirkeby,Preben Kirkeby,NWG Holding A/S,BDO Statsautoriseret revisionsaktieselskab,-10618.0,26.0,Hedensted,3069092.0,3066497.0,3066471.0,Hedensted,2016-03-31,2015-04-01,4794631.0,2016-05-03,Vejle,2595.0,Formand,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:22395507,indberetninger-20180424,2.5097342,18894599.0,,2018-03-28T22:38:09.808Z,2016-05-20T05:14:43.844Z,regnskab,0.0,,2016-03-31,2015-04-01,X16-AW-28-PG,2016-05-20T05:14:43.964Z,,,,,,,,,,,,,,,,,,,,,,,,
18894599,2014-04-01,2015-03-31,c14,,http://regnskaber.virk.dk/99549881/ZG9rdW1lbnRsYWdlcjovLzAzLzZjL2Q5L2FlLzQ2LzY3MWQtNDFhNS04MjgwLTk2MGM2ZWIxOWYyNQ.pdf,http://regnskaber.virk.dk/99549881/ZG9rdW1lbnRsYWdlcjovLzAzLzU5L2FjLzQ3L2U2L2M0M2YtNDAwZS05MTFiLTA1ZWIyNGVlOTBiMg.xml,1.0,Vejle,7100.0,"4, 1. sal",Roms Hule,8722 Hedensted,Snedkervej 5,DK-7100 Vejle,"Roms Hule 4, 1. sal",Regnskabsklasse B,,2016-05-03,1995-10-01,2016-05-19,Statsautoriseret revisor,-4875000.0,-3890000.0,20222670.0,18894599.0,20222670.0,,Ãrsrapport,Bent Skov,Preben Kirkeby,Preben Kirkeby,NWG Holding A/S,BDO Statsautoriseret revisionsaktieselskab,,,Hedensted,-822911.0,,,Hedensted,2016-03-31,2015-04-01,4794631.0,2016-05-03,Vejle,,Formand,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:22395507,indberetninger-20180424,2.5097342,18894599.0,,2018-03-28T22:38:09.808Z,2016-05-20T05:14:43.844Z,regnskab,0.0,,2016-03-31,2015-04-01,X16-AW-28-PG,2016-05-20T05:14:43.964Z,,,,,,,,,,,,,,,,,,,,,,,,
18894599,2014-04-01,2015-03-31,c30,,http://regnskaber.virk.dk/99549881/ZG9rdW1lbnRsYWdlcjovLzAzLzZjL2Q5L2FlLzQ2LzY3MWQtNDFhNS04MjgwLTk2MGM2ZWIxOWYyNQ.pdf,http://regnskaber.virk.dk/99549881/ZG9rdW1lbnRsYWdlcjovLzAzLzU5L2FjLzQ3L2U2L2M0M2YtNDAwZS05MTFiLTA1ZWIyNGVlOTBiMg.xml,1.0,Vejle,7100.0,"4, 1. sal",Roms Hule,8722 Hedensted,Snedkervej 5,DK-7100 Vejle,"Roms Hule 4, 1. sal",Regnskabsklasse B,,2016-05-03,1995-10-01,2016-05-19,Statsautoriseret revisor,-4875000.0,-3890000.0,20222670.0,18894599.0,20222670.0,,Ãrsrapport,Bent Skov,Preben Kirkeby,Preben Kirkeby,NWG Holding A/S,BDO Statsautoriseret revisionsaktieselskab,,,Hedensted,2003.0,,,Hedensted,2016-03-31,2015-04-01,4794631.0,2016-05-03,Vejle,,Formand,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:22395507,indberetninger-20180424,2.5097342,18894599.0,,2018-03-28T22:38:09.808Z,2016-05-20T05:14:43.844Z,regnskab,0.0,,2016-03-31,2015-04-01,X16-AW-28-PG,2016-05-20T05:14:43.964Z,,,,,,,,,,,,,,,,,,,,,,,,
18894599,2014-04-01,2015-03-31,c6,,http://regnskaber.virk.dk/99549881/ZG9rdW1lbnRsYWdlcjovLzAzLzZjL2Q5L2FlLzQ2LzY3MWQtNDFhNS04MjgwLTk2MGM2ZWIxOWYyNQ.pdf,http://regnskaber.virk.dk/99549881/ZG9rdW1lbnRsYWdlcjovLzAzLzU5L2FjLzQ3L2U2L2M0M2YtNDAwZS05MTFiLTA1ZWIyNGVlOTBiMg.xml,1.0,Vejle,7100.0,"4, 1. sal",Roms Hule,8722 Hedensted,Snedkervej 5,DK-7100 Vejle,"Roms Hule 4, 1. sal",Regnskabsklasse B,,2016-05-03,1995-10-01,2016-05-19,Statsautoriseret revisor,-4875000.0,-3890000.0,20222670.0,18894599.0,20222670.0,,Ãrsrapport,Bent Skov,Preben Kirkeby,Preben Kirkeby,NWG Holding A/S,BDO Statsautoriseret revisionsaktieselskab,,,Hedensted,3890000.0,,,Hedensted,2016-03-31,2015-04-01,4794631.0,2016-05-03,Vejle,,Formand,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:22395507,indberetninger-20180424,2.5097342,18894599.0,,2018-03-28T22:38:09.808Z,2016-05-20T05:14:43.844Z,regnskab,0.0,,2016-03-31,2015-04-01,X16-AW-28-PG,2016-05-20T05:14:43.964Z,,,,,,,,,,,,,,,,,,,,,,,,
18894599,2015-03-31,2015-03-31,c4,,http://regnskaber.virk.dk/99549881/ZG9rdW1lbnRsYWdlcjovLzAzLzZjL2Q5L2FlLzQ2LzY3MWQtNDFhNS04MjgwLTk2MGM2ZWIxOWYyNQ.pdf,http://regnskaber.virk.dk/99549881/ZG9rdW1lbnRsYWdlcjovLzAzLzU5L2FjLzQ3L2U2L2M0M2YtNDAwZS05MTFiLTA1ZWIyNGVlOTBiMg.xml,1.0,Vejle,7100.0,"4, 1. sal",Roms Hule,8722 Hedensted,Snedkervej 5,DK-7100 Vejle,"Roms Hule 4, 1. sal",Regnskabsklasse B,,2016-05-03,1995-10-01,2016-05-19,Statsautoriseret revisor,-4875000.0,-3890000.0,20222670.0,18894599.0,20222670.0,,Ãrsrapport,Bent Skov,Preben Kirkeby,Preben Kirkeby,NWG Holding A/S,BDO Statsautoriseret revisionsaktieselskab,,,Hedensted,,,,Hedensted,2016-03-31,2015-04-01,4794631.0,2016-05-03,Vejle,,Formand,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:22395507,indberetninger-20180424,2.5097342,18894599.0,,2018-03-28T22:38:09.808Z,2016-05-20T05:14:43.844Z,regnskab,0.0,,2016-03-31,2015-04-01,X16-AW-28-PG,2016-05-20T05:14:43.964Z,8223765.0,18124.0,610000.0,3929803.0,8216265.0,8223765.0,7500.0,4293962.0,4293962.0,4293962.0,7500.0,3890000.0,2258005.0,1458260.0,7500.0,0.0,3911679.0,3900000.0,9084.0,2595.0,,,,
18894599,2015-04-01,2015-04-01,c113,,http://regnskaber.virk.dk/99549881/ZG9rdW1lbnRsYWdlcjovLzAzLzZjL2Q5L2FlLzQ2LzY3MWQtNDFhNS04MjgwLTk2MGM2ZWIxOWYyNQ.pdf,http://regnskaber.virk.dk/99549881/ZG9rdW1lbnRsYWdlcjovLzAzLzU5L2FjLzQ3L2U2L2M0M2YtNDAwZS05MTFiLTA1ZWIyNGVlOTBiMg.xml,1.0,Vejle,7100.0,"4, 1. sal",Roms Hule,8722 Hedensted,Snedkervej 5,DK-7100 Vejle,"Roms Hule 4, 1. sal",Regnskabsklasse B,,2016-05-03,1995-10-01,2016-05-19,Statsautoriseret revisor,-4875000.0,-3890000.0,20222670.0,18894599.0,20222670.0,,Ãrsrapport,Bent Skov,Preben Kirkeby,Preben Kirkeby,NWG Holding A/S,BDO Statsautoriseret revisionsaktieselskab,,,Hedensted,,,,Hedensted,2016-03-31,2015-04-01,4794631.0,2016-05-03,Vejle,,Formand,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:22395507,indberetninger-20180424,2.5097342,18894599.0,,2018-03-28T22:38:09.808Z,2016-05-20T05:14:43.844Z,regnskab,0.0,,2016-03-31,2015-04-01,X16-AW-28-PG,2016-05-20T05:14:43.964Z,,,,,,,,,,,,,,,,,,,,,2258005.0,2035957.0,,
18894599,2015-04-01,2015-04-01,c137,,http://regnskaber.virk.dk/99549881/ZG9rdW1lbnRsYWdlcjovLzAzLzZjL2Q5L2FlLzQ2LzY3MWQtNDFhNS04MjgwLTk2MGM2ZWIxOWYyNQ.pdf,http://regnskaber.virk.dk/99549881/ZG9rdW1lbnRsYWdlcjovLzAzLzU5L2FjLzQ3L2U2L2M0M2YtNDAwZS05MTFiLTA1ZWIyNGVlOTBiMg.xml,1.0,Vejle,7100.0,"4, 1. sal",Roms Hule,8722 Hedensted,Snedkervej 5,DK-7100 Vejle,"Roms Hule 4, 1. sal",Regnskabsklasse B,,2016-05-03,1995-10-01,2016-05-19,Statsautoriseret revisor,-4875000.0,-3890000.0,20222670.0,18894599.0,20222670.0,,Ãrsrapport,Bent Skov,Preben Kirkeby,Preben Kirkeby,NWG Holding A/S,BDO Statsautoriseret revisionsaktieselskab,,,Hedensted,,,,Hedensted,2016-03-31,2015-04-01,4794631.0,2016-05-03,Vejle,,Formand,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:22395507,indberetninger-20180424,2.5097342,18894599.0,,2018-03-28T22:38:09.808Z,2016-05-20T05:14:43.844Z,regnskab,0.0,,2016-03-31,2015-04-01,X16-AW-28-PG,2016-05-20T05:14:43.964Z,,,,,610000.0,,,,,,,,,,,,,,,,,,,
18894599,2015-04-01,2015-04-01,c146,,http://regnskaber.virk.dk/99549881/ZG9rdW1lbnRsYWdlcjovLzAzLzZjL2Q5L2FlLzQ2LzY3MWQtNDFhNS04MjgwLTk2MGM2ZWIxOWYyNQ.pdf,http://regnskaber.virk.dk/99549881/ZG9rdW1lbnRsYWdlcjovLzAzLzU5L2FjLzQ3L2U2L2M0M2YtNDAwZS05MTFiLTA1ZWIyNGVlOTBiMg.xml,1.0,Vejle,7100.0,"4, 1. sal",Roms Hule,8722 Hedensted,Snedkervej 5,DK-7100 Vejle,"Roms Hule 4, 1. sal",Regnskabsklasse B,,2016-05-03,1995-10-01,2016-05-19,Statsautoriseret revisor,-4875000.0,-3890000.0,20222670.0,18894599.0,20222670.0,,Ãrsrapport,Bent Skov,Preben Kirkeby,Preben Kirkeby,NWG Holding A/S,BDO Statsautoriseret revisionsaktieselskab,,,Hedensted,,,,Hedensted,2016-03-31,2015-04-01,4794631.0,2016-05-03,Vejle,,Formand,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:22395507,indberetninger-20180424,2.5097342,18894599.0,,2018-03-28T22:38:09.808Z,2016-05-20T05:14:43.844Z,regnskab,0.0,,2016-03-31,2015-04-01,X16-AW-28-PG,2016-05-20T05:14:43.964Z,,,,,2258005.0,,,,,,,,,,,,,,,,,,,
18894599,2015-04-01,2015-04-01,c158,,http://regnskaber.virk.dk/99549881/ZG9rdW1lbnRsYWdlcjovLzAzLzZjL2Q5L2FlLzQ2LzY3MWQtNDFhNS04MjgwLTk2MGM2ZWIxOWYyNQ.pdf,http://regnskaber.virk.dk/99549881/ZG9rdW1lbnRsYWdlcjovLzAzLzU5L2FjLzQ3L2U2L2M0M2YtNDAwZS05MTFiLTA1ZWIyNGVlOTBiMg.xml,1.0,Vejle,7100.0,"4, 1. sal",Roms Hule,8722 Hedensted,Snedkervej 5,DK-7100 Vejle,"Roms Hule 4, 1. sal",Regnskabsklasse B,,2016-05-03,1995-10-01,2016-05-19,Statsautoriseret revisor,-4875000.0,-3890000.0,20222670.0,18894599.0,20222670.0,,Ãrsrapport,Bent Skov,Preben Kirkeby,Preben Kirkeby,NWG Holding A/S,BDO Statsautoriseret revisionsaktieselskab,,,Hedensted,,,,Hedensted,2016-03-31,2015-04-01,4794631.0,2016-05-03,Vejle,,Formand,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:22395507,indberetninger-20180424,2.5097342,18894599.0,,2018-03-28T22:38:09.808Z,2016-05-20T05:14:43.844Z,regnskab,0.0,,2016-03-31,2015-04-01,X16-AW-28-PG,2016-05-20T05:14:43.964Z,,,,,1458260.0,,,,,,,,,,,,,,,,,,,
18894599,2015-04-01,2015-04-01,c161,,http://regnskaber.virk.dk/99549881/ZG9rdW1lbnRsYWdlcjovLzAzLzZjL2Q5L2FlLzQ2LzY3MWQtNDFhNS04MjgwLTk2MGM2ZWIxOWYyNQ.pdf,http://regnskaber.virk.dk/99549881/ZG9rdW1lbnRsYWdlcjovLzAzLzU5L2FjLzQ3L2U2L2M0M2YtNDAwZS05MTFiLTA1ZWIyNGVlOTBiMg.xml,1.0,Vejle,7100.0,"4, 1. sal",Roms Hule,8722 Hedensted,Snedkervej 5,DK-7100 Vejle,"Roms Hule 4, 1. sal",Regnskabsklasse B,,2016-05-03,1995-10-01,2016-05-19,Statsautoriseret revisor,-4875000.0,-3890000.0,20222670.0,18894599.0,20222670.0,,Ãrsrapport,Bent Skov,Preben Kirkeby,Preben Kirkeby,NWG Holding A/S,BDO Statsautoriseret revisionsaktieselskab,,,Hedensted,,,,Hedensted,2016-03-31,2015-04-01,4794631.0,2016-05-03,Vejle,,Formand,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:22395507,indberetninger-20180424,2.5097342,18894599.0,,2018-03-28T22:38:09.808Z,2016-05-20T05:14:43.844Z,regnskab,0.0,,2016-03-31,2015-04-01,X16-AW-28-PG,2016-05-20T05:14:43.964Z,,,,,3890000.0,,,,,,,,,,,,,,,,,,,
