entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,AverageNumberOfEmployees,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfAuditFirm,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,GrossProfitLoss,OtherFinanceExpenses,OtherOperatingExpenses,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContractWorkInProgress,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,DeferredIncomeAssets,Equity,FixturesFittingsToolsAndEquipment,Inventories,LeaseholdImprovements,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,NoncurrentAssets,OtherLongtermInvestments,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,RawMaterialsAndConsumables,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermTradePayables,ShorttermTradeReceivables,NameAndSurnameOfMemberOfExecutiveBoard,NameAndSurnameOfMemberOfSupervisoryBoard,TitleOfMemberOfSupervisoryBoard
30277074,2016-07-01,2017-06-30,ID_12,,http://regnskaber.virk.dk/47077203/ZG9rdW1lbnRsYWdlcjovLzAzL2Q0L2FiLzA4L2ZmLzZiZDMtNDIyZi1iNjdkLWM3ZTA2ODEzZTJmMA.pdf,http://regnskaber.virk.dk/47077203/ZG9rdW1lbnRsYWdlcjovLzAzL2VjL2I4LzI3LzczL2Y4NjgtNGRkNy1hMWM2LTQyYTJlMWMyY2NjZg.xml,true,"Otterup, 5450",Ãrkebyvej 1 C,Til kapitalejerne i TÃ¸mrerfirma Madsen A/S,28.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018.",2018-09-18,2018-09-18,2007-02-20,2018-09-20,17128973.0,30277074.0,17128973.0,mne11062,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018 for TÃ¸mrerfirma Madsen A/S.,Ãrsrapport,JÃ¸rgen L. Hansen,Ulrik Madsen,"UNIK-REVISION, Otterup Registreret Revisionsanpartsselskab",Nordfyns Bank A/S,TÃ¸mrerfirma Madsen A/S,"UNIK-REVISION, Otterup Registreret Revisionsanpartsselskab",SÃ¸ndersÃ¸,2016-07-01,2017-06-30,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Nordfyns, 480",2018-06-30,2017-07-01,false,2018-09-18,Otterup,Bestyrelsesmedlem/DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:26182128,indberetninger-20180424,2.5118417999999996,30277074.0,AWZSbDyC5OzuYdPkFCMk,2018-10-08T06:45:42.037Z,2018-10-08T06:45:15.867Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-AZ-08-QN,2018-10-08T06:45:16.122Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30277074,2016-07-01,2017-06-30,ID_13,,http://regnskaber.virk.dk/47077203/ZG9rdW1lbnRsYWdlcjovLzAzL2Q0L2FiLzA4L2ZmLzZiZDMtNDIyZi1iNjdkLWM3ZTA2ODEzZTJmMA.pdf,http://regnskaber.virk.dk/47077203/ZG9rdW1lbnRsYWdlcjovLzAzL2VjL2I4LzI3LzczL2Y4NjgtNGRkNy1hMWM2LTQyYTJlMWMyY2NjZg.xml,true,"Otterup, 5450",Ãrkebyvej 1 C,Til kapitalejerne i TÃ¸mrerfirma Madsen A/S,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018.",2018-09-18,2018-09-18,2007-02-20,2018-09-20,17128973.0,30277074.0,17128973.0,mne11062,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018 for TÃ¸mrerfirma Madsen A/S.,Ãrsrapport,JÃ¸rgen L. Hansen,Ulrik Madsen,"UNIK-REVISION, Otterup Registreret Revisionsanpartsselskab",Nordfyns Bank A/S,TÃ¸mrerfirma Madsen A/S,"UNIK-REVISION, Otterup Registreret Revisionsanpartsselskab",SÃ¸ndersÃ¸,2016-07-01,2017-06-30,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Nordfyns, 480",2018-06-30,2017-07-01,false,2018-09-18,Otterup,Bestyrelsesmedlem/DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:26182128,indberetninger-20180424,2.5118417999999996,30277074.0,AWZSbDyC5OzuYdPkFCMk,2018-10-08T06:45:42.037Z,2018-10-08T06:45:15.867Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-AZ-08-QN,2018-10-08T06:45:16.122Z,178705.0,7755037.0,8042486.0,95949.0,0.0,5944.0,12795.0,108744.0,6851.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30277074,2016-07-01,2017-06-30,ID_15,,http://regnskaber.virk.dk/47077203/ZG9rdW1lbnRsYWdlcjovLzAzL2Q0L2FiLzA4L2ZmLzZiZDMtNDIyZi1iNjdkLWM3ZTA2ODEzZTJmMA.pdf,http://regnskaber.virk.dk/47077203/ZG9rdW1lbnRsYWdlcjovLzAzL2VjL2I4LzI3LzczL2Y4NjgtNGRkNy1hMWM2LTQyYTJlMWMyY2NjZg.xml,true,"Otterup, 5450",Ãrkebyvej 1 C,Til kapitalejerne i TÃ¸mrerfirma Madsen A/S,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018.",2018-09-18,2018-09-18,2007-02-20,2018-09-20,17128973.0,30277074.0,17128973.0,mne11062,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018 for TÃ¸mrerfirma Madsen A/S.,Ãrsrapport,JÃ¸rgen L. Hansen,Ulrik Madsen,"UNIK-REVISION, Otterup Registreret Revisionsanpartsselskab",Nordfyns Bank A/S,TÃ¸mrerfirma Madsen A/S,"UNIK-REVISION, Otterup Registreret Revisionsanpartsselskab",SÃ¸ndersÃ¸,2016-07-01,2017-06-30,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Nordfyns, 480",2018-06-30,2017-07-01,false,2018-09-18,Otterup,Bestyrelsesmedlem/DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:26182128,indberetninger-20180424,2.5118417999999996,30277074.0,AWZSbDyC5OzuYdPkFCMk,2018-10-08T06:45:42.037Z,2018-10-08T06:45:15.867Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-AZ-08-QN,2018-10-08T06:45:16.122Z,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30277074,2016-07-01,2017-06-30,ID_17,,http://regnskaber.virk.dk/47077203/ZG9rdW1lbnRsYWdlcjovLzAzL2Q0L2FiLzA4L2ZmLzZiZDMtNDIyZi1iNjdkLWM3ZTA2ODEzZTJmMA.pdf,http://regnskaber.virk.dk/47077203/ZG9rdW1lbnRsYWdlcjovLzAzL2VjL2I4LzI3LzczL2Y4NjgtNGRkNy1hMWM2LTQyYTJlMWMyY2NjZg.xml,true,"Otterup, 5450",Ãrkebyvej 1 C,Til kapitalejerne i TÃ¸mrerfirma Madsen A/S,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018.",2018-09-18,2018-09-18,2007-02-20,2018-09-20,17128973.0,30277074.0,17128973.0,mne11062,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018 for TÃ¸mrerfirma Madsen A/S.,Ãrsrapport,JÃ¸rgen L. Hansen,Ulrik Madsen,"UNIK-REVISION, Otterup Registreret Revisionsanpartsselskab",Nordfyns Bank A/S,TÃ¸mrerfirma Madsen A/S,"UNIK-REVISION, Otterup Registreret Revisionsanpartsselskab",SÃ¸ndersÃ¸,2016-07-01,2017-06-30,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Nordfyns, 480",2018-06-30,2017-07-01,false,2018-09-18,Otterup,Bestyrelsesmedlem/DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:26182128,indberetninger-20180424,2.5118417999999996,30277074.0,AWZSbDyC5OzuYdPkFCMk,2018-10-08T06:45:42.037Z,2018-10-08T06:45:15.867Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-AZ-08-QN,2018-10-08T06:45:16.122Z,,,,,,-5944.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30277074,2017-06-30,2017-06-30,ID_10,,http://regnskaber.virk.dk/47077203/ZG9rdW1lbnRsYWdlcjovLzAzL2Q0L2FiLzA4L2ZmLzZiZDMtNDIyZi1iNjdkLWM3ZTA2ODEzZTJmMA.pdf,http://regnskaber.virk.dk/47077203/ZG9rdW1lbnRsYWdlcjovLzAzL2VjL2I4LzI3LzczL2Y4NjgtNGRkNy1hMWM2LTQyYTJlMWMyY2NjZg.xml,true,"Otterup, 5450",Ãrkebyvej 1 C,Til kapitalejerne i TÃ¸mrerfirma Madsen A/S,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018.",2018-09-18,2018-09-18,2007-02-20,2018-09-20,17128973.0,30277074.0,17128973.0,mne11062,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018 for TÃ¸mrerfirma Madsen A/S.,Ãrsrapport,JÃ¸rgen L. Hansen,Ulrik Madsen,"UNIK-REVISION, Otterup Registreret Revisionsanpartsselskab",Nordfyns Bank A/S,TÃ¸mrerfirma Madsen A/S,"UNIK-REVISION, Otterup Registreret Revisionsanpartsselskab",SÃ¸ndersÃ¸,2016-07-01,2017-06-30,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Nordfyns, 480",2018-06-30,2017-07-01,false,2018-09-18,Otterup,Bestyrelsesmedlem/DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:26182128,indberetninger-20180424,2.5118417999999996,30277074.0,AWZSbDyC5OzuYdPkFCMk,2018-10-08T06:45:42.037Z,2018-10-08T06:45:15.867Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-AZ-08-QN,2018-10-08T06:45:16.122Z,,,,,,,,,,5460788.0,316377.0,1151520.0,900000.0,4626546.0,17993.0,124537.0,1568960.0,469139.0,546285.0,355103.0,5460788.0,3891828.0,10000.0,834242.0,10000.0,1134552.0,43778.0,824242.0,0.0,546285.0,668960.0,3891828.0,1560324.0,7683.0,3763884.0,1189269.0,2426056.0,,,
30277074,2017-07-01,2018-06-30,ID_0,,http://regnskaber.virk.dk/47077203/ZG9rdW1lbnRsYWdlcjovLzAzL2Q0L2FiLzA4L2ZmLzZiZDMtNDIyZi1iNjdkLWM3ZTA2ODEzZTJmMA.pdf,http://regnskaber.virk.dk/47077203/ZG9rdW1lbnRsYWdlcjovLzAzL2VjL2I4LzI3LzczL2Y4NjgtNGRkNy1hMWM2LTQyYTJlMWMyY2NjZg.xml,true,"Otterup, 5450",Ãrkebyvej 1 C,Til kapitalejerne i TÃ¸mrerfirma Madsen A/S,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018.",2018-09-18,2018-09-18,2007-02-20,2018-09-20,17128973.0,30277074.0,17128973.0,mne11062,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018 for TÃ¸mrerfirma Madsen A/S.,Ãrsrapport,JÃ¸rgen L. Hansen,Ulrik Madsen,"UNIK-REVISION, Otterup Registreret Revisionsanpartsselskab",Nordfyns Bank A/S,TÃ¸mrerfirma Madsen A/S,"UNIK-REVISION, Otterup Registreret Revisionsanpartsselskab",SÃ¸ndersÃ¸,2016-07-01,2017-06-30,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Nordfyns, 480",2018-06-30,2017-07-01,false,2018-09-18,Otterup,Bestyrelsesmedlem/DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:26182128,indberetninger-20180424,2.5118417999999996,30277074.0,AWZSbDyC5OzuYdPkFCMk,2018-10-08T06:45:42.037Z,2018-10-08T06:45:15.867Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-AZ-08-QN,2018-10-08T06:45:16.122Z,186326.0,7897539.0,8778461.0,94023.0,23550.0,432789.0,577023.0,671046.0,144234.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30277074,2017-07-01,2018-06-30,ID_1,,http://regnskaber.virk.dk/47077203/ZG9rdW1lbnRsYWdlcjovLzAzL2Q0L2FiLzA4L2ZmLzZiZDMtNDIyZi1iNjdkLWM3ZTA2ODEzZTJmMA.pdf,http://regnskaber.virk.dk/47077203/ZG9rdW1lbnRsYWdlcjovLzAzL2VjL2I4LzI3LzczL2Y4NjgtNGRkNy1hMWM2LTQyYTJlMWMyY2NjZg.xml,true,"Otterup, 5450",Ãrkebyvej 1 C,Til kapitalejerne i TÃ¸mrerfirma Madsen A/S,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018.",2018-09-18,2018-09-18,2007-02-20,2018-09-20,17128973.0,30277074.0,17128973.0,mne11062,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018 for TÃ¸mrerfirma Madsen A/S.,Ãrsrapport,JÃ¸rgen L. Hansen,Ulrik Madsen,"UNIK-REVISION, Otterup Registreret Revisionsanpartsselskab",Nordfyns Bank A/S,TÃ¸mrerfirma Madsen A/S,"UNIK-REVISION, Otterup Registreret Revisionsanpartsselskab",SÃ¸ndersÃ¸,2016-07-01,2017-06-30,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Nordfyns, 480",2018-06-30,2017-07-01,false,2018-09-18,Otterup,Bestyrelsesmedlem/DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:26182128,indberetninger-20180424,2.5118417999999996,30277074.0,AWZSbDyC5OzuYdPkFCMk,2018-10-08T06:45:42.037Z,2018-10-08T06:45:15.867Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-AZ-08-QN,2018-10-08T06:45:16.122Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30277074,2017-07-01,2018-06-30,ID_11,,http://regnskaber.virk.dk/47077203/ZG9rdW1lbnRsYWdlcjovLzAzL2Q0L2FiLzA4L2ZmLzZiZDMtNDIyZi1iNjdkLWM3ZTA2ODEzZTJmMA.pdf,http://regnskaber.virk.dk/47077203/ZG9rdW1lbnRsYWdlcjovLzAzL2VjL2I4LzI3LzczL2Y4NjgtNGRkNy1hMWM2LTQyYTJlMWMyY2NjZg.xml,true,"Otterup, 5450",Ãrkebyvej 1 C,Til kapitalejerne i TÃ¸mrerfirma Madsen A/S,25.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018.",2018-09-18,2018-09-18,2007-02-20,2018-09-20,17128973.0,30277074.0,17128973.0,mne11062,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018 for TÃ¸mrerfirma Madsen A/S.,Ãrsrapport,JÃ¸rgen L. Hansen,Ulrik Madsen,"UNIK-REVISION, Otterup Registreret Revisionsanpartsselskab",Nordfyns Bank A/S,TÃ¸mrerfirma Madsen A/S,"UNIK-REVISION, Otterup Registreret Revisionsanpartsselskab",SÃ¸ndersÃ¸,2016-07-01,2017-06-30,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Nordfyns, 480",2018-06-30,2017-07-01,false,2018-09-18,Otterup,Bestyrelsesmedlem/DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:26182128,indberetninger-20180424,2.5118417999999996,30277074.0,AWZSbDyC5OzuYdPkFCMk,2018-10-08T06:45:42.037Z,2018-10-08T06:45:15.867Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-AZ-08-QN,2018-10-08T06:45:16.122Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30277074,2017-07-01,2018-06-30,ID_14,,http://regnskaber.virk.dk/47077203/ZG9rdW1lbnRsYWdlcjovLzAzL2Q0L2FiLzA4L2ZmLzZiZDMtNDIyZi1iNjdkLWM3ZTA2ODEzZTJmMA.pdf,http://regnskaber.virk.dk/47077203/ZG9rdW1lbnRsYWdlcjovLzAzL2VjL2I4LzI3LzczL2Y4NjgtNGRkNy1hMWM2LTQyYTJlMWMyY2NjZg.xml,true,"Otterup, 5450",Ãrkebyvej 1 C,Til kapitalejerne i TÃ¸mrerfirma Madsen A/S,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018.",2018-09-18,2018-09-18,2007-02-20,2018-09-20,17128973.0,30277074.0,17128973.0,mne11062,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018 for TÃ¸mrerfirma Madsen A/S.,Ãrsrapport,JÃ¸rgen L. Hansen,Ulrik Madsen,"UNIK-REVISION, Otterup Registreret Revisionsanpartsselskab",Nordfyns Bank A/S,TÃ¸mrerfirma Madsen A/S,"UNIK-REVISION, Otterup Registreret Revisionsanpartsselskab",SÃ¸ndersÃ¸,2016-07-01,2017-06-30,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Nordfyns, 480",2018-06-30,2017-07-01,false,2018-09-18,Otterup,Bestyrelsesmedlem/DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:26182128,indberetninger-20180424,2.5118417999999996,30277074.0,AWZSbDyC5OzuYdPkFCMk,2018-10-08T06:45:42.037Z,2018-10-08T06:45:15.867Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-AZ-08-QN,2018-10-08T06:45:16.122Z,,,,,,-400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30277074,2017-07-01,2018-06-30,ID_16,,http://regnskaber.virk.dk/47077203/ZG9rdW1lbnRsYWdlcjovLzAzL2Q0L2FiLzA4L2ZmLzZiZDMtNDIyZi1iNjdkLWM3ZTA2ODEzZTJmMA.pdf,http://regnskaber.virk.dk/47077203/ZG9rdW1lbnRsYWdlcjovLzAzL2VjL2I4LzI3LzczL2Y4NjgtNGRkNy1hMWM2LTQyYTJlMWMyY2NjZg.xml,true,"Otterup, 5450",Ãrkebyvej 1 C,Til kapitalejerne i TÃ¸mrerfirma Madsen A/S,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018.",2018-09-18,2018-09-18,2007-02-20,2018-09-20,17128973.0,30277074.0,17128973.0,mne11062,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018 for TÃ¸mrerfirma Madsen A/S.,Ãrsrapport,JÃ¸rgen L. Hansen,Ulrik Madsen,"UNIK-REVISION, Otterup Registreret Revisionsanpartsselskab",Nordfyns Bank A/S,TÃ¸mrerfirma Madsen A/S,"UNIK-REVISION, Otterup Registreret Revisionsanpartsselskab",SÃ¸ndersÃ¸,2016-07-01,2017-06-30,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Nordfyns, 480",2018-06-30,2017-07-01,false,2018-09-18,Otterup,Bestyrelsesmedlem/DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:26182128,indberetninger-20180424,2.5118417999999996,30277074.0,AWZSbDyC5OzuYdPkFCMk,2018-10-08T06:45:42.037Z,2018-10-08T06:45:15.867Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-AZ-08-QN,2018-10-08T06:45:16.122Z,,,,,,-32789.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
