entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,AdjustmentsForCurrentTaxOfPriorPeriod,AdjustmentsForDeferredTax,AverageNumberOfEmployees,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfAnnualReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditor,DividendPaid,EmployeeBenefitsExpense,ExternalExpenses,GrossProfitLoss,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PostemploymentBenefitExpense,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,SocialSecurityContributions,TaxExpenseOnOrdinaryActivities,WagesAndSalaries,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentDeferredTaxAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,OtherShorttermInvestments,OtherShorttermReceivables,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTaxReceivables,ShorttermTradePayables,NameOfAuditFirm,TypeOfAuditorAssistance
25169786,2017-05-01,2018-04-30,c175,,http://regnskaber.virk.dk/68796152/ZG9rdW1lbnRsYWdlcjovLzAzL2IwLzg4L2Q5L2I2LzBmYWItNDc5ZC04ZTUzLWVlMDZmN2Y2M2RmOA.pdf,http://regnskaber.virk.dk/68796152/ZG9rdW1lbnRsYWdlcjovLzAzL2JkLzllLzAwLzE2Lzg2MjUtNGU1Yi04MGZmLWM3ZjdmNmE0Yzg4ZQ.xml,true,BrÃ¸nderslev,9700.0,10.0,Torvet,2791 DragÃ¸r,EnglÃ¸kken 33,DK-9700 BrÃ¸nderslev,Torvet 10,Til kapitalejeren i Lynge Jensen Holding ApS,-50577.0,-1.0,1.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. april 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. maj 2018 - 30. april 2019.",2019-05-10,2000-01-28,2019-05-10,Statsautoriseret revisor,-466693.0,363366.0,26438.0,-26438.0,20222670.0,25169786.0,20222670.0,mne35391,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. maj 2018 - 30. april 2019 for Lynge Jensen Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jacob Rask,Lynge VadskÃ¦r,Lynge VadskÃ¦r,Lynge Jensen Holding ApS,BDO Statsautoriseret revisionsaktieselskab,436219.0,596126.0,DragÃ¸r,3408.0,2017-05-01,2018-04-30,-179319.0,-229897.0,-389804.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,DragÃ¸r,2019-04-30,2018-05-01,true,2019-05-10,BrÃ¸nderslev,1094.0,-50578.0,358864.0,urn:ofk:oid:27134232,indberetninger-20180424,2.5118417999999996,25169786.0,AWq1WonJRYGX6_YTHqaz,2019-05-14T07:59:50.651Z,2019-05-14T07:59:30.127Z,regnskab,0.0,,2019-04-30,2018-05-01,X19-BD-34-QV,2019-05-14T07:59:30.277Z,,,,,,,,,,,,,,,,,,
25169786,2017-05-01,2018-04-30,c214,,http://regnskaber.virk.dk/68796152/ZG9rdW1lbnRsYWdlcjovLzAzL2IwLzg4L2Q5L2I2LzBmYWItNDc5ZC04ZTUzLWVlMDZmN2Y2M2RmOA.pdf,http://regnskaber.virk.dk/68796152/ZG9rdW1lbnRsYWdlcjovLzAzL2JkLzllLzAwLzE2Lzg2MjUtNGU1Yi04MGZmLWM3ZjdmNmE0Yzg4ZQ.xml,true,BrÃ¸nderslev,9700.0,10.0,Torvet,2791 DragÃ¸r,EnglÃ¸kken 33,DK-9700 BrÃ¸nderslev,Torvet 10,Til kapitalejeren i Lynge Jensen Holding ApS,,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. april 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. maj 2018 - 30. april 2019.",2019-05-10,2000-01-28,2019-05-10,Statsautoriseret revisor,-466693.0,,,,20222670.0,25169786.0,20222670.0,mne35391,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. maj 2018 - 30. april 2019 for Lynge Jensen Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jacob Rask,Lynge VadskÃ¦r,Lynge VadskÃ¦r,Lynge Jensen Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,DragÃ¸r,,2017-05-01,2018-04-30,-646012.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,DragÃ¸r,2019-04-30,2018-05-01,true,2019-05-10,BrÃ¸nderslev,,,,urn:ofk:oid:27134232,indberetninger-20180424,2.5118417999999996,25169786.0,AWq1WonJRYGX6_YTHqaz,2019-05-14T07:59:50.651Z,2019-05-14T07:59:30.127Z,regnskab,0.0,,2019-04-30,2018-05-01,X19-BD-34-QV,2019-05-14T07:59:30.277Z,,,,,,,,,,,,,,,,,,
25169786,2017-05-01,2018-04-30,c219,,http://regnskaber.virk.dk/68796152/ZG9rdW1lbnRsYWdlcjovLzAzL2IwLzg4L2Q5L2I2LzBmYWItNDc5ZC04ZTUzLWVlMDZmN2Y2M2RmOA.pdf,http://regnskaber.virk.dk/68796152/ZG9rdW1lbnRsYWdlcjovLzAzL2JkLzllLzAwLzE2Lzg2MjUtNGU1Yi04MGZmLWM3ZjdmNmE0Yzg4ZQ.xml,true,BrÃ¸nderslev,9700.0,10.0,Torvet,2791 DragÃ¸r,EnglÃ¸kken 33,DK-9700 BrÃ¸nderslev,Torvet 10,Til kapitalejeren i Lynge Jensen Holding ApS,,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. april 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. maj 2018 - 30. april 2019.",2019-05-10,2000-01-28,2019-05-10,Statsautoriseret revisor,-466693.0,,,,20222670.0,25169786.0,20222670.0,mne35391,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. maj 2018 - 30. april 2019 for Lynge Jensen Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jacob Rask,Lynge VadskÃ¦r,Lynge VadskÃ¦r,Lynge Jensen Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,DragÃ¸r,,2017-05-01,2018-04-30,466693.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,DragÃ¸r,2019-04-30,2018-05-01,true,2019-05-10,BrÃ¸nderslev,,,,urn:ofk:oid:27134232,indberetninger-20180424,2.5118417999999996,25169786.0,AWq1WonJRYGX6_YTHqaz,2019-05-14T07:59:50.651Z,2019-05-14T07:59:30.127Z,regnskab,0.0,,2019-04-30,2018-05-01,X19-BD-34-QV,2019-05-14T07:59:30.277Z,,,,,,,,,,,,,,,,,,
25169786,2018-04-30,2018-04-30,c173,,http://regnskaber.virk.dk/68796152/ZG9rdW1lbnRsYWdlcjovLzAzL2IwLzg4L2Q5L2I2LzBmYWItNDc5ZC04ZTUzLWVlMDZmN2Y2M2RmOA.pdf,http://regnskaber.virk.dk/68796152/ZG9rdW1lbnRsYWdlcjovLzAzL2JkLzllLzAwLzE2Lzg2MjUtNGU1Yi04MGZmLWM3ZjdmNmE0Yzg4ZQ.xml,true,BrÃ¸nderslev,9700.0,10.0,Torvet,2791 DragÃ¸r,EnglÃ¸kken 33,DK-9700 BrÃ¸nderslev,Torvet 10,Til kapitalejeren i Lynge Jensen Holding ApS,,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. april 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. maj 2018 - 30. april 2019.",2019-05-10,2000-01-28,2019-05-10,Statsautoriseret revisor,-466693.0,,,,20222670.0,25169786.0,20222670.0,mne35391,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. maj 2018 - 30. april 2019 for Lynge Jensen Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jacob Rask,Lynge VadskÃ¦r,Lynge VadskÃ¦r,Lynge Jensen Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,DragÃ¸r,,2017-05-01,2018-04-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,DragÃ¸r,2019-04-30,2018-05-01,true,2019-05-10,BrÃ¸nderslev,,,,urn:ofk:oid:27134232,indberetninger-20180424,2.5118417999999996,25169786.0,AWq1WonJRYGX6_YTHqaz,2019-05-14T07:59:50.651Z,2019-05-14T07:59:30.127Z,regnskab,0.0,,2019-04-30,2018-05-01,X19-BD-34-QV,2019-05-14T07:59:30.277Z,5186274.0,209921.0,200000.0,376309.0,5159783.0,5186274.0,26491.0,4433042.0,20.0,466693.0,4493090.0,4433042.0,26491.0,543311.0,166982.0,7500.0,,
25169786,2018-05-01,2018-05-01,c231,,http://regnskaber.virk.dk/68796152/ZG9rdW1lbnRsYWdlcjovLzAzL2IwLzg4L2Q5L2I2LzBmYWItNDc5ZC04ZTUzLWVlMDZmN2Y2M2RmOA.pdf,http://regnskaber.virk.dk/68796152/ZG9rdW1lbnRsYWdlcjovLzAzL2JkLzllLzAwLzE2Lzg2MjUtNGU1Yi04MGZmLWM3ZjdmNmE0Yzg4ZQ.xml,true,BrÃ¸nderslev,9700.0,10.0,Torvet,2791 DragÃ¸r,EnglÃ¸kken 33,DK-9700 BrÃ¸nderslev,Torvet 10,Til kapitalejeren i Lynge Jensen Holding ApS,,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. april 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. maj 2018 - 30. april 2019.",2019-05-10,2000-01-28,2019-05-10,Statsautoriseret revisor,-466693.0,,,,20222670.0,25169786.0,20222670.0,mne35391,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. maj 2018 - 30. april 2019 for Lynge Jensen Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jacob Rask,Lynge VadskÃ¦r,Lynge VadskÃ¦r,Lynge Jensen Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,DragÃ¸r,,2017-05-01,2018-04-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,DragÃ¸r,2019-04-30,2018-05-01,true,2019-05-10,BrÃ¸nderslev,,,,urn:ofk:oid:27134232,indberetninger-20180424,2.5118417999999996,25169786.0,AWq1WonJRYGX6_YTHqaz,2019-05-14T07:59:50.651Z,2019-05-14T07:59:30.127Z,regnskab,0.0,,2019-04-30,2018-05-01,X19-BD-34-QV,2019-05-14T07:59:30.277Z,,,,,200000.0,,,,,,,,,,,,,
25169786,2018-05-01,2018-05-01,c249,,http://regnskaber.virk.dk/68796152/ZG9rdW1lbnRsYWdlcjovLzAzL2IwLzg4L2Q5L2I2LzBmYWItNDc5ZC04ZTUzLWVlMDZmN2Y2M2RmOA.pdf,http://regnskaber.virk.dk/68796152/ZG9rdW1lbnRsYWdlcjovLzAzL2JkLzllLzAwLzE2Lzg2MjUtNGU1Yi04MGZmLWM3ZjdmNmE0Yzg4ZQ.xml,true,BrÃ¸nderslev,9700.0,10.0,Torvet,2791 DragÃ¸r,EnglÃ¸kken 33,DK-9700 BrÃ¸nderslev,Torvet 10,Til kapitalejeren i Lynge Jensen Holding ApS,,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. april 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. maj 2018 - 30. april 2019.",2019-05-10,2000-01-28,2019-05-10,Statsautoriseret revisor,-466693.0,,,,20222670.0,25169786.0,20222670.0,mne35391,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. maj 2018 - 30. april 2019 for Lynge Jensen Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jacob Rask,Lynge VadskÃ¦r,Lynge VadskÃ¦r,Lynge Jensen Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,DragÃ¸r,,2017-05-01,2018-04-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,DragÃ¸r,2019-04-30,2018-05-01,true,2019-05-10,BrÃ¸nderslev,,,,urn:ofk:oid:27134232,indberetninger-20180424,2.5118417999999996,25169786.0,AWq1WonJRYGX6_YTHqaz,2019-05-14T07:59:50.651Z,2019-05-14T07:59:30.127Z,regnskab,0.0,,2019-04-30,2018-05-01,X19-BD-34-QV,2019-05-14T07:59:30.277Z,,,,,4493090.0,,,,,,,,,,,,,
25169786,2018-05-01,2018-05-01,c255,,http://regnskaber.virk.dk/68796152/ZG9rdW1lbnRsYWdlcjovLzAzL2IwLzg4L2Q5L2I2LzBmYWItNDc5ZC04ZTUzLWVlMDZmN2Y2M2RmOA.pdf,http://regnskaber.virk.dk/68796152/ZG9rdW1lbnRsYWdlcjovLzAzL2JkLzllLzAwLzE2Lzg2MjUtNGU1Yi04MGZmLWM3ZjdmNmE0Yzg4ZQ.xml,true,BrÃ¸nderslev,9700.0,10.0,Torvet,2791 DragÃ¸r,EnglÃ¸kken 33,DK-9700 BrÃ¸nderslev,Torvet 10,Til kapitalejeren i Lynge Jensen Holding ApS,,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. april 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. maj 2018 - 30. april 2019.",2019-05-10,2000-01-28,2019-05-10,Statsautoriseret revisor,-466693.0,,,,20222670.0,25169786.0,20222670.0,mne35391,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. maj 2018 - 30. april 2019 for Lynge Jensen Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jacob Rask,Lynge VadskÃ¦r,Lynge VadskÃ¦r,Lynge Jensen Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,DragÃ¸r,,2017-05-01,2018-04-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,DragÃ¸r,2019-04-30,2018-05-01,true,2019-05-10,BrÃ¸nderslev,,,,urn:ofk:oid:27134232,indberetninger-20180424,2.5118417999999996,25169786.0,AWq1WonJRYGX6_YTHqaz,2019-05-14T07:59:50.651Z,2019-05-14T07:59:30.127Z,regnskab,0.0,,2019-04-30,2018-05-01,X19-BD-34-QV,2019-05-14T07:59:30.277Z,,,,,466693.0,,,,,,,,,,,,,
25169786,2018-05-01,2019-04-30,c174,,http://regnskaber.virk.dk/68796152/ZG9rdW1lbnRsYWdlcjovLzAzL2IwLzg4L2Q5L2I2LzBmYWItNDc5ZC04ZTUzLWVlMDZmN2Y2M2RmOA.pdf,http://regnskaber.virk.dk/68796152/ZG9rdW1lbnRsYWdlcjovLzAzL2JkLzllLzAwLzE2Lzg2MjUtNGU1Yi04MGZmLWM3ZjdmNmE0Yzg4ZQ.xml,true,BrÃ¸nderslev,9700.0,10.0,Torvet,2791 DragÃ¸r,EnglÃ¸kken 33,DK-9700 BrÃ¸nderslev,Torvet 10,Til kapitalejeren i Lynge Jensen Holding ApS,80715.0,0.0,1.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. april 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. maj 2018 - 30. april 2019.",2019-05-10,2000-01-28,2019-05-10,Statsautoriseret revisor,-466693.0,412.0,25483.0,-25483.0,20222670.0,25169786.0,20222670.0,mne35391,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. maj 2018 - 30. april 2019 for Lynge Jensen Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jacob Rask,Lynge VadskÃ¦r,Lynge VadskÃ¦r,Lynge Jensen Holding ApS,BDO Statsautoriseret revisionsaktieselskab,390.0,393102.0,DragÃ¸r,0.0,2017-05-01,2018-04-30,286102.0,366817.0,-25895.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,DragÃ¸r,2019-04-30,2018-05-01,true,2019-05-10,BrÃ¸nderslev,412.0,80715.0,0.0,urn:ofk:oid:27134232,indberetninger-20180424,2.5118417999999996,25169786.0,AWq1WonJRYGX6_YTHqaz,2019-05-14T07:59:50.651Z,2019-05-14T07:59:30.127Z,regnskab,0.0,,2019-04-30,2018-05-01,X19-BD-34-QV,2019-05-14T07:59:30.277Z,,,,,,,,,,,,,,,,,BDO Statsautoriseret revisionsaktieselskab,RevisionspÃ¥tegning
25169786,2018-05-01,2019-04-30,c213,,http://regnskaber.virk.dk/68796152/ZG9rdW1lbnRsYWdlcjovLzAzL2IwLzg4L2Q5L2I2LzBmYWItNDc5ZC04ZTUzLWVlMDZmN2Y2M2RmOA.pdf,http://regnskaber.virk.dk/68796152/ZG9rdW1lbnRsYWdlcjovLzAzL2JkLzllLzAwLzE2Lzg2MjUtNGU1Yi04MGZmLWM3ZjdmNmE0Yzg4ZQ.xml,true,BrÃ¸nderslev,9700.0,10.0,Torvet,2791 DragÃ¸r,EnglÃ¸kken 33,DK-9700 BrÃ¸nderslev,Torvet 10,Til kapitalejeren i Lynge Jensen Holding ApS,,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. april 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. maj 2018 - 30. april 2019.",2019-05-10,2000-01-28,2019-05-10,Statsautoriseret revisor,-466693.0,,,,20222670.0,25169786.0,20222670.0,mne35391,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. maj 2018 - 30. april 2019 for Lynge Jensen Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jacob Rask,Lynge VadskÃ¦r,Lynge VadskÃ¦r,Lynge Jensen Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,DragÃ¸r,,2017-05-01,2018-04-30,-213898.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,DragÃ¸r,2019-04-30,2018-05-01,true,2019-05-10,BrÃ¸nderslev,,,,urn:ofk:oid:27134232,indberetninger-20180424,2.5118417999999996,25169786.0,AWq1WonJRYGX6_YTHqaz,2019-05-14T07:59:50.651Z,2019-05-14T07:59:30.127Z,regnskab,0.0,,2019-04-30,2018-05-01,X19-BD-34-QV,2019-05-14T07:59:30.277Z,,,,,,,,,,,,,,,,,,
25169786,2018-05-01,2019-04-30,c217,,http://regnskaber.virk.dk/68796152/ZG9rdW1lbnRsYWdlcjovLzAzL2IwLzg4L2Q5L2I2LzBmYWItNDc5ZC04ZTUzLWVlMDZmN2Y2M2RmOA.pdf,http://regnskaber.virk.dk/68796152/ZG9rdW1lbnRsYWdlcjovLzAzL2JkLzllLzAwLzE2Lzg2MjUtNGU1Yi04MGZmLWM3ZjdmNmE0Yzg4ZQ.xml,true,BrÃ¸nderslev,9700.0,10.0,Torvet,2791 DragÃ¸r,EnglÃ¸kken 33,DK-9700 BrÃ¸nderslev,Torvet 10,Til kapitalejeren i Lynge Jensen Holding ApS,,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. april 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. maj 2018 - 30. april 2019.",2019-05-10,2000-01-28,2019-05-10,Statsautoriseret revisor,-466693.0,,,,20222670.0,25169786.0,20222670.0,mne35391,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. maj 2018 - 30. april 2019 for Lynge Jensen Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jacob Rask,Lynge VadskÃ¦r,Lynge VadskÃ¦r,Lynge Jensen Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,DragÃ¸r,,2017-05-01,2018-04-30,500000.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,DragÃ¸r,2019-04-30,2018-05-01,true,2019-05-10,BrÃ¸nderslev,,,,urn:ofk:oid:27134232,indberetninger-20180424,2.5118417999999996,25169786.0,AWq1WonJRYGX6_YTHqaz,2019-05-14T07:59:50.651Z,2019-05-14T07:59:30.127Z,regnskab,0.0,,2019-04-30,2018-05-01,X19-BD-34-QV,2019-05-14T07:59:30.277Z,,,,,,,,,,,,,,,,,,
