entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,IdentificationNumberCvrOfReportingEntity,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,RecommendationForApprovalOfAnnualReportByGeneralMeeting,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,AverageNumberOfEmployees,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,GrossProfitLoss,OtherFinanceExpenses,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,Equity,FixturesFittingsToolsAndEquipment,LandAndBuildings,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,NoncurrentAssets,OtherShorttermInvestments,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,Provisions,ProvisionsForDeferredTax,RetainedEarnings,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTaxReceivables,NameAndSurnameOfMemberOfExecutiveBoard
21068934,2017-01-01,2017-12-31,ID_11,,http://regnskaber.virk.dk/43986012/ZG9rdW1lbnRsYWdlcjovLzAzLzJiLzRhLzY3L2FlLzdhNjItNDJmMy1iNDE2LWJiZTg4YzNhZjJkYQ.pdf,http://regnskaber.virk.dk/43986012/ZG9rdW1lbnRsYWdlcjovLzAzLzNiLzk1LzJjLzdiLzRhN2ItNDJiYS05ODQ2LWUxZjJkMWM3ZjE4Zg.xml,true,"7000, Fredericia",vejlevej 12,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-05-15,2019-05-15,1998-06-29,2019-05-15,21068934.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for TandlÃ¦ge Flemming Krabek ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Marianne B. KrabÃ¦k,TandlÃ¦ge Flemming Krabek ApS,Regnskabsfabrikanten A/S,FrÃ¸rup,2017-01-01,2017-12-31,-30868.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,false,Ingen bistand,urn:ofk:oid:27165333,indberetninger-20180424,2.5122433,21068934,AWrKf2BnRYGX6_YTHyOK,2019-05-18T10:32:00.250Z,2019-05-18T10:31:45.176Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BE-83-XV,2019-05-18T10:31:45.438Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21068934,2017-01-01,2017-12-31,ID_6,,http://regnskaber.virk.dk/43986012/ZG9rdW1lbnRsYWdlcjovLzAzLzJiLzRhLzY3L2FlLzdhNjItNDJmMy1iNDE2LWJiZTg4YzNhZjJkYQ.pdf,http://regnskaber.virk.dk/43986012/ZG9rdW1lbnRsYWdlcjovLzAzLzNiLzk1LzJjLzdiLzRhN2ItNDJiYS05ODQ2LWUxZjJkMWM3ZjE4Zg.xml,true,"7000, Fredericia",vejlevej 12,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-05-15,2019-05-15,1998-06-29,2019-05-15,21068934.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for TandlÃ¦ge Flemming Krabek ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Marianne B. KrabÃ¦k,TandlÃ¦ge Flemming Krabek ApS,Regnskabsfabrikanten A/S,FrÃ¸rup,2017-01-01,2017-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,false,Ingen bistand,urn:ofk:oid:27165333,indberetninger-20180424,2.5122433,21068934,AWrKf2BnRYGX6_YTHyOK,2019-05-18T10:32:00.250Z,2019-05-18T10:31:45.176Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BE-83-XV,2019-05-18T10:31:45.438Z,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21068934,2017-01-01,2017-12-31,ID_7,,http://regnskaber.virk.dk/43986012/ZG9rdW1lbnRsYWdlcjovLzAzLzJiLzRhLzY3L2FlLzdhNjItNDJmMy1iNDE2LWJiZTg4YzNhZjJkYQ.pdf,http://regnskaber.virk.dk/43986012/ZG9rdW1lbnRsYWdlcjovLzAzLzNiLzk1LzJjLzdiLzRhN2ItNDJiYS05ODQ2LWUxZjJkMWM3ZjE4Zg.xml,true,"7000, Fredericia",vejlevej 12,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-05-15,2019-05-15,1998-06-29,2019-05-15,21068934.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for TandlÃ¦ge Flemming Krabek ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Marianne B. KrabÃ¦k,TandlÃ¦ge Flemming Krabek ApS,Regnskabsfabrikanten A/S,FrÃ¸rup,2017-01-01,2017-12-31,74932.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,false,Ingen bistand,urn:ofk:oid:27165333,indberetninger-20180424,2.5122433,21068934,AWrKf2BnRYGX6_YTHyOK,2019-05-18T10:32:00.250Z,2019-05-18T10:31:45.176Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BE-83-XV,2019-05-18T10:31:45.438Z,,6800.0,62775.0,-57817.0,0.0,223458.0,96066.0,-127392.0,21134.0,,,,,,,,,,,,,,,,,,,,,,,,
21068934,2017-01-01,2017-12-31,ID_9,,http://regnskaber.virk.dk/43986012/ZG9rdW1lbnRsYWdlcjovLzAzLzJiLzRhLzY3L2FlLzdhNjItNDJmMy1iNDE2LWJiZTg4YzNhZjJkYQ.pdf,http://regnskaber.virk.dk/43986012/ZG9rdW1lbnRsYWdlcjovLzAzLzNiLzk1LzJjLzdiLzRhN2ItNDJiYS05ODQ2LWUxZjJkMWM3ZjE4Zg.xml,true,"7000, Fredericia",vejlevej 12,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-05-15,2019-05-15,1998-06-29,2019-05-15,21068934.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for TandlÃ¦ge Flemming Krabek ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Marianne B. KrabÃ¦k,TandlÃ¦ge Flemming Krabek ApS,Regnskabsfabrikanten A/S,FrÃ¸rup,2017-01-01,2017-12-31,105800.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,false,Ingen bistand,urn:ofk:oid:27165333,indberetninger-20180424,2.5122433,21068934,AWrKf2BnRYGX6_YTHyOK,2019-05-18T10:32:00.250Z,2019-05-18T10:31:45.176Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BE-83-XV,2019-05-18T10:31:45.438Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21068934,2017-12-31,2017-12-31,ID_3,,http://regnskaber.virk.dk/43986012/ZG9rdW1lbnRsYWdlcjovLzAzLzJiLzRhLzY3L2FlLzdhNjItNDJmMy1iNDE2LWJiZTg4YzNhZjJkYQ.pdf,http://regnskaber.virk.dk/43986012/ZG9rdW1lbnRsYWdlcjovLzAzLzNiLzk1LzJjLzdiLzRhN2ItNDJiYS05ODQ2LWUxZjJkMWM3ZjE4Zg.xml,true,"7000, Fredericia",vejlevej 12,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-05-15,2019-05-15,1998-06-29,2019-05-15,21068934.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for TandlÃ¦ge Flemming Krabek ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Marianne B. KrabÃ¦k,TandlÃ¦ge Flemming Krabek ApS,Regnskabsfabrikanten A/S,FrÃ¸rup,2017-01-01,2017-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,false,Ingen bistand,urn:ofk:oid:27165333,indberetninger-20180424,2.5122433,21068934,AWrKf2BnRYGX6_YTHyOK,2019-05-18T10:32:00.250Z,2019-05-18T10:31:45.176Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BE-83-XV,2019-05-18T10:31:45.438Z,,,,,,,,,,4945872.0,20983.0,200000.0,4316289.0,0.0,4929659.0,13600.0,615983.0,4945872.0,15588.0,629583.0,4214941.0,15588.0,65316.0,629583.0,105800.0,625.0,625.0,4623859.0,4214941.0,15588.0,80365.0,15049.0,
21068934,2018-01-01,2018-12-31,ID_0,,http://regnskaber.virk.dk/43986012/ZG9rdW1lbnRsYWdlcjovLzAzLzJiLzRhLzY3L2FlLzdhNjItNDJmMy1iNDE2LWJiZTg4YzNhZjJkYQ.pdf,http://regnskaber.virk.dk/43986012/ZG9rdW1lbnRsYWdlcjovLzAzLzNiLzk1LzJjLzdiLzRhN2ItNDJiYS05ODQ2LWUxZjJkMWM3ZjE4Zg.xml,true,"7000, Fredericia",vejlevej 12,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-05-15,2019-05-15,1998-06-29,2019-05-15,21068934.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for TandlÃ¦ge Flemming Krabek ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Marianne B. KrabÃ¦k,TandlÃ¦ge Flemming Krabek ApS,Regnskabsfabrikanten A/S,FrÃ¸rup,2017-01-01,2017-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,false,Ingen bistand,urn:ofk:oid:27165333,indberetninger-20180424,2.5122433,21068934,AWrKf2BnRYGX6_YTHyOK,2019-05-18T10:32:00.250Z,2019-05-18T10:31:45.176Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BE-83-XV,2019-05-18T10:31:45.438Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flemming Krabek
21068934,2018-01-01,2018-12-31,ID_1,,http://regnskaber.virk.dk/43986012/ZG9rdW1lbnRsYWdlcjovLzAzLzJiLzRhLzY3L2FlLzdhNjItNDJmMy1iNDE2LWJiZTg4YzNhZjJkYQ.pdf,http://regnskaber.virk.dk/43986012/ZG9rdW1lbnRsYWdlcjovLzAzLzNiLzk1LzJjLzdiLzRhN2ItNDJiYS05ODQ2LWUxZjJkMWM3ZjE4Zg.xml,true,"7000, Fredericia",vejlevej 12,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-05-15,2019-05-15,1998-06-29,2019-05-15,21068934.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for TandlÃ¦ge Flemming Krabek ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Marianne B. KrabÃ¦k,TandlÃ¦ge Flemming Krabek ApS,Regnskabsfabrikanten A/S,FrÃ¸rup,2017-01-01,2017-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,false,Ingen bistand,urn:ofk:oid:27165333,indberetninger-20180424,2.5122433,21068934,AWrKf2BnRYGX6_YTHyOK,2019-05-18T10:32:00.250Z,2019-05-18T10:31:45.176Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BE-83-XV,2019-05-18T10:31:45.438Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21068934,2018-01-01,2018-12-31,ID_10,,http://regnskaber.virk.dk/43986012/ZG9rdW1lbnRsYWdlcjovLzAzLzJiLzRhLzY3L2FlLzdhNjItNDJmMy1iNDE2LWJiZTg4YzNhZjJkYQ.pdf,http://regnskaber.virk.dk/43986012/ZG9rdW1lbnRsYWdlcjovLzAzLzNiLzk1LzJjLzdiLzRhN2ItNDJiYS05ODQ2LWUxZjJkMWM3ZjE4Zg.xml,true,"7000, Fredericia",vejlevej 12,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-05-15,2019-05-15,1998-06-29,2019-05-15,21068934.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for TandlÃ¦ge Flemming Krabek ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Marianne B. KrabÃ¦k,TandlÃ¦ge Flemming Krabek ApS,Regnskabsfabrikanten A/S,FrÃ¸rup,2017-01-01,2017-12-31,-401580.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,false,Ingen bistand,urn:ofk:oid:27165333,indberetninger-20180424,2.5122433,21068934,AWrKf2BnRYGX6_YTHyOK,2019-05-18T10:32:00.250Z,2019-05-18T10:31:45.176Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BE-83-XV,2019-05-18T10:31:45.438Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21068934,2018-01-01,2018-12-31,ID_2,,http://regnskaber.virk.dk/43986012/ZG9rdW1lbnRsYWdlcjovLzAzLzJiLzRhLzY3L2FlLzdhNjItNDJmMy1iNDE2LWJiZTg4YzNhZjJkYQ.pdf,http://regnskaber.virk.dk/43986012/ZG9rdW1lbnRsYWdlcjovLzAzLzNiLzk1LzJjLzdiLzRhN2ItNDJiYS05ODQ2LWUxZjJkMWM3ZjE4Zg.xml,true,"7000, Fredericia",vejlevej 12,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-05-15,2019-05-15,1998-06-29,2019-05-15,21068934.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for TandlÃ¦ge Flemming Krabek ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Marianne B. KrabÃ¦k,TandlÃ¦ge Flemming Krabek ApS,Regnskabsfabrikanten A/S,FrÃ¸rup,2017-01-01,2017-12-31,-293580.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,false,Ingen bistand,urn:ofk:oid:27165333,indberetninger-20180424,2.5122433,21068934,AWrKf2BnRYGX6_YTHyOK,2019-05-18T10:32:00.250Z,2019-05-18T10:31:45.176Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BE-83-XV,2019-05-18T10:31:45.438Z,,6800.0,69750.0,-62542.0,354653.0,118147.0,-375598.0,-139092.0,-82018.0,,,,,,,,,,,,,,,,,,,,,,,,
21068934,2018-01-01,2018-12-31,ID_5,,http://regnskaber.virk.dk/43986012/ZG9rdW1lbnRsYWdlcjovLzAzLzJiLzRhLzY3L2FlLzdhNjItNDJmMy1iNDE2LWJiZTg4YzNhZjJkYQ.pdf,http://regnskaber.virk.dk/43986012/ZG9rdW1lbnRsYWdlcjovLzAzLzNiLzk1LzJjLzdiLzRhN2ItNDJiYS05ODQ2LWUxZjJkMWM3ZjE4Zg.xml,true,"7000, Fredericia",vejlevej 12,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-05-15,2019-05-15,1998-06-29,2019-05-15,21068934.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for TandlÃ¦ge Flemming Krabek ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Marianne B. KrabÃ¦k,TandlÃ¦ge Flemming Krabek ApS,Regnskabsfabrikanten A/S,FrÃ¸rup,2017-01-01,2017-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,false,Ingen bistand,urn:ofk:oid:27165333,indberetninger-20180424,2.5122433,21068934,AWrKf2BnRYGX6_YTHyOK,2019-05-18T10:32:00.250Z,2019-05-18T10:31:45.176Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BE-83-XV,2019-05-18T10:31:45.438Z,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
