entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfGeneralMeeting,ExternalExpenses,GrossResult,IdentificationNumberCvrOfReportingEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceIncome,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,TaxExpense,TelephoneNumberOfReportingEntity,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheMicroUndertakingAppliesTheExceptionConcerningFilingInformationAboutAccountingPolicies,TheMicroUndertakingAppliesTheExceptionConcerningFilingInformationAboutCertainSpecialItems,TheMicroUndertakingAppliesTheExceptionConcerningFilingInformationAboutLiabilitiesDueForPaymentMoreThanFiveYearsAfterTheBalanceSheetDate,TheMicroUndertakingAppliesTheExceptionConcerningFilingInformationAboutNumberOfEmployees,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermLiabilitiesOtherThanProvisions,LongtermTaxPayables,ProposedDividendRecognisedInEquity,RetainedEarnings
15295392,2017-01-01,2017-12-31,c1,http://regnskaber.virk.dk/29359251/ZG9rdW1lbnRsYWdlcjovLzAzL2ZhLzUzLzc4Lzg2LzFjM2ItNDRlMC1hMTFmLTBkZTNlZDM5NGI5NA.xhtml,http://regnskaber.virk.dk/29359251/ZG9rdW1lbnRsYWdlcjovLzAzLzdkLzVlLzU4LzJjL2RhYTYtNDU4ZS04ZDMyLTgyOGMxZTE4ODE0MA.pdf,http://regnskaber.virk.dk/29359251/ZG9rdW1lbnRsYWdlcjovLzAzLzM2LzA2LzI4LzRlLzc5MTEtNDgxNy1iMTMyLWM5YzM1NTk0MTYyOQ.xml,true,VedbÃ¦k,2950.0,13.0,Holmebjerg,2950 VedbÃ¦k,Holmebjerg 13,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-16,17935.0,-17935.0,15295392.0,Ãrsrapport,Solveig Jagd,TANDLÃGE ERIK BÃKKELUND ApS,Erik BÃ¦kkelund,37160.0,2017-01-01,2017-12-31,14841.0,19225.0,-17935.0,2018-12-31,2018-01-01,false,4384.0,41519092.0,false,true,false,false,true,true,Ingen bistand,urn:ofk:oid:27206052,indberetninger-20180424,2.5949414,15295392.0,AWrjM_ASRYGX6_YTH70e,2019-05-23T05:40:35.995Z,2019-05-23T05:39:52.137Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BA-46-AE,2019-05-23T05:39:52.459Z,,,,,,,,,,,
15295392,2017-01-01,2017-12-31,c3,http://regnskaber.virk.dk/29359251/ZG9rdW1lbnRsYWdlcjovLzAzL2ZhLzUzLzc4Lzg2LzFjM2ItNDRlMC1hMTFmLTBkZTNlZDM5NGI5NA.xhtml,http://regnskaber.virk.dk/29359251/ZG9rdW1lbnRsYWdlcjovLzAzLzdkLzVlLzU4LzJjL2RhYTYtNDU4ZS04ZDMyLTgyOGMxZTE4ODE0MA.pdf,http://regnskaber.virk.dk/29359251/ZG9rdW1lbnRsYWdlcjovLzAzLzM2LzA2LzI4LzRlLzc5MTEtNDgxNy1iMTMyLWM5YzM1NTk0MTYyOQ.xml,true,VedbÃ¦k,2950.0,13.0,Holmebjerg,2950 VedbÃ¦k,Holmebjerg 13,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-16,,,15295392.0,Ãrsrapport,Solveig Jagd,TANDLÃGE ERIK BÃKKELUND ApS,Erik BÃ¦kkelund,,2017-01-01,2017-12-31,105800.0,,,2018-12-31,2018-01-01,false,,41519092.0,false,true,false,false,true,true,Ingen bistand,urn:ofk:oid:27206052,indberetninger-20180424,2.5949414,15295392.0,AWrjM_ASRYGX6_YTH70e,2019-05-23T05:40:35.995Z,2019-05-23T05:39:52.137Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BA-46-AE,2019-05-23T05:39:52.459Z,,,,,,,,,,,
15295392,2017-01-01,2017-12-31,c5,http://regnskaber.virk.dk/29359251/ZG9rdW1lbnRsYWdlcjovLzAzL2ZhLzUzLzc4Lzg2LzFjM2ItNDRlMC1hMTFmLTBkZTNlZDM5NGI5NA.xhtml,http://regnskaber.virk.dk/29359251/ZG9rdW1lbnRsYWdlcjovLzAzLzdkLzVlLzU4LzJjL2RhYTYtNDU4ZS04ZDMyLTgyOGMxZTE4ODE0MA.pdf,http://regnskaber.virk.dk/29359251/ZG9rdW1lbnRsYWdlcjovLzAzLzM2LzA2LzI4LzRlLzc5MTEtNDgxNy1iMTMyLWM5YzM1NTk0MTYyOQ.xml,true,VedbÃ¦k,2950.0,13.0,Holmebjerg,2950 VedbÃ¦k,Holmebjerg 13,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-16,,,15295392.0,Ãrsrapport,Solveig Jagd,TANDLÃGE ERIK BÃKKELUND ApS,Erik BÃ¦kkelund,,2017-01-01,2017-12-31,-725378.0,,,2018-12-31,2018-01-01,false,,41519092.0,false,true,false,false,true,true,Ingen bistand,urn:ofk:oid:27206052,indberetninger-20180424,2.5949414,15295392.0,AWrjM_ASRYGX6_YTH70e,2019-05-23T05:40:35.995Z,2019-05-23T05:39:52.137Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BA-46-AE,2019-05-23T05:39:52.459Z,,,,,,,,,,,
15295392,2017-01-01,2017-12-31,c7,http://regnskaber.virk.dk/29359251/ZG9rdW1lbnRsYWdlcjovLzAzL2ZhLzUzLzc4Lzg2LzFjM2ItNDRlMC1hMTFmLTBkZTNlZDM5NGI5NA.xhtml,http://regnskaber.virk.dk/29359251/ZG9rdW1lbnRsYWdlcjovLzAzLzdkLzVlLzU4LzJjL2RhYTYtNDU4ZS04ZDMyLTgyOGMxZTE4ODE0MA.pdf,http://regnskaber.virk.dk/29359251/ZG9rdW1lbnRsYWdlcjovLzAzLzM2LzA2LzI4LzRlLzc5MTEtNDgxNy1iMTMyLWM5YzM1NTk0MTYyOQ.xml,true,VedbÃ¦k,2950.0,13.0,Holmebjerg,2950 VedbÃ¦k,Holmebjerg 13,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-16,,,15295392.0,Ãrsrapport,Solveig Jagd,TANDLÃGE ERIK BÃKKELUND ApS,Erik BÃ¦kkelund,,2017-01-01,2017-12-31,634419.0,,,2018-12-31,2018-01-01,false,,41519092.0,false,true,false,false,true,true,Ingen bistand,urn:ofk:oid:27206052,indberetninger-20180424,2.5949414,15295392.0,AWrjM_ASRYGX6_YTH70e,2019-05-23T05:40:35.995Z,2019-05-23T05:39:52.137Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BA-46-AE,2019-05-23T05:39:52.459Z,,,,,,,,,,,
15295392,2017-12-31,2017-12-31,c9,http://regnskaber.virk.dk/29359251/ZG9rdW1lbnRsYWdlcjovLzAzL2ZhLzUzLzc4Lzg2LzFjM2ItNDRlMC1hMTFmLTBkZTNlZDM5NGI5NA.xhtml,http://regnskaber.virk.dk/29359251/ZG9rdW1lbnRsYWdlcjovLzAzLzdkLzVlLzU4LzJjL2RhYTYtNDU4ZS04ZDMyLTgyOGMxZTE4ODE0MA.pdf,http://regnskaber.virk.dk/29359251/ZG9rdW1lbnRsYWdlcjovLzAzLzM2LzA2LzI4LzRlLzc5MTEtNDgxNy1iMTMyLWM5YzM1NTk0MTYyOQ.xml,true,VedbÃ¦k,2950.0,13.0,Holmebjerg,2950 VedbÃ¦k,Holmebjerg 13,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-16,,,15295392.0,Ãrsrapport,Solveig Jagd,TANDLÃGE ERIK BÃKKELUND ApS,Erik BÃ¦kkelund,,2017-01-01,2017-12-31,,,,2018-12-31,2018-01-01,false,,41519092.0,false,true,false,false,true,true,Ingen bistand,urn:ofk:oid:27206052,indberetninger-20180424,2.5949414,15295392.0,AWrjM_ASRYGX6_YTH70e,2019-05-23T05:40:35.995Z,2019-05-23T05:39:52.137Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BA-46-AE,2019-05-23T05:39:52.459Z,944449.0,944449.0,200000.0,944449.0,940219.0,944449.0,4230.0,4230.0,4230.0,105800.0,634419.0
15295392,2018-01-01,2018-12-31,c0,http://regnskaber.virk.dk/29359251/ZG9rdW1lbnRsYWdlcjovLzAzL2ZhLzUzLzc4Lzg2LzFjM2ItNDRlMC1hMTFmLTBkZTNlZDM5NGI5NA.xhtml,http://regnskaber.virk.dk/29359251/ZG9rdW1lbnRsYWdlcjovLzAzLzdkLzVlLzU4LzJjL2RhYTYtNDU4ZS04ZDMyLTgyOGMxZTE4ODE0MA.pdf,http://regnskaber.virk.dk/29359251/ZG9rdW1lbnRsYWdlcjovLzAzLzM2LzA2LzI4LzRlLzc5MTEtNDgxNy1iMTMyLWM5YzM1NTk0MTYyOQ.xml,true,VedbÃ¦k,2950.0,13.0,Holmebjerg,2950 VedbÃ¦k,Holmebjerg 13,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-16,19102.0,-19102.0,15295392.0,Ãrsrapport,Solveig Jagd,TANDLÃGE ERIK BÃKKELUND ApS,Erik BÃ¦kkelund,-28643.0,2017-01-01,2017-12-31,-47745.0,-47745.0,-19102.0,2018-12-31,2018-01-01,false,0.0,41519092.0,false,true,false,false,true,true,Ingen bistand,urn:ofk:oid:27206052,indberetninger-20180424,2.5949414,15295392.0,AWrjM_ASRYGX6_YTH70e,2019-05-23T05:40:35.995Z,2019-05-23T05:39:52.137Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BA-46-AE,2019-05-23T05:39:52.459Z,,,,,,,,,,,
15295392,2018-01-01,2018-12-31,c2,http://regnskaber.virk.dk/29359251/ZG9rdW1lbnRsYWdlcjovLzAzL2ZhLzUzLzc4Lzg2LzFjM2ItNDRlMC1hMTFmLTBkZTNlZDM5NGI5NA.xhtml,http://regnskaber.virk.dk/29359251/ZG9rdW1lbnRsYWdlcjovLzAzLzdkLzVlLzU4LzJjL2RhYTYtNDU4ZS04ZDMyLTgyOGMxZTE4ODE0MA.pdf,http://regnskaber.virk.dk/29359251/ZG9rdW1lbnRsYWdlcjovLzAzLzM2LzA2LzI4LzRlLzc5MTEtNDgxNy1iMTMyLWM5YzM1NTk0MTYyOQ.xml,true,VedbÃ¦k,2950.0,13.0,Holmebjerg,2950 VedbÃ¦k,Holmebjerg 13,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-16,,,15295392.0,Ãrsrapport,Solveig Jagd,TANDLÃGE ERIK BÃKKELUND ApS,Erik BÃ¦kkelund,,2017-01-01,2017-12-31,108000.0,,,2018-12-31,2018-01-01,false,,41519092.0,false,true,false,false,true,true,Ingen bistand,urn:ofk:oid:27206052,indberetninger-20180424,2.5949414,15295392.0,AWrjM_ASRYGX6_YTH70e,2019-05-23T05:40:35.995Z,2019-05-23T05:39:52.137Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BA-46-AE,2019-05-23T05:39:52.459Z,,,,,,,,,,,
15295392,2018-01-01,2018-12-31,c4,http://regnskaber.virk.dk/29359251/ZG9rdW1lbnRsYWdlcjovLzAzL2ZhLzUzLzc4Lzg2LzFjM2ItNDRlMC1hMTFmLTBkZTNlZDM5NGI5NA.xhtml,http://regnskaber.virk.dk/29359251/ZG9rdW1lbnRsYWdlcjovLzAzLzdkLzVlLzU4LzJjL2RhYTYtNDU4ZS04ZDMyLTgyOGMxZTE4ODE0MA.pdf,http://regnskaber.virk.dk/29359251/ZG9rdW1lbnRsYWdlcjovLzAzLzM2LzA2LzI4LzRlLzc5MTEtNDgxNy1iMTMyLWM5YzM1NTk0MTYyOQ.xml,true,VedbÃ¦k,2950.0,13.0,Holmebjerg,2950 VedbÃ¦k,Holmebjerg 13,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-16,,,15295392.0,Ãrsrapport,Solveig Jagd,TANDLÃGE ERIK BÃKKELUND ApS,Erik BÃ¦kkelund,,2017-01-01,2017-12-31,-634419.0,,,2018-12-31,2018-01-01,false,,41519092.0,false,true,false,false,true,true,Ingen bistand,urn:ofk:oid:27206052,indberetninger-20180424,2.5949414,15295392.0,AWrjM_ASRYGX6_YTH70e,2019-05-23T05:40:35.995Z,2019-05-23T05:39:52.137Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BA-46-AE,2019-05-23T05:39:52.459Z,,,,,,,,,,,
15295392,2018-01-01,2018-12-31,c6,http://regnskaber.virk.dk/29359251/ZG9rdW1lbnRsYWdlcjovLzAzL2ZhLzUzLzc4Lzg2LzFjM2ItNDRlMC1hMTFmLTBkZTNlZDM5NGI5NA.xhtml,http://regnskaber.virk.dk/29359251/ZG9rdW1lbnRsYWdlcjovLzAzLzdkLzVlLzU4LzJjL2RhYTYtNDU4ZS04ZDMyLTgyOGMxZTE4ODE0MA.pdf,http://regnskaber.virk.dk/29359251/ZG9rdW1lbnRsYWdlcjovLzAzLzM2LzA2LzI4LzRlLzc5MTEtNDgxNy1iMTMyLWM5YzM1NTk0MTYyOQ.xml,true,VedbÃ¦k,2950.0,13.0,Holmebjerg,2950 VedbÃ¦k,Holmebjerg 13,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-16,,,15295392.0,Ãrsrapport,Solveig Jagd,TANDLÃGE ERIK BÃKKELUND ApS,Erik BÃ¦kkelund,,2017-01-01,2017-12-31,478674.0,,,2018-12-31,2018-01-01,false,,41519092.0,false,true,false,false,true,true,Ingen bistand,urn:ofk:oid:27206052,indberetninger-20180424,2.5949414,15295392.0,AWrjM_ASRYGX6_YTH70e,2019-05-23T05:40:35.995Z,2019-05-23T05:39:52.137Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BA-46-AE,2019-05-23T05:39:52.459Z,,,,,,,,,,,
15295392,2018-12-31,2018-12-31,c8,http://regnskaber.virk.dk/29359251/ZG9rdW1lbnRsYWdlcjovLzAzL2ZhLzUzLzc4Lzg2LzFjM2ItNDRlMC1hMTFmLTBkZTNlZDM5NGI5NA.xhtml,http://regnskaber.virk.dk/29359251/ZG9rdW1lbnRsYWdlcjovLzAzLzdkLzVlLzU4LzJjL2RhYTYtNDU4ZS04ZDMyLTgyOGMxZTE4ODE0MA.pdf,http://regnskaber.virk.dk/29359251/ZG9rdW1lbnRsYWdlcjovLzAzLzM2LzA2LzI4LzRlLzc5MTEtNDgxNy1iMTMyLWM5YzM1NTk0MTYyOQ.xml,true,VedbÃ¦k,2950.0,13.0,Holmebjerg,2950 VedbÃ¦k,Holmebjerg 13,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-16,,,15295392.0,Ãrsrapport,Solveig Jagd,TANDLÃGE ERIK BÃKKELUND ApS,Erik BÃ¦kkelund,,2017-01-01,2017-12-31,,,,2018-12-31,2018-01-01,false,,41519092.0,false,true,false,false,true,true,Ingen bistand,urn:ofk:oid:27206052,indberetninger-20180424,2.5949414,15295392.0,AWrjM_ASRYGX6_YTH70e,2019-05-23T05:40:35.995Z,2019-05-23T05:39:52.137Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BA-46-AE,2019-05-23T05:39:52.459Z,786674.0,786674.0,200000.0,786674.0,786674.0,786674.0,0.0,0.0,0.0,108000.0,478674.0
