entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,ProfitLoss,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,GrossResult,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,OtherFinanceExpenses,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,Equity,FixturesFittingsToolsAndEquipment,LeaseholdImprovements,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,OtherLongtermReceivables,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,Provisions,ProvisionsForDeferredTax,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermTaxPayables,ShorttermTradePayables,ShorttermTradeReceivables,NameAndSurnameOfMemberOfExecutiveBoard
33268297,2012-01-01,2012-12-31,ID_10,http://regnskaber.virk.dk/79286233/Y3ZyLmRrOi8vcGRmcy8zMzI2ODI5NztBcFM0ODg4MjU7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/79286233/Y3ZyLmRrOi8veGJybHMvWC00NTA3ODdCMy0yMDE0MDUyMl8xODEwNTZfNjcy.xml,"4700, NÃ¦stved",Farvergade 9 B,Til direktionen i Bandsholm ApS:,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2013 - 31. december 2013.",2010-11-12,2014-05-20,33268297.0,20658231.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2013 - 31. december 2013 for Bandsholm ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Per B. Andersen,Bandsholm ApS,"ENGELSTED PETERSEN, Engelsted Petersen statsautoriserede revisorer","NÃ¦stved, den 13. maj 2014",-145616.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"NÃ¦stved, 370",2013-12-31,2013-01-01,2014-05-13,NÃ¦stved,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:14022257,indberetninger-20180424,2.5124328,33268297,,2018-03-31T23:54:38.373Z,2014-05-22T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-145.693,2014-05-22T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33268297,2012-01-01,2012-12-31,ID_6,http://regnskaber.virk.dk/79286233/Y3ZyLmRrOi8vcGRmcy8zMzI2ODI5NztBcFM0ODg4MjU7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/79286233/Y3ZyLmRrOi8veGJybHMvWC00NTA3ODdCMy0yMDE0MDUyMl8xODEwNTZfNjcy.xml,"4700, NÃ¦stved",Farvergade 9 B,Til direktionen i Bandsholm ApS:,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2013 - 31. december 2013.",2010-11-12,2014-05-20,33268297.0,20658231.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2013 - 31. december 2013 for Bandsholm ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Per B. Andersen,Bandsholm ApS,"ENGELSTED PETERSEN, Engelsted Petersen statsautoriserede revisorer","NÃ¦stved, den 13. maj 2014",145616.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"NÃ¦stved, 370",2013-12-31,2013-01-01,2014-05-13,NÃ¦stved,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:14022257,indberetninger-20180424,2.5124328,33268297,,2018-03-31T23:54:38.373Z,2014-05-22T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-145.693,2014-05-22T22:00:00.000Z,116726.0,522879.0,839349.0,0.0,7002.0,3662.0,196404.0,199744.0,50788.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
33268297,2012-01-01,2012-12-31,ID_8,http://regnskaber.virk.dk/79286233/Y3ZyLmRrOi8vcGRmcy8zMzI2ODI5NztBcFM0ODg4MjU7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/79286233/Y3ZyLmRrOi8veGJybHMvWC00NTA3ODdCMy0yMDE0MDUyMl8xODEwNTZfNjcy.xml,"4700, NÃ¦stved",Farvergade 9 B,Til direktionen i Bandsholm ApS:,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2013 - 31. december 2013.",2010-11-12,2014-05-20,33268297.0,20658231.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2013 - 31. december 2013 for Bandsholm ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Per B. Andersen,Bandsholm ApS,"ENGELSTED PETERSEN, Engelsted Petersen statsautoriserede revisorer","NÃ¦stved, den 13. maj 2014",-145616.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"NÃ¦stved, 370",2013-12-31,2013-01-01,2014-05-13,NÃ¦stved,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:14022257,indberetninger-20180424,2.5124328,33268297,,2018-03-31T23:54:38.373Z,2014-05-22T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-145.693,2014-05-22T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33268297,2012-12-31,2012-12-31,ID_12,http://regnskaber.virk.dk/79286233/Y3ZyLmRrOi8vcGRmcy8zMzI2ODI5NztBcFM0ODg4MjU7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/79286233/Y3ZyLmRrOi8veGJybHMvWC00NTA3ODdCMy0yMDE0MDUyMl8xODEwNTZfNjcy.xml,"4700, NÃ¦stved",Farvergade 9 B,Til direktionen i Bandsholm ApS:,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2013 - 31. december 2013.",2010-11-12,2014-05-20,33268297.0,20658231.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2013 - 31. december 2013 for Bandsholm ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Per B. Andersen,Bandsholm ApS,"ENGELSTED PETERSEN, Engelsted Petersen statsautoriserede revisorer","NÃ¦stved, den 13. maj 2014",,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"NÃ¦stved, 370",2013-12-31,2013-01-01,2014-05-13,NÃ¦stved,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:14022257,indberetninger-20180424,2.5124328,33268297,,2018-03-31T23:54:38.373Z,2014-05-22T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-145.693,2014-05-22T22:00:00.000Z,,,,,,,,,,1117529.0,111460.0,80000.0,877746.0,0.0,265636.0,173133.0,62965.0,1117529.0,847075.0,3685.0,0.0,239783.0,3685.0,86057.0,237062.0,236098.0,4818.0,4818.0,185636.0,847075.0,469016.0,766286.0,45970.0,246032.0,529224.0,
33268297,2013-01-01,2013-12-31,ID_0,http://regnskaber.virk.dk/79286233/Y3ZyLmRrOi8vcGRmcy8zMzI2ODI5NztBcFM0ODg4MjU7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/79286233/Y3ZyLmRrOi8veGJybHMvWC00NTA3ODdCMy0yMDE0MDUyMl8xODEwNTZfNjcy.xml,"4700, NÃ¦stved",Farvergade 9 B,Til direktionen i Bandsholm ApS:,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2013 - 31. december 2013.",2010-11-12,2014-05-20,33268297.0,20658231.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2013 - 31. december 2013 for Bandsholm ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Per B. Andersen,Bandsholm ApS,"ENGELSTED PETERSEN, Engelsted Petersen statsautoriserede revisorer","NÃ¦stved, den 13. maj 2014",,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"NÃ¦stved, 370",2013-12-31,2013-01-01,2014-05-13,NÃ¦stved,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:14022257,indberetninger-20180424,2.5124328,33268297,,2018-03-31T23:54:38.373Z,2014-05-22T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-145.693,2014-05-22T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33268297,2013-01-01,2013-12-31,ID_1,http://regnskaber.virk.dk/79286233/Y3ZyLmRrOi8vcGRmcy8zMzI2ODI5NztBcFM0ODg4MjU7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/79286233/Y3ZyLmRrOi8veGJybHMvWC00NTA3ODdCMy0yMDE0MDUyMl8xODEwNTZfNjcy.xml,"4700, NÃ¦stved",Farvergade 9 B,Til direktionen i Bandsholm ApS:,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2013 - 31. december 2013.",2010-11-12,2014-05-20,33268297.0,20658231.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2013 - 31. december 2013 for Bandsholm ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Per B. Andersen,Bandsholm ApS,"ENGELSTED PETERSEN, Engelsted Petersen statsautoriserede revisorer","NÃ¦stved, den 13. maj 2014",,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"NÃ¦stved, 370",2013-12-31,2013-01-01,2014-05-13,NÃ¦stved,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:14022257,indberetninger-20180424,2.5124328,33268297,,2018-03-31T23:54:38.373Z,2014-05-22T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-145.693,2014-05-22T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33268297,2013-01-01,2013-12-31,ID_13,http://regnskaber.virk.dk/79286233/Y3ZyLmRrOi8vcGRmcy8zMzI2ODI5NztBcFM0ODg4MjU7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/79286233/Y3ZyLmRrOi8veGJybHMvWC00NTA3ODdCMy0yMDE0MDUyMl8xODEwNTZfNjcy.xml,"4700, NÃ¦stved",Farvergade 9 B,Til direktionen i Bandsholm ApS:,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2013 - 31. december 2013.",2010-11-12,2014-05-20,33268297.0,20658231.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2013 - 31. december 2013 for Bandsholm ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Per B. Andersen,Bandsholm ApS,"ENGELSTED PETERSEN, Engelsted Petersen statsautoriserede revisorer","NÃ¦stved, den 13. maj 2014",,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"NÃ¦stved, 370",2013-12-31,2013-01-01,2014-05-13,NÃ¦stved,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:14022257,indberetninger-20180424,2.5124328,33268297,,2018-03-31T23:54:38.373Z,2014-05-22T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-145.693,2014-05-22T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33268297,2013-01-01,2013-12-31,ID_14,http://regnskaber.virk.dk/79286233/Y3ZyLmRrOi8vcGRmcy8zMzI2ODI5NztBcFM0ODg4MjU7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/79286233/Y3ZyLmRrOi8veGJybHMvWC00NTA3ODdCMy0yMDE0MDUyMl8xODEwNTZfNjcy.xml,"4700, NÃ¦stved",Farvergade 9 B,Til direktionen i Bandsholm ApS:,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2013 - 31. december 2013.",2010-11-12,2014-05-20,33268297.0,20658231.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2013 - 31. december 2013 for Bandsholm ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Per B. Andersen,Bandsholm ApS,"ENGELSTED PETERSEN, Engelsted Petersen statsautoriserede revisorer","NÃ¦stved, den 13. maj 2014",,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"NÃ¦stved, 370",2013-12-31,2013-01-01,2014-05-13,NÃ¦stved,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:14022257,indberetninger-20180424,2.5124328,33268297,,2018-03-31T23:54:38.373Z,2014-05-22T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-145.693,2014-05-22T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33268297,2013-01-01,2013-12-31,ID_15,http://regnskaber.virk.dk/79286233/Y3ZyLmRrOi8vcGRmcy8zMzI2ODI5NztBcFM0ODg4MjU7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/79286233/Y3ZyLmRrOi8veGJybHMvWC00NTA3ODdCMy0yMDE0MDUyMl8xODEwNTZfNjcy.xml,"4700, NÃ¦stved",Farvergade 9 B,Til direktionen i Bandsholm ApS:,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2013 - 31. december 2013.",2010-11-12,2014-05-20,33268297.0,20658231.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2013 - 31. december 2013 for Bandsholm ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Per B. Andersen,Bandsholm ApS,"ENGELSTED PETERSEN, Engelsted Petersen statsautoriserede revisorer","NÃ¦stved, den 13. maj 2014",,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"NÃ¦stved, 370",2013-12-31,2013-01-01,2014-05-13,NÃ¦stved,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:14022257,indberetninger-20180424,2.5124328,33268297,,2018-03-31T23:54:38.373Z,2014-05-22T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-145.693,2014-05-22T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33268297,2013-01-01,2013-12-31,ID_16,http://regnskaber.virk.dk/79286233/Y3ZyLmRrOi8vcGRmcy8zMzI2ODI5NztBcFM0ODg4MjU7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/79286233/Y3ZyLmRrOi8veGJybHMvWC00NTA3ODdCMy0yMDE0MDUyMl8xODEwNTZfNjcy.xml,"4700, NÃ¦stved",Farvergade 9 B,Til direktionen i Bandsholm ApS:,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2013 - 31. december 2013.",2010-11-12,2014-05-20,33268297.0,20658231.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2013 - 31. december 2013 for Bandsholm ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Per B. Andersen,Bandsholm ApS,"ENGELSTED PETERSEN, Engelsted Petersen statsautoriserede revisorer","NÃ¦stved, den 13. maj 2014",,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"NÃ¦stved, 370",2013-12-31,2013-01-01,2014-05-13,NÃ¦stved,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:14022257,indberetninger-20180424,2.5124328,33268297,,2018-03-31T23:54:38.373Z,2014-05-22T22:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-145.693,2014-05-22T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
