entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DisclosureOfMainActivitiesAndAccountingAndFinancialMatters,EmployeeBenefitsExpense,ExternalExpenses,GrossResult,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,TaxExpense,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,OtherShorttermInvestments,OtherShorttermPayables,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTaxReceivables,DividendPaid
28693605,2016-07-01,2017-06-30,c2,http://regnskaber.virk.dk/50639682/ZG9rdW1lbnRsYWdlcjovLzAzL2NiLzBkLzgxLzg3L2UxNDQtNGQzYS04Y2IxLTQ4ZGJmYjY2ZWY4Mg.xhtml,http://regnskaber.virk.dk/50639682/ZG9rdW1lbnRsYWdlcjovLzAzLzMzLzdmL2FjLzYyL2E2ZWUtNDNmZi1hNmMyLTU1NzZhZDFkM2E0Mw.pdf,http://regnskaber.virk.dk/50639682/ZG9rdW1lbnRsYWdlcjovLzAzLzU0LzRiL2IyLzlkL2FjMjAtNGE1Yi04NzdiLThiZGNhNjFlOGY5Yw.xml,true,Viborg,8800.0,2.0,Birkestien,8800 Viborg,Birkestien 2,Regnskabsklasse B,2018-11-25,2018-11-28,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet bestÃ¥r af formueadministration.</p>",64000.0,6585.0,-6585.0,28693605.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,JÃ¸rgen Hald,JÃ¸rgen Hald,JÃRGEN HALD INVEST ApS,JÃRGEN HALD INVEST ApS,130000.0,566587.0,Viborg,2016-07-01,2017-06-30,341560.0,366002.0,-70585.0,2018-06-30,2017-07-01,true,false,24442.0,false,false,direktÃ¸r,Ingen bistand,urn:ofk:oid:26421252,indberetninger-20180424,2.5949402000000004,28693605.0,AWd92UUiet7j816DxT8K,2018-12-05T10:11:18.757Z,2018-12-05T10:10:48.829Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-EJ-26-SL,2018-12-05T10:10:49.048Z,,,,,,,,,,,,,,,,
28693605,2016-07-01,2017-06-30,c4,http://regnskaber.virk.dk/50639682/ZG9rdW1lbnRsYWdlcjovLzAzL2NiLzBkLzgxLzg3L2UxNDQtNGQzYS04Y2IxLTQ4ZGJmYjY2ZWY4Mg.xhtml,http://regnskaber.virk.dk/50639682/ZG9rdW1lbnRsYWdlcjovLzAzLzMzLzdmL2FjLzYyL2E2ZWUtNDNmZi1hNmMyLTU1NzZhZDFkM2E0Mw.pdf,http://regnskaber.virk.dk/50639682/ZG9rdW1lbnRsYWdlcjovLzAzLzU0LzRiL2IyLzlkL2FjMjAtNGE1Yi04NzdiLThiZGNhNjFlOGY5Yw.xml,true,Viborg,8800.0,2.0,Birkestien,8800 Viborg,Birkestien 2,Regnskabsklasse B,2018-11-25,2018-11-28,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet bestÃ¥r af formueadministration.</p>",,,,28693605.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,JÃ¸rgen Hald,JÃ¸rgen Hald,JÃRGEN HALD INVEST ApS,JÃRGEN HALD INVEST ApS,,,Viborg,2016-07-01,2017-06-30,90000.0,,,2018-06-30,2017-07-01,true,false,,false,false,direktÃ¸r,Ingen bistand,urn:ofk:oid:26421252,indberetninger-20180424,2.5949402000000004,28693605.0,AWd92UUiet7j816DxT8K,2018-12-05T10:11:18.757Z,2018-12-05T10:10:48.829Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-EJ-26-SL,2018-12-05T10:10:49.048Z,,,,,,,,,,,,,,,,
28693605,2016-07-01,2017-06-30,c6,http://regnskaber.virk.dk/50639682/ZG9rdW1lbnRsYWdlcjovLzAzL2NiLzBkLzgxLzg3L2UxNDQtNGQzYS04Y2IxLTQ4ZGJmYjY2ZWY4Mg.xhtml,http://regnskaber.virk.dk/50639682/ZG9rdW1lbnRsYWdlcjovLzAzLzMzLzdmL2FjLzYyL2E2ZWUtNDNmZi1hNmMyLTU1NzZhZDFkM2E0Mw.pdf,http://regnskaber.virk.dk/50639682/ZG9rdW1lbnRsYWdlcjovLzAzLzU0LzRiL2IyLzlkL2FjMjAtNGE1Yi04NzdiLThiZGNhNjFlOGY5Yw.xml,true,Viborg,8800.0,2.0,Birkestien,8800 Viborg,Birkestien 2,Regnskabsklasse B,2018-11-25,2018-11-28,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet bestÃ¥r af formueadministration.</p>",,,,28693605.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,JÃ¸rgen Hald,JÃ¸rgen Hald,JÃRGEN HALD INVEST ApS,JÃRGEN HALD INVEST ApS,,,Viborg,2016-07-01,2017-06-30,251560.0,,,2018-06-30,2017-07-01,true,false,,false,false,direktÃ¸r,Ingen bistand,urn:ofk:oid:26421252,indberetninger-20180424,2.5949402000000004,28693605.0,AWd92UUiet7j816DxT8K,2018-12-05T10:11:18.757Z,2018-12-05T10:10:48.829Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-EJ-26-SL,2018-12-05T10:10:49.048Z,,,,,,,,,,,,,,,,
28693605,2017-06-30,2017-06-30,c8,http://regnskaber.virk.dk/50639682/ZG9rdW1lbnRsYWdlcjovLzAzL2NiLzBkLzgxLzg3L2UxNDQtNGQzYS04Y2IxLTQ4ZGJmYjY2ZWY4Mg.xhtml,http://regnskaber.virk.dk/50639682/ZG9rdW1lbnRsYWdlcjovLzAzLzMzLzdmL2FjLzYyL2E2ZWUtNDNmZi1hNmMyLTU1NzZhZDFkM2E0Mw.pdf,http://regnskaber.virk.dk/50639682/ZG9rdW1lbnRsYWdlcjovLzAzLzU0LzRiL2IyLzlkL2FjMjAtNGE1Yi04NzdiLThiZGNhNjFlOGY5Yw.xml,true,Viborg,8800.0,2.0,Birkestien,8800 Viborg,Birkestien 2,Regnskabsklasse B,2018-11-25,2018-11-28,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet bestÃ¥r af formueadministration.</p>",,,,28693605.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,JÃ¸rgen Hald,JÃ¸rgen Hald,JÃRGEN HALD INVEST ApS,JÃRGEN HALD INVEST ApS,,,Viborg,2016-07-01,2017-06-30,,,,2018-06-30,2017-07-01,true,false,,false,false,direktÃ¸r,Ingen bistand,urn:ofk:oid:26421252,indberetninger-20180424,2.5949402000000004,28693605.0,AWd92UUiet7j816DxT8K,2018-12-05T10:11:18.757Z,2018-12-05T10:10:48.829Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-EJ-26-SL,2018-12-05T10:10:49.048Z,3132701.0,1140564.0,125000.0,3132701.0,3068701.0,3132701.0,64000.0,1967848.0,64000.0,90000.0,2853701.0,1967848.0,64000.0,24289.0,24289.0,
28693605,2017-07-01,2017-07-01,c10,http://regnskaber.virk.dk/50639682/ZG9rdW1lbnRsYWdlcjovLzAzL2NiLzBkLzgxLzg3L2UxNDQtNGQzYS04Y2IxLTQ4ZGJmYjY2ZWY4Mg.xhtml,http://regnskaber.virk.dk/50639682/ZG9rdW1lbnRsYWdlcjovLzAzLzMzLzdmL2FjLzYyL2E2ZWUtNDNmZi1hNmMyLTU1NzZhZDFkM2E0Mw.pdf,http://regnskaber.virk.dk/50639682/ZG9rdW1lbnRsYWdlcjovLzAzLzU0LzRiL2IyLzlkL2FjMjAtNGE1Yi04NzdiLThiZGNhNjFlOGY5Yw.xml,true,Viborg,8800.0,2.0,Birkestien,8800 Viborg,Birkestien 2,Regnskabsklasse B,2018-11-25,2018-11-28,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet bestÃ¥r af formueadministration.</p>",,,,28693605.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,JÃ¸rgen Hald,JÃ¸rgen Hald,JÃRGEN HALD INVEST ApS,JÃRGEN HALD INVEST ApS,,,Viborg,2016-07-01,2017-06-30,,,,2018-06-30,2017-07-01,true,false,,false,false,direktÃ¸r,Ingen bistand,urn:ofk:oid:26421252,indberetninger-20180424,2.5949402000000004,28693605.0,AWd92UUiet7j816DxT8K,2018-12-05T10:11:18.757Z,2018-12-05T10:10:48.829Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-EJ-26-SL,2018-12-05T10:10:49.048Z,,,,,2853701.0,,,,,,,,,,,
28693605,2017-07-01,2017-07-01,c11,http://regnskaber.virk.dk/50639682/ZG9rdW1lbnRsYWdlcjovLzAzL2NiLzBkLzgxLzg3L2UxNDQtNGQzYS04Y2IxLTQ4ZGJmYjY2ZWY4Mg.xhtml,http://regnskaber.virk.dk/50639682/ZG9rdW1lbnRsYWdlcjovLzAzLzMzLzdmL2FjLzYyL2E2ZWUtNDNmZi1hNmMyLTU1NzZhZDFkM2E0Mw.pdf,http://regnskaber.virk.dk/50639682/ZG9rdW1lbnRsYWdlcjovLzAzLzU0LzRiL2IyLzlkL2FjMjAtNGE1Yi04NzdiLThiZGNhNjFlOGY5Yw.xml,true,Viborg,8800.0,2.0,Birkestien,8800 Viborg,Birkestien 2,Regnskabsklasse B,2018-11-25,2018-11-28,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet bestÃ¥r af formueadministration.</p>",,,,28693605.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,JÃ¸rgen Hald,JÃ¸rgen Hald,JÃRGEN HALD INVEST ApS,JÃRGEN HALD INVEST ApS,,,Viborg,2016-07-01,2017-06-30,,,,2018-06-30,2017-07-01,true,false,,false,false,direktÃ¸r,Ingen bistand,urn:ofk:oid:26421252,indberetninger-20180424,2.5949402000000004,28693605.0,AWd92UUiet7j816DxT8K,2018-12-05T10:11:18.757Z,2018-12-05T10:10:48.829Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-EJ-26-SL,2018-12-05T10:10:49.048Z,,,,,90000.0,,,,,,,,,,,
28693605,2017-07-01,2017-07-01,c12,http://regnskaber.virk.dk/50639682/ZG9rdW1lbnRsYWdlcjovLzAzL2NiLzBkLzgxLzg3L2UxNDQtNGQzYS04Y2IxLTQ4ZGJmYjY2ZWY4Mg.xhtml,http://regnskaber.virk.dk/50639682/ZG9rdW1lbnRsYWdlcjovLzAzLzMzLzdmL2FjLzYyL2E2ZWUtNDNmZi1hNmMyLTU1NzZhZDFkM2E0Mw.pdf,http://regnskaber.virk.dk/50639682/ZG9rdW1lbnRsYWdlcjovLzAzLzU0LzRiL2IyLzlkL2FjMjAtNGE1Yi04NzdiLThiZGNhNjFlOGY5Yw.xml,true,Viborg,8800.0,2.0,Birkestien,8800 Viborg,Birkestien 2,Regnskabsklasse B,2018-11-25,2018-11-28,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet bestÃ¥r af formueadministration.</p>",,,,28693605.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,JÃ¸rgen Hald,JÃ¸rgen Hald,JÃRGEN HALD INVEST ApS,JÃRGEN HALD INVEST ApS,,,Viborg,2016-07-01,2017-06-30,,,,2018-06-30,2017-07-01,true,false,,false,false,direktÃ¸r,Ingen bistand,urn:ofk:oid:26421252,indberetninger-20180424,2.5949402000000004,28693605.0,AWd92UUiet7j816DxT8K,2018-12-05T10:11:18.757Z,2018-12-05T10:10:48.829Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-EJ-26-SL,2018-12-05T10:10:49.048Z,,,,,3068701.0,,,,,,,,,,,
28693605,2017-07-01,2017-07-01,c9,http://regnskaber.virk.dk/50639682/ZG9rdW1lbnRsYWdlcjovLzAzL2NiLzBkLzgxLzg3L2UxNDQtNGQzYS04Y2IxLTQ4ZGJmYjY2ZWY4Mg.xhtml,http://regnskaber.virk.dk/50639682/ZG9rdW1lbnRsYWdlcjovLzAzLzMzLzdmL2FjLzYyL2E2ZWUtNDNmZi1hNmMyLTU1NzZhZDFkM2E0Mw.pdf,http://regnskaber.virk.dk/50639682/ZG9rdW1lbnRsYWdlcjovLzAzLzU0LzRiL2IyLzlkL2FjMjAtNGE1Yi04NzdiLThiZGNhNjFlOGY5Yw.xml,true,Viborg,8800.0,2.0,Birkestien,8800 Viborg,Birkestien 2,Regnskabsklasse B,2018-11-25,2018-11-28,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet bestÃ¥r af formueadministration.</p>",,,,28693605.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,JÃ¸rgen Hald,JÃ¸rgen Hald,JÃRGEN HALD INVEST ApS,JÃRGEN HALD INVEST ApS,,,Viborg,2016-07-01,2017-06-30,,,,2018-06-30,2017-07-01,true,false,,false,false,direktÃ¸r,Ingen bistand,urn:ofk:oid:26421252,indberetninger-20180424,2.5949402000000004,28693605.0,AWd92UUiet7j816DxT8K,2018-12-05T10:11:18.757Z,2018-12-05T10:10:48.829Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-EJ-26-SL,2018-12-05T10:10:49.048Z,,,,,125000.0,,,,,,,,,,,
28693605,2017-07-01,2018-06-30,c0,http://regnskaber.virk.dk/50639682/ZG9rdW1lbnRsYWdlcjovLzAzL2NiLzBkLzgxLzg3L2UxNDQtNGQzYS04Y2IxLTQ4ZGJmYjY2ZWY4Mg.xhtml,http://regnskaber.virk.dk/50639682/ZG9rdW1lbnRsYWdlcjovLzAzLzMzLzdmL2FjLzYyL2E2ZWUtNDNmZi1hNmMyLTU1NzZhZDFkM2E0Mw.pdf,http://regnskaber.virk.dk/50639682/ZG9rdW1lbnRsYWdlcjovLzAzLzU0LzRiL2IyLzlkL2FjMjAtNGE1Yi04NzdiLThiZGNhNjFlOGY5Yw.xml,true,Viborg,8800.0,2.0,Birkestien,8800 Viborg,Birkestien 2,Regnskabsklasse B,2018-11-25,2018-11-28,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet bestÃ¥r af formueadministration.</p>",64000.0,6832.0,-6832.0,28693605.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,JÃ¸rgen Hald,JÃ¸rgen Hald,JÃRGEN HALD INVEST ApS,JÃRGEN HALD INVEST ApS,215743.0,54809.0,Viborg,2016-07-01,2017-06-30,-231766.0,-231766.0,-70832.0,2018-06-30,2017-07-01,true,false,0.0,false,false,direktÃ¸r,Ingen bistand,urn:ofk:oid:26421252,indberetninger-20180424,2.5949402000000004,28693605.0,AWd92UUiet7j816DxT8K,2018-12-05T10:11:18.757Z,2018-12-05T10:10:48.829Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-EJ-26-SL,2018-12-05T10:10:49.048Z,,,,,,,,,,,,,,,,90000.0
28693605,2017-07-01,2018-06-30,c1,http://regnskaber.virk.dk/50639682/ZG9rdW1lbnRsYWdlcjovLzAzL2NiLzBkLzgxLzg3L2UxNDQtNGQzYS04Y2IxLTQ4ZGJmYjY2ZWY4Mg.xhtml,http://regnskaber.virk.dk/50639682/ZG9rdW1lbnRsYWdlcjovLzAzLzMzLzdmL2FjLzYyL2E2ZWUtNDNmZi1hNmMyLTU1NzZhZDFkM2E0Mw.pdf,http://regnskaber.virk.dk/50639682/ZG9rdW1lbnRsYWdlcjovLzAzLzU0LzRiL2IyLzlkL2FjMjAtNGE1Yi04NzdiLThiZGNhNjFlOGY5Yw.xml,true,Viborg,8800.0,2.0,Birkestien,8800 Viborg,Birkestien 2,Regnskabsklasse B,2018-11-25,2018-11-28,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet bestÃ¥r af formueadministration.</p>",,,,28693605.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,JÃ¸rgen Hald,JÃ¸rgen Hald,JÃRGEN HALD INVEST ApS,JÃRGEN HALD INVEST ApS,,,Viborg,2016-07-01,2017-06-30,,,,2018-06-30,2017-07-01,true,false,,false,false,direktÃ¸r,Ingen bistand,urn:ofk:oid:26421252,indberetninger-20180424,2.5949402000000004,28693605.0,AWd92UUiet7j816DxT8K,2018-12-05T10:11:18.757Z,2018-12-05T10:10:48.829Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-EJ-26-SL,2018-12-05T10:10:49.048Z,,,,,,,,,,,,,,,,
