entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,RecommendationForApprovalOfAnnualReportByGeneralMeeting,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,EmployeeBenefitsExpense,GrossProfitLoss,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermTradePayables,NameAndSurnameOfMemberOfExecutiveBoard
81963118,2016-01-01,2016-12-31,ID_10,,http://regnskaber.virk.dk/81136918/ZG9rdW1lbnRsYWdlcjovLzAzLzU5LzM1LzMxLzVlL2M4YmQtNDllNi1hYmVmLTgzOWZjYmRiODhiNQ.pdf,http://regnskaber.virk.dk/81136918/ZG9rdW1lbnRsYWdlcjovLzAzL2U2L2NkLzg2L2NjLzZjYjQtNDhkMi04OTFhLTdiNzQ5OTRlNTJkMA.xml,true,"SÃ¸borg, 2860",SÃ¸borg Hovedgade 94 B,Til den daglige ledelse i Ruders Diesel ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2017 - 31-12-2017.",2018-02-20,2018-02-20,1977-08-26,2018-02-20,37048755.0,81963118.0,37048755.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2017 - 31-12-2017 for Ruders Diesel ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",SÃ¸ren  Lund,Jens Ruders,City Revision A/S,Ruders Diesel ApS,"City Revision A/S, Godkendte revisorer",BogÃ¸,2016-01-01,2016-12-31,93350.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-02-20,SÃ¸borg,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25162077,indberetninger-20180424,2.5118406,81963118.0,,2018-04-04T05:17:31.265Z,2018-03-12T07:07:44.943Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AF-52-FD,2018-03-12T07:07:45.062Z,,,,,,,,,,,,,,,,
81963118,2016-01-01,2016-12-31,ID_6,,http://regnskaber.virk.dk/81136918/ZG9rdW1lbnRsYWdlcjovLzAzLzU5LzM1LzMxLzVlL2M4YmQtNDllNi1hYmVmLTgzOWZjYmRiODhiNQ.pdf,http://regnskaber.virk.dk/81136918/ZG9rdW1lbnRsYWdlcjovLzAzL2U2L2NkLzg2L2NjLzZjYjQtNDhkMi04OTFhLTdiNzQ5OTRlNTJkMA.xml,true,"SÃ¸borg, 2860",SÃ¸borg Hovedgade 94 B,Til den daglige ledelse i Ruders Diesel ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2017 - 31-12-2017.",2018-02-20,2018-02-20,1977-08-26,2018-02-20,37048755.0,81963118.0,37048755.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2017 - 31-12-2017 for Ruders Diesel ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",SÃ¸ren  Lund,Jens Ruders,City Revision A/S,Ruders Diesel ApS,"City Revision A/S, Godkendte revisorer",BogÃ¸,2016-01-01,2016-12-31,-43350.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-02-20,SÃ¸borg,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25162077,indberetninger-20180424,2.5118406,81963118.0,,2018-04-04T05:17:31.265Z,2018-03-12T07:07:44.943Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AF-52-FD,2018-03-12T07:07:45.062Z,39141.0,-4865.0,656.0,-43350.0,-44006.0,,,,,,,,,,,
81963118,2016-01-01,2016-12-31,ID_8,,http://regnskaber.virk.dk/81136918/ZG9rdW1lbnRsYWdlcjovLzAzLzU5LzM1LzMxLzVlL2M4YmQtNDllNi1hYmVmLTgzOWZjYmRiODhiNQ.pdf,http://regnskaber.virk.dk/81136918/ZG9rdW1lbnRsYWdlcjovLzAzL2U2L2NkLzg2L2NjLzZjYjQtNDhkMi04OTFhLTdiNzQ5OTRlNTJkMA.xml,true,"SÃ¸borg, 2860",SÃ¸borg Hovedgade 94 B,Til den daglige ledelse i Ruders Diesel ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2017 - 31-12-2017.",2018-02-20,2018-02-20,1977-08-26,2018-02-20,37048755.0,81963118.0,37048755.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2017 - 31-12-2017 for Ruders Diesel ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",SÃ¸ren  Lund,Jens Ruders,City Revision A/S,Ruders Diesel ApS,"City Revision A/S, Godkendte revisorer",BogÃ¸,2016-01-01,2016-12-31,-50000.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-02-20,SÃ¸borg,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25162077,indberetninger-20180424,2.5118406,81963118.0,,2018-04-04T05:17:31.265Z,2018-03-12T07:07:44.943Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AF-52-FD,2018-03-12T07:07:45.062Z,,,,,,,,,,,,,,,,
81963118,2016-12-31,2016-12-31,ID_5,,http://regnskaber.virk.dk/81136918/ZG9rdW1lbnRsYWdlcjovLzAzLzU5LzM1LzMxLzVlL2M4YmQtNDllNi1hYmVmLTgzOWZjYmRiODhiNQ.pdf,http://regnskaber.virk.dk/81136918/ZG9rdW1lbnRsYWdlcjovLzAzL2U2L2NkLzg2L2NjLzZjYjQtNDhkMi04OTFhLTdiNzQ5OTRlNTJkMA.xml,true,"SÃ¸borg, 2860",SÃ¸borg Hovedgade 94 B,Til den daglige ledelse i Ruders Diesel ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2017 - 31-12-2017.",2018-02-20,2018-02-20,1977-08-26,2018-02-20,37048755.0,81963118.0,37048755.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2017 - 31-12-2017 for Ruders Diesel ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",SÃ¸ren  Lund,Jens Ruders,City Revision A/S,Ruders Diesel ApS,"City Revision A/S, Godkendte revisorer",BogÃ¸,2016-01-01,2016-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-02-20,SÃ¸borg,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25162077,indberetninger-20180424,2.5118406,81963118.0,,2018-04-04T05:17:31.265Z,2018-03-12T07:07:44.943Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AF-52-FD,2018-03-12T07:07:45.062Z,,,,,,1303971.0,1303971.0,200000.0,1303971.0,1293971.0,1303971.0,10000.0,1093971.0,10000.0,10000.0,
81963118,2017-01-01,2017-12-31,ID_0,,http://regnskaber.virk.dk/81136918/ZG9rdW1lbnRsYWdlcjovLzAzLzU5LzM1LzMxLzVlL2M4YmQtNDllNi1hYmVmLTgzOWZjYmRiODhiNQ.pdf,http://regnskaber.virk.dk/81136918/ZG9rdW1lbnRsYWdlcjovLzAzL2U2L2NkLzg2L2NjLzZjYjQtNDhkMi04OTFhLTdiNzQ5OTRlNTJkMA.xml,true,"SÃ¸borg, 2860",SÃ¸borg Hovedgade 94 B,Til den daglige ledelse i Ruders Diesel ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2017 - 31-12-2017.",2018-02-20,2018-02-20,1977-08-26,2018-02-20,37048755.0,81963118.0,37048755.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2017 - 31-12-2017 for Ruders Diesel ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",SÃ¸ren  Lund,Jens Ruders,City Revision A/S,Ruders Diesel ApS,"City Revision A/S, Godkendte revisorer",BogÃ¸,2016-01-01,2016-12-31,-51603.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-02-20,SÃ¸borg,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25162077,indberetninger-20180424,2.5118406,81963118.0,,2018-04-04T05:17:31.265Z,2018-03-12T07:07:44.943Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AF-52-FD,2018-03-12T07:07:45.062Z,39152.0,-12451.0,0.0,-51603.0,-51603.0,,,,,,,,,,,
81963118,2017-01-01,2017-12-31,ID_1,,http://regnskaber.virk.dk/81136918/ZG9rdW1lbnRsYWdlcjovLzAzLzU5LzM1LzMxLzVlL2M4YmQtNDllNi1hYmVmLTgzOWZjYmRiODhiNQ.pdf,http://regnskaber.virk.dk/81136918/ZG9rdW1lbnRsYWdlcjovLzAzL2U2L2NkLzg2L2NjLzZjYjQtNDhkMi04OTFhLTdiNzQ5OTRlNTJkMA.xml,true,"SÃ¸borg, 2860",SÃ¸borg Hovedgade 94 B,Til den daglige ledelse i Ruders Diesel ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2017 - 31-12-2017.",2018-02-20,2018-02-20,1977-08-26,2018-02-20,37048755.0,81963118.0,37048755.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2017 - 31-12-2017 for Ruders Diesel ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",SÃ¸ren  Lund,Jens Ruders,City Revision A/S,Ruders Diesel ApS,"City Revision A/S, Godkendte revisorer",BogÃ¸,2016-01-01,2016-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-02-20,SÃ¸borg,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25162077,indberetninger-20180424,2.5118406,81963118.0,,2018-04-04T05:17:31.265Z,2018-03-12T07:07:44.943Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AF-52-FD,2018-03-12T07:07:45.062Z,,,,,,,,,,,,,,,,
81963118,2017-01-01,2017-12-31,ID_2,,http://regnskaber.virk.dk/81136918/ZG9rdW1lbnRsYWdlcjovLzAzLzU5LzM1LzMxLzVlL2M4YmQtNDllNi1hYmVmLTgzOWZjYmRiODhiNQ.pdf,http://regnskaber.virk.dk/81136918/ZG9rdW1lbnRsYWdlcjovLzAzL2U2L2NkLzg2L2NjLzZjYjQtNDhkMi04OTFhLTdiNzQ5OTRlNTJkMA.xml,true,"SÃ¸borg, 2860",SÃ¸borg Hovedgade 94 B,Til den daglige ledelse i Ruders Diesel ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2017 - 31-12-2017.",2018-02-20,2018-02-20,1977-08-26,2018-02-20,37048755.0,81963118.0,37048755.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2017 - 31-12-2017 for Ruders Diesel ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",SÃ¸ren  Lund,Jens Ruders,City Revision A/S,Ruders Diesel ApS,"City Revision A/S, Godkendte revisorer",BogÃ¸,2016-01-01,2016-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-02-20,SÃ¸borg,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25162077,indberetninger-20180424,2.5118406,81963118.0,,2018-04-04T05:17:31.265Z,2018-03-12T07:07:44.943Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AF-52-FD,2018-03-12T07:07:45.062Z,,,,,,,,,,,,,,,,Jens Ruders
81963118,2017-01-01,2017-12-31,ID_3,,http://regnskaber.virk.dk/81136918/ZG9rdW1lbnRsYWdlcjovLzAzLzU5LzM1LzMxLzVlL2M4YmQtNDllNi1hYmVmLTgzOWZjYmRiODhiNQ.pdf,http://regnskaber.virk.dk/81136918/ZG9rdW1lbnRsYWdlcjovLzAzL2U2L2NkLzg2L2NjLzZjYjQtNDhkMi04OTFhLTdiNzQ5OTRlNTJkMA.xml,true,"SÃ¸borg, 2860",SÃ¸borg Hovedgade 94 B,Til den daglige ledelse i Ruders Diesel ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2017 - 31-12-2017.",2018-02-20,2018-02-20,1977-08-26,2018-02-20,37048755.0,81963118.0,37048755.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2017 - 31-12-2017 for Ruders Diesel ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",SÃ¸ren  Lund,Jens Ruders,City Revision A/S,Ruders Diesel ApS,"City Revision A/S, Godkendte revisorer",BogÃ¸,2016-01-01,2016-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-02-20,SÃ¸borg,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25162077,indberetninger-20180424,2.5118406,81963118.0,,2018-04-04T05:17:31.265Z,2018-03-12T07:07:44.943Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AF-52-FD,2018-03-12T07:07:45.062Z,,,,,,,,,,,,,,,,
81963118,2017-01-01,2017-12-31,ID_7,,http://regnskaber.virk.dk/81136918/ZG9rdW1lbnRsYWdlcjovLzAzLzU5LzM1LzMxLzVlL2M4YmQtNDllNi1hYmVmLTgzOWZjYmRiODhiNQ.pdf,http://regnskaber.virk.dk/81136918/ZG9rdW1lbnRsYWdlcjovLzAzL2U2L2NkLzg2L2NjLzZjYjQtNDhkMi04OTFhLTdiNzQ5OTRlNTJkMA.xml,true,"SÃ¸borg, 2860",SÃ¸borg Hovedgade 94 B,Til den daglige ledelse i Ruders Diesel ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2017 - 31-12-2017.",2018-02-20,2018-02-20,1977-08-26,2018-02-20,37048755.0,81963118.0,37048755.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2017 - 31-12-2017 for Ruders Diesel ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",SÃ¸ren  Lund,Jens Ruders,City Revision A/S,Ruders Diesel ApS,"City Revision A/S, Godkendte revisorer",BogÃ¸,2016-01-01,2016-12-31,-103400.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-02-20,SÃ¸borg,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25162077,indberetninger-20180424,2.5118406,81963118.0,,2018-04-04T05:17:31.265Z,2018-03-12T07:07:44.943Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AF-52-FD,2018-03-12T07:07:45.062Z,,,,,,,,,,,,,,,,
81963118,2017-01-01,2017-12-31,ID_9,,http://regnskaber.virk.dk/81136918/ZG9rdW1lbnRsYWdlcjovLzAzLzU5LzM1LzMxLzVlL2M4YmQtNDllNi1hYmVmLTgzOWZjYmRiODhiNQ.pdf,http://regnskaber.virk.dk/81136918/ZG9rdW1lbnRsYWdlcjovLzAzL2U2L2NkLzg2L2NjLzZjYjQtNDhkMi04OTFhLTdiNzQ5OTRlNTJkMA.xml,true,"SÃ¸borg, 2860",SÃ¸borg Hovedgade 94 B,Til den daglige ledelse i Ruders Diesel ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2017 - 31-12-2017.",2018-02-20,2018-02-20,1977-08-26,2018-02-20,37048755.0,81963118.0,37048755.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2017 - 31-12-2017 for Ruders Diesel ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",SÃ¸ren  Lund,Jens Ruders,City Revision A/S,Ruders Diesel ApS,"City Revision A/S, Godkendte revisorer",BogÃ¸,2016-01-01,2016-12-31,155003.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-02-20,SÃ¸borg,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25162077,indberetninger-20180424,2.5118406,81963118.0,,2018-04-04T05:17:31.265Z,2018-03-12T07:07:44.943Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AF-52-FD,2018-03-12T07:07:45.062Z,,,,,,,,,,,,,,,,
