entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,GrossResult,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfFinancialInstitution,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherExternalExpenses,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInAssociates,LongtermLiabilitiesOtherThanProvisions,LongtermTaxPayables,NoncurrentAssets,OtherShorttermInvestments,OtherShorttermPayables,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermReceivablesFromAssociates,ShorttermTaxPayables,ShorttermTaxReceivables,ShorttermTradePayables
28153007,2014-10-01,2015-09-30,ID_3,,http://regnskaber.virk.dk/70035182/ZG9rdW1lbnRsYWdlcjovLzAzLzI1LzVjLzRiLzY3LzQwZWQtNDJlYy1hZjk1LTlkYzk1YTdjMWQ3OQ.pdf,http://regnskaber.virk.dk/70035182/ZG9rdW1lbnRsYWdlcjovLzAzLzI2L2M4LzVhLzUwLzQ0NWMtNGI4Zi04NGNiLWU3NmJkMWE3MTNjZQ.xml,"RÃ¸nde, 8410",FÃ¸llevej 5,Til den daglige ledelse i Isafjord Holding ApS,Regnskabsklasse B,2017-03-01,2017-03-01,2004-10-14,2017-03-03,-3250.0,19713830.0,61126228.0,28153007.0,19713830.0,Ãrsrapport,Steen Rahbek,Frands MÃ¸ller Rasmussen,Djurs Revision,Danske Bank A/S,Isafjord Holding ApS,"Djurs Revision, Registreret revisionsvirksomhed",3250.0,0.0,170386.0,SÃ¸by,2014-10-01,2015-09-30,126505.0,167136.0,"706, Syddjurs",2016-09-30,2015-10-01,2017-03-01,FÃ¸lle,40631.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23557418,indberetninger-20180424,2.5118417999999996,28153007.0,,2018-03-27T20:59:01.305Z,2017-03-06T09:52:47.046Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AD-83-ZJ,2017-03-06T09:52:47.223Z,,,,,,,,,,,,,,,,,,,,,,,,
28153007,2014-10-01,2015-09-30,ID_5,,http://regnskaber.virk.dk/70035182/ZG9rdW1lbnRsYWdlcjovLzAzLzI1LzVjLzRiLzY3LzQwZWQtNDJlYy1hZjk1LTlkYzk1YTdjMWQ3OQ.pdf,http://regnskaber.virk.dk/70035182/ZG9rdW1lbnRsYWdlcjovLzAzLzI2L2M4LzVhLzUwLzQ0NWMtNGI4Zi04NGNiLWU3NmJkMWE3MTNjZQ.xml,"RÃ¸nde, 8410",FÃ¸llevej 5,Til den daglige ledelse i Isafjord Holding ApS,Regnskabsklasse B,2017-03-01,2017-03-01,2004-10-14,2017-03-03,,19713830.0,61126228.0,28153007.0,19713830.0,Ãrsrapport,Steen Rahbek,Frands MÃ¸ller Rasmussen,Djurs Revision,Danske Bank A/S,Isafjord Holding ApS,"Djurs Revision, Registreret revisionsvirksomhed",,,,SÃ¸by,2014-10-01,2015-09-30,-40000.0,,"706, Syddjurs",2016-09-30,2015-10-01,2017-03-01,FÃ¸lle,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23557418,indberetninger-20180424,2.5118417999999996,28153007.0,,2018-03-27T20:59:01.305Z,2017-03-06T09:52:47.046Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AD-83-ZJ,2017-03-06T09:52:47.223Z,,,,,,,,,,,,,,,,,,,,,,,,
28153007,2014-10-01,2015-09-30,ID_7,,http://regnskaber.virk.dk/70035182/ZG9rdW1lbnRsYWdlcjovLzAzLzI1LzVjLzRiLzY3LzQwZWQtNDJlYy1hZjk1LTlkYzk1YTdjMWQ3OQ.pdf,http://regnskaber.virk.dk/70035182/ZG9rdW1lbnRsYWdlcjovLzAzLzI2L2M4LzVhLzUwLzQ0NWMtNGI4Zi04NGNiLWU3NmJkMWE3MTNjZQ.xml,"RÃ¸nde, 8410",FÃ¸llevej 5,Til den daglige ledelse i Isafjord Holding ApS,Regnskabsklasse B,2017-03-01,2017-03-01,2004-10-14,2017-03-03,,19713830.0,61126228.0,28153007.0,19713830.0,Ãrsrapport,Steen Rahbek,Frands MÃ¸ller Rasmussen,Djurs Revision,Danske Bank A/S,Isafjord Holding ApS,"Djurs Revision, Registreret revisionsvirksomhed",,,,SÃ¸by,2014-10-01,2015-09-30,-86505.0,,"706, Syddjurs",2016-09-30,2015-10-01,2017-03-01,FÃ¸lle,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23557418,indberetninger-20180424,2.5118417999999996,28153007.0,,2018-03-27T20:59:01.305Z,2017-03-06T09:52:47.046Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AD-83-ZJ,2017-03-06T09:52:47.223Z,,,,,,,,,,,,,,,,,,,,,,,,
28153007,2015-09-30,2015-09-30,ID_9,,http://regnskaber.virk.dk/70035182/ZG9rdW1lbnRsYWdlcjovLzAzLzI1LzVjLzRiLzY3LzQwZWQtNDJlYy1hZjk1LTlkYzk1YTdjMWQ3OQ.pdf,http://regnskaber.virk.dk/70035182/ZG9rdW1lbnRsYWdlcjovLzAzLzI2L2M4LzVhLzUwLzQ0NWMtNGI4Zi04NGNiLWU3NmJkMWE3MTNjZQ.xml,"RÃ¸nde, 8410",FÃ¸llevej 5,Til den daglige ledelse i Isafjord Holding ApS,Regnskabsklasse B,2017-03-01,2017-03-01,2004-10-14,2017-03-03,,19713830.0,61126228.0,28153007.0,19713830.0,Ãrsrapport,Steen Rahbek,Frands MÃ¸ller Rasmussen,Djurs Revision,Danske Bank A/S,Isafjord Holding ApS,"Djurs Revision, Registreret revisionsvirksomhed",,,,SÃ¸by,2014-10-01,2015-09-30,,,"706, Syddjurs",2016-09-30,2015-10-01,2017-03-01,FÃ¸lle,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23557418,indberetninger-20180424,2.5118417999999996,28153007.0,,2018-03-27T20:59:01.305Z,2017-03-06T09:52:47.046Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AD-83-ZJ,2017-03-06T09:52:47.223Z,998274.0,223011.0,125000.0,873274.0,926448.0,998274.0,71826.0,125000.0,125000.0,36176.0,36176.0,125000.0,600263.0,0.0,40000.0,761448.0,600263.0,35650.0,20359.0,50000.0,50000.0,2853.0,0.0,12438.0
28153007,2015-10-01,2016-09-30,ID_0,,http://regnskaber.virk.dk/70035182/ZG9rdW1lbnRsYWdlcjovLzAzLzI1LzVjLzRiLzY3LzQwZWQtNDJlYy1hZjk1LTlkYzk1YTdjMWQ3OQ.pdf,http://regnskaber.virk.dk/70035182/ZG9rdW1lbnRsYWdlcjovLzAzLzI2L2M4LzVhLzUwLzQ0NWMtNGI4Zi04NGNiLWU3NmJkMWE3MTNjZQ.xml,"RÃ¸nde, 8410",FÃ¸llevej 5,Til den daglige ledelse i Isafjord Holding ApS,Regnskabsklasse B,2017-03-01,2017-03-01,2004-10-14,2017-03-03,-10531.0,19713830.0,61126228.0,28153007.0,19713830.0,Ãrsrapport,Steen Rahbek,Frands MÃ¸ller Rasmussen,Djurs Revision,Danske Bank A/S,Isafjord Holding ApS,"Djurs Revision, Registreret revisionsvirksomhed",10531.0,994.0,15260.0,SÃ¸by,2014-10-01,2015-09-30,2701.0,3735.0,"706, Syddjurs",2016-09-30,2015-10-01,2017-03-01,FÃ¸lle,1034.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23557418,indberetninger-20180424,2.5118417999999996,28153007.0,,2018-03-27T20:59:01.305Z,2017-03-06T09:52:47.046Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AD-83-ZJ,2017-03-06T09:52:47.223Z,,,,,,,,,,,,,,,,,,,,,,,,
28153007,2015-10-01,2016-09-30,ID_1,,http://regnskaber.virk.dk/70035182/ZG9rdW1lbnRsYWdlcjovLzAzLzI1LzVjLzRiLzY3LzQwZWQtNDJlYy1hZjk1LTlkYzk1YTdjMWQ3OQ.pdf,http://regnskaber.virk.dk/70035182/ZG9rdW1lbnRsYWdlcjovLzAzLzI2L2M4LzVhLzUwLzQ0NWMtNGI4Zi04NGNiLWU3NmJkMWE3MTNjZQ.xml,"RÃ¸nde, 8410",FÃ¸llevej 5,Til den daglige ledelse i Isafjord Holding ApS,Regnskabsklasse B,2017-03-01,2017-03-01,2004-10-14,2017-03-03,,19713830.0,61126228.0,28153007.0,19713830.0,Ãrsrapport,Steen Rahbek,Frands MÃ¸ller Rasmussen,Djurs Revision,Danske Bank A/S,Isafjord Holding ApS,"Djurs Revision, Registreret revisionsvirksomhed",,,,SÃ¸by,2014-10-01,2015-09-30,,,"706, Syddjurs",2016-09-30,2015-10-01,2017-03-01,FÃ¸lle,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23557418,indberetninger-20180424,2.5118417999999996,28153007.0,,2018-03-27T20:59:01.305Z,2017-03-06T09:52:47.046Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AD-83-ZJ,2017-03-06T09:52:47.223Z,,,,,,,,,,,,,,,,,,,,,,,,
28153007,2015-10-01,2016-09-30,ID_2,,http://regnskaber.virk.dk/70035182/ZG9rdW1lbnRsYWdlcjovLzAzLzI1LzVjLzRiLzY3LzQwZWQtNDJlYy1hZjk1LTlkYzk1YTdjMWQ3OQ.pdf,http://regnskaber.virk.dk/70035182/ZG9rdW1lbnRsYWdlcjovLzAzLzI2L2M4LzVhLzUwLzQ0NWMtNGI4Zi04NGNiLWU3NmJkMWE3MTNjZQ.xml,"RÃ¸nde, 8410",FÃ¸llevej 5,Til den daglige ledelse i Isafjord Holding ApS,Regnskabsklasse B,2017-03-01,2017-03-01,2004-10-14,2017-03-03,,19713830.0,61126228.0,28153007.0,19713830.0,Ãrsrapport,Steen Rahbek,Frands MÃ¸ller Rasmussen,Djurs Revision,Danske Bank A/S,Isafjord Holding ApS,"Djurs Revision, Registreret revisionsvirksomhed",,,,SÃ¸by,2014-10-01,2015-09-30,,,"706, Syddjurs",2016-09-30,2015-10-01,2017-03-01,FÃ¸lle,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23557418,indberetninger-20180424,2.5118417999999996,28153007.0,,2018-03-27T20:59:01.305Z,2017-03-06T09:52:47.046Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AD-83-ZJ,2017-03-06T09:52:47.223Z,,,,,,,,,,,,,,,,,,,,,,,,
28153007,2015-10-01,2016-09-30,ID_4,,http://regnskaber.virk.dk/70035182/ZG9rdW1lbnRsYWdlcjovLzAzLzI1LzVjLzRiLzY3LzQwZWQtNDJlYy1hZjk1LTlkYzk1YTdjMWQ3OQ.pdf,http://regnskaber.virk.dk/70035182/ZG9rdW1lbnRsYWdlcjovLzAzLzI2L2M4LzVhLzUwLzQ0NWMtNGI4Zi04NGNiLWU3NmJkMWE3MTNjZQ.xml,"RÃ¸nde, 8410",FÃ¸llevej 5,Til den daglige ledelse i Isafjord Holding ApS,Regnskabsklasse B,2017-03-01,2017-03-01,2004-10-14,2017-03-03,,19713830.0,61126228.0,28153007.0,19713830.0,Ãrsrapport,Steen Rahbek,Frands MÃ¸ller Rasmussen,Djurs Revision,Danske Bank A/S,Isafjord Holding ApS,"Djurs Revision, Registreret revisionsvirksomhed",,,,SÃ¸by,2014-10-01,2015-09-30,0.0,,"706, Syddjurs",2016-09-30,2015-10-01,2017-03-01,FÃ¸lle,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23557418,indberetninger-20180424,2.5118417999999996,28153007.0,,2018-03-27T20:59:01.305Z,2017-03-06T09:52:47.046Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AD-83-ZJ,2017-03-06T09:52:47.223Z,,,,,,,,,,,,,,,,,,,,,,,,
28153007,2015-10-01,2016-09-30,ID_6,,http://regnskaber.virk.dk/70035182/ZG9rdW1lbnRsYWdlcjovLzAzLzI1LzVjLzRiLzY3LzQwZWQtNDJlYy1hZjk1LTlkYzk1YTdjMWQ3OQ.pdf,http://regnskaber.virk.dk/70035182/ZG9rdW1lbnRsYWdlcjovLzAzLzI2L2M4LzVhLzUwLzQ0NWMtNGI4Zi04NGNiLWU3NmJkMWE3MTNjZQ.xml,"RÃ¸nde, 8410",FÃ¸llevej 5,Til den daglige ledelse i Isafjord Holding ApS,Regnskabsklasse B,2017-03-01,2017-03-01,2004-10-14,2017-03-03,,19713830.0,61126228.0,28153007.0,19713830.0,Ãrsrapport,Steen Rahbek,Frands MÃ¸ller Rasmussen,Djurs Revision,Danske Bank A/S,Isafjord Holding ApS,"Djurs Revision, Registreret revisionsvirksomhed",,,,SÃ¸by,2014-10-01,2015-09-30,-2701.0,,"706, Syddjurs",2016-09-30,2015-10-01,2017-03-01,FÃ¸lle,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23557418,indberetninger-20180424,2.5118417999999996,28153007.0,,2018-03-27T20:59:01.305Z,2017-03-06T09:52:47.046Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AD-83-ZJ,2017-03-06T09:52:47.223Z,,,,,,,,,,,,,,,,,,,,,,,,
28153007,2016-09-30,2016-09-30,ID_8,,http://regnskaber.virk.dk/70035182/ZG9rdW1lbnRsYWdlcjovLzAzLzI1LzVjLzRiLzY3LzQwZWQtNDJlYy1hZjk1LTlkYzk1YTdjMWQ3OQ.pdf,http://regnskaber.virk.dk/70035182/ZG9rdW1lbnRsYWdlcjovLzAzLzI2L2M4LzVhLzUwLzQ0NWMtNGI4Zi04NGNiLWU3NmJkMWE3MTNjZQ.xml,"RÃ¸nde, 8410",FÃ¸llevej 5,Til den daglige ledelse i Isafjord Holding ApS,Regnskabsklasse B,2017-03-01,2017-03-01,2004-10-14,2017-03-03,,19713830.0,61126228.0,28153007.0,19713830.0,Ãrsrapport,Steen Rahbek,Frands MÃ¸ller Rasmussen,Djurs Revision,Danske Bank A/S,Isafjord Holding ApS,"Djurs Revision, Registreret revisionsvirksomhed",,,,SÃ¸by,2014-10-01,2015-09-30,,,"706, Syddjurs",2016-09-30,2015-10-01,2017-03-01,FÃ¸lle,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23557418,indberetninger-20180424,2.5118417999999996,28153007.0,,2018-03-27T20:59:01.305Z,2017-03-06T09:52:47.046Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AD-83-ZJ,2017-03-06T09:52:47.223Z,912013.0,183300.0,125000.0,787013.0,889149.0,912013.0,22864.0,125000.0,125000.0,0.0,0.0,125000.0,601725.0,115.0,0.0,764149.0,601725.0,22864.0,0.0,1988.0,0.0,16749.0,1988.0,6000.0
