entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AdditionsToPropertyPlantAndEquipment,AddressOfAuditorCountry,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DescriptionOfAuditor,Equity,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,InformationOnTypeOfSubmittedReport,LongtermLiabilitiesOtherThanProvisionsDueAfterFiveYearsAndMore,LongtermLiabilitiesOtherThanProvisionsDueInOneYear,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,RevaluationsOfPropertyPlantAndEquipment,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,EmployeeBenefitsExpense,GrossProfitLoss,InterestExpenseAssignedToGroupEnterprises,InterestIncomeFromGroupEnterprises,OtherFinanceExpenses,OtherFinanceIncome,OtherInterestExpenses,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,TaxExpense,WagesAndSalaries,WritedownsOfCurrentAssetsOtherThanCurrentFinancialAssets,LongtermLiabilitiesOtherThanProvisions,Assets,ContributedCapital,CurrentAssets,DeferredIncomeAssets,LandAndBuildings,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermMortgageDebt,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,Provisions,ProvisionsForDeferredTax,RetainedEarnings,ShorttermDebtToOtherCreditInstitutions,ShorttermLiabilitiesOtherThanProvisions,ShorttermPartOfLongtermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,ShorttermTradePayables,ShorttermTradeReceivables,AccumulatedRevaluationOfPropertyPlantAndEquipment,PropertyPlantAndEquipmentGross,NameOfAuditFirm
29929904,2014-07-01,2014-07-01,c696,,http://regnskaber.virk.dk/40992992/ZG9rdW1lbnRsYWdlcjovLzAzL2U5LzJiLzZmLzUxL2I5MDctNDI4Yy04ODY5LWUwZDZmNWExOTNiYw.pdf,http://regnskaber.virk.dk/40992992/ZG9rdW1lbnRsYWdlcjovLzAzL2M5L2FiL2Q0Lzc2L2E3NjItNDgwZi1hYjBhLTAxMzY3MzVjZDhkYQ.xml,77994.0,Danmark,Aarhus N,8200.0,16.0,Dusager,Aarhus V,8210.0,1.0,Junivej,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2016-12-21,2016-12-21,Statsaut. revisor,125000.0,32895468.0,29929904.0,Ãrsrapport,2348000.0,85000.0,Martin Rasmussen,Victor Duc Huy Ly,Victor Duc Huy Ly,Davi Ejendomsselskab ApS,Beierholm,Aarhus V,Aarhus V,2016-06-30,2015-07-01,-48441.0,2016-12-21,Aarhus,RevisionspÃ¥tegning,urn:ofk:oid:23330256,indberetninger-20180424,2.5124211,29929904.0,,2018-03-29T09:37:49.516Z,2016-12-21T17:16:51.842Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BK-40-PS,2016-12-21T17:16:52.550Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29929904,2014-07-01,2014-07-01,c717,,http://regnskaber.virk.dk/40992992/ZG9rdW1lbnRsYWdlcjovLzAzL2U5LzJiLzZmLzUxL2I5MDctNDI4Yy04ODY5LWUwZDZmNWExOTNiYw.pdf,http://regnskaber.virk.dk/40992992/ZG9rdW1lbnRsYWdlcjovLzAzL2M5L2FiL2Q0Lzc2L2E3NjItNDgwZi1hYjBhLTAxMzY3MzVjZDhkYQ.xml,77994.0,Danmark,Aarhus N,8200.0,16.0,Dusager,Aarhus V,8210.0,1.0,Junivej,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2016-12-21,2016-12-21,Statsaut. revisor,1456724.0,32895468.0,29929904.0,Ãrsrapport,2348000.0,85000.0,Martin Rasmussen,Victor Duc Huy Ly,Victor Duc Huy Ly,Davi Ejendomsselskab ApS,Beierholm,Aarhus V,Aarhus V,2016-06-30,2015-07-01,-48441.0,2016-12-21,Aarhus,RevisionspÃ¥tegning,urn:ofk:oid:23330256,indberetninger-20180424,2.5124211,29929904.0,,2018-03-29T09:37:49.516Z,2016-12-21T17:16:51.842Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BK-40-PS,2016-12-21T17:16:52.550Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29929904,2014-07-01,2015-06-30,c54,,http://regnskaber.virk.dk/40992992/ZG9rdW1lbnRsYWdlcjovLzAzL2U5LzJiLzZmLzUxL2I5MDctNDI4Yy04ODY5LWUwZDZmNWExOTNiYw.pdf,http://regnskaber.virk.dk/40992992/ZG9rdW1lbnRsYWdlcjovLzAzL2M5L2FiL2Q0Lzc2L2E3NjItNDgwZi1hYjBhLTAxMzY3MzVjZDhkYQ.xml,77994.0,Danmark,Aarhus N,8200.0,16.0,Dusager,Aarhus V,8210.0,1.0,Junivej,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2016-12-21,2016-12-21,Statsaut. revisor,,32895468.0,29929904.0,Ãrsrapport,2348000.0,85000.0,Martin Rasmussen,Victor Duc Huy Ly,Victor Duc Huy Ly,Davi Ejendomsselskab ApS,Beierholm,Aarhus V,Aarhus V,2016-06-30,2015-07-01,-48441.0,2016-12-21,Aarhus,RevisionspÃ¥tegning,urn:ofk:oid:23330256,indberetninger-20180424,2.5124211,29929904.0,,2018-03-29T09:37:49.516Z,2016-12-21T17:16:51.842Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BK-40-PS,2016-12-21T17:16:52.550Z,210548.0,732458.0,15000.0,6966.0,182050.0,6966.0,167050.0,311057.0,443826.0,132769.0,210548.0,-97000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
29929904,2014-07-01,2015-06-30,c69,,http://regnskaber.virk.dk/40992992/ZG9rdW1lbnRsYWdlcjovLzAzL2U5LzJiLzZmLzUxL2I5MDctNDI4Yy04ODY5LWUwZDZmNWExOTNiYw.pdf,http://regnskaber.virk.dk/40992992/ZG9rdW1lbnRsYWdlcjovLzAzL2M5L2FiL2Q0Lzc2L2E3NjItNDgwZi1hYjBhLTAxMzY3MzVjZDhkYQ.xml,77994.0,Danmark,Aarhus N,8200.0,16.0,Dusager,Aarhus V,8210.0,1.0,Junivej,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2016-12-21,2016-12-21,Statsaut. revisor,,32895468.0,29929904.0,Ãrsrapport,2348000.0,85000.0,Martin Rasmussen,Victor Duc Huy Ly,Victor Duc Huy Ly,Davi Ejendomsselskab ApS,Beierholm,Aarhus V,Aarhus V,2016-06-30,2015-07-01,-48441.0,2016-12-21,Aarhus,RevisionspÃ¥tegning,urn:ofk:oid:23330256,indberetninger-20180424,2.5124211,29929904.0,,2018-03-29T09:37:49.516Z,2016-12-21T17:16:51.842Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BK-40-PS,2016-12-21T17:16:52.550Z,,,,,,,,311057.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29929904,2014-07-01,2015-06-30,c718,,http://regnskaber.virk.dk/40992992/ZG9rdW1lbnRsYWdlcjovLzAzL2U5LzJiLzZmLzUxL2I5MDctNDI4Yy04ODY5LWUwZDZmNWExOTNiYw.pdf,http://regnskaber.virk.dk/40992992/ZG9rdW1lbnRsYWdlcjovLzAzL2M5L2FiL2Q0Lzc2L2E3NjItNDgwZi1hYjBhLTAxMzY3MzVjZDhkYQ.xml,77994.0,Danmark,Aarhus N,8200.0,16.0,Dusager,Aarhus V,8210.0,1.0,Junivej,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2016-12-21,2016-12-21,Statsaut. revisor,,32895468.0,29929904.0,Ãrsrapport,2348000.0,85000.0,Martin Rasmussen,Victor Duc Huy Ly,Victor Duc Huy Ly,Davi Ejendomsselskab ApS,Beierholm,Aarhus V,Aarhus V,2016-06-30,2015-07-01,-48441.0,2016-12-21,Aarhus,RevisionspÃ¥tegning,urn:ofk:oid:23330256,indberetninger-20180424,2.5124211,29929904.0,,2018-03-29T09:37:49.516Z,2016-12-21T17:16:51.842Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BK-40-PS,2016-12-21T17:16:52.550Z,,,,,,,,311057.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29929904,2015-06-30,2015-06-30,c230,,http://regnskaber.virk.dk/40992992/ZG9rdW1lbnRsYWdlcjovLzAzL2U5LzJiLzZmLzUxL2I5MDctNDI4Yy04ODY5LWUwZDZmNWExOTNiYw.pdf,http://regnskaber.virk.dk/40992992/ZG9rdW1lbnRsYWdlcjovLzAzL2M5L2FiL2Q0Lzc2L2E3NjItNDgwZi1hYjBhLTAxMzY3MzVjZDhkYQ.xml,77994.0,Danmark,Aarhus N,8200.0,16.0,Dusager,Aarhus V,8210.0,1.0,Junivej,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2016-12-21,2016-12-21,Statsaut. revisor,,32895468.0,29929904.0,Ãrsrapport,2348000.0,85000.0,Martin Rasmussen,Victor Duc Huy Ly,Victor Duc Huy Ly,Davi Ejendomsselskab ApS,Beierholm,Aarhus V,Aarhus V,2016-06-30,2015-07-01,-48441.0,2016-12-21,Aarhus,RevisionspÃ¥tegning,urn:ofk:oid:23330256,indberetninger-20180424,2.5124211,29929904.0,,2018-03-29T09:37:49.516Z,2016-12-21T17:16:51.842Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BK-40-PS,2016-12-21T17:16:52.550Z,,,,,,,,,,,,,2855639.0,,,,,,,,,,,,,,,,,,,,,,,,,,
29929904,2015-06-30,2015-06-30,c70,,http://regnskaber.virk.dk/40992992/ZG9rdW1lbnRsYWdlcjovLzAzL2U5LzJiLzZmLzUxL2I5MDctNDI4Yy04ODY5LWUwZDZmNWExOTNiYw.pdf,http://regnskaber.virk.dk/40992992/ZG9rdW1lbnRsYWdlcjovLzAzL2M5L2FiL2Q0Lzc2L2E3NjItNDgwZi1hYjBhLTAxMzY3MzVjZDhkYQ.xml,77994.0,Danmark,Aarhus N,8200.0,16.0,Dusager,Aarhus V,8210.0,1.0,Junivej,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2016-12-21,2016-12-21,Statsaut. revisor,1892781.0,32895468.0,29929904.0,Ãrsrapport,2348000.0,85000.0,Martin Rasmussen,Victor Duc Huy Ly,Victor Duc Huy Ly,Davi Ejendomsselskab ApS,Beierholm,Aarhus V,Aarhus V,2016-06-30,2015-07-01,-48441.0,2016-12-21,Aarhus,RevisionspÃ¥tegning,urn:ofk:oid:23330256,indberetninger-20180424,2.5124211,29929904.0,,2018-03-29T09:37:49.516Z,2016-12-21T17:16:51.842Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BK-40-PS,2016-12-21T17:16:52.550Z,,,,,,,,,,,,,2755639.0,6839348.0,125000.0,138901.0,15709.0,6700447.0,6839348.0,4543220.0,2755639.0,6700447.0,1120969.0,13785.0,6700447.0,403347.0,403347.0,1767781.0,357163.0,1787581.0,100000.0,138901.0,88590.0,151899.0,57550.0,20817.0,,,
29929904,2015-07-01,2015-07-01,c108,,http://regnskaber.virk.dk/40992992/ZG9rdW1lbnRsYWdlcjovLzAzL2U5LzJiLzZmLzUxL2I5MDctNDI4Yy04ODY5LWUwZDZmNWExOTNiYw.pdf,http://regnskaber.virk.dk/40992992/ZG9rdW1lbnRsYWdlcjovLzAzL2M5L2FiL2Q0Lzc2L2E3NjItNDgwZi1hYjBhLTAxMzY3MzVjZDhkYQ.xml,77994.0,Danmark,Aarhus N,8200.0,16.0,Dusager,Aarhus V,8210.0,1.0,Junivej,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2016-12-21,2016-12-21,Statsaut. revisor,125000.0,32895468.0,29929904.0,Ãrsrapport,2348000.0,85000.0,Martin Rasmussen,Victor Duc Huy Ly,Victor Duc Huy Ly,Davi Ejendomsselskab ApS,Beierholm,Aarhus V,Aarhus V,2016-06-30,2015-07-01,-48441.0,2016-12-21,Aarhus,RevisionspÃ¥tegning,urn:ofk:oid:23330256,indberetninger-20180424,2.5124211,29929904.0,,2018-03-29T09:37:49.516Z,2016-12-21T17:16:51.842Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BK-40-PS,2016-12-21T17:16:52.550Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29929904,2015-07-01,2015-07-01,c126,,http://regnskaber.virk.dk/40992992/ZG9rdW1lbnRsYWdlcjovLzAzL2U5LzJiLzZmLzUxL2I5MDctNDI4Yy04ODY5LWUwZDZmNWExOTNiYw.pdf,http://regnskaber.virk.dk/40992992/ZG9rdW1lbnRsYWdlcjovLzAzL2M5L2FiL2Q0Lzc2L2E3NjItNDgwZi1hYjBhLTAxMzY3MzVjZDhkYQ.xml,77994.0,Danmark,Aarhus N,8200.0,16.0,Dusager,Aarhus V,8210.0,1.0,Junivej,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2016-12-21,2016-12-21,Statsaut. revisor,1767781.0,32895468.0,29929904.0,Ãrsrapport,2348000.0,85000.0,Martin Rasmussen,Victor Duc Huy Ly,Victor Duc Huy Ly,Davi Ejendomsselskab ApS,Beierholm,Aarhus V,Aarhus V,2016-06-30,2015-07-01,-48441.0,2016-12-21,Aarhus,RevisionspÃ¥tegning,urn:ofk:oid:23330256,indberetninger-20180424,2.5124211,29929904.0,,2018-03-29T09:37:49.516Z,2016-12-21T17:16:51.842Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BK-40-PS,2016-12-21T17:16:52.550Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29929904,2015-07-01,2015-07-01,c197,,http://regnskaber.virk.dk/40992992/ZG9rdW1lbnRsYWdlcjovLzAzL2U5LzJiLzZmLzUxL2I5MDctNDI4Yy04ODY5LWUwZDZmNWExOTNiYw.pdf,http://regnskaber.virk.dk/40992992/ZG9rdW1lbnRsYWdlcjovLzAzL2M5L2FiL2Q0Lzc2L2E3NjItNDgwZi1hYjBhLTAxMzY3MzVjZDhkYQ.xml,77994.0,Danmark,Aarhus N,8200.0,16.0,Dusager,Aarhus V,8210.0,1.0,Junivej,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2016-12-21,2016-12-21,Statsaut. revisor,,32895468.0,29929904.0,Ãrsrapport,2348000.0,85000.0,Martin Rasmussen,Victor Duc Huy Ly,Victor Duc Huy Ly,Davi Ejendomsselskab ApS,Beierholm,Aarhus V,Aarhus V,2016-06-30,2015-07-01,-48441.0,2016-12-21,Aarhus,RevisionspÃ¥tegning,urn:ofk:oid:23330256,indberetninger-20180424,2.5124211,29929904.0,,2018-03-29T09:37:49.516Z,2016-12-21T17:16:51.842Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BK-40-PS,2016-12-21T17:16:52.550Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97000.0,6603447.0,
