entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfAuditorCountry,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DescriptionOfAuditor,Equity,IdentificationNumberCvrOfReportingEntity,InformationOnTypeOfSubmittedReport,LongtermLiabilitiesOtherThanProvisionsDueAfterFiveYearsAndMore,LongtermLiabilitiesOtherThanProvisionsDueInOneYear,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,GrossProfitLoss,InterestExpenseAssignedToGroupEnterprises,InterestIncomeFromGroupEnterprises,OtherFinanceExpenses,OtherFinanceIncome,OtherInterestExpenses,OtherInterestIncome,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,TaxExpense,LongtermLiabilitiesOtherThanProvisions,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,DeferredIncomeAssets,LandAndBuildings,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermMortgageDebt,NoncurrentAssets,OtherShorttermPayables,PropertyPlantAndEquipment,Provisions,ProvisionsForDeferredTax,RetainedEarnings,ShorttermDebtToOtherCreditInstitutions,ShorttermLiabilitiesOtherThanProvisions,ShorttermPartOfLongtermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermReceivablesFromOwnersAndManagement,ShorttermTaxPayables,ShorttermTradePayables,NameOfAuditFirm
29929904,2012-07-01,2012-07-01,c696,http://regnskaber.virk.dk/40992992/Y3ZyLmRrOi8vcGRmcy8yOTkyOTkwNDtBcFMzODQyMzA7MjAxMzA3MDE7MjAxNDA2MzA7UjtS.pdf,http://regnskaber.virk.dk/40992992/Y3ZyLmRrOi8veGJybHMvWC1GNzY5MUY0Ny0yMDE0MDkyNV8xNjE3MTVfOTY0.xml,Danmark,Aarhus N,8200.0,16.0,Dusager,Aarhus V,8210.0,1.0,Junivej,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2014-09-17,2014-09-25,Statsaut. revisor,125000.0,29929904.0,Ãrsrapport,2778740.0,100000.0,Martin Rasmussen,Victor Duc Huy Ly,Victor Duc Huy Ly,Davi Ejendomsselskab ApS,Beierholm,Aarhus V,Aarhus V,2014-06-30,2013-07-01,2014-09-17,Aarhus,RevisionspÃ¥tegning,urn:ofk:oid:17888935,indberetninger-20180424,2.5097342,29929904.0,,2018-03-31T22:42:17.412Z,2014-09-25T22:00:00.000Z,regnskab,0.0,,2014-06-30,2013-07-01,14-302.735,2014-09-25T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29929904,2012-07-01,2012-07-01,c717,http://regnskaber.virk.dk/40992992/Y3ZyLmRrOi8vcGRmcy8yOTkyOTkwNDtBcFMzODQyMzA7MjAxMzA3MDE7MjAxNDA2MzA7UjtS.pdf,http://regnskaber.virk.dk/40992992/Y3ZyLmRrOi8veGJybHMvWC1GNzY5MUY0Ny0yMDE0MDkyNV8xNjE3MTVfOTY0.xml,Danmark,Aarhus N,8200.0,16.0,Dusager,Aarhus V,8210.0,1.0,Junivej,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2014-09-17,2014-09-25,Statsaut. revisor,699837.0,29929904.0,Ãrsrapport,2778740.0,100000.0,Martin Rasmussen,Victor Duc Huy Ly,Victor Duc Huy Ly,Davi Ejendomsselskab ApS,Beierholm,Aarhus V,Aarhus V,2014-06-30,2013-07-01,2014-09-17,Aarhus,RevisionspÃ¥tegning,urn:ofk:oid:17888935,indberetninger-20180424,2.5097342,29929904.0,,2018-03-31T22:42:17.412Z,2014-09-25T22:00:00.000Z,regnskab,0.0,,2014-06-30,2013-07-01,14-302.735,2014-09-25T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29929904,2012-07-01,2013-06-30,c54,http://regnskaber.virk.dk/40992992/Y3ZyLmRrOi8vcGRmcy8yOTkyOTkwNDtBcFMzODQyMzA7MjAxMzA3MDE7MjAxNDA2MzA7UjtS.pdf,http://regnskaber.virk.dk/40992992/Y3ZyLmRrOi8veGJybHMvWC1GNzY5MUY0Ny0yMDE0MDkyNV8xNjE3MTVfOTY0.xml,Danmark,Aarhus N,8200.0,16.0,Dusager,Aarhus V,8210.0,1.0,Junivej,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2014-09-17,2014-09-25,Statsaut. revisor,,29929904.0,Ãrsrapport,2778740.0,100000.0,Martin Rasmussen,Victor Duc Huy Ly,Victor Duc Huy Ly,Davi Ejendomsselskab ApS,Beierholm,Aarhus V,Aarhus V,2014-06-30,2013-07-01,2014-09-17,Aarhus,RevisionspÃ¥tegning,urn:ofk:oid:17888935,indberetninger-20180424,2.5097342,29929904.0,,2018-03-31T22:42:17.412Z,2014-09-25T22:00:00.000Z,regnskab,0.0,,2014-06-30,2013-07-01,14-302.735,2014-09-25T22:00:00.000Z,638706.0,14650.0,2050.0,250278.0,94446.0,235628.0,92396.0,362104.0,482874.0,120770.0,,,,,,,,,,,,,,,,,,,,,,,,,,
29929904,2012-07-01,2013-06-30,c69,http://regnskaber.virk.dk/40992992/Y3ZyLmRrOi8vcGRmcy8yOTkyOTkwNDtBcFMzODQyMzA7MjAxMzA3MDE7MjAxNDA2MzA7UjtS.pdf,http://regnskaber.virk.dk/40992992/Y3ZyLmRrOi8veGJybHMvWC1GNzY5MUY0Ny0yMDE0MDkyNV8xNjE3MTVfOTY0.xml,Danmark,Aarhus N,8200.0,16.0,Dusager,Aarhus V,8210.0,1.0,Junivej,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2014-09-17,2014-09-25,Statsaut. revisor,,29929904.0,Ãrsrapport,2778740.0,100000.0,Martin Rasmussen,Victor Duc Huy Ly,Victor Duc Huy Ly,Davi Ejendomsselskab ApS,Beierholm,Aarhus V,Aarhus V,2014-06-30,2013-07-01,2014-09-17,Aarhus,RevisionspÃ¥tegning,urn:ofk:oid:17888935,indberetninger-20180424,2.5097342,29929904.0,,2018-03-31T22:42:17.412Z,2014-09-25T22:00:00.000Z,regnskab,0.0,,2014-06-30,2013-07-01,14-302.735,2014-09-25T22:00:00.000Z,,,,,,,,362104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29929904,2012-07-01,2013-06-30,c718,http://regnskaber.virk.dk/40992992/Y3ZyLmRrOi8vcGRmcy8yOTkyOTkwNDtBcFMzODQyMzA7MjAxMzA3MDE7MjAxNDA2MzA7UjtS.pdf,http://regnskaber.virk.dk/40992992/Y3ZyLmRrOi8veGJybHMvWC1GNzY5MUY0Ny0yMDE0MDkyNV8xNjE3MTVfOTY0.xml,Danmark,Aarhus N,8200.0,16.0,Dusager,Aarhus V,8210.0,1.0,Junivej,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2014-09-17,2014-09-25,Statsaut. revisor,,29929904.0,Ãrsrapport,2778740.0,100000.0,Martin Rasmussen,Victor Duc Huy Ly,Victor Duc Huy Ly,Davi Ejendomsselskab ApS,Beierholm,Aarhus V,Aarhus V,2014-06-30,2013-07-01,2014-09-17,Aarhus,RevisionspÃ¥tegning,urn:ofk:oid:17888935,indberetninger-20180424,2.5097342,29929904.0,,2018-03-31T22:42:17.412Z,2014-09-25T22:00:00.000Z,regnskab,0.0,,2014-06-30,2013-07-01,14-302.735,2014-09-25T22:00:00.000Z,,,,,,,,362104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29929904,2013-06-30,2013-06-30,c230,http://regnskaber.virk.dk/40992992/Y3ZyLmRrOi8vcGRmcy8yOTkyOTkwNDtBcFMzODQyMzA7MjAxMzA3MDE7MjAxNDA2MzA7UjtS.pdf,http://regnskaber.virk.dk/40992992/Y3ZyLmRrOi8veGJybHMvWC1GNzY5MUY0Ny0yMDE0MDkyNV8xNjE3MTVfOTY0.xml,Danmark,Aarhus N,8200.0,16.0,Dusager,Aarhus V,8210.0,1.0,Junivej,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2014-09-17,2014-09-25,Statsaut. revisor,,29929904.0,Ãrsrapport,2778740.0,100000.0,Martin Rasmussen,Victor Duc Huy Ly,Victor Duc Huy Ly,Davi Ejendomsselskab ApS,Beierholm,Aarhus V,Aarhus V,2014-06-30,2013-07-01,2014-09-17,Aarhus,RevisionspÃ¥tegning,urn:ofk:oid:17888935,indberetninger-20180424,2.5097342,29929904.0,,2018-03-31T22:42:17.412Z,2014-09-25T22:00:00.000Z,regnskab,0.0,,2014-06-30,2013-07-01,14-302.735,2014-09-25T22:00:00.000Z,,,,,,,,,,,4548384.0,,,,,,,,,,,,,,,,,,,,,,,,,
29929904,2013-06-30,2013-06-30,c70,http://regnskaber.virk.dk/40992992/Y3ZyLmRrOi8vcGRmcy8yOTkyOTkwNDtBcFMzODQyMzA7MjAxMzA3MDE7MjAxNDA2MzA7UjtS.pdf,http://regnskaber.virk.dk/40992992/Y3ZyLmRrOi8veGJybHMvWC1GNzY5MUY0Ny0yMDE0MDkyNV8xNjE3MTVfOTY0.xml,Danmark,Aarhus N,8200.0,16.0,Dusager,Aarhus V,8210.0,1.0,Junivej,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2014-09-17,2014-09-25,Statsaut. revisor,1186941.0,29929904.0,Ãrsrapport,2778740.0,100000.0,Martin Rasmussen,Victor Duc Huy Ly,Victor Duc Huy Ly,Davi Ejendomsselskab ApS,Beierholm,Aarhus V,Aarhus V,2014-06-30,2013-07-01,2014-09-17,Aarhus,RevisionspÃ¥tegning,urn:ofk:oid:17888935,indberetninger-20180424,2.5097342,29929904.0,,2018-03-31T22:42:17.412Z,2014-09-25T22:00:00.000Z,regnskab,0.0,,2014-06-30,2013-07-01,14-302.735,2014-09-25T22:00:00.000Z,,,,,,,,,,,4393384.0,6762309.0,111717.0,125000.0,158862.0,2980.0,6603447.0,6762309.0,5248543.0,4393384.0,6603447.0,396652.0,6603447.0,326825.0,326825.0,1061941.0,0.0,855159.0,155000.0,276282.0,47145.0,44165.0,0.0,27225.0,0.0,
29929904,2013-07-01,2013-07-01,c108,http://regnskaber.virk.dk/40992992/Y3ZyLmRrOi8vcGRmcy8yOTkyOTkwNDtBcFMzODQyMzA7MjAxMzA3MDE7MjAxNDA2MzA7UjtS.pdf,http://regnskaber.virk.dk/40992992/Y3ZyLmRrOi8veGJybHMvWC1GNzY5MUY0Ny0yMDE0MDkyNV8xNjE3MTVfOTY0.xml,Danmark,Aarhus N,8200.0,16.0,Dusager,Aarhus V,8210.0,1.0,Junivej,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2014-09-17,2014-09-25,Statsaut. revisor,125000.0,29929904.0,Ãrsrapport,2778740.0,100000.0,Martin Rasmussen,Victor Duc Huy Ly,Victor Duc Huy Ly,Davi Ejendomsselskab ApS,Beierholm,Aarhus V,Aarhus V,2014-06-30,2013-07-01,2014-09-17,Aarhus,RevisionspÃ¥tegning,urn:ofk:oid:17888935,indberetninger-20180424,2.5097342,29929904.0,,2018-03-31T22:42:17.412Z,2014-09-25T22:00:00.000Z,regnskab,0.0,,2014-06-30,2013-07-01,14-302.735,2014-09-25T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29929904,2013-07-01,2013-07-01,c126,http://regnskaber.virk.dk/40992992/Y3ZyLmRrOi8vcGRmcy8yOTkyOTkwNDtBcFMzODQyMzA7MjAxMzA3MDE7MjAxNDA2MzA7UjtS.pdf,http://regnskaber.virk.dk/40992992/Y3ZyLmRrOi8veGJybHMvWC1GNzY5MUY0Ny0yMDE0MDkyNV8xNjE3MTVfOTY0.xml,Danmark,Aarhus N,8200.0,16.0,Dusager,Aarhus V,8210.0,1.0,Junivej,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2014-09-17,2014-09-25,Statsaut. revisor,1061941.0,29929904.0,Ãrsrapport,2778740.0,100000.0,Martin Rasmussen,Victor Duc Huy Ly,Victor Duc Huy Ly,Davi Ejendomsselskab ApS,Beierholm,Aarhus V,Aarhus V,2014-06-30,2013-07-01,2014-09-17,Aarhus,RevisionspÃ¥tegning,urn:ofk:oid:17888935,indberetninger-20180424,2.5097342,29929904.0,,2018-03-31T22:42:17.412Z,2014-09-25T22:00:00.000Z,regnskab,0.0,,2014-06-30,2013-07-01,14-302.735,2014-09-25T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29929904,2013-07-01,2014-06-30,c1,http://regnskaber.virk.dk/40992992/Y3ZyLmRrOi8vcGRmcy8yOTkyOTkwNDtBcFMzODQyMzA7MjAxMzA3MDE7MjAxNDA2MzA7UjtS.pdf,http://regnskaber.virk.dk/40992992/Y3ZyLmRrOi8veGJybHMvWC1GNzY5MUY0Ny0yMDE0MDkyNV8xNjE3MTVfOTY0.xml,Danmark,Aarhus N,8200.0,16.0,Dusager,Aarhus V,8210.0,1.0,Junivej,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2014-09-17,2014-09-25,Statsaut. revisor,,29929904.0,Ãrsrapport,2778740.0,100000.0,Martin Rasmussen,Victor Duc Huy Ly,Victor Duc Huy Ly,Davi Ejendomsselskab ApS,Beierholm,Aarhus V,Aarhus V,2014-06-30,2013-07-01,2014-09-17,Aarhus,RevisionspÃ¥tegning,urn:ofk:oid:17888935,indberetninger-20180424,2.5097342,29929904.0,,2018-03-31T22:42:17.412Z,2014-09-25T22:00:00.000Z,regnskab,0.0,,2014-06-30,2013-07-01,14-302.735,2014-09-25T22:00:00.000Z,680003.0,13613.0,2600.0,243199.0,26405.0,229586.0,23805.0,394782.0,463209.0,68427.0,,,,,,,,,,,,,,,,,,,,,,,,,,
