entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,CurrentTaxExpense,DateOfApprovalOfAnnualReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DisposalsOfInvestments,GrossProfitLoss,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodNumber,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,TaxExpenseOnOrdinaryActivities,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,ContributedCapital,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,NoncurrentAssets,NumberOfEmployees,OtherLongtermInvestments,OtherShorttermPayables,OtherShorttermReceivables,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTaxPayables,InvestmentsGross
36021594,2015-10-01,2016-09-30,c174,,http://regnskaber.virk.dk/49512063/ZG9rdW1lbnRsYWdlcjovLzAzLzE2L2Q1LzgyLzVmLzA5YjgtNDNiNi04NmFmLTdmZTA5MzNjMmQ0OQ.pdf,http://regnskaber.virk.dk/49512063/ZG9rdW1lbnRsYWdlcjovLzAzLzFkL2QxLzUxLzcxLzI4OGEtNDMxZi1hMGE0LWMzNGNmZWRlMTRlYQ.xml,true,9990 Skagen,Revlingevej 16,9990 Skagen,Revlingevej 16,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,60324.0,2017-10-19,2014-06-20,2017-10-19,326756.0,0.0,36021594.0,36021594.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for Holdingselskabet OEJ af 1/10 2013 ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Ole Ejsing,Ole Ejsing,Holdingselskabet OEJ af 1/10 2013 ApS,Holdingselskabet OEJ af 1/10 2013 ApS,721.0,274211.0,Skagen,2015-10-01,2016-09-30,213166.0,273490.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Frederikshavn Kommune,2017-09-30,4.0,2016-10-01,false,60324.0,Ingen bistand,urn:ofk:oid:24611529,indberetninger-20180424,2.5124211,36021594.0,,2018-03-27T13:09:05.116Z,2017-10-19T09:58:44.420Z,regnskab,0.0,,2017-09-30,2016-10-01,X17-BC-46-SX,2017-10-19T09:58:44.567Z,,,,,,,,,,,,,,,,,
36021594,2015-10-01,2016-09-30,c177,,http://regnskaber.virk.dk/49512063/ZG9rdW1lbnRsYWdlcjovLzAzLzE2L2Q1LzgyLzVmLzA5YjgtNDNiNi04NmFmLTdmZTA5MzNjMmQ0OQ.pdf,http://regnskaber.virk.dk/49512063/ZG9rdW1lbnRsYWdlcjovLzAzLzFkL2QxLzUxLzcxLzI4OGEtNDMxZi1hMGE0LWMzNGNmZWRlMTRlYQ.xml,true,9990 Skagen,Revlingevej 16,9990 Skagen,Revlingevej 16,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2017-10-19,2014-06-20,2017-10-19,326756.0,,36021594.0,36021594.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for Holdingselskabet OEJ af 1/10 2013 ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Ole Ejsing,Ole Ejsing,Holdingselskabet OEJ af 1/10 2013 ApS,Holdingselskabet OEJ af 1/10 2013 ApS,,,Skagen,2015-10-01,2016-09-30,0.0,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Frederikshavn Kommune,2017-09-30,4.0,2016-10-01,false,,Ingen bistand,urn:ofk:oid:24611529,indberetninger-20180424,2.5124211,36021594.0,,2018-03-27T13:09:05.116Z,2017-10-19T09:58:44.420Z,regnskab,0.0,,2017-09-30,2016-10-01,X17-BC-46-SX,2017-10-19T09:58:44.567Z,,,,,,,,,,,,,,,,,
36021594,2015-10-01,2016-09-30,c195,,http://regnskaber.virk.dk/49512063/ZG9rdW1lbnRsYWdlcjovLzAzLzE2L2Q1LzgyLzVmLzA5YjgtNDNiNi04NmFmLTdmZTA5MzNjMmQ0OQ.pdf,http://regnskaber.virk.dk/49512063/ZG9rdW1lbnRsYWdlcjovLzAzLzFkL2QxLzUxLzcxLzI4OGEtNDMxZi1hMGE0LWMzNGNmZWRlMTRlYQ.xml,true,9990 Skagen,Revlingevej 16,9990 Skagen,Revlingevej 16,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2017-10-19,2014-06-20,2017-10-19,326756.0,,36021594.0,36021594.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for Holdingselskabet OEJ af 1/10 2013 ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Ole Ejsing,Ole Ejsing,Holdingselskabet OEJ af 1/10 2013 ApS,Holdingselskabet OEJ af 1/10 2013 ApS,,,Skagen,2015-10-01,2016-09-30,213166.0,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Frederikshavn Kommune,2017-09-30,4.0,2016-10-01,false,,Ingen bistand,urn:ofk:oid:24611529,indberetninger-20180424,2.5124211,36021594.0,,2018-03-27T13:09:05.116Z,2017-10-19T09:58:44.420Z,regnskab,0.0,,2017-09-30,2016-10-01,X17-BC-46-SX,2017-10-19T09:58:44.567Z,,,,,,,,,,,,,,,,,
36021594,2016-09-30,2016-09-30,c172,,http://regnskaber.virk.dk/49512063/ZG9rdW1lbnRsYWdlcjovLzAzLzE2L2Q1LzgyLzVmLzA5YjgtNDNiNi04NmFmLTdmZTA5MzNjMmQ0OQ.pdf,http://regnskaber.virk.dk/49512063/ZG9rdW1lbnRsYWdlcjovLzAzLzFkL2QxLzUxLzcxLzI4OGEtNDMxZi1hMGE0LWMzNGNmZWRlMTRlYQ.xml,true,9990 Skagen,Revlingevej 16,9990 Skagen,Revlingevej 16,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2017-10-19,2014-06-20,2017-10-19,326756.0,,36021594.0,36021594.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for Holdingselskabet OEJ af 1/10 2013 ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Ole Ejsing,Ole Ejsing,Holdingselskabet OEJ af 1/10 2013 ApS,Holdingselskabet OEJ af 1/10 2013 ApS,,,Skagen,2015-10-01,2016-09-30,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Frederikshavn Kommune,2017-09-30,4.0,2016-10-01,false,,Ingen bistand,urn:ofk:oid:24611529,indberetninger-20180424,2.5124211,36021594.0,,2018-03-27T13:09:05.116Z,2017-10-19T09:58:44.420Z,regnskab,0.0,,2017-09-30,2016-10-01,X17-BC-46-SX,2017-10-19T09:58:44.567Z,3213013.0,50000.0,3152379.0,3213013.0,60634.0,2368975.0,2368975.0,1.0,2368975.0,13310.0,844038.0,0.0,3102379.0,60634.0,844038.0,47324.0,
36021594,2016-10-01,2016-10-01,c226,,http://regnskaber.virk.dk/49512063/ZG9rdW1lbnRsYWdlcjovLzAzLzE2L2Q1LzgyLzVmLzA5YjgtNDNiNi04NmFmLTdmZTA5MzNjMmQ0OQ.pdf,http://regnskaber.virk.dk/49512063/ZG9rdW1lbnRsYWdlcjovLzAzLzFkL2QxLzUxLzcxLzI4OGEtNDMxZi1hMGE0LWMzNGNmZWRlMTRlYQ.xml,true,9990 Skagen,Revlingevej 16,9990 Skagen,Revlingevej 16,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2017-10-19,2014-06-20,2017-10-19,326756.0,,36021594.0,36021594.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for Holdingselskabet OEJ af 1/10 2013 ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Ole Ejsing,Ole Ejsing,Holdingselskabet OEJ af 1/10 2013 ApS,Holdingselskabet OEJ af 1/10 2013 ApS,,,Skagen,2015-10-01,2016-09-30,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Frederikshavn Kommune,2017-09-30,4.0,2016-10-01,false,,Ingen bistand,urn:ofk:oid:24611529,indberetninger-20180424,2.5124211,36021594.0,,2018-03-27T13:09:05.116Z,2017-10-19T09:58:44.420Z,regnskab,0.0,,2017-09-30,2016-10-01,X17-BC-46-SX,2017-10-19T09:58:44.567Z,,,50000.0,,,,,,,,,,,,,,
36021594,2016-10-01,2016-10-01,c253,,http://regnskaber.virk.dk/49512063/ZG9rdW1lbnRsYWdlcjovLzAzLzE2L2Q1LzgyLzVmLzA5YjgtNDNiNi04NmFmLTdmZTA5MzNjMmQ0OQ.pdf,http://regnskaber.virk.dk/49512063/ZG9rdW1lbnRsYWdlcjovLzAzLzFkL2QxLzUxLzcxLzI4OGEtNDMxZi1hMGE0LWMzNGNmZWRlMTRlYQ.xml,true,9990 Skagen,Revlingevej 16,9990 Skagen,Revlingevej 16,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2017-10-19,2014-06-20,2017-10-19,326756.0,,36021594.0,36021594.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for Holdingselskabet OEJ af 1/10 2013 ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Ole Ejsing,Ole Ejsing,Holdingselskabet OEJ af 1/10 2013 ApS,Holdingselskabet OEJ af 1/10 2013 ApS,,,Skagen,2015-10-01,2016-09-30,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Frederikshavn Kommune,2017-09-30,4.0,2016-10-01,false,,Ingen bistand,urn:ofk:oid:24611529,indberetninger-20180424,2.5124211,36021594.0,,2018-03-27T13:09:05.116Z,2017-10-19T09:58:44.420Z,regnskab,0.0,,2017-09-30,2016-10-01,X17-BC-46-SX,2017-10-19T09:58:44.567Z,,,3102379.0,,,,,,,,,,,,,,
36021594,2016-10-01,2016-10-01,c257,,http://regnskaber.virk.dk/49512063/ZG9rdW1lbnRsYWdlcjovLzAzLzE2L2Q1LzgyLzVmLzA5YjgtNDNiNi04NmFmLTdmZTA5MzNjMmQ0OQ.pdf,http://regnskaber.virk.dk/49512063/ZG9rdW1lbnRsYWdlcjovLzAzLzFkL2QxLzUxLzcxLzI4OGEtNDMxZi1hMGE0LWMzNGNmZWRlMTRlYQ.xml,true,9990 Skagen,Revlingevej 16,9990 Skagen,Revlingevej 16,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2017-10-19,2014-06-20,2017-10-19,326756.0,,36021594.0,36021594.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for Holdingselskabet OEJ af 1/10 2013 ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Ole Ejsing,Ole Ejsing,Holdingselskabet OEJ af 1/10 2013 ApS,Holdingselskabet OEJ af 1/10 2013 ApS,,,Skagen,2015-10-01,2016-09-30,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Frederikshavn Kommune,2017-09-30,4.0,2016-10-01,false,,Ingen bistand,urn:ofk:oid:24611529,indberetninger-20180424,2.5124211,36021594.0,,2018-03-27T13:09:05.116Z,2017-10-19T09:58:44.420Z,regnskab,0.0,,2017-09-30,2016-10-01,X17-BC-46-SX,2017-10-19T09:58:44.567Z,,,0.0,,,,,,,,,,,,,,
36021594,2016-10-01,2016-10-01,c570,,http://regnskaber.virk.dk/49512063/ZG9rdW1lbnRsYWdlcjovLzAzLzE2L2Q1LzgyLzVmLzA5YjgtNDNiNi04NmFmLTdmZTA5MzNjMmQ0OQ.pdf,http://regnskaber.virk.dk/49512063/ZG9rdW1lbnRsYWdlcjovLzAzLzFkL2QxLzUxLzcxLzI4OGEtNDMxZi1hMGE0LWMzNGNmZWRlMTRlYQ.xml,true,9990 Skagen,Revlingevej 16,9990 Skagen,Revlingevej 16,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2017-10-19,2014-06-20,2017-10-19,326756.0,,36021594.0,36021594.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for Holdingselskabet OEJ af 1/10 2013 ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Ole Ejsing,Ole Ejsing,Holdingselskabet OEJ af 1/10 2013 ApS,Holdingselskabet OEJ af 1/10 2013 ApS,,,Skagen,2015-10-01,2016-09-30,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Frederikshavn Kommune,2017-09-30,4.0,2016-10-01,false,,Ingen bistand,urn:ofk:oid:24611529,indberetninger-20180424,2.5124211,36021594.0,,2018-03-27T13:09:05.116Z,2017-10-19T09:58:44.420Z,regnskab,0.0,,2017-09-30,2016-10-01,X17-BC-46-SX,2017-10-19T09:58:44.567Z,,,,,,,,,,,,,,,,,2368975.0
36021594,2016-10-01,2017-09-30,c173,,http://regnskaber.virk.dk/49512063/ZG9rdW1lbnRsYWdlcjovLzAzLzE2L2Q1LzgyLzVmLzA5YjgtNDNiNi04NmFmLTdmZTA5MzNjMmQ0OQ.pdf,http://regnskaber.virk.dk/49512063/ZG9rdW1lbnRsYWdlcjovLzAzLzFkL2QxLzUxLzcxLzI4OGEtNDMxZi1hMGE0LWMzNGNmZWRlMTRlYQ.xml,true,9990 Skagen,Revlingevej 16,9990 Skagen,Revlingevej 16,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,61468.0,2017-10-19,2014-06-20,2017-10-19,326756.0,0.0,36021594.0,36021594.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for Holdingselskabet OEJ af 1/10 2013 ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Ole Ejsing,Ole Ejsing,Holdingselskabet OEJ af 1/10 2013 ApS,Holdingselskabet OEJ af 1/10 2013 ApS,216.0,279451.0,Skagen,2015-10-01,2016-09-30,217767.0,279235.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Frederikshavn Kommune,2017-09-30,4.0,2016-10-01,false,61468.0,Ingen bistand,urn:ofk:oid:24611529,indberetninger-20180424,2.5124211,36021594.0,,2018-03-27T13:09:05.116Z,2017-10-19T09:58:44.420Z,regnskab,0.0,,2017-09-30,2016-10-01,X17-BC-46-SX,2017-10-19T09:58:44.567Z,,,,,,,,,,,,,,,,,
36021594,2016-10-01,2017-09-30,c176,,http://regnskaber.virk.dk/49512063/ZG9rdW1lbnRsYWdlcjovLzAzLzE2L2Q1LzgyLzVmLzA5YjgtNDNiNi04NmFmLTdmZTA5MzNjMmQ0OQ.pdf,http://regnskaber.virk.dk/49512063/ZG9rdW1lbnRsYWdlcjovLzAzLzFkL2QxLzUxLzcxLzI4OGEtNDMxZi1hMGE0LWMzNGNmZWRlMTRlYQ.xml,true,9990 Skagen,Revlingevej 16,9990 Skagen,Revlingevej 16,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2017-10-19,2014-06-20,2017-10-19,326756.0,,36021594.0,36021594.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for Holdingselskabet OEJ af 1/10 2013 ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Ole Ejsing,Ole Ejsing,Holdingselskabet OEJ af 1/10 2013 ApS,Holdingselskabet OEJ af 1/10 2013 ApS,,,Skagen,2015-10-01,2016-09-30,200000.0,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Frederikshavn Kommune,2017-09-30,4.0,2016-10-01,false,,Ingen bistand,urn:ofk:oid:24611529,indberetninger-20180424,2.5124211,36021594.0,,2018-03-27T13:09:05.116Z,2017-10-19T09:58:44.420Z,regnskab,0.0,,2017-09-30,2016-10-01,X17-BC-46-SX,2017-10-19T09:58:44.567Z,,,,,,,,,,,,,,,,,
