entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,AuditorsReportOnFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmailOfReportingEntity,EmployeeBenefitsExpense,GrossProfitLoss,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,IdentificationOfAuditedFinancialStatements,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherDisclosures,OtherFinanceExpenses,OtherFinanceIncome,OtherFinanceIncomeFromGroupEnterprises,OtherOperatingExpenses,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,TelephoneNumberOfReportingEntity,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,DeferredIncomeAssets,DepositsLongtermLiabilitiesOtherThanProvisions,Equity,FixturesFittingsToolsAndEquipment,LandAndBuildings,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInAssociates,LongtermInvestmentsInGroupEnterprises,LongtermLiabilitiesOtherThanProvisions,LongtermMortgageDebt,NoncurrentAssets,OtherShorttermInvestments,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,Provisions,ProvisionsForDeferredTax,RetainedEarnings,ShorttermDeferredIncome,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermPartOfLongtermLiabilitiesOtherThanProvisions,ShorttermPrepaymentsReceivedFromCustomers,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,ShorttermTradePayables,ShorttermTradeReceivables,NameAndSurnameOfMemberOfSupervisoryBoard,TitleOfMemberOfSupervisoryBoard,NameAndSurnameOfMemberOfExecutiveBoard
75106718,2014-01-01,2014-12-31,ID_14,,http://regnskaber.virk.dk/81760157/ZG9rdW1lbnRsYWdlcjovLzAzLzMzLzNkLzAzLzQ2LzQ3YjAtNDJjOC1hNTkzLWZlOGU0YTk4Y2MzMg.pdf,http://regnskaber.virk.dk/81760157/ZG9rdW1lbnRsYWdlcjovLzAzLzg3LzRhL2QwLzBhL2E5NTQtNDBmMC1hY2NiLWFlZWRhODAwMWEyNw.xml,"4700, NÃ¦stved",Vadestedet 6,To the shareholders of Stevns Leasing AS,Report on the Financial Statements,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2015 and of the results of the Company's operations for the financial year 1 January 2015 - 31 December 2015.",2016-02-05,1984-01-01,2016-02-18,1717047.0,stevns-leasing@mail.dk,543466.0,1997222.0,75106718.0,27433863.0,"Today, Management has considered and adopted the Annual Report of Stevns Leasing AS for the financial year 1 January 2015 - 31 December 2015.","We have audited the Financial Statements of Stevns Leasing AS for the financial year 1 January 2015 - 31 December 2015 comprising Accounting Policies, Income Statement, Balance Sheet and Notes. The Annual Report is presented in accordance with the Danish Financial Statements Act.",2350000.0,Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Finn MÃ¸ller,Danske Bank,Stevns Leasing AS,"Revision Vadestedet , Godkendt Revisionsaktieselskab",9. Text note,242785.0,1198238.0,11600.0,68212.0,"Store Heddinge, 5 February 2016",2014-01-01,2014-12-31,2722764.0,2985550.0,-331503.0,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Stevns, 336",2015-12-31,2015-01-01,2016-02-05,NÃ¦stved,262786.0,40 42 27 33,RevisionspÃ¥tegning,urn:ofk:oid:22002808,indberetninger-20180424,2.5095978,75106718,,2018-03-28T20:50:59.693Z,2016-02-18T14:14:46.976Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AQ-55-QE,2016-02-18T14:14:47.113Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75106718,2014-01-01,2014-12-31,ID_16,,http://regnskaber.virk.dk/81760157/ZG9rdW1lbnRsYWdlcjovLzAzLzMzLzNkLzAzLzQ2LzQ3YjAtNDJjOC1hNTkzLWZlOGU0YTk4Y2MzMg.pdf,http://regnskaber.virk.dk/81760157/ZG9rdW1lbnRsYWdlcjovLzAzLzg3LzRhL2QwLzBhL2E5NTQtNDBmMC1hY2NiLWFlZWRhODAwMWEyNw.xml,"4700, NÃ¦stved",Vadestedet 6,To the shareholders of Stevns Leasing AS,Report on the Financial Statements,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2015 and of the results of the Company's operations for the financial year 1 January 2015 - 31 December 2015.",2016-02-05,1984-01-01,2016-02-18,,stevns-leasing@mail.dk,,,75106718.0,27433863.0,"Today, Management has considered and adopted the Annual Report of Stevns Leasing AS for the financial year 1 January 2015 - 31 December 2015.","We have audited the Financial Statements of Stevns Leasing AS for the financial year 1 January 2015 - 31 December 2015 comprising Accounting Policies, Income Statement, Balance Sheet and Notes. The Annual Report is presented in accordance with the Danish Financial Statements Act.",,Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Finn MÃ¸ller,Danske Bank,Stevns Leasing AS,"Revision Vadestedet , Godkendt Revisionsaktieselskab",9. Text note,,,,,"Store Heddinge, 5 February 2016",2014-01-01,2014-12-31,-49900.0,,,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Stevns, 336",2015-12-31,2015-01-01,2016-02-05,NÃ¦stved,,40 42 27 33,RevisionspÃ¥tegning,urn:ofk:oid:22002808,indberetninger-20180424,2.5095978,75106718,,2018-03-28T20:50:59.693Z,2016-02-18T14:14:46.976Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AQ-55-QE,2016-02-18T14:14:47.113Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75106718,2014-01-01,2014-12-31,ID_18,,http://regnskaber.virk.dk/81760157/ZG9rdW1lbnRsYWdlcjovLzAzLzMzLzNkLzAzLzQ2LzQ3YjAtNDJjOC1hNTkzLWZlOGU0YTk4Y2MzMg.pdf,http://regnskaber.virk.dk/81760157/ZG9rdW1lbnRsYWdlcjovLzAzLzg3LzRhL2QwLzBhL2E5NTQtNDBmMC1hY2NiLWFlZWRhODAwMWEyNw.xml,"4700, NÃ¦stved",Vadestedet 6,To the shareholders of Stevns Leasing AS,Report on the Financial Statements,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2015 and of the results of the Company's operations for the financial year 1 January 2015 - 31 December 2015.",2016-02-05,1984-01-01,2016-02-18,,stevns-leasing@mail.dk,,,75106718.0,27433863.0,"Today, Management has considered and adopted the Annual Report of Stevns Leasing AS for the financial year 1 January 2015 - 31 December 2015.","We have audited the Financial Statements of Stevns Leasing AS for the financial year 1 January 2015 - 31 December 2015 comprising Accounting Policies, Income Statement, Balance Sheet and Notes. The Annual Report is presented in accordance with the Danish Financial Statements Act.",,Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Finn MÃ¸ller,Danske Bank,Stevns Leasing AS,"Revision Vadestedet , Godkendt Revisionsaktieselskab",9. Text note,,,,,"Store Heddinge, 5 February 2016",2014-01-01,2014-12-31,-2672864.0,,,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Stevns, 336",2015-12-31,2015-01-01,2016-02-05,NÃ¦stved,,40 42 27 33,RevisionspÃ¥tegning,urn:ofk:oid:22002808,indberetninger-20180424,2.5095978,75106718,,2018-03-28T20:50:59.693Z,2016-02-18T14:14:46.976Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AQ-55-QE,2016-02-18T14:14:47.113Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75106718,2014-01-01,2014-12-31,ID_20,,http://regnskaber.virk.dk/81760157/ZG9rdW1lbnRsYWdlcjovLzAzLzMzLzNkLzAzLzQ2LzQ3YjAtNDJjOC1hNTkzLWZlOGU0YTk4Y2MzMg.pdf,http://regnskaber.virk.dk/81760157/ZG9rdW1lbnRsYWdlcjovLzAzLzg3LzRhL2QwLzBhL2E5NTQtNDBmMC1hY2NiLWFlZWRhODAwMWEyNw.xml,"4700, NÃ¦stved",Vadestedet 6,To the shareholders of Stevns Leasing AS,Report on the Financial Statements,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2015 and of the results of the Company's operations for the financial year 1 January 2015 - 31 December 2015.",2016-02-05,1984-01-01,2016-02-18,,stevns-leasing@mail.dk,,,75106718.0,27433863.0,"Today, Management has considered and adopted the Annual Report of Stevns Leasing AS for the financial year 1 January 2015 - 31 December 2015.","We have audited the Financial Statements of Stevns Leasing AS for the financial year 1 January 2015 - 31 December 2015 comprising Accounting Policies, Income Statement, Balance Sheet and Notes. The Annual Report is presented in accordance with the Danish Financial Statements Act.",,Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Finn MÃ¸ller,Danske Bank,Stevns Leasing AS,"Revision Vadestedet , Godkendt Revisionsaktieselskab",9. Text note,,,,,"Store Heddinge, 5 February 2016",2014-01-01,2014-12-31,-2722764.0,,,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Stevns, 336",2015-12-31,2015-01-01,2016-02-05,NÃ¦stved,,40 42 27 33,RevisionspÃ¥tegning,urn:ofk:oid:22002808,indberetninger-20180424,2.5095978,75106718,,2018-03-28T20:50:59.693Z,2016-02-18T14:14:46.976Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AQ-55-QE,2016-02-18T14:14:47.113Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75106718,2014-12-31,2014-12-31,ID_22,,http://regnskaber.virk.dk/81760157/ZG9rdW1lbnRsYWdlcjovLzAzLzMzLzNkLzAzLzQ2LzQ3YjAtNDJjOC1hNTkzLWZlOGU0YTk4Y2MzMg.pdf,http://regnskaber.virk.dk/81760157/ZG9rdW1lbnRsYWdlcjovLzAzLzg3LzRhL2QwLzBhL2E5NTQtNDBmMC1hY2NiLWFlZWRhODAwMWEyNw.xml,"4700, NÃ¦stved",Vadestedet 6,To the shareholders of Stevns Leasing AS,Report on the Financial Statements,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2015 and of the results of the Company's operations for the financial year 1 January 2015 - 31 December 2015.",2016-02-05,1984-01-01,2016-02-18,,stevns-leasing@mail.dk,,,75106718.0,27433863.0,"Today, Management has considered and adopted the Annual Report of Stevns Leasing AS for the financial year 1 January 2015 - 31 December 2015.","We have audited the Financial Statements of Stevns Leasing AS for the financial year 1 January 2015 - 31 December 2015 comprising Accounting Policies, Income Statement, Balance Sheet and Notes. The Annual Report is presented in accordance with the Danish Financial Statements Act.",,Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Finn MÃ¸ller,Danske Bank,Stevns Leasing AS,"Revision Vadestedet , Godkendt Revisionsaktieselskab",9. Text note,,,,,"Store Heddinge, 5 February 2016",2014-01-01,2014-12-31,,,,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Stevns, 336",2015-12-31,2015-01-01,2016-02-05,NÃ¦stved,,40 42 27 33,RevisionspÃ¥tegning,urn:ofk:oid:22002808,indberetninger-20180424,2.5095978,75106718,,2018-03-28T20:50:59.693Z,2016-02-18T14:14:46.976Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AQ-55-QE,2016-02-18T14:14:47.113Z,38855069.0,694838.0,900000.0,15908810.0,0.0,55609.0,323975.0,22555617.0,2754597.0,19997612.0,38855069.0,16213554.0,194050.0,62500.0,131550.0,15302276.0,14978301.0,22946259.0,14122663.0,366478.0,0.0,22752209.0,49900.0,85898.0,85898.0,21605717.0,15000.0,14122663.0,911278.0,42500.0,188970.0,1091309.0,355100.0,268330.0,30000.0,680600.0,,,
75106718,2015-01-01,2015-12-31,ID_0,,http://regnskaber.virk.dk/81760157/ZG9rdW1lbnRsYWdlcjovLzAzLzMzLzNkLzAzLzQ2LzQ3YjAtNDJjOC1hNTkzLWZlOGU0YTk4Y2MzMg.pdf,http://regnskaber.virk.dk/81760157/ZG9rdW1lbnRsYWdlcjovLzAzLzg3LzRhL2QwLzBhL2E5NTQtNDBmMC1hY2NiLWFlZWRhODAwMWEyNw.xml,"4700, NÃ¦stved",Vadestedet 6,To the shareholders of Stevns Leasing AS,Report on the Financial Statements,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2015 and of the results of the Company's operations for the financial year 1 January 2015 - 31 December 2015.",2016-02-05,1984-01-01,2016-02-18,,stevns-leasing@mail.dk,,,75106718.0,27433863.0,"Today, Management has considered and adopted the Annual Report of Stevns Leasing AS for the financial year 1 January 2015 - 31 December 2015.","We have audited the Financial Statements of Stevns Leasing AS for the financial year 1 January 2015 - 31 December 2015 comprising Accounting Policies, Income Statement, Balance Sheet and Notes. The Annual Report is presented in accordance with the Danish Financial Statements Act.",,Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Finn MÃ¸ller,Danske Bank,Stevns Leasing AS,"Revision Vadestedet , Godkendt Revisionsaktieselskab",9. Text note,,,,,"Store Heddinge, 5 February 2016",2014-01-01,2014-12-31,,,,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Stevns, 336",2015-12-31,2015-01-01,2016-02-05,NÃ¦stved,,40 42 27 33,RevisionspÃ¥tegning,urn:ofk:oid:22002808,indberetninger-20180424,2.5095978,75106718,,2018-03-28T20:50:59.693Z,2016-02-18T14:14:46.976Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AQ-55-QE,2016-02-18T14:14:47.113Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75106718,2015-01-01,2015-12-31,ID_1,,http://regnskaber.virk.dk/81760157/ZG9rdW1lbnRsYWdlcjovLzAzLzMzLzNkLzAzLzQ2LzQ3YjAtNDJjOC1hNTkzLWZlOGU0YTk4Y2MzMg.pdf,http://regnskaber.virk.dk/81760157/ZG9rdW1lbnRsYWdlcjovLzAzLzg3LzRhL2QwLzBhL2E5NTQtNDBmMC1hY2NiLWFlZWRhODAwMWEyNw.xml,"4700, NÃ¦stved",Vadestedet 6,To the shareholders of Stevns Leasing AS,Report on the Financial Statements,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2015 and of the results of the Company's operations for the financial year 1 January 2015 - 31 December 2015.",2016-02-05,1984-01-01,2016-02-18,,stevns-leasing@mail.dk,,,75106718.0,27433863.0,"Today, Management has considered and adopted the Annual Report of Stevns Leasing AS for the financial year 1 January 2015 - 31 December 2015.","We have audited the Financial Statements of Stevns Leasing AS for the financial year 1 January 2015 - 31 December 2015 comprising Accounting Policies, Income Statement, Balance Sheet and Notes. The Annual Report is presented in accordance with the Danish Financial Statements Act.",,Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Finn MÃ¸ller,Danske Bank,Stevns Leasing AS,"Revision Vadestedet , Godkendt Revisionsaktieselskab",9. Text note,,,,,"Store Heddinge, 5 February 2016",2014-01-01,2014-12-31,,,,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Stevns, 336",2015-12-31,2015-01-01,2016-02-05,NÃ¦stved,,40 42 27 33,RevisionspÃ¥tegning,urn:ofk:oid:22002808,indberetninger-20180424,2.5095978,75106718,,2018-03-28T20:50:59.693Z,2016-02-18T14:14:46.976Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AQ-55-QE,2016-02-18T14:14:47.113Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75106718,2015-01-01,2015-12-31,ID_10,,http://regnskaber.virk.dk/81760157/ZG9rdW1lbnRsYWdlcjovLzAzLzMzLzNkLzAzLzQ2LzQ3YjAtNDJjOC1hNTkzLWZlOGU0YTk4Y2MzMg.pdf,http://regnskaber.virk.dk/81760157/ZG9rdW1lbnRsYWdlcjovLzAzLzg3LzRhL2QwLzBhL2E5NTQtNDBmMC1hY2NiLWFlZWRhODAwMWEyNw.xml,"4700, NÃ¦stved",Vadestedet 6,To the shareholders of Stevns Leasing AS,Report on the Financial Statements,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2015 and of the results of the Company's operations for the financial year 1 January 2015 - 31 December 2015.",2016-02-05,1984-01-01,2016-02-18,,stevns-leasing@mail.dk,,,75106718.0,27433863.0,"Today, Management has considered and adopted the Annual Report of Stevns Leasing AS for the financial year 1 January 2015 - 31 December 2015.","We have audited the Financial Statements of Stevns Leasing AS for the financial year 1 January 2015 - 31 December 2015 comprising Accounting Policies, Income Statement, Balance Sheet and Notes. The Annual Report is presented in accordance with the Danish Financial Statements Act.",,Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Finn MÃ¸ller,Danske Bank,Stevns Leasing AS,"Revision Vadestedet , Godkendt Revisionsaktieselskab",9. Text note,,,,,"Store Heddinge, 5 February 2016",2014-01-01,2014-12-31,,,,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Stevns, 336",2015-12-31,2015-01-01,2016-02-05,NÃ¦stved,,40 42 27 33,RevisionspÃ¥tegning,urn:ofk:oid:22002808,indberetninger-20180424,2.5095978,75106718,,2018-03-28T20:50:59.693Z,2016-02-18T14:14:46.976Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AQ-55-QE,2016-02-18T14:14:47.113Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75106718,2015-01-01,2015-12-31,ID_11,,http://regnskaber.virk.dk/81760157/ZG9rdW1lbnRsYWdlcjovLzAzLzMzLzNkLzAzLzQ2LzQ3YjAtNDJjOC1hNTkzLWZlOGU0YTk4Y2MzMg.pdf,http://regnskaber.virk.dk/81760157/ZG9rdW1lbnRsYWdlcjovLzAzLzg3LzRhL2QwLzBhL2E5NTQtNDBmMC1hY2NiLWFlZWRhODAwMWEyNw.xml,"4700, NÃ¦stved",Vadestedet 6,To the shareholders of Stevns Leasing AS,Report on the Financial Statements,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2015 and of the results of the Company's operations for the financial year 1 January 2015 - 31 December 2015.",2016-02-05,1984-01-01,2016-02-18,,stevns-leasing@mail.dk,,,75106718.0,27433863.0,"Today, Management has considered and adopted the Annual Report of Stevns Leasing AS for the financial year 1 January 2015 - 31 December 2015.","We have audited the Financial Statements of Stevns Leasing AS for the financial year 1 January 2015 - 31 December 2015 comprising Accounting Policies, Income Statement, Balance Sheet and Notes. The Annual Report is presented in accordance with the Danish Financial Statements Act.",,Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Finn MÃ¸ller,Danske Bank,Stevns Leasing AS,"Revision Vadestedet , Godkendt Revisionsaktieselskab",9. Text note,,,,,"Store Heddinge, 5 February 2016",2014-01-01,2014-12-31,,,,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Stevns, 336",2015-12-31,2015-01-01,2016-02-05,NÃ¦stved,,40 42 27 33,RevisionspÃ¥tegning,urn:ofk:oid:22002808,indberetninger-20180424,2.5095978,75106718,,2018-03-28T20:50:59.693Z,2016-02-18T14:14:46.976Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AQ-55-QE,2016-02-18T14:14:47.113Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75106718,2015-01-01,2015-12-31,ID_12,,http://regnskaber.virk.dk/81760157/ZG9rdW1lbnRsYWdlcjovLzAzLzMzLzNkLzAzLzQ2LzQ3YjAtNDJjOC1hNTkzLWZlOGU0YTk4Y2MzMg.pdf,http://regnskaber.virk.dk/81760157/ZG9rdW1lbnRsYWdlcjovLzAzLzg3LzRhL2QwLzBhL2E5NTQtNDBmMC1hY2NiLWFlZWRhODAwMWEyNw.xml,"4700, NÃ¦stved",Vadestedet 6,To the shareholders of Stevns Leasing AS,Report on the Financial Statements,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2015 and of the results of the Company's operations for the financial year 1 January 2015 - 31 December 2015.",2016-02-05,1984-01-01,2016-02-18,,stevns-leasing@mail.dk,,,75106718.0,27433863.0,"Today, Management has considered and adopted the Annual Report of Stevns Leasing AS for the financial year 1 January 2015 - 31 December 2015.","We have audited the Financial Statements of Stevns Leasing AS for the financial year 1 January 2015 - 31 December 2015 comprising Accounting Policies, Income Statement, Balance Sheet and Notes. The Annual Report is presented in accordance with the Danish Financial Statements Act.",,Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Finn MÃ¸ller,Danske Bank,Stevns Leasing AS,"Revision Vadestedet , Godkendt Revisionsaktieselskab",9. Text note,,,,,"Store Heddinge, 5 February 2016",2014-01-01,2014-12-31,,,,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Stevns, 336",2015-12-31,2015-01-01,2016-02-05,NÃ¦stved,,40 42 27 33,RevisionspÃ¥tegning,urn:ofk:oid:22002808,indberetninger-20180424,2.5095978,75106718,,2018-03-28T20:50:59.693Z,2016-02-18T14:14:46.976Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AQ-55-QE,2016-02-18T14:14:47.113Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
