entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetBuildingIdentifier,AddressOfFinancialStreetName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,AdjustmentsForCurrentTaxOfPriorPeriod,AdjustmentsForDeferredTax,AverageNumberOfEmployees,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,CurrentTaxExpense,DateOfApprovalOfAnnualReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditor,DividendPaid,GrossProfitLoss,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,InformationOnTypeOfSubmittedReport,InterestExpenseAssignedToGroupEnterprises,InterestIncomeFromGroupEnterprises,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,OtherInterestExpenses,OtherInterestIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentDeferredTaxAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInAssociates,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,OtherShorttermInvestments,ProposedDividendRecognisedInEquity,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToAssociates,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,ShorttermTaxPayablesToGroupEnterprises,ShorttermTaxReceivables,ShorttermTaxReceivablesFromGroupEnterprises,ShorttermTradePayables,ShorttermTradeReceivables,AccumulatedRevaluationsOfInvestments,InvestmentsGross,NameOfAuditFirm,TypeOfAuditorAssistance,AdditionsToInvestments,RevaluationsOfInvestmentsOfTheYear
26879183,2017-01-01,2017-12-31,c175,,http://regnskaber.virk.dk/38197862/ZG9rdW1lbnRsYWdlcjovLzAzLzZkLzM4L2ZiLzFlLzkxMmItNDFiNy1hMGNlLTU3ZGZkNzUyYzYxOA.pdf,http://regnskaber.virk.dk/38197862/ZG9rdW1lbnRsYWdlcjovLzAzLzYwLzQzLzMyLzg5L2ZkMjUtNDMyZS04MzhjLTQwOTRiYjliNDE1Nw.xml,true,KÃ¸benhavn V,1561.0,29.0,Havneholmen,KÃ¸benhavn C,900.0,8.0,Nikolai Eigtveds Gade,1160 KÃ¸benhavn K,Amagertorv 1 4.,DK-1561 KÃ¸benhavn V,Havneholmen 29,Til kapitalejeren i Skronskifilms Holding ApS,0.0,-60522.0,1.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",480171.0,2019-06-24,2002-11-01,2019-06-26,Statsautoriseret revisor,-105800.0,-81829.0,20222670.0,26879183.0,20222670.0,mne11688,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Skronskifilms Holding ApS.,156053.0,Ãrsrapport,0.0,81548.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Gregers Paulsen,Mariusz Skronski,Mariusz Wojciech Kajetan Skronski,Nordea,Skronskifilms Holding ApS,BDO Statsautoriseret revisionsaktieselskab,337.0,2265132.0,337.0,2183584.0,KÃ¸benhavn,2017-01-01,2017-12-31,1919370.0,2339019.0,-81829.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸benhavn,2018-12-31,2018-01-01,true,2019-06-24,KÃ¸benhavn,419649.0,urn:ofk:oid:27606965,indberetninger-20180424,2.5122833,26879183.0,AWuTn7G-IXJRhhXBLc0J,2019-06-26T11:50:46.158Z,2019-06-26T11:50:44.355Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BR-16-QH,2019-06-26T11:50:44.510Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26879183,2017-01-01,2017-12-31,c214,,http://regnskaber.virk.dk/38197862/ZG9rdW1lbnRsYWdlcjovLzAzLzZkLzM4L2ZiLzFlLzkxMmItNDFiNy1hMGNlLTU3ZGZkNzUyYzYxOA.pdf,http://regnskaber.virk.dk/38197862/ZG9rdW1lbnRsYWdlcjovLzAzLzYwLzQzLzMyLzg5L2ZkMjUtNDMyZS04MzhjLTQwOTRiYjliNDE1Nw.xml,true,KÃ¸benhavn V,1561.0,29.0,Havneholmen,KÃ¸benhavn C,900.0,8.0,Nikolai Eigtveds Gade,1160 KÃ¸benhavn K,Amagertorv 1 4.,DK-1561 KÃ¸benhavn V,Havneholmen 29,Til kapitalejeren i Skronskifilms Holding ApS,,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",,2019-06-24,2002-11-01,2019-06-26,Statsautoriseret revisor,-105800.0,,20222670.0,26879183.0,20222670.0,mne11688,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Skronskifilms Holding ApS.,,Ãrsrapport,,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Gregers Paulsen,Mariusz Skronski,Mariusz Wojciech Kajetan Skronski,Nordea,Skronskifilms Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,,,KÃ¸benhavn,2017-01-01,2017-12-31,1513669.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸benhavn,2018-12-31,2018-01-01,true,2019-06-24,KÃ¸benhavn,,urn:ofk:oid:27606965,indberetninger-20180424,2.5122833,26879183.0,AWuTn7G-IXJRhhXBLc0J,2019-06-26T11:50:46.158Z,2019-06-26T11:50:44.355Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BR-16-QH,2019-06-26T11:50:44.510Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26879183,2017-01-01,2017-12-31,c216,,http://regnskaber.virk.dk/38197862/ZG9rdW1lbnRsYWdlcjovLzAzLzZkLzM4L2ZiLzFlLzkxMmItNDFiNy1hMGNlLTU3ZGZkNzUyYzYxOA.pdf,http://regnskaber.virk.dk/38197862/ZG9rdW1lbnRsYWdlcjovLzAzLzYwLzQzLzMyLzg5L2ZkMjUtNDMyZS04MzhjLTQwOTRiYjliNDE1Nw.xml,true,KÃ¸benhavn V,1561.0,29.0,Havneholmen,KÃ¸benhavn C,900.0,8.0,Nikolai Eigtveds Gade,1160 KÃ¸benhavn K,Amagertorv 1 4.,DK-1561 KÃ¸benhavn V,Havneholmen 29,Til kapitalejeren i Skronskifilms Holding ApS,,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",,2019-06-24,2002-11-01,2019-06-26,Statsautoriseret revisor,-105800.0,,20222670.0,26879183.0,20222670.0,mne11688,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Skronskifilms Holding ApS.,,Ãrsrapport,,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Gregers Paulsen,Mariusz Skronski,Mariusz Wojciech Kajetan Skronski,Nordea,Skronskifilms Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,,,KÃ¸benhavn,2017-01-01,2017-12-31,299901.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸benhavn,2018-12-31,2018-01-01,true,2019-06-24,KÃ¸benhavn,,urn:ofk:oid:27606965,indberetninger-20180424,2.5122833,26879183.0,AWuTn7G-IXJRhhXBLc0J,2019-06-26T11:50:46.158Z,2019-06-26T11:50:44.355Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BR-16-QH,2019-06-26T11:50:44.510Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26879183,2017-01-01,2017-12-31,c219,,http://regnskaber.virk.dk/38197862/ZG9rdW1lbnRsYWdlcjovLzAzLzZkLzM4L2ZiLzFlLzkxMmItNDFiNy1hMGNlLTU3ZGZkNzUyYzYxOA.pdf,http://regnskaber.virk.dk/38197862/ZG9rdW1lbnRsYWdlcjovLzAzLzYwLzQzLzMyLzg5L2ZkMjUtNDMyZS04MzhjLTQwOTRiYjliNDE1Nw.xml,true,KÃ¸benhavn V,1561.0,29.0,Havneholmen,KÃ¸benhavn C,900.0,8.0,Nikolai Eigtveds Gade,1160 KÃ¸benhavn K,Amagertorv 1 4.,DK-1561 KÃ¸benhavn V,Havneholmen 29,Til kapitalejeren i Skronskifilms Holding ApS,,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",,2019-06-24,2002-11-01,2019-06-26,Statsautoriseret revisor,-105800.0,,20222670.0,26879183.0,20222670.0,mne11688,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Skronskifilms Holding ApS.,,Ãrsrapport,,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Gregers Paulsen,Mariusz Skronski,Mariusz Wojciech Kajetan Skronski,Nordea,Skronskifilms Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,,,KÃ¸benhavn,2017-01-01,2017-12-31,105800.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸benhavn,2018-12-31,2018-01-01,true,2019-06-24,KÃ¸benhavn,,urn:ofk:oid:27606965,indberetninger-20180424,2.5122833,26879183.0,AWuTn7G-IXJRhhXBLc0J,2019-06-26T11:50:46.158Z,2019-06-26T11:50:44.355Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BR-16-QH,2019-06-26T11:50:44.510Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26879183,2017-12-31,2017-12-31,c173,,http://regnskaber.virk.dk/38197862/ZG9rdW1lbnRsYWdlcjovLzAzLzZkLzM4L2ZiLzFlLzkxMmItNDFiNy1hMGNlLTU3ZGZkNzUyYzYxOA.pdf,http://regnskaber.virk.dk/38197862/ZG9rdW1lbnRsYWdlcjovLzAzLzYwLzQzLzMyLzg5L2ZkMjUtNDMyZS04MzhjLTQwOTRiYjliNDE1Nw.xml,true,KÃ¸benhavn V,1561.0,29.0,Havneholmen,KÃ¸benhavn C,900.0,8.0,Nikolai Eigtveds Gade,1160 KÃ¸benhavn K,Amagertorv 1 4.,DK-1561 KÃ¸benhavn V,Havneholmen 29,Til kapitalejeren i Skronskifilms Holding ApS,,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",,2019-06-24,2002-11-01,2019-06-26,Statsautoriseret revisor,-105800.0,,20222670.0,26879183.0,20222670.0,mne11688,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Skronskifilms Holding ApS.,,Ãrsrapport,,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Gregers Paulsen,Mariusz Skronski,Mariusz Wojciech Kajetan Skronski,Nordea,Skronskifilms Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,,,KÃ¸benhavn,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸benhavn,2018-12-31,2018-01-01,true,2019-06-24,KÃ¸benhavn,,urn:ofk:oid:27606965,indberetninger-20180424,2.5122833,26879183.0,AWuTn7G-IXJRhhXBLc0J,2019-06-26T11:50:46.158Z,2019-06-26T11:50:44.355Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BR-16-QH,2019-06-26T11:50:44.510Z,39902287.0,313720.0,125000.0,0.0,39324851.0,39902287.0,577436.0,613218.0,0.0,613218.0,613218.0,36676025.0,105800.0,616104.0,38477947.0,36676025.0,577436.0,3339.0,0.0,2299324.0,2146449.0,366184.0,55462.0,0.0,148875.0,52651.0,4000.0,,,,,,
26879183,2018-01-01,2018-01-01,c231,,http://regnskaber.virk.dk/38197862/ZG9rdW1lbnRsYWdlcjovLzAzLzZkLzM4L2ZiLzFlLzkxMmItNDFiNy1hMGNlLTU3ZGZkNzUyYzYxOA.pdf,http://regnskaber.virk.dk/38197862/ZG9rdW1lbnRsYWdlcjovLzAzLzYwLzQzLzMyLzg5L2ZkMjUtNDMyZS04MzhjLTQwOTRiYjliNDE1Nw.xml,true,KÃ¸benhavn V,1561.0,29.0,Havneholmen,KÃ¸benhavn C,900.0,8.0,Nikolai Eigtveds Gade,1160 KÃ¸benhavn K,Amagertorv 1 4.,DK-1561 KÃ¸benhavn V,Havneholmen 29,Til kapitalejeren i Skronskifilms Holding ApS,,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",,2019-06-24,2002-11-01,2019-06-26,Statsautoriseret revisor,-105800.0,,20222670.0,26879183.0,20222670.0,mne11688,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Skronskifilms Holding ApS.,,Ãrsrapport,,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Gregers Paulsen,Mariusz Skronski,Mariusz Wojciech Kajetan Skronski,Nordea,Skronskifilms Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,,,KÃ¸benhavn,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸benhavn,2018-12-31,2018-01-01,true,2019-06-24,KÃ¸benhavn,,urn:ofk:oid:27606965,indberetninger-20180424,2.5122833,26879183.0,AWuTn7G-IXJRhhXBLc0J,2019-06-26T11:50:46.158Z,2019-06-26T11:50:44.355Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BR-16-QH,2019-06-26T11:50:44.510Z,,,,,125000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26879183,2018-01-01,2018-01-01,c234,,http://regnskaber.virk.dk/38197862/ZG9rdW1lbnRsYWdlcjovLzAzLzZkLzM4L2ZiLzFlLzkxMmItNDFiNy1hMGNlLTU3ZGZkNzUyYzYxOA.pdf,http://regnskaber.virk.dk/38197862/ZG9rdW1lbnRsYWdlcjovLzAzLzYwLzQzLzMyLzg5L2ZkMjUtNDMyZS04MzhjLTQwOTRiYjliNDE1Nw.xml,true,KÃ¸benhavn V,1561.0,29.0,Havneholmen,KÃ¸benhavn C,900.0,8.0,Nikolai Eigtveds Gade,1160 KÃ¸benhavn K,Amagertorv 1 4.,DK-1561 KÃ¸benhavn V,Havneholmen 29,Til kapitalejeren i Skronskifilms Holding ApS,,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",,2019-06-24,2002-11-01,2019-06-26,Statsautoriseret revisor,-105800.0,,20222670.0,26879183.0,20222670.0,mne11688,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Skronskifilms Holding ApS.,,Ãrsrapport,,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Gregers Paulsen,Mariusz Skronski,Mariusz Wojciech Kajetan Skronski,Nordea,Skronskifilms Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,,,KÃ¸benhavn,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸benhavn,2018-12-31,2018-01-01,true,2019-06-24,KÃ¸benhavn,,urn:ofk:oid:27606965,indberetninger-20180424,2.5122833,26879183.0,AWuTn7G-IXJRhhXBLc0J,2019-06-26T11:50:46.158Z,2019-06-26T11:50:44.355Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BR-16-QH,2019-06-26T11:50:44.510Z,,,,,616103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26879183,2018-01-01,2018-01-01,c249,,http://regnskaber.virk.dk/38197862/ZG9rdW1lbnRsYWdlcjovLzAzLzZkLzM4L2ZiLzFlLzkxMmItNDFiNy1hMGNlLTU3ZGZkNzUyYzYxOA.pdf,http://regnskaber.virk.dk/38197862/ZG9rdW1lbnRsYWdlcjovLzAzLzYwLzQzLzMyLzg5L2ZkMjUtNDMyZS04MzhjLTQwOTRiYjliNDE1Nw.xml,true,KÃ¸benhavn V,1561.0,29.0,Havneholmen,KÃ¸benhavn C,900.0,8.0,Nikolai Eigtveds Gade,1160 KÃ¸benhavn K,Amagertorv 1 4.,DK-1561 KÃ¸benhavn V,Havneholmen 29,Til kapitalejeren i Skronskifilms Holding ApS,,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",,2019-06-24,2002-11-01,2019-06-26,Statsautoriseret revisor,-105800.0,,20222670.0,26879183.0,20222670.0,mne11688,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Skronskifilms Holding ApS.,,Ãrsrapport,,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Gregers Paulsen,Mariusz Skronski,Mariusz Wojciech Kajetan Skronski,Nordea,Skronskifilms Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,,,KÃ¸benhavn,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸benhavn,2018-12-31,2018-01-01,true,2019-06-24,KÃ¸benhavn,,urn:ofk:oid:27606965,indberetninger-20180424,2.5122833,26879183.0,AWuTn7G-IXJRhhXBLc0J,2019-06-26T11:50:46.158Z,2019-06-26T11:50:44.355Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BR-16-QH,2019-06-26T11:50:44.510Z,,,,,38477949.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26879183,2018-01-01,2018-01-01,c255,,http://regnskaber.virk.dk/38197862/ZG9rdW1lbnRsYWdlcjovLzAzLzZkLzM4L2ZiLzFlLzkxMmItNDFiNy1hMGNlLTU3ZGZkNzUyYzYxOA.pdf,http://regnskaber.virk.dk/38197862/ZG9rdW1lbnRsYWdlcjovLzAzLzYwLzQzLzMyLzg5L2ZkMjUtNDMyZS04MzhjLTQwOTRiYjliNDE1Nw.xml,true,KÃ¸benhavn V,1561.0,29.0,Havneholmen,KÃ¸benhavn C,900.0,8.0,Nikolai Eigtveds Gade,1160 KÃ¸benhavn K,Amagertorv 1 4.,DK-1561 KÃ¸benhavn V,Havneholmen 29,Til kapitalejeren i Skronskifilms Holding ApS,,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",,2019-06-24,2002-11-01,2019-06-26,Statsautoriseret revisor,-105800.0,,20222670.0,26879183.0,20222670.0,mne11688,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Skronskifilms Holding ApS.,,Ãrsrapport,,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Gregers Paulsen,Mariusz Skronski,Mariusz Wojciech Kajetan Skronski,Nordea,Skronskifilms Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,,,KÃ¸benhavn,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸benhavn,2018-12-31,2018-01-01,true,2019-06-24,KÃ¸benhavn,,urn:ofk:oid:27606965,indberetninger-20180424,2.5122833,26879183.0,AWuTn7G-IXJRhhXBLc0J,2019-06-26T11:50:46.158Z,2019-06-26T11:50:44.355Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BR-16-QH,2019-06-26T11:50:44.510Z,,,,,105800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26879183,2018-01-01,2018-01-01,c572,,http://regnskaber.virk.dk/38197862/ZG9rdW1lbnRsYWdlcjovLzAzLzZkLzM4L2ZiLzFlLzkxMmItNDFiNy1hMGNlLTU3ZGZkNzUyYzYxOA.pdf,http://regnskaber.virk.dk/38197862/ZG9rdW1lbnRsYWdlcjovLzAzLzYwLzQzLzMyLzg5L2ZkMjUtNDMyZS04MzhjLTQwOTRiYjliNDE1Nw.xml,true,KÃ¸benhavn V,1561.0,29.0,Havneholmen,KÃ¸benhavn C,900.0,8.0,Nikolai Eigtveds Gade,1160 KÃ¸benhavn K,Amagertorv 1 4.,DK-1561 KÃ¸benhavn V,Havneholmen 29,Til kapitalejeren i Skronskifilms Holding ApS,,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",,2019-06-24,2002-11-01,2019-06-26,Statsautoriseret revisor,-105800.0,,20222670.0,26879183.0,20222670.0,mne11688,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Skronskifilms Holding ApS.,,Ãrsrapport,,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Gregers Paulsen,Mariusz Skronski,Mariusz Wojciech Kajetan Skronski,Nordea,Skronskifilms Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,,,KÃ¸benhavn,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸benhavn,2018-12-31,2018-01-01,true,2019-06-24,KÃ¸benhavn,,urn:ofk:oid:27606965,indberetninger-20180424,2.5122833,26879183.0,AWuTn7G-IXJRhhXBLc0J,2019-06-26T11:50:46.158Z,2019-06-26T11:50:44.355Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BR-16-QH,2019-06-26T11:50:44.510Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2475400.0,2475400.0,,,,
