entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfAuditFirm,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,AverageNumberOfEmployees,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,GrossProfitLoss,OtherFinanceExpenses,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,DeferredIncomeAssets,DepositsLongtermInvestmentsAndReceivables,Equity,Inventories,LeaseholdImprovements,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,NoncurrentAssets,OtherShorttermPayables,PlantAndMachinery,PropertyPlantAndEquipment,RawMaterialsAndConsumables,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermTradePayables,NameAndSurnameOfMemberOfExecutiveBoard
25559363,2015-01-01,2015-12-31,ID_10,,http://regnskaber.virk.dk/36395552/ZG9rdW1lbnRsYWdlcjovLzAzL2NkLzlhLzk5LzNhL2ZmMTYtNDliNS1iYzE1LTQ5NWVmNDM4ODJjMA.pdf,http://regnskaber.virk.dk/36395552/ZG9rdW1lbnRsYWdlcjovLzAzLzVmL2FiLzAyLzMyL2UwNjItNGI3MC05ZDczLTJjNDlhY2YzMzFkZA.xml,true,"8700, Horsens",Erhvervsbyvej 13,Til den daglige ledelse i SamsÃ¸ Skorstensfejer ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2016 - 31-12-2016.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2017-06-28,2017-06-28,2000-08-16,2017-06-28,36563877.0,25559363.0,36563877.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2016 - 31-12-2016 for SamsÃ¸ Skorstensfejer ApS.,Ãrsrapport,Jan Taylor Hansen,Preben Bach,LMO Erhvervsrevision,Jyske Bank,SamsÃ¸ Skorstensfejer ApS,"LMO Erhvervsrevision, Godkendt Revisionsaktieselskab",SamsÃ¸,2015-01-01,2015-12-31,17695.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"SamsÃ¸, 741",2016-12-31,2016-01-01,false,2017-06-28,Horsens,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24316680,indberetninger-20180424,2.5124211,25559363.0,,2018-03-29T19:34:03.487Z,2017-06-30T12:04:42.977Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AP-42-LJ,2017-06-30T12:04:43.119Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25559363,2015-01-01,2015-12-31,ID_7,,http://regnskaber.virk.dk/36395552/ZG9rdW1lbnRsYWdlcjovLzAzL2NkLzlhLzk5LzNhL2ZmMTYtNDliNS1iYzE1LTQ5NWVmNDM4ODJjMA.pdf,http://regnskaber.virk.dk/36395552/ZG9rdW1lbnRsYWdlcjovLzAzLzVmL2FiLzAyLzMyL2UwNjItNGI3MC05ZDczLTJjNDlhY2YzMzFkZA.xml,true,"8700, Horsens",Erhvervsbyvej 13,Til den daglige ledelse i SamsÃ¸ Skorstensfejer ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2016 - 31-12-2016.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2017-06-28,2017-06-28,2000-08-16,2017-06-28,36563877.0,25559363.0,36563877.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2016 - 31-12-2016 for SamsÃ¸ Skorstensfejer ApS.,Ãrsrapport,Jan Taylor Hansen,Preben Bach,LMO Erhvervsrevision,Jyske Bank,SamsÃ¸ Skorstensfejer ApS,"LMO Erhvervsrevision, Godkendt Revisionsaktieselskab",SamsÃ¸,2015-01-01,2015-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"SamsÃ¸, 741",2016-12-31,2016-01-01,false,2017-06-28,Horsens,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24316680,indberetninger-20180424,2.5124211,25559363.0,,2018-03-29T19:34:03.487Z,2017-06-30T12:04:42.977Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AP-42-LJ,2017-06-30T12:04:43.119Z,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25559363,2015-01-01,2015-12-31,ID_8,,http://regnskaber.virk.dk/36395552/ZG9rdW1lbnRsYWdlcjovLzAzL2NkLzlhLzk5LzNhL2ZmMTYtNDliNS1iYzE1LTQ5NWVmNDM4ODJjMA.pdf,http://regnskaber.virk.dk/36395552/ZG9rdW1lbnRsYWdlcjovLzAzLzVmL2FiLzAyLzMyL2UwNjItNGI3MC05ZDczLTJjNDlhY2YzMzFkZA.xml,true,"8700, Horsens",Erhvervsbyvej 13,Til den daglige ledelse i SamsÃ¸ Skorstensfejer ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2016 - 31-12-2016.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2017-06-28,2017-06-28,2000-08-16,2017-06-28,36563877.0,25559363.0,36563877.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2016 - 31-12-2016 for SamsÃ¸ Skorstensfejer ApS.,Ãrsrapport,Jan Taylor Hansen,Preben Bach,LMO Erhvervsrevision,Jyske Bank,SamsÃ¸ Skorstensfejer ApS,"LMO Erhvervsrevision, Godkendt Revisionsaktieselskab",SamsÃ¸,2015-01-01,2015-12-31,-17695.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"SamsÃ¸, 741",2016-12-31,2016-01-01,false,2017-06-28,Horsens,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24316680,indberetninger-20180424,2.5124211,25559363.0,,2018-03-29T19:34:03.487Z,2017-06-30T12:04:42.977Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AP-42-LJ,2017-06-30T12:04:43.119Z,,3718.0,185233.0,195282.0,26.0,6305.0,6331.0,24000.0,,,,,,,,,,,,,,,,,,,,,,,
25559363,2015-12-31,2015-12-31,ID_5,,http://regnskaber.virk.dk/36395552/ZG9rdW1lbnRsYWdlcjovLzAzL2NkLzlhLzk5LzNhL2ZmMTYtNDliNS1iYzE1LTQ5NWVmNDM4ODJjMA.pdf,http://regnskaber.virk.dk/36395552/ZG9rdW1lbnRsYWdlcjovLzAzLzVmL2FiLzAyLzMyL2UwNjItNGI3MC05ZDczLTJjNDlhY2YzMzFkZA.xml,true,"8700, Horsens",Erhvervsbyvej 13,Til den daglige ledelse i SamsÃ¸ Skorstensfejer ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2016 - 31-12-2016.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2017-06-28,2017-06-28,2000-08-16,2017-06-28,36563877.0,25559363.0,36563877.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2016 - 31-12-2016 for SamsÃ¸ Skorstensfejer ApS.,Ãrsrapport,Jan Taylor Hansen,Preben Bach,LMO Erhvervsrevision,Jyske Bank,SamsÃ¸ Skorstensfejer ApS,"LMO Erhvervsrevision, Godkendt Revisionsaktieselskab",SamsÃ¸,2015-01-01,2015-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"SamsÃ¸, 741",2016-12-31,2016-01-01,false,2017-06-28,Horsens,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24316680,indberetninger-20180424,2.5124211,25559363.0,,2018-03-29T19:34:03.487Z,2017-06-30T12:04:42.977Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AP-42-LJ,2017-06-30T12:04:43.119Z,,,,,,,,,159696.0,20410.0,125000.0,120490.0,1500.0,6000.0,83573.0,98580.0,18336.0,159696.0,76123.0,6000.0,39206.0,11793.0,14870.0,33206.0,98580.0,-41427.0,76123.0,59486.0,1500.0,4844.0,
25559363,2016-01-01,2016-12-31,ID_0,,http://regnskaber.virk.dk/36395552/ZG9rdW1lbnRsYWdlcjovLzAzL2NkLzlhLzk5LzNhL2ZmMTYtNDliNS1iYzE1LTQ5NWVmNDM4ODJjMA.pdf,http://regnskaber.virk.dk/36395552/ZG9rdW1lbnRsYWdlcjovLzAzLzVmL2FiLzAyLzMyL2UwNjItNGI3MC05ZDczLTJjNDlhY2YzMzFkZA.xml,true,"8700, Horsens",Erhvervsbyvej 13,Til den daglige ledelse i SamsÃ¸ Skorstensfejer ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2016 - 31-12-2016.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2017-06-28,2017-06-28,2000-08-16,2017-06-28,36563877.0,25559363.0,36563877.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2016 - 31-12-2016 for SamsÃ¸ Skorstensfejer ApS.,Ãrsrapport,Jan Taylor Hansen,Preben Bach,LMO Erhvervsrevision,Jyske Bank,SamsÃ¸ Skorstensfejer ApS,"LMO Erhvervsrevision, Godkendt Revisionsaktieselskab",SamsÃ¸,2015-01-01,2015-12-31,-195763.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"SamsÃ¸, 741",2016-12-31,2016-01-01,false,2017-06-28,Horsens,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24316680,indberetninger-20180424,2.5124211,25559363.0,,2018-03-29T19:34:03.487Z,2017-06-30T12:04:42.977Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AP-42-LJ,2017-06-30T12:04:43.119Z,,12718.0,283770.0,102231.0,1506.0,-195763.0,-194257.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
25559363,2016-01-01,2016-12-31,ID_1,,http://regnskaber.virk.dk/36395552/ZG9rdW1lbnRsYWdlcjovLzAzL2NkLzlhLzk5LzNhL2ZmMTYtNDliNS1iYzE1LTQ5NWVmNDM4ODJjMA.pdf,http://regnskaber.virk.dk/36395552/ZG9rdW1lbnRsYWdlcjovLzAzLzVmL2FiLzAyLzMyL2UwNjItNGI3MC05ZDczLTJjNDlhY2YzMzFkZA.xml,true,"8700, Horsens",Erhvervsbyvej 13,Til den daglige ledelse i SamsÃ¸ Skorstensfejer ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2016 - 31-12-2016.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2017-06-28,2017-06-28,2000-08-16,2017-06-28,36563877.0,25559363.0,36563877.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2016 - 31-12-2016 for SamsÃ¸ Skorstensfejer ApS.,Ãrsrapport,Jan Taylor Hansen,Preben Bach,LMO Erhvervsrevision,Jyske Bank,SamsÃ¸ Skorstensfejer ApS,"LMO Erhvervsrevision, Godkendt Revisionsaktieselskab",SamsÃ¸,2015-01-01,2015-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"SamsÃ¸, 741",2016-12-31,2016-01-01,false,2017-06-28,Horsens,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24316680,indberetninger-20180424,2.5124211,25559363.0,,2018-03-29T19:34:03.487Z,2017-06-30T12:04:42.977Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AP-42-LJ,2017-06-30T12:04:43.119Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25559363,2016-01-01,2016-12-31,ID_2,,http://regnskaber.virk.dk/36395552/ZG9rdW1lbnRsYWdlcjovLzAzL2NkLzlhLzk5LzNhL2ZmMTYtNDliNS1iYzE1LTQ5NWVmNDM4ODJjMA.pdf,http://regnskaber.virk.dk/36395552/ZG9rdW1lbnRsYWdlcjovLzAzLzVmL2FiLzAyLzMyL2UwNjItNGI3MC05ZDczLTJjNDlhY2YzMzFkZA.xml,true,"8700, Horsens",Erhvervsbyvej 13,Til den daglige ledelse i SamsÃ¸ Skorstensfejer ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2016 - 31-12-2016.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2017-06-28,2017-06-28,2000-08-16,2017-06-28,36563877.0,25559363.0,36563877.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2016 - 31-12-2016 for SamsÃ¸ Skorstensfejer ApS.,Ãrsrapport,Jan Taylor Hansen,Preben Bach,LMO Erhvervsrevision,Jyske Bank,SamsÃ¸ Skorstensfejer ApS,"LMO Erhvervsrevision, Godkendt Revisionsaktieselskab",SamsÃ¸,2015-01-01,2015-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"SamsÃ¸, 741",2016-12-31,2016-01-01,false,2017-06-28,Horsens,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24316680,indberetninger-20180424,2.5124211,25559363.0,,2018-03-29T19:34:03.487Z,2017-06-30T12:04:42.977Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AP-42-LJ,2017-06-30T12:04:43.119Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Preben Bach
25559363,2016-01-01,2016-12-31,ID_3,,http://regnskaber.virk.dk/36395552/ZG9rdW1lbnRsYWdlcjovLzAzL2NkLzlhLzk5LzNhL2ZmMTYtNDliNS1iYzE1LTQ5NWVmNDM4ODJjMA.pdf,http://regnskaber.virk.dk/36395552/ZG9rdW1lbnRsYWdlcjovLzAzLzVmL2FiLzAyLzMyL2UwNjItNGI3MC05ZDczLTJjNDlhY2YzMzFkZA.xml,true,"8700, Horsens",Erhvervsbyvej 13,Til den daglige ledelse i SamsÃ¸ Skorstensfejer ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2016 - 31-12-2016.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2017-06-28,2017-06-28,2000-08-16,2017-06-28,36563877.0,25559363.0,36563877.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2016 - 31-12-2016 for SamsÃ¸ Skorstensfejer ApS.,Ãrsrapport,Jan Taylor Hansen,Preben Bach,LMO Erhvervsrevision,Jyske Bank,SamsÃ¸ Skorstensfejer ApS,"LMO Erhvervsrevision, Godkendt Revisionsaktieselskab",SamsÃ¸,2015-01-01,2015-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"SamsÃ¸, 741",2016-12-31,2016-01-01,false,2017-06-28,Horsens,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24316680,indberetninger-20180424,2.5124211,25559363.0,,2018-03-29T19:34:03.487Z,2017-06-30T12:04:42.977Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AP-42-LJ,2017-06-30T12:04:43.119Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25559363,2016-01-01,2016-12-31,ID_6,,http://regnskaber.virk.dk/36395552/ZG9rdW1lbnRsYWdlcjovLzAzL2NkLzlhLzk5LzNhL2ZmMTYtNDliNS1iYzE1LTQ5NWVmNDM4ODJjMA.pdf,http://regnskaber.virk.dk/36395552/ZG9rdW1lbnRsYWdlcjovLzAzLzVmL2FiLzAyLzMyL2UwNjItNGI3MC05ZDczLTJjNDlhY2YzMzFkZA.xml,true,"8700, Horsens",Erhvervsbyvej 13,Til den daglige ledelse i SamsÃ¸ Skorstensfejer ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2016 - 31-12-2016.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2017-06-28,2017-06-28,2000-08-16,2017-06-28,36563877.0,25559363.0,36563877.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2016 - 31-12-2016 for SamsÃ¸ Skorstensfejer ApS.,Ãrsrapport,Jan Taylor Hansen,Preben Bach,LMO Erhvervsrevision,Jyske Bank,SamsÃ¸ Skorstensfejer ApS,"LMO Erhvervsrevision, Godkendt Revisionsaktieselskab",SamsÃ¸,2015-01-01,2015-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"SamsÃ¸, 741",2016-12-31,2016-01-01,false,2017-06-28,Horsens,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24316680,indberetninger-20180424,2.5124211,25559363.0,,2018-03-29T19:34:03.487Z,2017-06-30T12:04:42.977Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AP-42-LJ,2017-06-30T12:04:43.119Z,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25559363,2016-01-01,2016-12-31,ID_9,,http://regnskaber.virk.dk/36395552/ZG9rdW1lbnRsYWdlcjovLzAzL2NkLzlhLzk5LzNhL2ZmMTYtNDliNS1iYzE1LTQ5NWVmNDM4ODJjMA.pdf,http://regnskaber.virk.dk/36395552/ZG9rdW1lbnRsYWdlcjovLzAzLzVmL2FiLzAyLzMyL2UwNjItNGI3MC05ZDczLTJjNDlhY2YzMzFkZA.xml,true,"8700, Horsens",Erhvervsbyvej 13,Til den daglige ledelse i SamsÃ¸ Skorstensfejer ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2016 - 31-12-2016.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2017-06-28,2017-06-28,2000-08-16,2017-06-28,36563877.0,25559363.0,36563877.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2016 - 31-12-2016 for SamsÃ¸ Skorstensfejer ApS.,Ãrsrapport,Jan Taylor Hansen,Preben Bach,LMO Erhvervsrevision,Jyske Bank,SamsÃ¸ Skorstensfejer ApS,"LMO Erhvervsrevision, Godkendt Revisionsaktieselskab",SamsÃ¸,2015-01-01,2015-12-31,195763.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"SamsÃ¸, 741",2016-12-31,2016-01-01,false,2017-06-28,Horsens,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24316680,indberetninger-20180424,2.5124211,25559363.0,,2018-03-29T19:34:03.487Z,2017-06-30T12:04:42.977Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AP-42-LJ,2017-06-30T12:04:43.119Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
