entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,EmployeeBenefitsExpense,GrossResult,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,TaxExpense,TelephoneNumberOfReportingEntity,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,FixturesFittingsToolsAndEquipment,Inventories,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,RawMaterialsAndConsumables,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermTaxReceivables,ShorttermTradePayables,ShorttermTradeReceivables
34216150,2015-01-01,2015-12-31,c2,http://regnskaber.virk.dk/05161243/ZG9rdW1lbnRsYWdlcjovLzAzL2U2LzgzL2E3LzFhL2Y3MmYtNDBmNy1hY2M0LTBhYTljY2VmZGJmYw.xhtml,http://regnskaber.virk.dk/05161243/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmL2E2L2NlL2UyLzljMmUtNDk0MS05MWQzLWVkYjA2ODVkODQ1OQ.pdf,http://regnskaber.virk.dk/05161243/ZG9rdW1lbnRsYWdlcjovLzAzLzdmLzc1LzUwLzMyLzM4ZTYtNGM5My05NTFhLWM4NmExMTQ2MjJmNQ.xml,true,VanlÃ¸se,2720.0,68.0,Bogholder AllÃ©,2610 RÃ¸dovre,GunnekÃ¦r 28,Regnskabsklasse B,2017-05-05,2017-05-05,219512.0,187729.0,34216150.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Christina Christiansen,Christina Lundgren Andersen,MALERMESTER LUNDGREN ApS,RE//VISION,554.0,kÃ¸benhavn,2015-01-01,2015-12-31,-24812.0,-32337.0,-31783.0,2016-12-31,2016-01-01,false,false,-7525.0,27200307.0,false,false,direktÃ¸r,Ingen bistand,urn:ofk:oid:23821264,indberetninger-20180424,2.594777,34216150.0,,2018-03-27T20:57:15.650Z,2017-05-07T16:14:42.531Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AH-66-PZ,2017-05-07T16:14:42.696Z,,,,,,,,,,,,,,,,,,,,,
34216150,2015-01-01,2015-12-31,c4,http://regnskaber.virk.dk/05161243/ZG9rdW1lbnRsYWdlcjovLzAzL2U2LzgzL2E3LzFhL2Y3MmYtNDBmNy1hY2M0LTBhYTljY2VmZGJmYw.xhtml,http://regnskaber.virk.dk/05161243/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmL2E2L2NlL2UyLzljMmUtNDk0MS05MWQzLWVkYjA2ODVkODQ1OQ.pdf,http://regnskaber.virk.dk/05161243/ZG9rdW1lbnRsYWdlcjovLzAzLzdmLzc1LzUwLzMyLzM4ZTYtNGM5My05NTFhLWM4NmExMTQ2MjJmNQ.xml,true,VanlÃ¸se,2720.0,68.0,Bogholder AllÃ©,2610 RÃ¸dovre,GunnekÃ¦r 28,Regnskabsklasse B,2017-05-05,2017-05-05,,,34216150.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Christina Christiansen,Christina Lundgren Andersen,MALERMESTER LUNDGREN ApS,RE//VISION,,kÃ¸benhavn,2015-01-01,2015-12-31,-24812.0,,,2016-12-31,2016-01-01,false,false,,27200307.0,false,false,direktÃ¸r,Ingen bistand,urn:ofk:oid:23821264,indberetninger-20180424,2.594777,34216150.0,,2018-03-27T20:57:15.650Z,2017-05-07T16:14:42.531Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AH-66-PZ,2017-05-07T16:14:42.696Z,,,,,,,,,,,,,,,,,,,,,
34216150,2015-12-31,2015-12-31,c6,http://regnskaber.virk.dk/05161243/ZG9rdW1lbnRsYWdlcjovLzAzL2U2LzgzL2E3LzFhL2Y3MmYtNDBmNy1hY2M0LTBhYTljY2VmZGJmYw.xhtml,http://regnskaber.virk.dk/05161243/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmL2E2L2NlL2UyLzljMmUtNDk0MS05MWQzLWVkYjA2ODVkODQ1OQ.pdf,http://regnskaber.virk.dk/05161243/ZG9rdW1lbnRsYWdlcjovLzAzLzdmLzc1LzUwLzMyLzM4ZTYtNGM5My05NTFhLWM4NmExMTQ2MjJmNQ.xml,true,VanlÃ¸se,2720.0,68.0,Bogholder AllÃ©,2610 RÃ¸dovre,GunnekÃ¦r 28,Regnskabsklasse B,2017-05-05,2017-05-05,,,34216150.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Christina Christiansen,Christina Lundgren Andersen,MALERMESTER LUNDGREN ApS,RE//VISION,,kÃ¸benhavn,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,false,false,,27200307.0,false,false,direktÃ¸r,Ingen bistand,urn:ofk:oid:23821264,indberetninger-20180424,2.594777,34216150.0,,2018-03-27T20:57:15.650Z,2017-05-07T16:14:42.531Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AH-66-PZ,2017-05-07T16:14:42.696Z,593419.0,173378.0,80000.0,574774.0,-820387.0,18645.0,150000.0,593419.0,1413806.0,18645.0,71278.0,12375.0,18645.0,150000.0,-900387.0,1413806.0,1330048.0,251396.0,222396.0,12480.0,16625.0
34216150,2016-01-01,2016-01-01,c7,http://regnskaber.virk.dk/05161243/ZG9rdW1lbnRsYWdlcjovLzAzL2U2LzgzL2E3LzFhL2Y3MmYtNDBmNy1hY2M0LTBhYTljY2VmZGJmYw.xhtml,http://regnskaber.virk.dk/05161243/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmL2E2L2NlL2UyLzljMmUtNDk0MS05MWQzLWVkYjA2ODVkODQ1OQ.pdf,http://regnskaber.virk.dk/05161243/ZG9rdW1lbnRsYWdlcjovLzAzLzdmLzc1LzUwLzMyLzM4ZTYtNGM5My05NTFhLWM4NmExMTQ2MjJmNQ.xml,true,VanlÃ¸se,2720.0,68.0,Bogholder AllÃ©,2610 RÃ¸dovre,GunnekÃ¦r 28,Regnskabsklasse B,2017-05-05,2017-05-05,,,34216150.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Christina Christiansen,Christina Lundgren Andersen,MALERMESTER LUNDGREN ApS,RE//VISION,,kÃ¸benhavn,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,false,false,,27200307.0,false,false,direktÃ¸r,Ingen bistand,urn:ofk:oid:23821264,indberetninger-20180424,2.594777,34216150.0,,2018-03-27T20:57:15.650Z,2017-05-07T16:14:42.531Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AH-66-PZ,2017-05-07T16:14:42.696Z,,,,,80000.0,,,,,,,,,,,,,,,,
34216150,2016-01-01,2016-01-01,c8,http://regnskaber.virk.dk/05161243/ZG9rdW1lbnRsYWdlcjovLzAzL2U2LzgzL2E3LzFhL2Y3MmYtNDBmNy1hY2M0LTBhYTljY2VmZGJmYw.xhtml,http://regnskaber.virk.dk/05161243/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmL2E2L2NlL2UyLzljMmUtNDk0MS05MWQzLWVkYjA2ODVkODQ1OQ.pdf,http://regnskaber.virk.dk/05161243/ZG9rdW1lbnRsYWdlcjovLzAzLzdmLzc1LzUwLzMyLzM4ZTYtNGM5My05NTFhLWM4NmExMTQ2MjJmNQ.xml,true,VanlÃ¸se,2720.0,68.0,Bogholder AllÃ©,2610 RÃ¸dovre,GunnekÃ¦r 28,Regnskabsklasse B,2017-05-05,2017-05-05,,,34216150.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Christina Christiansen,Christina Lundgren Andersen,MALERMESTER LUNDGREN ApS,RE//VISION,,kÃ¸benhavn,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,false,false,,27200307.0,false,false,direktÃ¸r,Ingen bistand,urn:ofk:oid:23821264,indberetninger-20180424,2.594777,34216150.0,,2018-03-27T20:57:15.650Z,2017-05-07T16:14:42.531Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AH-66-PZ,2017-05-07T16:14:42.696Z,,,,,-900387.0,,,,,,,,,,,,,,,,
34216150,2016-01-01,2016-01-01,c9,http://regnskaber.virk.dk/05161243/ZG9rdW1lbnRsYWdlcjovLzAzL2U2LzgzL2E3LzFhL2Y3MmYtNDBmNy1hY2M0LTBhYTljY2VmZGJmYw.xhtml,http://regnskaber.virk.dk/05161243/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmL2E2L2NlL2UyLzljMmUtNDk0MS05MWQzLWVkYjA2ODVkODQ1OQ.pdf,http://regnskaber.virk.dk/05161243/ZG9rdW1lbnRsYWdlcjovLzAzLzdmLzc1LzUwLzMyLzM4ZTYtNGM5My05NTFhLWM4NmExMTQ2MjJmNQ.xml,true,VanlÃ¸se,2720.0,68.0,Bogholder AllÃ©,2610 RÃ¸dovre,GunnekÃ¦r 28,Regnskabsklasse B,2017-05-05,2017-05-05,,,34216150.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Christina Christiansen,Christina Lundgren Andersen,MALERMESTER LUNDGREN ApS,RE//VISION,,kÃ¸benhavn,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,false,false,,27200307.0,false,false,direktÃ¸r,Ingen bistand,urn:ofk:oid:23821264,indberetninger-20180424,2.594777,34216150.0,,2018-03-27T20:57:15.650Z,2017-05-07T16:14:42.531Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AH-66-PZ,2017-05-07T16:14:42.696Z,,,,,-820387.0,,,,,,,,,,,,,,,,
34216150,2016-01-01,2016-12-31,c0,http://regnskaber.virk.dk/05161243/ZG9rdW1lbnRsYWdlcjovLzAzL2U2LzgzL2E3LzFhL2Y3MmYtNDBmNy1hY2M0LTBhYTljY2VmZGJmYw.xhtml,http://regnskaber.virk.dk/05161243/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmL2E2L2NlL2UyLzljMmUtNDk0MS05MWQzLWVkYjA2ODVkODQ1OQ.pdf,http://regnskaber.virk.dk/05161243/ZG9rdW1lbnRsYWdlcjovLzAzLzdmLzc1LzUwLzMyLzM4ZTYtNGM5My05NTFhLWM4NmExMTQ2MjJmNQ.xml,true,VanlÃ¸se,2720.0,68.0,Bogholder AllÃ©,2610 RÃ¸dovre,GunnekÃ¦r 28,Regnskabsklasse B,2017-05-05,2017-05-05,290306.0,335690.0,34216150.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Christina Christiansen,Christina Lundgren Andersen,MALERMESTER LUNDGREN ApS,RE//VISION,1406.0,kÃ¸benhavn,2015-01-01,2015-12-31,36453.0,43978.0,45384.0,2016-12-31,2016-01-01,false,false,7525.0,27200307.0,false,false,direktÃ¸r,Ingen bistand,urn:ofk:oid:23821264,indberetninger-20180424,2.594777,34216150.0,,2018-03-27T20:57:15.650Z,2017-05-07T16:14:42.531Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AH-66-PZ,2017-05-07T16:14:42.696Z,,,,,,,,,,,,,,,,,,,,,
34216150,2016-01-01,2016-12-31,c1,http://regnskaber.virk.dk/05161243/ZG9rdW1lbnRsYWdlcjovLzAzL2U2LzgzL2E3LzFhL2Y3MmYtNDBmNy1hY2M0LTBhYTljY2VmZGJmYw.xhtml,http://regnskaber.virk.dk/05161243/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmL2E2L2NlL2UyLzljMmUtNDk0MS05MWQzLWVkYjA2ODVkODQ1OQ.pdf,http://regnskaber.virk.dk/05161243/ZG9rdW1lbnRsYWdlcjovLzAzLzdmLzc1LzUwLzMyLzM4ZTYtNGM5My05NTFhLWM4NmExMTQ2MjJmNQ.xml,true,VanlÃ¸se,2720.0,68.0,Bogholder AllÃ©,2610 RÃ¸dovre,GunnekÃ¦r 28,Regnskabsklasse B,2017-05-05,2017-05-05,,,34216150.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Christina Christiansen,Christina Lundgren Andersen,MALERMESTER LUNDGREN ApS,RE//VISION,,kÃ¸benhavn,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,false,false,,27200307.0,false,false,direktÃ¸r,Ingen bistand,urn:ofk:oid:23821264,indberetninger-20180424,2.594777,34216150.0,,2018-03-27T20:57:15.650Z,2017-05-07T16:14:42.531Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AH-66-PZ,2017-05-07T16:14:42.696Z,,,,,,,,,,,,,,,,,,,,,
34216150,2016-01-01,2016-12-31,c10,http://regnskaber.virk.dk/05161243/ZG9rdW1lbnRsYWdlcjovLzAzL2U2LzgzL2E3LzFhL2Y3MmYtNDBmNy1hY2M0LTBhYTljY2VmZGJmYw.xhtml,http://regnskaber.virk.dk/05161243/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmL2E2L2NlL2UyLzljMmUtNDk0MS05MWQzLWVkYjA2ODVkODQ1OQ.pdf,http://regnskaber.virk.dk/05161243/ZG9rdW1lbnRsYWdlcjovLzAzLzdmLzc1LzUwLzMyLzM4ZTYtNGM5My05NTFhLWM4NmExMTQ2MjJmNQ.xml,true,VanlÃ¸se,2720.0,68.0,Bogholder AllÃ©,2610 RÃ¸dovre,GunnekÃ¦r 28,Regnskabsklasse B,2017-05-05,2017-05-05,,,34216150.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Christina Christiansen,Christina Lundgren Andersen,MALERMESTER LUNDGREN ApS,RE//VISION,,kÃ¸benhavn,2015-01-01,2015-12-31,36453.0,,,2016-12-31,2016-01-01,false,false,,27200307.0,false,false,direktÃ¸r,Ingen bistand,urn:ofk:oid:23821264,indberetninger-20180424,2.594777,34216150.0,,2018-03-27T20:57:15.650Z,2017-05-07T16:14:42.531Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AH-66-PZ,2017-05-07T16:14:42.696Z,,,,,,,,,,,,,,,,,,,,,
34216150,2016-01-01,2016-12-31,c3,http://regnskaber.virk.dk/05161243/ZG9rdW1lbnRsYWdlcjovLzAzL2U2LzgzL2E3LzFhL2Y3MmYtNDBmNy1hY2M0LTBhYTljY2VmZGJmYw.xhtml,http://regnskaber.virk.dk/05161243/ZG9rdW1lbnRsYWdlcjovLzAzL2ZmL2E2L2NlL2UyLzljMmUtNDk0MS05MWQzLWVkYjA2ODVkODQ1OQ.pdf,http://regnskaber.virk.dk/05161243/ZG9rdW1lbnRsYWdlcjovLzAzLzdmLzc1LzUwLzMyLzM4ZTYtNGM5My05NTFhLWM4NmExMTQ2MjJmNQ.xml,true,VanlÃ¸se,2720.0,68.0,Bogholder AllÃ©,2610 RÃ¸dovre,GunnekÃ¦r 28,Regnskabsklasse B,2017-05-05,2017-05-05,,,34216150.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Christina Christiansen,Christina Lundgren Andersen,MALERMESTER LUNDGREN ApS,RE//VISION,,kÃ¸benhavn,2015-01-01,2015-12-31,36453.0,,,2016-12-31,2016-01-01,false,false,,27200307.0,false,false,direktÃ¸r,Ingen bistand,urn:ofk:oid:23821264,indberetninger-20180424,2.594777,34216150.0,,2018-03-27T20:57:15.650Z,2017-05-07T16:14:42.531Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AH-66-PZ,2017-05-07T16:14:42.696Z,,,,,,,,,,,,,,,,,,,,,
