entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,AdjustmentsForCurrentTaxOfPriorPeriod,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditor,ExternalExpenses,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,InformationOnTypeOfSubmittedReport,InterestExpenseAssignedToGroupEnterprises,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,RevaluationsOfInvestmentsOfTheYear,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,ContributedCapital,CurrentDeferredTaxAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,OtherShorttermPayables,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,AccumulatedRevaluationsOfInvestments,InvestmentsGross,NameOfAuditFirm,TypeOfAuditorAssistance
32652085,2015-01-01,2015-12-31,c347,,http://regnskaber.virk.dk/58025623/ZG9rdW1lbnRsYWdlcjovLzAzLzA0LzBjL2E4LzRhLzIzYmMtNDg0OC05MzA0LWQ1OWI0MGMzYzUwNw.pdf,http://regnskaber.virk.dk/58025623/ZG9rdW1lbnRsYWdlcjovLzAzLzQ0L2E5LzU1LzUzLzNlZDgtNDQ4OS04M2EwLTc1MTUyNDNhOTIzZg.xml,true,HjÃ¸rring,9800.0,15.0,NÃ¸rrebro,9800 HjÃ¸rring,NÃ¸rretorv 15 B,DK-9800 HjÃ¸rring,NÃ¸rrebro 15,Til kapitalejeren i Tao Lytzen Holding ApS,0.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2017-06-13,2009-12-04,2017-06-13,Statsautoriseret revisor,-2000.0,20222670.0,32652085.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for Tao Lytzen Holding ApS.,228000.0,Ãrsrapport,0.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Morten Ovesen,Lena Lytzen,Lena Lund Lytzen,Tao Lytzen Holding ApS,BDO Statsautoriseret revisionsaktieselskab,0.0,HjÃ¸rring,2015-01-01,2015-12-31,226000.0,226000.0,226000.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,HjÃ¸rring,2016-12-31,2016-01-01,-177379.0,true,2017-06-13,HjÃ¸rring,0.0,urn:ofk:oid:24195439,indberetninger-20180424,2.5095978,32652085.0,,2018-03-29T10:02:23.881Z,2017-06-13T16:46:41.527Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AM-98-YL,2017-06-13T16:46:41.788Z,,,,,,,,,,,,,,,,,,,
32652085,2015-01-01,2015-12-31,c358,,http://regnskaber.virk.dk/58025623/ZG9rdW1lbnRsYWdlcjovLzAzLzA0LzBjL2E4LzRhLzIzYmMtNDg0OC05MzA0LWQ1OWI0MGMzYzUwNw.pdf,http://regnskaber.virk.dk/58025623/ZG9rdW1lbnRsYWdlcjovLzAzLzQ0L2E5LzU1LzUzLzNlZDgtNDQ4OS04M2EwLTc1MTUyNDNhOTIzZg.xml,true,HjÃ¸rring,9800.0,15.0,NÃ¸rrebro,9800 HjÃ¸rring,NÃ¸rretorv 15 B,DK-9800 HjÃ¸rring,NÃ¸rrebro 15,Til kapitalejeren i Tao Lytzen Holding ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2017-06-13,2009-12-04,2017-06-13,Statsautoriseret revisor,,20222670.0,32652085.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for Tao Lytzen Holding ApS.,,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Morten Ovesen,Lena Lytzen,Lena Lund Lytzen,Tao Lytzen Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,HjÃ¸rring,2015-01-01,2015-12-31,9000.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,HjÃ¸rring,2016-12-31,2016-01-01,-177379.0,true,2017-06-13,HjÃ¸rring,,urn:ofk:oid:24195439,indberetninger-20180424,2.5095978,32652085.0,,2018-03-29T10:02:23.881Z,2017-06-13T16:46:41.527Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AM-98-YL,2017-06-13T16:46:41.788Z,,,,,,,,,,,,,,,,,,,
32652085,2015-01-01,2015-12-31,c368,,http://regnskaber.virk.dk/58025623/ZG9rdW1lbnRsYWdlcjovLzAzLzA0LzBjL2E4LzRhLzIzYmMtNDg0OC05MzA0LWQ1OWI0MGMzYzUwNw.pdf,http://regnskaber.virk.dk/58025623/ZG9rdW1lbnRsYWdlcjovLzAzLzQ0L2E5LzU1LzUzLzNlZDgtNDQ4OS04M2EwLTc1MTUyNDNhOTIzZg.xml,true,HjÃ¸rring,9800.0,15.0,NÃ¸rrebro,9800 HjÃ¸rring,NÃ¸rretorv 15 B,DK-9800 HjÃ¸rring,NÃ¸rrebro 15,Til kapitalejeren i Tao Lytzen Holding ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2017-06-13,2009-12-04,2017-06-13,Statsautoriseret revisor,,20222670.0,32652085.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for Tao Lytzen Holding ApS.,,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Morten Ovesen,Lena Lytzen,Lena Lund Lytzen,Tao Lytzen Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,HjÃ¸rring,2015-01-01,2015-12-31,217000.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,HjÃ¸rring,2016-12-31,2016-01-01,-177379.0,true,2017-06-13,HjÃ¸rring,,urn:ofk:oid:24195439,indberetninger-20180424,2.5095978,32652085.0,,2018-03-29T10:02:23.881Z,2017-06-13T16:46:41.527Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AM-98-YL,2017-06-13T16:46:41.788Z,,,,,,,,,,,,,,,,,,,
32652085,2015-12-31,2015-12-31,c398,,http://regnskaber.virk.dk/58025623/ZG9rdW1lbnRsYWdlcjovLzAzLzA0LzBjL2E4LzRhLzIzYmMtNDg0OC05MzA0LWQ1OWI0MGMzYzUwNw.pdf,http://regnskaber.virk.dk/58025623/ZG9rdW1lbnRsYWdlcjovLzAzLzQ0L2E5LzU1LzUzLzNlZDgtNDQ4OS04M2EwLTc1MTUyNDNhOTIzZg.xml,true,HjÃ¸rring,9800.0,15.0,NÃ¸rrebro,9800 HjÃ¸rring,NÃ¸rretorv 15 B,DK-9800 HjÃ¸rring,NÃ¸rrebro 15,Til kapitalejeren i Tao Lytzen Holding ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2017-06-13,2009-12-04,2017-06-13,Statsautoriseret revisor,,20222670.0,32652085.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for Tao Lytzen Holding ApS.,,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Morten Ovesen,Lena Lytzen,Lena Lund Lytzen,Tao Lytzen Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,HjÃ¸rring,2015-01-01,2015-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,HjÃ¸rring,2016-12-31,2016-01-01,-177379.0,true,2017-06-13,HjÃ¸rring,,urn:ofk:oid:24195439,indberetninger-20180424,2.5095978,32652085.0,,2018-03-29T10:02:23.881Z,2017-06-13T16:46:41.527Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AM-98-YL,2017-06-13T16:46:41.788Z,416000.0,125000.0,6000.0,337000.0,416000.0,79000.0,410000.0,410000.0,410000.0,3000.0,9000.0,203000.0,79000.0,76000.0,6000.0,,,,
32652085,2016-01-01,2016-01-01,c401,,http://regnskaber.virk.dk/58025623/ZG9rdW1lbnRsYWdlcjovLzAzLzA0LzBjL2E4LzRhLzIzYmMtNDg0OC05MzA0LWQ1OWI0MGMzYzUwNw.pdf,http://regnskaber.virk.dk/58025623/ZG9rdW1lbnRsYWdlcjovLzAzLzQ0L2E5LzU1LzUzLzNlZDgtNDQ4OS04M2EwLTc1MTUyNDNhOTIzZg.xml,true,HjÃ¸rring,9800.0,15.0,NÃ¸rrebro,9800 HjÃ¸rring,NÃ¸rretorv 15 B,DK-9800 HjÃ¸rring,NÃ¸rrebro 15,Til kapitalejeren i Tao Lytzen Holding ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2017-06-13,2009-12-04,2017-06-13,Statsautoriseret revisor,,20222670.0,32652085.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for Tao Lytzen Holding ApS.,,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Morten Ovesen,Lena Lytzen,Lena Lund Lytzen,Tao Lytzen Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,HjÃ¸rring,2015-01-01,2015-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,HjÃ¸rring,2016-12-31,2016-01-01,-177379.0,true,2017-06-13,HjÃ¸rring,,urn:ofk:oid:24195439,indberetninger-20180424,2.5095978,32652085.0,,2018-03-29T10:02:23.881Z,2017-06-13T16:46:41.527Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AM-98-YL,2017-06-13T16:46:41.788Z,,,,125000.0,,,,,,,,,,,,,,,
32652085,2016-01-01,2016-01-01,c410,,http://regnskaber.virk.dk/58025623/ZG9rdW1lbnRsYWdlcjovLzAzLzA0LzBjL2E4LzRhLzIzYmMtNDg0OC05MzA0LWQ1OWI0MGMzYzUwNw.pdf,http://regnskaber.virk.dk/58025623/ZG9rdW1lbnRsYWdlcjovLzAzLzQ0L2E5LzU1LzUzLzNlZDgtNDQ4OS04M2EwLTc1MTUyNDNhOTIzZg.xml,true,HjÃ¸rring,9800.0,15.0,NÃ¸rrebro,9800 HjÃ¸rring,NÃ¸rretorv 15 B,DK-9800 HjÃ¸rring,NÃ¸rrebro 15,Til kapitalejeren i Tao Lytzen Holding ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2017-06-13,2009-12-04,2017-06-13,Statsautoriseret revisor,,20222670.0,32652085.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for Tao Lytzen Holding ApS.,,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Morten Ovesen,Lena Lytzen,Lena Lund Lytzen,Tao Lytzen Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,HjÃ¸rring,2015-01-01,2015-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,HjÃ¸rring,2016-12-31,2016-01-01,-177379.0,true,2017-06-13,HjÃ¸rring,,urn:ofk:oid:24195439,indberetninger-20180424,2.5095978,32652085.0,,2018-03-29T10:02:23.881Z,2017-06-13T16:46:41.527Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AM-98-YL,2017-06-13T16:46:41.788Z,,,,9395.0,,,,,,,,,,,,,,,
32652085,2016-01-01,2016-01-01,c428,,http://regnskaber.virk.dk/58025623/ZG9rdW1lbnRsYWdlcjovLzAzLzA0LzBjL2E4LzRhLzIzYmMtNDg0OC05MzA0LWQ1OWI0MGMzYzUwNw.pdf,http://regnskaber.virk.dk/58025623/ZG9rdW1lbnRsYWdlcjovLzAzLzQ0L2E5LzU1LzUzLzNlZDgtNDQ4OS04M2EwLTc1MTUyNDNhOTIzZg.xml,true,HjÃ¸rring,9800.0,15.0,NÃ¸rrebro,9800 HjÃ¸rring,NÃ¸rretorv 15 B,DK-9800 HjÃ¸rring,NÃ¸rrebro 15,Til kapitalejeren i Tao Lytzen Holding ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2017-06-13,2009-12-04,2017-06-13,Statsautoriseret revisor,,20222670.0,32652085.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for Tao Lytzen Holding ApS.,,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Morten Ovesen,Lena Lytzen,Lena Lund Lytzen,Tao Lytzen Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,HjÃ¸rring,2015-01-01,2015-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,HjÃ¸rring,2016-12-31,2016-01-01,-177379.0,true,2017-06-13,HjÃ¸rring,,urn:ofk:oid:24195439,indberetninger-20180424,2.5095978,32652085.0,,2018-03-29T10:02:23.881Z,2017-06-13T16:46:41.527Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AM-98-YL,2017-06-13T16:46:41.788Z,,,,202431.0,,,,,,,,,,,,,,,
32652085,2016-01-01,2016-01-01,c736,,http://regnskaber.virk.dk/58025623/ZG9rdW1lbnRsYWdlcjovLzAzLzA0LzBjL2E4LzRhLzIzYmMtNDg0OC05MzA0LWQ1OWI0MGMzYzUwNw.pdf,http://regnskaber.virk.dk/58025623/ZG9rdW1lbnRsYWdlcjovLzAzLzQ0L2E5LzU1LzUzLzNlZDgtNDQ4OS04M2EwLTc1MTUyNDNhOTIzZg.xml,true,HjÃ¸rring,9800.0,15.0,NÃ¸rrebro,9800 HjÃ¸rring,NÃ¸rretorv 15 B,DK-9800 HjÃ¸rring,NÃ¸rrebro 15,Til kapitalejeren i Tao Lytzen Holding ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2017-06-13,2009-12-04,2017-06-13,Statsautoriseret revisor,,20222670.0,32652085.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for Tao Lytzen Holding ApS.,,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Morten Ovesen,Lena Lytzen,Lena Lund Lytzen,Tao Lytzen Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,HjÃ¸rring,2015-01-01,2015-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,HjÃ¸rring,2016-12-31,2016-01-01,-177379.0,true,2017-06-13,HjÃ¸rring,,urn:ofk:oid:24195439,indberetninger-20180424,2.5095978,32652085.0,,2018-03-29T10:02:23.881Z,2017-06-13T16:46:41.527Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AM-98-YL,2017-06-13T16:46:41.788Z,,,,,,,,,,,,,,,,9395.0,400000.0,,
32652085,2016-01-01,2016-12-31,c0,,http://regnskaber.virk.dk/58025623/ZG9rdW1lbnRsYWdlcjovLzAzLzA0LzBjL2E4LzRhLzIzYmMtNDg0OC05MzA0LWQ1OWI0MGMzYzUwNw.pdf,http://regnskaber.virk.dk/58025623/ZG9rdW1lbnRsYWdlcjovLzAzLzQ0L2E5LzU1LzUzLzNlZDgtNDQ4OS04M2EwLTc1MTUyNDNhOTIzZg.xml,true,HjÃ¸rring,9800.0,15.0,NÃ¸rrebro,9800 HjÃ¸rring,NÃ¸rretorv 15 B,DK-9800 HjÃ¸rring,NÃ¸rrebro 15,Til kapitalejeren i Tao Lytzen Holding ApS,-1000.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2017-06-13,2009-12-04,2017-06-13,Statsautoriseret revisor,-3125.0,20222670.0,32652085.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for Tao Lytzen Holding ApS.,-177379.0,Ãrsrapport,3087.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Morten Ovesen,Lena Lytzen,Lena Lund Lytzen,Tao Lytzen Holding ApS,BDO Statsautoriseret revisionsaktieselskab,-3087.0,HjÃ¸rring,2015-01-01,2015-12-31,-182591.0,-183591.0,-180504.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,HjÃ¸rring,2016-12-31,2016-01-01,-177379.0,true,2017-06-13,HjÃ¸rring,1000.0,urn:ofk:oid:24195439,indberetninger-20180424,2.5095978,32652085.0,,2018-03-29T10:02:23.881Z,2017-06-13T16:46:41.527Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AM-98-YL,2017-06-13T16:46:41.788Z,,,,,,,,,,,,,,,,,,BDO Statsautoriseret revisionsaktieselskab,Andre erklÃ¦ringer uden sikkerhed
32652085,2016-01-01,2016-12-31,c2,,http://regnskaber.virk.dk/58025623/ZG9rdW1lbnRsYWdlcjovLzAzLzA0LzBjL2E4LzRhLzIzYmMtNDg0OC05MzA0LWQ1OWI0MGMzYzUwNw.pdf,http://regnskaber.virk.dk/58025623/ZG9rdW1lbnRsYWdlcjovLzAzLzQ0L2E5LzU1LzUzLzNlZDgtNDQ4OS04M2EwLTc1MTUyNDNhOTIzZg.xml,true,HjÃ¸rring,9800.0,15.0,NÃ¸rrebro,9800 HjÃ¸rring,NÃ¸rretorv 15 B,DK-9800 HjÃ¸rring,NÃ¸rrebro 15,Til kapitalejeren i Tao Lytzen Holding ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2017-06-13,2009-12-04,2017-06-13,Statsautoriseret revisor,,20222670.0,32652085.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for Tao Lytzen Holding ApS.,,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Morten Ovesen,Lena Lytzen,Lena Lund Lytzen,Tao Lytzen Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,HjÃ¸rring,2015-01-01,2015-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,HjÃ¸rring,2016-12-31,2016-01-01,-177379.0,true,2017-06-13,HjÃ¸rring,,urn:ofk:oid:24195439,indberetninger-20180424,2.5095978,32652085.0,,2018-03-29T10:02:23.881Z,2017-06-13T16:46:41.527Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AM-98-YL,2017-06-13T16:46:41.788Z,,,,,,,,,,,,,,,,,,,
