entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfAuditorCountry,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditor,EmailOfAuditor,Equity,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,RecognisedButNotOwnedAssets,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TelephoneNumberOfAuditor,TitleOfMemberOfExecutiveBoard,TitleOfMemberOfSupervisoryBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,ProfitLoss,AverageNumberOfEmployees,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,GrossProfitLoss,InterestExpenseAssignedToGroupEnterprises,OtherEmployeeExpense,OtherFinanceExpenses,OtherInterestExpenses,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,SocialSecurityContributions,TaxExpenseOnOrdinaryActivities,WagesAndSalaries,ValueAdjustmentsOfEquity,AcquiredIntangibleAssets,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,DeferredIncomeAssets,FixturesFittingsToolsAndEquipment,IntangibleAssets,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,RetainedEarnings,ShorttermDebtToBanks,ShorttermDeferredIncome,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermTradePayables,ShorttermTradeReceivables,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfExternalExpenses,IdentificationOfApprovedAnnualReport,ManagementsStatementAboutManagementsReview,RecommendationForApprovalOfAnnualReportByGeneralMeeting,NameAndSurnameOfMemberOfSupervisoryBoard
29400490,2017-01-01,2017-01-01,c725,,http://regnskaber.virk.dk/09400492/ZG9rdW1lbnRsYWdlcjovLzAzL2Q1L2Y2L2E0LzhiLzQwNDctNGM3YS1iODhjLWJkMDQ1Y2U0OTM3Mg.pdf,http://regnskaber.virk.dk/09400492/ZG9rdW1lbnRsYWdlcjovLzAzLzBhLzBjLzI1L2M2LzM3OWQtNDI1OC05MjI2LTk4ZjM3M2IyOTIwOQ.xml,Danmark,HillerÃ¸d,3400.0,11.0,Nordstensvej,NivÃ¥,2990.0,4.0,LyngebÃ¦kgÃ¥rds Alle,"3400, HillerÃ¸d","Nordstensvej, 11",kapitalejeren,Regnskabsklasse B,2019-05-02,2019-05-02,2006-02-27,2019-05-02,statsautoriseret revisor,info@dk.gt.com,-1982000.0,34209936.0,29400490.0,34209936.0,mne30140,Ãrsrapport,Claus Koskelin,Steen Raagaard Andersen,Benedikte RÃ¸nje,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",World Trade Center DK A/S,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",NivÃ¥,2017-01-01,2017-12-31,0.0,Fredensborg,2018-12-31,2018-01-01,2019-05-02,HillerÃ¸d,+45 33 110 220,DirektÃ¸r,Formand,RevisionspÃ¥tegning,urn:ofk:oid:27093302,indberetninger-20180424,2.5117192000000004,29400490.0,AWqSUX2CRYGX6_YTHd-g,2019-05-07T12:43:09.916Z,2019-05-07T12:42:54.520Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BB-12-FL,2019-05-07T12:42:54.774Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29400490,2017-01-01,2017-12-31,c120,,http://regnskaber.virk.dk/09400492/ZG9rdW1lbnRsYWdlcjovLzAzL2Q1L2Y2L2E0LzhiLzQwNDctNGM3YS1iODhjLWJkMDQ1Y2U0OTM3Mg.pdf,http://regnskaber.virk.dk/09400492/ZG9rdW1lbnRsYWdlcjovLzAzLzBhLzBjLzI1L2M2LzM3OWQtNDI1OC05MjI2LTk4ZjM3M2IyOTIwOQ.xml,Danmark,HillerÃ¸d,3400.0,11.0,Nordstensvej,NivÃ¥,2990.0,4.0,LyngebÃ¦kgÃ¥rds Alle,"3400, HillerÃ¸d","Nordstensvej, 11",kapitalejeren,Regnskabsklasse B,2019-05-02,2019-05-02,2006-02-27,2019-05-02,statsautoriseret revisor,info@dk.gt.com,,34209936.0,29400490.0,34209936.0,mne30140,Ãrsrapport,Claus Koskelin,Steen Raagaard Andersen,Benedikte RÃ¸nje,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",World Trade Center DK A/S,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",NivÃ¥,2017-01-01,2017-12-31,0.0,Fredensborg,2018-12-31,2018-01-01,2019-05-02,HillerÃ¸d,+45 33 110 220,DirektÃ¸r,Formand,RevisionspÃ¥tegning,urn:ofk:oid:27093302,indberetninger-20180424,2.5117192000000004,29400490.0,AWqSUX2CRYGX6_YTHd-g,2019-05-07T12:43:09.916Z,2019-05-07T12:42:54.520Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BB-12-FL,2019-05-07T12:42:54.774Z,-3683000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29400490,2017-01-01,2017-12-31,c3,,http://regnskaber.virk.dk/09400492/ZG9rdW1lbnRsYWdlcjovLzAzL2Q1L2Y2L2E0LzhiLzQwNDctNGM3YS1iODhjLWJkMDQ1Y2U0OTM3Mg.pdf,http://regnskaber.virk.dk/09400492/ZG9rdW1lbnRsYWdlcjovLzAzLzBhLzBjLzI1L2M2LzM3OWQtNDI1OC05MjI2LTk4ZjM3M2IyOTIwOQ.xml,Danmark,HillerÃ¸d,3400.0,11.0,Nordstensvej,NivÃ¥,2990.0,4.0,LyngebÃ¦kgÃ¥rds Alle,"3400, HillerÃ¸d","Nordstensvej, 11",kapitalejeren,Regnskabsklasse B,2019-05-02,2019-05-02,2006-02-27,2019-05-02,statsautoriseret revisor,info@dk.gt.com,,34209936.0,29400490.0,34209936.0,mne30140,Ãrsrapport,Claus Koskelin,Steen Raagaard Andersen,Benedikte RÃ¸nje,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",World Trade Center DK A/S,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",NivÃ¥,2017-01-01,2017-12-31,0.0,Fredensborg,2018-12-31,2018-01-01,2019-05-02,HillerÃ¸d,+45 33 110 220,DirektÃ¸r,Formand,RevisionspÃ¥tegning,urn:ofk:oid:27093302,indberetninger-20180424,2.5117192000000004,29400490.0,AWqSUX2CRYGX6_YTHd-g,2019-05-07T12:43:09.916Z,2019-05-07T12:42:54.520Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BB-12-FL,2019-05-07T12:42:54.774Z,-3683000.0,7.0,360000.0,1536000.0,-2610000.0,171000.0,-924000.0,222000.0,51000.0,-4728000.0,-4506000.0,0.0,-1045000.0,2460000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29400490,2017-01-01,2017-12-31,c726,,http://regnskaber.virk.dk/09400492/ZG9rdW1lbnRsYWdlcjovLzAzL2Q1L2Y2L2E0LzhiLzQwNDctNGM3YS1iODhjLWJkMDQ1Y2U0OTM3Mg.pdf,http://regnskaber.virk.dk/09400492/ZG9rdW1lbnRsYWdlcjovLzAzLzBhLzBjLzI1L2M2LzM3OWQtNDI1OC05MjI2LTk4ZjM3M2IyOTIwOQ.xml,Danmark,HillerÃ¸d,3400.0,11.0,Nordstensvej,NivÃ¥,2990.0,4.0,LyngebÃ¦kgÃ¥rds Alle,"3400, HillerÃ¸d","Nordstensvej, 11",kapitalejeren,Regnskabsklasse B,2019-05-02,2019-05-02,2006-02-27,2019-05-02,statsautoriseret revisor,info@dk.gt.com,,34209936.0,29400490.0,34209936.0,mne30140,Ãrsrapport,Claus Koskelin,Steen Raagaard Andersen,Benedikte RÃ¸nje,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",World Trade Center DK A/S,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",NivÃ¥,2017-01-01,2017-12-31,0.0,Fredensborg,2018-12-31,2018-01-01,2019-05-02,HillerÃ¸d,+45 33 110 220,DirektÃ¸r,Formand,RevisionspÃ¥tegning,urn:ofk:oid:27093302,indberetninger-20180424,2.5117192000000004,29400490.0,AWqSUX2CRYGX6_YTHd-g,2019-05-07T12:43:09.916Z,2019-05-07T12:42:54.520Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BB-12-FL,2019-05-07T12:42:54.774Z,-3683000.0,,,,,,,,,,,,,,7000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29400490,2017-12-31,2017-12-31,c4,,http://regnskaber.virk.dk/09400492/ZG9rdW1lbnRsYWdlcjovLzAzL2Q1L2Y2L2E0LzhiLzQwNDctNGM3YS1iODhjLWJkMDQ1Y2U0OTM3Mg.pdf,http://regnskaber.virk.dk/09400492/ZG9rdW1lbnRsYWdlcjovLzAzLzBhLzBjLzI1L2M2LzM3OWQtNDI1OC05MjI2LTk4ZjM3M2IyOTIwOQ.xml,Danmark,HillerÃ¸d,3400.0,11.0,Nordstensvej,NivÃ¥,2990.0,4.0,LyngebÃ¦kgÃ¥rds Alle,"3400, HillerÃ¸d","Nordstensvej, 11",kapitalejeren,Regnskabsklasse B,2019-05-02,2019-05-02,2006-02-27,2019-05-02,statsautoriseret revisor,info@dk.gt.com,1935000.0,34209936.0,29400490.0,34209936.0,mne30140,Ãrsrapport,Claus Koskelin,Steen Raagaard Andersen,Benedikte RÃ¸nje,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",World Trade Center DK A/S,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",NivÃ¥,2017-01-01,2017-12-31,0.0,Fredensborg,2018-12-31,2018-01-01,2019-05-02,HillerÃ¸d,+45 33 110 220,DirektÃ¸r,Formand,RevisionspÃ¥tegning,urn:ofk:oid:27093302,indberetninger-20180424,2.5117192000000004,29400490.0,AWqSUX2CRYGX6_YTHd-g,2019-05-07T12:43:09.916Z,2019-05-07T12:42:54.520Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BB-12-FL,2019-05-07T12:42:54.774Z,,,,,,,,,,,,,,,,735000.0,9988000.0,23000.0,600000.0,7820000.0,3986000.0,0.0,1433000.0,735000.0,9988000.0,8053000.0,2168000.0,3765000.0,354000.0,1433000.0,1335000.0,5000.0,1624000.0,8053000.0,534000.0,7797000.0,2125000.0,3457000.0,,,,,,,
29400490,2017-12-31,2017-12-31,c727,,http://regnskaber.virk.dk/09400492/ZG9rdW1lbnRsYWdlcjovLzAzL2Q1L2Y2L2E0LzhiLzQwNDctNGM3YS1iODhjLWJkMDQ1Y2U0OTM3Mg.pdf,http://regnskaber.virk.dk/09400492/ZG9rdW1lbnRsYWdlcjovLzAzLzBhLzBjLzI1L2M2LzM3OWQtNDI1OC05MjI2LTk4ZjM3M2IyOTIwOQ.xml,Danmark,HillerÃ¸d,3400.0,11.0,Nordstensvej,NivÃ¥,2990.0,4.0,LyngebÃ¦kgÃ¥rds Alle,"3400, HillerÃ¸d","Nordstensvej, 11",kapitalejeren,Regnskabsklasse B,2019-05-02,2019-05-02,2006-02-27,2019-05-02,statsautoriseret revisor,info@dk.gt.com,1335000.0,34209936.0,29400490.0,34209936.0,mne30140,Ãrsrapport,Claus Koskelin,Steen Raagaard Andersen,Benedikte RÃ¸nje,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",World Trade Center DK A/S,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",NivÃ¥,2017-01-01,2017-12-31,0.0,Fredensborg,2018-12-31,2018-01-01,2019-05-02,HillerÃ¸d,+45 33 110 220,DirektÃ¸r,Formand,RevisionspÃ¥tegning,urn:ofk:oid:27093302,indberetninger-20180424,2.5117192000000004,29400490.0,AWqSUX2CRYGX6_YTHd-g,2019-05-07T12:43:09.916Z,2019-05-07T12:42:54.520Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BB-12-FL,2019-05-07T12:42:54.774Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29400490,2018-01-01,2018-01-01,c195,,http://regnskaber.virk.dk/09400492/ZG9rdW1lbnRsYWdlcjovLzAzL2Q1L2Y2L2E0LzhiLzQwNDctNGM3YS1iODhjLWJkMDQ1Y2U0OTM3Mg.pdf,http://regnskaber.virk.dk/09400492/ZG9rdW1lbnRsYWdlcjovLzAzLzBhLzBjLzI1L2M2LzM3OWQtNDI1OC05MjI2LTk4ZjM3M2IyOTIwOQ.xml,Danmark,HillerÃ¸d,3400.0,11.0,Nordstensvej,NivÃ¥,2990.0,4.0,LyngebÃ¦kgÃ¥rds Alle,"3400, HillerÃ¸d","Nordstensvej, 11",kapitalejeren,Regnskabsklasse B,2019-05-02,2019-05-02,2006-02-27,2019-05-02,statsautoriseret revisor,info@dk.gt.com,1335147.0,34209936.0,29400490.0,34209936.0,mne30140,Ãrsrapport,Claus Koskelin,Steen Raagaard Andersen,Benedikte RÃ¸nje,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",World Trade Center DK A/S,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",NivÃ¥,2017-01-01,2017-12-31,0.0,Fredensborg,2018-12-31,2018-01-01,2019-05-02,HillerÃ¸d,+45 33 110 220,DirektÃ¸r,Formand,RevisionspÃ¥tegning,urn:ofk:oid:27093302,indberetninger-20180424,2.5117192000000004,29400490.0,AWqSUX2CRYGX6_YTHd-g,2019-05-07T12:43:09.916Z,2019-05-07T12:42:54.520Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BB-12-FL,2019-05-07T12:42:54.774Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29400490,2018-01-01,2018-12-31,c1,,http://regnskaber.virk.dk/09400492/ZG9rdW1lbnRsYWdlcjovLzAzL2Q1L2Y2L2E0LzhiLzQwNDctNGM3YS1iODhjLWJkMDQ1Y2U0OTM3Mg.pdf,http://regnskaber.virk.dk/09400492/ZG9rdW1lbnRsYWdlcjovLzAzLzBhLzBjLzI1L2M2LzM3OWQtNDI1OC05MjI2LTk4ZjM3M2IyOTIwOQ.xml,Danmark,HillerÃ¸d,3400.0,11.0,Nordstensvej,NivÃ¥,2990.0,4.0,LyngebÃ¦kgÃ¥rds Alle,"3400, HillerÃ¸d","Nordstensvej, 11",kapitalejeren,Regnskabsklasse B,2019-05-02,2019-05-02,2006-02-27,2019-05-02,statsautoriseret revisor,info@dk.gt.com,,34209936.0,29400490.0,34209936.0,mne30140,Ãrsrapport,Claus Koskelin,Steen Raagaard Andersen,Benedikte RÃ¸nje,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",World Trade Center DK A/S,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",NivÃ¥,2017-01-01,2017-12-31,0.0,Fredensborg,2018-12-31,2018-01-01,2019-05-02,HillerÃ¸d,+45 33 110 220,DirektÃ¸r,Formand,RevisionspÃ¥tegning,urn:ofk:oid:27093302,indberetninger-20180424,2.5117192000000004,29400490.0,AWqSUX2CRYGX6_YTHd-g,2019-05-07T12:43:09.916Z,2019-05-07T12:42:54.520Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BB-12-FL,2019-05-07T12:42:54.774Z,-6448969.0,5.0,460789.0,479132.0,-6594313.0,692855.0,-1408995.0,725944.0,33089.0,-8260178.0,-7534234.0,11424.0,-1811209.0,1876703.0,,,,,,,,,,,,,,,,,,,,,,,,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Vi anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter vores opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.","Andre eksterne omkostninger omfatter omkostninger til distribution, salg, reklame, administration, lokaler, tab pÃ¥ debitorer og operationelle leasingomkostninger.",Bestyrelse og direktion har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for World Trade Center DK A/S.,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Ãrsrapporten indstilles til generalforsamlingens godkendelse.,
29400490,2018-01-01,2018-12-31,c119,,http://regnskaber.virk.dk/09400492/ZG9rdW1lbnRsYWdlcjovLzAzL2Q1L2Y2L2E0LzhiLzQwNDctNGM3YS1iODhjLWJkMDQ1Y2U0OTM3Mg.pdf,http://regnskaber.virk.dk/09400492/ZG9rdW1lbnRsYWdlcjovLzAzLzBhLzBjLzI1L2M2LzM3OWQtNDI1OC05MjI2LTk4ZjM3M2IyOTIwOQ.xml,Danmark,HillerÃ¸d,3400.0,11.0,Nordstensvej,NivÃ¥,2990.0,4.0,LyngebÃ¦kgÃ¥rds Alle,"3400, HillerÃ¸d","Nordstensvej, 11",kapitalejeren,Regnskabsklasse B,2019-05-02,2019-05-02,2006-02-27,2019-05-02,statsautoriseret revisor,info@dk.gt.com,,34209936.0,29400490.0,34209936.0,mne30140,Ãrsrapport,Claus Koskelin,Steen Raagaard Andersen,Benedikte RÃ¸nje,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",World Trade Center DK A/S,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",NivÃ¥,2017-01-01,2017-12-31,0.0,Fredensborg,2018-12-31,2018-01-01,2019-05-02,HillerÃ¸d,+45 33 110 220,DirektÃ¸r,Formand,RevisionspÃ¥tegning,urn:ofk:oid:27093302,indberetninger-20180424,2.5117192000000004,29400490.0,AWqSUX2CRYGX6_YTHd-g,2019-05-07T12:43:09.916Z,2019-05-07T12:42:54.520Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BB-12-FL,2019-05-07T12:42:54.774Z,-6448969.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29400490,2018-01-01,2018-12-31,c196,,http://regnskaber.virk.dk/09400492/ZG9rdW1lbnRsYWdlcjovLzAzL2Q1L2Y2L2E0LzhiLzQwNDctNGM3YS1iODhjLWJkMDQ1Y2U0OTM3Mg.pdf,http://regnskaber.virk.dk/09400492/ZG9rdW1lbnRsYWdlcjovLzAzLzBhLzBjLzI1L2M2LzM3OWQtNDI1OC05MjI2LTk4ZjM3M2IyOTIwOQ.xml,Danmark,HillerÃ¸d,3400.0,11.0,Nordstensvej,NivÃ¥,2990.0,4.0,LyngebÃ¦kgÃ¥rds Alle,"3400, HillerÃ¸d","Nordstensvej, 11",kapitalejeren,Regnskabsklasse B,2019-05-02,2019-05-02,2006-02-27,2019-05-02,statsautoriseret revisor,info@dk.gt.com,,34209936.0,29400490.0,34209936.0,mne30140,Ãrsrapport,Claus Koskelin,Steen Raagaard Andersen,Benedikte RÃ¸nje,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",World Trade Center DK A/S,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",NivÃ¥,2017-01-01,2017-12-31,0.0,Fredensborg,2018-12-31,2018-01-01,2019-05-02,HillerÃ¸d,+45 33 110 220,DirektÃ¸r,Formand,RevisionspÃ¥tegning,urn:ofk:oid:27093302,indberetninger-20180424,2.5117192000000004,29400490.0,AWqSUX2CRYGX6_YTHd-g,2019-05-07T12:43:09.916Z,2019-05-07T12:42:54.520Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BB-12-FL,2019-05-07T12:42:54.774Z,-6448969.0,,,,,,,,,,,,,,16775218.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
