entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfFinancialCountry,AddressOfFinancialCountryIdentificationCode,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DisclosureOfContingentLiabilities,EmailOfReportingEntity,ExternalExpenses,FaxNumberOfReportingEntity,GrossResult,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ProposedDividendRecognisedInEquity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,StatementOnOptingOutOfAuditingFinancialStatementsInNextReportingPeriodDueToExemption,TaxExpense,TelephoneNumberOfReportingEntity,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,OtherShorttermInvestments,OtherShorttermPayables,ProposedDividend,RetainedEarnings,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,NameAndSurnameOfMemberOfSupervisoryBoard
16282200,2017-01-01,2017-12-31,c5,http://regnskaber.virk.dk/00228261/ZG9rdW1lbnRsYWdlcjovLzAzLzY3L2I5LzZkL2QzLzVhYTEtNDhhNy1iNDE5LWFkYTEzMzdkYTEwMw.xhtml,http://regnskaber.virk.dk/00228261/ZG9rdW1lbnRsYWdlcjovLzAzLzVmLzhkLzE5LzFjL2U4YjgtNDExNy1iZWJlLTUzZGYyNTlhYTAxYg.pdf,http://regnskaber.virk.dk/00228261/ZG9rdW1lbnRsYWdlcjovLzAzL2Y0L2UyLzMyLzk3L2NmMGUtNDZmNy1hYTZmLWI3OTA4M2U1OGYzYQ.xml,true,Danmark,DK,Ulstrup,8860.0,Ulstrup,8860.0,34.0,Solsortevej,8860.0,Solsortevej 34,"Regnskabsklasse B, mikrovirksomhed",2019-01-31,2019-01-31,"<p xmlns=""http://www.w3.org/1999/xhtml"">Kautioner kr.0</p>",peterbraueras@gmail.com,3000.0,86464648.0,-3000.0,16282200.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.",Ãrsrapport,Jette Brauer,Peter Dirk Brauer,Danske Bank,PETER BRAUER A/S,Jette Brauer,10878.0,100261.0,Ulstrup,2017-01-01,2017-12-31,67397.0,86383.0,-3000.0,-108000.0,2018-12-31,2018-01-01,false,false,Bestyrelsen godkender at virksomheden fortsat  opfylder betingelserne for fravalg af revision for det kommende regnskabsÃ¥r.,18986.0,29705049.0,false,Ingen bistand,urn:ofk:oid:26621859,indberetninger-20180424,2.4954062,16282200.0,AWijTa7Wet7j816D35H1,2019-01-31T09:47:20.308Z,2019-01-31T09:46:43.287Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AH-18-DQ,2019-01-31T09:46:43.503Z,,,,,,,,,,,,,,
16282200,2017-01-01,2017-12-31,c7,http://regnskaber.virk.dk/00228261/ZG9rdW1lbnRsYWdlcjovLzAzLzY3L2I5LzZkL2QzLzVhYTEtNDhhNy1iNDE5LWFkYTEzMzdkYTEwMw.xhtml,http://regnskaber.virk.dk/00228261/ZG9rdW1lbnRsYWdlcjovLzAzLzVmLzhkLzE5LzFjL2U4YjgtNDExNy1iZWJlLTUzZGYyNTlhYTAxYg.pdf,http://regnskaber.virk.dk/00228261/ZG9rdW1lbnRsYWdlcjovLzAzL2Y0L2UyLzMyLzk3L2NmMGUtNDZmNy1hYTZmLWI3OTA4M2U1OGYzYQ.xml,true,Danmark,DK,Ulstrup,8860.0,Ulstrup,8860.0,34.0,Solsortevej,8860.0,Solsortevej 34,"Regnskabsklasse B, mikrovirksomhed",2019-01-31,2019-01-31,"<p xmlns=""http://www.w3.org/1999/xhtml"">Kautioner kr.0</p>",peterbraueras@gmail.com,,86464648.0,,16282200.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.",Ãrsrapport,Jette Brauer,Peter Dirk Brauer,Danske Bank,PETER BRAUER A/S,Jette Brauer,,,Ulstrup,2017-01-01,2017-12-31,0.0,,,-108000.0,2018-12-31,2018-01-01,false,false,Bestyrelsen godkender at virksomheden fortsat  opfylder betingelserne for fravalg af revision for det kommende regnskabsÃ¥r.,,29705049.0,false,Ingen bistand,urn:ofk:oid:26621859,indberetninger-20180424,2.4954062,16282200.0,AWijTa7Wet7j816D35H1,2019-01-31T09:47:20.308Z,2019-01-31T09:46:43.287Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AH-18-DQ,2019-01-31T09:46:43.503Z,,,,,,,,,,,,,,
16282200,2017-01-01,2017-12-31,c9,http://regnskaber.virk.dk/00228261/ZG9rdW1lbnRsYWdlcjovLzAzLzY3L2I5LzZkL2QzLzVhYTEtNDhhNy1iNDE5LWFkYTEzMzdkYTEwMw.xhtml,http://regnskaber.virk.dk/00228261/ZG9rdW1lbnRsYWdlcjovLzAzLzVmLzhkLzE5LzFjL2U4YjgtNDExNy1iZWJlLTUzZGYyNTlhYTAxYg.pdf,http://regnskaber.virk.dk/00228261/ZG9rdW1lbnRsYWdlcjovLzAzL2Y0L2UyLzMyLzk3L2NmMGUtNDZmNy1hYTZmLWI3OTA4M2U1OGYzYQ.xml,true,Danmark,DK,Ulstrup,8860.0,Ulstrup,8860.0,34.0,Solsortevej,8860.0,Solsortevej 34,"Regnskabsklasse B, mikrovirksomhed",2019-01-31,2019-01-31,"<p xmlns=""http://www.w3.org/1999/xhtml"">Kautioner kr.0</p>",peterbraueras@gmail.com,,86464648.0,,16282200.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.",Ãrsrapport,Jette Brauer,Peter Dirk Brauer,Danske Bank,PETER BRAUER A/S,Jette Brauer,,,Ulstrup,2017-01-01,2017-12-31,67397.0,,,-108000.0,2018-12-31,2018-01-01,false,false,Bestyrelsen godkender at virksomheden fortsat  opfylder betingelserne for fravalg af revision for det kommende regnskabsÃ¥r.,,29705049.0,false,Ingen bistand,urn:ofk:oid:26621859,indberetninger-20180424,2.4954062,16282200.0,AWijTa7Wet7j816D35H1,2019-01-31T09:47:20.308Z,2019-01-31T09:46:43.287Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AH-18-DQ,2019-01-31T09:46:43.503Z,,,,,,,,,,,,,,
16282200,2017-12-31,2017-12-31,c11,http://regnskaber.virk.dk/00228261/ZG9rdW1lbnRsYWdlcjovLzAzLzY3L2I5LzZkL2QzLzVhYTEtNDhhNy1iNDE5LWFkYTEzMzdkYTEwMw.xhtml,http://regnskaber.virk.dk/00228261/ZG9rdW1lbnRsYWdlcjovLzAzLzVmLzhkLzE5LzFjL2U4YjgtNDExNy1iZWJlLTUzZGYyNTlhYTAxYg.pdf,http://regnskaber.virk.dk/00228261/ZG9rdW1lbnRsYWdlcjovLzAzL2Y0L2UyLzMyLzk3L2NmMGUtNDZmNy1hYTZmLWI3OTA4M2U1OGYzYQ.xml,true,Danmark,DK,Ulstrup,8860.0,Ulstrup,8860.0,34.0,Solsortevej,8860.0,Solsortevej 34,"Regnskabsklasse B, mikrovirksomhed",2019-01-31,2019-01-31,"<p xmlns=""http://www.w3.org/1999/xhtml"">Kautioner kr.0</p>",peterbraueras@gmail.com,,86464648.0,,16282200.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.",Ãrsrapport,Jette Brauer,Peter Dirk Brauer,Danske Bank,PETER BRAUER A/S,Jette Brauer,,,Ulstrup,2017-01-01,2017-12-31,,,,-108000.0,2018-12-31,2018-01-01,false,false,Bestyrelsen godkender at virksomheden fortsat  opfylder betingelserne for fravalg af revision for det kommende regnskabsÃ¥r.,,29705049.0,false,Ingen bistand,urn:ofk:oid:26621859,indberetninger-20180424,2.4954062,16282200.0,AWijTa7Wet7j816D35H1,2019-01-31T09:47:20.308Z,2019-01-31T09:46:43.287Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AH-18-DQ,2019-01-31T09:46:43.503Z,2436943.0,36131.0,500000.0,2436943.0,2417957.0,2436943.0,18986.0,2400812.0,18986.0,0.0,1917957.0,2400812.0,18986.0,
16282200,2018-01-01,2018-12-31,c0,http://regnskaber.virk.dk/00228261/ZG9rdW1lbnRsYWdlcjovLzAzLzY3L2I5LzZkL2QzLzVhYTEtNDhhNy1iNDE5LWFkYTEzMzdkYTEwMw.xhtml,http://regnskaber.virk.dk/00228261/ZG9rdW1lbnRsYWdlcjovLzAzLzVmLzhkLzE5LzFjL2U4YjgtNDExNy1iZWJlLTUzZGYyNTlhYTAxYg.pdf,http://regnskaber.virk.dk/00228261/ZG9rdW1lbnRsYWdlcjovLzAzL2Y0L2UyLzMyLzk3L2NmMGUtNDZmNy1hYTZmLWI3OTA4M2U1OGYzYQ.xml,true,Danmark,DK,Ulstrup,8860.0,Ulstrup,8860.0,34.0,Solsortevej,8860.0,Solsortevej 34,"Regnskabsklasse B, mikrovirksomhed",2019-01-31,2019-01-31,"<p xmlns=""http://www.w3.org/1999/xhtml"">Kautioner kr.0</p>",peterbraueras@gmail.com,3000.0,86464648.0,-3000.0,16282200.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.",Ãrsrapport,Jette Brauer,Peter Dirk Brauer,Danske Bank,PETER BRAUER A/S,Jette Brauer,16097.0,-76346.0,Ulstrup,2017-01-01,2017-12-31,-95443.0,-95443.0,-3000.0,-108000.0,2018-12-31,2018-01-01,false,false,Bestyrelsen godkender at virksomheden fortsat  opfylder betingelserne for fravalg af revision for det kommende regnskabsÃ¥r.,0.0,29705049.0,false,Ingen bistand,urn:ofk:oid:26621859,indberetninger-20180424,2.4954062,16282200.0,AWijTa7Wet7j816D35H1,2019-01-31T09:47:20.308Z,2019-01-31T09:46:43.287Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AH-18-DQ,2019-01-31T09:46:43.503Z,,,,,,,,,,,,,,
16282200,2018-01-01,2018-12-31,c1,http://regnskaber.virk.dk/00228261/ZG9rdW1lbnRsYWdlcjovLzAzLzY3L2I5LzZkL2QzLzVhYTEtNDhhNy1iNDE5LWFkYTEzMzdkYTEwMw.xhtml,http://regnskaber.virk.dk/00228261/ZG9rdW1lbnRsYWdlcjovLzAzLzVmLzhkLzE5LzFjL2U4YjgtNDExNy1iZWJlLTUzZGYyNTlhYTAxYg.pdf,http://regnskaber.virk.dk/00228261/ZG9rdW1lbnRsYWdlcjovLzAzL2Y0L2UyLzMyLzk3L2NmMGUtNDZmNy1hYTZmLWI3OTA4M2U1OGYzYQ.xml,true,Danmark,DK,Ulstrup,8860.0,Ulstrup,8860.0,34.0,Solsortevej,8860.0,Solsortevej 34,"Regnskabsklasse B, mikrovirksomhed",2019-01-31,2019-01-31,"<p xmlns=""http://www.w3.org/1999/xhtml"">Kautioner kr.0</p>",peterbraueras@gmail.com,,86464648.0,,16282200.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.",Ãrsrapport,Jette Brauer,Peter Dirk Brauer,Danske Bank,PETER BRAUER A/S,Jette Brauer,,,Ulstrup,2017-01-01,2017-12-31,,,,-108000.0,2018-12-31,2018-01-01,false,false,Bestyrelsen godkender at virksomheden fortsat  opfylder betingelserne for fravalg af revision for det kommende regnskabsÃ¥r.,,29705049.0,false,Ingen bistand,urn:ofk:oid:26621859,indberetninger-20180424,2.4954062,16282200.0,AWijTa7Wet7j816D35H1,2019-01-31T09:47:20.308Z,2019-01-31T09:46:43.287Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AH-18-DQ,2019-01-31T09:46:43.503Z,,,,,,,,,,,,,,
16282200,2018-01-01,2018-12-31,c2,http://regnskaber.virk.dk/00228261/ZG9rdW1lbnRsYWdlcjovLzAzLzY3L2I5LzZkL2QzLzVhYTEtNDhhNy1iNDE5LWFkYTEzMzdkYTEwMw.xhtml,http://regnskaber.virk.dk/00228261/ZG9rdW1lbnRsYWdlcjovLzAzLzVmLzhkLzE5LzFjL2U4YjgtNDExNy1iZWJlLTUzZGYyNTlhYTAxYg.pdf,http://regnskaber.virk.dk/00228261/ZG9rdW1lbnRsYWdlcjovLzAzL2Y0L2UyLzMyLzk3L2NmMGUtNDZmNy1hYTZmLWI3OTA4M2U1OGYzYQ.xml,true,Danmark,DK,Ulstrup,8860.0,Ulstrup,8860.0,34.0,Solsortevej,8860.0,Solsortevej 34,"Regnskabsklasse B, mikrovirksomhed",2019-01-31,2019-01-31,"<p xmlns=""http://www.w3.org/1999/xhtml"">Kautioner kr.0</p>",peterbraueras@gmail.com,,86464648.0,,16282200.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.",Ãrsrapport,Jette Brauer,Peter Dirk Brauer,Danske Bank,PETER BRAUER A/S,Jette Brauer,,,Ulstrup,2017-01-01,2017-12-31,,,,-108000.0,2018-12-31,2018-01-01,false,false,Bestyrelsen godkender at virksomheden fortsat  opfylder betingelserne for fravalg af revision for det kommende regnskabsÃ¥r.,,29705049.0,false,Ingen bistand,urn:ofk:oid:26621859,indberetninger-20180424,2.4954062,16282200.0,AWijTa7Wet7j816D35H1,2019-01-31T09:47:20.308Z,2019-01-31T09:46:43.287Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AH-18-DQ,2019-01-31T09:46:43.503Z,,,,,,,,,,,,,,Peter Dirk Brauer
16282200,2018-01-01,2018-12-31,c3,http://regnskaber.virk.dk/00228261/ZG9rdW1lbnRsYWdlcjovLzAzLzY3L2I5LzZkL2QzLzVhYTEtNDhhNy1iNDE5LWFkYTEzMzdkYTEwMw.xhtml,http://regnskaber.virk.dk/00228261/ZG9rdW1lbnRsYWdlcjovLzAzLzVmLzhkLzE5LzFjL2U4YjgtNDExNy1iZWJlLTUzZGYyNTlhYTAxYg.pdf,http://regnskaber.virk.dk/00228261/ZG9rdW1lbnRsYWdlcjovLzAzL2Y0L2UyLzMyLzk3L2NmMGUtNDZmNy1hYTZmLWI3OTA4M2U1OGYzYQ.xml,true,Danmark,DK,Ulstrup,8860.0,Ulstrup,8860.0,34.0,Solsortevej,8860.0,Solsortevej 34,"Regnskabsklasse B, mikrovirksomhed",2019-01-31,2019-01-31,"<p xmlns=""http://www.w3.org/1999/xhtml"">Kautioner kr.0</p>",peterbraueras@gmail.com,,86464648.0,,16282200.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.",Ãrsrapport,Jette Brauer,Peter Dirk Brauer,Danske Bank,PETER BRAUER A/S,Jette Brauer,,,Ulstrup,2017-01-01,2017-12-31,,,,-108000.0,2018-12-31,2018-01-01,false,false,Bestyrelsen godkender at virksomheden fortsat  opfylder betingelserne for fravalg af revision for det kommende regnskabsÃ¥r.,,29705049.0,false,Ingen bistand,urn:ofk:oid:26621859,indberetninger-20180424,2.4954062,16282200.0,AWijTa7Wet7j816D35H1,2019-01-31T09:47:20.308Z,2019-01-31T09:46:43.287Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AH-18-DQ,2019-01-31T09:46:43.503Z,,,,,,,,,,,,,,Jette Brauer
16282200,2018-01-01,2018-12-31,c4,http://regnskaber.virk.dk/00228261/ZG9rdW1lbnRsYWdlcjovLzAzLzY3L2I5LzZkL2QzLzVhYTEtNDhhNy1iNDE5LWFkYTEzMzdkYTEwMw.xhtml,http://regnskaber.virk.dk/00228261/ZG9rdW1lbnRsYWdlcjovLzAzLzVmLzhkLzE5LzFjL2U4YjgtNDExNy1iZWJlLTUzZGYyNTlhYTAxYg.pdf,http://regnskaber.virk.dk/00228261/ZG9rdW1lbnRsYWdlcjovLzAzL2Y0L2UyLzMyLzk3L2NmMGUtNDZmNy1hYTZmLWI3OTA4M2U1OGYzYQ.xml,true,Danmark,DK,Ulstrup,8860.0,Ulstrup,8860.0,34.0,Solsortevej,8860.0,Solsortevej 34,"Regnskabsklasse B, mikrovirksomhed",2019-01-31,2019-01-31,"<p xmlns=""http://www.w3.org/1999/xhtml"">Kautioner kr.0</p>",peterbraueras@gmail.com,,86464648.0,,16282200.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.",Ãrsrapport,Jette Brauer,Peter Dirk Brauer,Danske Bank,PETER BRAUER A/S,Jette Brauer,,,Ulstrup,2017-01-01,2017-12-31,,,,-108000.0,2018-12-31,2018-01-01,false,false,Bestyrelsen godkender at virksomheden fortsat  opfylder betingelserne for fravalg af revision for det kommende regnskabsÃ¥r.,,29705049.0,false,Ingen bistand,urn:ofk:oid:26621859,indberetninger-20180424,2.4954062,16282200.0,AWijTa7Wet7j816D35H1,2019-01-31T09:47:20.308Z,2019-01-31T09:46:43.287Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AH-18-DQ,2019-01-31T09:46:43.503Z,,,,,,,,,,,,,,Nathalie Elisabeth Brauer
16282200,2018-01-01,2018-12-31,c6,http://regnskaber.virk.dk/00228261/ZG9rdW1lbnRsYWdlcjovLzAzLzY3L2I5LzZkL2QzLzVhYTEtNDhhNy1iNDE5LWFkYTEzMzdkYTEwMw.xhtml,http://regnskaber.virk.dk/00228261/ZG9rdW1lbnRsYWdlcjovLzAzLzVmLzhkLzE5LzFjL2U4YjgtNDExNy1iZWJlLTUzZGYyNTlhYTAxYg.pdf,http://regnskaber.virk.dk/00228261/ZG9rdW1lbnRsYWdlcjovLzAzL2Y0L2UyLzMyLzk3L2NmMGUtNDZmNy1hYTZmLWI3OTA4M2U1OGYzYQ.xml,true,Danmark,DK,Ulstrup,8860.0,Ulstrup,8860.0,34.0,Solsortevej,8860.0,Solsortevej 34,"Regnskabsklasse B, mikrovirksomhed",2019-01-31,2019-01-31,"<p xmlns=""http://www.w3.org/1999/xhtml"">Kautioner kr.0</p>",peterbraueras@gmail.com,,86464648.0,,16282200.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.",Ãrsrapport,Jette Brauer,Peter Dirk Brauer,Danske Bank,PETER BRAUER A/S,Jette Brauer,,,Ulstrup,2017-01-01,2017-12-31,108000.0,,,-108000.0,2018-12-31,2018-01-01,false,false,Bestyrelsen godkender at virksomheden fortsat  opfylder betingelserne for fravalg af revision for det kommende regnskabsÃ¥r.,,29705049.0,false,Ingen bistand,urn:ofk:oid:26621859,indberetninger-20180424,2.4954062,16282200.0,AWijTa7Wet7j816D35H1,2019-01-31T09:47:20.308Z,2019-01-31T09:46:43.287Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AH-18-DQ,2019-01-31T09:46:43.503Z,,,,,,,,,,,,,,
