entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfAuditFirm,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,AverageNumberOfEmployees,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,GrossProfitLoss,OtherFinanceExpenses,OtherFinanceIncome,OtherFinanceIncomeFromGroupEnterprises,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,DeferredIncomeAssets,Equity,FixturesFittingsToolsAndEquipment,Inventories,LeaseholdImprovements,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,ManufacturedGoodsAndGoodsForResale,NoncurrentAssets,OtherLongtermReceivables,OtherShorttermPayables,PrepaymentsForGoods,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermDebtToBanks,ShorttermDebtToOtherCreditInstitutions,ShorttermDeferredIncome,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayablesToGroupEnterprises,ShorttermTradePayables,ShorttermTradeReceivables,NameAndSurnameOfMemberOfExecutiveBoard
27189121,2016-01-01,2016-12-31,ID_10,,http://regnskaber.virk.dk/12198172/ZG9rdW1lbnRsYWdlcjovLzAzL2RlL2NmL2U4LzYxLzMwYTYtNGMyNi04MjUyLTgwMWEzZTM5OWNkZA.pdf,http://regnskaber.virk.dk/12198172/ZG9rdW1lbnRsYWdlcjovLzAzL2QxL2I3LzcwLzQwL2VlY2UtNGU1Yi04NDU0LThlNjIxZDYwZTBlZQ.xml,true,"Silkeborg, 8600",Navervej 1,Til den daglige ledelse i H.M.T. Design/Match-Line ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-05-08,2018-05-08,2003-01-01,2018-05-31,14788107.0,27189121.0,14788107.0,mne2903,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Finn HÃ¸nholt Christensen,Anne-Lise Michaelsen,AKTIV REVISION Silkeborg,Nordea,H.M.T. Design/Match-Line ApS,"AKTIV REVISION Silkeborg, Registreret Revisionsanpartsselskab",Them,2016-01-01,2016-12-31,-321985.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"740, Silkeborg",2017-12-31,2017-01-01,false,2018-05-08,Silkeborg,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25735762,indberetninger-20180424,2.5124327999999996,27189121.0,AWPVKXOm0wkEsASkteLD,2018-06-06T12:54:24.593Z,2018-06-06T12:54:12.785Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AP-28-MX,2018-06-06T12:54:12.997Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27189121,2016-01-01,2016-12-31,ID_12,,http://regnskaber.virk.dk/12198172/ZG9rdW1lbnRsYWdlcjovLzAzL2RlL2NmL2U4LzYxLzMwYTYtNGMyNi04MjUyLTgwMWEzZTM5OWNkZA.pdf,http://regnskaber.virk.dk/12198172/ZG9rdW1lbnRsYWdlcjovLzAzL2QxL2I3LzcwLzQwL2VlY2UtNGU1Yi04NDU0LThlNjIxZDYwZTBlZQ.xml,true,"Silkeborg, 8600",Navervej 1,Til den daglige ledelse i H.M.T. Design/Match-Line ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-05-08,2018-05-08,2003-01-01,2018-05-31,14788107.0,27189121.0,14788107.0,mne2903,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Finn HÃ¸nholt Christensen,Anne-Lise Michaelsen,AKTIV REVISION Silkeborg,Nordea,H.M.T. Design/Match-Line ApS,"AKTIV REVISION Silkeborg, Registreret Revisionsanpartsselskab",Them,2016-01-01,2016-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"740, Silkeborg",2017-12-31,2017-01-01,false,2018-05-08,Silkeborg,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25735762,indberetninger-20180424,2.5124327999999996,27189121.0,AWPVKXOm0wkEsASkteLD,2018-06-06T12:54:24.593Z,2018-06-06T12:54:12.785Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AP-28-MX,2018-06-06T12:54:12.997Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27189121,2016-01-01,2016-12-31,ID_8,,http://regnskaber.virk.dk/12198172/ZG9rdW1lbnRsYWdlcjovLzAzL2RlL2NmL2U4LzYxLzMwYTYtNGMyNi04MjUyLTgwMWEzZTM5OWNkZA.pdf,http://regnskaber.virk.dk/12198172/ZG9rdW1lbnRsYWdlcjovLzAzL2QxL2I3LzcwLzQwL2VlY2UtNGU1Yi04NDU0LThlNjIxZDYwZTBlZQ.xml,true,"Silkeborg, 8600",Navervej 1,Til den daglige ledelse i H.M.T. Design/Match-Line ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-05-08,2018-05-08,2003-01-01,2018-05-31,14788107.0,27189121.0,14788107.0,mne2903,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Finn HÃ¸nholt Christensen,Anne-Lise Michaelsen,AKTIV REVISION Silkeborg,Nordea,H.M.T. Design/Match-Line ApS,"AKTIV REVISION Silkeborg, Registreret Revisionsanpartsselskab",Them,2016-01-01,2016-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"740, Silkeborg",2017-12-31,2017-01-01,false,2018-05-08,Silkeborg,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25735762,indberetninger-20180424,2.5124327999999996,27189121.0,AWPVKXOm0wkEsASkteLD,2018-06-06T12:54:24.593Z,2018-06-06T12:54:12.785Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AP-28-MX,2018-06-06T12:54:12.997Z,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27189121,2016-01-01,2016-12-31,ID_9,,http://regnskaber.virk.dk/12198172/ZG9rdW1lbnRsYWdlcjovLzAzL2RlL2NmL2U4LzYxLzMwYTYtNGMyNi04MjUyLTgwMWEzZTM5OWNkZA.pdf,http://regnskaber.virk.dk/12198172/ZG9rdW1lbnRsYWdlcjovLzAzL2QxL2I3LzcwLzQwL2VlY2UtNGU1Yi04NDU0LThlNjIxZDYwZTBlZQ.xml,true,"Silkeborg, 8600",Navervej 1,Til den daglige ledelse i H.M.T. Design/Match-Line ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-05-08,2018-05-08,2003-01-01,2018-05-31,14788107.0,27189121.0,14788107.0,mne2903,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Finn HÃ¸nholt Christensen,Anne-Lise Michaelsen,AKTIV REVISION Silkeborg,Nordea,H.M.T. Design/Match-Line ApS,"AKTIV REVISION Silkeborg, Registreret Revisionsanpartsselskab",Them,2016-01-01,2016-12-31,321985.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"740, Silkeborg",2017-12-31,2017-01-01,false,2018-05-08,Silkeborg,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25735762,indberetninger-20180424,2.5124327999999996,27189121.0,AWPVKXOm0wkEsASkteLD,2018-06-06T12:54:24.593Z,2018-06-06T12:54:12.785Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AP-28-MX,2018-06-06T12:54:12.997Z,,11726.0,946636.0,1388450.0,18019.0,19.0,3733.0,415821.0,430088.0,93836.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27189121,2016-12-31,2016-12-31,ID_6,,http://regnskaber.virk.dk/12198172/ZG9rdW1lbnRsYWdlcjovLzAzL2RlL2NmL2U4LzYxLzMwYTYtNGMyNi04MjUyLTgwMWEzZTM5OWNkZA.pdf,http://regnskaber.virk.dk/12198172/ZG9rdW1lbnRsYWdlcjovLzAzL2QxL2I3LzcwLzQwL2VlY2UtNGU1Yi04NDU0LThlNjIxZDYwZTBlZQ.xml,true,"Silkeborg, 8600",Navervej 1,Til den daglige ledelse i H.M.T. Design/Match-Line ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-05-08,2018-05-08,2003-01-01,2018-05-31,14788107.0,27189121.0,14788107.0,mne2903,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Finn HÃ¸nholt Christensen,Anne-Lise Michaelsen,AKTIV REVISION Silkeborg,Nordea,H.M.T. Design/Match-Line ApS,"AKTIV REVISION Silkeborg, Registreret Revisionsanpartsselskab",Them,2016-01-01,2016-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"740, Silkeborg",2017-12-31,2017-01-01,false,2018-05-08,Silkeborg,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25735762,indberetninger-20180424,2.5124327999999996,27189121.0,AWPVKXOm0wkEsASkteLD,2018-06-06T12:54:24.593Z,2018-06-06T12:54:12.785Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AP-28-MX,2018-06-06T12:54:12.997Z,,,,,,,,,,,1847112.0,10660.0,125000.0,1771877.0,157838.0,753986.0,0.0,1011892.0,47635.0,1847112.0,1093126.0,27600.0,956662.0,75235.0,27600.0,648384.0,55230.0,47635.0,0.0,628986.0,68293.0,5913.0,0.0,1093126.0,17071.0,749325.0,47216.0,0.0,353465.0,544271.0,
27189121,2017-01-01,2017-12-31,ID_0,,http://regnskaber.virk.dk/12198172/ZG9rdW1lbnRsYWdlcjovLzAzL2RlL2NmL2U4LzYxLzMwYTYtNGMyNi04MjUyLTgwMWEzZTM5OWNkZA.pdf,http://regnskaber.virk.dk/12198172/ZG9rdW1lbnRsYWdlcjovLzAzL2QxL2I3LzcwLzQwL2VlY2UtNGU1Yi04NDU0LThlNjIxZDYwZTBlZQ.xml,true,"Silkeborg, 8600",Navervej 1,Til den daglige ledelse i H.M.T. Design/Match-Line ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-05-08,2018-05-08,2003-01-01,2018-05-31,14788107.0,27189121.0,14788107.0,mne2903,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Finn HÃ¸nholt Christensen,Anne-Lise Michaelsen,AKTIV REVISION Silkeborg,Nordea,H.M.T. Design/Match-Line ApS,"AKTIV REVISION Silkeborg, Registreret Revisionsanpartsselskab",Them,2016-01-01,2016-12-31,56008.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"740, Silkeborg",2017-12-31,2017-01-01,false,2018-05-08,Silkeborg,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25735762,indberetninger-20180424,2.5124327999999996,27189121.0,AWPVKXOm0wkEsASkteLD,2018-06-06T12:54:24.593Z,2018-06-06T12:54:12.785Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AP-28-MX,2018-06-06T12:54:12.997Z,,23923.0,951648.0,1075854.0,28719.0,90.0,4072.0,75726.0,100283.0,19718.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27189121,2017-01-01,2017-12-31,ID_1,,http://regnskaber.virk.dk/12198172/ZG9rdW1lbnRsYWdlcjovLzAzL2RlL2NmL2U4LzYxLzMwYTYtNGMyNi04MjUyLTgwMWEzZTM5OWNkZA.pdf,http://regnskaber.virk.dk/12198172/ZG9rdW1lbnRsYWdlcjovLzAzL2QxL2I3LzcwLzQwL2VlY2UtNGU1Yi04NDU0LThlNjIxZDYwZTBlZQ.xml,true,"Silkeborg, 8600",Navervej 1,Til den daglige ledelse i H.M.T. Design/Match-Line ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-05-08,2018-05-08,2003-01-01,2018-05-31,14788107.0,27189121.0,14788107.0,mne2903,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Finn HÃ¸nholt Christensen,Anne-Lise Michaelsen,AKTIV REVISION Silkeborg,Nordea,H.M.T. Design/Match-Line ApS,"AKTIV REVISION Silkeborg, Registreret Revisionsanpartsselskab",Them,2016-01-01,2016-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"740, Silkeborg",2017-12-31,2017-01-01,false,2018-05-08,Silkeborg,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25735762,indberetninger-20180424,2.5124327999999996,27189121.0,AWPVKXOm0wkEsASkteLD,2018-06-06T12:54:24.593Z,2018-06-06T12:54:12.785Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AP-28-MX,2018-06-06T12:54:12.997Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27189121,2017-01-01,2017-12-31,ID_11,,http://regnskaber.virk.dk/12198172/ZG9rdW1lbnRsYWdlcjovLzAzL2RlL2NmL2U4LzYxLzMwYTYtNGMyNi04MjUyLTgwMWEzZTM5OWNkZA.pdf,http://regnskaber.virk.dk/12198172/ZG9rdW1lbnRsYWdlcjovLzAzL2QxL2I3LzcwLzQwL2VlY2UtNGU1Yi04NDU0LThlNjIxZDYwZTBlZQ.xml,true,"Silkeborg, 8600",Navervej 1,Til den daglige ledelse i H.M.T. Design/Match-Line ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-05-08,2018-05-08,2003-01-01,2018-05-31,14788107.0,27189121.0,14788107.0,mne2903,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Finn HÃ¸nholt Christensen,Anne-Lise Michaelsen,AKTIV REVISION Silkeborg,Nordea,H.M.T. Design/Match-Line ApS,"AKTIV REVISION Silkeborg, Registreret Revisionsanpartsselskab",Them,2016-01-01,2016-12-31,-150000.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"740, Silkeborg",2017-12-31,2017-01-01,false,2018-05-08,Silkeborg,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25735762,indberetninger-20180424,2.5124327999999996,27189121.0,AWPVKXOm0wkEsASkteLD,2018-06-06T12:54:24.593Z,2018-06-06T12:54:12.785Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AP-28-MX,2018-06-06T12:54:12.997Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27189121,2017-01-01,2017-12-31,ID_13,,http://regnskaber.virk.dk/12198172/ZG9rdW1lbnRsYWdlcjovLzAzL2RlL2NmL2U4LzYxLzMwYTYtNGMyNi04MjUyLTgwMWEzZTM5OWNkZA.pdf,http://regnskaber.virk.dk/12198172/ZG9rdW1lbnRsYWdlcjovLzAzL2QxL2I3LzcwLzQwL2VlY2UtNGU1Yi04NDU0LThlNjIxZDYwZTBlZQ.xml,true,"Silkeborg, 8600",Navervej 1,Til den daglige ledelse i H.M.T. Design/Match-Line ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-05-08,2018-05-08,2003-01-01,2018-05-31,14788107.0,27189121.0,14788107.0,mne2903,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Finn HÃ¸nholt Christensen,Anne-Lise Michaelsen,AKTIV REVISION Silkeborg,Nordea,H.M.T. Design/Match-Line ApS,"AKTIV REVISION Silkeborg, Registreret Revisionsanpartsselskab",Them,2016-01-01,2016-12-31,93992.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"740, Silkeborg",2017-12-31,2017-01-01,false,2018-05-08,Silkeborg,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25735762,indberetninger-20180424,2.5124327999999996,27189121.0,AWPVKXOm0wkEsASkteLD,2018-06-06T12:54:24.593Z,2018-06-06T12:54:12.785Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AP-28-MX,2018-06-06T12:54:12.997Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27189121,2017-01-01,2017-12-31,ID_2,,http://regnskaber.virk.dk/12198172/ZG9rdW1lbnRsYWdlcjovLzAzL2RlL2NmL2U4LzYxLzMwYTYtNGMyNi04MjUyLTgwMWEzZTM5OWNkZA.pdf,http://regnskaber.virk.dk/12198172/ZG9rdW1lbnRsYWdlcjovLzAzL2QxL2I3LzcwLzQwL2VlY2UtNGU1Yi04NDU0LThlNjIxZDYwZTBlZQ.xml,true,"Silkeborg, 8600",Navervej 1,Til den daglige ledelse i H.M.T. Design/Match-Line ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-05-08,2018-05-08,2003-01-01,2018-05-31,14788107.0,27189121.0,14788107.0,mne2903,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Finn HÃ¸nholt Christensen,Anne-Lise Michaelsen,AKTIV REVISION Silkeborg,Nordea,H.M.T. Design/Match-Line ApS,"AKTIV REVISION Silkeborg, Registreret Revisionsanpartsselskab",Them,2016-01-01,2016-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"740, Silkeborg",2017-12-31,2017-01-01,false,2018-05-08,Silkeborg,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25735762,indberetninger-20180424,2.5124327999999996,27189121.0,AWPVKXOm0wkEsASkteLD,2018-06-06T12:54:24.593Z,2018-06-06T12:54:12.785Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AP-28-MX,2018-06-06T12:54:12.997Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
