entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,AverageNumberOfEmployees,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfAnnualReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditor,GrossProfitLoss,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,OtherShorttermPayables,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromAssociates,ShorttermTradePayables,NameOfAuditFirm,TypeOfAuditorAssistance
28130260,2016-01-01,2016-12-31,c174,,http://regnskaber.virk.dk/06203182/ZG9rdW1lbnRsYWdlcjovLzAzLzE4LzEzLzQ2L2M3L2I0YmUtNGI1MC05ZWYzLWIzZTlkMzg4NTkxNQ.pdf,http://regnskaber.virk.dk/06203182/ZG9rdW1lbnRsYWdlcjovLzAzLzA0LzM0L2QyL2UzLzg4ODctNDQzYy05ZGE4LWI1YjFiNjdmZDJiMw.xml,true,KÃ¸benhavn V,1561.0,29.0,Havneholmen,2600 Glostrup,Hvissingevej 100,DK-1561 KÃ¸benhavn V,Havneholmen 29,Til kapitalejerne i Partner-Logistic ApS,1.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",2018-04-26,2004-10-18,2018-04-26,Statsautoriseret revisor,5000.0,20222670.0,28130260.0,20222670.0,mne32069,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for Partner-Logistic ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",SÃ¸ren SÃ¸ndergaard Jensen,Mads Frederiksen,Mads Frederiksen,Partner-Logistic ApS,BDO Statsautoriseret revisionsaktieselskab,2085.0,0.0,Glostrup,2016-01-01,2016-12-31,2915.0,2915.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Glostrup,2017-12-31,2017-01-01,true,2018-04-26,KÃ¸benhavn,0.0,urn:ofk:oid:25465741,indberetninger-20180424,2.5124211,28130260.0,AWNnJn8mx8uVRSOdgigi,2018-05-16T04:13:44.189Z,2018-05-16T04:12:43.703Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AL-65-TZ,2018-05-16T04:12:43.861Z,,,,,,,,,,,,,,
28130260,2016-01-01,2016-12-31,c195,,http://regnskaber.virk.dk/06203182/ZG9rdW1lbnRsYWdlcjovLzAzLzE4LzEzLzQ2L2M3L2I0YmUtNGI1MC05ZWYzLWIzZTlkMzg4NTkxNQ.pdf,http://regnskaber.virk.dk/06203182/ZG9rdW1lbnRsYWdlcjovLzAzLzA0LzM0L2QyL2UzLzg4ODctNDQzYy05ZGE4LWI1YjFiNjdmZDJiMw.xml,true,KÃ¸benhavn V,1561.0,29.0,Havneholmen,2600 Glostrup,Hvissingevej 100,DK-1561 KÃ¸benhavn V,Havneholmen 29,Til kapitalejerne i Partner-Logistic ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",2018-04-26,2004-10-18,2018-04-26,Statsautoriseret revisor,,20222670.0,28130260.0,20222670.0,mne32069,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for Partner-Logistic ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",SÃ¸ren SÃ¸ndergaard Jensen,Mads Frederiksen,Mads Frederiksen,Partner-Logistic ApS,BDO Statsautoriseret revisionsaktieselskab,,,Glostrup,2016-01-01,2016-12-31,2915.0,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Glostrup,2017-12-31,2017-01-01,true,2018-04-26,KÃ¸benhavn,,urn:ofk:oid:25465741,indberetninger-20180424,2.5124211,28130260.0,AWNnJn8mx8uVRSOdgigi,2018-05-16T04:13:44.189Z,2018-05-16T04:12:43.703Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AL-65-TZ,2018-05-16T04:12:43.861Z,,,,,,,,,,,,,,
28130260,2016-12-31,2016-12-31,c172,,http://regnskaber.virk.dk/06203182/ZG9rdW1lbnRsYWdlcjovLzAzLzE4LzEzLzQ2L2M3L2I0YmUtNGI1MC05ZWYzLWIzZTlkMzg4NTkxNQ.pdf,http://regnskaber.virk.dk/06203182/ZG9rdW1lbnRsYWdlcjovLzAzLzA0LzM0L2QyL2UzLzg4ODctNDQzYy05ZGE4LWI1YjFiNjdmZDJiMw.xml,true,KÃ¸benhavn V,1561.0,29.0,Havneholmen,2600 Glostrup,Hvissingevej 100,DK-1561 KÃ¸benhavn V,Havneholmen 29,Til kapitalejerne i Partner-Logistic ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",2018-04-26,2004-10-18,2018-04-26,Statsautoriseret revisor,,20222670.0,28130260.0,20222670.0,mne32069,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for Partner-Logistic ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",SÃ¸ren SÃ¸ndergaard Jensen,Mads Frederiksen,Mads Frederiksen,Partner-Logistic ApS,BDO Statsautoriseret revisionsaktieselskab,,,Glostrup,2016-01-01,2016-12-31,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Glostrup,2017-12-31,2017-01-01,true,2018-04-26,KÃ¸benhavn,,urn:ofk:oid:25465741,indberetninger-20180424,2.5124211,28130260.0,AWNnJn8mx8uVRSOdgigi,2018-05-16T04:13:44.189Z,2018-05-16T04:12:43.703Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AL-65-TZ,2018-05-16T04:12:43.861Z,18633615.0,4327585.0,125000.0,130196.0,18633615.0,18503419.0,4999.0,5196.0,18503419.0,14306030.0,14306030.0,18498420.0,,
28130260,2017-01-01,2017-01-01,c226,,http://regnskaber.virk.dk/06203182/ZG9rdW1lbnRsYWdlcjovLzAzLzE4LzEzLzQ2L2M3L2I0YmUtNGI1MC05ZWYzLWIzZTlkMzg4NTkxNQ.pdf,http://regnskaber.virk.dk/06203182/ZG9rdW1lbnRsYWdlcjovLzAzLzA0LzM0L2QyL2UzLzg4ODctNDQzYy05ZGE4LWI1YjFiNjdmZDJiMw.xml,true,KÃ¸benhavn V,1561.0,29.0,Havneholmen,2600 Glostrup,Hvissingevej 100,DK-1561 KÃ¸benhavn V,Havneholmen 29,Til kapitalejerne i Partner-Logistic ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",2018-04-26,2004-10-18,2018-04-26,Statsautoriseret revisor,,20222670.0,28130260.0,20222670.0,mne32069,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for Partner-Logistic ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",SÃ¸ren SÃ¸ndergaard Jensen,Mads Frederiksen,Mads Frederiksen,Partner-Logistic ApS,BDO Statsautoriseret revisionsaktieselskab,,,Glostrup,2016-01-01,2016-12-31,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Glostrup,2017-12-31,2017-01-01,true,2018-04-26,KÃ¸benhavn,,urn:ofk:oid:25465741,indberetninger-20180424,2.5124211,28130260.0,AWNnJn8mx8uVRSOdgigi,2018-05-16T04:13:44.189Z,2018-05-16T04:12:43.703Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AL-65-TZ,2018-05-16T04:12:43.861Z,,,,125000.0,,,,,,,,,,
28130260,2017-01-01,2017-01-01,c253,,http://regnskaber.virk.dk/06203182/ZG9rdW1lbnRsYWdlcjovLzAzLzE4LzEzLzQ2L2M3L2I0YmUtNGI1MC05ZWYzLWIzZTlkMzg4NTkxNQ.pdf,http://regnskaber.virk.dk/06203182/ZG9rdW1lbnRsYWdlcjovLzAzLzA0LzM0L2QyL2UzLzg4ODctNDQzYy05ZGE4LWI1YjFiNjdmZDJiMw.xml,true,KÃ¸benhavn V,1561.0,29.0,Havneholmen,2600 Glostrup,Hvissingevej 100,DK-1561 KÃ¸benhavn V,Havneholmen 29,Til kapitalejerne i Partner-Logistic ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",2018-04-26,2004-10-18,2018-04-26,Statsautoriseret revisor,,20222670.0,28130260.0,20222670.0,mne32069,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for Partner-Logistic ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",SÃ¸ren SÃ¸ndergaard Jensen,Mads Frederiksen,Mads Frederiksen,Partner-Logistic ApS,BDO Statsautoriseret revisionsaktieselskab,,,Glostrup,2016-01-01,2016-12-31,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Glostrup,2017-12-31,2017-01-01,true,2018-04-26,KÃ¸benhavn,,urn:ofk:oid:25465741,indberetninger-20180424,2.5124211,28130260.0,AWNnJn8mx8uVRSOdgigi,2018-05-16T04:13:44.189Z,2018-05-16T04:12:43.703Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AL-65-TZ,2018-05-16T04:12:43.861Z,,,,5197.0,,,,,,,,,,
28130260,2017-01-01,2017-12-31,c173,,http://regnskaber.virk.dk/06203182/ZG9rdW1lbnRsYWdlcjovLzAzLzE4LzEzLzQ2L2M3L2I0YmUtNGI1MC05ZWYzLWIzZTlkMzg4NTkxNQ.pdf,http://regnskaber.virk.dk/06203182/ZG9rdW1lbnRsYWdlcjovLzAzLzA0LzM0L2QyL2UzLzg4ODctNDQzYy05ZGE4LWI1YjFiNjdmZDJiMw.xml,true,KÃ¸benhavn V,1561.0,29.0,Havneholmen,2600 Glostrup,Hvissingevej 100,DK-1561 KÃ¸benhavn V,Havneholmen 29,Til kapitalejerne i Partner-Logistic ApS,1.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",2018-04-26,2004-10-18,2018-04-26,Statsautoriseret revisor,5000.0,20222670.0,28130260.0,20222670.0,mne32069,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for Partner-Logistic ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",SÃ¸ren SÃ¸ndergaard Jensen,Mads Frederiksen,Mads Frederiksen,Partner-Logistic ApS,BDO Statsautoriseret revisionsaktieselskab,3956.0,1185.0,Glostrup,2016-01-01,2016-12-31,2229.0,2229.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Glostrup,2017-12-31,2017-01-01,true,2018-04-26,KÃ¸benhavn,0.0,urn:ofk:oid:25465741,indberetninger-20180424,2.5124211,28130260.0,AWNnJn8mx8uVRSOdgigi,2018-05-16T04:13:44.189Z,2018-05-16T04:12:43.703Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AL-65-TZ,2018-05-16T04:12:43.861Z,,,,,,,,,,,,,BDO Statsautoriseret revisionsaktieselskab,RevisionspÃ¥tegning
28130260,2017-01-01,2017-12-31,c194,,http://regnskaber.virk.dk/06203182/ZG9rdW1lbnRsYWdlcjovLzAzLzE4LzEzLzQ2L2M3L2I0YmUtNGI1MC05ZWYzLWIzZTlkMzg4NTkxNQ.pdf,http://regnskaber.virk.dk/06203182/ZG9rdW1lbnRsYWdlcjovLzAzLzA0LzM0L2QyL2UzLzg4ODctNDQzYy05ZGE4LWI1YjFiNjdmZDJiMw.xml,true,KÃ¸benhavn V,1561.0,29.0,Havneholmen,2600 Glostrup,Hvissingevej 100,DK-1561 KÃ¸benhavn V,Havneholmen 29,Til kapitalejerne i Partner-Logistic ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",2018-04-26,2004-10-18,2018-04-26,Statsautoriseret revisor,,20222670.0,28130260.0,20222670.0,mne32069,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for Partner-Logistic ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",SÃ¸ren SÃ¸ndergaard Jensen,Mads Frederiksen,Mads Frederiksen,Partner-Logistic ApS,BDO Statsautoriseret revisionsaktieselskab,,,Glostrup,2016-01-01,2016-12-31,2229.0,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Glostrup,2017-12-31,2017-01-01,true,2018-04-26,KÃ¸benhavn,,urn:ofk:oid:25465741,indberetninger-20180424,2.5124211,28130260.0,AWNnJn8mx8uVRSOdgigi,2018-05-16T04:13:44.189Z,2018-05-16T04:12:43.703Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AL-65-TZ,2018-05-16T04:12:43.861Z,,,,,,,,,,,,,,
28130260,2017-01-01,2017-12-31,c254,,http://regnskaber.virk.dk/06203182/ZG9rdW1lbnRsYWdlcjovLzAzLzE4LzEzLzQ2L2M3L2I0YmUtNGI1MC05ZWYzLWIzZTlkMzg4NTkxNQ.pdf,http://regnskaber.virk.dk/06203182/ZG9rdW1lbnRsYWdlcjovLzAzLzA0LzM0L2QyL2UzLzg4ODctNDQzYy05ZGE4LWI1YjFiNjdmZDJiMw.xml,true,KÃ¸benhavn V,1561.0,29.0,Havneholmen,2600 Glostrup,Hvissingevej 100,DK-1561 KÃ¸benhavn V,Havneholmen 29,Til kapitalejerne i Partner-Logistic ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",2018-04-26,2004-10-18,2018-04-26,Statsautoriseret revisor,,20222670.0,28130260.0,20222670.0,mne32069,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for Partner-Logistic ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",SÃ¸ren SÃ¸ndergaard Jensen,Mads Frederiksen,Mads Frederiksen,Partner-Logistic ApS,BDO Statsautoriseret revisionsaktieselskab,,,Glostrup,2016-01-01,2016-12-31,2229.0,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Glostrup,2017-12-31,2017-01-01,true,2018-04-26,KÃ¸benhavn,,urn:ofk:oid:25465741,indberetninger-20180424,2.5124211,28130260.0,AWNnJn8mx8uVRSOdgigi,2018-05-16T04:13:44.189Z,2018-05-16T04:12:43.703Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AL-65-TZ,2018-05-16T04:12:43.861Z,,,,,,,,,,,,,,
28130260,2017-01-01,2017-12-31,c305,,http://regnskaber.virk.dk/06203182/ZG9rdW1lbnRsYWdlcjovLzAzLzE4LzEzLzQ2L2M3L2I0YmUtNGI1MC05ZWYzLWIzZTlkMzg4NTkxNQ.pdf,http://regnskaber.virk.dk/06203182/ZG9rdW1lbnRsYWdlcjovLzAzLzA0LzM0L2QyL2UzLzg4ODctNDQzYy05ZGE4LWI1YjFiNjdmZDJiMw.xml,true,KÃ¸benhavn V,1561.0,29.0,Havneholmen,2600 Glostrup,Hvissingevej 100,DK-1561 KÃ¸benhavn V,Havneholmen 29,Til kapitalejerne i Partner-Logistic ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",2018-04-26,2004-10-18,2018-04-26,Statsautoriseret revisor,,20222670.0,28130260.0,20222670.0,mne32069,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for Partner-Logistic ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",SÃ¸ren SÃ¸ndergaard Jensen,Mads Frederiksen,Mads Frederiksen,Partner-Logistic ApS,BDO Statsautoriseret revisionsaktieselskab,,,Glostrup,2016-01-01,2016-12-31,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Glostrup,2017-12-31,2017-01-01,true,2018-04-26,KÃ¸benhavn,,urn:ofk:oid:25465741,indberetninger-20180424,2.5124211,28130260.0,AWNnJn8mx8uVRSOdgigi,2018-05-16T04:13:44.189Z,2018-05-16T04:12:43.703Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AL-65-TZ,2018-05-16T04:12:43.861Z,,,,,,,,,,,,,BDO Statsautoriseret revisionsaktieselskab,
28130260,2017-01-01,2017-12-31,c637,,http://regnskaber.virk.dk/06203182/ZG9rdW1lbnRsYWdlcjovLzAzLzE4LzEzLzQ2L2M3L2I0YmUtNGI1MC05ZWYzLWIzZTlkMzg4NTkxNQ.pdf,http://regnskaber.virk.dk/06203182/ZG9rdW1lbnRsYWdlcjovLzAzLzA0LzM0L2QyL2UzLzg4ODctNDQzYy05ZGE4LWI1YjFiNjdmZDJiMw.xml,true,KÃ¸benhavn V,1561.0,29.0,Havneholmen,2600 Glostrup,Hvissingevej 100,DK-1561 KÃ¸benhavn V,Havneholmen 29,Til kapitalejerne i Partner-Logistic ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",2018-04-26,2004-10-18,2018-04-26,Statsautoriseret revisor,,20222670.0,28130260.0,20222670.0,mne32069,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for Partner-Logistic ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",SÃ¸ren SÃ¸ndergaard Jensen,Mads Frederiksen,Mads Frederiksen,Partner-Logistic ApS,BDO Statsautoriseret revisionsaktieselskab,,,Glostrup,2016-01-01,2016-12-31,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Glostrup,2017-12-31,2017-01-01,true,2018-04-26,KÃ¸benhavn,,urn:ofk:oid:25465741,indberetninger-20180424,2.5124211,28130260.0,AWNnJn8mx8uVRSOdgigi,2018-05-16T04:13:44.189Z,2018-05-16T04:12:43.703Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AL-65-TZ,2018-05-16T04:12:43.861Z,,,,,,,,,,,,,,
