entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,AverageNumberOfEmployees,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfAnnualReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditor,GrossProfitLoss,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromAssociates,ShorttermTradePayables,NameOfAuditFirm,TypeOfAuditorAssistance
28130260,2017-01-01,2017-12-31,c174,,http://regnskaber.virk.dk/06203182/ZG9rdW1lbnRsYWdlcjovLzAzLzUyLzNhLzRjL2NjLzFjN2ItNDM0MS05MmM0LTQ4MzExY2QyMGUzYw.pdf,http://regnskaber.virk.dk/06203182/ZG9rdW1lbnRsYWdlcjovLzAzL2RiLzJkLzc1L2U4LzFiNmMtNDMzYS04M2ZmLWNjMGQ3NmUzZTVkOQ.xml,true,KÃ¸benhavn V,1561.0,29.0,Havneholmen,2600 Glostrup,Hvissingevej 100,DK-1561 KÃ¸benhavn V,Havneholmen 29,Til kapitalejerne i Partner-Logistic ApS,1.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2019-03-08,2004-10-18,2019-04-24,Statsautoriseret revisor,5000.0,20222670.0,28130260.0,20222670.0,mne32069,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Partner-Logistic ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",SÃ¸ren SÃ¸ndergaard Jensen,Mads Frederiksen,Mads Frederiksen,Partner-Logistic ApS,BDO Statsautoriseret revisionsaktieselskab,3956.0,1185.0,Glostrup,2017-01-01,2017-12-31,2229.0,2229.0,5000.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Glostrup,2018-12-31,2018-01-01,true,2019-03-08,KÃ¸benhavn,0.0,urn:ofk:oid:27020463,indberetninger-20180424,2.5118406,28130260.0,AWpOcoYqRYGX6_YTHF3T,2019-04-24T08:25:34.940Z,2019-04-24T08:24:49.014Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AY-73-BB,2019-04-24T08:24:49.224Z,,,,,,,,,,,,,
28130260,2017-01-01,2017-12-31,c213,,http://regnskaber.virk.dk/06203182/ZG9rdW1lbnRsYWdlcjovLzAzLzUyLzNhLzRjL2NjLzFjN2ItNDM0MS05MmM0LTQ4MzExY2QyMGUzYw.pdf,http://regnskaber.virk.dk/06203182/ZG9rdW1lbnRsYWdlcjovLzAzL2RiLzJkLzc1L2U4LzFiNmMtNDMzYS04M2ZmLWNjMGQ3NmUzZTVkOQ.xml,true,KÃ¸benhavn V,1561.0,29.0,Havneholmen,2600 Glostrup,Hvissingevej 100,DK-1561 KÃ¸benhavn V,Havneholmen 29,Til kapitalejerne i Partner-Logistic ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2019-03-08,2004-10-18,2019-04-24,Statsautoriseret revisor,,20222670.0,28130260.0,20222670.0,mne32069,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Partner-Logistic ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",SÃ¸ren SÃ¸ndergaard Jensen,Mads Frederiksen,Mads Frederiksen,Partner-Logistic ApS,BDO Statsautoriseret revisionsaktieselskab,,,Glostrup,2017-01-01,2017-12-31,2229.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Glostrup,2018-12-31,2018-01-01,true,2019-03-08,KÃ¸benhavn,,urn:ofk:oid:27020463,indberetninger-20180424,2.5118406,28130260.0,AWpOcoYqRYGX6_YTHF3T,2019-04-24T08:25:34.940Z,2019-04-24T08:24:49.014Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AY-73-BB,2019-04-24T08:24:49.224Z,,,,,,,,,,,,,
28130260,2017-12-31,2017-12-31,c172,,http://regnskaber.virk.dk/06203182/ZG9rdW1lbnRsYWdlcjovLzAzLzUyLzNhLzRjL2NjLzFjN2ItNDM0MS05MmM0LTQ4MzExY2QyMGUzYw.pdf,http://regnskaber.virk.dk/06203182/ZG9rdW1lbnRsYWdlcjovLzAzL2RiLzJkLzc1L2U4LzFiNmMtNDMzYS04M2ZmLWNjMGQ3NmUzZTVkOQ.xml,true,KÃ¸benhavn V,1561.0,29.0,Havneholmen,2600 Glostrup,Hvissingevej 100,DK-1561 KÃ¸benhavn V,Havneholmen 29,Til kapitalejerne i Partner-Logistic ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2019-03-08,2004-10-18,2019-04-24,Statsautoriseret revisor,,20222670.0,28130260.0,20222670.0,mne32069,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Partner-Logistic ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",SÃ¸ren SÃ¸ndergaard Jensen,Mads Frederiksen,Mads Frederiksen,Partner-Logistic ApS,BDO Statsautoriseret revisionsaktieselskab,,,Glostrup,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Glostrup,2018-12-31,2018-01-01,true,2019-03-08,KÃ¸benhavn,,urn:ofk:oid:27020463,indberetninger-20180424,2.5118406,28130260.0,AWpOcoYqRYGX6_YTHF3T,2019-04-24T08:25:34.940Z,2019-04-24T08:24:49.014Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AY-73-BB,2019-04-24T08:24:49.224Z,22990492.0,1326626.0,125000.0,132426.0,22990492.0,22858066.0,7426.0,22858066.0,21663866.0,21663866.0,22853067.0,,
28130260,2018-01-01,2018-01-01,c230,,http://regnskaber.virk.dk/06203182/ZG9rdW1lbnRsYWdlcjovLzAzLzUyLzNhLzRjL2NjLzFjN2ItNDM0MS05MmM0LTQ4MzExY2QyMGUzYw.pdf,http://regnskaber.virk.dk/06203182/ZG9rdW1lbnRsYWdlcjovLzAzL2RiLzJkLzc1L2U4LzFiNmMtNDMzYS04M2ZmLWNjMGQ3NmUzZTVkOQ.xml,true,KÃ¸benhavn V,1561.0,29.0,Havneholmen,2600 Glostrup,Hvissingevej 100,DK-1561 KÃ¸benhavn V,Havneholmen 29,Til kapitalejerne i Partner-Logistic ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2019-03-08,2004-10-18,2019-04-24,Statsautoriseret revisor,,20222670.0,28130260.0,20222670.0,mne32069,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Partner-Logistic ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",SÃ¸ren SÃ¸ndergaard Jensen,Mads Frederiksen,Mads Frederiksen,Partner-Logistic ApS,BDO Statsautoriseret revisionsaktieselskab,,,Glostrup,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Glostrup,2018-12-31,2018-01-01,true,2019-03-08,KÃ¸benhavn,,urn:ofk:oid:27020463,indberetninger-20180424,2.5118406,28130260.0,AWpOcoYqRYGX6_YTHF3T,2019-04-24T08:25:34.940Z,2019-04-24T08:24:49.014Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AY-73-BB,2019-04-24T08:24:49.224Z,,,,125000.0,,,,,,,,,
28130260,2018-01-01,2018-01-01,c248,,http://regnskaber.virk.dk/06203182/ZG9rdW1lbnRsYWdlcjovLzAzLzUyLzNhLzRjL2NjLzFjN2ItNDM0MS05MmM0LTQ4MzExY2QyMGUzYw.pdf,http://regnskaber.virk.dk/06203182/ZG9rdW1lbnRsYWdlcjovLzAzL2RiLzJkLzc1L2U4LzFiNmMtNDMzYS04M2ZmLWNjMGQ3NmUzZTVkOQ.xml,true,KÃ¸benhavn V,1561.0,29.0,Havneholmen,2600 Glostrup,Hvissingevej 100,DK-1561 KÃ¸benhavn V,Havneholmen 29,Til kapitalejerne i Partner-Logistic ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2019-03-08,2004-10-18,2019-04-24,Statsautoriseret revisor,,20222670.0,28130260.0,20222670.0,mne32069,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Partner-Logistic ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",SÃ¸ren SÃ¸ndergaard Jensen,Mads Frederiksen,Mads Frederiksen,Partner-Logistic ApS,BDO Statsautoriseret revisionsaktieselskab,,,Glostrup,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Glostrup,2018-12-31,2018-01-01,true,2019-03-08,KÃ¸benhavn,,urn:ofk:oid:27020463,indberetninger-20180424,2.5118406,28130260.0,AWpOcoYqRYGX6_YTHF3T,2019-04-24T08:25:34.940Z,2019-04-24T08:24:49.014Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AY-73-BB,2019-04-24T08:24:49.224Z,,,,7426.0,,,,,,,,,
28130260,2018-01-01,2018-12-31,c173,,http://regnskaber.virk.dk/06203182/ZG9rdW1lbnRsYWdlcjovLzAzLzUyLzNhLzRjL2NjLzFjN2ItNDM0MS05MmM0LTQ4MzExY2QyMGUzYw.pdf,http://regnskaber.virk.dk/06203182/ZG9rdW1lbnRsYWdlcjovLzAzL2RiLzJkLzc1L2U4LzFiNmMtNDMzYS04M2ZmLWNjMGQ3NmUzZTVkOQ.xml,true,KÃ¸benhavn V,1561.0,29.0,Havneholmen,2600 Glostrup,Hvissingevej 100,DK-1561 KÃ¸benhavn V,Havneholmen 29,Til kapitalejerne i Partner-Logistic ApS,1.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2019-03-08,2004-10-18,2019-04-24,Statsautoriseret revisor,8994.0,20222670.0,28130260.0,20222670.0,mne32069,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Partner-Logistic ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",SÃ¸ren SÃ¸ndergaard Jensen,Mads Frederiksen,Mads Frederiksen,Partner-Logistic ApS,BDO Statsautoriseret revisionsaktieselskab,5612.0,2146.0,Glostrup,2017-01-01,2017-12-31,5528.0,5528.0,8994.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Glostrup,2018-12-31,2018-01-01,true,2019-03-08,KÃ¸benhavn,0.0,urn:ofk:oid:27020463,indberetninger-20180424,2.5118406,28130260.0,AWpOcoYqRYGX6_YTHF3T,2019-04-24T08:25:34.940Z,2019-04-24T08:24:49.014Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AY-73-BB,2019-04-24T08:24:49.224Z,,,,,,,,,,,,BDO Statsautoriseret revisionsaktieselskab,RevisionspÃ¥tegning
28130260,2018-01-01,2018-12-31,c212,,http://regnskaber.virk.dk/06203182/ZG9rdW1lbnRsYWdlcjovLzAzLzUyLzNhLzRjL2NjLzFjN2ItNDM0MS05MmM0LTQ4MzExY2QyMGUzYw.pdf,http://regnskaber.virk.dk/06203182/ZG9rdW1lbnRsYWdlcjovLzAzL2RiLzJkLzc1L2U4LzFiNmMtNDMzYS04M2ZmLWNjMGQ3NmUzZTVkOQ.xml,true,KÃ¸benhavn V,1561.0,29.0,Havneholmen,2600 Glostrup,Hvissingevej 100,DK-1561 KÃ¸benhavn V,Havneholmen 29,Til kapitalejerne i Partner-Logistic ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2019-03-08,2004-10-18,2019-04-24,Statsautoriseret revisor,,20222670.0,28130260.0,20222670.0,mne32069,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Partner-Logistic ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",SÃ¸ren SÃ¸ndergaard Jensen,Mads Frederiksen,Mads Frederiksen,Partner-Logistic ApS,BDO Statsautoriseret revisionsaktieselskab,,,Glostrup,2017-01-01,2017-12-31,5528.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Glostrup,2018-12-31,2018-01-01,true,2019-03-08,KÃ¸benhavn,,urn:ofk:oid:27020463,indberetninger-20180424,2.5118406,28130260.0,AWpOcoYqRYGX6_YTHF3T,2019-04-24T08:25:34.940Z,2019-04-24T08:24:49.014Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AY-73-BB,2019-04-24T08:24:49.224Z,,,,,,,,,,,,,
28130260,2018-01-01,2018-12-31,c247,,http://regnskaber.virk.dk/06203182/ZG9rdW1lbnRsYWdlcjovLzAzLzUyLzNhLzRjL2NjLzFjN2ItNDM0MS05MmM0LTQ4MzExY2QyMGUzYw.pdf,http://regnskaber.virk.dk/06203182/ZG9rdW1lbnRsYWdlcjovLzAzL2RiLzJkLzc1L2U4LzFiNmMtNDMzYS04M2ZmLWNjMGQ3NmUzZTVkOQ.xml,true,KÃ¸benhavn V,1561.0,29.0,Havneholmen,2600 Glostrup,Hvissingevej 100,DK-1561 KÃ¸benhavn V,Havneholmen 29,Til kapitalejerne i Partner-Logistic ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2019-03-08,2004-10-18,2019-04-24,Statsautoriseret revisor,,20222670.0,28130260.0,20222670.0,mne32069,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Partner-Logistic ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",SÃ¸ren SÃ¸ndergaard Jensen,Mads Frederiksen,Mads Frederiksen,Partner-Logistic ApS,BDO Statsautoriseret revisionsaktieselskab,,,Glostrup,2017-01-01,2017-12-31,5528.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Glostrup,2018-12-31,2018-01-01,true,2019-03-08,KÃ¸benhavn,,urn:ofk:oid:27020463,indberetninger-20180424,2.5118406,28130260.0,AWpOcoYqRYGX6_YTHF3T,2019-04-24T08:25:34.940Z,2019-04-24T08:24:49.014Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AY-73-BB,2019-04-24T08:24:49.224Z,,,,,,,,,,,,,
28130260,2018-01-01,2018-12-31,c306,,http://regnskaber.virk.dk/06203182/ZG9rdW1lbnRsYWdlcjovLzAzLzUyLzNhLzRjL2NjLzFjN2ItNDM0MS05MmM0LTQ4MzExY2QyMGUzYw.pdf,http://regnskaber.virk.dk/06203182/ZG9rdW1lbnRsYWdlcjovLzAzL2RiLzJkLzc1L2U4LzFiNmMtNDMzYS04M2ZmLWNjMGQ3NmUzZTVkOQ.xml,true,KÃ¸benhavn V,1561.0,29.0,Havneholmen,2600 Glostrup,Hvissingevej 100,DK-1561 KÃ¸benhavn V,Havneholmen 29,Til kapitalejerne i Partner-Logistic ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2019-03-08,2004-10-18,2019-04-24,Statsautoriseret revisor,,20222670.0,28130260.0,20222670.0,mne32069,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Partner-Logistic ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",SÃ¸ren SÃ¸ndergaard Jensen,Mads Frederiksen,Mads Frederiksen,Partner-Logistic ApS,BDO Statsautoriseret revisionsaktieselskab,,,Glostrup,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Glostrup,2018-12-31,2018-01-01,true,2019-03-08,KÃ¸benhavn,,urn:ofk:oid:27020463,indberetninger-20180424,2.5118406,28130260.0,AWpOcoYqRYGX6_YTHF3T,2019-04-24T08:25:34.940Z,2019-04-24T08:24:49.014Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AY-73-BB,2019-04-24T08:24:49.224Z,,,,,,,,,,,,BDO Statsautoriseret revisionsaktieselskab,
28130260,2018-01-01,2018-12-31,c726,,http://regnskaber.virk.dk/06203182/ZG9rdW1lbnRsYWdlcjovLzAzLzUyLzNhLzRjL2NjLzFjN2ItNDM0MS05MmM0LTQ4MzExY2QyMGUzYw.pdf,http://regnskaber.virk.dk/06203182/ZG9rdW1lbnRsYWdlcjovLzAzL2RiLzJkLzc1L2U4LzFiNmMtNDMzYS04M2ZmLWNjMGQ3NmUzZTVkOQ.xml,true,KÃ¸benhavn V,1561.0,29.0,Havneholmen,2600 Glostrup,Hvissingevej 100,DK-1561 KÃ¸benhavn V,Havneholmen 29,Til kapitalejerne i Partner-Logistic ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2019-03-08,2004-10-18,2019-04-24,Statsautoriseret revisor,,20222670.0,28130260.0,20222670.0,mne32069,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Partner-Logistic ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",SÃ¸ren SÃ¸ndergaard Jensen,Mads Frederiksen,Mads Frederiksen,Partner-Logistic ApS,BDO Statsautoriseret revisionsaktieselskab,,,Glostrup,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Glostrup,2018-12-31,2018-01-01,true,2019-03-08,KÃ¸benhavn,,urn:ofk:oid:27020463,indberetninger-20180424,2.5118406,28130260.0,AWpOcoYqRYGX6_YTHF3T,2019-04-24T08:25:34.940Z,2019-04-24T08:24:49.014Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AY-73-BB,2019-04-24T08:24:49.224Z,,,,,,,,,,,,,
