entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfGeneralMeeting,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TypeOfAuditorAssistance,TypeOfBasisForModifiedOpinionOnAuditedFinancialStatements,TypeOfModifiedOpinionOnAuditedFinancialStatements,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,AverageNumberOfEmployees,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,GrossProfitLoss,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,OtherFinanceExpenses,OtherFinanceIncomeFromGroupEnterprises,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,FixturesFittingsToolsAndEquipment,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,RevaluationReserve,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTradePayables
25001370,2016-01-01,2016-12-31,ID_11,,http://regnskaber.virk.dk/07310052/ZG9rdW1lbnRsYWdlcjovLzAzL2U3LzczL2EyL2Y0LzE4MDktNGEzNy1hYTE2LTBjODA4YTUwMWY3Nw.pdf,http://regnskaber.virk.dk/07310052/ZG9rdW1lbnRsYWdlcjovLzAzLzJlLzg5LzQ0LzVkL2U4NmYtNGYzMS04Y2EwLTg2NjU0M2JhNGJjYw.xml,true,"Ãrhus C, 8000",Store Torv 5,Til kapitalejerne i Sign-Tronic Invest A/S under frivillig likvidation,Regnskabsklasse B,2018-11-26,2018-11-26,2018-11-26,25635868.0,25001370.0,25635868.0,mne703,Ãrsrapport,Arne KjÃ¦r JÃ¸rgensen,SÃ¸ren Westmark,SÃ¸ren Hammer Westmark,National Revision,Sign-Tronic Invest A/S under frivillig likvidation,"National Revision, Registrerede Revisorer a/s",Aarhus,2016-01-01,2016-12-31,-919944.0,2017-12-31,2017-01-01,false,2018-11-26,Aarhus,RevisionspÃ¥tegning,Grundlag for manglende konklusion,Manglende konklusion,urn:ofk:oid:26526559,indberetninger-20180424,2.509595,25001370.0,AWgUb1lmet7j816DxmUK,2019-01-03T15:58:14.078Z,2019-01-03T15:57:47.114Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-DQ-93-CQ,2019-01-03T15:57:47.375Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25001370,2016-01-01,2016-12-31,ID_7,,http://regnskaber.virk.dk/07310052/ZG9rdW1lbnRsYWdlcjovLzAzL2U3LzczL2EyL2Y0LzE4MDktNGEzNy1hYTE2LTBjODA4YTUwMWY3Nw.pdf,http://regnskaber.virk.dk/07310052/ZG9rdW1lbnRsYWdlcjovLzAzLzJlLzg5LzQ0LzVkL2U4NmYtNGYzMS04Y2EwLTg2NjU0M2JhNGJjYw.xml,true,"Ãrhus C, 8000",Store Torv 5,Til kapitalejerne i Sign-Tronic Invest A/S under frivillig likvidation,Regnskabsklasse B,2018-11-26,2018-11-26,2018-11-26,25635868.0,25001370.0,25635868.0,mne703,Ãrsrapport,Arne KjÃ¦r JÃ¸rgensen,SÃ¸ren Westmark,SÃ¸ren Hammer Westmark,National Revision,Sign-Tronic Invest A/S under frivillig likvidation,"National Revision, Registrerede Revisorer a/s",Aarhus,2016-01-01,2016-12-31,,2017-12-31,2017-01-01,false,2018-11-26,Aarhus,RevisionspÃ¥tegning,Grundlag for manglende konklusion,Manglende konklusion,urn:ofk:oid:26526559,indberetninger-20180424,2.509595,25001370.0,AWgUb1lmet7j816DxmUK,2019-01-03T15:58:14.078Z,2019-01-03T15:57:47.114Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-DQ-93-CQ,2019-01-03T15:57:47.375Z,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25001370,2016-01-01,2016-12-31,ID_8,,http://regnskaber.virk.dk/07310052/ZG9rdW1lbnRsYWdlcjovLzAzL2U3LzczL2EyL2Y0LzE4MDktNGEzNy1hYTE2LTBjODA4YTUwMWY3Nw.pdf,http://regnskaber.virk.dk/07310052/ZG9rdW1lbnRsYWdlcjovLzAzLzJlLzg5LzQ0LzVkL2U4NmYtNGYzMS04Y2EwLTg2NjU0M2JhNGJjYw.xml,true,"Ãrhus C, 8000",Store Torv 5,Til kapitalejerne i Sign-Tronic Invest A/S under frivillig likvidation,Regnskabsklasse B,2018-11-26,2018-11-26,2018-11-26,25635868.0,25001370.0,25635868.0,mne703,Ãrsrapport,Arne KjÃ¦r JÃ¸rgensen,SÃ¸ren Westmark,SÃ¸ren Hammer Westmark,National Revision,Sign-Tronic Invest A/S under frivillig likvidation,"National Revision, Registrerede Revisorer a/s",Aarhus,2016-01-01,2016-12-31,855033.0,2017-12-31,2017-01-01,false,2018-11-26,Aarhus,RevisionspÃ¥tegning,Grundlag for manglende konklusion,Manglende konklusion,urn:ofk:oid:26526559,indberetninger-20180424,2.509595,25001370.0,AWgUb1lmet7j816DxmUK,2019-01-03T15:58:14.078Z,2019-01-03T15:57:47.114Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-DQ-93-CQ,2019-01-03T15:57:47.375Z,,65996.0,45000.0,-35366.0,919944.0,0.0,81451.0,855033.0,-146362.0,,,,,,,,,,,,,,,,,,,,,
25001370,2016-01-01,2016-12-31,ID_9,,http://regnskaber.virk.dk/07310052/ZG9rdW1lbnRsYWdlcjovLzAzL2U3LzczL2EyL2Y0LzE4MDktNGEzNy1hYTE2LTBjODA4YTUwMWY3Nw.pdf,http://regnskaber.virk.dk/07310052/ZG9rdW1lbnRsYWdlcjovLzAzLzJlLzg5LzQ0LzVkL2U4NmYtNGYzMS04Y2EwLTg2NjU0M2JhNGJjYw.xml,true,"Ãrhus C, 8000",Store Torv 5,Til kapitalejerne i Sign-Tronic Invest A/S under frivillig likvidation,Regnskabsklasse B,2018-11-26,2018-11-26,2018-11-26,25635868.0,25001370.0,25635868.0,mne703,Ãrsrapport,Arne KjÃ¦r JÃ¸rgensen,SÃ¸ren Westmark,SÃ¸ren Hammer Westmark,National Revision,Sign-Tronic Invest A/S under frivillig likvidation,"National Revision, Registrerede Revisorer a/s",Aarhus,2016-01-01,2016-12-31,64911.0,2017-12-31,2017-01-01,false,2018-11-26,Aarhus,RevisionspÃ¥tegning,Grundlag for manglende konklusion,Manglende konklusion,urn:ofk:oid:26526559,indberetninger-20180424,2.509595,25001370.0,AWgUb1lmet7j816DxmUK,2019-01-03T15:58:14.078Z,2019-01-03T15:57:47.114Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-DQ-93-CQ,2019-01-03T15:57:47.375Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25001370,2016-12-31,2016-12-31,ID_5,,http://regnskaber.virk.dk/07310052/ZG9rdW1lbnRsYWdlcjovLzAzL2U3LzczL2EyL2Y0LzE4MDktNGEzNy1hYTE2LTBjODA4YTUwMWY3Nw.pdf,http://regnskaber.virk.dk/07310052/ZG9rdW1lbnRsYWdlcjovLzAzLzJlLzg5LzQ0LzVkL2U4NmYtNGYzMS04Y2EwLTg2NjU0M2JhNGJjYw.xml,true,"Ãrhus C, 8000",Store Torv 5,Til kapitalejerne i Sign-Tronic Invest A/S under frivillig likvidation,Regnskabsklasse B,2018-11-26,2018-11-26,2018-11-26,25635868.0,25001370.0,25635868.0,mne703,Ãrsrapport,Arne KjÃ¦r JÃ¸rgensen,SÃ¸ren Westmark,SÃ¸ren Hammer Westmark,National Revision,Sign-Tronic Invest A/S under frivillig likvidation,"National Revision, Registrerede Revisorer a/s",Aarhus,2016-01-01,2016-12-31,,2017-12-31,2017-01-01,false,2018-11-26,Aarhus,RevisionspÃ¥tegning,Grundlag for manglende konklusion,Manglende konklusion,urn:ofk:oid:26526559,indberetninger-20180424,2.509595,25001370.0,AWgUb1lmet7j816DxmUK,2019-01-03T15:58:14.078Z,2019-01-03T15:57:47.114Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-DQ-93-CQ,2019-01-03T15:57:47.375Z,,,,,,,,,,7802955.0,133871.0,1000000.0,790933.0,7734956.0,371000.0,7802955.0,67999.0,6641022.0,6641022.0,7012022.0,45000.0,74977.0,371000.0,6446618.0,230334.0,58004.0,67999.0,657062.0,582085.0,22999.0
25001370,2017-01-01,2017-12-31,ID_0,,http://regnskaber.virk.dk/07310052/ZG9rdW1lbnRsYWdlcjovLzAzL2U3LzczL2EyL2Y0LzE4MDktNGEzNy1hYTE2LTBjODA4YTUwMWY3Nw.pdf,http://regnskaber.virk.dk/07310052/ZG9rdW1lbnRsYWdlcjovLzAzLzJlLzg5LzQ0LzVkL2U4NmYtNGYzMS04Y2EwLTg2NjU0M2JhNGJjYw.xml,true,"Ãrhus C, 8000",Store Torv 5,Til kapitalejerne i Sign-Tronic Invest A/S under frivillig likvidation,Regnskabsklasse B,2018-11-26,2018-11-26,2018-11-26,25635868.0,25001370.0,25635868.0,mne703,Ãrsrapport,Arne KjÃ¦r JÃ¸rgensen,SÃ¸ren Westmark,SÃ¸ren Hammer Westmark,National Revision,Sign-Tronic Invest A/S under frivillig likvidation,"National Revision, Registrerede Revisorer a/s",Aarhus,2016-01-01,2016-12-31,2494059.0,2017-12-31,2017-01-01,false,2018-11-26,Aarhus,RevisionspÃ¥tegning,Grundlag for manglende konklusion,Manglende konklusion,urn:ofk:oid:26526559,indberetninger-20180424,2.509595,25001370.0,AWgUb1lmet7j816DxmUK,2019-01-03T15:58:14.078Z,2019-01-03T15:57:47.114Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-DQ-93-CQ,2019-01-03T15:57:47.375Z,,66000.0,0.0,-85541.0,2658455.0,12855.0,0.0,2494059.0,-151541.0,,,,,,,,,,,,,,,,,,,,,
25001370,2017-01-01,2017-12-31,ID_1,,http://regnskaber.virk.dk/07310052/ZG9rdW1lbnRsYWdlcjovLzAzL2U3LzczL2EyL2Y0LzE4MDktNGEzNy1hYTE2LTBjODA4YTUwMWY3Nw.pdf,http://regnskaber.virk.dk/07310052/ZG9rdW1lbnRsYWdlcjovLzAzLzJlLzg5LzQ0LzVkL2U4NmYtNGYzMS04Y2EwLTg2NjU0M2JhNGJjYw.xml,true,"Ãrhus C, 8000",Store Torv 5,Til kapitalejerne i Sign-Tronic Invest A/S under frivillig likvidation,Regnskabsklasse B,2018-11-26,2018-11-26,2018-11-26,25635868.0,25001370.0,25635868.0,mne703,Ãrsrapport,Arne KjÃ¦r JÃ¸rgensen,SÃ¸ren Westmark,SÃ¸ren Hammer Westmark,National Revision,Sign-Tronic Invest A/S under frivillig likvidation,"National Revision, Registrerede Revisorer a/s",Aarhus,2016-01-01,2016-12-31,,2017-12-31,2017-01-01,false,2018-11-26,Aarhus,RevisionspÃ¥tegning,Grundlag for manglende konklusion,Manglende konklusion,urn:ofk:oid:26526559,indberetninger-20180424,2.509595,25001370.0,AWgUb1lmet7j816DxmUK,2019-01-03T15:58:14.078Z,2019-01-03T15:57:47.114Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-DQ-93-CQ,2019-01-03T15:57:47.375Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25001370,2017-01-01,2017-12-31,ID_10,,http://regnskaber.virk.dk/07310052/ZG9rdW1lbnRsYWdlcjovLzAzL2U3LzczL2EyL2Y0LzE4MDktNGEzNy1hYTE2LTBjODA4YTUwMWY3Nw.pdf,http://regnskaber.virk.dk/07310052/ZG9rdW1lbnRsYWdlcjovLzAzLzJlLzg5LzQ0LzVkL2U4NmYtNGYzMS04Y2EwLTg2NjU0M2JhNGJjYw.xml,true,"Ãrhus C, 8000",Store Torv 5,Til kapitalejerne i Sign-Tronic Invest A/S under frivillig likvidation,Regnskabsklasse B,2018-11-26,2018-11-26,2018-11-26,25635868.0,25001370.0,25635868.0,mne703,Ãrsrapport,Arne KjÃ¦r JÃ¸rgensen,SÃ¸ren Westmark,SÃ¸ren Hammer Westmark,National Revision,Sign-Tronic Invest A/S under frivillig likvidation,"National Revision, Registrerede Revisorer a/s",Aarhus,2016-01-01,2016-12-31,-2658455.0,2017-12-31,2017-01-01,false,2018-11-26,Aarhus,RevisionspÃ¥tegning,Grundlag for manglende konklusion,Manglende konklusion,urn:ofk:oid:26526559,indberetninger-20180424,2.509595,25001370.0,AWgUb1lmet7j816DxmUK,2019-01-03T15:58:14.078Z,2019-01-03T15:57:47.114Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-DQ-93-CQ,2019-01-03T15:57:47.375Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25001370,2017-01-01,2017-12-31,ID_12,,http://regnskaber.virk.dk/07310052/ZG9rdW1lbnRsYWdlcjovLzAzL2U3LzczL2EyL2Y0LzE4MDktNGEzNy1hYTE2LTBjODA4YTUwMWY3Nw.pdf,http://regnskaber.virk.dk/07310052/ZG9rdW1lbnRsYWdlcjovLzAzLzJlLzg5LzQ0LzVkL2U4NmYtNGYzMS04Y2EwLTg2NjU0M2JhNGJjYw.xml,true,"Ãrhus C, 8000",Store Torv 5,Til kapitalejerne i Sign-Tronic Invest A/S under frivillig likvidation,Regnskabsklasse B,2018-11-26,2018-11-26,2018-11-26,25635868.0,25001370.0,25635868.0,mne703,Ãrsrapport,Arne KjÃ¦r JÃ¸rgensen,SÃ¸ren Westmark,SÃ¸ren Hammer Westmark,National Revision,Sign-Tronic Invest A/S under frivillig likvidation,"National Revision, Registrerede Revisorer a/s",Aarhus,2016-01-01,2016-12-31,164396.0,2017-12-31,2017-01-01,false,2018-11-26,Aarhus,RevisionspÃ¥tegning,Grundlag for manglende konklusion,Manglende konklusion,urn:ofk:oid:26526559,indberetninger-20180424,2.509595,25001370.0,AWgUb1lmet7j816DxmUK,2019-01-03T15:58:14.078Z,2019-01-03T15:57:47.114Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-DQ-93-CQ,2019-01-03T15:57:47.375Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25001370,2017-01-01,2017-12-31,ID_2,,http://regnskaber.virk.dk/07310052/ZG9rdW1lbnRsYWdlcjovLzAzL2U3LzczL2EyL2Y0LzE4MDktNGEzNy1hYTE2LTBjODA4YTUwMWY3Nw.pdf,http://regnskaber.virk.dk/07310052/ZG9rdW1lbnRsYWdlcjovLzAzLzJlLzg5LzQ0LzVkL2U4NmYtNGYzMS04Y2EwLTg2NjU0M2JhNGJjYw.xml,true,"Ãrhus C, 8000",Store Torv 5,Til kapitalejerne i Sign-Tronic Invest A/S under frivillig likvidation,Regnskabsklasse B,2018-11-26,2018-11-26,2018-11-26,25635868.0,25001370.0,25635868.0,mne703,Ãrsrapport,Arne KjÃ¦r JÃ¸rgensen,SÃ¸ren Westmark,SÃ¸ren Hammer Westmark,National Revision,Sign-Tronic Invest A/S under frivillig likvidation,"National Revision, Registrerede Revisorer a/s",Aarhus,2016-01-01,2016-12-31,,2017-12-31,2017-01-01,false,2018-11-26,Aarhus,RevisionspÃ¥tegning,Grundlag for manglende konklusion,Manglende konklusion,urn:ofk:oid:26526559,indberetninger-20180424,2.509595,25001370.0,AWgUb1lmet7j816DxmUK,2019-01-03T15:58:14.078Z,2019-01-03T15:57:47.114Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-DQ-93-CQ,2019-01-03T15:57:47.375Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
