entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,EmailOfReportingEntity,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,RecommendationForApprovalOfAnnualReportByGeneralMeeting,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TelephoneNumberOfReportingEntity,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,GrossProfitLoss,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,OtherFinanceExpenses,OtherFinanceIncome,OtherFinanceIncomeFromGroupEnterprises,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,OtherShorttermInvestments,OtherShorttermPayables,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesDividendsFromGroupEnterprises,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,ShorttermTaxReceivables,ShorttermTaxReceivablesFromGroupEnterprises,NameAndSurnameOfMemberOfExecutiveBoard
36944153,2016-07-01,2017-06-30,ID_11,,http://regnskaber.virk.dk/35144963/ZG9rdW1lbnRsYWdlcjovLzAzL2NkLzFiLzI0L2U3LzdlNDEtNDQ5OS05ZmRmLWNiOTRlZjhiMDhhOA.pdf,http://regnskaber.virk.dk/35144963/ZG9rdW1lbnRsYWdlcjovLzAzLzNjLzQ2L2RhL2UwLzQ1ODYtNGQ1YS04YzZlLWJjZDY1YjFhMjhiMg.xml,true,"Risskov, 8240",Brunbjergvej 3,Til den daglige ledelse i JÃ¸rgen Keis Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-09-06,2018-09-06,2015-07-01,2018-09-13,engvej4@gmail.com,31574994.0,36944153.0,31574994.0,mne19690,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018 for JÃ¸rgen Keis Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Tore Christensen,JÃ¸rgen Keis,Risskov Revision,JÃ¸rgen Keis Holding ApS,"Risskov Revision, Statsautoriseret Revisionsaktieselskab",Gl. Rye,2016-07-01,2017-06-30,-318610.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-06-30,2017-07-01,false,2018-09-06,Risskov,28409714.0,Administrerende direktÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26112158,indberetninger-20180424,2.5118406,36944153.0,AWXW2Kbz5OzuYdPkEqH0,2018-09-14T06:51:14.486Z,2018-09-14T06:50:45.355Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-AW-96-TF,2018-09-14T06:50:45.514Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36944153,2016-07-01,2017-06-30,ID_7,,http://regnskaber.virk.dk/35144963/ZG9rdW1lbnRsYWdlcjovLzAzL2NkLzFiLzI0L2U3LzdlNDEtNDQ5OS05ZmRmLWNiOTRlZjhiMDhhOA.pdf,http://regnskaber.virk.dk/35144963/ZG9rdW1lbnRsYWdlcjovLzAzLzNjLzQ2L2RhL2UwLzQ1ODYtNGQ1YS04YzZlLWJjZDY1YjFhMjhiMg.xml,true,"Risskov, 8240",Brunbjergvej 3,Til den daglige ledelse i JÃ¸rgen Keis Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-09-06,2018-09-06,2015-07-01,2018-09-13,engvej4@gmail.com,31574994.0,36944153.0,31574994.0,mne19690,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018 for JÃ¸rgen Keis Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Tore Christensen,JÃ¸rgen Keis,Risskov Revision,JÃ¸rgen Keis Holding ApS,"Risskov Revision, Statsautoriseret Revisionsaktieselskab",Gl. Rye,2016-07-01,2017-06-30,422010.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-06-30,2017-07-01,false,2018-09-06,Risskov,28409714.0,Administrerende direktÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26112158,indberetninger-20180424,2.5118406,36944153.0,AWXW2Kbz5OzuYdPkEqH0,2018-09-14T06:51:14.486Z,2018-09-14T06:50:45.355Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-AW-96-TF,2018-09-14T06:50:45.514Z,-28614.0,430548.0,7.0,0.0,22613.0,424540.0,-28614.0,2530.0,,,,,,,,,,,,,,,,,,,,,,,,
36944153,2016-07-01,2017-06-30,ID_9,,http://regnskaber.virk.dk/35144963/ZG9rdW1lbnRsYWdlcjovLzAzL2NkLzFiLzI0L2U3LzdlNDEtNDQ5OS05ZmRmLWNiOTRlZjhiMDhhOA.pdf,http://regnskaber.virk.dk/35144963/ZG9rdW1lbnRsYWdlcjovLzAzLzNjLzQ2L2RhL2UwLzQ1ODYtNGQ1YS04YzZlLWJjZDY1YjFhMjhiMg.xml,true,"Risskov, 8240",Brunbjergvej 3,Til den daglige ledelse i JÃ¸rgen Keis Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-09-06,2018-09-06,2015-07-01,2018-09-13,engvej4@gmail.com,31574994.0,36944153.0,31574994.0,mne19690,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018 for JÃ¸rgen Keis Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Tore Christensen,JÃ¸rgen Keis,Risskov Revision,JÃ¸rgen Keis Holding ApS,"Risskov Revision, Statsautoriseret Revisionsaktieselskab",Gl. Rye,2016-07-01,2017-06-30,-103400.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-06-30,2017-07-01,false,2018-09-06,Risskov,28409714.0,Administrerende direktÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26112158,indberetninger-20180424,2.5118406,36944153.0,AWXW2Kbz5OzuYdPkEqH0,2018-09-14T06:51:14.486Z,2018-09-14T06:50:45.355Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-AW-96-TF,2018-09-14T06:50:45.514Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36944153,2017-06-30,2017-06-30,ID_5,,http://regnskaber.virk.dk/35144963/ZG9rdW1lbnRsYWdlcjovLzAzL2NkLzFiLzI0L2U3LzdlNDEtNDQ5OS05ZmRmLWNiOTRlZjhiMDhhOA.pdf,http://regnskaber.virk.dk/35144963/ZG9rdW1lbnRsYWdlcjovLzAzLzNjLzQ2L2RhL2UwLzQ1ODYtNGQ1YS04YzZlLWJjZDY1YjFhMjhiMg.xml,true,"Risskov, 8240",Brunbjergvej 3,Til den daglige ledelse i JÃ¸rgen Keis Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-09-06,2018-09-06,2015-07-01,2018-09-13,engvej4@gmail.com,31574994.0,36944153.0,31574994.0,mne19690,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018 for JÃ¸rgen Keis Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Tore Christensen,JÃ¸rgen Keis,Risskov Revision,JÃ¸rgen Keis Holding ApS,"Risskov Revision, Statsautoriseret Revisionsaktieselskab",Gl. Rye,2016-07-01,2017-06-30,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-06-30,2017-07-01,false,2018-09-06,Risskov,28409714.0,Administrerende direktÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26112158,indberetninger-20180424,2.5118406,36944153.0,AWXW2Kbz5OzuYdPkEqH0,2018-09-14T06:51:14.486Z,2018-09-14T06:50:45.355Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-AW-96-TF,2018-09-14T06:50:45.514Z,,,,,,,,,1286428.0,3125.0,50000.0,1241428.0,0.0,1157820.0,1286428.0,128608.0,45000.0,45000.0,45000.0,0.0,4000.0,103400.0,1004420.0,0.0,128608.0,1238303.0,430548.0,685677.0,124608.0,0.0,122078.0,
36944153,2017-07-01,2018-06-30,ID_0,,http://regnskaber.virk.dk/35144963/ZG9rdW1lbnRsYWdlcjovLzAzL2NkLzFiLzI0L2U3LzdlNDEtNDQ5OS05ZmRmLWNiOTRlZjhiMDhhOA.pdf,http://regnskaber.virk.dk/35144963/ZG9rdW1lbnRsYWdlcjovLzAzLzNjLzQ2L2RhL2UwLzQ1ODYtNGQ1YS04YzZlLWJjZDY1YjFhMjhiMg.xml,true,"Risskov, 8240",Brunbjergvej 3,Til den daglige ledelse i JÃ¸rgen Keis Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-09-06,2018-09-06,2015-07-01,2018-09-13,engvej4@gmail.com,31574994.0,36944153.0,31574994.0,mne19690,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018 for JÃ¸rgen Keis Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Tore Christensen,JÃ¸rgen Keis,Risskov Revision,JÃ¸rgen Keis Holding ApS,"Risskov Revision, Statsautoriseret Revisionsaktieselskab",Gl. Rye,2016-07-01,2017-06-30,-16261.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-06-30,2017-07-01,false,2018-09-06,Risskov,28409714.0,Administrerende direktÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26112158,indberetninger-20180424,2.5118406,36944153.0,AWXW2Kbz5OzuYdPkEqH0,2018-09-14T06:51:14.486Z,2018-09-14T06:50:45.355Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-AW-96-TF,2018-09-14T06:50:45.514Z,-16228.0,0.0,41166.0,29912.0,6936.0,-20546.0,-16228.0,-4285.0,,,,,,,,,,,,,,,,,,,,,,,,
36944153,2017-07-01,2018-06-30,ID_1,,http://regnskaber.virk.dk/35144963/ZG9rdW1lbnRsYWdlcjovLzAzL2NkLzFiLzI0L2U3LzdlNDEtNDQ5OS05ZmRmLWNiOTRlZjhiMDhhOA.pdf,http://regnskaber.virk.dk/35144963/ZG9rdW1lbnRsYWdlcjovLzAzLzNjLzQ2L2RhL2UwLzQ1ODYtNGQ1YS04YzZlLWJjZDY1YjFhMjhiMg.xml,true,"Risskov, 8240",Brunbjergvej 3,Til den daglige ledelse i JÃ¸rgen Keis Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-09-06,2018-09-06,2015-07-01,2018-09-13,engvej4@gmail.com,31574994.0,36944153.0,31574994.0,mne19690,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018 for JÃ¸rgen Keis Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Tore Christensen,JÃ¸rgen Keis,Risskov Revision,JÃ¸rgen Keis Holding ApS,"Risskov Revision, Statsautoriseret Revisionsaktieselskab",Gl. Rye,2016-07-01,2017-06-30,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-06-30,2017-07-01,false,2018-09-06,Risskov,28409714.0,Administrerende direktÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26112158,indberetninger-20180424,2.5118406,36944153.0,AWXW2Kbz5OzuYdPkEqH0,2018-09-14T06:51:14.486Z,2018-09-14T06:50:45.355Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-AW-96-TF,2018-09-14T06:50:45.514Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36944153,2017-07-01,2018-06-30,ID_10,,http://regnskaber.virk.dk/35144963/ZG9rdW1lbnRsYWdlcjovLzAzL2NkLzFiLzI0L2U3LzdlNDEtNDQ5OS05ZmRmLWNiOTRlZjhiMDhhOA.pdf,http://regnskaber.virk.dk/35144963/ZG9rdW1lbnRsYWdlcjovLzAzLzNjLzQ2L2RhL2UwLzQ1ODYtNGQ1YS04YzZlLWJjZDY1YjFhMjhiMg.xml,true,"Risskov, 8240",Brunbjergvej 3,Til den daglige ledelse i JÃ¸rgen Keis Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-09-06,2018-09-06,2015-07-01,2018-09-13,engvej4@gmail.com,31574994.0,36944153.0,31574994.0,mne19690,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018 for JÃ¸rgen Keis Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Tore Christensen,JÃ¸rgen Keis,Risskov Revision,JÃ¸rgen Keis Holding ApS,"Risskov Revision, Statsautoriseret Revisionsaktieselskab",Gl. Rye,2016-07-01,2017-06-30,122061.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-06-30,2017-07-01,false,2018-09-06,Risskov,28409714.0,Administrerende direktÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26112158,indberetninger-20180424,2.5118406,36944153.0,AWXW2Kbz5OzuYdPkEqH0,2018-09-14T06:51:14.486Z,2018-09-14T06:50:45.355Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-AW-96-TF,2018-09-14T06:50:45.514Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36944153,2017-07-01,2018-06-30,ID_2,,http://regnskaber.virk.dk/35144963/ZG9rdW1lbnRsYWdlcjovLzAzL2NkLzFiLzI0L2U3LzdlNDEtNDQ5OS05ZmRmLWNiOTRlZjhiMDhhOA.pdf,http://regnskaber.virk.dk/35144963/ZG9rdW1lbnRsYWdlcjovLzAzLzNjLzQ2L2RhL2UwLzQ1ODYtNGQ1YS04YzZlLWJjZDY1YjFhMjhiMg.xml,true,"Risskov, 8240",Brunbjergvej 3,Til den daglige ledelse i JÃ¸rgen Keis Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-09-06,2018-09-06,2015-07-01,2018-09-13,engvej4@gmail.com,31574994.0,36944153.0,31574994.0,mne19690,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018 for JÃ¸rgen Keis Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Tore Christensen,JÃ¸rgen Keis,Risskov Revision,JÃ¸rgen Keis Holding ApS,"Risskov Revision, Statsautoriseret Revisionsaktieselskab",Gl. Rye,2016-07-01,2017-06-30,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-06-30,2017-07-01,false,2018-09-06,Risskov,28409714.0,Administrerende direktÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26112158,indberetninger-20180424,2.5118406,36944153.0,AWXW2Kbz5OzuYdPkEqH0,2018-09-14T06:51:14.486Z,2018-09-14T06:50:45.355Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-AW-96-TF,2018-09-14T06:50:45.514Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36944153,2017-07-01,2018-06-30,ID_3,,http://regnskaber.virk.dk/35144963/ZG9rdW1lbnRsYWdlcjovLzAzL2NkLzFiLzI0L2U3LzdlNDEtNDQ5OS05ZmRmLWNiOTRlZjhiMDhhOA.pdf,http://regnskaber.virk.dk/35144963/ZG9rdW1lbnRsYWdlcjovLzAzLzNjLzQ2L2RhL2UwLzQ1ODYtNGQ1YS04YzZlLWJjZDY1YjFhMjhiMg.xml,true,"Risskov, 8240",Brunbjergvej 3,Til den daglige ledelse i JÃ¸rgen Keis Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-09-06,2018-09-06,2015-07-01,2018-09-13,engvej4@gmail.com,31574994.0,36944153.0,31574994.0,mne19690,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018 for JÃ¸rgen Keis Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Tore Christensen,JÃ¸rgen Keis,Risskov Revision,JÃ¸rgen Keis Holding ApS,"Risskov Revision, Statsautoriseret Revisionsaktieselskab",Gl. Rye,2016-07-01,2017-06-30,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-06-30,2017-07-01,false,2018-09-06,Risskov,28409714.0,Administrerende direktÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26112158,indberetninger-20180424,2.5118406,36944153.0,AWXW2Kbz5OzuYdPkEqH0,2018-09-14T06:51:14.486Z,2018-09-14T06:50:45.355Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-AW-96-TF,2018-09-14T06:50:45.514Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jens JÃ¸rgen Keis
36944153,2017-07-01,2018-06-30,ID_4,,http://regnskaber.virk.dk/35144963/ZG9rdW1lbnRsYWdlcjovLzAzL2NkLzFiLzI0L2U3LzdlNDEtNDQ5OS05ZmRmLWNiOTRlZjhiMDhhOA.pdf,http://regnskaber.virk.dk/35144963/ZG9rdW1lbnRsYWdlcjovLzAzLzNjLzQ2L2RhL2UwLzQ1ODYtNGQ1YS04YzZlLWJjZDY1YjFhMjhiMg.xml,true,"Risskov, 8240",Brunbjergvej 3,Til den daglige ledelse i JÃ¸rgen Keis Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-09-06,2018-09-06,2015-07-01,2018-09-13,engvej4@gmail.com,31574994.0,36944153.0,31574994.0,mne19690,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018 for JÃ¸rgen Keis Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Tore Christensen,JÃ¸rgen Keis,Risskov Revision,JÃ¸rgen Keis Holding ApS,"Risskov Revision, Statsautoriseret Revisionsaktieselskab",Gl. Rye,2016-07-01,2017-06-30,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-06-30,2017-07-01,false,2018-09-06,Risskov,28409714.0,Administrerende direktÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26112158,indberetninger-20180424,2.5118406,36944153.0,AWXW2Kbz5OzuYdPkEqH0,2018-09-14T06:51:14.486Z,2018-09-14T06:50:45.355Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-AW-96-TF,2018-09-14T06:50:45.514Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
