entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,AverageNumberOfEmployees,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,RecommendationForApprovalOfAnnualReportByGeneralMeeting,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,EmployeeBenefitsExpense,GrossProfitLoss,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RestOfOtherFinanceExpenses,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,OtherShorttermPayables,RetainedEarnings,ShorttermDeferredIncome,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermTaxPayables,ShorttermTradeReceivables,NameAndSurnameOfMemberOfExecutiveBoard
29313601,2015-01-01,2015-12-31,ID_3,,http://regnskaber.virk.dk/10631392/ZG9rdW1lbnRsYWdlcjovLzAzL2RiLzA3LzBmLzEzLzBmNGEtNDViMS1iM2Y4LWQzOGU4ODg0OTlkZg.pdf,http://regnskaber.virk.dk/10631392/ZG9rdW1lbnRsYWdlcjovLzAzLzYwLzdiLzk1L2RhLzc5ZGUtNGU1My05MWJkLWE4NjJmYWE4N2RmZA.xml,"1304, KÃ¸benhavn K",Adelgade 15,Til kapitalejerne i Grow ApS,1.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016.",2017-03-13,2017-03-13,2006-01-25,2017-03-21,39463113.0,29313601.0,39463113.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016 for Grow ApS.,Ãrsrapport,Eva Hovmand,KRESTON CM,Grow ApS,"KRESTON CM, Statsautoriseret Revisionsinteressentskab",KÃ¸benhavn,2015-01-01,2015-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2016-12-31,2016-01-01,2017-03-13,KÃ¸benhavn,RevisionspÃ¥tegning,urn:ofk:oid:23624031,indberetninger-20180424,2.5097342,29313601.0,,2018-03-28T02:19:31.299Z,2017-03-21T10:14:27.801Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AE-80-VA,2017-03-21T10:14:28.200Z,,,,,,,,,,,,,,,,,,,,,,,,
29313601,2015-01-01,2015-12-31,ID_5,,http://regnskaber.virk.dk/10631392/ZG9rdW1lbnRsYWdlcjovLzAzL2RiLzA3LzBmLzEzLzBmNGEtNDViMS1iM2Y4LWQzOGU4ODg0OTlkZg.pdf,http://regnskaber.virk.dk/10631392/ZG9rdW1lbnRsYWdlcjovLzAzLzYwLzdiLzk1L2RhLzc5ZGUtNGU1My05MWJkLWE4NjJmYWE4N2RmZA.xml,"1304, KÃ¸benhavn K",Adelgade 15,Til kapitalejerne i Grow ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016.",2017-03-13,2017-03-13,2006-01-25,2017-03-21,39463113.0,29313601.0,39463113.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016 for Grow ApS.,Ãrsrapport,Eva Hovmand,KRESTON CM,Grow ApS,"KRESTON CM, Statsautoriseret Revisionsinteressentskab",KÃ¸benhavn,2015-01-01,2015-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2016-12-31,2016-01-01,2017-03-13,KÃ¸benhavn,RevisionspÃ¥tegning,urn:ofk:oid:23624031,indberetninger-20180424,2.5097342,29313601.0,,2018-03-28T02:19:31.299Z,2017-03-21T10:14:27.801Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AE-80-VA,2017-03-21T10:14:28.200Z,145945.0,330348.0,138363.0,183777.0,184403.0,626.0,45414.0,,,,,,,,,,,,,,,,,
29313601,2015-01-01,2015-12-31,ID_7,,http://regnskaber.virk.dk/10631392/ZG9rdW1lbnRsYWdlcjovLzAzL2RiLzA3LzBmLzEzLzBmNGEtNDViMS1iM2Y4LWQzOGU4ODg0OTlkZg.pdf,http://regnskaber.virk.dk/10631392/ZG9rdW1lbnRsYWdlcjovLzAzLzYwLzdiLzk1L2RhLzc5ZGUtNGU1My05MWJkLWE4NjJmYWE4N2RmZA.xml,"1304, KÃ¸benhavn K",Adelgade 15,Til kapitalejerne i Grow ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016.",2017-03-13,2017-03-13,2006-01-25,2017-03-21,39463113.0,29313601.0,39463113.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016 for Grow ApS.,Ãrsrapport,Eva Hovmand,KRESTON CM,Grow ApS,"KRESTON CM, Statsautoriseret Revisionsinteressentskab",KÃ¸benhavn,2015-01-01,2015-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2016-12-31,2016-01-01,2017-03-13,KÃ¸benhavn,RevisionspÃ¥tegning,urn:ofk:oid:23624031,indberetninger-20180424,2.5097342,29313601.0,,2018-03-28T02:19:31.299Z,2017-03-21T10:14:27.801Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AE-80-VA,2017-03-21T10:14:28.200Z,,,-138363.0,,,,,,,,,,,,,,,,,,,,,
29313601,2015-12-31,2015-12-31,ID_9,,http://regnskaber.virk.dk/10631392/ZG9rdW1lbnRsYWdlcjovLzAzL2RiLzA3LzBmLzEzLzBmNGEtNDViMS1iM2Y4LWQzOGU4ODg0OTlkZg.pdf,http://regnskaber.virk.dk/10631392/ZG9rdW1lbnRsYWdlcjovLzAzLzYwLzdiLzk1L2RhLzc5ZGUtNGU1My05MWJkLWE4NjJmYWE4N2RmZA.xml,"1304, KÃ¸benhavn K",Adelgade 15,Til kapitalejerne i Grow ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016.",2017-03-13,2017-03-13,2006-01-25,2017-03-21,39463113.0,29313601.0,39463113.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016 for Grow ApS.,Ãrsrapport,Eva Hovmand,KRESTON CM,Grow ApS,"KRESTON CM, Statsautoriseret Revisionsinteressentskab",KÃ¸benhavn,2015-01-01,2015-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2016-12-31,2016-01-01,2017-03-13,KÃ¸benhavn,RevisionspÃ¥tegning,urn:ofk:oid:23624031,indberetninger-20180424,2.5097342,29313601.0,,2018-03-28T02:19:31.299Z,2017-03-21T10:14:27.801Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AE-80-VA,2017-03-21T10:14:28.200Z,,,,,,,,603101.0,385575.0,125000.0,603101.0,4000.0,356788.0,603101.0,246313.0,219006.0,231788.0,0.0,246313.0,10307.0,217526.0,17000.0,204563.0,
29313601,2016-01-01,2016-12-31,ID_0,,http://regnskaber.virk.dk/10631392/ZG9rdW1lbnRsYWdlcjovLzAzL2RiLzA3LzBmLzEzLzBmNGEtNDViMS1iM2Y4LWQzOGU4ODg0OTlkZg.pdf,http://regnskaber.virk.dk/10631392/ZG9rdW1lbnRsYWdlcjovLzAzLzYwLzdiLzk1L2RhLzc5ZGUtNGU1My05MWJkLWE4NjJmYWE4N2RmZA.xml,"1304, KÃ¸benhavn K",Adelgade 15,Til kapitalejerne i Grow ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016.",2017-03-13,2017-03-13,2006-01-25,2017-03-21,39463113.0,29313601.0,39463113.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016 for Grow ApS.,Ãrsrapport,Eva Hovmand,KRESTON CM,Grow ApS,"KRESTON CM, Statsautoriseret Revisionsinteressentskab",KÃ¸benhavn,2015-01-01,2015-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2016-12-31,2016-01-01,2017-03-13,KÃ¸benhavn,RevisionspÃ¥tegning,urn:ofk:oid:23624031,indberetninger-20180424,2.5097342,29313601.0,,2018-03-28T02:19:31.299Z,2017-03-21T10:14:27.801Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AE-80-VA,2017-03-21T10:14:28.200Z,152591.0,215075.0,46981.0,60815.0,62484.0,1669.0,13834.0,,,,,,,,,,,,,,,,,
29313601,2016-01-01,2016-12-31,ID_1,,http://regnskaber.virk.dk/10631392/ZG9rdW1lbnRsYWdlcjovLzAzL2RiLzA3LzBmLzEzLzBmNGEtNDViMS1iM2Y4LWQzOGU4ODg0OTlkZg.pdf,http://regnskaber.virk.dk/10631392/ZG9rdW1lbnRsYWdlcjovLzAzLzYwLzdiLzk1L2RhLzc5ZGUtNGU1My05MWJkLWE4NjJmYWE4N2RmZA.xml,"1304, KÃ¸benhavn K",Adelgade 15,Til kapitalejerne i Grow ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016.",2017-03-13,2017-03-13,2006-01-25,2017-03-21,39463113.0,29313601.0,39463113.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016 for Grow ApS.,Ãrsrapport,Eva Hovmand,KRESTON CM,Grow ApS,"KRESTON CM, Statsautoriseret Revisionsinteressentskab",KÃ¸benhavn,2015-01-01,2015-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2016-12-31,2016-01-01,2017-03-13,KÃ¸benhavn,RevisionspÃ¥tegning,urn:ofk:oid:23624031,indberetninger-20180424,2.5097342,29313601.0,,2018-03-28T02:19:31.299Z,2017-03-21T10:14:27.801Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AE-80-VA,2017-03-21T10:14:28.200Z,,,,,,,,,,,,,,,,,,,,,,,,Eva Hovmand
29313601,2016-01-01,2016-12-31,ID_10,,http://regnskaber.virk.dk/10631392/ZG9rdW1lbnRsYWdlcjovLzAzL2RiLzA3LzBmLzEzLzBmNGEtNDViMS1iM2Y4LWQzOGU4ODg0OTlkZg.pdf,http://regnskaber.virk.dk/10631392/ZG9rdW1lbnRsYWdlcjovLzAzLzYwLzdiLzk1L2RhLzc5ZGUtNGU1My05MWJkLWE4NjJmYWE4N2RmZA.xml,"1304, KÃ¸benhavn K",Adelgade 15,Til kapitalejerne i Grow ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016.",2017-03-13,2017-03-13,2006-01-25,2017-03-21,39463113.0,29313601.0,39463113.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016 for Grow ApS.,Ãrsrapport,Eva Hovmand,KRESTON CM,Grow ApS,"KRESTON CM, Statsautoriseret Revisionsinteressentskab",KÃ¸benhavn,2015-01-01,2015-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2016-12-31,2016-01-01,2017-03-13,KÃ¸benhavn,RevisionspÃ¥tegning,urn:ofk:oid:23624031,indberetninger-20180424,2.5097342,29313601.0,,2018-03-28T02:19:31.299Z,2017-03-21T10:14:27.801Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AE-80-VA,2017-03-21T10:14:28.200Z,,,,,,,,,,,,,,,,,,,,,,,,
29313601,2016-01-01,2016-12-31,ID_2,,http://regnskaber.virk.dk/10631392/ZG9rdW1lbnRsYWdlcjovLzAzL2RiLzA3LzBmLzEzLzBmNGEtNDViMS1iM2Y4LWQzOGU4ODg0OTlkZg.pdf,http://regnskaber.virk.dk/10631392/ZG9rdW1lbnRsYWdlcjovLzAzLzYwLzdiLzk1L2RhLzc5ZGUtNGU1My05MWJkLWE4NjJmYWE4N2RmZA.xml,"1304, KÃ¸benhavn K",Adelgade 15,Til kapitalejerne i Grow ApS,1.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016.",2017-03-13,2017-03-13,2006-01-25,2017-03-21,39463113.0,29313601.0,39463113.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016 for Grow ApS.,Ãrsrapport,Eva Hovmand,KRESTON CM,Grow ApS,"KRESTON CM, Statsautoriseret Revisionsinteressentskab",KÃ¸benhavn,2015-01-01,2015-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2016-12-31,2016-01-01,2017-03-13,KÃ¸benhavn,RevisionspÃ¥tegning,urn:ofk:oid:23624031,indberetninger-20180424,2.5097342,29313601.0,,2018-03-28T02:19:31.299Z,2017-03-21T10:14:27.801Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AE-80-VA,2017-03-21T10:14:28.200Z,,,,,,,,,,,,,,,,,,,,,,,,
29313601,2016-01-01,2016-12-31,ID_4,,http://regnskaber.virk.dk/10631392/ZG9rdW1lbnRsYWdlcjovLzAzL2RiLzA3LzBmLzEzLzBmNGEtNDViMS1iM2Y4LWQzOGU4ODg0OTlkZg.pdf,http://regnskaber.virk.dk/10631392/ZG9rdW1lbnRsYWdlcjovLzAzLzYwLzdiLzk1L2RhLzc5ZGUtNGU1My05MWJkLWE4NjJmYWE4N2RmZA.xml,"1304, KÃ¸benhavn K",Adelgade 15,Til kapitalejerne i Grow ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016.",2017-03-13,2017-03-13,2006-01-25,2017-03-21,39463113.0,29313601.0,39463113.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016 for Grow ApS.,Ãrsrapport,Eva Hovmand,KRESTON CM,Grow ApS,"KRESTON CM, Statsautoriseret Revisionsinteressentskab",KÃ¸benhavn,2015-01-01,2015-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2016-12-31,2016-01-01,2017-03-13,KÃ¸benhavn,RevisionspÃ¥tegning,urn:ofk:oid:23624031,indberetninger-20180424,2.5097342,29313601.0,,2018-03-28T02:19:31.299Z,2017-03-21T10:14:27.801Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AE-80-VA,2017-03-21T10:14:28.200Z,,,,,,,,,,,,,,,,,,,,,,,,
29313601,2016-01-01,2016-12-31,ID_6,,http://regnskaber.virk.dk/10631392/ZG9rdW1lbnRsYWdlcjovLzAzL2RiLzA3LzBmLzEzLzBmNGEtNDViMS1iM2Y4LWQzOGU4ODg0OTlkZg.pdf,http://regnskaber.virk.dk/10631392/ZG9rdW1lbnRsYWdlcjovLzAzLzYwLzdiLzk1L2RhLzc5ZGUtNGU1My05MWJkLWE4NjJmYWE4N2RmZA.xml,"1304, KÃ¸benhavn K",Adelgade 15,Til kapitalejerne i Grow ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016.",2017-03-13,2017-03-13,2006-01-25,2017-03-21,39463113.0,29313601.0,39463113.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016 for Grow ApS.,Ãrsrapport,Eva Hovmand,KRESTON CM,Grow ApS,"KRESTON CM, Statsautoriseret Revisionsinteressentskab",KÃ¸benhavn,2015-01-01,2015-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2016-12-31,2016-01-01,2017-03-13,KÃ¸benhavn,RevisionspÃ¥tegning,urn:ofk:oid:23624031,indberetninger-20180424,2.5097342,29313601.0,,2018-03-28T02:19:31.299Z,2017-03-21T10:14:27.801Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AE-80-VA,2017-03-21T10:14:28.200Z,,,-46981.0,,,,,,,,,,,,,,,,,,,,,
