entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorCountry,AddressOfAuditorCountryIdentificationCode,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,AuditorsReportsOtherReports,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DescriptionOfAuditor,DisclosureOfContingentLiabilities,DisclosureOfMainActivitiesAndAccountingAndFinancialMatters,GrossProfitLoss,IdentificationNumberCvrOfReportingEntity,IdentificationNumberPnrOfAuditFirm,IncomeFromOtherLongtermInvestmentsAndReceivables,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,StatementOnOptingOutOfAuditingFinancialStatementsInNextReportingPeriodDueToExemption,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,ContributedCapital,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToAssociates,ShorttermTradePayables,IdentificationNumberCvrOfAuditFirm,NameOfAuditFirm
33493770,2014-07-01,2015-06-30,c3,http://regnskaber.virk.dk/07739433/ZG9rdW1lbnRsYWdlcjovLzAzLzBjLzNlLzFmLzMwLzY4ZTMtNDBiYi1iYWE0LTYzMmVhN2U3Mzg5NA.xhtml,http://regnskaber.virk.dk/07739433/ZG9rdW1lbnRsYWdlcjovLzAzL2ZhLzU2LzJlL2Y4LzE3MzItNDdlZi1iNzBjLWU4ZmI2NTkwMWI4ZQ.pdf,http://regnskaber.virk.dk/07739433/ZG9rdW1lbnRsYWdlcjovLzAzLzUxLzE4L2I1L2NiLzAyNTctNGVlYS05NTNkLTM0ZmE3MzVjYzU0Mw.xml,true,Danmark,DK,Hedensted,8722.0,25.0,Ãsterbrogade,Jelling,7300.0,55.0,MÃ¸lvangvej,8722 Hedensted,Ãsterbrogade 25,Til den daglige ledelse i FKR Holding ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-10-10,2016-11-28,Registreret revisor medlem af FSR Danske Revisorer,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har afgivet selvskyldnerkaution for TC Hus ApS engagement med Den Jyske Sparekasse.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets formÃ¥l er at besidde kapitalandele i TC Hus ApS og andre vÃ¦rdipapirer samt dermed beslÃ¦gtet virksomhed efter direktionens skÃ¸n.</p>",-2500.0,33493770.0,1000801855.0,42148.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Anne Marie Ottesen,Freddy Kristensen,Freddy Kristensen,FKR HOLDING ApS,AB Revision ApS,Jelling,2014-07-01,2015-06-30,39648.0,39648.0,-2500.0,2016-06-30,2015-07-01,false,false,2016-10-10,Hedensted,Generalforsamlingen har besluttet at Ã¥rsregnskabet for det kommende regnskabsÃ¥r ikke skal revideres.,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23207917,indberetninger-20180424,2.5949402000000004,33493770.0,,2018-03-29T00:47:33.863Z,2016-11-29T08:41:58.770Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BF-28-VN,2016-11-29T08:41:59.021Z,,,,,,,,,,,,,,,
33493770,2014-07-01,2015-06-30,c5,http://regnskaber.virk.dk/07739433/ZG9rdW1lbnRsYWdlcjovLzAzLzBjLzNlLzFmLzMwLzY4ZTMtNDBiYi1iYWE0LTYzMmVhN2U3Mzg5NA.xhtml,http://regnskaber.virk.dk/07739433/ZG9rdW1lbnRsYWdlcjovLzAzL2ZhLzU2LzJlL2Y4LzE3MzItNDdlZi1iNzBjLWU4ZmI2NTkwMWI4ZQ.pdf,http://regnskaber.virk.dk/07739433/ZG9rdW1lbnRsYWdlcjovLzAzLzUxLzE4L2I1L2NiLzAyNTctNGVlYS05NTNkLTM0ZmE3MzVjYzU0Mw.xml,true,Danmark,DK,Hedensted,8722.0,25.0,Ãsterbrogade,Jelling,7300.0,55.0,MÃ¸lvangvej,8722 Hedensted,Ãsterbrogade 25,Til den daglige ledelse i FKR Holding ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-10-10,2016-11-28,Registreret revisor medlem af FSR Danske Revisorer,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har afgivet selvskyldnerkaution for TC Hus ApS engagement med Den Jyske Sparekasse.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets formÃ¥l er at besidde kapitalandele i TC Hus ApS og andre vÃ¦rdipapirer samt dermed beslÃ¦gtet virksomhed efter direktionens skÃ¸n.</p>",,33493770.0,1000801855.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Anne Marie Ottesen,Freddy Kristensen,Freddy Kristensen,FKR HOLDING ApS,AB Revision ApS,Jelling,2014-07-01,2015-06-30,0.0,,,2016-06-30,2015-07-01,false,false,2016-10-10,Hedensted,Generalforsamlingen har besluttet at Ã¥rsregnskabet for det kommende regnskabsÃ¥r ikke skal revideres.,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23207917,indberetninger-20180424,2.5949402000000004,33493770.0,,2018-03-29T00:47:33.863Z,2016-11-29T08:41:58.770Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BF-28-VN,2016-11-29T08:41:59.021Z,,,,,,,,,,,,,,,
33493770,2014-07-01,2015-06-30,c7,http://regnskaber.virk.dk/07739433/ZG9rdW1lbnRsYWdlcjovLzAzLzBjLzNlLzFmLzMwLzY4ZTMtNDBiYi1iYWE0LTYzMmVhN2U3Mzg5NA.xhtml,http://regnskaber.virk.dk/07739433/ZG9rdW1lbnRsYWdlcjovLzAzL2ZhLzU2LzJlL2Y4LzE3MzItNDdlZi1iNzBjLWU4ZmI2NTkwMWI4ZQ.pdf,http://regnskaber.virk.dk/07739433/ZG9rdW1lbnRsYWdlcjovLzAzLzUxLzE4L2I1L2NiLzAyNTctNGVlYS05NTNkLTM0ZmE3MzVjYzU0Mw.xml,true,Danmark,DK,Hedensted,8722.0,25.0,Ãsterbrogade,Jelling,7300.0,55.0,MÃ¸lvangvej,8722 Hedensted,Ãsterbrogade 25,Til den daglige ledelse i FKR Holding ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-10-10,2016-11-28,Registreret revisor medlem af FSR Danske Revisorer,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har afgivet selvskyldnerkaution for TC Hus ApS engagement med Den Jyske Sparekasse.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets formÃ¥l er at besidde kapitalandele i TC Hus ApS og andre vÃ¦rdipapirer samt dermed beslÃ¦gtet virksomhed efter direktionens skÃ¸n.</p>",,33493770.0,1000801855.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Anne Marie Ottesen,Freddy Kristensen,Freddy Kristensen,FKR HOLDING ApS,AB Revision ApS,Jelling,2014-07-01,2015-06-30,39648.0,,,2016-06-30,2015-07-01,false,false,2016-10-10,Hedensted,Generalforsamlingen har besluttet at Ã¥rsregnskabet for det kommende regnskabsÃ¥r ikke skal revideres.,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23207917,indberetninger-20180424,2.5949402000000004,33493770.0,,2018-03-29T00:47:33.863Z,2016-11-29T08:41:58.770Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BF-28-VN,2016-11-29T08:41:59.021Z,,,,,,,,,,,,,,,
33493770,2015-06-30,2015-06-30,c9,http://regnskaber.virk.dk/07739433/ZG9rdW1lbnRsYWdlcjovLzAzLzBjLzNlLzFmLzMwLzY4ZTMtNDBiYi1iYWE0LTYzMmVhN2U3Mzg5NA.xhtml,http://regnskaber.virk.dk/07739433/ZG9rdW1lbnRsYWdlcjovLzAzL2ZhLzU2LzJlL2Y4LzE3MzItNDdlZi1iNzBjLWU4ZmI2NTkwMWI4ZQ.pdf,http://regnskaber.virk.dk/07739433/ZG9rdW1lbnRsYWdlcjovLzAzLzUxLzE4L2I1L2NiLzAyNTctNGVlYS05NTNkLTM0ZmE3MzVjYzU0Mw.xml,true,Danmark,DK,Hedensted,8722.0,25.0,Ãsterbrogade,Jelling,7300.0,55.0,MÃ¸lvangvej,8722 Hedensted,Ãsterbrogade 25,Til den daglige ledelse i FKR Holding ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-10-10,2016-11-28,Registreret revisor medlem af FSR Danske Revisorer,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har afgivet selvskyldnerkaution for TC Hus ApS engagement med Den Jyske Sparekasse.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets formÃ¥l er at besidde kapitalandele i TC Hus ApS og andre vÃ¦rdipapirer samt dermed beslÃ¦gtet virksomhed efter direktionens skÃ¸n.</p>",,33493770.0,1000801855.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Anne Marie Ottesen,Freddy Kristensen,Freddy Kristensen,FKR HOLDING ApS,AB Revision ApS,Jelling,2014-07-01,2015-06-30,,,,2016-06-30,2015-07-01,false,false,2016-10-10,Hedensted,Generalforsamlingen har besluttet at Ã¥rsregnskabet for det kommende regnskabsÃ¥r ikke skal revideres.,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23207917,indberetninger-20180424,2.5949402000000004,33493770.0,,2018-03-29T00:47:33.863Z,2016-11-29T08:41:58.770Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BF-28-VN,2016-11-29T08:41:59.021Z,63975.0,80000.0,49352.0,63975.0,14623.0,63975.0,63975.0,63975.0,0.0,-30648.0,14623.0,12123.0,2500.0,,
33493770,2015-07-01,2016-06-30,c0,http://regnskaber.virk.dk/07739433/ZG9rdW1lbnRsYWdlcjovLzAzLzBjLzNlLzFmLzMwLzY4ZTMtNDBiYi1iYWE0LTYzMmVhN2U3Mzg5NA.xhtml,http://regnskaber.virk.dk/07739433/ZG9rdW1lbnRsYWdlcjovLzAzL2ZhLzU2LzJlL2Y4LzE3MzItNDdlZi1iNzBjLWU4ZmI2NTkwMWI4ZQ.pdf,http://regnskaber.virk.dk/07739433/ZG9rdW1lbnRsYWdlcjovLzAzLzUxLzE4L2I1L2NiLzAyNTctNGVlYS05NTNkLTM0ZmE3MzVjYzU0Mw.xml,true,Danmark,DK,Hedensted,8722.0,25.0,Ãsterbrogade,Jelling,7300.0,55.0,MÃ¸lvangvej,8722 Hedensted,Ãsterbrogade 25,Til den daglige ledelse i FKR Holding ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-10-10,2016-11-28,Registreret revisor medlem af FSR Danske Revisorer,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har afgivet selvskyldnerkaution for TC Hus ApS engagement med Den Jyske Sparekasse.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets formÃ¥l er at besidde kapitalandele i TC Hus ApS og andre vÃ¦rdipapirer samt dermed beslÃ¦gtet virksomhed efter direktionens skÃ¸n.</p>",-2500.0,33493770.0,1000801855.0,45717.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Anne Marie Ottesen,Freddy Kristensen,Freddy Kristensen,FKR HOLDING ApS,AB Revision ApS,Jelling,2014-07-01,2015-06-30,43217.0,43217.0,-2500.0,2016-06-30,2015-07-01,false,false,2016-10-10,Hedensted,Generalforsamlingen har besluttet at Ã¥rsregnskabet for det kommende regnskabsÃ¥r ikke skal revideres.,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23207917,indberetninger-20180424,2.5949402000000004,33493770.0,,2018-03-29T00:47:33.863Z,2016-11-29T08:41:58.770Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BF-28-VN,2016-11-29T08:41:59.021Z,,,,,,,,,,,,,,,
33493770,2015-07-01,2016-06-30,c1,http://regnskaber.virk.dk/07739433/ZG9rdW1lbnRsYWdlcjovLzAzLzBjLzNlLzFmLzMwLzY4ZTMtNDBiYi1iYWE0LTYzMmVhN2U3Mzg5NA.xhtml,http://regnskaber.virk.dk/07739433/ZG9rdW1lbnRsYWdlcjovLzAzL2ZhLzU2LzJlL2Y4LzE3MzItNDdlZi1iNzBjLWU4ZmI2NTkwMWI4ZQ.pdf,http://regnskaber.virk.dk/07739433/ZG9rdW1lbnRsYWdlcjovLzAzLzUxLzE4L2I1L2NiLzAyNTctNGVlYS05NTNkLTM0ZmE3MzVjYzU0Mw.xml,true,Danmark,DK,Hedensted,8722.0,25.0,Ãsterbrogade,Jelling,7300.0,55.0,MÃ¸lvangvej,8722 Hedensted,Ãsterbrogade 25,Til den daglige ledelse i FKR Holding ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-10-10,2016-11-28,Registreret revisor medlem af FSR Danske Revisorer,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har afgivet selvskyldnerkaution for TC Hus ApS engagement med Den Jyske Sparekasse.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets formÃ¥l er at besidde kapitalandele i TC Hus ApS og andre vÃ¦rdipapirer samt dermed beslÃ¦gtet virksomhed efter direktionens skÃ¸n.</p>",,33493770.0,1000801855.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Anne Marie Ottesen,Freddy Kristensen,Freddy Kristensen,FKR HOLDING ApS,AB Revision ApS,Jelling,2014-07-01,2015-06-30,,,,2016-06-30,2015-07-01,false,false,2016-10-10,Hedensted,Generalforsamlingen har besluttet at Ã¥rsregnskabet for det kommende regnskabsÃ¥r ikke skal revideres.,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23207917,indberetninger-20180424,2.5949402000000004,33493770.0,,2018-03-29T00:47:33.863Z,2016-11-29T08:41:58.770Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BF-28-VN,2016-11-29T08:41:59.021Z,,,,,,,,,,,,,,14767134.0,AB REVISION. HEDENSTED ApS (REGISTRERET REVISORANPARTS- SELSKAB)
33493770,2015-07-01,2016-06-30,c2,http://regnskaber.virk.dk/07739433/ZG9rdW1lbnRsYWdlcjovLzAzLzBjLzNlLzFmLzMwLzY4ZTMtNDBiYi1iYWE0LTYzMmVhN2U3Mzg5NA.xhtml,http://regnskaber.virk.dk/07739433/ZG9rdW1lbnRsYWdlcjovLzAzL2ZhLzU2LzJlL2Y4LzE3MzItNDdlZi1iNzBjLWU4ZmI2NTkwMWI4ZQ.pdf,http://regnskaber.virk.dk/07739433/ZG9rdW1lbnRsYWdlcjovLzAzLzUxLzE4L2I1L2NiLzAyNTctNGVlYS05NTNkLTM0ZmE3MzVjYzU0Mw.xml,true,Danmark,DK,Hedensted,8722.0,25.0,Ãsterbrogade,Jelling,7300.0,55.0,MÃ¸lvangvej,8722 Hedensted,Ãsterbrogade 25,Til den daglige ledelse i FKR Holding ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-10-10,2016-11-28,Registreret revisor medlem af FSR Danske Revisorer,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har afgivet selvskyldnerkaution for TC Hus ApS engagement med Den Jyske Sparekasse.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets formÃ¥l er at besidde kapitalandele i TC Hus ApS og andre vÃ¦rdipapirer samt dermed beslÃ¦gtet virksomhed efter direktionens skÃ¸n.</p>",,33493770.0,1000801855.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Anne Marie Ottesen,Freddy Kristensen,Freddy Kristensen,FKR HOLDING ApS,AB Revision ApS,Jelling,2014-07-01,2015-06-30,,,,2016-06-30,2015-07-01,false,false,2016-10-10,Hedensted,Generalforsamlingen har besluttet at Ã¥rsregnskabet for det kommende regnskabsÃ¥r ikke skal revideres.,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23207917,indberetninger-20180424,2.5949402000000004,33493770.0,,2018-03-29T00:47:33.863Z,2016-11-29T08:41:58.770Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BF-28-VN,2016-11-29T08:41:59.021Z,,,,,,,,,,,,,,,
33493770,2015-07-01,2016-06-30,c4,http://regnskaber.virk.dk/07739433/ZG9rdW1lbnRsYWdlcjovLzAzLzBjLzNlLzFmLzMwLzY4ZTMtNDBiYi1iYWE0LTYzMmVhN2U3Mzg5NA.xhtml,http://regnskaber.virk.dk/07739433/ZG9rdW1lbnRsYWdlcjovLzAzL2ZhLzU2LzJlL2Y4LzE3MzItNDdlZi1iNzBjLWU4ZmI2NTkwMWI4ZQ.pdf,http://regnskaber.virk.dk/07739433/ZG9rdW1lbnRsYWdlcjovLzAzLzUxLzE4L2I1L2NiLzAyNTctNGVlYS05NTNkLTM0ZmE3MzVjYzU0Mw.xml,true,Danmark,DK,Hedensted,8722.0,25.0,Ãsterbrogade,Jelling,7300.0,55.0,MÃ¸lvangvej,8722 Hedensted,Ãsterbrogade 25,Til den daglige ledelse i FKR Holding ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-10-10,2016-11-28,Registreret revisor medlem af FSR Danske Revisorer,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har afgivet selvskyldnerkaution for TC Hus ApS engagement med Den Jyske Sparekasse.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets formÃ¥l er at besidde kapitalandele i TC Hus ApS og andre vÃ¦rdipapirer samt dermed beslÃ¦gtet virksomhed efter direktionens skÃ¸n.</p>",,33493770.0,1000801855.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Anne Marie Ottesen,Freddy Kristensen,Freddy Kristensen,FKR HOLDING ApS,AB Revision ApS,Jelling,2014-07-01,2015-06-30,31567.0,,,2016-06-30,2015-07-01,false,false,2016-10-10,Hedensted,Generalforsamlingen har besluttet at Ã¥rsregnskabet for det kommende regnskabsÃ¥r ikke skal revideres.,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23207917,indberetninger-20180424,2.5949402000000004,33493770.0,,2018-03-29T00:47:33.863Z,2016-11-29T08:41:58.770Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BF-28-VN,2016-11-29T08:41:59.021Z,,,,,,,,,,,,,,,
33493770,2015-07-01,2016-06-30,c6,http://regnskaber.virk.dk/07739433/ZG9rdW1lbnRsYWdlcjovLzAzLzBjLzNlLzFmLzMwLzY4ZTMtNDBiYi1iYWE0LTYzMmVhN2U3Mzg5NA.xhtml,http://regnskaber.virk.dk/07739433/ZG9rdW1lbnRsYWdlcjovLzAzL2ZhLzU2LzJlL2Y4LzE3MzItNDdlZi1iNzBjLWU4ZmI2NTkwMWI4ZQ.pdf,http://regnskaber.virk.dk/07739433/ZG9rdW1lbnRsYWdlcjovLzAzLzUxLzE4L2I1L2NiLzAyNTctNGVlYS05NTNkLTM0ZmE3MzVjYzU0Mw.xml,true,Danmark,DK,Hedensted,8722.0,25.0,Ãsterbrogade,Jelling,7300.0,55.0,MÃ¸lvangvej,8722 Hedensted,Ãsterbrogade 25,Til den daglige ledelse i FKR Holding ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-10-10,2016-11-28,Registreret revisor medlem af FSR Danske Revisorer,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har afgivet selvskyldnerkaution for TC Hus ApS engagement med Den Jyske Sparekasse.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets formÃ¥l er at besidde kapitalandele i TC Hus ApS og andre vÃ¦rdipapirer samt dermed beslÃ¦gtet virksomhed efter direktionens skÃ¸n.</p>",,33493770.0,1000801855.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Anne Marie Ottesen,Freddy Kristensen,Freddy Kristensen,FKR HOLDING ApS,AB Revision ApS,Jelling,2014-07-01,2015-06-30,11650.0,,,2016-06-30,2015-07-01,false,false,2016-10-10,Hedensted,Generalforsamlingen har besluttet at Ã¥rsregnskabet for det kommende regnskabsÃ¥r ikke skal revideres.,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23207917,indberetninger-20180424,2.5949402000000004,33493770.0,,2018-03-29T00:47:33.863Z,2016-11-29T08:41:58.770Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BF-28-VN,2016-11-29T08:41:59.021Z,,,,,,,,,,,,,,,
33493770,2016-06-30,2016-06-30,c8,http://regnskaber.virk.dk/07739433/ZG9rdW1lbnRsYWdlcjovLzAzLzBjLzNlLzFmLzMwLzY4ZTMtNDBiYi1iYWE0LTYzMmVhN2U3Mzg5NA.xhtml,http://regnskaber.virk.dk/07739433/ZG9rdW1lbnRsYWdlcjovLzAzL2ZhLzU2LzJlL2Y4LzE3MzItNDdlZi1iNzBjLWU4ZmI2NTkwMWI4ZQ.pdf,http://regnskaber.virk.dk/07739433/ZG9rdW1lbnRsYWdlcjovLzAzLzUxLzE4L2I1L2NiLzAyNTctNGVlYS05NTNkLTM0ZmE3MzVjYzU0Mw.xml,true,Danmark,DK,Hedensted,8722.0,25.0,Ãsterbrogade,Jelling,7300.0,55.0,MÃ¸lvangvej,8722 Hedensted,Ãsterbrogade 25,Til den daglige ledelse i FKR Holding ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-10-10,2016-11-28,Registreret revisor medlem af FSR Danske Revisorer,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har afgivet selvskyldnerkaution for TC Hus ApS engagement med Den Jyske Sparekasse.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets formÃ¥l er at besidde kapitalandele i TC Hus ApS og andre vÃ¦rdipapirer samt dermed beslÃ¦gtet virksomhed efter direktionens skÃ¸n.</p>",,33493770.0,1000801855.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Anne Marie Ottesen,Freddy Kristensen,Freddy Kristensen,FKR HOLDING ApS,AB Revision ApS,Jelling,2014-07-01,2015-06-30,,,,2016-06-30,2015-07-01,false,false,2016-10-10,Hedensted,Generalforsamlingen har besluttet at Ã¥rsregnskabet for det kommende regnskabsÃ¥r ikke skal revideres.,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23207917,indberetninger-20180424,2.5949402000000004,33493770.0,,2018-03-29T00:47:33.863Z,2016-11-29T08:41:58.770Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BF-28-VN,2016-11-29T08:41:59.021Z,109692.0,80000.0,92569.0,109692.0,17123.0,109692.0,109692.0,109692.0,31567.0,-18998.0,17123.0,14623.0,2500.0,,
