entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccumulatedRevaluationOfPropertyPlantAndEquipment,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfGeneralMeeting,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,NumberOfIssuedShares,PlaceOfSignatureOfStatement,ProfitLoss,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,RevaluationsOfPropertyPlantAndEquipment,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,AdjustmentsForDeferredTax,CostOfSales,CurrentTaxExpense,GainsLossesFromCurrentValueAdjustmentsOfFinancialInstrumentsFinanceExpenses,GainsLossesFromCurrentValueAdjustmentsOfInvestmentProperty,InterestExpenseAssignedToGroupEnterprises,OtherAdjustmentsOfFinanceExpenses,OtherExternalExpenses,OtherFinanceExpenses,ProfitLossFromOrdinaryActivitiesBeforeTax,Revenue,TaxExpenseOnOrdinaryActivities,NominalValueOfIssuedShares,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,Equity,LandAndBuildings,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermLiabilitiesOtherThanProvisions,LongtermMortgageDebt,LongtermPayablesToGroupEnterprises,NoncurrentAssets,OtherLongtermPayables,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,PropertyPlantAndEquipmentInProgress,Provisions,ProvisionsForDeferredTax,RetainedEarnings,SharePremium,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxReceivables,PropertyPlantAndEquipmentGross,DescriptionOfAuditor,NameAndSurnameOfAuditor,AdditionsToPropertyPlantAndEquipment,IncreaseDecreaseOfPropertyPlantAndEquipmentThroughTransfers,IncreaseOfCapital,LongtermLiabilitiesOtherThanProvisionsDueAfterFiveYearsAndMore,LongtermLiabilitiesOtherThanProvisionsDueBetweenOneAndFiveYears,LongtermLiabilitiesOtherThanProvisionsDueInOneYear,DescriptionOfClassOfIssuedShares
35866485,2014-06-02,2014-12-31,c195,,http://regnskaber.virk.dk/58466853/ZG9rdW1lbnRsYWdlcjovLzAzLzM0L2JmLzk4LzlkLzE3ZDMtNGZlOS04ZjE4LTg4NjA2OGM0ZTI1Yw.pdf,http://regnskaber.virk.dk/58466853/ZG9rdW1lbnRsYWdlcjovLzAzLzc4LzVjLzMyLzAwL2Q4MTctNDRkOC05NTBlLTMwM2ZlZDU0NDg2OA.xml,0.0,Frederiksberg,2000.0,4.0,Osvald Helmuths Vej,KÃ¸benhavn V,1620.0,"15, 2.",Vesterbrogade,"Postboks 250, 2000 Frederiksberg",Osvald Helmuths Vej 4,Regnskabsklasse B,2016-04-28,2016-04-28,2016-04-28,35866485.0,30700228.0,Ãrsrapport,Erez Karti,Erez Karti,DSPA4 ApS,Ernst & Young Godkendt Revisionspartnerselskab,2000000.0,"KÃ¸benhavn, den",-148724.0,KÃ¸benhavn,2015-12-31,2015-01-01,9245135.0,2016-04-28,"KÃ¸benhavn, den",RevisionspÃ¥tegning,urn:ofk:oid:22494061,indberetninger-20180424,2.5124277999999998,35866485.0,,2018-03-29T08:22:55.175Z,2016-05-30T16:24:11.337Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AX-21-LT,2016-05-30T16:24:12.008Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35866485,2014-06-02,2014-12-31,c4,,http://regnskaber.virk.dk/58466853/ZG9rdW1lbnRsYWdlcjovLzAzLzM0L2JmLzk4LzlkLzE3ZDMtNGZlOS04ZjE4LTg4NjA2OGM0ZTI1Yw.pdf,http://regnskaber.virk.dk/58466853/ZG9rdW1lbnRsYWdlcjovLzAzLzc4LzVjLzMyLzAwL2Q4MTctNDRkOC05NTBlLTMwM2ZlZDU0NDg2OA.xml,0.0,Frederiksberg,2000.0,4.0,Osvald Helmuths Vej,KÃ¸benhavn V,1620.0,"15, 2.",Vesterbrogade,"Postboks 250, 2000 Frederiksberg",Osvald Helmuths Vej 4,Regnskabsklasse B,2016-04-28,2016-04-28,2016-04-28,35866485.0,30700228.0,Ãrsrapport,Erez Karti,Erez Karti,DSPA4 ApS,Ernst & Young Godkendt Revisionspartnerselskab,2000000.0,"KÃ¸benhavn, den",-148724.0,KÃ¸benhavn,2015-12-31,2015-01-01,9245135.0,2016-04-28,"KÃ¸benhavn, den",RevisionspÃ¥tegning,urn:ofk:oid:22494061,indberetninger-20180424,2.5124277999999998,35866485.0,,2018-03-29T08:22:55.175Z,2016-05-30T16:24:11.337Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AX-21-LT,2016-05-30T16:24:12.008Z,-41948.0,0.0,0.0,0.0,0.0,3150.0,0.0,187522.0,3150.0,-190672.0,0.0,-41948.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35866485,2014-12-31,2014-12-31,c1294,,http://regnskaber.virk.dk/58466853/ZG9rdW1lbnRsYWdlcjovLzAzLzM0L2JmLzk4LzlkLzE3ZDMtNGZlOS04ZjE4LTg4NjA2OGM0ZTI1Yw.pdf,http://regnskaber.virk.dk/58466853/ZG9rdW1lbnRsYWdlcjovLzAzLzc4LzVjLzMyLzAwL2Q4MTctNDRkOC05NTBlLTMwM2ZlZDU0NDg2OA.xml,0.0,Frederiksberg,2000.0,4.0,Osvald Helmuths Vej,KÃ¸benhavn V,1620.0,"15, 2.",Vesterbrogade,"Postboks 250, 2000 Frederiksberg",Osvald Helmuths Vej 4,Regnskabsklasse B,2016-04-28,2016-04-28,2016-04-28,35866485.0,30700228.0,Ãrsrapport,Erez Karti,Erez Karti,DSPA4 ApS,Ernst & Young Godkendt Revisionspartnerselskab,2000000.0,"KÃ¸benhavn, den",,KÃ¸benhavn,2015-12-31,2015-01-01,9245135.0,2016-04-28,"KÃ¸benhavn, den",RevisionspÃ¥tegning,urn:ofk:oid:22494061,indberetninger-20180424,2.5124277999999998,35866485.0,,2018-03-29T08:22:55.175Z,2016-05-30T16:24:11.337Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AX-21-LT,2016-05-30T16:24:12.008Z,,,,,,,,,,,,,80000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35866485,2014-12-31,2014-12-31,c5,,http://regnskaber.virk.dk/58466853/ZG9rdW1lbnRsYWdlcjovLzAzLzM0L2JmLzk4LzlkLzE3ZDMtNGZlOS04ZjE4LTg4NjA2OGM0ZTI1Yw.pdf,http://regnskaber.virk.dk/58466853/ZG9rdW1lbnRsYWdlcjovLzAzLzc4LzVjLzMyLzAwL2Q4MTctNDRkOC05NTBlLTMwM2ZlZDU0NDg2OA.xml,0.0,Frederiksberg,2000.0,4.0,Osvald Helmuths Vej,KÃ¸benhavn V,1620.0,"15, 2.",Vesterbrogade,"Postboks 250, 2000 Frederiksberg",Osvald Helmuths Vej 4,Regnskabsklasse B,2016-04-28,2016-04-28,2016-04-28,35866485.0,30700228.0,Ãrsrapport,Erez Karti,Erez Karti,DSPA4 ApS,Ernst & Young Godkendt Revisionspartnerselskab,2000000.0,"KÃ¸benhavn, den",,KÃ¸benhavn,2015-12-31,2015-01-01,9245135.0,2016-04-28,"KÃ¸benhavn, den",RevisionspÃ¥tegning,urn:ofk:oid:22494061,indberetninger-20180424,2.5124277999999998,35866485.0,,2018-03-29T08:22:55.175Z,2016-05-30T16:24:11.337Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AX-21-LT,2016-05-30T16:24:12.008Z,,,,,,,,,,,,,,1783065.0,0.0,80000.0,260470.0,41948.0,-68724.0,0.0,1783065.0,1851789.0,0.0,0.0,0.0,1522595.0,0.0,615020.0,218522.0,1522595.0,1522595.0,0.0,0.0,-148724.0,0.0,1851789.0,1236769.0,260470.0,0.0,0.0,,,,,,,,,,
35866485,2015-01-01,2015-01-01,c217,,http://regnskaber.virk.dk/58466853/ZG9rdW1lbnRsYWdlcjovLzAzLzM0L2JmLzk4LzlkLzE3ZDMtNGZlOS04ZjE4LTg4NjA2OGM0ZTI1Yw.pdf,http://regnskaber.virk.dk/58466853/ZG9rdW1lbnRsYWdlcjovLzAzLzc4LzVjLzMyLzAwL2Q4MTctNDRkOC05NTBlLTMwM2ZlZDU0NDg2OA.xml,0.0,Frederiksberg,2000.0,4.0,Osvald Helmuths Vej,KÃ¸benhavn V,1620.0,"15, 2.",Vesterbrogade,"Postboks 250, 2000 Frederiksberg",Osvald Helmuths Vej 4,Regnskabsklasse B,2016-04-28,2016-04-28,2016-04-28,35866485.0,30700228.0,Ãrsrapport,Erez Karti,Erez Karti,DSPA4 ApS,Ernst & Young Godkendt Revisionspartnerselskab,2000000.0,"KÃ¸benhavn, den",,KÃ¸benhavn,2015-12-31,2015-01-01,9245135.0,2016-04-28,"KÃ¸benhavn, den",RevisionspÃ¥tegning,urn:ofk:oid:22494061,indberetninger-20180424,2.5124277999999998,35866485.0,,2018-03-29T08:22:55.175Z,2016-05-30T16:24:11.337Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AX-21-LT,2016-05-30T16:24:12.008Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
35866485,2015-01-01,2015-01-01,c246,,http://regnskaber.virk.dk/58466853/ZG9rdW1lbnRsYWdlcjovLzAzLzM0L2JmLzk4LzlkLzE3ZDMtNGZlOS04ZjE4LTg4NjA2OGM0ZTI1Yw.pdf,http://regnskaber.virk.dk/58466853/ZG9rdW1lbnRsYWdlcjovLzAzLzc4LzVjLzMyLzAwL2Q4MTctNDRkOC05NTBlLTMwM2ZlZDU0NDg2OA.xml,0.0,Frederiksberg,2000.0,4.0,Osvald Helmuths Vej,KÃ¸benhavn V,1620.0,"15, 2.",Vesterbrogade,"Postboks 250, 2000 Frederiksberg",Osvald Helmuths Vej 4,Regnskabsklasse B,2016-04-28,2016-04-28,2016-04-28,35866485.0,30700228.0,Ãrsrapport,Erez Karti,Erez Karti,DSPA4 ApS,Ernst & Young Godkendt Revisionspartnerselskab,2000000.0,"KÃ¸benhavn, den",,KÃ¸benhavn,2015-12-31,2015-01-01,9245135.0,2016-04-28,"KÃ¸benhavn, den",RevisionspÃ¥tegning,urn:ofk:oid:22494061,indberetninger-20180424,2.5124277999999998,35866485.0,,2018-03-29T08:22:55.175Z,2016-05-30T16:24:11.337Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AX-21-LT,2016-05-30T16:24:12.008Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1522595.0,,,,,,,,,
35866485,2015-01-01,2015-01-01,c312,,http://regnskaber.virk.dk/58466853/ZG9rdW1lbnRsYWdlcjovLzAzLzM0L2JmLzk4LzlkLzE3ZDMtNGZlOS04ZjE4LTg4NjA2OGM0ZTI1Yw.pdf,http://regnskaber.virk.dk/58466853/ZG9rdW1lbnRsYWdlcjovLzAzLzc4LzVjLzMyLzAwL2Q4MTctNDRkOC05NTBlLTMwM2ZlZDU0NDg2OA.xml,0.0,Frederiksberg,2000.0,4.0,Osvald Helmuths Vej,KÃ¸benhavn V,1620.0,"15, 2.",Vesterbrogade,"Postboks 250, 2000 Frederiksberg",Osvald Helmuths Vej 4,Regnskabsklasse B,2016-04-28,2016-04-28,2016-04-28,35866485.0,30700228.0,Ãrsrapport,Erez Karti,Erez Karti,DSPA4 ApS,Ernst & Young Godkendt Revisionspartnerselskab,2000000.0,"KÃ¸benhavn, den",,KÃ¸benhavn,2015-12-31,2015-01-01,9245135.0,2016-04-28,"KÃ¸benhavn, den",RevisionspÃ¥tegning,urn:ofk:oid:22494061,indberetninger-20180424,2.5124277999999998,35866485.0,,2018-03-29T08:22:55.175Z,2016-05-30T16:24:11.337Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AX-21-LT,2016-05-30T16:24:12.008Z,,,,,,,,,,,,,,,,,,,80000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35866485,2015-01-01,2015-01-01,c321,,http://regnskaber.virk.dk/58466853/ZG9rdW1lbnRsYWdlcjovLzAzLzM0L2JmLzk4LzlkLzE3ZDMtNGZlOS04ZjE4LTg4NjA2OGM0ZTI1Yw.pdf,http://regnskaber.virk.dk/58466853/ZG9rdW1lbnRsYWdlcjovLzAzLzc4LzVjLzMyLzAwL2Q4MTctNDRkOC05NTBlLTMwM2ZlZDU0NDg2OA.xml,0.0,Frederiksberg,2000.0,4.0,Osvald Helmuths Vej,KÃ¸benhavn V,1620.0,"15, 2.",Vesterbrogade,"Postboks 250, 2000 Frederiksberg",Osvald Helmuths Vej 4,Regnskabsklasse B,2016-04-28,2016-04-28,2016-04-28,35866485.0,30700228.0,Ãrsrapport,Erez Karti,Erez Karti,DSPA4 ApS,Ernst & Young Godkendt Revisionspartnerselskab,2000000.0,"KÃ¸benhavn, den",,KÃ¸benhavn,2015-12-31,2015-01-01,9245135.0,2016-04-28,"KÃ¸benhavn, den",RevisionspÃ¥tegning,urn:ofk:oid:22494061,indberetninger-20180424,2.5124277999999998,35866485.0,,2018-03-29T08:22:55.175Z,2016-05-30T16:24:11.337Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AX-21-LT,2016-05-30T16:24:12.008Z,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35866485,2015-01-01,2015-01-01,c351,,http://regnskaber.virk.dk/58466853/ZG9rdW1lbnRsYWdlcjovLzAzLzM0L2JmLzk4LzlkLzE3ZDMtNGZlOS04ZjE4LTg4NjA2OGM0ZTI1Yw.pdf,http://regnskaber.virk.dk/58466853/ZG9rdW1lbnRsYWdlcjovLzAzLzc4LzVjLzMyLzAwL2Q4MTctNDRkOC05NTBlLTMwM2ZlZDU0NDg2OA.xml,0.0,Frederiksberg,2000.0,4.0,Osvald Helmuths Vej,KÃ¸benhavn V,1620.0,"15, 2.",Vesterbrogade,"Postboks 250, 2000 Frederiksberg",Osvald Helmuths Vej 4,Regnskabsklasse B,2016-04-28,2016-04-28,2016-04-28,35866485.0,30700228.0,Ãrsrapport,Erez Karti,Erez Karti,DSPA4 ApS,Ernst & Young Godkendt Revisionspartnerselskab,2000000.0,"KÃ¸benhavn, den",,KÃ¸benhavn,2015-12-31,2015-01-01,9245135.0,2016-04-28,"KÃ¸benhavn, den",RevisionspÃ¥tegning,urn:ofk:oid:22494061,indberetninger-20180424,2.5124277999999998,35866485.0,,2018-03-29T08:22:55.175Z,2016-05-30T16:24:11.337Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AX-21-LT,2016-05-30T16:24:12.008Z,,,,,,,,,,,,,,,,,,,-148724.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35866485,2015-01-01,2015-01-01,c393,,http://regnskaber.virk.dk/58466853/ZG9rdW1lbnRsYWdlcjovLzAzLzM0L2JmLzk4LzlkLzE3ZDMtNGZlOS04ZjE4LTg4NjA2OGM0ZTI1Yw.pdf,http://regnskaber.virk.dk/58466853/ZG9rdW1lbnRsYWdlcjovLzAzLzc4LzVjLzMyLzAwL2Q4MTctNDRkOC05NTBlLTMwM2ZlZDU0NDg2OA.xml,0.0,Frederiksberg,2000.0,4.0,Osvald Helmuths Vej,KÃ¸benhavn V,1620.0,"15, 2.",Vesterbrogade,"Postboks 250, 2000 Frederiksberg",Osvald Helmuths Vej 4,Regnskabsklasse B,2016-04-28,2016-04-28,2016-04-28,35866485.0,30700228.0,Ãrsrapport,Erez Karti,Erez Karti,DSPA4 ApS,Ernst & Young Godkendt Revisionspartnerselskab,2000000.0,"KÃ¸benhavn, den",,KÃ¸benhavn,2015-12-31,2015-01-01,9245135.0,2016-04-28,"KÃ¸benhavn, den",RevisionspÃ¥tegning,urn:ofk:oid:22494061,indberetninger-20180424,2.5124277999999998,35866485.0,,2018-03-29T08:22:55.175Z,2016-05-30T16:24:11.337Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AX-21-LT,2016-05-30T16:24:12.008Z,,,,,,,,,,,,,,,,,,,80000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
