entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AdministrativeExpenses,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,ExtraordinaryIncome,ExtraordinaryProfitLossBeforeTax,GrossResult,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,LongtermDebtToBanks,LongtermInvestmentsAndReceivables,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherLongtermPayables,OtherLongtermReceivables,OtherOperatingExpenses,OtherShorttermReceivables,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,ShorttermDebtToBanks,ShorttermDeferredIncome,ShorttermPayablesToGroupEnterprises,ShorttermPayablesToShareholdersAndManagement,ShorttermPrepaymentsReceivedFromCustomers,ShorttermTaxReceivables,TelephoneNumberOfReportingEntity,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,FixturesFittingsToolsAndEquipment,Inventories,LandAndBuildings,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermLiabilitiesOtherThanProvisions,LongtermMortgageDebt,NoncurrentAssets,OtherReserves,OtherShorttermPayables,PropertyPlantAndEquipment,RawMaterialsAndConsumables,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTradePayables,ShorttermTradeReceivables,NameAndSurnameOfMemberOfSupervisoryBoard,TitleOfMemberOfSupervisoryBoard
28152264,2013-01-01,2013-12-31,c5,http://regnskaber.virk.dk/46225182/ZG9rdW1lbnRsYWdlcjovLzAzL2I3LzM0L2E1LzZmLzM3ODctNGQ3ZC04MzMzLTZjY2YzNjQ4MzIwYg.xhtml,http://regnskaber.virk.dk/46225182/ZG9rdW1lbnRsYWdlcjovLzAzL2NlLzQwLzlhLzg3LzYyOTgtNGVlOC1hYjBjLWJiZmE1YTJhYTQzNA.pdf,http://regnskaber.virk.dk/46225182/ZG9rdW1lbnRsYWdlcjovLzAzLzYwLzViL2IzLzdmLzMzOTktNDBkNi04NWNhLTc4NDA5ZWJlMTU3OA.xml,Vejen,6600.0,29.0,Baslund,6800 Varde,Navervej 33,61739.0,Regnskabsklasse B,2015-05-21,2015-05-21,166510.0,33602.0,340886.0,28152264.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,32951.0,11400.0,Mickael Langager,Mikael Langager,WARWIK BRYGHUS ApS,"Revisor Sven Ankerstjerne, Lone Nielsen",35024.0,-8000.0,11400.0,210521.0,171073.0,Varde,2013-01-01,2013-12-31,33602.0,33602.0,68626.0,2014-12-31,2014-01-01,315522.0,58517.0,95650.0,191927.0,500.0,2129.0,75364411.0,direktÃ¸r,Ingen bistand,urn:ofk:oid:5283220,indberetninger-20180424,2.595548,28152264.0,,2018-03-30T14:44:04.242Z,2015-05-22T08:28:15.607Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AC-07-KY,2015-05-22T08:28:15.767Z,,,,,,,,,,,,,,,,,,,,,,,,
28152264,2013-01-01,2013-12-31,c7,http://regnskaber.virk.dk/46225182/ZG9rdW1lbnRsYWdlcjovLzAzL2I3LzM0L2E1LzZmLzM3ODctNGQ3ZC04MzMzLTZjY2YzNjQ4MzIwYg.xhtml,http://regnskaber.virk.dk/46225182/ZG9rdW1lbnRsYWdlcjovLzAzL2NlLzQwLzlhLzg3LzYyOTgtNGVlOC1hYjBjLWJiZmE1YTJhYTQzNA.pdf,http://regnskaber.virk.dk/46225182/ZG9rdW1lbnRsYWdlcjovLzAzLzYwLzViL2IzLzdmLzMzOTktNDBkNi04NWNhLTc4NDA5ZWJlMTU3OA.xml,Vejen,6600.0,29.0,Baslund,6800 Varde,Navervej 33,,Regnskabsklasse B,2015-05-21,2015-05-21,166510.0,,,28152264.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,32951.0,11400.0,Mickael Langager,Mikael Langager,WARWIK BRYGHUS ApS,"Revisor Sven Ankerstjerne, Lone Nielsen",,-8000.0,11400.0,,171073.0,Varde,2013-01-01,2013-12-31,33602.0,,,2014-12-31,2014-01-01,315522.0,58517.0,95650.0,191927.0,500.0,2129.0,75364411.0,direktÃ¸r,Ingen bistand,urn:ofk:oid:5283220,indberetninger-20180424,2.595548,28152264.0,,2018-03-30T14:44:04.242Z,2015-05-22T08:28:15.607Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AC-07-KY,2015-05-22T08:28:15.767Z,,,,,,,,,,,,,,,,,,,,,,,,
28152264,2013-12-31,2013-12-31,c9,http://regnskaber.virk.dk/46225182/ZG9rdW1lbnRsYWdlcjovLzAzL2I3LzM0L2E1LzZmLzM3ODctNGQ3ZC04MzMzLTZjY2YzNjQ4MzIwYg.xhtml,http://regnskaber.virk.dk/46225182/ZG9rdW1lbnRsYWdlcjovLzAzL2NlLzQwLzlhLzg3LzYyOTgtNGVlOC1hYjBjLWJiZmE1YTJhYTQzNA.pdf,http://regnskaber.virk.dk/46225182/ZG9rdW1lbnRsYWdlcjovLzAzLzYwLzViL2IzLzdmLzMzOTktNDBkNi04NWNhLTc4NDA5ZWJlMTU3OA.xml,Vejen,6600.0,29.0,Baslund,6800 Varde,Navervej 33,,Regnskabsklasse B,2015-05-21,2015-05-21,166510.0,,,28152264.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,32951.0,11400.0,Mickael Langager,Mikael Langager,WARWIK BRYGHUS ApS,"Revisor Sven Ankerstjerne, Lone Nielsen",,-8000.0,11400.0,,171073.0,Varde,2013-01-01,2013-12-31,,,,2014-12-31,2014-01-01,315522.0,58517.0,95650.0,191927.0,500.0,2129.0,75364411.0,direktÃ¸r,Ingen bistand,urn:ofk:oid:5283220,indberetninger-20180424,2.595548,28152264.0,,2018-03-30T14:44:04.242Z,2015-05-22T08:28:15.607Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AC-07-KY,2015-05-22T08:28:15.767Z,1449091.0,3805.0,518000.0,444878.0,941793.0,805266.0,270000.0,198947.0,1449091.0,507298.0,125894.0,92943.0,1004213.0,483750.0,18905.0,1004213.0,270000.0,-59957.0,381404.0,171073.0,46977.0,0.0,,
28152264,2014-01-01,2014-12-31,c0,http://regnskaber.virk.dk/46225182/ZG9rdW1lbnRsYWdlcjovLzAzL2I3LzM0L2E1LzZmLzM3ODctNGQ3ZC04MzMzLTZjY2YzNjQ4MzIwYg.xhtml,http://regnskaber.virk.dk/46225182/ZG9rdW1lbnRsYWdlcjovLzAzL2NlLzQwLzlhLzg3LzYyOTgtNGVlOC1hYjBjLWJiZmE1YTJhYTQzNA.pdf,http://regnskaber.virk.dk/46225182/ZG9rdW1lbnRsYWdlcjovLzAzLzYwLzViL2IzLzdmLzMzOTktNDBkNi04NWNhLTc4NDA5ZWJlMTU3OA.xml,Vejen,6600.0,29.0,Baslund,6800 Varde,Navervej 33,44000.0,Regnskabsklasse B,2015-05-21,2015-05-21,166510.0,-28228.0,108315.0,28152264.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,32951.0,11400.0,Mickael Langager,Mikael Langager,WARWIK BRYGHUS ApS,"Revisor Sven Ankerstjerne, Lone Nielsen",33438.0,-8000.0,11400.0,225615.0,171073.0,Varde,2013-01-01,2013-12-31,-28228.0,-194738.0,-161300.0,2014-12-31,2014-01-01,315522.0,58517.0,95650.0,191927.0,500.0,2129.0,75364411.0,direktÃ¸r,Ingen bistand,urn:ofk:oid:5283220,indberetninger-20180424,2.595548,28152264.0,,2018-03-30T14:44:04.242Z,2015-05-22T08:28:15.607Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AC-07-KY,2015-05-22T08:28:15.767Z,,,,,,,,,,,,,,,,,,,,,,,,
28152264,2014-01-01,2014-12-31,c1,http://regnskaber.virk.dk/46225182/ZG9rdW1lbnRsYWdlcjovLzAzL2I3LzM0L2E1LzZmLzM3ODctNGQ3ZC04MzMzLTZjY2YzNjQ4MzIwYg.xhtml,http://regnskaber.virk.dk/46225182/ZG9rdW1lbnRsYWdlcjovLzAzL2NlLzQwLzlhLzg3LzYyOTgtNGVlOC1hYjBjLWJiZmE1YTJhYTQzNA.pdf,http://regnskaber.virk.dk/46225182/ZG9rdW1lbnRsYWdlcjovLzAzLzYwLzViL2IzLzdmLzMzOTktNDBkNi04NWNhLTc4NDA5ZWJlMTU3OA.xml,Vejen,6600.0,29.0,Baslund,6800 Varde,Navervej 33,,Regnskabsklasse B,2015-05-21,2015-05-21,166510.0,,,28152264.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,32951.0,11400.0,Mickael Langager,Mikael Langager,WARWIK BRYGHUS ApS,"Revisor Sven Ankerstjerne, Lone Nielsen",,-8000.0,11400.0,,171073.0,Varde,2013-01-01,2013-12-31,,,,2014-12-31,2014-01-01,315522.0,58517.0,95650.0,191927.0,500.0,2129.0,75364411.0,direktÃ¸r,Ingen bistand,urn:ofk:oid:5283220,indberetninger-20180424,2.595548,28152264.0,,2018-03-30T14:44:04.242Z,2015-05-22T08:28:15.607Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AC-07-KY,2015-05-22T08:28:15.767Z,,,,,,,,,,,,,,,,,,,,,,,,
28152264,2014-01-01,2014-12-31,c2,http://regnskaber.virk.dk/46225182/ZG9rdW1lbnRsYWdlcjovLzAzL2I3LzM0L2E1LzZmLzM3ODctNGQ3ZC04MzMzLTZjY2YzNjQ4MzIwYg.xhtml,http://regnskaber.virk.dk/46225182/ZG9rdW1lbnRsYWdlcjovLzAzL2NlLzQwLzlhLzg3LzYyOTgtNGVlOC1hYjBjLWJiZmE1YTJhYTQzNA.pdf,http://regnskaber.virk.dk/46225182/ZG9rdW1lbnRsYWdlcjovLzAzLzYwLzViL2IzLzdmLzMzOTktNDBkNi04NWNhLTc4NDA5ZWJlMTU3OA.xml,Vejen,6600.0,29.0,Baslund,6800 Varde,Navervej 33,,Regnskabsklasse B,2015-05-21,2015-05-21,166510.0,,,28152264.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,32951.0,11400.0,Mickael Langager,Mikael Langager,WARWIK BRYGHUS ApS,"Revisor Sven Ankerstjerne, Lone Nielsen",,-8000.0,11400.0,,171073.0,Varde,2013-01-01,2013-12-31,,,,2014-12-31,2014-01-01,315522.0,58517.0,95650.0,191927.0,500.0,2129.0,75364411.0,direktÃ¸r,Ingen bistand,urn:ofk:oid:5283220,indberetninger-20180424,2.595548,28152264.0,,2018-03-30T14:44:04.242Z,2015-05-22T08:28:15.607Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AC-07-KY,2015-05-22T08:28:15.767Z,,,,,,,,,,,,,,,,,,,,,,,Mikael Chen Langager,direktÃ¸r
28152264,2014-01-01,2014-12-31,c3,http://regnskaber.virk.dk/46225182/ZG9rdW1lbnRsYWdlcjovLzAzL2I3LzM0L2E1LzZmLzM3ODctNGQ3ZC04MzMzLTZjY2YzNjQ4MzIwYg.xhtml,http://regnskaber.virk.dk/46225182/ZG9rdW1lbnRsYWdlcjovLzAzL2NlLzQwLzlhLzg3LzYyOTgtNGVlOC1hYjBjLWJiZmE1YTJhYTQzNA.pdf,http://regnskaber.virk.dk/46225182/ZG9rdW1lbnRsYWdlcjovLzAzLzYwLzViL2IzLzdmLzMzOTktNDBkNi04NWNhLTc4NDA5ZWJlMTU3OA.xml,Vejen,6600.0,29.0,Baslund,6800 Varde,Navervej 33,,Regnskabsklasse B,2015-05-21,2015-05-21,166510.0,,,28152264.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,32951.0,11400.0,Mickael Langager,Mikael Langager,WARWIK BRYGHUS ApS,"Revisor Sven Ankerstjerne, Lone Nielsen",,-8000.0,11400.0,,171073.0,Varde,2013-01-01,2013-12-31,,,,2014-12-31,2014-01-01,315522.0,58517.0,95650.0,191927.0,500.0,2129.0,75364411.0,direktÃ¸r,Ingen bistand,urn:ofk:oid:5283220,indberetninger-20180424,2.595548,28152264.0,,2018-03-30T14:44:04.242Z,2015-05-22T08:28:15.607Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AC-07-KY,2015-05-22T08:28:15.767Z,,,,,,,,,,,,,,,,,,,,,,,Alex Frederiksen,formand
28152264,2014-01-01,2014-12-31,c4,http://regnskaber.virk.dk/46225182/ZG9rdW1lbnRsYWdlcjovLzAzL2I3LzM0L2E1LzZmLzM3ODctNGQ3ZC04MzMzLTZjY2YzNjQ4MzIwYg.xhtml,http://regnskaber.virk.dk/46225182/ZG9rdW1lbnRsYWdlcjovLzAzL2NlLzQwLzlhLzg3LzYyOTgtNGVlOC1hYjBjLWJiZmE1YTJhYTQzNA.pdf,http://regnskaber.virk.dk/46225182/ZG9rdW1lbnRsYWdlcjovLzAzLzYwLzViL2IzLzdmLzMzOTktNDBkNi04NWNhLTc4NDA5ZWJlMTU3OA.xml,Vejen,6600.0,29.0,Baslund,6800 Varde,Navervej 33,,Regnskabsklasse B,2015-05-21,2015-05-21,166510.0,,,28152264.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,32951.0,11400.0,Mickael Langager,Mikael Langager,WARWIK BRYGHUS ApS,"Revisor Sven Ankerstjerne, Lone Nielsen",,-8000.0,11400.0,,171073.0,Varde,2013-01-01,2013-12-31,,,,2014-12-31,2014-01-01,315522.0,58517.0,95650.0,191927.0,500.0,2129.0,75364411.0,direktÃ¸r,Ingen bistand,urn:ofk:oid:5283220,indberetninger-20180424,2.595548,28152264.0,,2018-03-30T14:44:04.242Z,2015-05-22T08:28:15.607Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AC-07-KY,2015-05-22T08:28:15.767Z,,,,,,,,,,,,,,,,,,,,,,,Lene Kielsen,bogholder
28152264,2014-01-01,2014-12-31,c6,http://regnskaber.virk.dk/46225182/ZG9rdW1lbnRsYWdlcjovLzAzL2I3LzM0L2E1LzZmLzM3ODctNGQ3ZC04MzMzLTZjY2YzNjQ4MzIwYg.xhtml,http://regnskaber.virk.dk/46225182/ZG9rdW1lbnRsYWdlcjovLzAzL2NlLzQwLzlhLzg3LzYyOTgtNGVlOC1hYjBjLWJiZmE1YTJhYTQzNA.pdf,http://regnskaber.virk.dk/46225182/ZG9rdW1lbnRsYWdlcjovLzAzLzYwLzViL2IzLzdmLzMzOTktNDBkNi04NWNhLTc4NDA5ZWJlMTU3OA.xml,Vejen,6600.0,29.0,Baslund,6800 Varde,Navervej 33,,Regnskabsklasse B,2015-05-21,2015-05-21,166510.0,,,28152264.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,32951.0,11400.0,Mickael Langager,Mikael Langager,WARWIK BRYGHUS ApS,"Revisor Sven Ankerstjerne, Lone Nielsen",,-8000.0,11400.0,,171073.0,Varde,2013-01-01,2013-12-31,-28228.0,,,2014-12-31,2014-01-01,315522.0,58517.0,95650.0,191927.0,500.0,2129.0,75364411.0,direktÃ¸r,Ingen bistand,urn:ofk:oid:5283220,indberetninger-20180424,2.595548,28152264.0,,2018-03-30T14:44:04.242Z,2015-05-22T08:28:15.607Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AC-07-KY,2015-05-22T08:28:15.767Z,,,,,,,,,,,,,,,,,,,,,,,,
28152264,2014-12-31,2014-12-31,c8,http://regnskaber.virk.dk/46225182/ZG9rdW1lbnRsYWdlcjovLzAzL2I3LzM0L2E1LzZmLzM3ODctNGQ3ZC04MzMzLTZjY2YzNjQ4MzIwYg.xhtml,http://regnskaber.virk.dk/46225182/ZG9rdW1lbnRsYWdlcjovLzAzL2NlLzQwLzlhLzg3LzYyOTgtNGVlOC1hYjBjLWJiZmE1YTJhYTQzNA.pdf,http://regnskaber.virk.dk/46225182/ZG9rdW1lbnRsYWdlcjovLzAzLzYwLzViL2IzLzdmLzMzOTktNDBkNi04NWNhLTc4NDA5ZWJlMTU3OA.xml,Vejen,6600.0,29.0,Baslund,6800 Varde,Navervej 33,,Regnskabsklasse B,2015-05-21,2015-05-21,166510.0,,,28152264.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,32951.0,11400.0,Mickael Langager,Mikael Langager,WARWIK BRYGHUS ApS,"Revisor Sven Ankerstjerne, Lone Nielsen",,-8000.0,11400.0,,171073.0,Varde,2013-01-01,2013-12-31,,,,2014-12-31,2014-01-01,315522.0,58517.0,95650.0,191927.0,500.0,2129.0,75364411.0,direktÃ¸r,Ingen bistand,urn:ofk:oid:5283220,indberetninger-20180424,2.595548,28152264.0,,2018-03-30T14:44:04.242Z,2015-05-22T08:28:15.607Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AC-07-KY,2015-05-22T08:28:15.767Z,1638283.0,39760.0,518000.0,686584.0,913565.0,760529.0,272000.0,179770.0,1638283.0,724718.0,76604.0,84604.0,951699.0,483750.0,8000.0,940299.0,272000.0,-88185.0,648114.0,374824.0,293520.0,372695.0,,
