entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,AverageNumberOfEmployees,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,RecommendationForApprovalOfAnnualReportByGeneralMeeting,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,ProfitLoss,Assets,Equity,LiabilitiesAndEquity,NameAndSurnameOfMemberOfExecutiveBoard
32656137,2016-01-01,2016-12-31,ID_8,,http://regnskaber.virk.dk/73165623/ZG9rdW1lbnRsYWdlcjovLzAzLzFjL2IzLzM2LzY4LzUzZDctNDBlZC1hNWI5LTZkMDE5ODkwYTNlNw.pdf,http://regnskaber.virk.dk/73165623/ZG9rdW1lbnRsYWdlcjovLzAzL2Q1L2Q1Lzk0LzAzLzVjYjgtNDY3Yy05YTNhLTAxNmMzZGYxYjgxMA.xml,true,"Hinnerup, 8382","Trigevej 20, SÃ¸ften",Til den daglige ledelse i MED Vind ApS,1.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2017 - 31-12-2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-06-16,2018-06-16,2009-12-16,2018-06-16,36563877.0,32656137.0,36563877.0,mne11073,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2017 - 31-12-2017 for MED Vind ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kurt Iversen,Jannie Helbo Abraham,LMO Erhvervsrevision,MED Vind ApS,"LMO Erhvervsrevision, Godkendt Revisionsaktieselskab",SÃ¸ften,2016-01-01,2016-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-06-16,SÃ¸ften,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25843224,indberetninger-20180424,2.5097342,32656137.0,AWQI_5qC0wkEsASktzgm,2018-06-16T14:29:24.028Z,2018-06-16T14:28:43.925Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AR-25-VF,2018-06-16T14:28:44.040Z,,,,,
32656137,2016-01-01,2016-12-31,ID_9,,http://regnskaber.virk.dk/73165623/ZG9rdW1lbnRsYWdlcjovLzAzLzFjL2IzLzM2LzY4LzUzZDctNDBlZC1hNWI5LTZkMDE5ODkwYTNlNw.pdf,http://regnskaber.virk.dk/73165623/ZG9rdW1lbnRsYWdlcjovLzAzL2Q1L2Q1Lzk0LzAzLzVjYjgtNDY3Yy05YTNhLTAxNmMzZGYxYjgxMA.xml,true,"Hinnerup, 8382","Trigevej 20, SÃ¸ften",Til den daglige ledelse i MED Vind ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2017 - 31-12-2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-06-16,2018-06-16,2009-12-16,2018-06-16,36563877.0,32656137.0,36563877.0,mne11073,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2017 - 31-12-2017 for MED Vind ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kurt Iversen,Jannie Helbo Abraham,LMO Erhvervsrevision,MED Vind ApS,"LMO Erhvervsrevision, Godkendt Revisionsaktieselskab",SÃ¸ften,2016-01-01,2016-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-06-16,SÃ¸ften,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25843224,indberetninger-20180424,2.5097342,32656137.0,AWQI_5qC0wkEsASktzgm,2018-06-16T14:29:24.028Z,2018-06-16T14:28:43.925Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AR-25-VF,2018-06-16T14:28:44.040Z,0.0,,,,
32656137,2016-12-31,2016-12-31,ID_6,,http://regnskaber.virk.dk/73165623/ZG9rdW1lbnRsYWdlcjovLzAzLzFjL2IzLzM2LzY4LzUzZDctNDBlZC1hNWI5LTZkMDE5ODkwYTNlNw.pdf,http://regnskaber.virk.dk/73165623/ZG9rdW1lbnRsYWdlcjovLzAzL2Q1L2Q1Lzk0LzAzLzVjYjgtNDY3Yy05YTNhLTAxNmMzZGYxYjgxMA.xml,true,"Hinnerup, 8382","Trigevej 20, SÃ¸ften",Til den daglige ledelse i MED Vind ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2017 - 31-12-2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-06-16,2018-06-16,2009-12-16,2018-06-16,36563877.0,32656137.0,36563877.0,mne11073,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2017 - 31-12-2017 for MED Vind ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kurt Iversen,Jannie Helbo Abraham,LMO Erhvervsrevision,MED Vind ApS,"LMO Erhvervsrevision, Godkendt Revisionsaktieselskab",SÃ¸ften,2016-01-01,2016-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-06-16,SÃ¸ften,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25843224,indberetninger-20180424,2.5097342,32656137.0,AWQI_5qC0wkEsASktzgm,2018-06-16T14:29:24.028Z,2018-06-16T14:28:43.925Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AR-25-VF,2018-06-16T14:28:44.040Z,,0.0,0.0,0.0,
32656137,2017-01-01,2017-12-31,ID_0,,http://regnskaber.virk.dk/73165623/ZG9rdW1lbnRsYWdlcjovLzAzLzFjL2IzLzM2LzY4LzUzZDctNDBlZC1hNWI5LTZkMDE5ODkwYTNlNw.pdf,http://regnskaber.virk.dk/73165623/ZG9rdW1lbnRsYWdlcjovLzAzL2Q1L2Q1Lzk0LzAzLzVjYjgtNDY3Yy05YTNhLTAxNmMzZGYxYjgxMA.xml,true,"Hinnerup, 8382","Trigevej 20, SÃ¸ften",Til den daglige ledelse i MED Vind ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2017 - 31-12-2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-06-16,2018-06-16,2009-12-16,2018-06-16,36563877.0,32656137.0,36563877.0,mne11073,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2017 - 31-12-2017 for MED Vind ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kurt Iversen,Jannie Helbo Abraham,LMO Erhvervsrevision,MED Vind ApS,"LMO Erhvervsrevision, Godkendt Revisionsaktieselskab",SÃ¸ften,2016-01-01,2016-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-06-16,SÃ¸ften,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25843224,indberetninger-20180424,2.5097342,32656137.0,AWQI_5qC0wkEsASktzgm,2018-06-16T14:29:24.028Z,2018-06-16T14:28:43.925Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AR-25-VF,2018-06-16T14:28:44.040Z,0.0,,,,
32656137,2017-01-01,2017-12-31,ID_1,,http://regnskaber.virk.dk/73165623/ZG9rdW1lbnRsYWdlcjovLzAzLzFjL2IzLzM2LzY4LzUzZDctNDBlZC1hNWI5LTZkMDE5ODkwYTNlNw.pdf,http://regnskaber.virk.dk/73165623/ZG9rdW1lbnRsYWdlcjovLzAzL2Q1L2Q1Lzk0LzAzLzVjYjgtNDY3Yy05YTNhLTAxNmMzZGYxYjgxMA.xml,true,"Hinnerup, 8382","Trigevej 20, SÃ¸ften",Til den daglige ledelse i MED Vind ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2017 - 31-12-2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-06-16,2018-06-16,2009-12-16,2018-06-16,36563877.0,32656137.0,36563877.0,mne11073,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2017 - 31-12-2017 for MED Vind ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kurt Iversen,Jannie Helbo Abraham,LMO Erhvervsrevision,MED Vind ApS,"LMO Erhvervsrevision, Godkendt Revisionsaktieselskab",SÃ¸ften,2016-01-01,2016-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-06-16,SÃ¸ften,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25843224,indberetninger-20180424,2.5097342,32656137.0,AWQI_5qC0wkEsASktzgm,2018-06-16T14:29:24.028Z,2018-06-16T14:28:43.925Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AR-25-VF,2018-06-16T14:28:44.040Z,,,,,
32656137,2017-01-01,2017-12-31,ID_2,,http://regnskaber.virk.dk/73165623/ZG9rdW1lbnRsYWdlcjovLzAzLzFjL2IzLzM2LzY4LzUzZDctNDBlZC1hNWI5LTZkMDE5ODkwYTNlNw.pdf,http://regnskaber.virk.dk/73165623/ZG9rdW1lbnRsYWdlcjovLzAzL2Q1L2Q1Lzk0LzAzLzVjYjgtNDY3Yy05YTNhLTAxNmMzZGYxYjgxMA.xml,true,"Hinnerup, 8382","Trigevej 20, SÃ¸ften",Til den daglige ledelse i MED Vind ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2017 - 31-12-2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-06-16,2018-06-16,2009-12-16,2018-06-16,36563877.0,32656137.0,36563877.0,mne11073,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2017 - 31-12-2017 for MED Vind ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kurt Iversen,Jannie Helbo Abraham,LMO Erhvervsrevision,MED Vind ApS,"LMO Erhvervsrevision, Godkendt Revisionsaktieselskab",SÃ¸ften,2016-01-01,2016-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-06-16,SÃ¸ften,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25843224,indberetninger-20180424,2.5097342,32656137.0,AWQI_5qC0wkEsASktzgm,2018-06-16T14:29:24.028Z,2018-06-16T14:28:43.925Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AR-25-VF,2018-06-16T14:28:44.040Z,,,,,
32656137,2017-01-01,2017-12-31,ID_3,,http://regnskaber.virk.dk/73165623/ZG9rdW1lbnRsYWdlcjovLzAzLzFjL2IzLzM2LzY4LzUzZDctNDBlZC1hNWI5LTZkMDE5ODkwYTNlNw.pdf,http://regnskaber.virk.dk/73165623/ZG9rdW1lbnRsYWdlcjovLzAzL2Q1L2Q1Lzk0LzAzLzVjYjgtNDY3Yy05YTNhLTAxNmMzZGYxYjgxMA.xml,true,"Hinnerup, 8382","Trigevej 20, SÃ¸ften",Til den daglige ledelse i MED Vind ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2017 - 31-12-2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-06-16,2018-06-16,2009-12-16,2018-06-16,36563877.0,32656137.0,36563877.0,mne11073,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2017 - 31-12-2017 for MED Vind ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kurt Iversen,Jannie Helbo Abraham,LMO Erhvervsrevision,MED Vind ApS,"LMO Erhvervsrevision, Godkendt Revisionsaktieselskab",SÃ¸ften,2016-01-01,2016-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-06-16,SÃ¸ften,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25843224,indberetninger-20180424,2.5097342,32656137.0,AWQI_5qC0wkEsASktzgm,2018-06-16T14:29:24.028Z,2018-06-16T14:28:43.925Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AR-25-VF,2018-06-16T14:28:44.040Z,,,,,Janni Helbo Abraham
32656137,2017-01-01,2017-12-31,ID_4,,http://regnskaber.virk.dk/73165623/ZG9rdW1lbnRsYWdlcjovLzAzLzFjL2IzLzM2LzY4LzUzZDctNDBlZC1hNWI5LTZkMDE5ODkwYTNlNw.pdf,http://regnskaber.virk.dk/73165623/ZG9rdW1lbnRsYWdlcjovLzAzL2Q1L2Q1Lzk0LzAzLzVjYjgtNDY3Yy05YTNhLTAxNmMzZGYxYjgxMA.xml,true,"Hinnerup, 8382","Trigevej 20, SÃ¸ften",Til den daglige ledelse i MED Vind ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2017 - 31-12-2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-06-16,2018-06-16,2009-12-16,2018-06-16,36563877.0,32656137.0,36563877.0,mne11073,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2017 - 31-12-2017 for MED Vind ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kurt Iversen,Jannie Helbo Abraham,LMO Erhvervsrevision,MED Vind ApS,"LMO Erhvervsrevision, Godkendt Revisionsaktieselskab",SÃ¸ften,2016-01-01,2016-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-06-16,SÃ¸ften,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25843224,indberetninger-20180424,2.5097342,32656137.0,AWQI_5qC0wkEsASktzgm,2018-06-16T14:29:24.028Z,2018-06-16T14:28:43.925Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AR-25-VF,2018-06-16T14:28:44.040Z,,,,,
32656137,2017-01-01,2017-12-31,ID_7,,http://regnskaber.virk.dk/73165623/ZG9rdW1lbnRsYWdlcjovLzAzLzFjL2IzLzM2LzY4LzUzZDctNDBlZC1hNWI5LTZkMDE5ODkwYTNlNw.pdf,http://regnskaber.virk.dk/73165623/ZG9rdW1lbnRsYWdlcjovLzAzL2Q1L2Q1Lzk0LzAzLzVjYjgtNDY3Yy05YTNhLTAxNmMzZGYxYjgxMA.xml,true,"Hinnerup, 8382","Trigevej 20, SÃ¸ften",Til den daglige ledelse i MED Vind ApS,1.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2017 - 31-12-2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-06-16,2018-06-16,2009-12-16,2018-06-16,36563877.0,32656137.0,36563877.0,mne11073,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2017 - 31-12-2017 for MED Vind ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kurt Iversen,Jannie Helbo Abraham,LMO Erhvervsrevision,MED Vind ApS,"LMO Erhvervsrevision, Godkendt Revisionsaktieselskab",SÃ¸ften,2016-01-01,2016-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-06-16,SÃ¸ften,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25843224,indberetninger-20180424,2.5097342,32656137.0,AWQI_5qC0wkEsASktzgm,2018-06-16T14:29:24.028Z,2018-06-16T14:28:43.925Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AR-25-VF,2018-06-16T14:28:44.040Z,,,,,
32656137,2017-12-31,2017-12-31,ID_5,,http://regnskaber.virk.dk/73165623/ZG9rdW1lbnRsYWdlcjovLzAzLzFjL2IzLzM2LzY4LzUzZDctNDBlZC1hNWI5LTZkMDE5ODkwYTNlNw.pdf,http://regnskaber.virk.dk/73165623/ZG9rdW1lbnRsYWdlcjovLzAzL2Q1L2Q1Lzk0LzAzLzVjYjgtNDY3Yy05YTNhLTAxNmMzZGYxYjgxMA.xml,true,"Hinnerup, 8382","Trigevej 20, SÃ¸ften",Til den daglige ledelse i MED Vind ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2017 - 31-12-2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-06-16,2018-06-16,2009-12-16,2018-06-16,36563877.0,32656137.0,36563877.0,mne11073,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2017 - 31-12-2017 for MED Vind ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kurt Iversen,Jannie Helbo Abraham,LMO Erhvervsrevision,MED Vind ApS,"LMO Erhvervsrevision, Godkendt Revisionsaktieselskab",SÃ¸ften,2016-01-01,2016-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-06-16,SÃ¸ften,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25843224,indberetninger-20180424,2.5097342,32656137.0,AWQI_5qC0wkEsASktzgm,2018-06-16T14:29:24.028Z,2018-06-16T14:28:43.925Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AR-25-VF,2018-06-16T14:28:44.040Z,,0.0,0.0,0.0,
