entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityPostcodeAndTown,AddressOfReportingEntityStreetAndNumber,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,AuditorsReportOnFinancialStatements,AuditorsReportsAccordingToOtherLegislationAndRegulation,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditor,EmployeeBenefitsExpense,GrossProfitLoss,IdentificationNumberCvrOfReportingEntity,IdentificationOfApprovedAnnualReport,IdentificationOfAuditedFinancialStatements,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfAuditFirm,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInAssociates,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,OtherShorttermInvestments,OtherShorttermPayables,OtherShorttermReceivables,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermDebtToBanks,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromAssociates,ShorttermReceivablesFromGroupEnterprises,ShorttermTradePayables,NameAndSurnameOfMemberOfExecutiveBoard,TitleOfMemberOfExecutiveBoard
entity identifier,2010-01-01,2010-12-31,ID_10,http://regnskaber.virk.dk/53358682/Y3ZyLmRrOi8vcGRmcy8yODY4NTMzNTtBcFMzNDc0MzU7MjAxMTAxMDE7MjAxMTEyMzE7UjtS.pdf,http://regnskaber.virk.dk/53358682/Y3ZyLmRrOi8veGJybHMvWC1FMkQzQkRBRS0yMDEyMDcxOF8xNzM5MTBfOTYy.xml,"Aalborg SV, 9200",Hobrovej 319,"9000, Aalborg",Hobrovej 76,Til kapitalejerne i CENATH HOLDING APS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,ErklÃ¦ringer i henhold til anden lovgivning og Ã¸vrig regulering,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2011 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2011 - 31-12-2011.",2005-04-19,2012-07-17,Statsautoriseret revisor,1100000.0,54688.0,28685335.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 01-01-2011 - 31-12-2011 for CENATH HOLDING APS.,"Vi har revideret Ã¥rsregnskabet for CENATH HOLDING APS for regnskabsÃ¥ret 01-01-2011 - 31-12-2011, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",-24787843.0,Ãrsrapport,Jesper Ovesen,Peter Balling,Attiri Statsautoriseret Revisionsanpartsselskab,Nykredit Bank A/S,CENATH HOLDING APS,Attiri Statsautoriseret Revisionsanpartsselskab,873528.0,-1335816.0,-24138385.0,-24095443.0,1154688.0,2011-12-31,2011-01-01,2012-07-17,Aalborg,-42942.0,urn:ofk:oid:16655336,indberetninger-20180424,2.512146,28685335.0,,2018-04-02T03:57:37.156Z,2012-07-18T22:00:00.000Z,regnskab,0.0,,2011-12-31,2011-01-01,12-85.296,2012-07-18T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2010-01-01,2010-12-31,ID_12,http://regnskaber.virk.dk/53358682/Y3ZyLmRrOi8vcGRmcy8yODY4NTMzNTtBcFMzNDc0MzU7MjAxMTAxMDE7MjAxMTEyMzE7UjtS.pdf,http://regnskaber.virk.dk/53358682/Y3ZyLmRrOi8veGJybHMvWC1FMkQzQkRBRS0yMDEyMDcxOF8xNzM5MTBfOTYy.xml,"Aalborg SV, 9200",Hobrovej 319,"9000, Aalborg",Hobrovej 76,Til kapitalejerne i CENATH HOLDING APS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,ErklÃ¦ringer i henhold til anden lovgivning og Ã¸vrig regulering,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2011 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2011 - 31-12-2011.",2005-04-19,2012-07-17,Statsautoriseret revisor,,,28685335.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 01-01-2011 - 31-12-2011 for CENATH HOLDING APS.,"Vi har revideret Ã¥rsregnskabet for CENATH HOLDING APS for regnskabsÃ¥ret 01-01-2011 - 31-12-2011, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",,Ãrsrapport,Jesper Ovesen,Peter Balling,Attiri Statsautoriseret Revisionsanpartsselskab,Nykredit Bank A/S,CENATH HOLDING APS,Attiri Statsautoriseret Revisionsanpartsselskab,,,100000.0,,,2011-12-31,2011-01-01,2012-07-17,Aalborg,,urn:ofk:oid:16655336,indberetninger-20180424,2.512146,28685335.0,,2018-04-02T03:57:37.156Z,2012-07-18T22:00:00.000Z,regnskab,0.0,,2011-12-31,2011-01-01,12-85.296,2012-07-18T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2010-01-01,2010-12-31,ID_14,http://regnskaber.virk.dk/53358682/Y3ZyLmRrOi8vcGRmcy8yODY4NTMzNTtBcFMzNDc0MzU7MjAxMTAxMDE7MjAxMTEyMzE7UjtS.pdf,http://regnskaber.virk.dk/53358682/Y3ZyLmRrOi8veGJybHMvWC1FMkQzQkRBRS0yMDEyMDcxOF8xNzM5MTBfOTYy.xml,"Aalborg SV, 9200",Hobrovej 319,"9000, Aalborg",Hobrovej 76,Til kapitalejerne i CENATH HOLDING APS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,ErklÃ¦ringer i henhold til anden lovgivning og Ã¸vrig regulering,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2011 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2011 - 31-12-2011.",2005-04-19,2012-07-17,Statsautoriseret revisor,,,28685335.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 01-01-2011 - 31-12-2011 for CENATH HOLDING APS.,"Vi har revideret Ã¥rsregnskabet for CENATH HOLDING APS for regnskabsÃ¥ret 01-01-2011 - 31-12-2011, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",,Ãrsrapport,Jesper Ovesen,Peter Balling,Attiri Statsautoriseret Revisionsanpartsselskab,Nykredit Bank A/S,CENATH HOLDING APS,Attiri Statsautoriseret Revisionsanpartsselskab,,,24038385.0,,,2011-12-31,2011-01-01,2012-07-17,Aalborg,,urn:ofk:oid:16655336,indberetninger-20180424,2.512146,28685335.0,,2018-04-02T03:57:37.156Z,2012-07-18T22:00:00.000Z,regnskab,0.0,,2011-12-31,2011-01-01,12-85.296,2012-07-18T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2010-01-01,2010-12-31,ID_16,http://regnskaber.virk.dk/53358682/Y3ZyLmRrOi8vcGRmcy8yODY4NTMzNTtBcFMzNDc0MzU7MjAxMTAxMDE7MjAxMTEyMzE7UjtS.pdf,http://regnskaber.virk.dk/53358682/Y3ZyLmRrOi8veGJybHMvWC1FMkQzQkRBRS0yMDEyMDcxOF8xNzM5MTBfOTYy.xml,"Aalborg SV, 9200",Hobrovej 319,"9000, Aalborg",Hobrovej 76,Til kapitalejerne i CENATH HOLDING APS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,ErklÃ¦ringer i henhold til anden lovgivning og Ã¸vrig regulering,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2011 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2011 - 31-12-2011.",2005-04-19,2012-07-17,Statsautoriseret revisor,,,28685335.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 01-01-2011 - 31-12-2011 for CENATH HOLDING APS.,"Vi har revideret Ã¥rsregnskabet for CENATH HOLDING APS for regnskabsÃ¥ret 01-01-2011 - 31-12-2011, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",,Ãrsrapport,Jesper Ovesen,Peter Balling,Attiri Statsautoriseret Revisionsanpartsselskab,Nykredit Bank A/S,CENATH HOLDING APS,Attiri Statsautoriseret Revisionsanpartsselskab,,,24138385.0,,,2011-12-31,2011-01-01,2012-07-17,Aalborg,,urn:ofk:oid:16655336,indberetninger-20180424,2.512146,28685335.0,,2018-04-02T03:57:37.156Z,2012-07-18T22:00:00.000Z,regnskab,0.0,,2011-12-31,2011-01-01,12-85.296,2012-07-18T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2010-12-31,2010-12-31,ID_18,http://regnskaber.virk.dk/53358682/Y3ZyLmRrOi8vcGRmcy8yODY4NTMzNTtBcFMzNDc0MzU7MjAxMTAxMDE7MjAxMTEyMzE7UjtS.pdf,http://regnskaber.virk.dk/53358682/Y3ZyLmRrOi8veGJybHMvWC1FMkQzQkRBRS0yMDEyMDcxOF8xNzM5MTBfOTYy.xml,"Aalborg SV, 9200",Hobrovej 319,"9000, Aalborg",Hobrovej 76,Til kapitalejerne i CENATH HOLDING APS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,ErklÃ¦ringer i henhold til anden lovgivning og Ã¸vrig regulering,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2011 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2011 - 31-12-2011.",2005-04-19,2012-07-17,Statsautoriseret revisor,,,28685335.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 01-01-2011 - 31-12-2011 for CENATH HOLDING APS.,"Vi har revideret Ã¥rsregnskabet for CENATH HOLDING APS for regnskabsÃ¥ret 01-01-2011 - 31-12-2011, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",,Ãrsrapport,Jesper Ovesen,Peter Balling,Attiri Statsautoriseret Revisionsanpartsselskab,Nykredit Bank A/S,CENATH HOLDING APS,Attiri Statsautoriseret Revisionsanpartsselskab,,,,,,2011-12-31,2011-01-01,2012-07-17,Aalborg,,urn:ofk:oid:16655336,indberetninger-20180424,2.512146,28685335.0,,2018-04-02T03:57:37.156Z,2012-07-18T22:00:00.000Z,regnskab,0.0,,2011-12-31,2011-01-01,12-85.296,2012-07-18T22:00:00.000Z,24413542.0,4839163.0,-125000.0,23248550.0,-24383703.0,-24413542.0,-29839.0,1164992.0,-148029.0,1313021.0,1164992.0,14076409.0,-12319.0,300000.0,-100000.0,-24158703.0,-20.0,14076409.0,-29839.0,4332978.0,2240742.0,1792236.0,-17500.0,,
entity identifier,2011-01-01,2011-12-31,ID_0,http://regnskaber.virk.dk/53358682/Y3ZyLmRrOi8vcGRmcy8yODY4NTMzNTtBcFMzNDc0MzU7MjAxMTAxMDE7MjAxMTEyMzE7UjtS.pdf,http://regnskaber.virk.dk/53358682/Y3ZyLmRrOi8veGJybHMvWC1FMkQzQkRBRS0yMDEyMDcxOF8xNzM5MTBfOTYy.xml,"Aalborg SV, 9200",Hobrovej 319,"9000, Aalborg",Hobrovej 76,Til kapitalejerne i CENATH HOLDING APS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,ErklÃ¦ringer i henhold til anden lovgivning og Ã¸vrig regulering,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2011 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2011 - 31-12-2011.",2005-04-19,2012-07-17,Statsautoriseret revisor,,,28685335.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 01-01-2011 - 31-12-2011 for CENATH HOLDING APS.,"Vi har revideret Ã¥rsregnskabet for CENATH HOLDING APS for regnskabsÃ¥ret 01-01-2011 - 31-12-2011, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",,Ãrsrapport,Jesper Ovesen,Peter Balling,Attiri Statsautoriseret Revisionsanpartsselskab,Nykredit Bank A/S,CENATH HOLDING APS,Attiri Statsautoriseret Revisionsanpartsselskab,,,,,,2011-12-31,2011-01-01,2012-07-17,Aalborg,,urn:ofk:oid:16655336,indberetninger-20180424,2.512146,28685335.0,,2018-04-02T03:57:37.156Z,2012-07-18T22:00:00.000Z,regnskab,0.0,,2011-12-31,2011-01-01,12-85.296,2012-07-18T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-01-01,2011-12-31,ID_1,http://regnskaber.virk.dk/53358682/Y3ZyLmRrOi8vcGRmcy8yODY4NTMzNTtBcFMzNDc0MzU7MjAxMTAxMDE7MjAxMTEyMzE7UjtS.pdf,http://regnskaber.virk.dk/53358682/Y3ZyLmRrOi8veGJybHMvWC1FMkQzQkRBRS0yMDEyMDcxOF8xNzM5MTBfOTYy.xml,"Aalborg SV, 9200",Hobrovej 319,"9000, Aalborg",Hobrovej 76,Til kapitalejerne i CENATH HOLDING APS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,ErklÃ¦ringer i henhold til anden lovgivning og Ã¸vrig regulering,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2011 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2011 - 31-12-2011.",2005-04-19,2012-07-17,Statsautoriseret revisor,,,28685335.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 01-01-2011 - 31-12-2011 for CENATH HOLDING APS.,"Vi har revideret Ã¥rsregnskabet for CENATH HOLDING APS for regnskabsÃ¥ret 01-01-2011 - 31-12-2011, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",,Ãrsrapport,Jesper Ovesen,Peter Balling,Attiri Statsautoriseret Revisionsanpartsselskab,Nykredit Bank A/S,CENATH HOLDING APS,Attiri Statsautoriseret Revisionsanpartsselskab,,,,,,2011-12-31,2011-01-01,2012-07-17,Aalborg,,urn:ofk:oid:16655336,indberetninger-20180424,2.512146,28685335.0,,2018-04-02T03:57:37.156Z,2012-07-18T22:00:00.000Z,regnskab,0.0,,2011-12-31,2011-01-01,12-85.296,2012-07-18T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-01-01,2011-12-31,ID_11,http://regnskaber.virk.dk/53358682/Y3ZyLmRrOi8vcGRmcy8yODY4NTMzNTtBcFMzNDc0MzU7MjAxMTAxMDE7MjAxMTEyMzE7UjtS.pdf,http://regnskaber.virk.dk/53358682/Y3ZyLmRrOi8veGJybHMvWC1FMkQzQkRBRS0yMDEyMDcxOF8xNzM5MTBfOTYy.xml,"Aalborg SV, 9200",Hobrovej 319,"9000, Aalborg",Hobrovej 76,Til kapitalejerne i CENATH HOLDING APS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,ErklÃ¦ringer i henhold til anden lovgivning og Ã¸vrig regulering,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2011 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2011 - 31-12-2011.",2005-04-19,2012-07-17,Statsautoriseret revisor,,,28685335.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 01-01-2011 - 31-12-2011 for CENATH HOLDING APS.,"Vi har revideret Ã¥rsregnskabet for CENATH HOLDING APS for regnskabsÃ¥ret 01-01-2011 - 31-12-2011, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",,Ãrsrapport,Jesper Ovesen,Peter Balling,Attiri Statsautoriseret Revisionsanpartsselskab,Nykredit Bank A/S,CENATH HOLDING APS,Attiri Statsautoriseret Revisionsanpartsselskab,,,100000.0,,,2011-12-31,2011-01-01,2012-07-17,Aalborg,,urn:ofk:oid:16655336,indberetninger-20180424,2.512146,28685335.0,,2018-04-02T03:57:37.156Z,2012-07-18T22:00:00.000Z,regnskab,0.0,,2011-12-31,2011-01-01,12-85.296,2012-07-18T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-01-01,2011-12-31,ID_13,http://regnskaber.virk.dk/53358682/Y3ZyLmRrOi8vcGRmcy8yODY4NTMzNTtBcFMzNDc0MzU7MjAxMTAxMDE7MjAxMTEyMzE7UjtS.pdf,http://regnskaber.virk.dk/53358682/Y3ZyLmRrOi8veGJybHMvWC1FMkQzQkRBRS0yMDEyMDcxOF8xNzM5MTBfOTYy.xml,"Aalborg SV, 9200",Hobrovej 319,"9000, Aalborg",Hobrovej 76,Til kapitalejerne i CENATH HOLDING APS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,ErklÃ¦ringer i henhold til anden lovgivning og Ã¸vrig regulering,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2011 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2011 - 31-12-2011.",2005-04-19,2012-07-17,Statsautoriseret revisor,,,28685335.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 01-01-2011 - 31-12-2011 for CENATH HOLDING APS.,"Vi har revideret Ã¥rsregnskabet for CENATH HOLDING APS for regnskabsÃ¥ret 01-01-2011 - 31-12-2011, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",,Ãrsrapport,Jesper Ovesen,Peter Balling,Attiri Statsautoriseret Revisionsanpartsselskab,Nykredit Bank A/S,CENATH HOLDING APS,Attiri Statsautoriseret Revisionsanpartsselskab,,,-8534536.0,,,2011-12-31,2011-01-01,2012-07-17,Aalborg,,urn:ofk:oid:16655336,indberetninger-20180424,2.512146,28685335.0,,2018-04-02T03:57:37.156Z,2012-07-18T22:00:00.000Z,regnskab,0.0,,2011-12-31,2011-01-01,12-85.296,2012-07-18T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-01-01,2011-12-31,ID_15,http://regnskaber.virk.dk/53358682/Y3ZyLmRrOi8vcGRmcy8yODY4NTMzNTtBcFMzNDc0MzU7MjAxMTAxMDE7MjAxMTEyMzE7UjtS.pdf,http://regnskaber.virk.dk/53358682/Y3ZyLmRrOi8veGJybHMvWC1FMkQzQkRBRS0yMDEyMDcxOF8xNzM5MTBfOTYy.xml,"Aalborg SV, 9200",Hobrovej 319,"9000, Aalborg",Hobrovej 76,Til kapitalejerne i CENATH HOLDING APS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,ErklÃ¦ringer i henhold til anden lovgivning og Ã¸vrig regulering,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2011 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2011 - 31-12-2011.",2005-04-19,2012-07-17,Statsautoriseret revisor,,,28685335.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 01-01-2011 - 31-12-2011 for CENATH HOLDING APS.,"Vi har revideret Ã¥rsregnskabet for CENATH HOLDING APS for regnskabsÃ¥ret 01-01-2011 - 31-12-2011, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",,Ãrsrapport,Jesper Ovesen,Peter Balling,Attiri Statsautoriseret Revisionsanpartsselskab,Nykredit Bank A/S,CENATH HOLDING APS,Attiri Statsautoriseret Revisionsanpartsselskab,,,-8434536.0,,,2011-12-31,2011-01-01,2012-07-17,Aalborg,,urn:ofk:oid:16655336,indberetninger-20180424,2.512146,28685335.0,,2018-04-02T03:57:37.156Z,2012-07-18T22:00:00.000Z,regnskab,0.0,,2011-12-31,2011-01-01,12-85.296,2012-07-18T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,
