entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AdditionsToInvestments,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetBuildingIdentifier,AddressOfFinancialStreetName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,AdjustmentsForCurrentTaxOfPriorPeriod,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,CurrentTaxExpense,DateOfApprovalOfAnnualReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditor,DividendPaid,ExternalExpenses,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,InformationOnTypeOfSubmittedReport,InterestIncomeFromGroupEnterprises,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,OtherInterestIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,RevaluationsOfInvestmentsOfTheYear,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,OtherShorttermInvestments,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayablesToGroupEnterprises,ShorttermTaxReceivables,ShorttermTradePayables,AccumulatedRevaluationsOfInvestments,InvestmentsGross,NameOfAuditFirm,TypeOfAuditorAssistance
33070993,2017-07-01,2018-06-30,c175,,http://regnskaber.virk.dk/39907033/ZG9rdW1lbnRsYWdlcjovLzAzLzQ5LzQ1LzY1LzIxLzQ3YWItNDU2YS1iODZkLWFhOWFkN2QyZDRjNQ.pdf,http://regnskaber.virk.dk/39907033/ZG9rdW1lbnRsYWdlcjovLzAzLzQzLzU3LzkzLzkzL2I4MTMtNGMwNy04NWYxLTdhNzkwOGM2NzRmMA.xml,true,200000.0,Frederikshavn,9900.0,89.0,Rimmens Alle,Aalborg,9000.0,11.0,Prinsensgade,9900 Frederikshavn,Lerstien 20,DK-9900 Frederikshavn,Rimmens Alle 89,Til kapitalejeren i Pernambuko ApS,1647.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,348.0,2019-07-03,2010-07-01,2019-07-04,Statsautoriseret revisor,-105000.0,14601.0,20222670.0,33070993.0,20222670.0,mne31387,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019 for Pernambuko ApS.,1894.0,Ãrsrapport,5116.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Allan Andersen,Per Boelsmann Kristensen,Per Boelsmann Kristensen,Danske Bank,Pernambuko ApS,BDO Statsautoriseret revisionsaktieselskab,7735.0,31420.0,26304.0,Frederikshavn,2017-07-01,2018-06-30,8983.0,10978.0,-12707.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Frederikshavn,2019-06-30,2018-07-01,-35277.0,true,2019-07-03,Frederikshavn,1995.0,urn:ofk:oid:27654657,indberetninger-20180424,2.5122635,33070993.0,AWvA68hWIXJRhhXBLu55,2019-07-05T06:57:00.899Z,2019-07-05T06:56:45.403Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-BT-02-ND,2019-07-05T06:56:45.732Z,,,,,,,,,,,,,,,,,,,,,,,
33070993,2017-07-01,2018-06-30,c214,,http://regnskaber.virk.dk/39907033/ZG9rdW1lbnRsYWdlcjovLzAzLzQ5LzQ1LzY1LzIxLzQ3YWItNDU2YS1iODZkLWFhOWFkN2QyZDRjNQ.pdf,http://regnskaber.virk.dk/39907033/ZG9rdW1lbnRsYWdlcjovLzAzLzQzLzU3LzkzLzkzL2I4MTMtNGMwNy04NWYxLTdhNzkwOGM2NzRmMA.xml,true,200000.0,Frederikshavn,9900.0,89.0,Rimmens Alle,Aalborg,9000.0,11.0,Prinsensgade,9900 Frederikshavn,Lerstien 20,DK-9900 Frederikshavn,Rimmens Alle 89,Til kapitalejeren i Pernambuko ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2019-07-03,2010-07-01,2019-07-04,Statsautoriseret revisor,-105000.0,,20222670.0,33070993.0,20222670.0,mne31387,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019 for Pernambuko ApS.,,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Allan Andersen,Per Boelsmann Kristensen,Per Boelsmann Kristensen,Danske Bank,Pernambuko ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Frederikshavn,2017-07-01,2018-06-30,-96017.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Frederikshavn,2019-06-30,2018-07-01,-35277.0,true,2019-07-03,Frederikshavn,,urn:ofk:oid:27654657,indberetninger-20180424,2.5122635,33070993.0,AWvA68hWIXJRhhXBLu55,2019-07-05T06:57:00.899Z,2019-07-05T06:56:45.403Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-BT-02-ND,2019-07-05T06:56:45.732Z,,,,,,,,,,,,,,,,,,,,,,,
33070993,2017-07-01,2018-06-30,c219,,http://regnskaber.virk.dk/39907033/ZG9rdW1lbnRsYWdlcjovLzAzLzQ5LzQ1LzY1LzIxLzQ3YWItNDU2YS1iODZkLWFhOWFkN2QyZDRjNQ.pdf,http://regnskaber.virk.dk/39907033/ZG9rdW1lbnRsYWdlcjovLzAzLzQzLzU3LzkzLzkzL2I4MTMtNGMwNy04NWYxLTdhNzkwOGM2NzRmMA.xml,true,200000.0,Frederikshavn,9900.0,89.0,Rimmens Alle,Aalborg,9000.0,11.0,Prinsensgade,9900 Frederikshavn,Lerstien 20,DK-9900 Frederikshavn,Rimmens Alle 89,Til kapitalejeren i Pernambuko ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2019-07-03,2010-07-01,2019-07-04,Statsautoriseret revisor,-105000.0,,20222670.0,33070993.0,20222670.0,mne31387,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019 for Pernambuko ApS.,,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Allan Andersen,Per Boelsmann Kristensen,Per Boelsmann Kristensen,Danske Bank,Pernambuko ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Frederikshavn,2017-07-01,2018-06-30,105000.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Frederikshavn,2019-06-30,2018-07-01,-35277.0,true,2019-07-03,Frederikshavn,,urn:ofk:oid:27654657,indberetninger-20180424,2.5122635,33070993.0,AWvA68hWIXJRhhXBLu55,2019-07-05T06:57:00.899Z,2019-07-05T06:56:45.403Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-BT-02-ND,2019-07-05T06:56:45.732Z,,,,,,,,,,,,,,,,,,,,,,,
33070993,2018-06-30,2018-06-30,c173,,http://regnskaber.virk.dk/39907033/ZG9rdW1lbnRsYWdlcjovLzAzLzQ5LzQ1LzY1LzIxLzQ3YWItNDU2YS1iODZkLWFhOWFkN2QyZDRjNQ.pdf,http://regnskaber.virk.dk/39907033/ZG9rdW1lbnRsYWdlcjovLzAzLzQzLzU3LzkzLzkzL2I4MTMtNGMwNy04NWYxLTdhNzkwOGM2NzRmMA.xml,true,200000.0,Frederikshavn,9900.0,89.0,Rimmens Alle,Aalborg,9000.0,11.0,Prinsensgade,9900 Frederikshavn,Lerstien 20,DK-9900 Frederikshavn,Rimmens Alle 89,Til kapitalejeren i Pernambuko ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2019-07-03,2010-07-01,2019-07-04,Statsautoriseret revisor,-105000.0,,20222670.0,33070993.0,20222670.0,mne31387,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019 for Pernambuko ApS.,,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Allan Andersen,Per Boelsmann Kristensen,Per Boelsmann Kristensen,Danske Bank,Pernambuko ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Frederikshavn,2017-07-01,2018-06-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Frederikshavn,2019-06-30,2018-07-01,-35277.0,true,2019-07-03,Frederikshavn,,urn:ofk:oid:27654657,indberetninger-20180424,2.5122635,33070993.0,AWvA68hWIXJRhhXBLu55,2019-07-05T06:57:00.899Z,2019-07-05T06:56:45.403Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-BT-02-ND,2019-07-05T06:56:45.732Z,1305275.0,14974.0,125000.0,1298427.0,1305275.0,6848.0,96092.0,96092.0,96092.0,1055504.0,105000.0,1068427.0,1055504.0,6848.0,138705.0,132964.0,348.0,5741.0,6500.0,,,,
33070993,2018-07-01,2018-07-01,c231,,http://regnskaber.virk.dk/39907033/ZG9rdW1lbnRsYWdlcjovLzAzLzQ5LzQ1LzY1LzIxLzQ3YWItNDU2YS1iODZkLWFhOWFkN2QyZDRjNQ.pdf,http://regnskaber.virk.dk/39907033/ZG9rdW1lbnRsYWdlcjovLzAzLzQzLzU3LzkzLzkzL2I4MTMtNGMwNy04NWYxLTdhNzkwOGM2NzRmMA.xml,true,200000.0,Frederikshavn,9900.0,89.0,Rimmens Alle,Aalborg,9000.0,11.0,Prinsensgade,9900 Frederikshavn,Lerstien 20,DK-9900 Frederikshavn,Rimmens Alle 89,Til kapitalejeren i Pernambuko ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2019-07-03,2010-07-01,2019-07-04,Statsautoriseret revisor,-105000.0,,20222670.0,33070993.0,20222670.0,mne31387,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019 for Pernambuko ApS.,,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Allan Andersen,Per Boelsmann Kristensen,Per Boelsmann Kristensen,Danske Bank,Pernambuko ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Frederikshavn,2017-07-01,2018-06-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Frederikshavn,2019-06-30,2018-07-01,-35277.0,true,2019-07-03,Frederikshavn,,urn:ofk:oid:27654657,indberetninger-20180424,2.5122635,33070993.0,AWvA68hWIXJRhhXBLu55,2019-07-05T06:57:00.899Z,2019-07-05T06:56:45.403Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-BT-02-ND,2019-07-05T06:56:45.732Z,,,,125000.0,,,,,,,,,,,,,,,,,,,
33070993,2018-07-01,2018-07-01,c249,,http://regnskaber.virk.dk/39907033/ZG9rdW1lbnRsYWdlcjovLzAzLzQ5LzQ1LzY1LzIxLzQ3YWItNDU2YS1iODZkLWFhOWFkN2QyZDRjNQ.pdf,http://regnskaber.virk.dk/39907033/ZG9rdW1lbnRsYWdlcjovLzAzLzQzLzU3LzkzLzkzL2I4MTMtNGMwNy04NWYxLTdhNzkwOGM2NzRmMA.xml,true,200000.0,Frederikshavn,9900.0,89.0,Rimmens Alle,Aalborg,9000.0,11.0,Prinsensgade,9900 Frederikshavn,Lerstien 20,DK-9900 Frederikshavn,Rimmens Alle 89,Til kapitalejeren i Pernambuko ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2019-07-03,2010-07-01,2019-07-04,Statsautoriseret revisor,-105000.0,,20222670.0,33070993.0,20222670.0,mne31387,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019 for Pernambuko ApS.,,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Allan Andersen,Per Boelsmann Kristensen,Per Boelsmann Kristensen,Danske Bank,Pernambuko ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Frederikshavn,2017-07-01,2018-06-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Frederikshavn,2019-06-30,2018-07-01,-35277.0,true,2019-07-03,Frederikshavn,,urn:ofk:oid:27654657,indberetninger-20180424,2.5122635,33070993.0,AWvA68hWIXJRhhXBLu55,2019-07-05T06:57:00.899Z,2019-07-05T06:56:45.403Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-BT-02-ND,2019-07-05T06:56:45.732Z,,,,1068427.0,,,,,,,,,,,,,,,,,,,
33070993,2018-07-01,2018-07-01,c255,,http://regnskaber.virk.dk/39907033/ZG9rdW1lbnRsYWdlcjovLzAzLzQ5LzQ1LzY1LzIxLzQ3YWItNDU2YS1iODZkLWFhOWFkN2QyZDRjNQ.pdf,http://regnskaber.virk.dk/39907033/ZG9rdW1lbnRsYWdlcjovLzAzLzQzLzU3LzkzLzkzL2I4MTMtNGMwNy04NWYxLTdhNzkwOGM2NzRmMA.xml,true,200000.0,Frederikshavn,9900.0,89.0,Rimmens Alle,Aalborg,9000.0,11.0,Prinsensgade,9900 Frederikshavn,Lerstien 20,DK-9900 Frederikshavn,Rimmens Alle 89,Til kapitalejeren i Pernambuko ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2019-07-03,2010-07-01,2019-07-04,Statsautoriseret revisor,-105000.0,,20222670.0,33070993.0,20222670.0,mne31387,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019 for Pernambuko ApS.,,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Allan Andersen,Per Boelsmann Kristensen,Per Boelsmann Kristensen,Danske Bank,Pernambuko ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Frederikshavn,2017-07-01,2018-06-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Frederikshavn,2019-06-30,2018-07-01,-35277.0,true,2019-07-03,Frederikshavn,,urn:ofk:oid:27654657,indberetninger-20180424,2.5122635,33070993.0,AWvA68hWIXJRhhXBLu55,2019-07-05T06:57:00.899Z,2019-07-05T06:56:45.403Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-BT-02-ND,2019-07-05T06:56:45.732Z,,,,105000.0,,,,,,,,,,,,,,,,,,,
33070993,2018-07-01,2018-07-01,c584,,http://regnskaber.virk.dk/39907033/ZG9rdW1lbnRsYWdlcjovLzAzLzQ5LzQ1LzY1LzIxLzQ3YWItNDU2YS1iODZkLWFhOWFkN2QyZDRjNQ.pdf,http://regnskaber.virk.dk/39907033/ZG9rdW1lbnRsYWdlcjovLzAzLzQzLzU3LzkzLzkzL2I4MTMtNGMwNy04NWYxLTdhNzkwOGM2NzRmMA.xml,true,200000.0,Frederikshavn,9900.0,89.0,Rimmens Alle,Aalborg,9000.0,11.0,Prinsensgade,9900 Frederikshavn,Lerstien 20,DK-9900 Frederikshavn,Rimmens Alle 89,Til kapitalejeren i Pernambuko ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2019-07-03,2010-07-01,2019-07-04,Statsautoriseret revisor,-105000.0,,20222670.0,33070993.0,20222670.0,mne31387,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019 for Pernambuko ApS.,,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Allan Andersen,Per Boelsmann Kristensen,Per Boelsmann Kristensen,Danske Bank,Pernambuko ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Frederikshavn,2017-07-01,2018-06-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Frederikshavn,2019-06-30,2018-07-01,-35277.0,true,2019-07-03,Frederikshavn,,urn:ofk:oid:27654657,indberetninger-20180424,2.5122635,33070993.0,AWvA68hWIXJRhhXBLu55,2019-07-05T06:57:00.899Z,2019-07-05T06:56:45.403Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-BT-02-ND,2019-07-05T06:56:45.732Z,,,,,,,,,,,,,,,,,,,,-4302762.0,4398854.0,,
33070993,2018-07-01,2019-06-30,c174,,http://regnskaber.virk.dk/39907033/ZG9rdW1lbnRsYWdlcjovLzAzLzQ5LzQ1LzY1LzIxLzQ3YWItNDU2YS1iODZkLWFhOWFkN2QyZDRjNQ.pdf,http://regnskaber.virk.dk/39907033/ZG9rdW1lbnRsYWdlcjovLzAzLzQzLzU3LzkzLzkzL2I4MTMtNGMwNy04NWYxLTdhNzkwOGM2NzRmMA.xml,true,200000.0,Frederikshavn,9900.0,89.0,Rimmens Alle,Aalborg,9000.0,11.0,Prinsensgade,9900 Frederikshavn,Lerstien 20,DK-9900 Frederikshavn,Rimmens Alle 89,Til kapitalejeren i Pernambuko ApS,0.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,5216.0,2019-07-03,2010-07-01,2019-07-04,Statsautoriseret revisor,-105000.0,13471.0,20222670.0,33070993.0,20222670.0,mne31387,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019 for Pernambuko ApS.,-35277.0,Ãrsrapport,5319.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Allan Andersen,Per Boelsmann Kristensen,Per Boelsmann Kristensen,Danske Bank,Pernambuko ApS,BDO Statsautoriseret revisionsaktieselskab,0.0,37178.0,31859.0,Frederikshavn,2017-07-01,2018-06-30,-16786.0,-11570.0,-48748.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Frederikshavn,2019-06-30,2018-07-01,-35277.0,true,2019-07-03,Frederikshavn,5216.0,urn:ofk:oid:27654657,indberetninger-20180424,2.5122635,33070993.0,AWvA68hWIXJRhhXBLu55,2019-07-05T06:57:00.899Z,2019-07-05T06:56:45.403Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-BT-02-ND,2019-07-05T06:56:45.732Z,,,,,,,,,,,,,,,,,,,,,,BDO Statsautoriseret revisionsaktieselskab,Andre erklÃ¦ringer uden sikkerhed
33070993,2018-07-01,2019-06-30,c213,,http://regnskaber.virk.dk/39907033/ZG9rdW1lbnRsYWdlcjovLzAzLzQ5LzQ1LzY1LzIxLzQ3YWItNDU2YS1iODZkLWFhOWFkN2QyZDRjNQ.pdf,http://regnskaber.virk.dk/39907033/ZG9rdW1lbnRsYWdlcjovLzAzLzQzLzU3LzkzLzkzL2I4MTMtNGMwNy04NWYxLTdhNzkwOGM2NzRmMA.xml,true,200000.0,Frederikshavn,9900.0,89.0,Rimmens Alle,Aalborg,9000.0,11.0,Prinsensgade,9900 Frederikshavn,Lerstien 20,DK-9900 Frederikshavn,Rimmens Alle 89,Til kapitalejeren i Pernambuko ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2019-07-03,2010-07-01,2019-07-04,Statsautoriseret revisor,-105000.0,,20222670.0,33070993.0,20222670.0,mne31387,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019 for Pernambuko ApS.,,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Allan Andersen,Per Boelsmann Kristensen,Per Boelsmann Kristensen,Danske Bank,Pernambuko ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Frederikshavn,2017-07-01,2018-06-30,-124786.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Frederikshavn,2019-06-30,2018-07-01,-35277.0,true,2019-07-03,Frederikshavn,,urn:ofk:oid:27654657,indberetninger-20180424,2.5122635,33070993.0,AWvA68hWIXJRhhXBLu55,2019-07-05T06:57:00.899Z,2019-07-05T06:56:45.403Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-BT-02-ND,2019-07-05T06:56:45.732Z,,,,,,,,,,,,,,,,,,,,,,,
