entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityPostcodeAndTown,AddressOfReportingEntityStreetAndNumber,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DescriptionOfAuditor,DisclosureOfInvestments,DisclosureOfLiabilitiesUnderLeases,DisclosureOfOtherFinanceIncome,EmployeeBenefitsExpense,GrossResult,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,StatementOnOptingOutOfAuditingFinancialStatementsInNextReportingPeriodDueToExemption,TaxExpenseOnOrdinaryActivities,TitleOfMemberOfExecutiveBoard,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,DeferredIncomeAssets,Equity,FixturesFittingsToolsAndEquipment,Inventories,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermLeaseCommitments,LongtermLiabilitiesOtherThanProvisions,NoncurrentAssets,OtherLongtermReceivables,OtherShorttermPayables,OtherShorttermReceivables,PayablesToShareholdersAndManagement,PropertyPlantAndEquipment,RawMaterialsAndConsumables,RetainedEarnings,ShorttermDebtToBanks,ShorttermLiabilitiesOtherThanProvisions,ShorttermPartOfLongtermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTradePayables,ShorttermTradeReceivables
entity identifier,2011-01-01,2011-12-31,ID_10,http://regnskaber.virk.dk/71142572/Y3ZyLmRrOi8vcGRmcy8yNzUyNDExNztBcFMzNzYwNDA7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/71142572/Y3ZyLmRrOi8veGJybHMvWC1FMDk0NEYyNS0yMDEzMDUyOF8wODI0NDZfMTQw.xml,"Roskilde, 4000",Ternevej 57,"Roskilde, 4000",Ledreborg AllÃ© 130 i,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2006-06-14,2013-05-28,36417.0,Registreret revisor,. Oplysninger om kapitalandele i tilknyttede og associerede virksomheder,". Forpligtelser i henhold til leje- eller leasingkontrakter, der ikke er indregnet i balancen",. Finansielle indtÃ¦gter,353190.0,-333352.0,11332609.0,27524117.0,11332609.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar 2012 - 31. december 2012 for CC Installation ApS.,Ãrsrapport,Merete Jacobsen,Claus Christensen,Claus Christensen,"Mer Revision, FSR - danske revisorer",CC Installation ApS,"Mer Revision, FSR - danske revisorer",18188.0,55914.0,74443.0,56255.0,2012-12-31,2012-01-01,2013-05-28,Roskilde,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",-18529.0,Administrerende direktÃ¸r,urn:ofk:oid:17664917,indberetninger-20180424,2.5124327999999996,27524117.0,,2018-04-01T22:13:19.881Z,2013-05-28T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-96.268,2013-05-28T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-01-01,2011-12-31,ID_12,http://regnskaber.virk.dk/71142572/Y3ZyLmRrOi8vcGRmcy8yNzUyNDExNztBcFMzNzYwNDA7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/71142572/Y3ZyLmRrOi8veGJybHMvWC1FMDk0NEYyNS0yMDEzMDUyOF8wODI0NDZfMTQw.xml,"Roskilde, 4000",Ternevej 57,"Roskilde, 4000",Ledreborg AllÃ© 130 i,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2006-06-14,2013-05-28,,Registreret revisor,. Oplysninger om kapitalandele i tilknyttede og associerede virksomheder,". Forpligtelser i henhold til leje- eller leasingkontrakter, der ikke er indregnet i balancen",. Finansielle indtÃ¦gter,,,11332609.0,27524117.0,11332609.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar 2012 - 31. december 2012 for CC Installation ApS.,Ãrsrapport,Merete Jacobsen,Claus Christensen,Claus Christensen,"Mer Revision, FSR - danske revisorer",CC Installation ApS,"Mer Revision, FSR - danske revisorer",,-55914.0,,,2012-12-31,2012-01-01,2013-05-28,Roskilde,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",,Administrerende direktÃ¸r,urn:ofk:oid:17664917,indberetninger-20180424,2.5124327999999996,27524117.0,,2018-04-01T22:13:19.881Z,2013-05-28T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-96.268,2013-05-28T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-01-01,2011-12-31,ID_14,http://regnskaber.virk.dk/71142572/Y3ZyLmRrOi8vcGRmcy8yNzUyNDExNztBcFMzNzYwNDA7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/71142572/Y3ZyLmRrOi8veGJybHMvWC1FMDk0NEYyNS0yMDEzMDUyOF8wODI0NDZfMTQw.xml,"Roskilde, 4000",Ternevej 57,"Roskilde, 4000",Ledreborg AllÃ© 130 i,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2006-06-14,2013-05-28,,Registreret revisor,. Oplysninger om kapitalandele i tilknyttede og associerede virksomheder,". Forpligtelser i henhold til leje- eller leasingkontrakter, der ikke er indregnet i balancen",. Finansielle indtÃ¦gter,,,11332609.0,27524117.0,11332609.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar 2012 - 31. december 2012 for CC Installation ApS.,Ãrsrapport,Merete Jacobsen,Claus Christensen,Claus Christensen,"Mer Revision, FSR - danske revisorer",CC Installation ApS,"Mer Revision, FSR - danske revisorer",,-55914.0,,,2012-12-31,2012-01-01,2013-05-28,Roskilde,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",,Administrerende direktÃ¸r,urn:ofk:oid:17664917,indberetninger-20180424,2.5124327999999996,27524117.0,,2018-04-01T22:13:19.881Z,2013-05-28T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-96.268,2013-05-28T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-12-31,2011-12-31,ID_16,http://regnskaber.virk.dk/71142572/Y3ZyLmRrOi8vcGRmcy8yNzUyNDExNztBcFMzNzYwNDA7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/71142572/Y3ZyLmRrOi8veGJybHMvWC1FMDk0NEYyNS0yMDEzMDUyOF8wODI0NDZfMTQw.xml,"Roskilde, 4000",Ternevej 57,"Roskilde, 4000",Ledreborg AllÃ© 130 i,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2006-06-14,2013-05-28,,Registreret revisor,. Oplysninger om kapitalandele i tilknyttede og associerede virksomheder,". Forpligtelser i henhold til leje- eller leasingkontrakter, der ikke er indregnet i balancen",. Finansielle indtÃ¦gter,,,11332609.0,27524117.0,11332609.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar 2012 - 31. december 2012 for CC Installation ApS.,Ãrsrapport,Merete Jacobsen,Claus Christensen,Claus Christensen,"Mer Revision, FSR - danske revisorer",CC Installation ApS,"Mer Revision, FSR - danske revisorer",,,,,2012-12-31,2012-01-01,2013-05-28,Roskilde,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",,Administrerende direktÃ¸r,urn:ofk:oid:17664917,indberetninger-20180424,2.5124327999999996,27524117.0,,2018-04-01T22:13:19.881Z,2013-05-28T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-96.268,2013-05-28T22:00:00.000Z,713486.0,-125000.0,513959.0,41529.0,0.0,-14599.0,193527.0,61246.0,-713486.0,-698887.0,6000.0,-141416.0,-270166.0,199527.0,6000.0,-119834.0,0.0,-128750.0,193527.0,61246.0,110401.0,-192963.0,-428721.0,0.0,452713.0,-115924.0,411184.0
entity identifier,2012-01-01,2012-12-31,ID_0,http://regnskaber.virk.dk/71142572/Y3ZyLmRrOi8vcGRmcy8yNzUyNDExNztBcFMzNzYwNDA7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/71142572/Y3ZyLmRrOi8veGJybHMvWC1FMDk0NEYyNS0yMDEzMDUyOF8wODI0NDZfMTQw.xml,"Roskilde, 4000",Ternevej 57,"Roskilde, 4000",Ledreborg AllÃ© 130 i,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2006-06-14,2013-05-28,,Registreret revisor,. Oplysninger om kapitalandele i tilknyttede og associerede virksomheder,". Forpligtelser i henhold til leje- eller leasingkontrakter, der ikke er indregnet i balancen",. Finansielle indtÃ¦gter,,,11332609.0,27524117.0,11332609.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar 2012 - 31. december 2012 for CC Installation ApS.,Ãrsrapport,Merete Jacobsen,Claus Christensen,Claus Christensen,"Mer Revision, FSR - danske revisorer",CC Installation ApS,"Mer Revision, FSR - danske revisorer",,,,,2012-12-31,2012-01-01,2013-05-28,Roskilde,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",,Administrerende direktÃ¸r,urn:ofk:oid:17664917,indberetninger-20180424,2.5124327999999996,27524117.0,,2018-04-01T22:13:19.881Z,2013-05-28T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-96.268,2013-05-28T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_1,http://regnskaber.virk.dk/71142572/Y3ZyLmRrOi8vcGRmcy8yNzUyNDExNztBcFMzNzYwNDA7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/71142572/Y3ZyLmRrOi8veGJybHMvWC1FMDk0NEYyNS0yMDEzMDUyOF8wODI0NDZfMTQw.xml,"Roskilde, 4000",Ternevej 57,"Roskilde, 4000",Ledreborg AllÃ© 130 i,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2006-06-14,2013-05-28,,Registreret revisor,. Oplysninger om kapitalandele i tilknyttede og associerede virksomheder,". Forpligtelser i henhold til leje- eller leasingkontrakter, der ikke er indregnet i balancen",. Finansielle indtÃ¦gter,,,11332609.0,27524117.0,11332609.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar 2012 - 31. december 2012 for CC Installation ApS.,Ãrsrapport,Merete Jacobsen,Claus Christensen,Claus Christensen,"Mer Revision, FSR - danske revisorer",CC Installation ApS,"Mer Revision, FSR - danske revisorer",,,,,2012-12-31,2012-01-01,2013-05-28,Roskilde,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",,Administrerende direktÃ¸r,urn:ofk:oid:17664917,indberetninger-20180424,2.5124327999999996,27524117.0,,2018-04-01T22:13:19.881Z,2013-05-28T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-96.268,2013-05-28T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_11,http://regnskaber.virk.dk/71142572/Y3ZyLmRrOi8vcGRmcy8yNzUyNDExNztBcFMzNzYwNDA7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/71142572/Y3ZyLmRrOi8veGJybHMvWC1FMDk0NEYyNS0yMDEzMDUyOF8wODI0NDZfMTQw.xml,"Roskilde, 4000",Ternevej 57,"Roskilde, 4000",Ledreborg AllÃ© 130 i,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2006-06-14,2013-05-28,,Registreret revisor,. Oplysninger om kapitalandele i tilknyttede og associerede virksomheder,". Forpligtelser i henhold til leje- eller leasingkontrakter, der ikke er indregnet i balancen",. Finansielle indtÃ¦gter,,,11332609.0,27524117.0,11332609.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar 2012 - 31. december 2012 for CC Installation ApS.,Ãrsrapport,Merete Jacobsen,Claus Christensen,Claus Christensen,"Mer Revision, FSR - danske revisorer",CC Installation ApS,"Mer Revision, FSR - danske revisorer",,18357.0,,,2012-12-31,2012-01-01,2013-05-28,Roskilde,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",,Administrerende direktÃ¸r,urn:ofk:oid:17664917,indberetninger-20180424,2.5124327999999996,27524117.0,,2018-04-01T22:13:19.881Z,2013-05-28T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-96.268,2013-05-28T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_13,http://regnskaber.virk.dk/71142572/Y3ZyLmRrOi8vcGRmcy8yNzUyNDExNztBcFMzNzYwNDA7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/71142572/Y3ZyLmRrOi8veGJybHMvWC1FMDk0NEYyNS0yMDEzMDUyOF8wODI0NDZfMTQw.xml,"Roskilde, 4000",Ternevej 57,"Roskilde, 4000",Ledreborg AllÃ© 130 i,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2006-06-14,2013-05-28,,Registreret revisor,. Oplysninger om kapitalandele i tilknyttede og associerede virksomheder,". Forpligtelser i henhold til leje- eller leasingkontrakter, der ikke er indregnet i balancen",. Finansielle indtÃ¦gter,,,11332609.0,27524117.0,11332609.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar 2012 - 31. december 2012 for CC Installation ApS.,Ãrsrapport,Merete Jacobsen,Claus Christensen,Claus Christensen,"Mer Revision, FSR - danske revisorer",CC Installation ApS,"Mer Revision, FSR - danske revisorer",,18357.0,,,2012-12-31,2012-01-01,2013-05-28,Roskilde,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",,Administrerende direktÃ¸r,urn:ofk:oid:17664917,indberetninger-20180424,2.5124327999999996,27524117.0,,2018-04-01T22:13:19.881Z,2013-05-28T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-96.268,2013-05-28T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_17,http://regnskaber.virk.dk/71142572/Y3ZyLmRrOi8vcGRmcy8yNzUyNDExNztBcFMzNzYwNDA7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/71142572/Y3ZyLmRrOi8veGJybHMvWC1FMDk0NEYyNS0yMDEzMDUyOF8wODI0NDZfMTQw.xml,"Roskilde, 4000",Ternevej 57,"Roskilde, 4000",Ledreborg AllÃ© 130 i,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2006-06-14,2013-05-28,,Registreret revisor,. Oplysninger om kapitalandele i tilknyttede og associerede virksomheder,". Forpligtelser i henhold til leje- eller leasingkontrakter, der ikke er indregnet i balancen",. Finansielle indtÃ¦gter,,,11332609.0,27524117.0,11332609.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar 2012 - 31. december 2012 for CC Installation ApS.,Ãrsrapport,Merete Jacobsen,Claus Christensen,Claus Christensen,"Mer Revision, FSR - danske revisorer",CC Installation ApS,"Mer Revision, FSR - danske revisorer",,,,,2012-12-31,2012-01-01,2013-05-28,Roskilde,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",,Administrerende direktÃ¸r,urn:ofk:oid:17664917,indberetninger-20180424,2.5124327999999996,27524117.0,,2018-04-01T22:13:19.881Z,2013-05-28T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-96.268,2013-05-28T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_18,http://regnskaber.virk.dk/71142572/Y3ZyLmRrOi8vcGRmcy8yNzUyNDExNztBcFMzNzYwNDA7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/71142572/Y3ZyLmRrOi8veGJybHMvWC1FMDk0NEYyNS0yMDEzMDUyOF8wODI0NDZfMTQw.xml,"Roskilde, 4000",Ternevej 57,"Roskilde, 4000",Ledreborg AllÃ© 130 i,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2006-06-14,2013-05-28,,Registreret revisor,. Oplysninger om kapitalandele i tilknyttede og associerede virksomheder,". Forpligtelser i henhold til leje- eller leasingkontrakter, der ikke er indregnet i balancen",. Finansielle indtÃ¦gter,,,11332609.0,27524117.0,11332609.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar 2012 - 31. december 2012 for CC Installation ApS.,Ãrsrapport,Merete Jacobsen,Claus Christensen,Claus Christensen,"Mer Revision, FSR - danske revisorer",CC Installation ApS,"Mer Revision, FSR - danske revisorer",,,,,2012-12-31,2012-01-01,2013-05-28,Roskilde,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",,Administrerende direktÃ¸r,urn:ofk:oid:17664917,indberetninger-20180424,2.5124327999999996,27524117.0,,2018-04-01T22:13:19.881Z,2013-05-28T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-96.268,2013-05-28T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
