entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,EmailOfReportingEntity,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfFinancialInstitution,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TelephoneNumberOfReportingEntity,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,GrossProfitLoss,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,OtherFinanceExpenses,OtherFinanceIncome,OtherFinanceIncomeFromGroupEnterprises,ProfitLossFromOrdinaryActivitiesBeforeTax,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,OtherShorttermInvestments,OtherShorttermPayables,ProposedDividendRecognisedInEquity,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,ShorttermTaxReceivables,ShorttermTaxReceivablesFromGroupEnterprises,ShorttermTradePayables
35413987,2016-07-01,2017-06-30,ID_11,,http://regnskaber.virk.dk/78931453/ZG9rdW1lbnRsYWdlcjovLzAzLzQ4L2IyL2M5L2FlLzQyMDAtNDhiYy1hZDg0LWVhMjc5YWVhNWYxNQ.pdf,http://regnskaber.virk.dk/78931453/ZG9rdW1lbnRsYWdlcjovLzAzLzRlLzA1LzA5LzA4LzU0YzMtNGRlNS04NTkyLTJmZTRmYTZiNTMzYQ.xml,true,"8000, Aarhus C",Store Torv 5,Til den daglige ledelse i MOST Holding 2013 ApS,Regnskabsklasse B,2018-09-17,2018-09-17,2013-08-16,2018-09-28,most@mostconsulting.dk,14343849.0,25802888.0,35413987.0,14343849.0,mne703,Ãrsrapport,Arne KjÃ¦r JÃ¸rgensen,Morten Straarup,Morten Straarup,Abel & JÃ¸rgensen,Fynske Bank,MOST Holding 2013 ApS,"Abel & JÃ¸rgensen, Registreret revisionsanpartsselskab",Aarhus,2016-07-01,2017-06-30,-462425.0,2018-06-30,2017-07-01,false,2018-09-17,Aarhus,40454150.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26158149,indberetninger-20180424,2.5118406,35413987.0,AWYudK_s5OzuYdPkEyKd,2018-10-01T07:09:07.636Z,2018-10-01T07:08:09.376Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-AY-53-AT,2018-10-01T07:08:09.522Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35413987,2016-07-01,2017-06-30,ID_6,,http://regnskaber.virk.dk/78931453/ZG9rdW1lbnRsYWdlcjovLzAzLzQ4L2IyL2M5L2FlLzQyMDAtNDhiYy1hZDg0LWVhMjc5YWVhNWYxNQ.pdf,http://regnskaber.virk.dk/78931453/ZG9rdW1lbnRsYWdlcjovLzAzLzRlLzA1LzA5LzA4LzU0YzMtNGRlNS04NTkyLTJmZTRmYTZiNTMzYQ.xml,true,"8000, Aarhus C",Store Torv 5,Til den daglige ledelse i MOST Holding 2013 ApS,Regnskabsklasse B,2018-09-17,2018-09-17,2013-08-16,2018-09-28,most@mostconsulting.dk,14343849.0,25802888.0,35413987.0,14343849.0,mne703,Ãrsrapport,Arne KjÃ¦r JÃ¸rgensen,Morten Straarup,Morten Straarup,Abel & JÃ¸rgensen,Fynske Bank,MOST Holding 2013 ApS,"Abel & JÃ¸rgensen, Registreret revisionsanpartsselskab",Aarhus,2016-07-01,2017-06-30,1514365.0,2018-06-30,2017-07-01,false,2018-09-17,Aarhus,40454150.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26158149,indberetninger-20180424,2.5118406,35413987.0,AWYudK_s5OzuYdPkEyKd,2018-10-01T07:09:07.636Z,2018-10-01T07:08:09.376Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-AY-53-AT,2018-10-01T07:08:09.522Z,-16327.0,1362425.0,25554.0,104770.0,132279.0,1557593.0,43228.0,,,,,,,,,,,,,,,,,,,,,,,,
35413987,2016-07-01,2017-06-30,ID_7,,http://regnskaber.virk.dk/78931453/ZG9rdW1lbnRsYWdlcjovLzAzLzQ4L2IyL2M5L2FlLzQyMDAtNDhiYy1hZDg0LWVhMjc5YWVhNWYxNQ.pdf,http://regnskaber.virk.dk/78931453/ZG9rdW1lbnRsYWdlcjovLzAzLzRlLzA1LzA5LzA4LzU0YzMtNGRlNS04NTkyLTJmZTRmYTZiNTMzYQ.xml,true,"8000, Aarhus C",Store Torv 5,Til den daglige ledelse i MOST Holding 2013 ApS,Regnskabsklasse B,2018-09-17,2018-09-17,2013-08-16,2018-09-28,most@mostconsulting.dk,14343849.0,25802888.0,35413987.0,14343849.0,mne703,Ãrsrapport,Arne KjÃ¦r JÃ¸rgensen,Morten Straarup,Morten Straarup,Abel & JÃ¸rgensen,Fynske Bank,MOST Holding 2013 ApS,"Abel & JÃ¸rgensen, Registreret revisionsanpartsselskab",Aarhus,2016-07-01,2017-06-30,-1000240.0,2018-06-30,2017-07-01,false,2018-09-17,Aarhus,40454150.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26158149,indberetninger-20180424,2.5118406,35413987.0,AWYudK_s5OzuYdPkEyKd,2018-10-01T07:09:07.636Z,2018-10-01T07:08:09.376Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-AY-53-AT,2018-10-01T07:08:09.522Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35413987,2016-07-01,2017-06-30,ID_9,,http://regnskaber.virk.dk/78931453/ZG9rdW1lbnRsYWdlcjovLzAzLzQ4L2IyL2M5L2FlLzQyMDAtNDhiYy1hZDg0LWVhMjc5YWVhNWYxNQ.pdf,http://regnskaber.virk.dk/78931453/ZG9rdW1lbnRsYWdlcjovLzAzLzRlLzA1LzA5LzA4LzU0YzMtNGRlNS04NTkyLTJmZTRmYTZiNTMzYQ.xml,true,"8000, Aarhus C",Store Torv 5,Til den daglige ledelse i MOST Holding 2013 ApS,Regnskabsklasse B,2018-09-17,2018-09-17,2013-08-16,2018-09-28,most@mostconsulting.dk,14343849.0,25802888.0,35413987.0,14343849.0,mne703,Ãrsrapport,Arne KjÃ¦r JÃ¸rgensen,Morten Straarup,Morten Straarup,Abel & JÃ¸rgensen,Fynske Bank,MOST Holding 2013 ApS,"Abel & JÃ¸rgensen, Registreret revisionsanpartsselskab",Aarhus,2016-07-01,2017-06-30,-51700.0,2018-06-30,2017-07-01,false,2018-09-17,Aarhus,40454150.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26158149,indberetninger-20180424,2.5118406,35413987.0,AWYudK_s5OzuYdPkEyKd,2018-10-01T07:09:07.636Z,2018-10-01T07:08:09.376Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-AY-53-AT,2018-10-01T07:08:09.522Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35413987,2017-06-30,2017-06-30,ID_5,,http://regnskaber.virk.dk/78931453/ZG9rdW1lbnRsYWdlcjovLzAzLzQ4L2IyL2M5L2FlLzQyMDAtNDhiYy1hZDg0LWVhMjc5YWVhNWYxNQ.pdf,http://regnskaber.virk.dk/78931453/ZG9rdW1lbnRsYWdlcjovLzAzLzRlLzA1LzA5LzA4LzU0YzMtNGRlNS04NTkyLTJmZTRmYTZiNTMzYQ.xml,true,"8000, Aarhus C",Store Torv 5,Til den daglige ledelse i MOST Holding 2013 ApS,Regnskabsklasse B,2018-09-17,2018-09-17,2013-08-16,2018-09-28,most@mostconsulting.dk,14343849.0,25802888.0,35413987.0,14343849.0,mne703,Ãrsrapport,Arne KjÃ¦r JÃ¸rgensen,Morten Straarup,Morten Straarup,Abel & JÃ¸rgensen,Fynske Bank,MOST Holding 2013 ApS,"Abel & JÃ¸rgensen, Registreret revisionsanpartsselskab",Aarhus,2016-07-01,2017-06-30,,2018-06-30,2017-07-01,false,2018-09-17,Aarhus,40454150.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26158149,indberetninger-20180424,2.5118406,35413987.0,AWYudK_s5OzuYdPkEyKd,2018-10-01T07:09:07.636Z,2018-10-01T07:08:09.376Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-AY-53-AT,2018-10-01T07:08:09.522Z,,,,,,,,9979655.0,300005.0,80000.0,6062520.0,8454938.0,9979655.0,1524717.0,3917135.0,3917135.0,3917135.0,417227.0,947.0,51700.0,2322831.0,6000407.0,417227.0,1524717.0,1334338.0,5345288.0,5077588.0,174432.0,21452.0,246248.0,15000.0
35413987,2017-07-01,2018-06-30,ID_0,,http://regnskaber.virk.dk/78931453/ZG9rdW1lbnRsYWdlcjovLzAzLzQ4L2IyL2M5L2FlLzQyMDAtNDhiYy1hZDg0LWVhMjc5YWVhNWYxNQ.pdf,http://regnskaber.virk.dk/78931453/ZG9rdW1lbnRsYWdlcjovLzAzLzRlLzA1LzA5LzA4LzU0YzMtNGRlNS04NTkyLTJmZTRmYTZiNTMzYQ.xml,true,"8000, Aarhus C",Store Torv 5,Til den daglige ledelse i MOST Holding 2013 ApS,Regnskabsklasse B,2018-09-17,2018-09-17,2013-08-16,2018-09-28,most@mostconsulting.dk,14343849.0,25802888.0,35413987.0,14343849.0,mne703,Ãrsrapport,Arne KjÃ¦r JÃ¸rgensen,Morten Straarup,Morten Straarup,Abel & JÃ¸rgensen,Fynske Bank,MOST Holding 2013 ApS,"Abel & JÃ¸rgensen, Registreret revisionsanpartsselskab",Aarhus,2016-07-01,2017-06-30,1897704.0,2018-06-30,2017-07-01,false,2018-09-17,Aarhus,40454150.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26158149,indberetninger-20180424,2.5118406,35413987.0,AWYudK_s5OzuYdPkEyKd,2018-10-01T07:09:07.636Z,2018-10-01T07:08:09.376Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-AY-53-AT,2018-10-01T07:08:09.522Z,-14527.0,1976204.0,103434.0,180.0,17122.0,1875545.0,-22159.0,,,,,,,,,,,,,,,,,,,,,,,,
35413987,2017-07-01,2018-06-30,ID_1,,http://regnskaber.virk.dk/78931453/ZG9rdW1lbnRsYWdlcjovLzAzLzQ4L2IyL2M5L2FlLzQyMDAtNDhiYy1hZDg0LWVhMjc5YWVhNWYxNQ.pdf,http://regnskaber.virk.dk/78931453/ZG9rdW1lbnRsYWdlcjovLzAzLzRlLzA1LzA5LzA4LzU0YzMtNGRlNS04NTkyLTJmZTRmYTZiNTMzYQ.xml,true,"8000, Aarhus C",Store Torv 5,Til den daglige ledelse i MOST Holding 2013 ApS,Regnskabsklasse B,2018-09-17,2018-09-17,2013-08-16,2018-09-28,most@mostconsulting.dk,14343849.0,25802888.0,35413987.0,14343849.0,mne703,Ãrsrapport,Arne KjÃ¦r JÃ¸rgensen,Morten Straarup,Morten Straarup,Abel & JÃ¸rgensen,Fynske Bank,MOST Holding 2013 ApS,"Abel & JÃ¸rgensen, Registreret revisionsanpartsselskab",Aarhus,2016-07-01,2017-06-30,,2018-06-30,2017-07-01,false,2018-09-17,Aarhus,40454150.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26158149,indberetninger-20180424,2.5118406,35413987.0,AWYudK_s5OzuYdPkEyKd,2018-10-01T07:09:07.636Z,2018-10-01T07:08:09.376Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-AY-53-AT,2018-10-01T07:08:09.522Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35413987,2017-07-01,2018-06-30,ID_10,,http://regnskaber.virk.dk/78931453/ZG9rdW1lbnRsYWdlcjovLzAzLzQ4L2IyL2M5L2FlLzQyMDAtNDhiYy1hZDg0LWVhMjc5YWVhNWYxNQ.pdf,http://regnskaber.virk.dk/78931453/ZG9rdW1lbnRsYWdlcjovLzAzLzRlLzA1LzA5LzA4LzU0YzMtNGRlNS04NTkyLTJmZTRmYTZiNTMzYQ.xml,true,"8000, Aarhus C",Store Torv 5,Til den daglige ledelse i MOST Holding 2013 ApS,Regnskabsklasse B,2018-09-17,2018-09-17,2013-08-16,2018-09-28,most@mostconsulting.dk,14343849.0,25802888.0,35413987.0,14343849.0,mne703,Ãrsrapport,Arne KjÃ¦r JÃ¸rgensen,Morten Straarup,Morten Straarup,Abel & JÃ¸rgensen,Fynske Bank,MOST Holding 2013 ApS,"Abel & JÃ¸rgensen, Registreret revisionsanpartsselskab",Aarhus,2016-07-01,2017-06-30,-976204.0,2018-06-30,2017-07-01,false,2018-09-17,Aarhus,40454150.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26158149,indberetninger-20180424,2.5118406,35413987.0,AWYudK_s5OzuYdPkEyKd,2018-10-01T07:09:07.636Z,2018-10-01T07:08:09.376Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-AY-53-AT,2018-10-01T07:08:09.522Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35413987,2017-07-01,2018-06-30,ID_12,,http://regnskaber.virk.dk/78931453/ZG9rdW1lbnRsYWdlcjovLzAzLzQ4L2IyL2M5L2FlLzQyMDAtNDhiYy1hZDg0LWVhMjc5YWVhNWYxNQ.pdf,http://regnskaber.virk.dk/78931453/ZG9rdW1lbnRsYWdlcjovLzAzLzRlLzA1LzA5LzA4LzU0YzMtNGRlNS04NTkyLTJmZTRmYTZiNTMzYQ.xml,true,"8000, Aarhus C",Store Torv 5,Til den daglige ledelse i MOST Holding 2013 ApS,Regnskabsklasse B,2018-09-17,2018-09-17,2013-08-16,2018-09-28,most@mostconsulting.dk,14343849.0,25802888.0,35413987.0,14343849.0,mne703,Ãrsrapport,Arne KjÃ¦r JÃ¸rgensen,Morten Straarup,Morten Straarup,Abel & JÃ¸rgensen,Fynske Bank,MOST Holding 2013 ApS,"Abel & JÃ¸rgensen, Registreret revisionsanpartsselskab",Aarhus,2016-07-01,2017-06-30,-868600.0,2018-06-30,2017-07-01,false,2018-09-17,Aarhus,40454150.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26158149,indberetninger-20180424,2.5118406,35413987.0,AWYudK_s5OzuYdPkEyKd,2018-10-01T07:09:07.636Z,2018-10-01T07:08:09.376Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-AY-53-AT,2018-10-01T07:08:09.522Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35413987,2017-07-01,2018-06-30,ID_2,,http://regnskaber.virk.dk/78931453/ZG9rdW1lbnRsYWdlcjovLzAzLzQ4L2IyL2M5L2FlLzQyMDAtNDhiYy1hZDg0LWVhMjc5YWVhNWYxNQ.pdf,http://regnskaber.virk.dk/78931453/ZG9rdW1lbnRsYWdlcjovLzAzLzRlLzA1LzA5LzA4LzU0YzMtNGRlNS04NTkyLTJmZTRmYTZiNTMzYQ.xml,true,"8000, Aarhus C",Store Torv 5,Til den daglige ledelse i MOST Holding 2013 ApS,Regnskabsklasse B,2018-09-17,2018-09-17,2013-08-16,2018-09-28,most@mostconsulting.dk,14343849.0,25802888.0,35413987.0,14343849.0,mne703,Ãrsrapport,Arne KjÃ¦r JÃ¸rgensen,Morten Straarup,Morten Straarup,Abel & JÃ¸rgensen,Fynske Bank,MOST Holding 2013 ApS,"Abel & JÃ¸rgensen, Registreret revisionsanpartsselskab",Aarhus,2016-07-01,2017-06-30,,2018-06-30,2017-07-01,false,2018-09-17,Aarhus,40454150.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26158149,indberetninger-20180424,2.5118406,35413987.0,AWYudK_s5OzuYdPkEyKd,2018-10-01T07:09:07.636Z,2018-10-01T07:08:09.376Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-AY-53-AT,2018-10-01T07:08:09.522Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
