entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,CashAndCashEquivalents,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DisclosureOfMortgagesAndCollaterals,IdentificationNumberCvrOfReportingEntity,IncomeFromOtherLongtermInvestmentsAndReceivables,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncomeFromGroupEnterprises,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProposedDividendRecognisedInEquity,ReportingPeriodEndDate,ReportingPeriodStartDate,ReserveForNetRevaluationAccordingToEquityMethod,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,StatementOnOptingOutOfAuditingFinancialStatementsInNextReportingPeriodDueToExemption,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables
35836489,2014-04-16,2014-12-31,c2,http://regnskaber.virk.dk/98463853/ZG9rdW1lbnRsYWdlcjovLzAzLzc0L2I0LzkyLzgzLzIyNmEtNGUyNy1hM2ZmLTY5YTRlYzkxZDk1OA.xhtml,http://regnskaber.virk.dk/98463853/ZG9rdW1lbnRsYWdlcjovLzAzLzMyLzcyLzIwLzI1Lzc3YzAtNDVhZC05MzY2LWJmZjI4OTQ4MzMxOA.pdf,http://regnskaber.virk.dk/98463853/ZG9rdW1lbnRsYWdlcjovLzAzLzk5Lzc5LzNiLzdiLzFkMjItNGZkNy1hZTVjLTc4NzM0MzlkMmYyMQ.xml,true,Randers SV,8940.0,62.0,Kertemindevej,9200 Aalborg SV,Hobrovej 372,633295.0,Regnskabsklasse B,2016-06-01,2016-06-02,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen pantsÃ¦tninger eller sikkerhedsstillelser</p>",35836489.0,1500000.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jesper Thorsen,Jesper Jarl Thorsen,Vestjysk Bank,WINCON HOLDING ApS,Bjarne Bilenberg,9.0,900000.0,Randers SV,2014-04-16,2014-12-31,1500000.0,1500000.0,199600.0,2015-12-31,2015-01-01,6298796.0,false,false,Der er ogsÃ¥ for kommende indkomstÃ¥r fravalgt revision i henhold til lovgivning,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:22594173,indberetninger-20180424,2.5927877,35836489.0,,2018-03-28T21:58:06.441Z,2016-06-03T10:01:06.354Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AX-77-AE,2016-06-03T10:01:06.527Z,,,,,,,,,,,,,,,
35836489,2014-04-16,2014-12-31,c6,http://regnskaber.virk.dk/98463853/ZG9rdW1lbnRsYWdlcjovLzAzLzc0L2I0LzkyLzgzLzIyNmEtNGUyNy1hM2ZmLTY5YTRlYzkxZDk1OA.xhtml,http://regnskaber.virk.dk/98463853/ZG9rdW1lbnRsYWdlcjovLzAzLzMyLzcyLzIwLzI1Lzc3YzAtNDVhZC05MzY2LWJmZjI4OTQ4MzMxOA.pdf,http://regnskaber.virk.dk/98463853/ZG9rdW1lbnRsYWdlcjovLzAzLzk5Lzc5LzNiLzdiLzFkMjItNGZkNy1hZTVjLTc4NzM0MzlkMmYyMQ.xml,true,Randers SV,8940.0,62.0,Kertemindevej,9200 Aalborg SV,Hobrovej 372,633295.0,Regnskabsklasse B,2016-06-01,2016-06-02,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen pantsÃ¦tninger eller sikkerhedsstillelser</p>",35836489.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jesper Thorsen,Jesper Jarl Thorsen,Vestjysk Bank,WINCON HOLDING ApS,Bjarne Bilenberg,9.0,900000.0,Randers SV,2014-04-16,2014-12-31,1500000.0,,199600.0,2015-12-31,2015-01-01,6298796.0,false,false,Der er ogsÃ¥ for kommende indkomstÃ¥r fravalgt revision i henhold til lovgivning,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:22594173,indberetninger-20180424,2.5927877,35836489.0,,2018-03-28T21:58:06.441Z,2016-06-03T10:01:06.354Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AX-77-AE,2016-06-03T10:01:06.527Z,,,,,,,,,,,,,,,
35836489,2014-12-31,2014-12-31,c8,http://regnskaber.virk.dk/98463853/ZG9rdW1lbnRsYWdlcjovLzAzLzc0L2I0LzkyLzgzLzIyNmEtNGUyNy1hM2ZmLTY5YTRlYzkxZDk1OA.xhtml,http://regnskaber.virk.dk/98463853/ZG9rdW1lbnRsYWdlcjovLzAzLzMyLzcyLzIwLzI1Lzc3YzAtNDVhZC05MzY2LWJmZjI4OTQ4MzMxOA.pdf,http://regnskaber.virk.dk/98463853/ZG9rdW1lbnRsYWdlcjovLzAzLzk5Lzc5LzNiLzdiLzFkMjItNGZkNy1hZTVjLTc4NzM0MzlkMmYyMQ.xml,true,Randers SV,8940.0,62.0,Kertemindevej,9200 Aalborg SV,Hobrovej 372,633295.0,Regnskabsklasse B,2016-06-01,2016-06-02,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen pantsÃ¦tninger eller sikkerhedsstillelser</p>",35836489.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jesper Thorsen,Jesper Jarl Thorsen,Vestjysk Bank,WINCON HOLDING ApS,Bjarne Bilenberg,9.0,900000.0,Randers SV,2014-04-16,2014-12-31,,,199600.0,2015-12-31,2015-01-01,6298796.0,false,false,Der er ogsÃ¥ for kommende indkomstÃ¥r fravalgt revision i henhold til lovgivning,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:22594173,indberetninger-20180424,2.5927877,35836489.0,,2018-03-28T21:58:06.441Z,2016-06-03T10:01:06.354Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AX-77-AE,2016-06-03T10:01:06.527Z,19792670.0,50000.0,2337374.0,1550000.0,19792670.0,18242670.0,17455296.0,17455296.0,17455296.0,1500000.0,18242670.0,17405296.0,2337374.0,2337374.0,837374.0
35836489,2015-01-01,2015-01-01,c10,http://regnskaber.virk.dk/98463853/ZG9rdW1lbnRsYWdlcjovLzAzLzc0L2I0LzkyLzgzLzIyNmEtNGUyNy1hM2ZmLTY5YTRlYzkxZDk1OA.xhtml,http://regnskaber.virk.dk/98463853/ZG9rdW1lbnRsYWdlcjovLzAzLzMyLzcyLzIwLzI1Lzc3YzAtNDVhZC05MzY2LWJmZjI4OTQ4MzMxOA.pdf,http://regnskaber.virk.dk/98463853/ZG9rdW1lbnRsYWdlcjovLzAzLzk5Lzc5LzNiLzdiLzFkMjItNGZkNy1hZTVjLTc4NzM0MzlkMmYyMQ.xml,true,Randers SV,8940.0,62.0,Kertemindevej,9200 Aalborg SV,Hobrovej 372,633295.0,Regnskabsklasse B,2016-06-01,2016-06-02,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen pantsÃ¦tninger eller sikkerhedsstillelser</p>",35836489.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jesper Thorsen,Jesper Jarl Thorsen,Vestjysk Bank,WINCON HOLDING ApS,Bjarne Bilenberg,9.0,900000.0,Randers SV,2014-04-16,2014-12-31,,,199600.0,2015-12-31,2015-01-01,6298796.0,false,false,Der er ogsÃ¥ for kommende indkomstÃ¥r fravalgt revision i henhold til lovgivning,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:22594173,indberetninger-20180424,2.5927877,35836489.0,,2018-03-28T21:58:06.441Z,2016-06-03T10:01:06.354Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AX-77-AE,2016-06-03T10:01:06.527Z,,,,1500000.0,,,,,,,,,,,
35836489,2015-01-01,2015-01-01,c11,http://regnskaber.virk.dk/98463853/ZG9rdW1lbnRsYWdlcjovLzAzLzc0L2I0LzkyLzgzLzIyNmEtNGUyNy1hM2ZmLTY5YTRlYzkxZDk1OA.xhtml,http://regnskaber.virk.dk/98463853/ZG9rdW1lbnRsYWdlcjovLzAzLzMyLzcyLzIwLzI1Lzc3YzAtNDVhZC05MzY2LWJmZjI4OTQ4MzMxOA.pdf,http://regnskaber.virk.dk/98463853/ZG9rdW1lbnRsYWdlcjovLzAzLzk5Lzc5LzNiLzdiLzFkMjItNGZkNy1hZTVjLTc4NzM0MzlkMmYyMQ.xml,true,Randers SV,8940.0,62.0,Kertemindevej,9200 Aalborg SV,Hobrovej 372,633295.0,Regnskabsklasse B,2016-06-01,2016-06-02,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen pantsÃ¦tninger eller sikkerhedsstillelser</p>",35836489.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jesper Thorsen,Jesper Jarl Thorsen,Vestjysk Bank,WINCON HOLDING ApS,Bjarne Bilenberg,9.0,900000.0,Randers SV,2014-04-16,2014-12-31,,,199600.0,2015-12-31,2015-01-01,6298796.0,false,false,Der er ogsÃ¥ for kommende indkomstÃ¥r fravalgt revision i henhold til lovgivning,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:22594173,indberetninger-20180424,2.5927877,35836489.0,,2018-03-28T21:58:06.441Z,2016-06-03T10:01:06.354Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AX-77-AE,2016-06-03T10:01:06.527Z,,,,1550000.0,,,,,,,,,,,
35836489,2015-01-01,2015-01-01,c9,http://regnskaber.virk.dk/98463853/ZG9rdW1lbnRsYWdlcjovLzAzLzc0L2I0LzkyLzgzLzIyNmEtNGUyNy1hM2ZmLTY5YTRlYzkxZDk1OA.xhtml,http://regnskaber.virk.dk/98463853/ZG9rdW1lbnRsYWdlcjovLzAzLzMyLzcyLzIwLzI1Lzc3YzAtNDVhZC05MzY2LWJmZjI4OTQ4MzMxOA.pdf,http://regnskaber.virk.dk/98463853/ZG9rdW1lbnRsYWdlcjovLzAzLzk5Lzc5LzNiLzdiLzFkMjItNGZkNy1hZTVjLTc4NzM0MzlkMmYyMQ.xml,true,Randers SV,8940.0,62.0,Kertemindevej,9200 Aalborg SV,Hobrovej 372,633295.0,Regnskabsklasse B,2016-06-01,2016-06-02,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen pantsÃ¦tninger eller sikkerhedsstillelser</p>",35836489.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jesper Thorsen,Jesper Jarl Thorsen,Vestjysk Bank,WINCON HOLDING ApS,Bjarne Bilenberg,9.0,900000.0,Randers SV,2014-04-16,2014-12-31,,,199600.0,2015-12-31,2015-01-01,6298796.0,false,false,Der er ogsÃ¥ for kommende indkomstÃ¥r fravalgt revision i henhold til lovgivning,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:22594173,indberetninger-20180424,2.5927877,35836489.0,,2018-03-28T21:58:06.441Z,2016-06-03T10:01:06.354Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AX-77-AE,2016-06-03T10:01:06.527Z,,,,50000.0,,,,,,,,,,,
35836489,2015-01-01,2015-12-31,c0,http://regnskaber.virk.dk/98463853/ZG9rdW1lbnRsYWdlcjovLzAzLzc0L2I0LzkyLzgzLzIyNmEtNGUyNy1hM2ZmLTY5YTRlYzkxZDk1OA.xhtml,http://regnskaber.virk.dk/98463853/ZG9rdW1lbnRsYWdlcjovLzAzLzMyLzcyLzIwLzI1Lzc3YzAtNDVhZC05MzY2LWJmZjI4OTQ4MzMxOA.pdf,http://regnskaber.virk.dk/98463853/ZG9rdW1lbnRsYWdlcjovLzAzLzk5Lzc5LzNiLzdiLzFkMjItNGZkNy1hZTVjLTc4NzM0MzlkMmYyMQ.xml,true,Randers SV,8940.0,62.0,Kertemindevej,9200 Aalborg SV,Hobrovej 372,633295.0,Regnskabsklasse B,2016-06-01,2016-06-02,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen pantsÃ¦tninger eller sikkerhedsstillelser</p>",35836489.0,6298796.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jesper Thorsen,Jesper Jarl Thorsen,Vestjysk Bank,WINCON HOLDING ApS,Bjarne Bilenberg,9.0,900000.0,Randers SV,2014-04-16,2014-12-31,7198787.0,7198787.0,199600.0,2015-12-31,2015-01-01,6298796.0,false,false,Der er ogsÃ¥ for kommende indkomstÃ¥r fravalgt revision i henhold til lovgivning,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:22594173,indberetninger-20180424,2.5927877,35836489.0,,2018-03-28T21:58:06.441Z,2016-06-03T10:01:06.354Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AX-77-AE,2016-06-03T10:01:06.527Z,,,,,,,,,,,,,,,
35836489,2015-01-01,2015-12-31,c1,http://regnskaber.virk.dk/98463853/ZG9rdW1lbnRsYWdlcjovLzAzLzc0L2I0LzkyLzgzLzIyNmEtNGUyNy1hM2ZmLTY5YTRlYzkxZDk1OA.xhtml,http://regnskaber.virk.dk/98463853/ZG9rdW1lbnRsYWdlcjovLzAzLzMyLzcyLzIwLzI1Lzc3YzAtNDVhZC05MzY2LWJmZjI4OTQ4MzMxOA.pdf,http://regnskaber.virk.dk/98463853/ZG9rdW1lbnRsYWdlcjovLzAzLzk5Lzc5LzNiLzdiLzFkMjItNGZkNy1hZTVjLTc4NzM0MzlkMmYyMQ.xml,true,Randers SV,8940.0,62.0,Kertemindevej,9200 Aalborg SV,Hobrovej 372,633295.0,Regnskabsklasse B,2016-06-01,2016-06-02,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen pantsÃ¦tninger eller sikkerhedsstillelser</p>",35836489.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jesper Thorsen,Jesper Jarl Thorsen,Vestjysk Bank,WINCON HOLDING ApS,Bjarne Bilenberg,9.0,900000.0,Randers SV,2014-04-16,2014-12-31,,,199600.0,2015-12-31,2015-01-01,6298796.0,false,false,Der er ogsÃ¥ for kommende indkomstÃ¥r fravalgt revision i henhold til lovgivning,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:22594173,indberetninger-20180424,2.5927877,35836489.0,,2018-03-28T21:58:06.441Z,2016-06-03T10:01:06.354Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AX-77-AE,2016-06-03T10:01:06.527Z,,,,,,,,,,,,,,,
35836489,2015-01-01,2015-12-31,c12,http://regnskaber.virk.dk/98463853/ZG9rdW1lbnRsYWdlcjovLzAzLzc0L2I0LzkyLzgzLzIyNmEtNGUyNy1hM2ZmLTY5YTRlYzkxZDk1OA.xhtml,http://regnskaber.virk.dk/98463853/ZG9rdW1lbnRsYWdlcjovLzAzLzMyLzcyLzIwLzI1Lzc3YzAtNDVhZC05MzY2LWJmZjI4OTQ4MzMxOA.pdf,http://regnskaber.virk.dk/98463853/ZG9rdW1lbnRsYWdlcjovLzAzLzk5Lzc5LzNiLzdiLzFkMjItNGZkNy1hZTVjLTc4NzM0MzlkMmYyMQ.xml,true,Randers SV,8940.0,62.0,Kertemindevej,9200 Aalborg SV,Hobrovej 372,633295.0,Regnskabsklasse B,2016-06-01,2016-06-02,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen pantsÃ¦tninger eller sikkerhedsstillelser</p>",35836489.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jesper Thorsen,Jesper Jarl Thorsen,Vestjysk Bank,WINCON HOLDING ApS,Bjarne Bilenberg,9.0,900000.0,Randers SV,2014-04-16,2014-12-31,6298796.0,,199600.0,2015-12-31,2015-01-01,6298796.0,false,false,Der er ogsÃ¥ for kommende indkomstÃ¥r fravalgt revision i henhold til lovgivning,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:22594173,indberetninger-20180424,2.5927877,35836489.0,,2018-03-28T21:58:06.441Z,2016-06-03T10:01:06.354Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AX-77-AE,2016-06-03T10:01:06.527Z,,,,,,,,,,,,,,,
35836489,2015-01-01,2015-12-31,c13,http://regnskaber.virk.dk/98463853/ZG9rdW1lbnRsYWdlcjovLzAzLzc0L2I0LzkyLzgzLzIyNmEtNGUyNy1hM2ZmLTY5YTRlYzkxZDk1OA.xhtml,http://regnskaber.virk.dk/98463853/ZG9rdW1lbnRsYWdlcjovLzAzLzMyLzcyLzIwLzI1Lzc3YzAtNDVhZC05MzY2LWJmZjI4OTQ4MzMxOA.pdf,http://regnskaber.virk.dk/98463853/ZG9rdW1lbnRsYWdlcjovLzAzLzk5Lzc5LzNiLzdiLzFkMjItNGZkNy1hZTVjLTc4NzM0MzlkMmYyMQ.xml,true,Randers SV,8940.0,62.0,Kertemindevej,9200 Aalborg SV,Hobrovej 372,633295.0,Regnskabsklasse B,2016-06-01,2016-06-02,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen pantsÃ¦tninger eller sikkerhedsstillelser</p>",35836489.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jesper Thorsen,Jesper Jarl Thorsen,Vestjysk Bank,WINCON HOLDING ApS,Bjarne Bilenberg,9.0,900000.0,Randers SV,2014-04-16,2014-12-31,700391.0,,199600.0,2015-12-31,2015-01-01,6298796.0,false,false,Der er ogsÃ¥ for kommende indkomstÃ¥r fravalgt revision i henhold til lovgivning,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:22594173,indberetninger-20180424,2.5927877,35836489.0,,2018-03-28T21:58:06.441Z,2016-06-03T10:01:06.354Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AX-77-AE,2016-06-03T10:01:06.527Z,,,,,,,,,,,,,,,
