entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,ExplanationOfNotDisclosingCashFlowsStatements,HomepageOfReportingEntity,IdentificationNumberCvrOfReportingEntity,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,TelephoneNumberOfReportingEntity,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,GrossProfitLoss,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,OtherFinanceExpenses,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,NameAndSurnameOfMemberOfExecutiveBoard,TitleOfMemberOfExecutiveBoard
35836489,2016-01-01,2016-12-31,ID_10,,http://regnskaber.virk.dk/98463853/ZG9rdW1lbnRsYWdlcjovLzAzL2IyL2JjL2UyLzU3L2QwZDQtNGNiMC1hOTI4LTYzODA5NGY2ZTMwNw.pdf,http://regnskaber.virk.dk/98463853/ZG9rdW1lbnRsYWdlcjovLzAzLzMzL2ZhLzMzLzE1LzEwOWUtNDllNS1iNWYxLTMyZTVkNGEyMThlNQ.xml,true,"9200, Aalborg SV",Hobrovej 372,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2017 - 31-12-2017.",Betingelserne for at undlade revision er opfyldt.,2018-06-19,2018-06-19,2014-04-16,2018-06-19,Selskabet har i henhold til Ã¥rsregnskabslovens Â§86 stk. 4 undladt at udarbejde pengestrÃ¸msopgÃ¸relse.,www.wincon.dk,35836489.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2017 - 31-12-2017 for KOLD Group ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Lasse Kold,Vestjysk Bank,KOLD Group ApS,Bjarne Bilenberg,Randers SV,2016-01-01,2016-12-31,7085512.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Randers, 730",2017-12-31,2017-01-01,false,87120066.0,Ingen bistand,urn:ofk:oid:25949768,indberetninger-20180424,2.5095937000000004,35836489.0,AWRbJlTM0wkEsASkuP0E,2018-07-02T13:20:21.777Z,2018-07-02T13:19:51.188Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AS-75-QK,2018-07-02T13:19:51.344Z,,,,,,,,,,,,,,,,,,,,,,,,,
35836489,2016-01-01,2016-12-31,ID_6,,http://regnskaber.virk.dk/98463853/ZG9rdW1lbnRsYWdlcjovLzAzL2IyL2JjL2UyLzU3L2QwZDQtNGNiMC1hOTI4LTYzODA5NGY2ZTMwNw.pdf,http://regnskaber.virk.dk/98463853/ZG9rdW1lbnRsYWdlcjovLzAzLzMzL2ZhLzMzLzE1LzEwOWUtNDllNS1iNWYxLTMyZTVkNGEyMThlNQ.xml,true,"9200, Aalborg SV",Hobrovej 372,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2017 - 31-12-2017.",Betingelserne for at undlade revision er opfyldt.,2018-06-19,2018-06-19,2014-04-16,2018-06-19,Selskabet har i henhold til Ã¥rsregnskabslovens Â§86 stk. 4 undladt at udarbejde pengestrÃ¸msopgÃ¸relse.,www.wincon.dk,35836489.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2017 - 31-12-2017 for KOLD Group ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Lasse Kold,Vestjysk Bank,KOLD Group ApS,Bjarne Bilenberg,Randers SV,2016-01-01,2016-12-31,-6883112.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Randers, 730",2017-12-31,2017-01-01,false,87120066.0,Ingen bistand,urn:ofk:oid:25949768,indberetninger-20180424,2.5095937000000004,35836489.0,AWRbJlTM0wkEsASkuP0E,2018-07-02T13:20:21.777Z,2018-07-02T13:19:51.188Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AS-75-QK,2018-07-02T13:19:51.344Z,-3487.0,-6879619.0,6.0,-6883112.0,-3487.0,0.0,,,,,,,,,,,,,,,,,,,
35836489,2016-01-01,2016-12-31,ID_8,,http://regnskaber.virk.dk/98463853/ZG9rdW1lbnRsYWdlcjovLzAzL2IyL2JjL2UyLzU3L2QwZDQtNGNiMC1hOTI4LTYzODA5NGY2ZTMwNw.pdf,http://regnskaber.virk.dk/98463853/ZG9rdW1lbnRsYWdlcjovLzAzLzMzL2ZhLzMzLzE1LzEwOWUtNDllNS1iNWYxLTMyZTVkNGEyMThlNQ.xml,true,"9200, Aalborg SV",Hobrovej 372,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2017 - 31-12-2017.",Betingelserne for at undlade revision er opfyldt.,2018-06-19,2018-06-19,2014-04-16,2018-06-19,Selskabet har i henhold til Ã¥rsregnskabslovens Â§86 stk. 4 undladt at udarbejde pengestrÃ¸msopgÃ¸relse.,www.wincon.dk,35836489.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2017 - 31-12-2017 for KOLD Group ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Lasse Kold,Vestjysk Bank,KOLD Group ApS,Bjarne Bilenberg,Randers SV,2016-01-01,2016-12-31,-202400.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Randers, 730",2017-12-31,2017-01-01,false,87120066.0,Ingen bistand,urn:ofk:oid:25949768,indberetninger-20180424,2.5095937000000004,35836489.0,AWRbJlTM0wkEsASkuP0E,2018-07-02T13:20:21.777Z,2018-07-02T13:19:51.188Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AS-75-QK,2018-07-02T13:19:51.344Z,,,,,,,,,,,,,,,,,,,,,,,,,
35836489,2016-12-31,2016-12-31,ID_5,,http://regnskaber.virk.dk/98463853/ZG9rdW1lbnRsYWdlcjovLzAzL2IyL2JjL2UyLzU3L2QwZDQtNGNiMC1hOTI4LTYzODA5NGY2ZTMwNw.pdf,http://regnskaber.virk.dk/98463853/ZG9rdW1lbnRsYWdlcjovLzAzLzMzL2ZhLzMzLzE1LzEwOWUtNDllNS1iNWYxLTMyZTVkNGEyMThlNQ.xml,true,"9200, Aalborg SV",Hobrovej 372,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2017 - 31-12-2017.",Betingelserne for at undlade revision er opfyldt.,2018-06-19,2018-06-19,2014-04-16,2018-06-19,Selskabet har i henhold til Ã¥rsregnskabslovens Â§86 stk. 4 undladt at udarbejde pengestrÃ¸msopgÃ¸relse.,www.wincon.dk,35836489.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2017 - 31-12-2017 for KOLD Group ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Lasse Kold,Vestjysk Bank,KOLD Group ApS,Bjarne Bilenberg,Randers SV,2016-01-01,2016-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Randers, 730",2017-12-31,2017-01-01,false,87120066.0,Ingen bistand,urn:ofk:oid:25949768,indberetninger-20180424,2.5095937000000004,35836489.0,AWRbJlTM0wkEsASkuP0E,2018-07-02T13:20:21.777Z,2018-07-02T13:19:51.188Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AS-75-QK,2018-07-02T13:19:51.344Z,,,,,,,19297160.0,1078533.0,50000.0,1697687.0,609243.0,1666075.0,19297160.0,17631085.0,17599473.0,17599473.0,17599473.0,202400.0,1413675.0,17631085.0,17631085.0,619154.0,9911.0,,
35836489,2017-01-01,2017-12-31,ID_0,,http://regnskaber.virk.dk/98463853/ZG9rdW1lbnRsYWdlcjovLzAzL2IyL2JjL2UyLzU3L2QwZDQtNGNiMC1hOTI4LTYzODA5NGY2ZTMwNw.pdf,http://regnskaber.virk.dk/98463853/ZG9rdW1lbnRsYWdlcjovLzAzLzMzL2ZhLzMzLzE1LzEwOWUtNDllNS1iNWYxLTMyZTVkNGEyMThlNQ.xml,true,"9200, Aalborg SV",Hobrovej 372,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2017 - 31-12-2017.",Betingelserne for at undlade revision er opfyldt.,2018-06-19,2018-06-19,2014-04-16,2018-06-19,Selskabet har i henhold til Ã¥rsregnskabslovens Â§86 stk. 4 undladt at udarbejde pengestrÃ¸msopgÃ¸relse.,www.wincon.dk,35836489.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2017 - 31-12-2017 for KOLD Group ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Lasse Kold,Vestjysk Bank,KOLD Group ApS,Bjarne Bilenberg,Randers SV,2016-01-01,2016-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Randers, 730",2017-12-31,2017-01-01,false,87120066.0,Ingen bistand,urn:ofk:oid:25949768,indberetninger-20180424,2.5095937000000004,35836489.0,AWRbJlTM0wkEsASkuP0E,2018-07-02T13:20:21.777Z,2018-07-02T13:19:51.188Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AS-75-QK,2018-07-02T13:19:51.344Z,,,,,,,,,,,,,,,,,,,,,,,,Lasse Kold,DirektÃ¸r
35836489,2017-01-01,2017-12-31,ID_1,,http://regnskaber.virk.dk/98463853/ZG9rdW1lbnRsYWdlcjovLzAzL2IyL2JjL2UyLzU3L2QwZDQtNGNiMC1hOTI4LTYzODA5NGY2ZTMwNw.pdf,http://regnskaber.virk.dk/98463853/ZG9rdW1lbnRsYWdlcjovLzAzLzMzL2ZhLzMzLzE1LzEwOWUtNDllNS1iNWYxLTMyZTVkNGEyMThlNQ.xml,true,"9200, Aalborg SV",Hobrovej 372,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2017 - 31-12-2017.",Betingelserne for at undlade revision er opfyldt.,2018-06-19,2018-06-19,2014-04-16,2018-06-19,Selskabet har i henhold til Ã¥rsregnskabslovens Â§86 stk. 4 undladt at udarbejde pengestrÃ¸msopgÃ¸relse.,www.wincon.dk,35836489.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2017 - 31-12-2017 for KOLD Group ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Lasse Kold,Vestjysk Bank,KOLD Group ApS,Bjarne Bilenberg,Randers SV,2016-01-01,2016-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Randers, 730",2017-12-31,2017-01-01,false,87120066.0,Ingen bistand,urn:ofk:oid:25949768,indberetninger-20180424,2.5095937000000004,35836489.0,AWRbJlTM0wkEsASkuP0E,2018-07-02T13:20:21.777Z,2018-07-02T13:19:51.188Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AS-75-QK,2018-07-02T13:19:51.344Z,,,,,,,,,,,,,,,,,,,,,,,,,
35836489,2017-01-01,2017-12-31,ID_2,,http://regnskaber.virk.dk/98463853/ZG9rdW1lbnRsYWdlcjovLzAzL2IyL2JjL2UyLzU3L2QwZDQtNGNiMC1hOTI4LTYzODA5NGY2ZTMwNw.pdf,http://regnskaber.virk.dk/98463853/ZG9rdW1lbnRsYWdlcjovLzAzLzMzL2ZhLzMzLzE1LzEwOWUtNDllNS1iNWYxLTMyZTVkNGEyMThlNQ.xml,true,"9200, Aalborg SV",Hobrovej 372,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2017 - 31-12-2017.",Betingelserne for at undlade revision er opfyldt.,2018-06-19,2018-06-19,2014-04-16,2018-06-19,Selskabet har i henhold til Ã¥rsregnskabslovens Â§86 stk. 4 undladt at udarbejde pengestrÃ¸msopgÃ¸relse.,www.wincon.dk,35836489.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2017 - 31-12-2017 for KOLD Group ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Lasse Kold,Vestjysk Bank,KOLD Group ApS,Bjarne Bilenberg,Randers SV,2016-01-01,2016-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Randers, 730",2017-12-31,2017-01-01,false,87120066.0,Ingen bistand,urn:ofk:oid:25949768,indberetninger-20180424,2.5095937000000004,35836489.0,AWRbJlTM0wkEsASkuP0E,2018-07-02T13:20:21.777Z,2018-07-02T13:19:51.188Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AS-75-QK,2018-07-02T13:19:51.344Z,,,,,,,,,,,,,,,,,,,,,,,,Jesper Jarl Thorsen,DirektÃ¸r
35836489,2017-01-01,2017-12-31,ID_3,,http://regnskaber.virk.dk/98463853/ZG9rdW1lbnRsYWdlcjovLzAzL2IyL2JjL2UyLzU3L2QwZDQtNGNiMC1hOTI4LTYzODA5NGY2ZTMwNw.pdf,http://regnskaber.virk.dk/98463853/ZG9rdW1lbnRsYWdlcjovLzAzLzMzL2ZhLzMzLzE1LzEwOWUtNDllNS1iNWYxLTMyZTVkNGEyMThlNQ.xml,true,"9200, Aalborg SV",Hobrovej 372,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2017 - 31-12-2017.",Betingelserne for at undlade revision er opfyldt.,2018-06-19,2018-06-19,2014-04-16,2018-06-19,Selskabet har i henhold til Ã¥rsregnskabslovens Â§86 stk. 4 undladt at udarbejde pengestrÃ¸msopgÃ¸relse.,www.wincon.dk,35836489.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2017 - 31-12-2017 for KOLD Group ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Lasse Kold,Vestjysk Bank,KOLD Group ApS,Bjarne Bilenberg,Randers SV,2016-01-01,2016-12-31,6136587.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Randers, 730",2017-12-31,2017-01-01,false,87120066.0,Ingen bistand,urn:ofk:oid:25949768,indberetninger-20180424,2.5095937000000004,35836489.0,AWRbJlTM0wkEsASkuP0E,2018-07-02T13:20:21.777Z,2018-07-02T13:19:51.188Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AS-75-QK,2018-07-02T13:19:51.344Z,-8725.0,6143399.0,8.0,6134666.0,-8725.0,-1921.0,,,,,,,,,,,,,,,,,,,
35836489,2017-01-01,2017-12-31,ID_7,,http://regnskaber.virk.dk/98463853/ZG9rdW1lbnRsYWdlcjovLzAzL2IyL2JjL2UyLzU3L2QwZDQtNGNiMC1hOTI4LTYzODA5NGY2ZTMwNw.pdf,http://regnskaber.virk.dk/98463853/ZG9rdW1lbnRsYWdlcjovLzAzLzMzL2ZhLzMzLzE1LzEwOWUtNDllNS1iNWYxLTMyZTVkNGEyMThlNQ.xml,true,"9200, Aalborg SV",Hobrovej 372,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2017 - 31-12-2017.",Betingelserne for at undlade revision er opfyldt.,2018-06-19,2018-06-19,2014-04-16,2018-06-19,Selskabet har i henhold til Ã¥rsregnskabslovens Â§86 stk. 4 undladt at udarbejde pengestrÃ¸msopgÃ¸relse.,www.wincon.dk,35836489.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2017 - 31-12-2017 for KOLD Group ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Lasse Kold,Vestjysk Bank,KOLD Group ApS,Bjarne Bilenberg,Randers SV,2016-01-01,2016-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Randers, 730",2017-12-31,2017-01-01,false,87120066.0,Ingen bistand,urn:ofk:oid:25949768,indberetninger-20180424,2.5095937000000004,35836489.0,AWRbJlTM0wkEsASkuP0E,2018-07-02T13:20:21.777Z,2018-07-02T13:19:51.188Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AS-75-QK,2018-07-02T13:19:51.344Z,,,,,,,,,,,,,,,,,,,,,,,,,
35836489,2017-01-01,2017-12-31,ID_9,,http://regnskaber.virk.dk/98463853/ZG9rdW1lbnRsYWdlcjovLzAzL2IyL2JjL2UyLzU3L2QwZDQtNGNiMC1hOTI4LTYzODA5NGY2ZTMwNw.pdf,http://regnskaber.virk.dk/98463853/ZG9rdW1lbnRsYWdlcjovLzAzLzMzL2ZhLzMzLzE1LzEwOWUtNDllNS1iNWYxLTMyZTVkNGEyMThlNQ.xml,true,"9200, Aalborg SV",Hobrovej 372,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2017 - 31-12-2017.",Betingelserne for at undlade revision er opfyldt.,2018-06-19,2018-06-19,2014-04-16,2018-06-19,Selskabet har i henhold til Ã¥rsregnskabslovens Â§86 stk. 4 undladt at udarbejde pengestrÃ¸msopgÃ¸relse.,www.wincon.dk,35836489.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2017 - 31-12-2017 for KOLD Group ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Lasse Kold,Vestjysk Bank,KOLD Group ApS,Bjarne Bilenberg,Randers SV,2016-01-01,2016-12-31,-6136587.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Randers, 730",2017-12-31,2017-01-01,false,87120066.0,Ingen bistand,urn:ofk:oid:25949768,indberetninger-20180424,2.5095937000000004,35836489.0,AWRbJlTM0wkEsASkuP0E,2018-07-02T13:20:21.777Z,2018-07-02T13:19:51.188Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AS-75-QK,2018-07-02T13:19:51.344Z,,,,,,,,,,,,,,,,,,,,,,,,,
