entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfFinancialDistrictName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AdministrativeExpenses,ClassOfReportingEntity,CostOfProduction,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DistributionCosts,ExtraordinaryExpenses,ExtraordinaryIncome,ExtraordinaryProfitLossBeforeTax,GrossResult,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,OtherFinanceIncomeFromGroupEnterprises,OtherOperatingExpenses,OtherOperatingIncome,OtherTaxExpenses,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,Revenue,StatementOnOptingOutOfAuditingFinancialStatementsInNextReportingPeriodDueToExemption,TaxExpense,TelephoneNumberOfReportingEntity,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContractWorkInProgress,ContributedCapital,CurrentAssets,Equity,FixturesFittingsToolsAndEquipment,Goodwill,IntangibleAssets,Inventories,LandAndBuildings,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermDebtToBanks,LongtermInvestmentsAndReceivables,LongtermInvestmentsInAssociates,LongtermInvestmentsInGroupEnterprises,LongtermLiabilitiesOtherThanProvisions,LongtermMortgageDebt,LongtermTaxPayables,ManufacturedGoodsAndGoodsForResale,NoncurrentAssets,OtherLongtermInvestments,OtherReserves,OtherShorttermInvestments,OtherShorttermPayables,OtherShorttermReceivables,PlantAndMachinery,PropertyPlantAndEquipment,ProposedDividend,ProposedDividendRecognisedInEquity,Provisions,ProvisionsForDeferredTax,RawMaterialsAndConsumables,RetainedEarnings,ShorttermDebtToBanks,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermMortgageDebt,ShorttermPayablesToAssociates,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromAssociates,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,ShorttermTaxReceivables,ShorttermTradePayables,ShorttermTradeReceivables
19692795,2013-07-01,2014-06-30,c2,http://regnskaber.virk.dk/59729691/ZG9rdW1lbnRsYWdlcjovLzAzLzNiLzI3L2Q0LzMzLzkzZjQtNGQ5MC1iZmZkLTIxNzQ1N2U3NmI0ZA.xhtml,http://regnskaber.virk.dk/59729691/ZG9rdW1lbnRsYWdlcjovLzAzL2ZkLzFhL2IzL2E3L2Q4YzYtNGQ5YS1iZmFiLWQ3ZDNhMGE1Yzg0MA.pdf,http://regnskaber.virk.dk/59729691/ZG9rdW1lbnRsYWdlcjovLzAzLzA2L2M0LzhiLzQ2LzljZmEtNDIzMi04MTc0LTY2MDk0M2VjNzk1Nw.xml,6830 NÃ¸rre Nebel,KÃ¸benhavn Ã,2100.0,"5, 4 th",Borgmester Jensens AllÃ©,2100 KÃ¸benhavn Ã,"Borgmester Jensens AllÃ© 5, 4. th",0.0,Regnskabsklasse B,0.0,2015-12-01,2015-12-01,0.0,0.0,0.0,-8799.0,0.0,19692795.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Elias Hauerslev,Elias Simon Leck Hauerslev,Sparekassen for Nr. Nebel og Omegn,CPH CONSULT ApS,Elias Hauerslev,0.0,0.0,0.0,8799.0,0.0,0.0,KÃ¸benhavn,2013-07-01,2014-06-30,-8799.0,-8799.0,-8799.0,2015-06-30,2014-07-01,0.0,Der fravÃ¦lges revision for det kommende regnskabsÃ¥r.,0.0,26211900.0,Ingen bistand,urn:ofk:oid:21765130,indberetninger-20180424,2.5926270000000002,19692795.0,,2018-03-30T20:47:42.292Z,2015-12-10T07:01:00.543Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AL-46-HK,2015-12-10T07:01:00.883Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19692795,2013-07-01,2014-06-30,c4,http://regnskaber.virk.dk/59729691/ZG9rdW1lbnRsYWdlcjovLzAzLzNiLzI3L2Q0LzMzLzkzZjQtNGQ5MC1iZmZkLTIxNzQ1N2U3NmI0ZA.xhtml,http://regnskaber.virk.dk/59729691/ZG9rdW1lbnRsYWdlcjovLzAzL2ZkLzFhL2IzL2E3L2Q4YzYtNGQ5YS1iZmFiLWQ3ZDNhMGE1Yzg0MA.pdf,http://regnskaber.virk.dk/59729691/ZG9rdW1lbnRsYWdlcjovLzAzLzA2L2M0LzhiLzQ2LzljZmEtNDIzMi04MTc0LTY2MDk0M2VjNzk1Nw.xml,6830 NÃ¸rre Nebel,KÃ¸benhavn Ã,2100.0,"5, 4 th",Borgmester Jensens AllÃ©,2100 KÃ¸benhavn Ã,"Borgmester Jensens AllÃ© 5, 4. th",,Regnskabsklasse B,,2015-12-01,2015-12-01,,,,,,19692795.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Elias Hauerslev,Elias Simon Leck Hauerslev,Sparekassen for Nr. Nebel og Omegn,CPH CONSULT ApS,Elias Hauerslev,,,,,,,KÃ¸benhavn,2013-07-01,2014-06-30,0.0,,,2015-06-30,2014-07-01,,Der fravÃ¦lges revision for det kommende regnskabsÃ¥r.,,26211900.0,Ingen bistand,urn:ofk:oid:21765130,indberetninger-20180424,2.5926270000000002,19692795.0,,2018-03-30T20:47:42.292Z,2015-12-10T07:01:00.543Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AL-46-HK,2015-12-10T07:01:00.883Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19692795,2013-07-01,2014-06-30,c6,http://regnskaber.virk.dk/59729691/ZG9rdW1lbnRsYWdlcjovLzAzLzNiLzI3L2Q0LzMzLzkzZjQtNGQ5MC1iZmZkLTIxNzQ1N2U3NmI0ZA.xhtml,http://regnskaber.virk.dk/59729691/ZG9rdW1lbnRsYWdlcjovLzAzL2ZkLzFhL2IzL2E3L2Q4YzYtNGQ5YS1iZmFiLWQ3ZDNhMGE1Yzg0MA.pdf,http://regnskaber.virk.dk/59729691/ZG9rdW1lbnRsYWdlcjovLzAzLzA2L2M0LzhiLzQ2LzljZmEtNDIzMi04MTc0LTY2MDk0M2VjNzk1Nw.xml,6830 NÃ¸rre Nebel,KÃ¸benhavn Ã,2100.0,"5, 4 th",Borgmester Jensens AllÃ©,2100 KÃ¸benhavn Ã,"Borgmester Jensens AllÃ© 5, 4. th",,Regnskabsklasse B,,2015-12-01,2015-12-01,,,,,,19692795.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Elias Hauerslev,Elias Simon Leck Hauerslev,Sparekassen for Nr. Nebel og Omegn,CPH CONSULT ApS,Elias Hauerslev,,,,,,,KÃ¸benhavn,2013-07-01,2014-06-30,0.0,,,2015-06-30,2014-07-01,,Der fravÃ¦lges revision for det kommende regnskabsÃ¥r.,,26211900.0,Ingen bistand,urn:ofk:oid:21765130,indberetninger-20180424,2.5926270000000002,19692795.0,,2018-03-30T20:47:42.292Z,2015-12-10T07:01:00.543Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AL-46-HK,2015-12-10T07:01:00.883Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19692795,2013-07-01,2014-06-30,c8,http://regnskaber.virk.dk/59729691/ZG9rdW1lbnRsYWdlcjovLzAzLzNiLzI3L2Q0LzMzLzkzZjQtNGQ5MC1iZmZkLTIxNzQ1N2U3NmI0ZA.xhtml,http://regnskaber.virk.dk/59729691/ZG9rdW1lbnRsYWdlcjovLzAzL2ZkLzFhL2IzL2E3L2Q4YzYtNGQ5YS1iZmFiLWQ3ZDNhMGE1Yzg0MA.pdf,http://regnskaber.virk.dk/59729691/ZG9rdW1lbnRsYWdlcjovLzAzLzA2L2M0LzhiLzQ2LzljZmEtNDIzMi04MTc0LTY2MDk0M2VjNzk1Nw.xml,6830 NÃ¸rre Nebel,KÃ¸benhavn Ã,2100.0,"5, 4 th",Borgmester Jensens AllÃ©,2100 KÃ¸benhavn Ã,"Borgmester Jensens AllÃ© 5, 4. th",,Regnskabsklasse B,,2015-12-01,2015-12-01,,,,,,19692795.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Elias Hauerslev,Elias Simon Leck Hauerslev,Sparekassen for Nr. Nebel og Omegn,CPH CONSULT ApS,Elias Hauerslev,,,,,,,KÃ¸benhavn,2013-07-01,2014-06-30,-8799.0,,,2015-06-30,2014-07-01,,Der fravÃ¦lges revision for det kommende regnskabsÃ¥r.,,26211900.0,Ingen bistand,urn:ofk:oid:21765130,indberetninger-20180424,2.5926270000000002,19692795.0,,2018-03-30T20:47:42.292Z,2015-12-10T07:01:00.543Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AL-46-HK,2015-12-10T07:01:00.883Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19692795,2014-06-30,2014-06-30,c10,http://regnskaber.virk.dk/59729691/ZG9rdW1lbnRsYWdlcjovLzAzLzNiLzI3L2Q0LzMzLzkzZjQtNGQ5MC1iZmZkLTIxNzQ1N2U3NmI0ZA.xhtml,http://regnskaber.virk.dk/59729691/ZG9rdW1lbnRsYWdlcjovLzAzL2ZkLzFhL2IzL2E3L2Q4YzYtNGQ5YS1iZmFiLWQ3ZDNhMGE1Yzg0MA.pdf,http://regnskaber.virk.dk/59729691/ZG9rdW1lbnRsYWdlcjovLzAzLzA2L2M0LzhiLzQ2LzljZmEtNDIzMi04MTc0LTY2MDk0M2VjNzk1Nw.xml,6830 NÃ¸rre Nebel,KÃ¸benhavn Ã,2100.0,"5, 4 th",Borgmester Jensens AllÃ©,2100 KÃ¸benhavn Ã,"Borgmester Jensens AllÃ© 5, 4. th",,Regnskabsklasse B,,2015-12-01,2015-12-01,,,,,,19692795.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Elias Hauerslev,Elias Simon Leck Hauerslev,Sparekassen for Nr. Nebel og Omegn,CPH CONSULT ApS,Elias Hauerslev,,,,,,,KÃ¸benhavn,2013-07-01,2014-06-30,,,,2015-06-30,2014-07-01,,Der fravÃ¦lges revision for det kommende regnskabsÃ¥r.,,26211900.0,Ingen bistand,urn:ofk:oid:21765130,indberetninger-20180424,2.5926270000000002,19692795.0,,2018-03-30T20:47:42.292Z,2015-12-10T07:01:00.543Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AL-46-HK,2015-12-10T07:01:00.883Z,113327.0,113327.0,0.0,122126.0,113327.0,113327.0,0.0,0.0,0.0,0.0,0.0,113327.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8799.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19692795,2014-07-01,2015-06-30,c0,http://regnskaber.virk.dk/59729691/ZG9rdW1lbnRsYWdlcjovLzAzLzNiLzI3L2Q0LzMzLzkzZjQtNGQ5MC1iZmZkLTIxNzQ1N2U3NmI0ZA.xhtml,http://regnskaber.virk.dk/59729691/ZG9rdW1lbnRsYWdlcjovLzAzL2ZkLzFhL2IzL2E3L2Q4YzYtNGQ5YS1iZmFiLWQ3ZDNhMGE1Yzg0MA.pdf,http://regnskaber.virk.dk/59729691/ZG9rdW1lbnRsYWdlcjovLzAzLzA2L2M0LzhiLzQ2LzljZmEtNDIzMi04MTc0LTY2MDk0M2VjNzk1Nw.xml,6830 NÃ¸rre Nebel,KÃ¸benhavn Ã,2100.0,"5, 4 th",Borgmester Jensens AllÃ©,2100 KÃ¸benhavn Ã,"Borgmester Jensens AllÃ© 5, 4. th",0.0,Regnskabsklasse B,0.0,2015-12-01,2015-12-01,0.0,0.0,0.0,0.0,0.0,19692795.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Elias Hauerslev,Elias Simon Leck Hauerslev,Sparekassen for Nr. Nebel og Omegn,CPH CONSULT ApS,Elias Hauerslev,0.0,0.0,0.0,0.0,0.0,0.0,KÃ¸benhavn,2013-07-01,2014-06-30,0.0,0.0,0.0,2015-06-30,2014-07-01,0.0,Der fravÃ¦lges revision for det kommende regnskabsÃ¥r.,0.0,26211900.0,Ingen bistand,urn:ofk:oid:21765130,indberetninger-20180424,2.5926270000000002,19692795.0,,2018-03-30T20:47:42.292Z,2015-12-10T07:01:00.543Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AL-46-HK,2015-12-10T07:01:00.883Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19692795,2014-07-01,2015-06-30,c1,http://regnskaber.virk.dk/59729691/ZG9rdW1lbnRsYWdlcjovLzAzLzNiLzI3L2Q0LzMzLzkzZjQtNGQ5MC1iZmZkLTIxNzQ1N2U3NmI0ZA.xhtml,http://regnskaber.virk.dk/59729691/ZG9rdW1lbnRsYWdlcjovLzAzL2ZkLzFhL2IzL2E3L2Q4YzYtNGQ5YS1iZmFiLWQ3ZDNhMGE1Yzg0MA.pdf,http://regnskaber.virk.dk/59729691/ZG9rdW1lbnRsYWdlcjovLzAzLzA2L2M0LzhiLzQ2LzljZmEtNDIzMi04MTc0LTY2MDk0M2VjNzk1Nw.xml,6830 NÃ¸rre Nebel,KÃ¸benhavn Ã,2100.0,"5, 4 th",Borgmester Jensens AllÃ©,2100 KÃ¸benhavn Ã,"Borgmester Jensens AllÃ© 5, 4. th",,Regnskabsklasse B,,2015-12-01,2015-12-01,,,,,,19692795.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Elias Hauerslev,Elias Simon Leck Hauerslev,Sparekassen for Nr. Nebel og Omegn,CPH CONSULT ApS,Elias Hauerslev,,,,,,,KÃ¸benhavn,2013-07-01,2014-06-30,,,,2015-06-30,2014-07-01,,Der fravÃ¦lges revision for det kommende regnskabsÃ¥r.,,26211900.0,Ingen bistand,urn:ofk:oid:21765130,indberetninger-20180424,2.5926270000000002,19692795.0,,2018-03-30T20:47:42.292Z,2015-12-10T07:01:00.543Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AL-46-HK,2015-12-10T07:01:00.883Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19692795,2014-07-01,2015-06-30,c3,http://regnskaber.virk.dk/59729691/ZG9rdW1lbnRsYWdlcjovLzAzLzNiLzI3L2Q0LzMzLzkzZjQtNGQ5MC1iZmZkLTIxNzQ1N2U3NmI0ZA.xhtml,http://regnskaber.virk.dk/59729691/ZG9rdW1lbnRsYWdlcjovLzAzL2ZkLzFhL2IzL2E3L2Q4YzYtNGQ5YS1iZmFiLWQ3ZDNhMGE1Yzg0MA.pdf,http://regnskaber.virk.dk/59729691/ZG9rdW1lbnRsYWdlcjovLzAzLzA2L2M0LzhiLzQ2LzljZmEtNDIzMi04MTc0LTY2MDk0M2VjNzk1Nw.xml,6830 NÃ¸rre Nebel,KÃ¸benhavn Ã,2100.0,"5, 4 th",Borgmester Jensens AllÃ©,2100 KÃ¸benhavn Ã,"Borgmester Jensens AllÃ© 5, 4. th",,Regnskabsklasse B,,2015-12-01,2015-12-01,,,,,,19692795.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Elias Hauerslev,Elias Simon Leck Hauerslev,Sparekassen for Nr. Nebel og Omegn,CPH CONSULT ApS,Elias Hauerslev,,,,,,,KÃ¸benhavn,2013-07-01,2014-06-30,0.0,,,2015-06-30,2014-07-01,,Der fravÃ¦lges revision for det kommende regnskabsÃ¥r.,,26211900.0,Ingen bistand,urn:ofk:oid:21765130,indberetninger-20180424,2.5926270000000002,19692795.0,,2018-03-30T20:47:42.292Z,2015-12-10T07:01:00.543Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AL-46-HK,2015-12-10T07:01:00.883Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19692795,2014-07-01,2015-06-30,c5,http://regnskaber.virk.dk/59729691/ZG9rdW1lbnRsYWdlcjovLzAzLzNiLzI3L2Q0LzMzLzkzZjQtNGQ5MC1iZmZkLTIxNzQ1N2U3NmI0ZA.xhtml,http://regnskaber.virk.dk/59729691/ZG9rdW1lbnRsYWdlcjovLzAzL2ZkLzFhL2IzL2E3L2Q4YzYtNGQ5YS1iZmFiLWQ3ZDNhMGE1Yzg0MA.pdf,http://regnskaber.virk.dk/59729691/ZG9rdW1lbnRsYWdlcjovLzAzLzA2L2M0LzhiLzQ2LzljZmEtNDIzMi04MTc0LTY2MDk0M2VjNzk1Nw.xml,6830 NÃ¸rre Nebel,KÃ¸benhavn Ã,2100.0,"5, 4 th",Borgmester Jensens AllÃ©,2100 KÃ¸benhavn Ã,"Borgmester Jensens AllÃ© 5, 4. th",,Regnskabsklasse B,,2015-12-01,2015-12-01,,,,,,19692795.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Elias Hauerslev,Elias Simon Leck Hauerslev,Sparekassen for Nr. Nebel og Omegn,CPH CONSULT ApS,Elias Hauerslev,,,,,,,KÃ¸benhavn,2013-07-01,2014-06-30,0.0,,,2015-06-30,2014-07-01,,Der fravÃ¦lges revision for det kommende regnskabsÃ¥r.,,26211900.0,Ingen bistand,urn:ofk:oid:21765130,indberetninger-20180424,2.5926270000000002,19692795.0,,2018-03-30T20:47:42.292Z,2015-12-10T07:01:00.543Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AL-46-HK,2015-12-10T07:01:00.883Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19692795,2014-07-01,2015-06-30,c7,http://regnskaber.virk.dk/59729691/ZG9rdW1lbnRsYWdlcjovLzAzLzNiLzI3L2Q0LzMzLzkzZjQtNGQ5MC1iZmZkLTIxNzQ1N2U3NmI0ZA.xhtml,http://regnskaber.virk.dk/59729691/ZG9rdW1lbnRsYWdlcjovLzAzL2ZkLzFhL2IzL2E3L2Q4YzYtNGQ5YS1iZmFiLWQ3ZDNhMGE1Yzg0MA.pdf,http://regnskaber.virk.dk/59729691/ZG9rdW1lbnRsYWdlcjovLzAzLzA2L2M0LzhiLzQ2LzljZmEtNDIzMi04MTc0LTY2MDk0M2VjNzk1Nw.xml,6830 NÃ¸rre Nebel,KÃ¸benhavn Ã,2100.0,"5, 4 th",Borgmester Jensens AllÃ©,2100 KÃ¸benhavn Ã,"Borgmester Jensens AllÃ© 5, 4. th",,Regnskabsklasse B,,2015-12-01,2015-12-01,,,,,,19692795.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Elias Hauerslev,Elias Simon Leck Hauerslev,Sparekassen for Nr. Nebel og Omegn,CPH CONSULT ApS,Elias Hauerslev,,,,,,,KÃ¸benhavn,2013-07-01,2014-06-30,0.0,,,2015-06-30,2014-07-01,,Der fravÃ¦lges revision for det kommende regnskabsÃ¥r.,,26211900.0,Ingen bistand,urn:ofk:oid:21765130,indberetninger-20180424,2.5926270000000002,19692795.0,,2018-03-30T20:47:42.292Z,2015-12-10T07:01:00.543Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AL-46-HK,2015-12-10T07:01:00.883Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
