entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetBuildingIdentifier,AddressOfFinancialStreetName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnExtendedReviewOfFinancialStatements,AdjustmentsForCurrentTaxOfPriorPeriod,AverageNumberOfEmployees,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,CurrentTaxExpense,DateOfApprovalOfAnnualReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DescriptionOfAuditor,DividendPaid,EmployeeBenefitsExpense,GrossProfitLoss,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,LongtermLiabilitiesOtherThanProvisionsDueAfterFiveYearsAndMore,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherEmployeeExpense,OtherFinanceExpenses,OtherFinanceIncome,OtherOperatingExpenses,PlaceOfSignatureOfStatement,PostemploymentBenefitExpense,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,SocialSecurityContributions,TaxExpenseOnOrdinaryActivities,TitleOfMemberOfSupervisoryBoard,WagesAndSalaries,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContractWorkInProgress,ContributedCapital,DeferredIncomeAssets,Equity,FixturesFittingsToolsAndEquipment,Inventories,LandAndBuildings,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermEquityLoan,LongtermLiabilitiesOtherThanProvisions,LongtermMortgageDebt,ManufacturedGoodsAndGoodsForResale,NoncurrentAssets,OtherShorttermReceivables,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,Provisions,ProvisionsForDeferredTax,RetainedEarnings,ShorttermDebtToBanks,ShorttermLiabilitiesOtherThanProvisions,ShorttermPartOfLongtermLiabilitiesOtherThanProvisions,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermTaxReceivables,ShorttermTradePayables,ShorttermTradeReceivables,AccumulatedImpairmentLossesAndDepreciationOfPropertyPlantAndEquipment,PropertyPlantAndEquipmentGross,NameOfAuditFirm,TypeOfAuditorAssistance,AdditionsToPropertyPlantAndEquipment,DepreciationOfPropertyPlantAndEquipment,DisposalsOfPropertyPlantAndEquipment,ImpairmentLossesAndDepreciationOfDisposedPropertyPlantAndEquipment,NameAndSurnameOfMemberOfSupervisoryBoard
21843148,2017-01-01,2017-12-31,c174,,http://regnskaber.virk.dk/84134812/ZG9rdW1lbnRsYWdlcjovLzAzLzZlL2VkLzBiLzRlLzY2MzMtNDViOC1hNjkxLWQ3N2QwY2E0ZWMxZQ.pdf,http://regnskaber.virk.dk/84134812/ZG9rdW1lbnRsYWdlcjovLzAzLzU2L2ZmL2I5LzkwL2FlZTktNGZmOS04Y2UyLTQ4YWYzYzE4OTJkNQ.xml,true,BrÃ¸nderslev,9700.0,10.0,Torvet,Aalborg,9000.0,12.0,ÃsterÃ¥gade,9210 Aalborg SÃ,Indkildevej 17,DK-9700 BrÃ¸nderslev,Torvet 10,Til kapitalejerne i Gug AnlÃ¦g og Planteskole A/S,26726.0,33.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",226952.0,2019-03-12,1999-06-30,2019-04-04,1346722.0,Statsautoriseret revisor,-450000.0,11082283.0,14103813.0,20222670.0,21843148.0,20222670.0,mne35391,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Gug AnlÃ¦g og Planteskole A/S.,Ãrsrapport,4753371.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jacob Rask,Kaj Larsen,Peter MÃ¸ller Jensen,"Spar Nord Bank A/S, Aalborg Erhverv",Gug AnlÃ¦g og Planteskole A/S,BDO Statsautoriseret revisionsaktieselskab,522533.0,451325.0,0.0,78948.0,Aalborg,1140539.0,2017-01-01,2017-12-31,890857.0,1144535.0,1595860.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,2018-12-31,2018-01-01,true,2019-03-12,BrÃ¸nderslev,258837.0,253678.0,Formand,9160374.0,urn:ofk:oid:26945334,indberetninger-20180424,2.5122833,21843148.0,AWntXnRZRYGX6_YTGnHj,2019-04-05T12:00:26.241Z,2019-04-05T11:59:43.634Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AW-46-UJ,2019-04-05T11:59:43.780Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21843148,2017-01-01,2017-12-31,c213,,http://regnskaber.virk.dk/84134812/ZG9rdW1lbnRsYWdlcjovLzAzLzZlL2VkLzBiLzRlLzY2MzMtNDViOC1hNjkxLWQ3N2QwY2E0ZWMxZQ.pdf,http://regnskaber.virk.dk/84134812/ZG9rdW1lbnRsYWdlcjovLzAzLzU2L2ZmL2I5LzkwL2FlZTktNGZmOS04Y2UyLTQ4YWYzYzE4OTJkNQ.xml,true,BrÃ¸nderslev,9700.0,10.0,Torvet,Aalborg,9000.0,12.0,ÃsterÃ¥gade,9210 Aalborg SÃ,Indkildevej 17,DK-9700 BrÃ¸nderslev,Torvet 10,Til kapitalejerne i Gug AnlÃ¦g og Planteskole A/S,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",,2019-03-12,1999-06-30,2019-04-04,,Statsautoriseret revisor,-450000.0,,,20222670.0,21843148.0,20222670.0,mne35391,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Gug AnlÃ¦g og Planteskole A/S.,Ãrsrapport,4753371.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jacob Rask,Kaj Larsen,Peter MÃ¸ller Jensen,"Spar Nord Bank A/S, Aalborg Erhverv",Gug AnlÃ¦g og Planteskole A/S,BDO Statsautoriseret revisionsaktieselskab,,,,,Aalborg,,2017-01-01,2017-12-31,440857.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,2018-12-31,2018-01-01,true,2019-03-12,BrÃ¸nderslev,,,Formand,,urn:ofk:oid:26945334,indberetninger-20180424,2.5122833,21843148.0,AWntXnRZRYGX6_YTGnHj,2019-04-05T12:00:26.241Z,2019-04-05T11:59:43.634Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AW-46-UJ,2019-04-05T11:59:43.780Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21843148,2017-01-01,2017-12-31,c218,,http://regnskaber.virk.dk/84134812/ZG9rdW1lbnRsYWdlcjovLzAzLzZlL2VkLzBiLzRlLzY2MzMtNDViOC1hNjkxLWQ3N2QwY2E0ZWMxZQ.pdf,http://regnskaber.virk.dk/84134812/ZG9rdW1lbnRsYWdlcjovLzAzLzU2L2ZmL2I5LzkwL2FlZTktNGZmOS04Y2UyLTQ4YWYzYzE4OTJkNQ.xml,true,BrÃ¸nderslev,9700.0,10.0,Torvet,Aalborg,9000.0,12.0,ÃsterÃ¥gade,9210 Aalborg SÃ,Indkildevej 17,DK-9700 BrÃ¸nderslev,Torvet 10,Til kapitalejerne i Gug AnlÃ¦g og Planteskole A/S,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",,2019-03-12,1999-06-30,2019-04-04,,Statsautoriseret revisor,-450000.0,,,20222670.0,21843148.0,20222670.0,mne35391,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Gug AnlÃ¦g og Planteskole A/S.,Ãrsrapport,4753371.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jacob Rask,Kaj Larsen,Peter MÃ¸ller Jensen,"Spar Nord Bank A/S, Aalborg Erhverv",Gug AnlÃ¦g og Planteskole A/S,BDO Statsautoriseret revisionsaktieselskab,,,,,Aalborg,,2017-01-01,2017-12-31,450000.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,2018-12-31,2018-01-01,true,2019-03-12,BrÃ¸nderslev,,,Formand,,urn:ofk:oid:26945334,indberetninger-20180424,2.5122833,21843148.0,AWntXnRZRYGX6_YTGnHj,2019-04-05T12:00:26.241Z,2019-04-05T11:59:43.634Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AW-46-UJ,2019-04-05T11:59:43.780Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21843148,2017-12-31,2017-12-31,c172,,http://regnskaber.virk.dk/84134812/ZG9rdW1lbnRsYWdlcjovLzAzLzZlL2VkLzBiLzRlLzY2MzMtNDViOC1hNjkxLWQ3N2QwY2E0ZWMxZQ.pdf,http://regnskaber.virk.dk/84134812/ZG9rdW1lbnRsYWdlcjovLzAzLzU2L2ZmL2I5LzkwL2FlZTktNGZmOS04Y2UyLTQ4YWYzYzE4OTJkNQ.xml,true,BrÃ¸nderslev,9700.0,10.0,Torvet,Aalborg,9000.0,12.0,ÃsterÃ¥gade,9210 Aalborg SÃ,Indkildevej 17,DK-9700 BrÃ¸nderslev,Torvet 10,Til kapitalejerne i Gug AnlÃ¦g og Planteskole A/S,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",,2019-03-12,1999-06-30,2019-04-04,,Statsautoriseret revisor,-450000.0,,,20222670.0,21843148.0,20222670.0,mne35391,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Gug AnlÃ¦g og Planteskole A/S.,Ãrsrapport,4753371.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jacob Rask,Kaj Larsen,Peter MÃ¸ller Jensen,"Spar Nord Bank A/S, Aalborg Erhverv",Gug AnlÃ¦g og Planteskole A/S,BDO Statsautoriseret revisionsaktieselskab,,,,,Aalborg,,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,2018-12-31,2018-01-01,true,2019-03-12,BrÃ¸nderslev,,,Formand,,urn:ofk:oid:26945334,indberetninger-20180424,2.5122833,21843148.0,AWntXnRZRYGX6_YTGnHj,2019-04-05T12:00:26.241Z,2019-04-05T11:59:43.634Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AW-46-UJ,2019-04-05T11:59:43.780Z,20953918.0,86229.0,15000.0,500000.0,44286.0,4286854.0,2503549.0,2158458.0,12758845.0,20953918.0,16130817.0,1140000.0,6340188.0,5200188.0,2158458.0,15262394.0,75096.0,15262394.0,450000.0,536247.0,536247.0,3336854.0,1861071.0,9790629.0,1086667.0,70933.0,3446837.0,29048.0,851743.0,3283407.0,,,,,,,,,
21843148,2018-01-01,2018-01-01,c230,,http://regnskaber.virk.dk/84134812/ZG9rdW1lbnRsYWdlcjovLzAzLzZlL2VkLzBiLzRlLzY2MzMtNDViOC1hNjkxLWQ3N2QwY2E0ZWMxZQ.pdf,http://regnskaber.virk.dk/84134812/ZG9rdW1lbnRsYWdlcjovLzAzLzU2L2ZmL2I5LzkwL2FlZTktNGZmOS04Y2UyLTQ4YWYzYzE4OTJkNQ.xml,true,BrÃ¸nderslev,9700.0,10.0,Torvet,Aalborg,9000.0,12.0,ÃsterÃ¥gade,9210 Aalborg SÃ,Indkildevej 17,DK-9700 BrÃ¸nderslev,Torvet 10,Til kapitalejerne i Gug AnlÃ¦g og Planteskole A/S,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",,2019-03-12,1999-06-30,2019-04-04,,Statsautoriseret revisor,-450000.0,,,20222670.0,21843148.0,20222670.0,mne35391,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Gug AnlÃ¦g og Planteskole A/S.,Ãrsrapport,4753371.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jacob Rask,Kaj Larsen,Peter MÃ¸ller Jensen,"Spar Nord Bank A/S, Aalborg Erhverv",Gug AnlÃ¦g og Planteskole A/S,BDO Statsautoriseret revisionsaktieselskab,,,,,Aalborg,,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,2018-12-31,2018-01-01,true,2019-03-12,BrÃ¸nderslev,,,Formand,,urn:ofk:oid:26945334,indberetninger-20180424,2.5122833,21843148.0,AWntXnRZRYGX6_YTGnHj,2019-04-05T12:00:26.241Z,2019-04-05T11:59:43.634Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AW-46-UJ,2019-04-05T11:59:43.780Z,,,,,,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21843148,2018-01-01,2018-01-01,c248,,http://regnskaber.virk.dk/84134812/ZG9rdW1lbnRsYWdlcjovLzAzLzZlL2VkLzBiLzRlLzY2MzMtNDViOC1hNjkxLWQ3N2QwY2E0ZWMxZQ.pdf,http://regnskaber.virk.dk/84134812/ZG9rdW1lbnRsYWdlcjovLzAzLzU2L2ZmL2I5LzkwL2FlZTktNGZmOS04Y2UyLTQ4YWYzYzE4OTJkNQ.xml,true,BrÃ¸nderslev,9700.0,10.0,Torvet,Aalborg,9000.0,12.0,ÃsterÃ¥gade,9210 Aalborg SÃ,Indkildevej 17,DK-9700 BrÃ¸nderslev,Torvet 10,Til kapitalejerne i Gug AnlÃ¦g og Planteskole A/S,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",,2019-03-12,1999-06-30,2019-04-04,,Statsautoriseret revisor,-450000.0,,,20222670.0,21843148.0,20222670.0,mne35391,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Gug AnlÃ¦g og Planteskole A/S.,Ãrsrapport,4753371.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jacob Rask,Kaj Larsen,Peter MÃ¸ller Jensen,"Spar Nord Bank A/S, Aalborg Erhverv",Gug AnlÃ¦g og Planteskole A/S,BDO Statsautoriseret revisionsaktieselskab,,,,,Aalborg,,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,2018-12-31,2018-01-01,true,2019-03-12,BrÃ¸nderslev,,,Formand,,urn:ofk:oid:26945334,indberetninger-20180424,2.5122833,21843148.0,AWntXnRZRYGX6_YTGnHj,2019-04-05T12:00:26.241Z,2019-04-05T11:59:43.634Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AW-46-UJ,2019-04-05T11:59:43.780Z,,,,,,3336854.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21843148,2018-01-01,2018-01-01,c254,,http://regnskaber.virk.dk/84134812/ZG9rdW1lbnRsYWdlcjovLzAzLzZlL2VkLzBiLzRlLzY2MzMtNDViOC1hNjkxLWQ3N2QwY2E0ZWMxZQ.pdf,http://regnskaber.virk.dk/84134812/ZG9rdW1lbnRsYWdlcjovLzAzLzU2L2ZmL2I5LzkwL2FlZTktNGZmOS04Y2UyLTQ4YWYzYzE4OTJkNQ.xml,true,BrÃ¸nderslev,9700.0,10.0,Torvet,Aalborg,9000.0,12.0,ÃsterÃ¥gade,9210 Aalborg SÃ,Indkildevej 17,DK-9700 BrÃ¸nderslev,Torvet 10,Til kapitalejerne i Gug AnlÃ¦g og Planteskole A/S,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",,2019-03-12,1999-06-30,2019-04-04,,Statsautoriseret revisor,-450000.0,,,20222670.0,21843148.0,20222670.0,mne35391,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Gug AnlÃ¦g og Planteskole A/S.,Ãrsrapport,4753371.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jacob Rask,Kaj Larsen,Peter MÃ¸ller Jensen,"Spar Nord Bank A/S, Aalborg Erhverv",Gug AnlÃ¦g og Planteskole A/S,BDO Statsautoriseret revisionsaktieselskab,,,,,Aalborg,,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,2018-12-31,2018-01-01,true,2019-03-12,BrÃ¸nderslev,,,Formand,,urn:ofk:oid:26945334,indberetninger-20180424,2.5122833,21843148.0,AWntXnRZRYGX6_YTGnHj,2019-04-05T12:00:26.241Z,2019-04-05T11:59:43.634Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AW-46-UJ,2019-04-05T11:59:43.780Z,,,,,,450000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21843148,2018-01-01,2018-01-01,c506,,http://regnskaber.virk.dk/84134812/ZG9rdW1lbnRsYWdlcjovLzAzLzZlL2VkLzBiLzRlLzY2MzMtNDViOC1hNjkxLWQ3N2QwY2E0ZWMxZQ.pdf,http://regnskaber.virk.dk/84134812/ZG9rdW1lbnRsYWdlcjovLzAzLzU2L2ZmL2I5LzkwL2FlZTktNGZmOS04Y2UyLTQ4YWYzYzE4OTJkNQ.xml,true,BrÃ¸nderslev,9700.0,10.0,Torvet,Aalborg,9000.0,12.0,ÃsterÃ¥gade,9210 Aalborg SÃ,Indkildevej 17,DK-9700 BrÃ¸nderslev,Torvet 10,Til kapitalejerne i Gug AnlÃ¦g og Planteskole A/S,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",,2019-03-12,1999-06-30,2019-04-04,,Statsautoriseret revisor,-450000.0,,,20222670.0,21843148.0,20222670.0,mne35391,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Gug AnlÃ¦g og Planteskole A/S.,Ãrsrapport,4753371.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jacob Rask,Kaj Larsen,Peter MÃ¸ller Jensen,"Spar Nord Bank A/S, Aalborg Erhverv",Gug AnlÃ¦g og Planteskole A/S,BDO Statsautoriseret revisionsaktieselskab,,,,,Aalborg,,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,2018-12-31,2018-01-01,true,2019-03-12,BrÃ¸nderslev,,,Formand,,urn:ofk:oid:26945334,indberetninger-20180424,2.5122833,21843148.0,AWntXnRZRYGX6_YTGnHj,2019-04-05T12:00:26.241Z,2019-04-05T11:59:43.634Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AW-46-UJ,2019-04-05T11:59:43.780Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6097884.0,8601433.0,,,,,,,
21843148,2018-01-01,2018-01-01,c521,,http://regnskaber.virk.dk/84134812/ZG9rdW1lbnRsYWdlcjovLzAzLzZlL2VkLzBiLzRlLzY2MzMtNDViOC1hNjkxLWQ3N2QwY2E0ZWMxZQ.pdf,http://regnskaber.virk.dk/84134812/ZG9rdW1lbnRsYWdlcjovLzAzLzU2L2ZmL2I5LzkwL2FlZTktNGZmOS04Y2UyLTQ4YWYzYzE4OTJkNQ.xml,true,BrÃ¸nderslev,9700.0,10.0,Torvet,Aalborg,9000.0,12.0,ÃsterÃ¥gade,9210 Aalborg SÃ,Indkildevej 17,DK-9700 BrÃ¸nderslev,Torvet 10,Til kapitalejerne i Gug AnlÃ¦g og Planteskole A/S,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",,2019-03-12,1999-06-30,2019-04-04,,Statsautoriseret revisor,-450000.0,,,20222670.0,21843148.0,20222670.0,mne35391,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Gug AnlÃ¦g og Planteskole A/S.,Ãrsrapport,4753371.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jacob Rask,Kaj Larsen,Peter MÃ¸ller Jensen,"Spar Nord Bank A/S, Aalborg Erhverv",Gug AnlÃ¦g og Planteskole A/S,BDO Statsautoriseret revisionsaktieselskab,,,,,Aalborg,,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,2018-12-31,2018-01-01,true,2019-03-12,BrÃ¸nderslev,,,Formand,,urn:ofk:oid:26945334,indberetninger-20180424,2.5122833,21843148.0,AWntXnRZRYGX6_YTGnHj,2019-04-05T12:00:26.241Z,2019-04-05T11:59:43.634Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AW-46-UJ,2019-04-05T11:59:43.780Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4187561.0,16946406.0,,,,,,,
21843148,2018-01-01,2018-12-31,c173,,http://regnskaber.virk.dk/84134812/ZG9rdW1lbnRsYWdlcjovLzAzLzZlL2VkLzBiLzRlLzY2MzMtNDViOC1hNjkxLWQ3N2QwY2E0ZWMxZQ.pdf,http://regnskaber.virk.dk/84134812/ZG9rdW1lbnRsYWdlcjovLzAzLzU2L2ZmL2I5LzkwL2FlZTktNGZmOS04Y2UyLTQ4YWYzYzE4OTJkNQ.xml,true,BrÃ¸nderslev,9700.0,10.0,Torvet,Aalborg,9000.0,12.0,ÃsterÃ¥gade,9210 Aalborg SÃ,Indkildevej 17,DK-9700 BrÃ¸nderslev,Torvet 10,Til kapitalejerne i Gug AnlÃ¦g og Planteskole A/S,96974.0,35.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",42284.0,2019-03-12,1999-06-30,2019-04-04,1100506.0,Statsautoriseret revisor,-450000.0,12082712.0,14303002.0,20222670.0,21843148.0,20222670.0,mne35391,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Gug AnlÃ¦g og Planteskole A/S.,Ãrsrapport,4753371.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jacob Rask,Kaj Larsen,Peter MÃ¸ller Jensen,"Spar Nord Bank A/S, Aalborg Erhverv",Gug AnlÃ¦g og Planteskole A/S,BDO Statsautoriseret revisionsaktieselskab,728321.0,435671.0,29.0,79091.0,Aalborg,1186754.0,2017-01-01,2017-12-31,465793.0,605051.0,1040693.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,2018-12-31,2018-01-01,true,2019-03-12,BrÃ¸nderslev,291673.0,139258.0,Formand,9875964.0,urn:ofk:oid:26945334,indberetninger-20180424,2.5122833,21843148.0,AWntXnRZRYGX6_YTGnHj,2019-04-05T12:00:26.241Z,2019-04-05T11:59:43.634Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AW-46-UJ,2019-04-05T11:59:43.780Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BDO Statsautoriseret revisionsaktieselskab,ErklÃ¦ring om udvidet gennemgang,,,,,
