entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfFinancialCountry,AddressOfFinancialCountryIdentificationCode,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetBuildingIdentifier,AddressOfFinancialStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DisclosureOfOtherPayables,EmailOfReportingEntity,IdentificationNumberCvrOfReportingEntity,ImpairmentOfFinancialAssets,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ReportingPeriodEndDate,ReportingPeriodStartDate,TaxExpense,TelephoneNumberOfReportingEntity,TheMicroUndertakingAppliesTheExceptionConcerningFilingInformationAboutAccountingPolicies,TheMicroUndertakingAppliesTheExceptionConcerningFilingInformationAboutCertainSpecialItems,TheMicroUndertakingAppliesTheExceptionConcerningFilingInformationAboutLiabilitiesDueForPaymentMoreThanFiveYearsAfterTheBalanceSheetDate,TheMicroUndertakingAppliesTheExceptionConcerningFilingInformationAboutNumberOfEmployees,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,ExternalExpenses,GrossResult,IncomeFromOtherLongtermInvestmentsAndReceivables,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,Revenue,Assets,CashAndCashEquivalents,ContractWorkInProgress,ContributedCapital,CurrentAssets,Equity,FixturesFittingsToolsAndEquipment,Goodwill,IntangibleAssets,Inventories,LandAndBuildings,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermDebtToBanks,LongtermInvestmentsAndReceivables,LongtermInvestmentsInAssociates,LongtermInvestmentsInGroupEnterprises,LongtermLiabilitiesOtherThanProvisions,LongtermMortgageDebt,LongtermTaxPayables,ManufacturedGoodsAndGoodsForResale,NoncurrentAssets,OtherLongtermInvestments,OtherReserves,OtherShorttermInvestments,OtherShorttermPayables,OtherShorttermReceivables,PlantAndMachinery,PropertyPlantAndEquipment,ProposedDividend,ProposedDividendRecognisedInEquity,Provisions,ProvisionsForDeferredTax,RawMaterialsAndConsumables,RetainedEarnings,ShorttermDebtToBanks,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermMortgageDebt,ShorttermPayablesToAssociates,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromAssociates,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,ShorttermTaxReceivables,ShorttermTradePayables,ShorttermTradeReceivables,NameAndSurnameOfMemberOfExecutiveBoard,TitleOfMemberOfExecutiveBoard,NameAndSurnameOfMemberOfSupervisoryBoard
11504507,2016-10-01,2017-09-30,c11,http://regnskaber.virk.dk/70540511/ZG9rdW1lbnRsYWdlcjovLzAzL2Y4L2MxLzJhL2FiLzMxZTItNGM2NS04NmU0LWY3YjUwMDJhZjZmNA.xhtml,http://regnskaber.virk.dk/70540511/ZG9rdW1lbnRsYWdlcjovLzAzL2JhLzMwLzJmLzQzL2QwYTktNGJjMS1hYmQ0LTk1OGE5YjM5ODM2Yg.pdf,http://regnskaber.virk.dk/70540511/ZG9rdW1lbnRsYWdlcjovLzAzL2YyLzFiLzhiLzE3LzU2N2YtNGQyMi04YTI0LWI5NDQ4MTM5M2EzMA.xml,true,Danmark,DK,HillerÃ¸d,3400.0,32.0,Munkeengen,BirkerÃ¸d,3460.0,46.0,SjÃ¦lsÃ¸vej,3460 BirkerÃ¸d,SjÃ¦lsÃ¸vej 46,"Regnskabsklasse B, mikrovirksomhed",2019-02-26,2019-02-26,"<p xmlns=""http://www.w3.org/1999/xhtml"">BelÃ¸bet udgÃ¸res af et kortfristet, rentebÃ¦rende lÃ¥n</p>",erik@bastiansen.dk,11504507.0,0.0,Ãrsrapport,Erik Bastiansen,Danske Bank,MSR-CONSULT ApS,Erik Bastiansen,1540.0,BirkerÃ¸d,2016-10-01,2017-09-30,-3549.0,2018-09-30,2017-10-01,0.0,24240485.0,true,false,false,false,false,Ingen bistand,urn:ofk:oid:26742747,indberetninger-20180424,2.5927877,11504507.0,AWkvufOBRYGX6_YTFZiY,2019-02-27T16:11:54.508Z,2019-02-27T16:11:49.069Z,regnskab,0.0,,2018-09-30,2017-10-01,X19-AM-82-HN,2019-02-27T16:11:49.205Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11504507,2016-10-01,2017-09-30,c5,http://regnskaber.virk.dk/70540511/ZG9rdW1lbnRsYWdlcjovLzAzL2Y4L2MxLzJhL2FiLzMxZTItNGM2NS04NmU0LWY3YjUwMDJhZjZmNA.xhtml,http://regnskaber.virk.dk/70540511/ZG9rdW1lbnRsYWdlcjovLzAzL2JhLzMwLzJmLzQzL2QwYTktNGJjMS1hYmQ0LTk1OGE5YjM5ODM2Yg.pdf,http://regnskaber.virk.dk/70540511/ZG9rdW1lbnRsYWdlcjovLzAzL2YyLzFiLzhiLzE3LzU2N2YtNGQyMi04YTI0LWI5NDQ4MTM5M2EzMA.xml,true,Danmark,DK,HillerÃ¸d,3400.0,32.0,Munkeengen,BirkerÃ¸d,3460.0,46.0,SjÃ¦lsÃ¸vej,3460 BirkerÃ¸d,SjÃ¦lsÃ¸vej 46,"Regnskabsklasse B, mikrovirksomhed",2019-02-26,2019-02-26,"<p xmlns=""http://www.w3.org/1999/xhtml"">BelÃ¸bet udgÃ¸res af et kortfristet, rentebÃ¦rende lÃ¥n</p>",erik@bastiansen.dk,11504507.0,0.0,Ãrsrapport,Erik Bastiansen,Danske Bank,MSR-CONSULT ApS,Erik Bastiansen,1540.0,BirkerÃ¸d,2016-10-01,2017-09-30,-3549.0,2018-09-30,2017-10-01,0.0,24240485.0,true,false,false,false,false,Ingen bistand,urn:ofk:oid:26742747,indberetninger-20180424,2.5927877,11504507.0,AWkvufOBRYGX6_YTFZiY,2019-02-27T16:11:54.508Z,2019-02-27T16:11:49.069Z,regnskab,0.0,,2018-09-30,2017-10-01,X19-AM-82-HN,2019-02-27T16:11:49.205Z,0.0,0.0,7009.0,-2009.0,0.0,0.0,-3549.0,-2009.0,5000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11504507,2016-10-01,2017-09-30,c7,http://regnskaber.virk.dk/70540511/ZG9rdW1lbnRsYWdlcjovLzAzL2Y4L2MxLzJhL2FiLzMxZTItNGM2NS04NmU0LWY3YjUwMDJhZjZmNA.xhtml,http://regnskaber.virk.dk/70540511/ZG9rdW1lbnRsYWdlcjovLzAzL2JhLzMwLzJmLzQzL2QwYTktNGJjMS1hYmQ0LTk1OGE5YjM5ODM2Yg.pdf,http://regnskaber.virk.dk/70540511/ZG9rdW1lbnRsYWdlcjovLzAzL2YyLzFiLzhiLzE3LzU2N2YtNGQyMi04YTI0LWI5NDQ4MTM5M2EzMA.xml,true,Danmark,DK,HillerÃ¸d,3400.0,32.0,Munkeengen,BirkerÃ¸d,3460.0,46.0,SjÃ¦lsÃ¸vej,3460 BirkerÃ¸d,SjÃ¦lsÃ¸vej 46,"Regnskabsklasse B, mikrovirksomhed",2019-02-26,2019-02-26,"<p xmlns=""http://www.w3.org/1999/xhtml"">BelÃ¸bet udgÃ¸res af et kortfristet, rentebÃ¦rende lÃ¥n</p>",erik@bastiansen.dk,11504507.0,0.0,Ãrsrapport,Erik Bastiansen,Danske Bank,MSR-CONSULT ApS,Erik Bastiansen,1540.0,BirkerÃ¸d,2016-10-01,2017-09-30,0.0,2018-09-30,2017-10-01,0.0,24240485.0,true,false,false,false,false,Ingen bistand,urn:ofk:oid:26742747,indberetninger-20180424,2.5927877,11504507.0,AWkvufOBRYGX6_YTFZiY,2019-02-27T16:11:54.508Z,2019-02-27T16:11:49.069Z,regnskab,0.0,,2018-09-30,2017-10-01,X19-AM-82-HN,2019-02-27T16:11:49.205Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11504507,2016-10-01,2017-09-30,c9,http://regnskaber.virk.dk/70540511/ZG9rdW1lbnRsYWdlcjovLzAzL2Y4L2MxLzJhL2FiLzMxZTItNGM2NS04NmU0LWY3YjUwMDJhZjZmNA.xhtml,http://regnskaber.virk.dk/70540511/ZG9rdW1lbnRsYWdlcjovLzAzL2JhLzMwLzJmLzQzL2QwYTktNGJjMS1hYmQ0LTk1OGE5YjM5ODM2Yg.pdf,http://regnskaber.virk.dk/70540511/ZG9rdW1lbnRsYWdlcjovLzAzL2YyLzFiLzhiLzE3LzU2N2YtNGQyMi04YTI0LWI5NDQ4MTM5M2EzMA.xml,true,Danmark,DK,HillerÃ¸d,3400.0,32.0,Munkeengen,BirkerÃ¸d,3460.0,46.0,SjÃ¦lsÃ¸vej,3460 BirkerÃ¸d,SjÃ¦lsÃ¸vej 46,"Regnskabsklasse B, mikrovirksomhed",2019-02-26,2019-02-26,"<p xmlns=""http://www.w3.org/1999/xhtml"">BelÃ¸bet udgÃ¸res af et kortfristet, rentebÃ¦rende lÃ¥n</p>",erik@bastiansen.dk,11504507.0,0.0,Ãrsrapport,Erik Bastiansen,Danske Bank,MSR-CONSULT ApS,Erik Bastiansen,1540.0,BirkerÃ¸d,2016-10-01,2017-09-30,0.0,2018-09-30,2017-10-01,0.0,24240485.0,true,false,false,false,false,Ingen bistand,urn:ofk:oid:26742747,indberetninger-20180424,2.5927877,11504507.0,AWkvufOBRYGX6_YTFZiY,2019-02-27T16:11:54.508Z,2019-02-27T16:11:49.069Z,regnskab,0.0,,2018-09-30,2017-10-01,X19-AM-82-HN,2019-02-27T16:11:49.205Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11504507,2017-09-30,2017-09-30,c13,http://regnskaber.virk.dk/70540511/ZG9rdW1lbnRsYWdlcjovLzAzL2Y4L2MxLzJhL2FiLzMxZTItNGM2NS04NmU0LWY3YjUwMDJhZjZmNA.xhtml,http://regnskaber.virk.dk/70540511/ZG9rdW1lbnRsYWdlcjovLzAzL2JhLzMwLzJmLzQzL2QwYTktNGJjMS1hYmQ0LTk1OGE5YjM5ODM2Yg.pdf,http://regnskaber.virk.dk/70540511/ZG9rdW1lbnRsYWdlcjovLzAzL2YyLzFiLzhiLzE3LzU2N2YtNGQyMi04YTI0LWI5NDQ4MTM5M2EzMA.xml,true,Danmark,DK,HillerÃ¸d,3400.0,32.0,Munkeengen,BirkerÃ¸d,3460.0,46.0,SjÃ¦lsÃ¸vej,3460 BirkerÃ¸d,SjÃ¦lsÃ¸vej 46,"Regnskabsklasse B, mikrovirksomhed",2019-02-26,2019-02-26,"<p xmlns=""http://www.w3.org/1999/xhtml"">BelÃ¸bet udgÃ¸res af et kortfristet, rentebÃ¦rende lÃ¥n</p>",erik@bastiansen.dk,11504507.0,0.0,Ãrsrapport,Erik Bastiansen,Danske Bank,MSR-CONSULT ApS,Erik Bastiansen,1540.0,BirkerÃ¸d,2016-10-01,2017-09-30,,2018-09-30,2017-10-01,0.0,24240485.0,true,false,false,false,false,Ingen bistand,urn:ofk:oid:26742747,indberetninger-20180424,2.5927877,11504507.0,AWkvufOBRYGX6_YTFZiY,2019-02-27T16:11:54.508Z,2019-02-27T16:11:49.069Z,regnskab,0.0,,2018-09-30,2017-10-01,X19-AM-82-HN,2019-02-27T16:11:49.205Z,,,,,,,,,,61924.0,61924.0,0.0,200000.0,61924.0,61124.0,0.0,0.0,0.0,0.0,0.0,61924.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-138876.0,0.0,0.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,,,
11504507,2017-10-01,2018-09-30,c0,http://regnskaber.virk.dk/70540511/ZG9rdW1lbnRsYWdlcjovLzAzL2Y4L2MxLzJhL2FiLzMxZTItNGM2NS04NmU0LWY3YjUwMDJhZjZmNA.xhtml,http://regnskaber.virk.dk/70540511/ZG9rdW1lbnRsYWdlcjovLzAzL2JhLzMwLzJmLzQzL2QwYTktNGJjMS1hYmQ0LTk1OGE5YjM5ODM2Yg.pdf,http://regnskaber.virk.dk/70540511/ZG9rdW1lbnRsYWdlcjovLzAzL2YyLzFiLzhiLzE3LzU2N2YtNGQyMi04YTI0LWI5NDQ4MTM5M2EzMA.xml,true,Danmark,DK,HillerÃ¸d,3400.0,32.0,Munkeengen,BirkerÃ¸d,3460.0,46.0,SjÃ¦lsÃ¸vej,3460 BirkerÃ¸d,SjÃ¦lsÃ¸vej 46,"Regnskabsklasse B, mikrovirksomhed",2019-02-26,2019-02-26,"<p xmlns=""http://www.w3.org/1999/xhtml"">BelÃ¸bet udgÃ¸res af et kortfristet, rentebÃ¦rende lÃ¥n</p>",erik@bastiansen.dk,11504507.0,0.0,Ãrsrapport,Erik Bastiansen,Danske Bank,MSR-CONSULT ApS,Erik Bastiansen,1540.0,BirkerÃ¸d,2016-10-01,2017-09-30,35755.0,2018-09-30,2017-10-01,0.0,24240485.0,true,false,false,false,false,Ingen bistand,urn:ofk:oid:26742747,indberetninger-20180424,2.5927877,11504507.0,AWkvufOBRYGX6_YTFZiY,2019-02-27T16:11:54.508Z,2019-02-27T16:11:49.069Z,regnskab,0.0,,2018-09-30,2017-10-01,X19-AM-82-HN,2019-02-27T16:11:49.205Z,0.0,0.0,19207.0,-19207.0,0.0,54962.0,35755.0,-19207.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11504507,2017-10-01,2018-09-30,c1,http://regnskaber.virk.dk/70540511/ZG9rdW1lbnRsYWdlcjovLzAzL2Y4L2MxLzJhL2FiLzMxZTItNGM2NS04NmU0LWY3YjUwMDJhZjZmNA.xhtml,http://regnskaber.virk.dk/70540511/ZG9rdW1lbnRsYWdlcjovLzAzL2JhLzMwLzJmLzQzL2QwYTktNGJjMS1hYmQ0LTk1OGE5YjM5ODM2Yg.pdf,http://regnskaber.virk.dk/70540511/ZG9rdW1lbnRsYWdlcjovLzAzL2YyLzFiLzhiLzE3LzU2N2YtNGQyMi04YTI0LWI5NDQ4MTM5M2EzMA.xml,true,Danmark,DK,HillerÃ¸d,3400.0,32.0,Munkeengen,BirkerÃ¸d,3460.0,46.0,SjÃ¦lsÃ¸vej,3460 BirkerÃ¸d,SjÃ¦lsÃ¸vej 46,"Regnskabsklasse B, mikrovirksomhed",2019-02-26,2019-02-26,"<p xmlns=""http://www.w3.org/1999/xhtml"">BelÃ¸bet udgÃ¸res af et kortfristet, rentebÃ¦rende lÃ¥n</p>",erik@bastiansen.dk,11504507.0,0.0,Ãrsrapport,Erik Bastiansen,Danske Bank,MSR-CONSULT ApS,Erik Bastiansen,1540.0,BirkerÃ¸d,2016-10-01,2017-09-30,,2018-09-30,2017-10-01,0.0,24240485.0,true,false,false,false,false,Ingen bistand,urn:ofk:oid:26742747,indberetninger-20180424,2.5927877,11504507.0,AWkvufOBRYGX6_YTFZiY,2019-02-27T16:11:54.508Z,2019-02-27T16:11:49.069Z,regnskab,0.0,,2018-09-30,2017-10-01,X19-AM-82-HN,2019-02-27T16:11:49.205Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Erik Bastiansen,DirektÃ¸r,
11504507,2017-10-01,2018-09-30,c10,http://regnskaber.virk.dk/70540511/ZG9rdW1lbnRsYWdlcjovLzAzL2Y4L2MxLzJhL2FiLzMxZTItNGM2NS04NmU0LWY3YjUwMDJhZjZmNA.xhtml,http://regnskaber.virk.dk/70540511/ZG9rdW1lbnRsYWdlcjovLzAzL2JhLzMwLzJmLzQzL2QwYTktNGJjMS1hYmQ0LTk1OGE5YjM5ODM2Yg.pdf,http://regnskaber.virk.dk/70540511/ZG9rdW1lbnRsYWdlcjovLzAzL2YyLzFiLzhiLzE3LzU2N2YtNGQyMi04YTI0LWI5NDQ4MTM5M2EzMA.xml,true,Danmark,DK,HillerÃ¸d,3400.0,32.0,Munkeengen,BirkerÃ¸d,3460.0,46.0,SjÃ¦lsÃ¸vej,3460 BirkerÃ¸d,SjÃ¦lsÃ¸vej 46,"Regnskabsklasse B, mikrovirksomhed",2019-02-26,2019-02-26,"<p xmlns=""http://www.w3.org/1999/xhtml"">BelÃ¸bet udgÃ¸res af et kortfristet, rentebÃ¦rende lÃ¥n</p>",erik@bastiansen.dk,11504507.0,0.0,Ãrsrapport,Erik Bastiansen,Danske Bank,MSR-CONSULT ApS,Erik Bastiansen,1540.0,BirkerÃ¸d,2016-10-01,2017-09-30,35755.0,2018-09-30,2017-10-01,0.0,24240485.0,true,false,false,false,false,Ingen bistand,urn:ofk:oid:26742747,indberetninger-20180424,2.5927877,11504507.0,AWkvufOBRYGX6_YTFZiY,2019-02-27T16:11:54.508Z,2019-02-27T16:11:49.069Z,regnskab,0.0,,2018-09-30,2017-10-01,X19-AM-82-HN,2019-02-27T16:11:49.205Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11504507,2017-10-01,2018-09-30,c2,http://regnskaber.virk.dk/70540511/ZG9rdW1lbnRsYWdlcjovLzAzL2Y4L2MxLzJhL2FiLzMxZTItNGM2NS04NmU0LWY3YjUwMDJhZjZmNA.xhtml,http://regnskaber.virk.dk/70540511/ZG9rdW1lbnRsYWdlcjovLzAzL2JhLzMwLzJmLzQzL2QwYTktNGJjMS1hYmQ0LTk1OGE5YjM5ODM2Yg.pdf,http://regnskaber.virk.dk/70540511/ZG9rdW1lbnRsYWdlcjovLzAzL2YyLzFiLzhiLzE3LzU2N2YtNGQyMi04YTI0LWI5NDQ4MTM5M2EzMA.xml,true,Danmark,DK,HillerÃ¸d,3400.0,32.0,Munkeengen,BirkerÃ¸d,3460.0,46.0,SjÃ¦lsÃ¸vej,3460 BirkerÃ¸d,SjÃ¦lsÃ¸vej 46,"Regnskabsklasse B, mikrovirksomhed",2019-02-26,2019-02-26,"<p xmlns=""http://www.w3.org/1999/xhtml"">BelÃ¸bet udgÃ¸res af et kortfristet, rentebÃ¦rende lÃ¥n</p>",erik@bastiansen.dk,11504507.0,0.0,Ãrsrapport,Erik Bastiansen,Danske Bank,MSR-CONSULT ApS,Erik Bastiansen,1540.0,BirkerÃ¸d,2016-10-01,2017-09-30,,2018-09-30,2017-10-01,0.0,24240485.0,true,false,false,false,false,Ingen bistand,urn:ofk:oid:26742747,indberetninger-20180424,2.5927877,11504507.0,AWkvufOBRYGX6_YTFZiY,2019-02-27T16:11:54.508Z,2019-02-27T16:11:49.069Z,regnskab,0.0,,2018-09-30,2017-10-01,X19-AM-82-HN,2019-02-27T16:11:49.205Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lisbeth Bastiansen,DirektÃ¸r,
11504507,2017-10-01,2018-09-30,c3,http://regnskaber.virk.dk/70540511/ZG9rdW1lbnRsYWdlcjovLzAzL2Y4L2MxLzJhL2FiLzMxZTItNGM2NS04NmU0LWY3YjUwMDJhZjZmNA.xhtml,http://regnskaber.virk.dk/70540511/ZG9rdW1lbnRsYWdlcjovLzAzL2JhLzMwLzJmLzQzL2QwYTktNGJjMS1hYmQ0LTk1OGE5YjM5ODM2Yg.pdf,http://regnskaber.virk.dk/70540511/ZG9rdW1lbnRsYWdlcjovLzAzL2YyLzFiLzhiLzE3LzU2N2YtNGQyMi04YTI0LWI5NDQ4MTM5M2EzMA.xml,true,Danmark,DK,HillerÃ¸d,3400.0,32.0,Munkeengen,BirkerÃ¸d,3460.0,46.0,SjÃ¦lsÃ¸vej,3460 BirkerÃ¸d,SjÃ¦lsÃ¸vej 46,"Regnskabsklasse B, mikrovirksomhed",2019-02-26,2019-02-26,"<p xmlns=""http://www.w3.org/1999/xhtml"">BelÃ¸bet udgÃ¸res af et kortfristet, rentebÃ¦rende lÃ¥n</p>",erik@bastiansen.dk,11504507.0,0.0,Ãrsrapport,Erik Bastiansen,Danske Bank,MSR-CONSULT ApS,Erik Bastiansen,1540.0,BirkerÃ¸d,2016-10-01,2017-09-30,,2018-09-30,2017-10-01,0.0,24240485.0,true,false,false,false,false,Ingen bistand,urn:ofk:oid:26742747,indberetninger-20180424,2.5927877,11504507.0,AWkvufOBRYGX6_YTFZiY,2019-02-27T16:11:54.508Z,2019-02-27T16:11:49.069Z,regnskab,0.0,,2018-09-30,2017-10-01,X19-AM-82-HN,2019-02-27T16:11:49.205Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jon Bugge Villadsen
